Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
2022-02-01,596047.0554287434,596096.0649264345,596141.732763011,596183.2972904303,596220.564109507,596043.3491008962,596092.0991517649,596137.9115466456,596179.9465970185,596217.9120005048,596039.9336955462,596088.3265163588,596134.1225211503,596176.4302890752,596214.8801293231,596036.7896110378,596084.7717628954,596130.447027698,596172.8911569291,596211.6729969757,596033.8916470644,596081.4363133251,596126.9226060915,596169.4072056166,596208.4099995166,596031.2143013036,596078.3109658174,596123.5637623996,596166.0204077779,596205.1617497121,596028.7338350541,596075.3820652862,596120.3727553748,596162.7521371576,596201.9699597185,596026.428947696,596072.6345488408,596117.3453927772,596159.6117833799,596198.858781479,596024.280853785,596070.0534392467,596114.4742221859,596156.6017132264,596195.8414977998,596022.2731159921,596067.6245481332,596111.7503129992,596153.7201987852,596192.9245822259,596020.3913931068,596065.3347714894,596109.1642552757,596150.9631778642,596190.1102197028,596018.6231740903,596063.1721750189,596106.7067138853,596148.3253258009,596187.3979010328,596016.9575282717,596061.1259734638,596104.3687263563,596145.8007122756,596184.7854463654,596015.3848827083,596059.1864593992,596102.1418517645,596143.3832035498,596182.2696693728,596013.896828978,596057.3449111595,596100.0182329955,596141.0667063657,596179.8468112975
2022-02-02,595184.2198721744,595264.4066590627,595339.2915246096,595408.4728717325,595471.8113143295,595178.2481085204,595258.0444983989,595333.0907926762,595402.9267343625,595467.3180085086,595172.7342166913,595251.9902455333,595326.9478022513,595397.115230539,595462.1896324302,595167.648551947,595246.2833031077,595320.9936602379,595391.2747807322,595456.7743280542,595162.952221538,595240.9258489991,595315.2882520816,595385.5337039926,595451.2745638589,595158.6055784436,595235.903144224,595309.85415485,595379.9603494904,595445.8093573046,595154.571566159,595231.1933842001,595304.6942130751,595374.5889152254,595440.448388252,595150.8168394197,595226.772550537,595299.800955781,595369.4338347157,595435.2314578546,595147.3119245323,595222.6167841746,595295.1617611139,595364.498040335,595430.1799576507,595144.0309829131,595218.7034988108,595290.7617271345,595359.7778231815,595425.3038146086,595140.9514328269,595215.0118458095,595286.5852711839,595355.2657419235,595420.6057908093,595138.0535437549,595211.5228457071,595282.6170098402,595350.9523841211,595416.0841932374,595135.3200524485,595208.2193520566,595278.8422259741,595346.8274381757,595411.7346053284,595132.7358191443,595205.0859357858,595275.247097064,595342.8803440146,595407.5510044378,595130.2875282649,595202.1087370618,595271.8187855715,595339.1006829495,595403.526487223
2022-02-03,594240.8681037652,594351.3189364276,594453.2304553556,594546.944439688,594632.8425298316,594232.7463801607,594342.7694695035,594444.9477013584,594539.5360237363,594626.8143318753,594225.2339054227,594334.6226933115,594436.7363462648,594531.7720793711,594619.935627102,594218.2932877473,594326.9330163756,594428.7716037482,594523.9680880205,594612.673625162,594211.8740569601,594319.7048962814,594421.1338674806,594516.295246941,594605.2998021285,594205.9242352823,594312.9199409175,594413.8538223968,594508.8447433797,594597.973543681,594200.3949593253,594306.550085794,594406.9358253047,594501.662220721,594590.7880082069,594195.2420829979,594300.5641072207,594400.3704358591,594494.7669756658,594583.7962825812,594190.4264647895,594294.9308261215,594394.1412931505,594488.1629794711,594577.0267913075,594185.9137027244,594289.6206259755,594388.2289419454,594481.8453566509,594570.4926212176,594181.6736646385,594284.6060999223,594382.6129677393,594475.8042608475,594564.1972895481,594177.6799713678,594279.862247955,594377.2731744198,594470.0272205471,594558.1383755276,594173.909501591,594275.3664461127,594372.1902120244,594464.5005660104,594552.3098382689,594170.3419451977,594271.0983060977,594367.3458861847,594459.2102950398,594546.7035106499,594166.9594124624,594267.0394887093,594362.7232833371,594454.1425914721,594541.3100675391
2022-02-04,593022.4490182392,593150.2200401,593272.090616132,593386.7673309847,593493.7522624391,593013.4237738947,593140.2839210882,593262.1787318811,593377.7118819318,593486.2589990238,593005.1033212735,593130.8383725523,593252.3694355923,593368.2344097631,593477.7171591861,592997.440574352,593121.9435339787,593242.8713924494,593358.7211626668,593468.709402354,592990.3747844985,593113.6014180159,593233.7790266344,593349.3807829621,593459.5735894074,592983.8443956968,593105.7877682582,593225.1270917399,593340.3235630482,593450.5074170354,592977.7920639771,593098.4674777035,593216.9189118745,593331.6039413927,593441.6258458751,592972.1663032551,593091.6021576494,593209.1414820614,593323.2441533591,593432.9938581858,592966.921681952,593085.1538218088,593201.7737274701,593315.2477902102,593424.6457485543,592962.0184264827,593079.0866006642,593194.7910782227,593307.6077536688,593416.5967869277,592957.421817514,593073.3674448882,593188.1680061105,593300.3110021312,593408.8504233358,592953.1015511607,593067.9663112862,593181.8794109644,593293.3414132744,593401.402815796,592949.0311382059,593062.8560902122,593175.9013488069,593286.6815176343,593394.2457136671,592945.1873682244,593058.0124118255,593170.2113808857,593280.3135441224,593387.3683106661,592941.5498442795,593053.4134041156,593164.7887047466,593274.22004089,593380.7584415764
2022-02-05,591962.2712246508,592117.4094798722,592263.9295790236,592400.7611810272,592527.7575840787,591951.4931382242,592105.6306764991,592252.2529230429,592390.1404664738,592518.9921490581,591941.5423316435,592094.4197114983,592240.6865013062,592379.0178907114,592508.9964491474,591932.3657359867,592083.8499108797,592229.4767619288,592367.84603873,592498.451164229,591923.8934090877,592073.9257038082,592218.7360581734,592356.8698816102,592487.7512331073,591916.0539170777,592064.6201702046,592208.5065681839,592346.219362987,592477.1279964346,591908.7804127043,592055.893261022,592198.793398896,592335.959039984,592466.7162082315,591902.012688562,592047.700777453,592189.5823078342,592326.115717218,592456.5922534949,591895.6974879772,592039.9987677329,592180.8494128359,592316.6942974443,592446.7966542526,591889.788093061,592032.7455942215,592172.5665831652,592307.687087776,592437.3476786555,591884.2436520713,592025.9028003716,592164.7044389482,592299.0793583756,592428.2497503611,591879.0284540392,592019.4353601289,592157.2339986082,592290.8526999505,592419.4987358811,591874.111240237,592013.3116162564,592150.1275511443,592282.9870609791,592411.0853136173,591869.464586545,592007.5030707505,592143.3590807421,592275.4619796359,592402.9971407636,591865.0643650297,592001.9841143719,592136.9044330971,592268.2573181483,592395.2202542232
2022-02-06,590960.8638517917,591146.4363428769,591319.0168553138,591478.2319191745,591624.6406709006,590948.1608272182,591132.7473451456,591305.598194631,591466.1311833797,591614.7167497902,590936.4086055788,591119.6959774272,591292.2885466998,591453.4463944689,591603.3926182438,590925.5497838414,591107.3707126542,591279.3722046411,591440.6925182398,591591.4372020138,590915.5061974912,591095.7799789278,591266.980160458,591428.1492004297,591579.2971761723,590906.1970827524,591084.8954422362,591255.1629511159,591415.9655885055,591567.2347141107,590897.5463680812,591074.673086969,591243.9284282193,591404.2165316176,591555.40301107,590889.4852313199,591065.0636605561,591233.2620143227,591392.9338807389,591543.8893466515,590881.9525866251,591056.0178296497,591223.1378298493,591382.1244585424,591532.7404470813,590874.8946972933,591047.4886376073,591213.524892878,591371.7806240309,591521.9778278073,590868.2644607325,591039.4325647213,591204.3905854531,591361.8865943626,591511.6072806139,590862.0206141359,591031.8098642441,591195.7025711029,591352.4222724311,591501.6248443811,590856.1269699718,591024.584529608,591187.4298217276,591343.365576678,591492.0206144335,590850.5517244621,591017.7240829498,591179.5431281342,591334.6938559712,591482.7811966558,590845.2668512865,591011.1992869845,591172.0153110999,591326.3847381313,591473.8912974106
2022-02-07,589533.9821635085,589722.301168098,589902.5361204393,590072.2673775993,590230.7754643934,589521.4517308064,589708.3054978593,589888.4702518652,590059.3492747133,590220.0319100304,589509.8887155406,589694.9883528997,589874.5397770775,590045.8228971474,590207.7824295006,589499.2304509621,589682.4364554725,589861.0414688361,590032.2388280395,590194.8617112124,589489.3947733929,589670.6546204711,589848.1104459176,590018.894918959,590181.7538714317,589480.2979198014,589659.6104334741,589835.7972566866,590005.9490229441,590168.7423237227,589471.8615835521,589649.2559233889,589824.1077955671,589993.4794351264,590155.9920130812,589464.0152834607,589639.5382371093,589813.0246676069,589981.5185346325,590143.5963147709,589456.6967070068,589630.4048618973,589802.5188907743,589970.0720776081,590131.6046494221,589449.8512152985,589621.8060767635,589792.5563908934,589959.1305215906,590120.039178053,589443.4310475923,589613.6959771516,589783.1016132607,589948.6757874384,590108.9051154079,589437.3944669827,589606.0327660047,589774.1195047367,589938.6853418918,590098.1972121038,589431.7049510537,589598.7786757405,589765.5765618697,589929.1346734412,590087.9038831971,589426.3304667064,589591.899715108,589757.4413398576,589919.9987884515,590078.0098622234,589421.2428384867,589585.365344313,589749.6846506085,589911.2531021499,590068.4979159691
2022-02-08,588322.3631292172,588524.0103809534,588718.2919774087,588901.9771780082,589073.96536824,588309.2915191604,588509.2306593446,588703.3233987474,588888.1586479231,589062.4299342075,588297.2312980627,588495.1695367388,588688.5004978257,588873.6905841759,589049.278360426,588286.1166398895,588481.9183060989,588674.1389998585,588859.1620052329,589035.4070289376,588275.8614563339,588469.4817605914,588660.3825305852,588844.8914694218,589021.3357741799,588266.3780642523,588457.8254066564,588647.2847011262,588831.0477284295,589007.3688596893,588257.5845348841,588446.8983594808,588634.8516102787,588817.7144139548,588993.6833116588,588249.4071531937,588436.6446150221,588623.0645897498,588804.9260412592,588980.3792967342,588241.780765384,588427.0085609682,588611.8926601509,588792.6886548146,588967.5097847924,588234.6482539189,588417.9375606561,588601.2994423117,588780.9919451876,588955.0984808841,588227.9597009284,588409.3830305744,588591.2469989478,588769.8164830549,588943.150901756,588221.6714917425,588401.3007437083,588581.6979418136,588759.1380859102,588931.661336914,588215.7454665091,588393.6507437513,588572.6165449505,588748.9304655549,588920.6172816075,588210.1481605417,588386.3970749778,588563.9692843482,588739.1668273684,588910.0022860786,588204.8501429086,588379.50743688,588555.7250469887,588729.8208222503,588899.797796073
2022-02-09,587362.3666742876,587606.3872013212,587837.6672708022,588053.3440862524,588252.9518247647,587346.8020983883,587589.1079490187,587820.4025449384,588037.5760175233,588239.90531016,587332.4020154353,587572.6323194973,587803.2761633355,588021.044897695,588225.0164880609,587319.0965259614,587557.072437483,587786.6541997383,588004.4217539985,588209.2959217267,587306.7901535414,587542.4393198598,587770.7055485066,587988.071177682,588193.3307988801,587295.3841318606,587528.697497265,587755.4955734638,587972.1877894034,588177.4659007819,587284.7853683964,587515.7916312125,587741.034674752,587956.8694077224,588161.9028115832,587274.90960046,587503.6597114028,587727.3043444162,587942.1578049769,588146.7564850592,587265.6820084641,587492.2395774703,587714.2714851565,587928.062110683,588132.0885620211,587257.0367533586,587481.4720323362,587701.8963931035,587914.5725744701,588117.9275274926,587248.916108815,587471.3021896236,587690.1372243678,587901.6688047715,588104.2811769956,587241.2694937302,587461.6799049096,587678.9524684792,587889.3247592882,588091.1444640122,587234.0525394797,587452.5597397853,587668.3022751196,587877.511784439,588078.5045081005,587227.2262453587,587443.9006990344,587658.1491156183,587866.2004626278,588066.3438224448,587220.756237573,587435.6658700464,587648.4580583101,587855.3617212636,588054.6424057839
2022-02-10,586157.9899419886,586416.909866211,586663.4012926939,586893.8311157598,587107.4231562046,586141.7577434573,586398.7995887384,586645.2394923266,586877.1984979266,587093.6321819702,586126.73536071,586381.527127374,586627.2195676804,586859.7584143946,587077.8922270321,586112.8509742772,586365.2107355065,586609.7268928613,586842.2185700848,587061.2711717674,586100.0058864133,586349.8626770907,586592.9395741739,586824.9636906725,587044.3896305772,586088.0977813534,586335.4464071693,586576.9268356411,586808.1993253375,587027.6121306458,586077.0301064281,586321.9044548168,586561.7000533947,586792.0289500244,587011.1519078189,586066.7153958738,586309.1722613877,586547.2401442053,586776.4969190329,586995.1306569017,586057.0759377006,586297.1850287524,586533.5126236924,586761.6131333801,586979.6137251415,586048.04331296,586285.8809961344,586520.4760065608,586747.3675510922,586964.6314060594,586039.5575074832,586275.2028648603,586508.0865107104,586733.7388760287,586950.1921103076,586031.5659157254,586265.098261028,586496.3006653894,586720.6998231797,586936.2906580449,586024.022377811,586255.5197066414,586485.0767128255,586708.2203272211,586922.9135721339,586016.8863062254,586246.4243512856,586474.3753094419,586696.2694939533,586910.0424903563,586010.1219187491,586237.7735999313,586464.1598201572,586684.8167730282,586897.6563777983
