lineage,group
AY.101,AY.101
AY.122,AY.122/AY.3/AY.43/AY.99.1/AY.99.2
AY.46.3,AY.46.3
B,B/B.1/B.1.1.117/B.1.1.28/B.1.1.33/B.1.1.529/B.1.617.2/BA.1.10/UNASSIGNED
B.1.1,B.1.1
BA.1,BA.1
BA.1.1,BA.1.1
BA.1.1.1,BA.1.1.1
BA.1.1.10,BA.1.1.10
BA.1.1.14,BA.1.1.14
BA.1.1.15,BA.1.1.15
BA.1.1.16,BA.1.1.16/BA.1.1.7
BA.1.1.18,BA.1.1.18
BA.1.1.2,BA.1.1.2/BA.1.18
BA.1.13,BA.1.13/BA.1.14/BA.1.15/BA.1.17/BA.1.17.2/BA.1.9
BA.1.13.1,BA.1.13.1
BA.1.14.1,BA.1.14.1/BA.1.21
BA.1.14.2,BA.1.14.2
BA.1.15.1,BA.1.15.1/BA.1.16/BA.1.6
BA.1.15.2,BA.1.15.2
BA.1.19,BA.1.19
BA.1.20,BA.1.20
BA.1.5,BA.1.5
BA.2,BA.2/BA.2.1/BA.2.10/BA.2.3/BA.2.37/BA.2.9/BA.2.9.3/BG.2/XE
BA.2.10.1,BA.2.10.1
BA.2.10.2,BA.2.10.2/BA.2.21/BA.5.3.1/BF.8/BQ.1.2.1
BA.2.11,BA.2.11
BA.2.12,BA.2.12
BA.2.12.1,BA.2.12.1
BA.2.13,BA.2.13
BA.2.14,BA.2.14/BA.2.2/BA.2.23/BA.2.3.10/BA.2.3.2/BA.2.31/BA.2.36/BA.2.5
BA.2.18,BA.2.18
BA.2.22,BA.2.22/BA.5.2.28/XAG
BA.2.27,BA.2.27/BA.2.3.16
BA.2.3.20,BA.2.3.20
BA.2.3.6,BA.2.3.6
BA.2.35,BA.2.35
BA.2.38,BA.2.38
BA.2.38.4,BA.2.38.4
BA.2.39,BA.2.39
BA.2.42,BA.2.42
BA.2.45,BA.2.45/BA.2.62
BA.2.47,BA.2.47
BA.2.48,BA.2.48
BA.2.52,BA.2.52
BA.2.56,BA.2.56/BA.2.81
BA.2.6,BA.2.6
BA.2.63,BA.2.63
BA.2.65,BA.2.65
BA.2.67,BA.2.67
BA.2.69,BA.2.69
BA.2.7,BA.2.7
BA.2.72,BA.2.72
BA.2.73,BA.2.73
BA.2.74,BA.2.74
BA.2.75,BA.2.75
BA.2.75.1,BA.2.75.1/BL.2
BA.2.75.2,BA.2.75.2
BA.2.75.5,BA.2.75.5
BA.2.86.1,BA.2.86.1
