,date,Spike. AY.100,Spike. AY.122.6,Spike. AY.126,Spike. AY.4,Spike. AY.98.1,Spike. BA.1,Spike. BA.1.1,Spike. BA.1.1.1,Spike. BA.1.1.12,Spike. BA.1.1.15,Spike. BA.1.13,Spike. BA.1.15,Spike. BA.1.18,Spike. BA.2.1,Spike. BA.2.10.2,Spike. BA.2.11,Spike. BA.2.12.1,Spike. BA.2.13,Spike. BA.2.18,Spike. BA.2.24,Spike. BA.2.3.16,Spike. BA.2.3.20,Spike. BA.2.44,Spike. BA.2.52,Spike. BA.2.75,Spike. BA.2.75.1,Spike. BA.2.75.2,Spike. BA.2.79,Spike. BA.2.86,Spike. BA.2.9.4,Spike. BA.2,Spike. BA.3.1,Spike. BA.4.1.10,Spike. BA.4.1.3,Spike. BA.4.1.8,Spike. BA.4.7,Spike. BA.4,Spike. BA.5.1.12,Spike. BA.5.2.14,Spike. BA.5.2.18,Spike. BA.5.2.24,Spike. BA.5.2.25,Spike. BA.5.2.32,Spike. BA.5.9,Spike. BC.2,Spike. BE.1.1.1,Spike. BE.1.4.2,Spike. BE.10,Spike. BE.4.2,Spike. BF.4,Spike. BL.1,Spike. BM.1.1.5,Spike. BN.1.2.1,Spike. BN.1.2.6,Spike. BN.1.3.12,Spike. BN.1.3.6,Spike. BN.1,Spike. BN.3.1,Spike. BN.5,Spike. BQ.1.1.11,Spike. BQ.1.1.12,Spike. BQ.1.1.2,Spike. BQ.1.1.31,Spike. BQ.1.1.35,Spike. BQ.1.1.37,Spike. BQ.1.1.45,Spike. BQ.1.1.46,Spike. BQ.1.1.66,Spike. BQ.1.1.9,Spike. BQ.1.1,Spike. BQ.1.10.3,Spike. BQ.1.13.1,Spike. BQ.1.21,Spike. BR.2.1,Spike. BU.3,Spike. BY.1.1,Spike. CE.1,Spike. CJ.1,Spike. CL.1,Spike. CV.1,Spike. DV.7.1,Spike. EG.1.7,Spike. EG.1,Spike. EG.10.1,Spike. EG.2,Spike. EG.4.1,Spike. EG.5.1.10,Spike. EG.5.1.6,Spike. EG.5.1.8,Spike. EG.5,Spike. EG.6.1.1,Spike. EK.2.1,Spike. EK.3,Spike. EK.4,Spike. EN.1.1,Spike. EP.2,Spike. ET.1,Spike. EU.1.1,Spike. FL.1.5.1,Spike. FL.1.5.2,Spike. FL.13.2,Spike. FL.15.1.1,Spike. FL.15.1,Spike. FL.20.1,Spike. FL.20.2,Spike. FL.24,Spike. FW.1,Spike. FW.2,Spike. FY.3.1,Spike. GA.4.1,Spike. GB.1,Spike. GD.2,Spike. GE.1.1,Spike. GE.1.2,Spike. GE.1,Spike. GF.1,Spike. GJ.1.1,Spike. GJ.1,Spike. GJ.4,Spike. GJ.5.1,Spike. GK.1.3,Spike. GS.3,Spike. GW.5,Spike. GZ.1,Spike. HH.2,Spike. HK.2,Spike. HK.3.1,Spike. HK.3.2,Spike. HV.1,Spike. HY.1,Spike. HZ.1,Spike. JA.1,Spike. JD.1.1.1,Spike. JD.1.1.3,Spike. JE.1,Spike. JF.1,Spike. JM.1,Spike. JN.1,Spike. JN.4,Spike. XBB.1.16.14,Spike. XBB.1.16.16,Spike. XBB.1.18.1,Spike. XBB.1.41.1,Spike. XBB.1.5.102,Spike. XBB.1.5.40,Spike. XBB.1.5.78,Spike. XBB.2.3.5,Spike. XBB.2.7,Spike. XBB.2,Spike. XBB.8.2,Spike. XBB,Spike. XBD,Spike. XBF,Spike. XD,Spike. nan,Wuhan-Hu-1
0,2022-01-04,9.870550157615941,0.6472491945314501,1.1326860878653129,1.4563106800015881,0.6472491945314501,10.032362458813529,25.161812297632615,18.932038840020642,0.16181230119758744,0.5663430388032066,11.084142390950598,1.1326860878653129,16.343042072153743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4045307478645188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.346278321199969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08090614546934387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-05,11.243386238538507,0.9259259229646091,0.39682539555626106,1.4550264503729573,0.6613756592604351,11.243386238538507,25.264550266711584,17.46031745632734,0.132275131852087,0.264550263704174,10.317460315573898,1.7195767244475018,16.534391533362726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39682539555626106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9841269881516757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-06,11.864406782801527,0.564971753558211,1.9774011269735128,1.9774011269735128,1.9774011269735128,10.169491522126894,22.033898304928424,16.10169491352766,0.2824858767791055,0.8474576303373166,12.429378536359739,1.9774011269735128,14.124293786554146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564971753558211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1073446340899347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-01-07,11.216730037109478,0.380228134944228,1.3307984774188664,2.6615969548377327,1.3307984774188664,7.794676802155154,22.24334601186091,22.05323193927473,0.19011407258618243,0.19011407258618243,9.315589352160202,1.5209125500050487,16.3498098844269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380228134944228,0.0,0.0,0.0,0.19011407258618243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8517110274239155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-01-08,10.392609704744503,0.2309468782445147,0.0,1.3856812898827926,0.2309468782445147,12.702078517813206,20.785219399281154,20.554272521036637,0.0,0.6928406449413963,11.085450349685898,0.9237875333937634,16.859122397669434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.154734411638278,0.0,0.0,0.0,0.0,0.0,0.2309468782445147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.771362589973438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-01-09,8.371040722552122,0.0,0.9049773726716493,1.5837104072432595,0.22624434823578565,15.610859724196807,21.040723980498196,19.230769235154902,0.22624434823578565,0.6787330345716103,8.597285070787908,1.3574660590074739,16.289592758768418,0.22624434823578565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9049773726716493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22624434823578565,0.0,0.0,0.0,0.0,0.0,3.6199095008223434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6787330345716103,0.0,0.0,0.0,0.0,0.0,0.22624434823578565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-01-10,4.061089894358318,0.29503644305314114,0.41652204384224006,0.5727178090098676,0.45123220822076876,13.311350223998275,23.915307188486235,20.28809441506657,0.41652204384224006,0.45123220822076876,11.940298512053852,2.1520305479682578,19.75008677043523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6247830606705104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3536966348480057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-01-11,4.768211921671622,0.3973509951790369,1.3245033104378494,0.3973509951790369,0.2649006600398877,11.390728473860868,26.22516555895551,21.324503312383147,0.5298013200797754,0.7947019903580738,8.741721852985169,1.721854305616886,17.880794701149373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0596026503979614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.178807951193884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-01-12,5.98802395180365,0.1497006038774266,0.598802395180365,0.598802395180365,1.3473053942381568,9.58083832288584,27.694610782174216,23.203592818321482,0.2994011975901825,0.44910180146760914,9.730538926763268,1.4970059879509126,14.970059879509126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19760479036073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6946107783116426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-01-13,5.5472263882053,0.29985007421394183,0.7496251906173134,1.649175413259139,0.0,9.445277363151462,34.93253373232602,17.99100449349618,0.1499250421894297,0.1499250421894297,8.545727140509635,1.9490254874730808,15.442278857595216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1994002968557673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9490254874730808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
