,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,23.919643925563072,19.006377713133542,15.733041613721499,13.42346763807978,11.72162892651181,24.377245271112304,19.339781626202708,15.973008855271432,13.591709162602973,11.833466616768456,24.812423451209597,19.66576047966218,16.216298672864074,13.771310564810635,11.962918405540991,25.225013814109825,19.981126028853634,16.457576406173306,13.955321268991439,12.101753451973854,25.615925346714388,20.284591022264188,16.694001033305586,14.139739981639952,12.245061377745627,25.986497425083662,20.57584732261716,16.92410005933838,14.322229244652434,12.389832479128227,26.338197472066017,20.85509404678633,17.14717576151432,14.501427174063803,12.534191650939386,26.67247862698886,21.122786926592358,17.36297747792822,14.67656083118459,12.676963977964277,26.990715262308985,21.379501818368485,17.571514257688836,14.847220426249867,12.817418162388126,27.294177161489888,21.625859406498463,17.772944797500212,15.01322320571517,12.955109783243463,27.584022961913828,21.862483698730326,17.967511461251366,15.174529256278385,13.089782805183749,27.861303003742297,22.089979596855986,18.15550018189464,15.331188326188162,13.221306209171576,28.126966489809035,22.308921395474712,18.337215927944854,15.483305680920736,13.349632405972491,28.381870311568136,22.519847581749357,18.51296771055606,15.631019908909137,13.474769491119707,28.626788184015926,22.723259260795864,18.683059527544295,15.774488374912012,13.596762483839216
1,2021-07-02,65.69024093842091,53.160424535331956,44.535993922083286,38.31585881577209,33.66049712978364,66.79150740154248,53.99998416347064,45.158671842056286,38.76173769491432,33.96153718033016,67.83524967108441,54.81874763605808,45.78877149411977,39.23706464652037,34.309653140771864,68.82163430713334,55.608891758042496,46.412473756306746,39.72335954484076,34.68260182751408,69.75335190181656,56.36740888972203,47.02249117222837,40.21002371264008,35.06713310026726,70.63405574346822,57.0937498914631,47.61510998289404,40.690900846448656,35.45514587287831,71.46763775674994,57.788622271140355,48.18863063747319,41.16243490917313,35.84161147973515,72.25789478068393,58.453355198262,48.742508624990734,41.62263562008268,36.22339542115948,73.00838299032861,59.08955621797782,49.276864584413296,42.07047480974655,36.59856140646026,73.72236455302826,59.69892376112912,49.792197516580075,42.50552304177033,36.965946345196336,74.4027993783651,60.28314527306408,50.28921363843542,42.92772526559599,37.32489348130685,75.05235822164259,60.84384337724941,50.76872298117566,43.33725946753478,37.67508088109514,75.67344502180333,61.382549335946585,51.231576608131824,43.73444619458008,38.01640903987713,76.26822229008128,61.900692087520554,51.678628642269,44.11968996787965,38.348926034550814,76.83863645543485,62.399596113875894,52.110713665963395,44.49344106790371,38.672777023817446
2,2021-07-03,121.06627302990496,99.5794997445554,84.33901305247957,73.11977754683663,64.59858654835637,122.85082950160421,100.99847293793663,85.4215721515691,73.910680513852,65.14058341547036,124.53738437925637,102.37924741962277,86.5151954830287,74.75277069794046,65.76678440392716,126.12699756671394,103.70891712671121,87.59590268794446,75.61317737067321,66.43700061754512,127.62472776902912,104.98275234213675,88.65116162494263,76.4731139165103,67.12732521936978,129.0370871559585,106.20016435716154,89.67468623215301,77.32172544009835,67.82317572260216,130.37087513399007,107.36265502682609,90.66369646156691,78.15279223499556,68.51553111715872,131.63265118966157,108.47273870039449,91.61741126373406,78.96287904505569,69.19879578399014,132.82851321504384,109.53336325920172,92.53619140134475,79.75025604205433,69.86953773687326,133.96402383780958,110.54759682100249,93.42103926918583,80.51425014217632,70.52571836848496,135.04420784604392,111.51845980043343,94.27330165618758,81.25484523470784,71.16620915144053,136.0735822914818,112.44883805795973,95.09449114027775,81.97243088944496,71.79048135144106,137.05619988237677,113.34144178993583,95.88617842194934,82.66764197236,72.39840297538002,137.99569593086136,114.19879026323547,96.64992784477886,83.34125516393041,72.99010378345976,138.8953341039223,115.0232109961924,97.3872595631816,83.99412176320968,73.56588440388288
3,2021-07-04,186.89042826502407,155.98453115066917,133.43860887430998,116.51744495491637,103.48458065416423,189.31829287168907,157.9932541443237,135.01285320150433,117.6899115954573,104.29967403440759,191.60737783059133,159.94416089357327,136.6008155533448,118.93685907841095,105.24064120067433,193.7600551463583,161.819387425713,138.1676917359241,120.20944228822178,106.24685042633219,195.78402294449558,163.6126858043639,139.69544358933825,121.47983413233547,107.28228150335144,197.6888277468667,165.32364864061114,141.17515668834542,122.73203452292746,108.32501093282511,199.48428809274455,166.95478371106665,142.60301862360623,123.95694443958074,109.36151967441921,201.1797945459521,168.50998264719863,143.97811059811136,125.14960127443965,110.38346037522477,202.78402553415134,169.99370353448472,145.30115413296053,126.30756826711375,111.38574780583984,204.3048625366062,171.41053233796453,146.57378194746212,127.42996747668897,112.36539357174446,205.74939948123998,172.7649507680165,147.7981063550809,128.51688482829377,113.32077545250566,207.1239942261158,174.0612187148806,148.97646123140993,129.56899694029394,114.25116877596686,208.43433608284678,175.30332087248163,150.1112475150999,130.58733359602033,115.15644014746394,209.6855165027765,176.49494929575616,151.2048415439391,131.57312500543594,116.03684417641314,210.88209678637358,177.63950577790663,152.25954201412142,132.52770304307262,116.89288688631761
4,2021-07-05,260.7610751541475,220.5458734301589,190.41695578397983,167.38389120077375,149.4042662153619,263.7515911852565,223.11560663025156,192.48350932279186,168.95186462348207,150.50958129481216,266.5655415719929,225.60721354278587,194.5653000086429,170.61774809089846,151.7846468151282,269.20683387029635,227.9983098802873,196.61672847418177,172.31608417924008,153.14700550095228,271.68580928024284,230.28141347379125,198.6143413834333,174.00969201310036,154.5477311519652,274.01494594157793,232.4564859966715,200.54670812460188,175.6772898043486,155.95710556901233,276.20692975843804,234.52716600695388,202.40909801319285,177.30685975605044,157.35685773568187,278.27381140038966,236.49880495950896,204.20056174583127,178.8919253291625,158.7357545476072,280.22667533388557,238.37742459278323,205.922278548699,180.4293841952809,160.0869963503365,282.0755520114604,240.169161860857,207.57659726682112,181.9182086076297,161.40662816767158,283.8294432844408,241.8799785866126,209.16647077224783,183.3586470829755,162.6925441707219,285.4963970393085,243.51551733652659,210.69511941483907,184.75172468438828,163.9438497751712,287.08359937887366,245.08103870922736,212.16583077732082,186.09892575181038,165.16044525744348,288.59746889127155,246.58140381112193,213.58184192044246,187.40199053069412,166.34274982202436,290.04374580726875,248.02108134142924,214.94627215372032,188.66278419486503,167.49151653627365
5,2021-07-06,340.5330303807829,291.5475623807646,253.89272253955966,224.5887675447882,201.41515121253812,343.98297967759396,294.6224925779711,256.42832643732265,226.54777666179876,202.81503302574603,347.22378947584315,297.59957276170377,258.9795756454819,228.62718275422773,204.4288036395029,350.26094402626677,300.4525247696638,261.49062840030575,230.74505492049647,206.1517565274641,353.1072193707871,303.1729422827107,263.9329648321694,232.8549827556514,207.92183560320626,355.77771583848414,305.7612934558872,266.2928651632507,234.9305132969714,209.70141919802086,358.28764624574717,308.222388340436,268.5648310770722,236.95680684396,211.46744182488266,360.6513832251379,310.56302423229863,270.74798351857805,238.92595678295362,213.20577998357317,362.882096737031,312.79074189479525,272.8440266048322,240.83426717734602,214.9079360900917,364.9916695232568,314.91316810766295,274.8560693930025,242.680621876834,216.56901632479125,366.99074025653385,316.93767552375647,276.78793323498337,244.465484202706,218.18646434774922,368.88880081219463,318.8712170430252,278.64374142415653,246.19027197365043,219.7592506405962,370.69431154079797,320.72025680043373,280.4276764773965,247.856961652342,221.2873439763259,372.41481713278495,322.49075435114514,282.14383859975453,249.46783535395863,222.7713616795368,374.05705514012294,324.18817748684404,283.79616592280536,251.02531852586557,224.21233547556753
6,2021-07-07,424.7960770100287,367.79501060984785,322.8723744415104,287.3030861602399,258.81795829707755,428.6021101153024,371.3085830768837,325.8410200015923,289.6374911735764,260.5084189475156,432.17251291936446,374.7060294900776,328.8248005838956,292.1132770586405,262.45594561471285,435.5142329642905,377.95783815009224,331.7584584606455,294.63265678374415,264.53379563255794,438.64213855052463,381.05495470429065,334.60887850481356,297.1403781982483,266.66693392257025,441.57353055241254,383.99842955491846,337.3603221985725,299.60507113310587,268.8099509817606,444.32571611186415,386.7942145573892,340.0066757578369,302.00924523564794,270.9350792979572,446.9149765479849,389.45046860707305,342.5472108416602,304.34368156484027,273.02538053880716,449.35618560870546,391.9761407358726,344.98419258723266,306.60417246756634,275.07072170034434,451.66273180988384,394.38022595899616,347.32149867364757,308.78957057737824,277.0653221863745,453.8465788573983,396.67138412846384,349.5638099849482,310.90059381032546,279.00621870318577,455.9183832660445,398.8577576702579,351.71613304988125,312.9390800673543,280.8922833419285,457.88762973896263,400.9468988585876,353.78351911607666,314.9075162105895,282.72358409852717,459.76276551172515,402.9457569655796,355.7709016243225,316.80873786467293,284.5009622943809,461.55132525404036,404.86069728216904,357.68300574909694,318.6457374850202,286.22575013159985
7,2021-07-08,512.2557062703596,448.1614505271346,396.3961205005446,354.7094551052146,320.91099724007955,516.3186010012756,452.040789907288,399.75241617594975,357.3946920038642,322.8810639186238,520.1257927100821,455.7878062633073,403.1226161349057,360.2403755645904,325.14940633958236,523.6854747727972,459.3704173471725,406.4330710042243,363.1338641513034,327.56799696132737,527.0141857839624,462.77915918459655,409.6466258671551,366.011660742556,330.0492879280876,530.1309455208512,466.01568778754836,412.74581917346524,368.837843560028,332.54038497713043,533.0546777010059,469.087011759227,415.7240685646341,371.59249875839384,335.00902251161136,535.8031251340769,472.00251425332823,418.5808561817068,374.2652363332015,337.4355881240499,538.3924582306873,474.77239311350155,421.3190164111645,376.8514233828415,339.8084123044951,540.8372057825478,477.406846344525,423.94317337349827,379.3499320919714,342.12089801711664,543.1503306450912,479.91565870581184,426.458827717907,381.7617621212509,344.3697253385016,545.3433642506834,482.3080073195389,428.8718197580055,384.08918282701546,346.5537039933315,547.4265582367842,484.59238734741064,431.1880152570448,386.33519226176634,348.67302683497985,549.4090334881363,486.7766028709844,433.413124980013,388.5031732657866,350.72877716699696,551.2989179305173,488.8677921279729,435.55260544049474,390.5966743152959,352.7225999632667
8,2021-07-09,602.338836900672,532.076231564367,473.94740097330674,426.3548537263936,387.30031864356687,606.5785066924027,536.2542463857155,477.64555221105496,429.3637084741828,389.5361223667324,610.5481568331468,540.2860624628398,481.3559328480827,432.5501532388959,392.10908091958373,614.2569438853435,544.137588455673,484.99752452330443,435.7878164231499,394.8508697865816,617.7226441473666,547.7991180163574,488.52966843158003,439.00561229364035,397.6620297741799,620.9655314457148,551.2728854695542,491.9334494748719,442.16345767003577,400.48256184243473,624.0056985179835,554.5668347582065,495.2019361401912,445.2392480617985,403.2759487980104,626.8619386074727,557.6914098045979,498.33485458955613,448.22155915043453,406.0200668583653,629.5513497068,560.6578790512054,501.33559274621604,451.10540944788045,408.7018183881412,632.0892731523335,563.4774649103445,504.20947765689743,453.8897291559573,411.3138621451515,634.4893814011366,566.1609054297871,506.96277121218316,456.57581362817575,413.85256924846266,636.7638254174494,568.7182512569483,509.60208169714394,459.16636184687815,416.31671776110494,638.9233984539896,571.1587910848178,512.1340209610802,461.6648711331531,418.70664422744034,640.9776959636773,573.4910464716162,514.5650088602264,464.0752532814393,421.02368438518357,642.93526285424,575.722802888351,516.9011668712122,466.40159068772556,423.26980047933773
9,2021-07-10,694.5514451044097,619.0432847124913,555.0716449605192,501.8361412088756,457.6320296980081,698.9052069476022,623.4593404903901,559.0666944793926,505.1398886434277,460.1176402258934,702.9795131267293,627.7177119651739,563.0720713043822,508.63648632748533,462.97670988453353,706.7841879286835,631.7827686204854,567.0003828404097,512.1870300393359,466.0217767563041,710.3378439357856,635.6446736081091,570.8079733168798,515.7135336127732,469.1421687741093,713.6615938589833,639.306178644045,574.4747165006811,519.1721530959626,472.271216228523,716.7763078607587,642.7760215791951,577.9934271086593,522.5388251253489,475.36842577255084,719.7014748543492,646.0655323281715,581.3640880944039,525.80122084411,478.40933893416576,722.4548051512692,649.1868661445388,584.5906075267637,528.954077078071,481.37954335971796,725.0521750230196,652.1520894631597,587.6789569433993,531.9964096921744,484.271025521881,727.5077230017104,654.9727226963895,590.6360884202832,534.9298127545203,487.0798918146879,729.8340061275236,657.6595311865373,593.4693019011646,537.7574025197949,489.8049141450062,732.0421719953723,660.2224512085033,596.1858781067682,540.4831537887283,492.4465854734255,734.1421260062592,662.6705885415264,598.7928704053181,543.1114799458866,495.0064979349804,736.1426849752214,665.0122546486064,601.2969927195535,545.6469668948557,497.48692900278326
