,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,26.487210422831737,21.066993484040772,17.44995122374397,14.89502991374507,13.010912756689732,26.99147511738112,21.435139098663935,17.715276091238128,15.081222673804245,13.13476770518066,27.470942277950996,21.795038140929734,17.984248765317062,15.279973756734602,13.278122649350845,27.92544366252338,22.143174472627503,18.250971204689478,15.483589654340376,13.431860521365891,28.355992906481994,22.478131772652706,18.512303849658384,15.687642174760194,13.590542610250786,28.76407629371891,22.79957477870404,18.76662079974984,15.889545181487833,13.75083577450682,29.151319621493865,23.10772793283972,19.01315291085872,16.087792525067417,13.910663761017293,29.51933153559354,23.403098522539853,19.251625260293043,16.281529957323595,14.068725940321896,29.86963268062972,23.686325964565157,19.482049913068487,16.47030513274174,14.224213057752333,30.203627442264608,23.958098700269566,19.7046041982373,16.65391691612427,14.376633587721178,30.522596893233843,24.219108418308554,19.919557752763403,16.83232217541573,14.52570462314374,30.827702077222128,24.470025342925588,20.127228197255977,17.0055769189642,14.6712816775498,31.119992018370166,24.711485584654163,20.327954025954643,17.173798506624383,14.81331261959789,31.400413544877864,24.944085444083367,20.522078047925575,17.337141090690764,14.9518069431843,31.66982143489526,25.168379712346105,20.709937391652574,17.495779523490715,15.086814989068978
1,2021-07-02,72.56670625640567,58.80377648957993,49.30908445769907,42.45040597677048,37.31116274556288,73.7747232033529,59.727186507419475,49.99521973589174,42.94238179185823,37.64365859976424,74.91938033373609,60.62756543713703,50.68944110594736,43.46679906453761,38.028122961231546,76.00090198931788,61.496324316636816,51.376522920175354,44.00326245767584,38.43998154957096,77.02227671879179,62.33017284324262,52.04844153911824,44.54007796459425,38.86459712884435,77.98754363851548,63.128524216460384,52.70111296251198,45.07045578298811,39.29302212256244,78.90099846534918,63.8921722193275,53.33267296764399,45.590476360557126,39.71970385710161,79.76682810758184,64.62259252274181,53.942529702683274,46.09794816741609,40.14118249169966,80.58895169318288,65.32156514519755,54.530823582163244,46.59174123422152,40.5553219234274,81.3709627102844,65.9909683981619,55.09811117866277,47.07138599932533,40.96084012548427,82.11612051857415,66.63266704082088,55.645176638606934,47.53682567214483,41.3570142579291,82.82736518700604,67.2484532674616,56.17291779180426,47.98826023690002,41.74349115978912,83.50734237618036,67.84001770140362,56.68227703756442,48.42604662337461,42.12016317535981,84.15843149622448,68.40893749977455,57.17419957451636,48.85063408046499,42.48708547254067,84.78277375826097,68.95667414655587,57.649608564926375,49.262522035925585,42.84442026537768
2,2021-07-03,133.47802953273592,109.96105175408452,93.23608722269705,80.90020537544227,71.51729509574893,135.42848117022058,111.51664484499636,94.42548337995423,81.77058404430736,72.11450281246506,137.2713745762162,113.03006104975854,95.62684853511887,82.69718458759883,72.80443384203367,139.00794339319174,114.48718331091321,96.81384037209679,83.64382373456456,73.54279038561587,140.643782899804,115.88286177912846,97.97270405514077,84.58982842819248,74.30322487887084,142.18606669113805,117.21648484865854,99.09655062060891,85.52325977600823,75.06966964158951,143.64227276336365,118.48972940550406,100.18234355360593,86.43728224183852,75.83218815899188,145.0196086830726,119.70537848735998,101.22924168554678,87.32812529226868,76.58461984562308,146.32477068174651,120.86668670855404,102.23765684995298,88.19389508169814,77.32318883170167,147.5638643671977,121.97703716179028,103.20870417730961,89.03386015192271,78.04565471037256,148.742402945744,123.03975773497991,104.14387555351446,89.84801129672978,78.75077970491958,149.8653409733356,124.05802631283589,105.04484350718585,90.63678495660572,79.43798661556116,150.9371224710888,125.03482608393622,105.91334306928199,91.40088672721247,80.10713500748425,151.9617327911136,125.97292913257105,106.7511010881438,92.14117752406814,80.75837244684294,152.94274906671504,126.87489581885688,107.55979481278297,92.85859969474025,81.3920343596663
3,2021-07-04,205.71695979786176,171.99208091791954,147.31845484001028,128.76003949343627,114.44223296445712,208.36288572899642,174.18816603096508,149.04367467608657,130.04732184986182,115.33843685222216,210.85696767345414,176.32059847280703,150.78363345364238,131.4161990736546,116.37294091781077,213.20189574716625,178.36989724533058,152.50019785716648,132.81302794076407,117.47905462181537,215.40615124965686,180.32928562806651,154.17362323159813,134.20725934449635,118.61716449161938,217.48021508344848,182.19836948673287,155.7941687056748,135.58133819220873,119.76316626227269,219.43485105706222,183.979936340427,157.3576851429738,136.925290075287,120.9022018154099,221.28034503168072,185.67828062756055,158.86319283413576,138.23368317534317,122.02510204073602,223.02619724964913,187.29831034685827,160.3115071637494,139.50385856768582,123.12628566833158,224.68103167222083,188.84506818397443,161.70443934764575,140.73486780001863,124.20247710965351,226.25260769470714,190.3234784100895,163.04432351873507,141.92681937759528,125.25190258181908,227.74787744996712,191.73821900629923,164.33373416372277,143.08046896213315,126.27377458311159,229.17306036084744,193.09366389416044,165.57531706781836,144.19695861295884,127.2679550250229,230.53372094683533,194.3938643721401,166.77168912488847,145.27764917621664,128.23473169380517,231.8348432328442,195.64255214238722,167.92538045920145,146.32401196137948,129.17466807881823
4,2021-07-05,286.63965991738934,242.8667927063596,209.97413699177264,184.76945031588818,165.0585242571894,289.89134587030577,245.6697354032691,212.23387698216692,186.48739954915288,166.27147802279873,292.9503456436475,248.38689528524864,214.5098785477731,188.31236908536857,167.67056732257117,295.8210346024317,250.99392225264495,216.7522931010498,190.1726203417589,169.16526829595168,298.514766755112,253.48272612032306,218.93550809710283,192.02742129796746,170.70187771616136,301.0452013909512,255.85333196090684,221.04706416726296,193.85347217703125,172.24778514361023,303.42620719115604,258.10976797557083,223.08182844865206,195.6376285480665,173.78294987058595,305.6709481752362,260.2579226367032,225.03880038364198,197.37281867332294,175.29505832324773,307.7915263339055,262.30440792344365,226.91930326130026,199.05566719357006,176.77666364617895,309.7988883265096,264.25595473894685,228.72593541906804,200.6850702263451,178.2234408814294,311.7028549113545,266.1190971519402,230.4619519312454,202.26132028660817,179.63309375619065,313.512203553683,267.90001607523874,232.13089692290316,203.78555867312062,181.0046542834997,315.23476982042735,269.6044716455117,233.736384986589,205.25942791123413,182.33802566242295,316.87755080788634,271.23778477868626,235.28197279939775,206.68484906514445,183.6336794301937,318.4468028240116,272.80484546362123,236.77108596293942,208.06387840029205,184.89245239853275
5,2021-07-06,373.882152263885,320.6795742218198,279.65998669353775,247.6599020124922,222.3047226261939,377.62639915375536,324.0268353142207,282.4271087520989,249.802186204925,223.8381432785782,381.1429160855675,327.2669220381383,285.2108115913309,252.0758033170945,225.60566268328625,384.4377938788887,330.37130795505817,287.9501732187026,254.39113247493194,227.49253786716164,387.5250179510559,333.3309268432842,290.6141123085833,256.6974291000521,229.43077714476613,390.4210758515362,336.14636746785413,293.1877066819331,258.96578901911045,231.3791730581529,393.1425589320459,338.8229358528764,295.66500625952546,261.18001437847556,233.31247316523053,395.7051313469784,341.368091483416,298.045098528141,263.3314906687883,235.2152250257643,398.1231394639812,343.79009402428903,300.32988525216973,265.41620707923425,237.078140710172,400.4095225303817,346.0972887253109,302.52279641150614,267.4329718150501,238.8958799884103,402.575861495825,348.29773730664635,304.6280345480314,269.38231770831237,240.66566228928482,404.6324861829029,350.3990387385907,306.65012738153507,271.2658186716194,242.386378224148,406.5886016682144,352.4082550602504,308.5936634286071,273.08565690739414,244.05801043101027,408.45241504340436,354.33189496903407,310.46313803542614,274.8443464405332,245.68125042446508,410.23125399832435,356.1759284456893,312.2628667856429,276.54455584058513,247.25724215012295
6,2021-07-07,465.92516495574245,404.12951400488777,355.28548361255775,316.51612827287033,285.40533458876865,470.05004373150985,407.9479207343118,358.5196030740445,319.06457942465113,287.25400328572476,473.91879942688206,411.63941302627615,361.76964520574023,321.76698254851357,289.38355732401436,477.5391035391518,415.1720070405183,364.9645396831722,324.51655563715804,291.6553334083392,480.9271916393563,418.5359564841891,368.06826055221285,327.25299081685455,293.98725514332597,484.1019144576675,421.73248996757326,371.06372085427694,329.94207079883995,296.3296677295058,487.08211067979863,424.7681523592901,373.9443186591229,332.5647384453636,298.65222206337853,489.88549150111515,427.6518760726931,376.70931479137096,335.11096819626556,300.93641778685077,492.5282298408203,430.3934420416142,379.3612255433251,337.5762039991178,303.17119902411076,495.0248786871689,433.002672258425,381.9043180187092,339.95922799497106,305.3502697291928,497.38843863519315,435.48901687003115,384.3437287379256,342.26085538494283,307.4704137381278,499.63048700209333,437.8613573098773,386.6849439115004,344.48312070003374,309.530420370489,501.76132585378855,440.12792831674085,388.93349399466626,346.62876372760087,311.53038485864386,503.79012863538,442.29630486442375,391.0947772141895,348.70090203531873,313.4712461747859,505.72507635504127,444.37342357955015,393.17396155631707,350.7028217309403,315.35447821652286
7,2021-07-08,561.3594444651703,491.98023379293954,435.7902795959824,390.43007969987275,353.5773612249563,565.7579959266292,496.19030136795715,439.4411942174167,393.3570280819555,355.72854187243695,569.8789906975277,500.256028450074,443.10661704236577,396.4584201424212,358.2051393907191,573.7314381713564,504.1426910222439,446.70646072028325,399.61144341286234,360.84544921124336,577.3333621682773,507.84011654649953,450.20036545955446,402.74689826631936,363.55385363523226,580.7054516851863,511.35019320892076,453.5694023990166,405.82566371436894,366.27260177568195,583.8682731673264,514.6806069077853,456.80647605979885,408.82607614384193,368.96648255043885,586.841099149413,517.8416088789367,459.91108283995106,411.73685483290967,371.6141083010185,589.6414873453477,520.8443237756597,462.8863591922223,414.5529927464977,374.20276698546604,592.2852081938686,523.6998670626342,465.7373817605218,417.2733002219511,376.7252853403289,594.786328816906,526.4188977682008,468.47017440584256,419.8989027537883,379.17806710731384,597.1573602600082,529.011408805768,471.09112484158413,422.4323059205735,381.5598394118272,599.4094229270747,531.4866474291865,473.6066435216264,424.876805869215,383.87083734651856,601.5524089455143,533.8531062792084,476.0229680140127,427.2361147526364,386.112265962046,603.5951321424285,536.1185515556494,478.3460556366075,429.51412219456466,388.28594134804916
8,2021-07-09,659.594263329172,583.6301441178233,520.6221486446688,468.91264169574487,426.3923059473028,664.1810262357793,588.1594925348154,524.6398702809214,472.18797272596055,428.8303691023445,668.4749751114595,592.5296166754899,528.670233723727,475.6561370475876,431.6357728540529,672.486148631942,596.703652975108,532.6252494524781,479.17953808677413,434.62488926379086,676.2338913849119,600.6711778092066,536.4608057826485,482.68080988163206,437.68923858626994,679.7402298424375,604.4347046543458,540.1564226067873,486.11635765258364,440.7634017091659,683.0269768374283,608.0029252517268,543.7046377891296,489.4621665933942,443.80758200796197,686.1145246033057,611.3872297139357,547.1052167138452,492.7058496494305,446.7976860634809,689.0214194257413,614.599891166582,550.3618959901004,495.8420312224383,449.719465815684,691.764297588127,617.6531234037666,553.4805118057438,498.86959017256964,452.56495018987135,694.3579822669685,620.5586071304301,556.4679093183516,501.78997569249367,455.33021464564615,696.8156445249695,623.3272711603133,559.3313040446886,504.60616057004603,458.0139569360087,699.148981718513,625.969212722537,562.0779101473569,507.3219825128627,460.61657160761325,701.368391462112,628.4936927981073,564.7147286897817,509.94172663499126,463.13954009024224,703.4831316961006,630.9091705686511,567.2484327004265,512.4698603769984,465.5850244066962
9,2021-07-10,760.1081010190085,678.549247171469,609.2904846450483,551.5250699612794,503.46237846890875,764.8164342264355,683.3328143292001,613.6262874128943,555.1173003435113,506.16962723485204,769.2219024387955,687.9448644706376,617.9726449778741,558.9187099463063,509.28329434154585,773.335255570385,692.3468948925189,622.2347424529459,562.7782317667577,512.5991201456072,777.1767289868919,696.5283470574957,626.365263136952,566.6110872226873,515.9965398626637,780.7692426940765,700.4922908703766,630.3424355411844,570.3696452307812,519.4029480831898,784.1354375821235,704.2482691569587,634.1585314582788,574.0277918302766,522.7742675573118,787.2964468518858,707.8086208547052,637.8135965453446,577.5721738108574,526.0838939534995,790.2714689711763,711.1865682732971,641.3119291204504,580.9971183591396,529.3161676197441,793.0777099790639,714.3952282696092,644.6600596223647,584.3016013362453,532.4623980109459,795.730489462836,717.4471184185975,647.8655758100671,587.4873973030624,535.5183799581931,798.2434109897765,720.353931858854,650.936436857333,590.5579312574392,538.4828087974197,800.6285493198282,723.1264582491289,653.8805757258091,593.5175573008813,541.3562514063369,802.8966321876555,725.7745831564793,656.7056740218459,596.3711023901823,544.1404688588914,805.057207138118,728.3073280212694,659.419041007319,599.1235774650313,546.837965820714
