,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4044940.3100194405,4044960.567774391,4044975.1386128985,4044985.97071583,4044994.257750365,4044938.516760701,4044959.1332453983,4044974.039793471,4044985.165725129,4044993.7050167774,4044936.825631979,4044957.739313621,4044972.9307932127,4044984.3091752003,4044993.0666728853,4044935.2350153117,4044956.3988564657,4044971.835947774,4044983.4345799154,4044992.3837762936,4044933.73932422,4044955.116451182,4044970.7679166025,4044982.5610647476,4044991.680738199,4044932.331578905,4044953.892489037,4044969.7329960805,4044981.6996539286,4044990.9724350553,4044931.0045773825,4044952.7252625665,4044968.7339174007,4044980.8566400926,4044990.268056689,4044929.7514181514,4044951.6120604323,4044967.7713844758,4044980.0354760946,4044989.5732914256,4044928.5657143975,4044950.54975341,4044966.844947872,4044979.237877765,4044988.89161697,4044927.4416598342,4044949.5351099246,4044965.9535140707,4044978.464486589,4044988.2250884157,4044926.3740240852,4044948.5649639186,4044965.0956475437,4044977.715277848,4044987.574832606,4044925.3581163418,4044947.6363005703,4044964.269751812,4044976.989816953,4044986.941365424,4044924.3897367013,4044946.746295852,4044963.474178213,4044976.2874228647,4044986.3247993425,4044923.46512483,4044945.8923301473,4044962.7072907253,4044975.607273374,4044985.7249813154,4044922.5809105816,4044945.071987476,4044961.967503721,4044974.948473341,4044985.1415855563
1,2021-07-02,4044761.5970741864,4044804.6885081357,4044837.4294952243,4044862.775361264,4044882.77150176,4044758.024217099,4044801.63047962,4044834.968152593,4044860.9035383165,4044881.4485380845,4044754.6708226786,4044798.671096666,4044832.4922079006,4044858.916911216,4044879.9235199173,4044751.530766706,4044795.8364052274,4044830.0558948,4044856.8938115486,4044878.295436131,4044748.590408963,4044793.1346435286,4044827.6868876982,4044854.8786075287,4044876.6229584035,4044745.833754518,4044790.5652157045,4044825.398473991,4044852.896582073,4044874.941657913,4044743.2447453346,4044788.123211763,4044823.1959501486,4044850.9619110087,4044873.2733424483,4044740.8082420537,4044785.8017548006,4044821.0801244164,4044849.08213874,4044871.631363669,4044738.5103928717,4044783.5932399845,4044819.049296798,4044847.260782138,4044870.0237523075,4044736.338714597,4044781.48998868,4044817.100404803,4044845.4988906765,4044868.4551303135,4044734.282042101,4044779.484586163,4044815.2296969146,4044843.79600348,4044866.92790844,4044732.330422554,4044777.5700453944,4044813.4331314657,4044842.150747328,4044865.443053044,4044730.4749918235,4044775.7398745893,4044811.706612455,4044840.561215452,4044864.000586097,4044728.707850981,4044773.9880918837,4044810.0461269366,4044839.0252096253,4044862.599916103,4044727.021951034,4044772.3092115927,4044808.447822325,4044837.540395483,4044861.240059673
2,2021-07-03,4044551.192112068,4044615.0245010145,4044665.5748615162,4044705.968960916,4044738.63602594,4044546.182369842,4044610.513886802,4044661.8015312674,4044703.0120227374,4044736.495895406,4044541.494629867,4044606.161044398,4044658.0149274897,4044699.879778645,4044734.0324873314,4044537.117576324,4044602.002854311,4044654.2978083603,4044696.6964055714,4044731.406813012,4044533.0297547774,4044598.0498451507,4044650.691776904,4044693.531824554,4044728.7140625785,4044529.2068223385,4044594.299632981,4044647.2162467106,4044690.4255183213,4044726.011706662,4044525.624712101,4044590.743654164,4044643.8783900323,4044687.3993068137,4044723.334762906,4044522.2609480782,4044587.370635512,4044640.678569557,4044684.464508727,4044720.7044794927,4044519.0951047577,4044584.168406927,4044637.613396146,4044681.62610126,4044718.1334641613,4044516.1088718753,4044581.1248439685,4044634.677488562,4044678.8852063804,4044715.628809803,4044513.285943822,4044578.228342948,4044631.8645004597,4044676.2406110414,4044713.194049227,4044510.6118396744,4044575.4680413706,4044629.167722911,4044673.689713139,4044710.8304042397,4044508.0737048388,4044572.8338992298,4044626.580436027,4044671.2291175965,4044708.537598015,4044505.6601181366,4044570.3167051002,4044624.096109993,4044668.855014841,4044706.3143909927,4044503.360914576,4044567.908042919,4044621.708514833,4044666.563421597,4044704.158938286
3,2021-07-04,4044322.881057203,4044404.415944124,4044471.1393904346,4044525.8553143893,4044571.028545946,4044316.7815287393,4044398.7003898313,4044466.205789858,4044521.891386391,4044568.101177378,4044311.085598558,4044393.195836405,4044461.2637615786,4044517.698754731,4044564.7355261315,4044305.7772140875,4044387.947555911,4044456.4210800747,4044513.4443040197,4044561.152771963,4044300.8283289815,4044382.9673722577,4044451.731288412,4044509.2215569955,4044557.4834006377,4044296.207733228,4044378.25087176,4044447.218797743,4044505.0829361333,4044553.8059213012,4044291.8848602963,4044373.785990105,4044442.892033512,4044501.05707098,4044550.167928229,4044287.8313337676,4044369.5574129866,4044438.750596415,4044497.1584935845,4044546.598086618,4044284.021477141,4044365.5488565112,4044434.7892802847,4044493.3932623286,4044543.113210909,4044280.432351099,4044361.744239142,4044431.0003743535,4044489.762316498,4044539.7225751136,4044277.0435853666,4044358.128261219,4044427.374999225,4044486.2635219283,4044536.4306051782,4044273.837133075,4044354.6866639913,4044423.9038847582,4044482.8929395843,4044533.23859644,4044270.7970084273,4044351.4063151805,4044420.5778192384,4044479.645621527,4044530.145828155,4044267.909035468,4044348.2752020694,4044417.387902183,4044476.5161135723,4044527.150296718,4044265.160619463,4044345.282377293,4044414.3256788,4044473.4987728805,4044524.2492030445
4,2021-07-05,4044082.0681346646,4044178.4798561675,4044259.553976741,4044327.5067980518,4044384.612804163,4044075.1596446806,4044171.7883355836,4044253.6232784977,4044322.638651501,4044380.9540576586,4044068.7175450055,4044165.353496279,4044247.6907561542,4044317.4958126913,4044376.751526845,4044062.7218078626,4044159.227031413,4044241.885528765,4044312.2836197717,4044372.282598567,4044057.1391111733,4044153.42143646,4044236.2711376254,4044307.116697431,4044367.7106272434,4044051.932839056,4044147.930314676,4044230.87600119,4044302.058908128,4044363.1336144223,4044047.0673550516,4044142.738476383,4044225.7093470744,4044297.14478619,4044358.61071824,4044042.5097087547,4044137.827091971,4044220.7698738268,4044292.3915379136,4044354.177344997,4044038.2301723394,4044133.1763457027,4044216.050598006,4044287.8059941595,4044349.854059987,4044034.202248745,4044128.766787014,4044211.5416218694,4044283.388750526,4044345.652010191,4044030.4024539483,4044124.579988514,4044207.23173205,4044279.1366864434,4044341.5763078355,4044026.8100172277,4044120.59883095,4044203.1093246685,4044275.0445229374,4044337.628185589,4044023.406567163,4044116.8075877475,4044199.1629348905,4044271.1057965704,4044333.806392537,4044020.175833889,4044113.1919038845,4044195.381531056,4044267.3134717187,4044330.1081104274,4044017.1033797986,4044109.7387216813,4044191.7546675727,4044263.660325159,4044326.529560985
5,2021-07-06,4043831.067624872,4043939.627199941,4044033.1440335936,4044113.067402093,4044181.3144273814,4043823.595129889,4043932.1729778643,4044026.379519571,4044107.4067235184,4044176.991672327,4043816.6350150825,4043925.013399056,4044019.620782907,4044101.432720052,4044172.0305169835,4043810.164033633,4043918.204848767,4044013.014660609,4044095.3845201884,4044166.759642832,4043804.144809925,4043911.760018324,4044006.632830927,4044089.3951635547,4044161.372309292,4043798.536654888,4043905.6706649265,4044000.506818474,4044083.5383841908,4044155.984165293,4043793.3001541807,4043899.918902368,4043994.646287676,4044077.8537108977,4044150.664760352,4043788.3989751036,4043894.4829411274,4043989.048972145,4044072.360512419,4044145.4554888536,4043783.8004116714,4043889.340029384,4043983.706218592,4044067.066126617,4044140.380183276,4043779.4753641933,4043884.467938983,4043978.6061429987,4044061.9706941578,4044135.451556871,4043775.3980803313,4043879.845679525,4043973.7354465607,4044057.0700938804,4044130.6752198106,4043771.545812425,4043875.4537989856,4043969.080460952,4044052.3577535106,4044126.0522339684,4043767.8984633996,4043871.2744635874,4043964.62774216,4044047.825778235,4044121.580764965,4043764.438253402,4043867.2914223573,4043960.364396473,4044043.4656573953,4044117.257164252,4043761.1494196677,4043863.4899146752,4043956.2782464246,4044039.268706084,4044113.0766845453
6,2021-07-07,4043577.7410126682,4043695.8753517615,4043799.7391463188,4043890.009187956,4043968.180137692,4043569.9016478984,4043687.8612222956,4043792.3181408746,4043883.6935226135,4043963.2882405105,4043562.6050148155,4043680.1705187005,4043784.9100528336,4043877.033712808,4043957.6777064055,4043555.825665882,4043672.8629177734,4043777.6755785057,4043870.2968580085,4043951.721371352,4043549.5235037385,4043665.9511069125,4043770.6926636863,4043863.631151526,4043945.63816564,4043543.655124035,4043659.425359133,4043763.995131966,4043857.118372953,4043939.5588192693,4043538.1786047257,4043653.2657009787,4043757.592854785,4043850.8020515307,4043933.56170214,4043533.0553747416,4043647.448082044,4043751.48268512,4043844.7032179427,4043927.6932381387,4043528.2507617753,4043641.9475240237,4043745.6545512388,4043838.829513426,4043921.9799541538,4043523.733951057,4043636.7397026247,4043740.0949177337,4043833.180599479,4043916.435804291,4043519.4776979224,4043631.801700196,4043734.7887706878,4043827.751437746,4043911.066731727,4043515.4579559457,4043627.11231564,4043729.720755523,4043822.53430912,4043905.8735673614,4043511.653495814,4043622.652139035,4043724.875819536,4043817.52006896,4043900.8539015413,4043508.045548081,4043618.403504234,4043720.2395612607,4043812.6989305066,4043896.003307877,4043504.61748243,4043614.35038185,4043715.798405228,4043808.060952318,4043891.3161506364
7,2021-07-08,4043322.752034831,4043448.790120607,4043561.5224909177,4043660.9000315573,4043747.995367975,4043314.655212838,4043440.345431539,4043553.57007375,4043654.0346495733,4043742.612251674,4043307.122072555,4043432.2461977177,4043545.6365445065,4043646.7996196845,4043736.441622246,4043300.12569986,4043424.5546365846,4043537.893794517,4043639.485524244,4043729.894501877,4043293.62415153,4043417.283444392,4043530.424813223,4043632.2532463646,4043723.211987858,4043287.572168894,4043410.4217649316,4043523.2652563606,4043625.1912755584,4043716.537801315,4043281.9261102914,4043403.9480310013,4043516.4251376414,4043618.3464528807,4043709.95788273,4043276.6458652345,4043397.8364637652,4043509.9005760145,4043611.741160312,4043703.5229485906,4043271.695405979,4043392.060381684,4043503.680334288,4043605.383254519,4043697.2618028307,4043267.042733216,4043386.593856245,4043497.7495264416,4043599.271960671,4043691.1894248915,4043262.6595698562,4043381.4124943437,4043492.091739212,4043593.401441386,4043685.312003921,4043258.5209696037,4043376.4937554626,4043486.690244373,4043587.7629903085,4043679.630134646,4043254.604917582,4043371.8170223907,4043481.52868023,4043582.3463930865,4043674.1408786383,4043250.8919568867,4043367.363544738,4043476.5914195417,4043577.1407746295,4043668.8391101495,4043247.3648538142,4043363.116320835,4043471.8637511046,4043572.1351244966,4043663.7184024686
8,2021-07-09,4043064.8760081143,4043197.5312583707,4043318.0145053947,4043425.558128006,4043520.8082930213,4043056.5974547425,4043188.7476893524,4043309.621299549,4043418.2211907725,4043514.993244604,4043048.8973017065,4043180.3269277033,4043301.2520515714,4043410.492929214,4043508.3303364734,4043041.7476183786,4043172.3331924663,4043293.08793028,4043402.6840761784,4043501.2642133473,4043035.105173072,4043164.7791877766,4043285.2160954154,4043394.966387027,4043494.05547118,4043028.9234090927,4043157.6531688347,4043277.6737083634,4043387.434085708,4043486.8592406097,4043023.157479048,4043150.9323137337,4043270.4708876805,4043380.136830584,4043479.768095412,4043017.766191794,4043144.5894826073,4043263.603131796,4043373.09813991,4043472.8364993786,4043012.7125672237,4043138.596652519,4043257.0582267577,4043366.3260342646,4043466.0952312252,4043007.963773128,4043132.9266313836,4043250.8201577254,4043359.8193460866,4043459.560146057,4043003.490806023,4043127.553863831,4043244.8713435438,4043353.571536593,4043453.2376256944,4042999.268086144,4043122.454754135,4043239.1939105643,4043347.573038865,4043447.128036148,4042995.273045354,4043117.607733895,4043233.770406285,4043341.8127092905,4043441.227955533,4042991.485742379,4043112.9931984176,4043228.5841824985,4043336.27872933,4043435.5316270352,4042987.8885182263,4043108.593379898,4043223.619582407,4043330.9591632118,4043430.031914476
9,2021-07-10,4042803.211859421,4042941.4979253537,4043068.8657419416,4043183.8298557135,4043286.6110634874,4042794.7970327195,4042932.439033411,4043060.0986866457,4043176.081604818,4043280.411298394,4042786.9714063355,4042923.7568896585,4043051.3598283026,4043167.9231612734,4043273.310018266,4042779.7063401258,4042915.517366491,4043042.838208847,4043159.6828339812,4043265.7818335644,4042772.957679289,4042907.733200571,4043034.624532315,4043151.5418577213,4043258.1047091843,4042766.6779278917,4042900.391947899,4043026.7572449753,4043143.5994531587,4043250.443930847,4042760.821361064,4042893.4697861085,4043019.246561785,4043135.9077308457,4043242.897969213,4042755.345998071,4042886.9384849602,4043012.087461573,4043128.491195399,4043235.524613141,4042750.2141608014,4042880.7689440767,4043005.2669077446,4043121.358006252,4043228.3563878145,4042745.392405056,4042874.932954669,4042998.7679329817,4043114.5066498104,4043221.409916723,4042740.8511924623,4042869.404024941,4042992.5719697233,4043107.929972624,4043214.6917429226,4042736.5644759075,4042864.1577081005,4042986.6601762874,4043101.6176547925,4043208.202019593,4042732.5092783873,4042859.171667888,4042981.0141778677,4043095.557740247,4043201.9368863353,4042728.6653001197,4042854.4256094294,4042975.6164626935,4043089.7375859763,4043195.8900174573,4042725.0145668867,4042849.901145541,4042970.45057391,4043084.144447846,4043190.053639063
