,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045019.5301641743,4045027.4918709453,4045032.844595618,4045036.6444842946,4045039.456684588,4045018.793110957,4045026.948839609,4045032.450879715,4045036.367035603,4045039.2715614764,4045018.0928832674,4045026.4182902453,4045032.0519235516,4045036.0709649078,4045039.057337687,4045017.4296393767,4045025.9053803566,4045031.656476914,4045035.767745179,4045038.827652359,4045016.8018184123,4045025.412165268,4045031.269187347,4045035.463974661,4045038.590639286,4045016.2071795166,4045024.93910627,4045030.892452825,4045035.1635021064,4045038.3512806725,4045015.6432884973,4045024.4858418005,4045030.527399237,4045034.868564824,4045038.1126775704,4045015.107745608,4045024.051596496,4045030.174419645,4045034.580427943,4045037.876770411,4045014.5982877105,4045023.6354035237,4045029.833482376,4045034.2997576734,4045037.6447645808,4045014.1128282617,4045023.2362269075,4045029.504311843,4045034.026846238,4045037.417390387,4045013.6494664787,4045022.853028698,4045029.186496826,4045033.7617509374,4045037.1950663854,4045013.2064815816,4045022.484805059,4045028.8795561725,4045033.504381936,4045036.9780044346,4045012.7823202894,4045022.130604588,4045028.582978915,4045033.2545585777,4045036.7662786185,4045012.3755818177,4045021.7895364114,4045028.2962487224,4045033.0120459576,4045036.5598712005,4045011.985002514,4045021.4607724305,4045028.0188586125,4045032.7765788618,4045036.3587036887
1,2021-07-02,4044951.770778267,4044971.6086978377,4044985.4353901725,4044995.495240105,4045003.0727192326,4044950.0401226333,4044970.269642382,4044984.4320668173,4044994.7714865804,4045002.581369923,4044948.4019277026,4044968.9650206105,4044983.417526091,4044994.000346273,4045002.0133988946,4044946.855599877,4044967.7071847767,4044982.4140200857,4044993.211853773,4045001.4051668174,4044945.3966150694,4044966.500789462,4044981.4332385715,4044992.423209462,4045000.7783211065,4044944.018979863,4044965.346572521,4044980.481098998,4044991.64438214,4045000.1460840884,4044942.7163670817,4044964.243280218,4044979.560270949,4044990.8811104954,4044999.5166516523,4044941.4826349136,4044963.188682302,4044978.6715659937,4044990.136588533,4044998.895122042,4044940.3120499416,4044962.1801192597,4044977.814729379,4044989.4124487163,4044998.284635168,4044939.1993657327,4044961.2148000477,4044976.988902876,4044988.709353485,4044997.687068277,4044938.139831327,4044960.2899629516,4044976.192900515,4044988.027360185,4044997.1034726445,4044937.1291669374,4044959.4029598352,4044975.425374798,4044987.3661507736,4044996.5343541126,4044936.1635258268,4044958.551296989,4044974.684917314,4044986.7251786795,4044995.9798568343,4044935.2394519486,4044957.7326513096,4044973.9701193487,4044986.103763757,4044995.4398855413,4044934.3538381364,4044956.9448725823,4044973.279607741,4044985.5011541075,4044994.914187978
2,2021-07-03,4044863.3817486414,4044896.732493114,4044920.7399702896,4044938.603286239,4044952.27996077,4044860.633200689,4044894.5098821684,4044919.0235659033,4044937.337921399,4044951.406810722,4044858.0390965478,4044892.3494849717,4044917.2911136313,4044935.9915374834,4044950.398479153,4044855.5972110676,4044890.2712649517,4044915.580596606,4044934.61679986,4044949.319830946,4044853.2992308433,4044888.2823500056,4044913.911771395,4044933.243753786,4044948.209423388,4044851.134685029,4044886.383393681,4044912.294464586,4044931.8897111933,4044947.0907463613,4044849.0927356705,4044884.571801808,4044910.7329406724,4044930.5645490508,4044945.978304777,4044847.1629790487,4044882.84342483,4044909.2283022897,4044929.273683526,4044944.8810723396,4044845.3357762005,4044881.1934635793,4044907.7798537556,4044928.0198032507,4044943.8045316944,4044843.602356666,4044879.6169570987,4044906.3858953915,4044926.8039106084,4044942.751919621,4044841.9548142664,4044878.109042289,4044905.0441945298,4044925.625962867,4044941.7250080523,4044840.38605404,4044876.665086636,4044903.75226773,4044924.4852746995,4044940.7246052236,4044838.889719979,4044875.280749609,4044902.5075502624,4044923.380774702,4044939.750883393,4044837.460118357,4044873.9520039745,4044901.3074970706,4044922.3111705864,4044938.80359651,4044836.092143748,4044872.675134856,4044900.1496415557,4044921.275056195,4044937.8822266036
3,2021-07-04,4044759.697932173,4044806.861600333,4044841.826435892,4044868.387585574,4044889.035705719,4044756.019382959,4044803.763813304,4044839.3660360435,4044866.5362792937,4044887.7383687464,4044752.5557723963,4044800.7586764507,4044836.8865312226,4044864.568801179,4044886.2414821554,4044749.30268571,4044797.8733498966,4044834.4422468026,4044862.562394776,4044884.641752411,4044746.2477429574,4044795.117042969,4044832.0611880166,4044860.5609739968,4044882.9965814436,4044743.3758796733,4044792.4899798827,4044829.7570607527,4044858.589707775,4044881.3408563402,4044740.671725217,4044789.987932208,4044827.535593847,4044856.6628380427,4044879.696044438,4044738.1206475385,4044787.6045849645,4044825.398007302,4044854.7880666526,4044878.075360166,4044735.7091679415,4044785.332794871,4044823.342977723,4044852.9691096987,4044876.486817066,4044733.4250757387,4044783.165261855,4044821.3677795497,4044851.207229969,4044874.935089815,4044731.2574024783,4044781.0948816035,4044819.4689589315,4044849.502178736,4044873.4226812287,4044729.1963345725,4044779.114921684,4044817.6427352787,4044847.8527856525,4044871.9506702595,4044727.233103458,4044777.219099224,4044815.885240646,4044846.257333556,4044870.519200427,4044725.359872467,4044775.40160382,4044814.192660874,4044844.71379895,4044869.1278036474,4044723.569629418,4044773.6570904837,4044812.561316508,4044843.2200070624,4044867.775617543
4,2021-07-05,4044644.5826723943,4044705.0713801733,4044751.154394005,4044786.8456071764,4044814.991851629,4044640.1110822633,4044701.160742481,4044747.965304892,4044784.399106545,4044813.2520215395,4044635.9089213954,4044697.373418619,4044744.755848918,4044781.801855275,4044811.2461544154,4044631.969365111,4044693.742958322,4044741.5962864966,4044779.156145125,4044809.104334223,4044628.2761003743,4044690.2801917833,4044738.522547339,4044776.5199470865,4044806.9036721713,4044624.809761113,4044686.984653983,4044735.5519566885,4044773.9263266735,4044804.6909314357,4044621.550798914,4044683.8503429955,4044732.691498866,4044771.3938533757,4044802.494794701,4044618.4807234867,4044680.8687136085,4044729.942343296,4044768.9324396546,4044800.332836013,4044615.5825780295,4044678.0302602225,4044727.3024037313,4044766.546737917,4044798.2156388555,4044612.841053601,4044675.325354767,4044724.7678199164,4044764.238175931,4044796.1493075606,4044610.2424371494,4044672.7446811697,4044722.3338291566,4044762.0062055965,4044794.137040157,4044607.7744886256,4044670.279447745,4044719.995283087,4044759.849083411,4044792.180135449,4044605.426294129,4044667.921476492,4044717.7469536606,4044757.7643650146,4044790.278649746,4044603.188117765,4044665.663224505,4044715.5837118584,4044755.749221416,4044788.4318315387,4044601.0512626097,4044663.4977687597,4044713.500628634,4044753.800642016,4044786.6384126004
5,2021-07-06,4044521.3498352407,4044594.1299776924,4044651.0244695297,4044695.904964268,4044731.7843066882,4044516.24502397,4044589.5029655644,4044647.155038238,4044692.8809785997,4044729.603140596,4044511.455421514,4044585.0282865344,4044643.2655777545,4044689.6737195463,4044727.0902420143,4044506.9718459467,4044580.744868143,4044639.4411581666,4044686.4098525695,4044724.409134956,4044502.7744743866,4044576.664703042,4044635.724967636,4044683.1609558677,4044721.6566340835,4044498.840202253,4044572.786472923,4044632.137549154,4044679.9676764407,4044718.8913329644,4044495.1458992832,4044569.102397581,4044628.686900167,4044676.852683274,4044716.1490639737,4044491.669796451,4044565.60178263,4044625.373996352,4044673.8279306623,4044713.451687445,4044488.3920005625,4044562.272885925,4044622.195908758,4044670.898880531,4044710.812282893,4044485.2946006646,4044559.1038983846,4044619.1476037106,4044668.0670294324,4044708.2383136447,4044482.3615888604,4044556.0834468286,4044616.2229979252,4044665.331456469,4044705.733607426,4044479.5787040535,4044553.200834843,4044613.415581261,4044662.6897888,4044703.2996232775,4044476.9332515765,4044550.446139288,4044610.718783197,4044660.138811902,4044700.9362766915,4044474.413923965,4044547.810227848,4044608.126184961,4044657.6748585603,4044698.642484899,4044472.0106342025,4044545.284734509,4044605.631637693,4044655.294057613,4044696.416531359
6,2021-07-07,4044391.9980890173,4044475.8327358565,4044542.9946045424,4044596.9069802617,4044640.571505282,4044386.410121061,4044470.594132498,4044538.5075174477,4044593.3374845535,4044637.961590874,4044381.1738422117,4044465.534147977,4044534.0019343593,4044589.554865494,4044634.956666561,4044376.277967729,4044460.696102112,4044529.5763102598,4044585.708869507,4044631.7528727753,4044371.699738978,4044456.092773419,4044525.2803051523,4044581.8838984487,4044628.466203687,4044367.412988172,4044451.7219255166,4044521.137249377,4044578.1276901723,4044625.1667307555,4044363.391682395,4044447.5740949255,4044517.1559291887,4044574.4666996817,4044621.8971890225,4044359.6114150537,4044443.6366122956,4044513.3370243814,4044570.914721026,4044618.683546797,4044356.049943807,4044439.895708623,4044509.6767346202,4044567.4778957963,4044615.541248113,4044352.6872853558,4044436.3376150243,4044506.168868409,4044564.157707412,4044612.479016796,4044349.505611028,4044432.9491208848,4044502.8060638737,4044560.952812671,4044609.501235705,4044346.4890615246,4044429.717836269,4044499.580506353,4044557.860182075,4044606.6094672824,4044343.6235381905,4044426.6322922213,4044496.484348318,4044554.875818941,4044603.803442735,4044340.8964978806,4044423.681953026,4044493.509950455,4044551.995216464,4044601.0817147824,4044338.296763341,4044420.857182092,4044490.650014215,4044549.2136489158,4044598.4420932126
7,2021-07-08,4044258.3788312725,4044351.867735304,4044428.5577399763,4044491.1609646054,4044542.5033667353,4044252.446759347,4044346.1264488474,4044423.5258754482,4044487.089029004,4044539.486640948,4044246.893544577,4044340.5866091484,4044418.4779018527,4044482.7772372644,4044536.0153532624,4044241.7061687075,4044335.2949821963,4044413.524026339,4044478.3966420568,4044532.316707178,4044236.8595830346,4044330.264823103,4044408.719515561,4044474.043428221,4044528.5249276897,4044232.325275713,4044325.492986038,4044404.0900437343,4044469.7718011984,4044524.720961959,4044228.0750160553,4044320.9684895296,4044399.6449812762,4044465.6116264146,4044520.9540546755,4044224.0824147486,4044316.676927096,4044395.384645129,4044461.578313904,4044517.2540207277,4044220.3234732165,4044312.60276862,4044391.304376364,4044457.678556542,4044513.638492916,4044216.7766658072,4044308.730555326,4044387.39688415,4044453.9137572343,4044510.1173370415,4044213.4228139324,4044305.0455008415,4044383.653611768,4044450.2821225347,4044506.6954116635,4044210.244877411,4044301.53376904,4044380.0655366317,4044446.7799639646,4044503.374330356,4044207.22772338,4044298.182575499,4044376.6236360646,4044443.4025169495,4044500.153606889,4044204.3579010237,4044294.980193784,4044373.319152722,4044440.1444599545,4044497.03140993,4044201.623434335,4044291.9159120973,4044370.1437387485,4044437.000244122,4044494.005065797
8,2021-07-09,4044121.217140597,4044223.028539872,4044308.4803095656,4044379.372421112,4044438.2169083455,4044115.0492368024,4044216.880726511,4044302.9735561586,4044374.8426274853,4044434.818226562,4044109.2793690576,4044210.9535975587,4044297.453519281,4044370.049205702,4044430.909466176,4044103.8932120474,4044205.2965965117,4044292.0406085406,4044365.1826587515,4044426.747088492,4044098.864048655,4044199.9232524936,4044286.7949018264,4044360.3498848365,4044422.482460418,4044094.161681004,4044194.8295832416,4044281.7440317585,4044355.610932072,4044418.2067266437,4044089.7563091186,4044190.003292682,4044276.897796068,4044350.9987128275,4044413.9752100334,4044085.6201351266,4044185.4284963626,4044272.2561210543,4044346.530047869,4044409.8212943203,4044081.7279176866,4044181.0881791953,4044267.813533998,4044342.212073887,4044405.764621994,4044078.057043266,4044176.965465642,4044263.5617293264,4044338.046067048,4044401.816086573,4044074.587383792,4044173.0442537377,4044259.4910605066,4044334.029776001,4044397.980951409,4044071.301070546,4044169.3095038757,4044255.5914109615,4044330.158869846,4044394.260839702,4044068.182246668,4044165.747339897,4044251.852698848,4044326.42784764,4044390.655026414,4044065.2168272324,4044162.3450494586,4044248.2651627907,4044322.8306135912,4044387.161288633,4044062.392279277,4044159.091032325,4044244.81951535,4044319.360841175,4044383.7764712195
9,2021-07-10,4043981.1289821356,4044089.98233295,4044183.4111371925,4044262.144535322,4044328.2619643537,4043974.8079501977,4044083.512177132,4044177.495438601,4044257.2016134323,4044324.507913025,4043968.8975803605,4044077.2784400443,4044171.5694289417,4044251.9740730915,4044320.1924552983,4043963.382655775,4044071.332617385,4044165.7622711402,4044246.6699931095,4044315.599348738,4043958.235341555,4044065.68838433,4044160.1381294373,4044241.4059182955,4044310.8959284066,4043953.4243182023,4044060.341031407,4044154.726260296,4044236.2471277094,4044306.182814556,4043948.9187461287,4044055.2771654255,4044149.5367692793,4044231.2292346493,4044301.5209567156,4043944.689897086,4044050.479684285,4044144.5691919476,4044226.370283925,4044296.9470234546,4043940.711710767,4044045.9303576914,4044139.8173072133,4044221.6777666146,4044292.482489497,4043936.9608581266,4044041.611155769,4044135.271894732,4044217.152802672,4044288.1391678243,4043933.4165876405,4044037.5049080686,4044130.9223346086,4044212.792690362,4044283.9226639867,4043930.0604873635,4044033.5956000322,4044126.7575386353,4044208.5924864495,4044279.834578659,4043926.8762263805,4044029.8684729408,4044122.7664879207,4044204.5459971037,4044275.87393626,4043923.8493050714,4044026.3100188966,4044118.9385354305,4044200.646403249,4044272.0381242665,4043920.9668266475,4044022.9079219205,4044115.263566876,4044196.8866553525,4044268.323517184
