,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045024.3683677195,4045031.4088673093,4045036.12698658,4045039.4690843355,4045041.9386497047,4045023.7151954016,4045030.9295371594,4045035.780359873,4045039.2252636165,4045041.776181255,4045023.094435146,4045030.4611028987,4045035.429053438,4045038.9650429413,4045041.5881559094,4045022.5062609664,4045030.008128189,4045035.080771487,4045038.698501363,4045041.386539079,4045021.949320137,4045029.5724402666,4045034.739610051,4045038.431437506,4045041.178467385,4045021.4216531343,4045029.15445909,4045034.4076859565,4045038.1672355244,4045040.968313246,4045020.9211250176,4045028.7538772295,4045034.085996372,4045037.9078642586,4045040.758799097,4045020.445627757,4045028.3700206806,4045033.774893072,4045037.654438497,4045040.5516292877,4045019.993171309,4045028.0020451085,4045033.474353457,4045037.407546712,4045040.347863303,4045019.5619195625,4045027.6490439256,4045033.1841396783,4045037.1674485845,4045040.1481437543,4045019.1501989034,4045027.3101077173,4045032.9038939592,4045036.934197145,4045039.952839627,4045018.7564934785,4045026.9843562394,4045032.633196465,4045036.707715893,4045039.7621384277,4045018.3794344277,4045026.6709547164,4045032.3716006665,4045036.4878482847,4045039.576106645,4045018.0177868297,4045026.3691211077,4045032.1186549123,4045036.274389879,4045039.394730075,4045017.6704362985,4045026.078128189,4045031.873915429,4045036.0671093953,4045039.217941075
1,2021-07-02,4044964.384150888,4044982.0885642543,4044994.3739071353,4045003.284660983,4045009.9813689883,4044962.8355137375,4044980.896573364,4044993.4839933785,4045002.6443906394,4045009.5475464584,4044961.3689659764,4044979.734837317,4044992.5838974365,4045001.9620695966,4045009.0460057105,4044959.9840813247,4044978.614391469,4044991.6933609545,4045001.264256323,4045008.508832794,4044958.676904846,4044977.5394242043,4044990.8227690132,4045000.5661683497,4045007.955134142,4044957.4421529598,4044976.5106358654,4044989.977391209,4044999.87663226,4045007.396584079,4044956.2742303465,4044975.5269498816,4044989.159617104,4044999.2007353804,4045006.8404226596,4044955.1676961845,4044974.5864156536,4044988.3701872607,4044998.541314848,4045006.2911568554,4044954.1174655543,4044973.686695799,4044987.6088947207,4044997.8998263148,4045005.751565409,4044953.118881428,4044972.8253316083,4044986.874995304,4044997.276866709,4045005.223312435,4044952.1677236874,4044971.99988675,4044986.167452191,4044996.67249683,4045004.7073326325,4044951.26018855,4044971.208022783,4044985.485083477,4044996.086444481,4045004.2040787907,4044950.392855412,4044970.4475359884,4044984.826651587,4044995.518234384,4045003.7136839256,4044949.562649722,4044969.716372185,4044984.19091722,4044994.9672722328,4045003.236069203,4044948.7668061927,4044969.0126291136,4044983.5766713265,4044994.4328994486,4045002.771016717
2,2021-07-03,4044885.740812039,4044915.708735977,4044937.1708036503,4044953.0805977443,4044965.227453952,4044883.2644022945,4044913.717836584,4044935.6398314885,4044951.955498236,4044964.4529714948,4044880.926055357,4044911.7819244615,4044934.094080101,4044950.7580880593,4044963.558436794,4044878.7239519265,4044909.9189609494,4044932.5674412986,4044949.5351713286,4044962.6013472513,4044876.650764872,4044908.135418668,4044931.077572841,4044948.3134665634,4044961.6158896163,4044874.697197681,4044906.4319669716,4044929.633283553,4044947.1083839247,4044960.622900211,4044872.853599443,4044904.806357589,4044928.2384220166,4044945.928728698,4044959.6352536352,4044871.1106902114,4044903.2549394094,4044926.894014125,4044944.779341665,4044958.6609223383,4044869.4598622345,4044901.773470191,4044925.5994779407,4044943.662638083,4044957.7047838913,4044867.8932764893,4044900.3575544558,4044924.353331808,4044942.579532472,4044956.7697241292,4044866.403861451,4044899.0028771427,4044923.1536145713,4044941.530008202,4044955.857329156,4044864.9852673793,4044897.705323541,4044921.998137609,4044940.5134752546,4044954.9683294673,4044863.631802915,4044896.461035231,4044920.8846363924,4044939.5289983302,4044954.102890451,4044862.338367362,4044895.266429986,4044919.810860942,4044938.575443851,4044953.2608053954,4044861.1003851313,4044894.1182016293,4044918.7746286388,4044937.651575265,4044952.441625348
3,2021-07-04,4044793.1988702533,4044835.801135643,4044867.210950329,4044890.972477749,4044909.3851851574,4044789.8682326004,4044833.0131244725,4044865.0066877743,4044889.3197302385,4044908.230183836,4044786.730769072,4044830.3074251623,4044862.784589878,4044887.5628291303,4044906.897280486,4044783.782736489,4044827.7086027237,4044860.5933488896,4044885.7706973576,4044905.472509246,4044781.013147106,4044825.22507752,4044858.4581127097,4044883.9825468855,4044904.0069526844,4044778.408546453,4044822.857176279,4044856.3912306386,4044882.2208768018,4044902.5316727594,4044775.9551699595,4044820.60120489,4044854.3979061847,4044880.498440436,4044901.065797212,4044773.639893867,4044818.451576537,4044852.4792991085,4044878.8221551203,4044899.6211129148,4044771.4506156803,4044816.401944884,4044850.6342842155,4044877.195379078,4044898.204779128,4044769.376362284,4044814.445809957,4044848.860473286,4044875.6192778223,4044896.820982983,4044767.4072701894,4044812.5768371406,4044847.154819023,4044874.0936642154,4044895.471977203,4044765.5345093277,4044810.789017299,4044845.5139753455,4044872.617524899,4044894.1587453866,4044763.7501859316,4044809.0767381345,4044843.9345125053,4044871.1893549846,4044892.88143656,4044762.0472419714,4044807.4348060344,4044842.4130441956,4044869.8073729584,4044891.6396533926,4044760.4193593934,4044805.8584407843,4044840.9463006626,4044868.4696593923,4044890.4326456957
4,2021-07-05,4044690.2796855615,4044745.1365421326,4044786.694238247,4044818.7389204013,4044843.9217450675,4044686.217401033,4044741.6045409963,4044783.827375945,4044816.547796327,4044842.3681737934,4044682.398237056,4044738.1825690856,4044780.941245661,4044814.221041852,4044840.5766918655,4044678.8162937057,4044734.901085808,4044778.0990425483,4044811.8502231045,4044838.663368234,4044675.4570106324,4044731.770043027,4044775.3331469987,4044809.487273203,4044836.697029133,4044672.303010248,4044728.789180696,4044772.6592301317,4044807.1618494415,4044834.7194363833,4044669.336710012,4044725.953219862,4044770.083667324,4044804.8906388087,4044832.7562258295,4044666.5414555357,4044723.2545650415,4044767.6076002014,4044802.682578199,4044830.823123207,4044663.901958435,4044720.6847350514,4044765.2292346936,4044800.541891997,4044828.9296156997,4044661.404405431,4044718.2351219063,4044762.945172449,4044798.46991272,4044827.0811912566,4044659.036415411,4044715.8973855013,4044760.7511947416,4044796.4661984835,4044825.280741284,4044656.786931249,4044713.66364757,4044758.642727833,4044794.529231782,4044823.5294590057,4044654.646089145,4044711.526574222,4044756.615118981,4044792.6568625686,4044821.8274254906,4044652.6050862405,4044709.479396891,4044754.6637980207,4044790.8465918135,4044820.1739976946,4044650.6560560553,4044707.5158999544,4044752.7843689737,4044789.0957537536,4044818.5680684657
5,2021-07-06,4044579.828172012,4044646.0681374557,4044697.559508582,4044737.9927537083,4044770.1978389006,4044575.1773905787,4044641.875873744,4044694.069995857,4044735.276149177,4044768.244553091,4044570.8120264434,4044637.82007745,4044690.5612479523,4044732.394115113,4044765.993726209,4044566.7240416296,4044633.936207272,4044687.1100281114,4044729.4603830487,4044763.5916822134,4044562.895657766,4044630.2353302883,4044683.755386877,4044726.5392750795,4044761.125083307,4044559.3060581936,4044626.7164398856,4044680.5159710096,4044723.6673640185,4044758.646409476,4044555.934359607,4044623.3726526177,4044677.399113089,4044720.8650876614,4044756.18778223,4044552.760882639,4044620.1944212657,4044674.4058048306,4044718.143261955,4044753.7688227654,4044549.7676274003,4044617.171227517,4044671.5335051636,4044715.5068680644,4044751.4012933695,4044546.9383761687,4044614.292473257,4044668.7777628694,4044712.957319618,4044749.091927184,4044544.2586259637,4044611.5479389355,4044666.133168702,4044710.493852151,4044746.844199561,4044541.71544997,4044608.928004373,4044663.593918074,4044708.114390243,4044744.659461458,4044539.2973362184,4044606.423738454,4044661.1541427597,4044705.816096001,4044742.5376778794,4044536.9940266837,4044604.0269169444,4044658.8081033877,4044703.595718993,4044740.4779160917,4044534.796367257,4044601.73000188,4044656.5502970954,4044701.4498202675,4044738.4786721435
6,2021-07-07,4044463.6101748697,4044540.1556629706,4044601.142153649,4044649.871362855,4044689.1872171178,4044458.506964523,4044535.3957203785,4044597.0836017565,4044646.6552910167,4044686.843370487,4044453.7231514775,4044530.7963872086,4044593.006974276,4044643.2462586015,4044684.1442076145,4044449.248767649,4044526.3972361065,4044589.001380149,4044639.779117826,4044681.265732184,4044445.063317876,4044522.2101011,4044585.1118583526,4044636.329939959,4044678.3120687325,4044441.143142941,4044518.2331572925,4044581.3596525746,4044632.941807329,4044675.3461569967,4044437.464661884,4044514.457987919,4044577.7528501255,4044629.638644807,4044672.40641737,4044434.0057415357,4044510.873236991,4044574.2921955665,4044626.4329738514,4044669.5162272872,4044430.74619482,4044507.466525055,4044570.974367396,4044623.3304179036,4044666.6895180913,4044427.66787332,4044504.2254515206,4044567.7938670274,4044620.3323968314,4044663.9341860823,4044424.75457682,4044501.138104949,4044564.7441237792,4044617.437775835,4044661.2542264047,4044421.9918880346,4044498.193304393,4044561.8181452607,4044614.643892665,4044658.6510971976,4044419.3669850905,4044495.3806930454,4044559.008898642,4044611.947205894,4044656.124607361,4044416.868456648,4044492.690751519,4044556.3095301352,4044609.3437073375,4044653.673502673,4044414.486130669,4044490.1147686294,4044553.713486174,4044606.829185129,4044651.295857107
7,2021-07-08,4044343.1116271443,4044428.748151163,4044498.624601204,4044555.4016029416,4044601.783186132,4044337.680308194,4044423.515862449,4044494.0590370116,4044551.7213670923,4044599.0657459716,4044332.594078673,4044418.465379989,4044489.477368673,4044547.8232707563,4044595.9381606295,4044327.8413611474,4044413.6395510132,4044484.979657312,4044543.861837471,4044592.604927763,4044323.3995133475,4044409.0506942593,4044480.616186007,4044539.9240324,4044589.1869052723,4044319.2426705146,4044404.6961635645,4044476.4104087637,4044536.05893063,4044585.75702534,4044315.345179665,4044400.5661443938,4044472.370984423,4044532.2936289166,4044582.359698354,4044311.6830357965,4044396.6476724516,4044468.498345076,4044528.6421631966,4044579.021849315,4044308.2343920805,4044392.926733324,4044464.788392276,4044525.1106866286,4044575.759435631,4044304.979641225,4044389.3893548637,4044461.234623375,4044521.700563313,4044572.58141807,4044301.901305219,4044386.022158393,4044457.8293719427,4044518.410259096,4044569.492243448,4044298.9838482565,4044382.812615051,4044454.5645351936,4044515.2365175495,4044566.4934304547,4044296.2134682997,4044379.749140971,4044451.431998276,4044512.1751005906,4044563.584600598,4044293.577893304,4044376.8211053014,4044448.4238767168,4044509.221258434,4044560.764157953,4044291.066193433,4044374.018792607,4044445.5326486807,4044506.370028366,4044558.029742266
8,2021-07-09,4044219.211796329,4044312.716161834,4044390.8063028664,4044455.2973692785,4044508.6176300985,4044213.55453563,4044307.0999602904,4044385.7964249747,4044451.1919001513,4044505.5475917924,4044208.260640203,4044301.683568479,4044380.7728937073,4044446.84631851,4044502.0160313994,4044203.3173019695,4044296.5123873074,4044375.845328401,4044442.4332030676,4044498.2544262963,4044198.7002980043,4044291.599019257,4044371.0685348255,4044438.049477138,4044494.399451304,4044194.382162409,4044286.9400505316,4044366.4678224185,4044433.7496581697,4044490.533457318,4044190.335749883,4044282.524444058,4044362.0522718607,4044429.563691488,4044486.706477088,4044186.5357146715,4044278.337855507,4044357.821969547,4044425.5069420924,4044482.9487443236,4044182.959026125,4044274.3648809986,4044353.772072868,4044421.585993042,4044479.278086578,4044179.585040039,4044270.590220949,4044349.8951445203,4044417.8021067656,4044475.7044279105,4044176.395372921,4044266.9992628214,4044346.182510928,4044414.1533380547,4044472.2326024575,4044173.373698462,4044263.5783481603,4044342.62505628,4044410.635846283,4044468.8641502606,4044170.505523569,4044260.3148677265,4044339.2136835996,4044407.2447202774,4044465.5984835876,4044167.777970708,4044257.197264173,4044335.939576437,4044403.974500503,4044462.4336550226,4044165.179578041,4044254.2149867537,4044332.7943400755,4044400.819510035,4044459.3668687013
9,2021-07-10,4044092.549263275,4044192.7226537964,4044278.3138531144,4044350.1292629023,4044410.202654087,4044086.7453496396,4044186.8013743307,4044272.9200929804,4044345.638648381,4044406.80325875,4044081.3168725087,4044181.094708937,4044267.515334994,4044340.8882141965,4044402.8946607676,4044076.2501754537,4044175.650015246,4044262.217425136,4044336.066917774,4044398.733610902,4044071.519969361,4044170.480048011,4044257.085020713,4044331.2806828497,4044394.4715774115,4044067.0977174398,4044165.5807175036,4044252.144972218,4044326.588916865,4044390.199697979,4044062.9552812297,4044160.9399586353,4044247.4066650816,4044322.0240985234,4044385.9732304183,4044059.0664258082,4044156.542283124,4044242.869832957,4044317.6027493016,4044381.825465413,4044055.4073375887,4044152.3711438384,4044238.5289428774,4044313.3317969595,4044377.7759417742,4044051.956688151,4044148.4101542155,4044234.3757091453,4044309.212371184,4044373.835448468,4044048.695497691,4044144.6436949023,4044230.400553155,4044305.2421182543,4044370.009148658,4044045.6069202153,4044141.0571882674,4044226.593454275,4044301.41663658,4044366.2985723093,4044042.6760090436,4044137.6371926256,4044222.944441958,4044297.730377583,4044362.7029091655,4044039.8894897914,4044134.3713999595,4044219.4438734096,4044294.177214782,4044359.2198593053,4044037.2355523957,4044131.24858393,4044216.0825819196,4044290.7508035125,4044355.846198508
