,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045027.967520671,4045034.309269947,4045038.5501042274,4045041.549825288,4045043.764146704,4045027.3783419495,4045033.8780273385,4045038.2387848347,4045041.3311014622,4045043.6185286916,4045026.8182672746,4045033.456515397,4045037.9232233614,4045041.0976451747,4045043.449994186,4045026.287473605,4045033.048846512,4045037.610339795,4045040.8584960485,4045043.2692648894,4045025.78475884,4045032.656672275,4045037.303815485,4045040.618855908,4045043.082736196,4045025.308371057,4045032.2803780516,4045037.005554961,4045040.3817616706,4045042.8943269844,4045024.8563976856,4045031.9196941704,4045036.716457308,4045040.148981103,4045042.7064778428,4045024.426948294,4045031.574020391,4045036.436841833,4045039.921516004,4045042.520717161,4045024.018237054,4045031.2426024512,4045036.1666913508,4045039.699896039,4045042.3379954807,4045023.6286154687,4045030.924629363,4045035.9057950526,4045039.4843558464,4045042.158889747,4045023.2565803565,4045030.6192869586,4045035.6538341125,4045039.27494457,4045041.9837316414,4045022.900769801,4045030.325786755,4045035.410433683,4045039.071595019,4045041.8126901463,4045022.5599536155,4045030.0433806977,4045035.175194679,4045038.8741680654,4045041.645825716,4045022.2330217194,4045029.771367768,4045034.947713179,4045038.6824814836,4045041.4831264173,4045021.9189721653,4045029.5090959114,4045034.7275921307,4045038.4963288493,4045041.3245323543
1,2021-07-02,4044973.9742263244,4044990.003820692,4045001.0944744,4045009.122247824,4045015.1463499116,4044972.56965935,4044988.9264554773,4045000.2920528194,4045008.5459177713,4045014.7563530467,4044971.239153674,4044987.8761977204,4044999.4803115223,4045007.931659429,4045014.305439253,4044969.982385695,4044986.86304517,4044998.6770539996,4045007.303372031,4045013.8224428007,4044968.795824579,4044985.890810248,4044997.891654143,4045006.6747540627,4045013.3245360735,4044967.674726176,4044984.960151916,4044997.1288759103,4045006.0537551404,4045012.8222140395,4044966.614055763,4044984.0701207053,4044996.390886817,4045005.4449607823,4045012.3219875307,4044965.608911917,4044983.218974346,4044995.6783669214,4045004.850931614,4045011.8279115157,4044964.6547102737,4044982.4046182055,4044994.9911408983,4045004.2729847077,4045011.342487817,4044963.747249817,4044981.6248454656,4044994.3285478647,4045003.7116638236,4045010.8672163542,4044962.8827219056,4044980.8774673115,4044993.6896619187,4045003.1670296495,4045010.402941234,4044962.0576923196,4044980.1603814894,4044993.0734252604,4045002.6388425916,4045009.95007314,4044961.26907176,4044979.471605871,4044992.4787289244,4045002.1266797236,4045009.5087350397,4044960.5140826455,4044978.809292094,4044991.9044615193,4045001.630010468,4045009.078859177,4044959.7902261186,4044978.1717279255,4044991.3495381735,4045001.1482459228,4045008.6602525036
2,2021-07-03,4044902.9039549497,4044930.1643293886,4044949.6197875496,4044964.0058921743,4044974.968804546,4044900.6471929518,4044928.3571767197,4044948.2340719365,4044962.9896970005,4044974.270420495,4044898.5155722736,4044926.5994817717,4044946.8346961467,4044961.9080255637,4044973.463691959,4044896.5075493585,4044924.9075962985,4044945.45234357,4044960.8031373336,4044972.600444095,4044894.616547702,4044923.2874491056,4044944.103018081,4044959.6991667603,4044971.7114963694,4044892.83418043,4044921.7396990554,4044942.794719268,4044958.610042704,4044970.8156382237,4044891.1517231744,4044920.262351535,4044941.5309577216,4044957.5437320727,4044969.9244844597,4044889.560777136,4044918.8521327297,4044940.3126877197,4044956.5046221414,4044969.045231825,4044888.053545707,4044917.505226631,4044939.139405977,4044955.494909252,4044968.182287313,4044886.622924315,4044916.2176730656,4044938.00979233,4044954.515433439,4044967.3382620974,4044885.2625008817,4044914.9855804374,4044936.922090138,4044953.5661925925,4044966.5145950876,4044883.9665154605,4044913.805235224,4044935.8743345826,4044952.646665497,4044965.711953175,4044882.7298035,4044912.673153325,4044934.8644900834,4044951.7560178787,4044964.930493072,4044881.5477349767,4044911.5860986263,4044933.8905324102,4044950.893235244,4044964.1700353236,4044880.4161553327,4044910.5410832926,4044932.9504967104,4044950.057209056,4044963.430181404
3,2021-07-04,4044818.9782891828,4044857.893180399,4044886.47568982,4044908.036876435,4044924.7081578365,4044815.930720083,4044855.3527402007,4044884.473477103,4044906.539239741,4044923.6635196847,4044813.0589953926,4044852.8866286823,4044882.45461633,4044904.946951494,4044922.4578275224,4044810.3598504965,4044850.517304763,4044880.463349981,4044903.3224437507,4044921.168856352,4044807.823371456,4044848.2525234576,4044878.5225566365,4044901.701253125,4044919.842794295,4044805.4373645624,4044846.092660585,4044876.643497059,4044900.1037852564,4044918.5077366503,4044803.189331646,4044844.0344198467,4044874.8309418103,4044898.541620443,4044917.1809929674,4044801.067343266,4044842.0727711082,4044873.08598575,4044897.021052358,4044915.8732374245,4044799.060389916,4044840.201983404,4044871.4076443436,4044895.54514911,4044914.590960427,4044797.1584836543,4044838.416177959,4044869.793781593,4044894.1149903475,4044913.337964519,4044795.352642287,4044836.7096199114,4044868.2416587556,4044892.7304280316,4044912.11630218,4044793.634821472,4044835.0768652176,4044866.7482619463,4044891.3905633325,4044910.926877139,4044791.997827323,4044833.5128265666,4044865.3104979345,4044890.0940499576,4044909.7698372244,4044790.4352255724,4044832.0127940676,4044863.9253100087,4044888.83928902,4044908.644834981,4044788.941254889,4044830.572431077,4044862.589744766,4044887.6245548963,4044907.5512027
4,2021-07-05,4044725.347069414,4044775.6412070566,4044813.5917580277,4044842.7651777864,4044865.6364261303,4044721.6171944975,4044772.4117502314,4044810.979120619,4044840.773559321,4044864.2272407794,4044718.1094765114,4044769.282034445,4044808.3483145144,4044838.658271743,4044862.602033827,4044714.818692248,4044766.2800106388,4044805.7569519063,4044836.502513398,4044860.8660312635,4044711.731640722,4044763.4148869063,4044803.234592815,4044834.353496937,4044859.0816439143,4044708.832506128,4044760.686527721,4044800.7955796,4044832.238206324,4044857.2867552233,4044706.1052591274,4044758.0901971,4044798.4457835075,4044830.171844159,4044855.504633224,4044703.5347011923,4044755.6190285594,4044796.186302165,4044828.1625707196,4044853.7495627124,4044701.106870493,4044753.2653341284,4044794.0155522027,4044826.2142619495,4044852.0301720346,4044698.8091454105,4044751.0212995633,4044791.930482234,4044824.328162858,4044850.351462259,4044696.6302078776,4044748.8793466683,4044789.9272874943,4044822.5039026365,4044848.716078393,4044694.559946274,4044746.832311997,4044788.001834438,4044820.740129667,4044847.125123681,4044692.5893372456,4044744.8735235194,4044786.149912859,4044819.0349143515,4044845.578690915,4044690.7103255684,4044742.9968208023,4044784.3673837255,4044817.386007067,4044844.0762143466,4044688.9157109093,4044741.1965445573,4044782.6502632084,4044815.791004073,4044842.616705571
5,2021-07-06,4044624.610743505,4044685.5341655463,4044732.7043452244,4044769.625870277,4044798.958402656,4044620.328558526,4044681.6896241205,4044729.514945021,4044767.149654811,4044797.181899332,4044616.3080273224,4044677.9692290197,4044726.3072136897,4044764.522149647,4044795.134489377,4044612.541961172,4044674.405618899,4044723.151341206,4044761.846984733,4044792.9491804987,4044609.014173353,4044671.009072188,4044720.0830848785,4044759.182802498,4044790.7047675466,4044605.705648314,4044667.7787865843,4044717.1195646646,4044756.5629756586,4044788.4489856493,4044602.597281137,4044664.708556295,4044714.2675592457,4044754.0061796377,4044786.211069622,4044599.6710519483,4044661.789717702,4044711.5280464226,4044751.5223218594,4044784.008892908,4044596.910468102,4044659.0127026634,4044708.898767737,4044749.115989845,4044781.8531842064,4044594.30066245,4044656.3678575517,4044706.375711197,4044746.788515995,4044779.750098447,4044591.828334312,4044653.8458653735,4044703.9539818787,4044744.539243341,4044777.70282637,4044589.4816243337,4044651.437949907,4044701.628316897,4044742.3663158077,4044775.712624613,4044587.2499679015,4044649.1359594017,4044699.3933893493,4044740.2671783124,4044773.7794869985,4044585.123948542,4044646.9323841496,4044697.2439850043,4044738.2388960305,4044771.9025884992,4044583.095161012,4044644.8203386106,4044695.1751013915,4044736.2783589475,4044770.0805822755
6,2021-07-07,4044518.482288333,4044589.0578471236,4044645.070840887,4044689.681642884,4044725.5791209578,4044513.774578648,4044584.682831114,4044641.352564814,4044686.7432684824,4044723.4425393734,4044509.36037879,4044580.454360568,4044637.616874304,4044683.628001903,4044720.9817001275,4044505.2307077195,4044576.408941892,4044633.9454428195,4044680.4590083407,4044718.356954032,4044501.3668424,4044572.557593869,4044630.379610019,4044677.3058067705,4044715.66318966,4044497.747108814,4044568.8987708767,4044626.938927961,4044674.207804102,4044712.9577881345,4044494.3498766255,4044565.4248525957,4044623.6308946456,4044671.1869154884,4044710.2757985196,4044491.154827299,4044562.125500501,4044620.4562743725,4044668.254639878,4044707.63856631,4044488.1434182525,4044558.989419954,4044617.4120975905,4044665.4161718315,4044705.058829581,4044485.2989720567,4044556.0052833864,4044614.49339117,4044662.672861167,4044702.54382513,4044482.606596092,4044553.162201323,4044611.6941912486,4044660.023718662,4044700.0972318924,4044480.0530325775,4044550.449946033,4044609.008139915,4044657.4663544367,4044697.720413582,4044477.6264875527,4044547.859039211,4044606.428835432,4044654.9975704723,4044695.413227594,4044475.3164618905,4044545.3807655387,4044603.950034209,4044652.613737799,4044693.1745592267,4044473.113594568,4044543.007146957,4044601.56576264,4044650.3110373043,4044691.002678497
7,2021-07-08,4044408.423576323,4044487.5189297767,4044551.8246347196,4044603.9098331574,4044646.3447846207,4044403.408230563,4044482.702478863,4044547.6345590353,4044600.5412509874,4044643.8631348927,4044398.7104770723,4044478.0522970376,4044543.4287878713,4044596.972593309,4044641.0065092724,4044394.319829815,4044473.6079651103,4044539.299193867,4044593.345251827,4044637.961559332,4044390.2155553764,4044469.3809686597,4044535.2920093676,4044589.7388472212,4044634.8386247153,4044386.373913665,4044465.3690067157,4044531.4288571714,4044586.198350286,4044631.7043187865,4044382.771332793,4044461.5631629056,4044527.7177803894,4044582.7486272375,4044628.599229832,4044379.3857399076,4044457.9516040753,4044524.159264478,4044579.402592035,4044625.5479883365,4044376.197036627,4044454.521514463,4044520.7496272773,4044576.1659408705,4044622.5652125245,4044373.1871778443,4044451.260103315,4044517.4829702117,4044573.039981558,4044619.6591309886,4044370.3400728903,4044448.155114377,4044514.352317294,4044570.023363336,4044616.8338479293,4044367.64141517,4044445.195063779,4044511.3502836707,4044567.1131531573,4044614.0907903938,4044365.078491568,4044442.3693293137,4044508.469466048,4044564.3055138728,4044611.4296493717,4044362.639995767,4044439.668159217,4044505.7026661825,4044561.596134844,4044608.8490005136,4044360.315856017,4044437.082638724,4044503.043013172,4044558.980505936,4044606.3467180547
8,2021-07-09,4044295.1932680337,4044381.674555463,4044453.6595542873,4044512.9271254903,4044561.7984165945,4044289.9661209285,4044376.4987423695,4044449.0551264132,4044509.1634820835,4044558.9903021874,4044285.0737083135,4044371.5059981137,4044444.437200459,4044505.1790010575,4044555.759574381,4044280.504389739,4044366.738302962,4044439.9065690446,4044501.1318437275,4044552.317849148,4044276.2359491102,4044362.2074168418,4044435.513692379,4044497.1108867656,4044548.7901068614,4044272.2431444307,4044357.9103278634,4044431.281934485,4044493.1661655684,4044545.2516842987,4044268.5010039685,4044353.836981648,4044427.21974218,4044489.325202554,4044541.748381612,4044264.986197177,4044349.9742584326,4044423.327287732,4044485.602156209,4044538.3079004623,4044261.6775151794,4044346.3080460094,4044419.6002029623,4044482.003131266,4044534.9465987054,4044258.5559401712,4044342.8243144047,4044416.0317244367,4044478.5293493387,4044531.67360471,4044255.6045320737,4044339.5096550575,4044412.613942641,4044475.1790850805,4044528.4933886626,4044252.8082427364,4044336.3515288457,4044409.338532786,4044471.948869071,4044525.4074041042,4044250.1537107793,4044333.338355426,4044406.1971796653,4044468.8342443514,4044522.4151543365,4044247.62906189,4044330.4595171046,4044403.181819228,4044465.8302456513,4044519.5148949483,4044245.22372526,4044327.70531826,4044400.2847693074,4044462.9317033878,4044516.704101605
9,2021-07-10,4044179.386824845,4044272.135944177,4044351.1472759843,4044417.2494643494,4044472.399602002,4044174.022476396,4044266.674271634,4044346.184204128,4044413.127244929,4044469.285861437,4044169.004174112,4044261.4095127666,4044341.2100515114,4044408.7657674374,4044465.7052021194,4044164.3194806254,4044256.3854863816,4044336.3333014594,4044404.338438647,4044461.8926788215,4044159.9451795276,4044251.614099867,4044331.6080201343,4044399.9425186757,4044457.986996279,4044155.855024562,4044247.0917120795,4044327.059019391,4044395.632602699,4044454.071647648,4044152.023112877,4044242.8073087423,4044322.695038349,4044391.4385799184,4044450.1972873383,4044148.425280453,4044238.7467009006,4044318.515926448,4044387.375693644,4044446.3944606655,4044145.0395846213,4044234.8947072513,4044314.516676318,4044383.4503770936,4044442.681120681,4044141.8463663855,4044231.2362809954,4044310.6897367984,4044379.6637350945,4044439.0672053583,4044138.828126908,4044227.7570714955,4044307.026356941,4044376.013667954,4044435.5574967344,4044135.9693311304,4044224.4436793807,4044303.51737003,4044372.496189189,4044432.1534449393,4044133.2561927275,4044221.283745099,4044300.1536475504,4044369.106252894,4044428.8543520994,4044130.676465627,4044218.265948187,4044296.9263557717,4044365.8382767113,4044425.6581514105,4044128.2192528388,4044215.379960459,4044293.8270932217,4044362.6864726758,4044422.5619251975
