,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045024.2605698127,4045031.307797799,4045036.034707541,4045039.385118236,4045041.8619402014,4045023.6071598916,4045030.8277671626,4045035.687317769,4045039.1406324515,4045041.698965228,4045022.986234527,4045030.3586826096,4045035.3352569565,4045038.879712158,4045041.5103588034,4045022.3979584593,4045029.9051112775,4045034.9862459903,4045038.612464862,4045041.308124996,4045021.8409700575,4045029.4688793696,4045034.644388651,4045038.3447049633,4045041.099423198,4045021.3133018482,4045029.050403832,4045034.311804789,4045038.079825287,4045040.888639478,4045020.8128120136,4045028.6493734685,4045033.98949205,4045037.819799252,4045040.678504497,4045020.3373866593,4045028.2651103497,4045033.677801332,4045037.5657438086,4045040.470727508,4045019.885030771,4045027.896766344,4045033.3767084633,4045037.318248156,4045040.266370824,4045019.4539040304,4045027.543431324,4045033.085973698,4045037.077571842,4045040.066078566,4045019.0423292597,4045027.20419264,4045032.8052372476,4045036.8437672625,4045039.8702203818,4045018.6487875837,4045026.878167121,4045032.53407727,4045036.616756996,4045039.6789838998,4045018.2719075684,4045026.564517364,4045032.2720453003,4045036.396383426,4045039.492435383,4045017.9104520986,4045026.2624589726,4045032.018687855,4045036.1824409757,4045039.310560182,4045017.5633049086,4045025.971262615,4045031.7735594474,4045035.9746972127,4045039.133290079
1,2021-07-02,4044964.293461415,4044981.959982633,4044994.2332820673,4045003.1427900675,4045009.8427772685,4044962.7492302544,4044980.7697734525,4044993.3438359853,4045002.5023956355,4045009.4086322295,4044961.2870181478,4044979.609878606,4044992.444276323,4045001.8199784122,4045008.9067376186,4044959.9063730873,4044978.491306235,4044991.5543329287,4045001.122105209,4045008.3692082646,4044958.603327517,4044977.4182264055,4044990.6843807925,4045000.423996124,4045007.8151666145,4044957.3725926285,4044976.3913267977,4044989.8396809455,4044999.7344772727,4045007.2562956247,4044956.2085721483,4044975.40952195,4044989.022615722,4044999.0586339864,4045006.699839652,4044955.105826791,4044974.4708549688,4044988.2339196173,4044998.399300711,4045006.150307407,4044954.0592746097,4044973.572984013,4044987.473380589,4044997.757930166,4045005.610477861,4044953.064262348,4044972.713447232,4044986.740250199,4044997.1351163513,4045005.0820144736,4044952.116574062,4044971.8898061197,4044986.0334880636,4044996.5309172724,4045004.565850791,4044951.2124103047,4044971.099720773,4044985.351909289,4044995.945058129,4045004.062438192,4044950.348354815,4044970.340986537,4044984.694273794,4044995.3770612595,4045003.571908167,4044949.5213373015,4044969.611548692,4044984.0593401706,4044994.8263301933,4045003.0941803316,4044948.7285965933,4044968.9095047386,4044983.4458975988,4044994.2922043977,4045002.6290352587
2,2021-07-03,4044885.749372883,4044915.6038350607,4044937.011335745,4044952.8957037865,4044965.032024389,4044883.283924676,4044913.618989995,4044935.4834060725,4044951.7719246037,4044964.257955284,4044880.956179539,4044911.6891454803,4044933.9408444013,4044950.57599068,4044963.363937045,4044878.764282571,4044909.8321884307,4044932.41747182,4044949.354657145,4044962.407446351,4044876.7009008667,4044908.054549988,4044930.930901728,4044948.1346100364,4044961.4226552225,4044874.756746969,4044906.356876734,4044929.489914135,4044946.9312368035,4044960.4303885563,4044872.9221861996,4044904.7369086677,4044928.098338476,4044945.753326248,4044959.4435116714,4044871.1879579863,4044903.1909896242,4044926.7571877656,4044944.605706873,4044958.4699892923,4044869.5454749353,4044901.714876417,4044925.4658713806,4044943.49078461,4044957.5146924816,4044867.9869182077,4044900.304175155,4044924.22290186,4044942.4094668045,4044956.5805015475,4044866.505235683,4044898.95457391,4044923.026314253,4044941.36173125,4044955.668997884,4044865.094095951,4044897.661962028,4044921.8739175717,4044940.346983564,4044954.780907956,4044863.74782479,4044896.422485658,4044920.763445946,4044939.364285023,4044953.9163936963,4044862.461337425,4044895.232567393,4044919.6926487954,4044938.412499352,4044953.075245426,4044861.230073007,4044894.088905957,4044918.6593434345,4044937.490387882,4044952.2570116376
3,2021-07-04,4044793.31365209,4044835.7196168946,4044867.0234598336,4044890.7281085667,4044909.111152837,4044789.9998940052,4044832.942106144,4044864.8251826237,4044889.078452466,4044907.957522371,4044786.878636,4044830.246839658,4044862.609288626,4044887.324945739,4044906.626262852,4044783.9460988683,4044827.65826187,4044860.4243321246,4044885.536390967,4044905.2033218653,4044781.191302867,4044825.1847310564,4044858.295378585,4044883.7519245665,4044903.7397266314,4044778.60082197,4044822.826544103,4044856.234726843,4044881.9939960632,4044902.2665014737,4044776.160928798,4044820.579995384,4044854.2475492405,4044880.2753252247,4044900.8027473562,4044773.8585395957,4044818.43949715,4044852.3349864404,4044878.6028061328,4044899.360231453,4044771.6815916705,4044816.398708245,4044850.495901917,4044876.9797806647,4044897.9460981702,4044769.6191500155,4044814.4511373397,4044848.727901211,4044875.40740274,4044896.5645232312,4044767.6613868717,4044812.590460327,4044847.0279341717,4044873.885476983,4044895.2177504743,4044765.7995052803,4044810.810679462,4044845.392654137,4044872.412984208,4044893.906756508,4044764.0256419494,4044809.106194113,4044843.8186323023,4044870.98841546,4044892.6316848192,4044762.332766797,4044807.4718222464,4044842.3024843233,4044869.6099864603,4044891.3921336625,4044760.7145873522,4044805.902794912,4044840.8409430757,4044868.275775983,4044890.187349321
4,2021-07-05,4044690.4428825504,4044745.0297519444,4044786.4315411816,4044818.38717772,4044843.520210495,4044686.4013881795,4044741.511771542,4044783.5732144658,4044816.2007519216,4044841.9688912416,4044682.602095649,4044738.10366733,4044780.695890127,4044813.8791289018,4044840.18009075,4044679.039074824,4044734.835743549,4044777.8625670266,4044811.513689184,4044838.2697307216,4044675.6977878753,4044731.717875957,4044775.1055106176,4044809.1562510706,4044836.3065445013,4044672.560903069,4044728.749771333,4044772.4403235298,4044806.83639793,4044834.332231978,4044669.6108927377,4044725.9261414628,4044769.8733403715,4044804.570767799,4044832.372385955,4044666.831159297,4044723.239395042,4044767.4056791025,4044802.368264543,4044830.4427013122,4044664.2064696266,4044720.6810625386,4044765.035532802,4044800.2330900324,4044828.5526425918,4044661.723062555,4044718.2425516066,4044762.75949722,4044798.1665614056,4044826.707680836,4044659.3686052696,4044715.915539696,4044760.573352249,4044796.16822635,4044824.9106946653,4044657.1320849936,4044713.6921667797,4044758.4725257037,4044794.236560424,4044823.1628675503,4044655.003678441,4044711.565117151,4044756.452368295,4044792.369409144,4044821.4642730765,4044652.9746196666,4044709.5276399427,4044754.508314512,4044790.564270853,4044819.8142624437,4044651.037075791,4044707.573536503,4044752.6359737637,4044788.818478474,4044818.2117240783
5,2021-07-06,4044580.1179815284,4044645.9983736426,4044697.268430241,4044737.5672551654,4044769.69176513,4044575.4925277806,4044641.824528694,4044693.790906501,4044734.8577242806,4044767.742177493,4044571.151285192,4044637.7868740126,4044690.2944683344,4044731.9833718347,4044765.4957207865,4044567.0861938656,4044633.920672451,4044686.8556046495,4044729.057646039,4044763.098468634,4044563.2795159393,4044630.23690004,4044683.513208923,4044726.144696639,4044760.636927634,4044559.710501633,4044626.7345151566,4044680.2858371804,4044723.2809878713,4044758.1634762543,4044556.3583436087,4044623.406629918,4044677.1807703534,4044720.4868875323,4044755.710167309,4044553.2034391905,4044620.243709357,4044674.1989722596,4044717.7731658593,4044753.2965742224,4044550.227861952,4044617.235256289,4044671.337888657,4044715.144774101,4044750.934425383,4044547.4154626834,4044614.3706981214,4044668.5930644097,4044712.603106498,4044748.630429532,4044544.7518013795,4044611.6398426066,4044665.9590921868,4044710.14738635,4044746.3880442963,4044542.2240086603,4044609.033097129,4044663.4301729687,4044707.7755309436,4044744.208607705,4044539.8206247226,4044606.541557526,4044661.000446337,4044705.484698536,4044742.0920753344,4044537.5314388415,4044604.157025425,4044658.6641820385,4044703.2716372623,4044740.0375076234,4044535.347339775,4044601.8719873778,4044656.4158870275,4044701.1329084425,4044738.043395743
6,2021-07-07,4044464.119906447,4044540.205912524,4044600.8924727114,4044649.429116295,4044688.622452961,4044459.046676136,4044535.46934899,4044596.850118275,4044646.223225107,4044686.2843360775,4044454.2913284427,4044530.8929573377,4044592.790050441,4044642.825193482,4044683.591903717,4044449.843884762,4044526.516071192,4044588.8010096136,4044639.3694613324,4044680.7207614616,4044445.6839113147,4044522.3504194953,4044584.9278282295,4044635.9318528054,4044677.7747892183,4044441.7878392837,4044518.3941428578,4044581.1916342713,4044632.555297593,4044674.8167698462,4044438.132186865,4044514.63882777,4044577.6004522666,4044629.2636246197,4044671.8850198905,4044434.6949192076,4044511.0731415106,4044574.1549956654,4044626.0692946995,4044669.0028464394,4044431.455942337,4044507.68473805,4044570.851931146,4044622.9778932664,4044666.184132421,4044428.397193942,4044504.461254799,4044567.6857601344,4044619.990817024,4044663.4367405083,4044425.5025524413,4044501.3908197214,4044564.6499191965,4044617.1069179103,4044660.7646424267,4044422.7576718843,4044498.462290869,4044561.7374275294,4044614.323527098,4044658.169280078,4044420.149794899,4044495.66534904,4044558.941266384,4044611.637101124,4044655.6504512625,4044417.6675683972,4044492.9905105424,4044556.254597356,4044609.0436328584,4044653.2068943796,4044415.3008729513,4044490.4290977423,4044553.6708828,4044606.5389135852,4044650.8366787406
7,2021-07-08,4044344.0680288333,4044429.1160359867,4044498.587225332,4044555.090269803,4044601.287765857,4044338.673331144,4044423.9140128563,4044494.043847943,4044551.4248225363,4044598.579222323,4044333.6217862163,4044418.8931299686,4044489.4847720778,4044547.5426329374,4044595.4620332457,4044328.9018198485,4044414.0959370164,4044485.009557345,4044543.597620002,4044592.140064636,4044324.4908785927,4044409.5346294483,4044480.668211646,4044539.6763915955,4044588.733790095,4044320.363219578,4044405.206528393,4044476.484039672,4044535.8278063103,4044585.315899074,4044316.493320284,4044401.1018341,4044472.46562345,4044532.0788282366,4044581.930644455,4044312.8573033665,4044397.207621497,4044468.6133610243,4044528.443412301,4044578.6048471583,4044309.4334418303,4044393.5099271624,4044464.9231454637,4044524.927663344,4044575.3543951064,4044306.2022385034,4044389.9948346578,4044461.3884809357,4044521.532918241,4044572.18820259,4044303.1463154303,4044386.6490217843,4044458.0017168666,4044518.2576294215,4044569.1106855697,4044300.250227191,4044383.4600147614,4044454.7547714803,4044515.0985361454,4044566.123342677,4044297.5002531833,4044380.416282259,4044451.6395536494,4044512.0514020342,4044563.2257829164,4044294.884194676,4044377.507242873,4044448.6482037986,4044509.1114829574,4044560.416403201,4044292.3911878634,4044374.7232273268,4044445.773225194,4044506.273824408,4044557.692839918
8,2021-07-09,4044220.6943953005,4044313.491853502,4044391.0704069417,4044455.2001396394,4044508.267085419,4044215.0787075795,4044307.9120344133,4044386.088583544,4044451.1142824744,4044505.2094307416,4044209.824095473,4044302.531122317,4044381.0935291336,4044446.7897248864,4044501.692291631,4044204.917771297,4044297.3941726377,4044376.194232266,4044442.3982384875,4044497.946253874,4044200.3356273863,4044292.5136527177,4044371.4451585556,4044438.0362744285,4044494.1074533113,4044196.0503481934,4044287.886121681,4044366.8714378607,4044433.7580681466,4044490.257903782,4044192.034946306,4044283.500571053,4044362.482062956,4044429.5933955503,4044486.447422253,4044188.264228827,4044279.3427129732,4044358.277085777,4044425.5575210787,4044482.7061022986,4044184.715307572,4044275.3972127717,4044354.2516607083,4044421.6569703864,4044479.0516799884,4044181.367668555,4044271.6488445005,4044350.3983658697,4044417.8929760177,4044475.4940199554,4044178.2030460997,4044268.0830691177,4044346.708553665,4044414.2635806245,4044472.037918451,4044175.20521995,4044264.6862990824,4044343.1731399875,4044410.764942928,4044468.6848923205,4044172.3597922698,4044261.445992258,4044339.7830622904,4044407.392158518,4044465.43434077,4044169.6539710537,4044258.350654054,4044336.5295394277,4044404.1397793363,4044462.284310356,4044167.076371309,4044255.3897920037,4044333.4042117093,4044401.002142845,4044459.23200409
9,2021-07-10,4044094.604901526,4044193.969385169,4044278.94769196,4044350.3133475594,4044410.0603000126,4044088.8458709465,4044188.0895009264,4044273.5873299963,4044345.8470417573,4044406.6768516893,4044083.4597320175,4044182.4231113284,4044268.216387992,4044341.122600011,4044402.7867787937,4044078.4328640345,4044177.017192237,4044262.951964363,4044336.327974411,4044398.6456725867,4044073.740114078,4044171.884356679,4044257.8523189696,4044331.568505152,4044394.40430358,4044069.3531173887,4044167.020495324,4044252.9440973084,4044326.903255023,4044390.1533762324,4044065.243913857,4044162.4135855013,4044248.2365889093,4044322.3644989487,4044385.9478737325,4044061.3864399614,4044158.0482116486,4044243.729494529,4044317.9686402897,4044381.8209107313,4044057.757041064,4044153.907912551,4044239.417284898,4044313.7225419725,4044377.7919130973,4044054.3345334767,4044149.9763914463,4044235.291699082,4044309.6273025167,4044373.8715981627,4044051.1000679457,4044146.2381176488,4044231.3431949676,4044305.6805584836,4044370.0650849915,4044048.0369156906,4044142.678598433,4044227.561794472,4044301.877912244,4044366.373878054,4044045.1302350815,4044139.284471995,4044223.9375721775,4044298.213827828,4044362.7971542804,4044042.3668458695,4044136.0435046824,4044220.460930874,4044294.6821967107,4044359.332609623,4044039.7350224247,4044132.944538944,4044217.1227486082,4044291.2766953376,4044355.977021688
