,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045025.1146621616,4045032.0007014847,4045036.616152386,4045039.885956199,4045042.302339707,4045024.4758922365,4045031.5318405074,4045036.277044459,4045039.647397218,4045042.1433636723,4045023.868830709,4045031.0736442,4045035.9333622456,4045039.392794375,4045041.9593812316,4045023.2936459817,4045030.6305758865,4045035.5926427734,4045039.132009412,4045041.7621008805,4045022.7490135767,4045030.2044221377,4045035.2588929483,4045038.870715805,4045041.5585059454,4045022.233015828,4045029.7955930065,4045034.934183334,4045038.6122245495,4045041.3528748546,4045021.7435637396,4045029.4037871114,4045034.6194891045,4045038.358461826,4045041.147871463,4045021.2785948273,4045029.028344579,4045034.3151540565,4045038.1105181724,4045040.9451633915,4045020.8361621513,4045028.6684390064,4045034.0211557616,4045037.8689691722,4045040.7457872448,4045020.414469444,4045028.3231831673,4045033.737261244,4045037.6340687196,4045040.550371711,4045020.011879461,4045027.9916871334,4045033.463120232,4045037.405868533,4045040.359277737,4045019.626909331,4045027.6730895634,4045033.198321773,4045037.1842936105,4045040.172688696,4045019.2582200067,4045027.3665736387,4045032.9424288273,4045036.9691906464,4045039.990669553,4045018.9046034887,4045027.071374163,4045032.6949993665,4045036.76035949,4045039.81320632,4045018.5649697036,4045026.786779593,4045032.455599092,4045036.557573739,4045039.6402327297
1,2021-07-02,4044966.4874174446,4044983.7884241063,4044995.796116288,4045004.506812251,4045011.0539664184,4044964.97424555,4044982.623487375,4044994.926252465,4045003.880881973,4045010.6298136855,4044963.541305372,4044981.4881357388,4044994.0464471383,4045003.213849639,4045010.139455916,4044962.1881764024,4044980.393152198,4044993.1759968423,4045002.531679465,4045009.6142649306,4044960.9109908077,4044979.342628004,4044992.3250517896,4045001.849248049,4045009.072921626,4044959.704583107,4044978.337245639,4044991.4987617657,4045001.1751838434,4045008.526840082,4044958.5634837393,4044977.3759512105,4044990.699461392,4045000.5144596426,4045007.983098744,4044957.4823745433,4044976.4568368657,4044989.927873506,4044999.869848407,4045007.4461037912,4044956.4562854706,4044975.577616968,4044989.1837948677,4044999.2427725606,4045006.9185716556,4044955.480664861,4044974.735887502,4044988.4664972243,4044998.6338150757,4045006.402128975,4044954.5513881915,4044973.9292664947,4044987.774966379,4044998.0430348516,4045005.8976892415,4044953.6647379356,4044973.1554677873,4044987.1080464115,4044997.4701652983,4045005.4056948028,4044952.817371124,4044972.4123370065,4044986.464527071,4044996.914741349,4045004.926275385,4044952.00628304,4044971.697866026,4044985.843196491,4044996.3761816192,4045004.4593536146,4044951.22877125,4044971.0101952814,4044985.2428724407,4044995.8538419353,4045004.0047161737
2,2021-07-03,4044889.617988929,4044918.898233563,4044939.870809657,4044955.4198059607,4044967.2925689276,4044887.1985599236,4044916.9528708467,4044938.374648135,4044954.3201531963,4044966.53552292,4044884.914037357,4044915.0612585437,4044936.864059785,4044953.14983627,4044965.66113402,4044882.7626396455,4044913.2409445355,4044935.372165148,4044951.9546015477,4044964.7256067786,4044880.7372047524,4044911.4982506135,4044933.9162190403,4044950.7605629796,4044963.7623588163,4044878.8286472233,4044909.8338282392,4044932.5048282966,4044949.58278139,4044962.7917572516,4044877.0275359284,4044908.245478298,4044931.141752301,4044948.42986189,4044961.8263863823,4044875.324802627,4044906.7296312507,4044929.827992051,4044947.3065347006,4044960.874038549,4044873.7120361812,4044905.2821402526,4044928.5629774327,4044946.215159406,4044959.9394808277,4044872.1815767908,4044903.898708993,4044927.345259244,4044945.15662887,4044959.0255333916,4044870.726514727,4044902.5751199657,4044926.172919845,4044944.1309259543,4044958.133745973,4044869.3406456243,4044901.3073516227,4044925.04381945,4044943.1374731925,4044957.264832001,4044868.0184084964,4044900.0916330023,4044923.9557442195,4044942.1753557357,4044956.4189525703,4044866.7548195454,4044898.9244631515,4044922.9064946473,4044941.2434650236,4044955.5959051047,4044865.545408092,4044897.802610963,4044921.8939371505,4044940.3405919247,4044954.7952502915
3,2021-07-04,4044799.1111321044,4044840.74402302,4044871.4415271,4044894.666392329,4044912.664935632,4044795.856211367,4044838.0192527007,4044869.2870827857,4044893.050850962,4044911.5358365877,4044792.7900810223,4044835.374943469,4044867.1152227465,4044891.333513507,4044910.232833508,4044789.9090807685,4044832.835100678,4044864.973537864,4044889.581752177,4044908.8400331344,4044787.2024709038,4044830.4079512255,4044862.8866060185,4044887.833895774,4044907.4073730614,4044784.6571014924,4044828.093812211,4044860.866495539,4044886.111935855,4044905.9652184458,4044782.259519881,4044825.8890714203,4044858.918290515,4044884.4283373747,4044904.532267429,4044779.996899917,4044823.788267181,4044857.043122837,4044882.7898606253,4044903.1200417066,4044777.857413689,4044821.7851958047,4044855.239891277,4044881.1997869704,4044901.73553907,4044775.8303371402,4044819.873503688,4044853.506260323,4044879.6592545235,4044900.3828518377,4044773.906030722,4044818.0469990317,4044851.8392504584,4044878.1680793143,4044899.064181346,4044772.075864898,4044816.299808297,4044850.235590299,4044876.72526987,4044897.7804883304,4044770.332125211,4044814.626445911,4044848.6919268225,4044875.3293543635,4044896.531917742,4044768.6679139878,4044813.021835601,4044847.2049495867,4044873.978590673,4044895.3180804984,4044767.077056744,4044811.4813051997,4044845.771462169,4044872.671101955,4044894.138242642
4,2021-07-05,4044698.3614958366,4044751.9936500075,4044792.6237834604,4044823.9547177795,4044848.578198252,4044694.3893665266,4044748.5401957617,4044789.8206256344,4044821.8121810323,4044847.058988004,4044690.6549516777,4044745.1943284655,4044786.998639184,4044819.537032752,4044845.307137509,4044687.1524833273,4044741.985828862,4044784.219614114,4044817.218809221,4044843.4361505397,4044683.867725348,4044738.924426361,4044781.5152099147,4044814.9082914228,4044841.5133316,4044680.783686851,4044736.009865769,4044778.9007480145,4044812.6344779585,4044839.5795185496,4044677.883176456,4044733.2369848057,4044776.3824607534,4044810.413684557,4044837.6597795077,4044675.149910235,4044730.598356347,4044773.961463171,4044808.2546486976,4044835.7694914765,4044672.5689398497,4044728.0856874106,4044771.636000018,4044806.161499921,4044833.9179308307,4044670.1267592367,4044725.6905611423,4044769.4027475733,4044804.1355401385,4044832.11046318,4044667.811262634,4044723.404822696,4044767.257580114,4044802.1763363252,4044830.3499150756,4044665.6116388063,4044721.220768862,4044765.1960249203,4044800.282403802,4044828.637452521,4044663.5182432975,4044719.131228748,4044763.21353213,4044798.4516394846,4044826.9731540424,4044661.522468992,4044717.1295842547,4044761.305632712,4044796.681599142,4044825.356390147,4044659.616624323,4044715.2097579585,4044759.468028025,4044794.9696755917,4044823.7860775753
5,2021-07-06,4044590.233469723,4044655.0108723757,4044705.363865271,4044744.904012637,4044776.3991555567,4044585.684568639,4044650.9107759167,4044701.9511164282,4044742.2471071123,4044774.488714962,4044581.414820181,4044646.9441468376,4044698.5195641317,4044739.4284181725,4044772.287268695,4044577.4163640575,4044643.1456635306,4044695.144282071,4044736.559178489,4044769.9379331204,4044573.671812882,4044639.5261492063,4044691.863460513,4044733.7022960233,4044767.5254699937,4044570.160807383,4044636.0846189987,4044688.6953347726,4044730.893538789,4044765.1012077755,4044566.862922924,4044632.8143405532,4044685.647074984,4044728.15289421,4044762.696562568,4044563.7589122676,4044629.705976411,4044682.719650062,4044725.490939318,4044760.3307241625,4044560.8311707107,4044626.749239447,4044679.910574003,4044722.912544674,4044758.0151957776,4044558.0638365475,4044623.9337645443,4044677.215492823,4044720.4190918184,4044755.7565618292,4044555.442725138,4044621.249556866,4044674.6291157077,4044718.0098321903,4044753.558220472,4044552.955193387,4044618.687207793,4044672.145765306,4044715.682735199,4044751.4214921515,4044550.5899819694,4044616.2379826386,4044669.7597021163,4044713.4350246494,4044749.346341848,4044548.33705797,4044613.893838067,4044667.465312729,4044711.263520967,4044747.3318565865,4044546.187468149,4044611.647401928,4044665.2572151027,4044709.164860288,4044745.3765647863
6,2021-07-07,4044476.475312694,4044551.339649155,4044610.9840707984,4044658.6411504312,4044697.093221852,4044471.4833063465,4044546.683813245,4044607.0143889543,4044655.4954672214,4044694.8006014284,4044466.803731673,4044542.185074951,4044603.027035549,4044652.161057595,4044692.160439978,4044462.426838393,4044537.882140664,4044599.1091674115,4044648.7698227325,4044689.3448966467,4044458.332578566,4044533.786585004,4044595.3048360907,4044645.3961682804,4044686.4558207407,4044454.497809113,4044529.8966225656,4044591.6348188804,4044642.0822324855,4044683.5547759505,4044450.899463454,4044526.2040203856,4044588.1070248964,4044638.8514152863,4044680.6793420375,4044447.51589119,4044522.6976706656,4044584.722181444,4044635.715962813,4044677.85238438,4044444.3273455533,4044519.365464606,4044581.4770389567,4044632.681374252,4044675.0875286707,4044441.3160739574,4044516.195272787,4044578.366218595,4044629.749037347,4044672.392497499,4044438.4662295138,4044513.1754442863,4044575.383293024,4044626.917841218,4044669.7711976417,4044435.7637093742,4044510.295042721,4044572.521422536,4044624.1851810953,4044667.225054416,4044433.1959713004,4044507.543937844,4044569.773727957,4044621.5475923857,4044664.753880046,4044430.7518528183,4044504.912818526,4044567.1335053034,4044619.001154056,4044662.3564469684,4044428.421403724,4044502.3931641686,4044564.594344297,4044616.541745938,4044660.030870589
7,2021-07-08,4044358.6665037917,4044442.4030100666,4044510.7286541034,4044566.2466735304,4044611.601579923,4044353.355533681,4044437.286578413,4044506.2640988925,4044562.647737353,4044608.944049731,4044348.382032961,4044432.347947342,4044501.783814813,4044558.8357707076,4044605.885430013,4044343.734675624,4044427.6290124557,4044497.3856479605,4044554.9618844287,4044602.6257130187,4044339.3913167696,4044423.1418168154,4044493.1187668373,4044551.1111216736,4044599.2830928923,4044335.3266611965,4044418.883770229,4044489.0061042635,4044547.3314717757,4044595.928893346,4044331.5156214717,4044414.845273233,4044485.056125333,4044543.649430998,4044592.606544435,4044327.934722193,4044411.0136467144,4044481.269250626,4044540.078723309,4044589.3423760342,4044324.562598768,4044407.375185016,4044477.6414706754,4044536.6253641606,4044586.1519921487,4044321.380076884,4044403.916224091,4044474.166425248,4044533.2906859135,4044583.04415444,4044318.3700646125,4044400.62368045,4044470.836616302,4044530.0731868874,4044580.023210239,4044315.517369431,4044397.4853017945,4044467.6441192864,4044526.9696813556,4044577.0906434357,4044312.808494349,4044394.48976005,4044464.58099802,4044523.9760237886,4044574.2460826985,4044310.231438615,4044391.626659182,4044461.639541742,4044521.087568406,4044571.4879662357,4044307.7755140634,4044388.886498405,4044458.8123944276,4044518.2994613354,4044568.813984902
8,2021-07-09,4044237.560986305,4044328.9742851043,4044405.3187017986,4044468.369493745,4044520.500978802,4044232.0306185493,4044323.4836986563,4044400.4206743357,4044464.355505544,4044517.499197078,4044226.8554993374,4044318.1884796745,4044395.509321838,4044460.106775551,4044514.0461699245,4044222.023101213,4044313.13300981,4044390.691814772,4044455.7920379774,4044510.3682317715,4044217.5097389477,4044308.329605816,4044386.0217327517,4044451.506055406,4044506.5990195675,4044213.2885581227,4044303.7749267654,4044381.5238173623,4044447.302128566,4044502.8190526064,4044209.3330186307,4044299.458179449,4044377.206943882,4044443.20953329,4044499.0772498036,4044205.6183402855,4044295.365337854,4044373.0711943787,4044439.24328997,4044495.403170895,4044202.1220066748,4044291.481340544,4044369.1118322713,4044435.4098328887,4044491.8142452114,4044198.823834776,4044287.7912284154,4044365.3215845125,4044431.7103944616,4044488.320174364,4044195.705851943,4044284.2807143503,4044361.691969655,4044428.14307116,4044484.925683328,4044192.7520968667,4044280.9364442257,4044358.2140741297,4044424.7041064845,4044481.6322763753,4044189.948400571,4044277.746089873,4044354.879002983,4044421.3886974403,4044478.439377469,4044187.282173589,4044274.6983516607,4044351.6781357,4044418.191505063,4044475.345081275,4044184.742210543,4044271.7829141817,4044348.603264228,4044415.1069779955,4044472.3466530167
9,2021-07-10,4044113.7654086747,4044211.6864858647,4044295.35421628,4044365.5570120923,4044424.2833403596,4044108.092732705,4044205.8985955915,4044290.081700411,4044361.1671417947,4044420.9600452725,4044102.787033161,4044200.3205108168,4044284.798457196,4044356.523301184,4044417.1389627485,4044097.834956367,4044194.9985185275,4044279.619682027,4044351.8102094987,4044413.071099391,4044093.211779996,4044189.945082314,4044274.6027110773,4044347.1314130593,4044408.9045334323,4044088.8896084526,4044185.156201132,4044269.7737884643,4044342.544984553,4044404.728361557,4044084.8409362976,4044180.6200787355,4044265.142085975,4044338.0826717634,4044400.5966030187,4044081.040119262,4044176.3215732854,4044260.70734086,4044333.760623252,4044396.541801378,4044077.4638801985,4044172.2445083777,4044256.4641424487,4044329.5856092465,4044392.583056108,4044074.091371355,4044168.3728649216,4044252.404389524,4044325.5587321906,4044388.7309127776,4044070.9040408204,4044164.69137406,4044248.5187172964,4044321.6776894964,4044384.9904172295,4044067.8854225073,4044161.1857854375,4044244.7973291255,4044317.9381768657,4044381.3630636064,4044065.0209068996,4044157.8429592606,4044241.2304775347,4044314.3347689454,4044377.848058383,4044062.2975191264,4044154.6508640307,4044237.8087356053,4044310.861475621,4044374.443151883,4044059.703715658,4044151.598525695,4044234.5231419443,4044307.5120936446,4044371.14519097
