,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045018.631295538,4045026.755764998,4045032.223111838,4045036.106880692,4045038.982491362,4045017.879645879,4045026.2013376732,4045031.8208237244,4045035.823237319,4045038.793159305,4045017.1656254246,4045025.659695763,4045031.4132040762,4045035.520568333,4045038.574071041,4045016.489384188,4045025.1361011565,4045031.0091928476,4045035.21060402,4045038.33917742,4045015.84932011,4045024.6326478426,4045030.61353726,4045034.9000898944,4045038.096797786,4045015.2431391086,4045024.149802415,4045030.2286855336,4045034.592959978,4045037.8520276435,4045014.668351323,4045023.6871917136,4045029.855786014,4045034.2915005875,4045037.6080382396,4045014.1225032443,4045023.244020549,4045029.4952383414,4045033.9970040517,4045037.3668136364,4045013.603281714,4045022.8192987,4045029.147008324,4045033.7101504053,4045037.1295860596,4045013.1085545295,4045022.4119657674,4045028.810812725,4045033.4312373917,4045036.897101833,4045012.6363796443,4045022.0209597116,4045028.486229903,4045033.1603226606,4045036.66978845,4045012.184999166,4045021.6452536457,4045028.1727669276,4045032.897313519,4045036.447862034,4045011.752826508,4045021.283874493,4045027.8699005605,4045032.6420245063,4045036.2313978383,4045011.3384309993,4045020.935911215,4045027.577102222,4045032.39421478,4045036.020377246,4045010.940522151,4045020.6005170676,4045027.2938530063,4045032.153612584,4045035.8147195457
1,2021-07-02,4044949.4171419013,4044969.623848109,4044983.7252322873,4044993.994089253,4045001.73410317,4044947.655577192,4044968.2588785933,4044982.701438606,4044993.2550129443,4045001.232065567,4044945.9883305053,4044966.9291385226,4044981.66627578,4044992.4675901453,4045000.6517622652,4044944.4147639135,4044965.6472060843,4044980.64244823,4044991.662495202,4045000.0303508043,4044942.930242587,4044964.4178111413,4044979.6418786356,4044990.8572922177,4044999.3899516794,4044941.528640616,4044963.2416915484,4044978.6705981535,4044990.06215844,4044998.7440748005,4044940.2034965944,4044962.117556381,4044977.7313235914,4044989.2829504744,4044998.101093059,4044938.948541453,4044961.043120877,4044976.8248761785,4044988.5229260507,4044997.46621368,4044937.7579248794,4044960.015664244,4044975.9509896496,4044987.7837483254,4044996.842642682,4044936.626294769,4044959.0323330094,4044975.108782609,4044987.066090096,4044996.232295886,4044935.548805407,4044958.090304823,4044974.2970398846,4044986.3700065385,4044995.636245226,4044934.5210923585,4044957.186874166,4044973.5143820867,4044985.6951698028,4044995.055005456,4044933.5392333535,4044956.319493833,4044972.759368218,4044985.0410189796,4044994.488721918,4044932.5997049245,4044955.4857912883,4044972.030557457,4044984.4068570477,4044993.9372954853,4044931.699339646,4044954.68357088,4044971.326545689,4044983.7919139834,4044993.4004667834
2,2021-07-03,4044859.3027695054,4044893.206144545,4044917.6468288032,4044935.8519899766,4044949.801748843,4044856.5107468213,4044890.9446774633,4044915.898307985,4044934.561771502,4044948.9108198234,4044853.875954143,4044888.746750919,4044914.133591994,4044933.1890335456,4044947.8820061493,4044851.3960720804,4044886.6326514296,4044912.3913704716,4044931.787483581,4044946.7815061216,4044849.062603935,4044884.6096028695,4044910.6917577763,4044930.387755639,4044945.6486666203,4044846.864869642,4044882.678242911,4044909.0447497983,4044929.007495833,4044944.5074554854,4044844.791823775,4044880.835907542,4044907.454675986,4044927.6567673236,4044943.3726699622,4044842.832868474,4044879.0783533244,4044905.922645592,4044926.3410842614,4044942.2534621214,4044840.9781880896,4044877.4006788754,4044904.4479371808,4044925.0631798175,4044941.1554213245,4044839.2188535854,4044875.797820907,4044903.0288079283,4044923.8240682776,4044940.0818452346,4044837.5468174363,4044874.264818059,4044901.662973414,4044922.6236989233,4044939.0345369857,4044835.954859045,4044872.7969455984,4044900.3478950085,4044921.461366507,4044938.014316672,4044834.4365108013,4044871.389777591,4044899.080952397,4044920.3359727934,4044937.0213558036,4044832.985979759,4044870.039208313,4044897.859546302,4044919.246194958,4044936.055399425,4044831.5980721377,4044868.741451072,4044896.6811582353,4044918.1905946503,4044935.115915481
3,2021-07-04,4044753.807157768,4044801.659959526,4044837.1910742144,4044864.2146980814,4044885.2419089945,4044750.0775268734,4044798.513794212,4044834.6889598425,4044862.3300724714,4044883.920151072,4044746.5662714294,4044795.4620718923,4044832.1676528417,4044860.3273314727,4044882.395170195,4044743.268834622,4044792.5323373415,4044829.6823919504,4044858.285120656,4044880.765514165,4044740.1725944323,4044789.7339007696,4044827.261637823,4044856.248141437,4044879.089672616,4044737.262218605,4044787.0669493484,4044824.919305416,4044854.242005689,4044877.403188402,4044734.522074948,4044784.5271525085,4044822.6611971804,4044852.281198559,4044875.7279275674,4044731.9372890024,4044782.1080653947,4044820.4885317623,4044850.3735465608,4044874.077345695,4044729.4941629847,4044779.802406503,4044818.3999434114,4044848.522819026,4044872.459598693,4044727.180290655,4044777.602739166,4044816.3926427197,4044846.730288691,4044870.8794406336,4044724.984530045,4044775.501829053,4044814.463101835,4044844.995690684,4044869.339413139,4044722.896913951,4044773.492822506,4044812.607462639,4044843.3178230873,4044867.840607676,4044720.908537821,4044771.569324968,4044810.8217799636,4044841.694928464,4044866.38316328,4044719.0114444704,4044769.725423839,4044809.1021649097,4044840.1249385867,4044864.966596502,4044717.198514703,4044767.9556809766,4044807.444866926,4044838.605632195,4044863.5900228024
4,2021-07-05,4044636.9254242736,4044698.1842259592,4044744.9291526685,4044781.179246782,4044809.795312605,4044632.3999395096,4044694.2196889673,4044741.691660615,4044778.6928734365,4044808.025551534,4044628.147654186,4044690.380600739,4044738.433808508,4044776.053498494,4044805.9852967258,4044624.161565279,4044686.7009215616,4044735.2269115,4044773.365096605,4044803.8068999564,4044620.4250802384,4044683.1915752697,4044732.1074175206,4044770.6865787907,4044801.56880891,4044616.9185307645,4044679.852038323,4044729.0928826802,4044768.0515347244,4044799.3185894024,4044613.62207665,4044676.6761799515,4044726.1903652037,4044765.4788176497,4044797.0854093325,4044610.51695918,4044673.6552974577,4044723.4010223523,4044762.978481651,4044794.887133738,4044607.5859802826,4044670.779720514,4044720.722709319,4044760.5552355833,4044792.734515635,4044604.8136166115,4044668.0396599243,4044718.1514835507,4044758.2105124323,4044790.6337517225,4044602.185965567,4044665.42564733,4044715.6824893993,4044755.943738742,4044788.5880828896,4044599.690619826,4044662.9287498193,4044713.310482454,4044753.75312787,4044786.5988189196,4044597.3165178304,4044660.540659837,4044711.030139864,4044751.6361825317,4044784.6660066503,4044595.0537931593,4044658.253716364,4044708.836241442,4044749.590016062,4044782.7888721544,4044592.8936332613,4044656.060889052,4044706.7237718557,4044747.611558603,4044780.9661168284
5,2021-07-06,4044511.886917313,4044585.496850204,4044643.1301986906,4044688.6521878615,4044725.082759669,4044506.726450169,4044580.8120002667,4044639.207132817,4044685.582862992,4044722.8668457028,4044501.885160162,4044576.281870791,4044635.264133599,4044682.327771912,4044720.314068423,4044497.3536651353,4044571.945816227,4044631.387435036,4044679.015497831,4044717.5905948486,4044493.11184024,4044567.815915815,4044627.620790595,4044675.7186853224,4044714.79479411,4044489.136258106,4044563.890775862,4044623.984989102,4044672.478571776,4044711.986190287,4044485.4034786895,4044560.162467057,4044620.4881002074,4044669.3181420416,4044709.2011755407,4044481.891449116,4044556.6201169034,4044617.1310772933,4044666.249504502,4044706.4619434997,4044478.5800218144,4044553.2517989245,4044613.910918754,4044663.278178664,4044703.781765642,4044475.4510603123,4044550.0455248985,4044610.8224930023,4044660.405660959,4044701.168207737,4044472.4883577377,4044546.9897530964,4044607.859607994,4044657.630996245,4044698.625142738,4044469.6774777044,4044544.0736313416,4044605.015642264,4044654.951757842,4044696.154038261,4044467.00557105,4044541.2870940105,4044602.2839160776,4044652.3646668564,4044693.754795015,4044464.4611939294,4044538.620879197,4044599.6579061155,4044649.8659868385,4044691.4263008097,4044462.0341386655,4044536.06650338,4044597.131364925,4044647.4517760724,4044689.1668008096
6,2021-07-07,4044380.7043570313,4044465.411693983,4044533.373107298,4044587.9964285386,4044632.2838219153,4044375.059700842,4044460.1125267725,4044528.828388235,4044584.377131305,4044629.6350368317,4044369.770814287,4044454.994545625,4044524.2653471357,4044580.54203094,4044626.5855422234,4044364.826199995,4044450.1015073764,4044519.7836853415,4044576.6429836904,4044623.3344444376,4044360.2027846547,4044445.44627117,4044515.4336627787,4044572.765560238,4044619.999479044,4044355.8740660707,4044441.026512676,4044511.2388656572,4044568.958141764,4044616.65175701,4044351.8136913897,4044436.8326045875,4044507.2081498634,4044565.247524094,4044613.3346361527,4044347.9969614786,4044432.8516846304,4044503.342164045,4044561.6476643174,4044610.074453284,4044344.4013722367,4044429.0697854906,4044499.637023508,4044558.164761405,4044606.8868625783,4044341.0067085903,4044425.4729463723,4044496.086426134,4044554.8002933073,4044603.780697946,4044337.7949375906,4044422.04777663,4044492.682888579,4044551.55287445,4044600.7603885964,4044334.7500201426,4044418.7817203416,4044489.418472658,4044548.419412019,4044597.827502675,4044331.857699252,4044415.6631569997,4044486.285210198,4044545.395834984,4044594.9817513376,4044329.105292104,4044412.6814132743,4044483.2753467746,4044542.4775573313,4044592.221651255,4044326.4814979527,4044409.826727964,4044480.381475563,4044539.6597731006,4044589.5449665897
7,2021-07-08,4044245.0659186007,4044339.490172012,4044417.049238271,4044480.437118209,4044532.476633419,4044239.0736307623,4044333.6842354513,4044411.955082222,4044476.310611162,4044529.416763726,4044233.464496417,4044328.08249292,4044406.8450362827,4044471.9413470156,4044525.896034348,4044228.2252775887,4044322.7321745623,4044401.830652051,4044467.502691914,4044522.144947147,4044223.330596823,4044317.646619584,4044396.967840646,4044463.092109494,4044518.2996614394,4044218.751591767,4044312.8225867315,4044392.282548705,4044458.7645066148,4044514.442276887,4044214.4596958384,4044308.2489185007,4044387.784218073,4044454.550118142,4044510.622726734,4044210.428212261,4044303.9110016394,4044383.473128662,4044450.4645287762,4044506.871231602,4044206.6328671267,4044299.793093758,4044379.3445274937,4044446.514490562,4044503.2056541154,4044203.0518908356,4044295.8795308275,4044375.391001763,4044442.7013970884,4044499.635978953,4044199.665889674,4044292.155334048,4044371.6038614614,4044439.023405558,4044496.1671130406,4044196.457634021,4044288.606489961,4044367.973948841,4044435.476755581,4044492.800673481,4044193.411824111,4044285.2200522986,4044364.4921094724,4044432.0565989297,4044489.53614929,4044190.514861838,4044281.9841477135,4044361.149460483,4044428.757525409,4044486.371666901,4044187.754640917,4044278.887931418,4044357.937536079,4044425.573896651,4044483.3045000364
8,2021-07-09,4044105.8375252583,4044208.6346607716,4044295.014489488,4044366.756211129,4044426.3651889646,4044099.6068384983,4044202.4189542606,4044289.4415669553,4044362.167731512,4044422.9195684968,4044093.778661401,4044196.4268308706,4044283.855623076,4044357.3125366634,4044418.957044356,4044088.3384407377,4044190.7082191217,4044278.378493376,4044352.3836189727,4044414.737672298,4044083.2591176312,4044185.276734152,4044273.0709368573,4044347.489250098,4044410.4149250584,4044078.510129583,4044180.1282915035,4044267.9608718343,4044342.690229268,4044406.08119998,4044074.0613270733,4044175.250408601,4044263.0581684546,4044338.019862493,4044401.7925665155,4044069.884592198,4044170.6269825213,4044258.36271062,4044333.4951547505,4044397.5828467403,4044065.9543969734,4044166.2407741966,4044253.868923066,4044329.123302986,4044393.4719299795,4044062.247873864,4044162.0746916947,4044249.5683684233,4044324.905570316,4044389.470835985,4044058.7446707734,4044158.112430303,4044245.451256699,4044320.8396496554,4044385.5848778496,4044055.4267216884,4044154.338763659,4044241.5073261796,4044316.9211304523,4044381.8156799977,4044052.277995903,4044150.7396452245,4044237.726353773,4044313.1444198093,4044378.1624881197,4044049.284255063,4044147.302208047,4044234.098443685,4044309.5033248756,4044374.6230312856,4044046.4328304864,4044144.014711971,4044230.6141823074,4044305.991421404,4044371.1940953117
9,2021-07-10,4043963.6563502457,4044073.534124514,4044167.9392343196,4044247.5777970324,4044314.5193352327,4043957.270781698,4044066.993642463,4044161.9542779955,4044242.5727616437,4044310.715072347,4043951.3004802368,4044060.6925976737,4044155.9593119477,4044237.2798703173,4044306.3421270503,4043945.7299936665,4044054.68298585,4044150.084989673,4044231.9098380473,4044301.688107566,4043940.5311348513,4044048.978568877,4044144.396185246,4044226.5806617285,4044296.922602886,4043935.6722086878,4044043.5745292976,4044138.922450859,4044221.3584125075,4044292.147572101,4043931.1220156187,4044038.457278926,4044133.6739647547,4044216.2791169896,4044287.4247610113,4043926.8514978755,4044033.6094878577,4044128.6502153347,4044211.361011648,4044282.7913042037,4043922.8343000542,4044029.0126925576,4044123.844871777,4044206.611648259,4044278.268937447,4043919.0468316386,4044024.6486379905,4044119.24857374,4044202.0321302004,4044273.869605858,4043915.468110518,4044020.499942874,4044114.850549448,4044197.619694312,4044269.598965502,4043912.079521687,4044016.5503985304,4044110.639557337,4044193.3693109383,4044265.4586159196,4043908.8645553174,4044012.7850692105,4044106.604429464,4044189.274687097,4044261.4475480327,4043905.8085539015,4044009.190286421,4044102.7343770955,4044185.3288994175,4044257.5630960204,4043902.8984809914,4044005.753588888,4044099.019153044,4044181.524793594,4044253.801569526
