,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045033.360028463,4045038.64082991,4045042.1612101696,4045044.6461151456,4045046.4776809574,4045032.8684009686,4045038.2823603097,4045041.9030740494,4045044.465073371,4045046.3573044166,4045032.4008967774,4045037.931891477,4045041.6413731156,4045044.271812299,4045046.2179713375,4045031.9576879074,4045037.592849791,4045041.3818458235,4045044.0738117956,4045046.068541628,4045031.5377933513,4045037.2666174453,4045041.1275477046,4045043.875377574,4045045.914300825,4045031.139770307,4045036.953523934,4045040.880061959,4045043.6790246773,4045045.7584884404,4045030.7620389895,4045036.653353505,4045040.640138309,4045043.4862182345,4045045.6031226264,4045030.4030354796,4045036.3656146834,4045040.408045597,4045043.2977895797,4045045.4494678155,4045030.061280925,4045036.0896870224,4045040.1837733486,4045043.1141792648,4045045.2983109225,4045029.7354092128,4045035.8249020493,4045039.967150182,4045042.9355835505,4045045.15013007,4045029.4241739484,4045035.570587871,4045039.757914785,4045042.762045017,4045045.0052006156,4045029.126445344,4045035.326093271,4045039.555759044,4045042.5935097914,4045044.8636633675,4045028.84120248,4045035.090800055,4045039.3603544324,4045042.4298642916,4045044.7255693446,4045028.5675237873,4045034.864128627,4045039.1713681286,4045042.270959109,4045044.5909096478,4045028.3045772053,4045034.6455396693,4045038.988472755,4045042.116624656,4045044.459635648
1,2021-07-02,4044988.438415033,4045001.88844057,4045011.154448668,4045017.8413681136,4045022.8482832075,4044987.2568814666,4045000.986740691,4045010.485207286,4045017.3619042183,4045022.5244465936,4044986.137166121,4045000.1074361913,4045009.8080234383,4045016.850792874,4045022.149978771,4044985.079074245,4044999.25892349,4045009.1377490168,4045016.3279079194,4045021.748809823,4044984.0797047764,4044998.4444261873,4045008.4822140583,4045015.8046462317,4045021.3351942203,4044983.1351258666,4044997.6645275983,4045007.8454070063,4045015.28762676,4045020.917846526,4044982.241151618,4044996.918461956,4045007.2291513537,4045014.780671898,4045020.5021756957,4044981.3936998826,4044996.204796513,4045006.6340293125,4045014.2859201976,4045020.09155281,4044980.588948178,4044995.5218002265,4045006.05990845,4045013.8044756344,4045019.688059883,4044979.823390669,4044994.867645066,4045005.5062499554,4045013.336798431,4045019.292947147,4044979.093846805,4044994.240515353,4045004.972292586,4045012.882946338,4045018.906920173,4044978.3974470817,4044993.6386655057,4045004.4571637823,4045012.442726647,4045018.530324403,4044977.7316089305,4044993.060448475,4045003.959947123,4045012.015793476,4045018.1632660623,4044977.0940093594,4044992.504327458,4045003.479723109,4045011.6017107675,4045017.8056926853,4044976.4825576637,4044991.9688781356,4045003.0155934296,4045011.1999933706,4045017.457447436
2,2021-07-03,4044928.9655885603,4044951.9964808123,4044968.3500034255,4044980.397917837,4044989.55372484,4044927.053883805,4044950.4744996056,4044967.1878298796,4044979.5483004707,4044988.97120772,4044925.247346735,4044948.9936099807,4044966.0138514093,4044978.6437376593,4044988.2982133212,4044923.544811358,4044947.567642498,4044964.8538102633,4044977.7195440414,4044987.5779408095,4044921.9408315057,4044946.201656319,4044963.7211548397,4044976.7959004324,4044986.836086412,4044920.428408118,4044944.896269523,4044962.6226267656,4044975.884465021,4044986.0883227526,4044919.000238288,4044943.64985916,4044961.5612036246,4044974.991915778,4044985.3443439985,4044917.649279455,4044942.459717784,4044960.5377173326,4044974.1219392153,4044984.6101622265,4044916.368986317,4044941.322674394,4044959.5517745907,4044973.2763898475,4044983.8894638624,4044915.153389257,4044940.23543034,4044958.6022939123,4044972.4559871936,4044983.184437723,4044913.9970966824,4044939.194739286,4044957.6878247154,4044971.660745306,4044982.496294559,4044912.8952624314,4044938.197500205,4044956.806739017,4044970.890242739,4044981.8256006036,4044911.84353901,4044937.2408013265,4044955.957346961,4044970.1437948416,4044981.1724958327,4044910.8380270735,4044936.3219363806,4044955.1379659795,4044969.4205649,4044980.536839053,4044909.8752262346,4044935.4384053685,4044954.3469613492,4044968.719636305,4044979.9183055847
3,2021-07-04,4044858.3771872832,4044891.454255734,4044915.6139803156,4044933.762835755,4044947.7508512335,4044855.780295176,4044889.302713853,4044913.9260915117,4044932.504768355,4044946.8757355167,4044853.3321037795,4044887.213284682,4044912.223614672,4044931.1668541864,4044945.865515962,4044851.030031022,4044885.205082045,4044910.5438631442,4044929.80151056,4044944.785299141,4044848.8658034904,4044883.284775756,4044908.906167877,4044928.438595112,4044943.6737612947,4044846.8291769647,4044881.4527808893,4044907.3200753424,4044927.0952714495,4044942.5544400658,4044844.9096220345,4044879.706392293,4044905.7896614755,4044925.781296726,4044941.4418476317,4044843.097071985,4044878.0414250367,4044904.315900366,4044924.5019892217,4044940.344942581,4044841.3822258892,4044876.453089824,4044902.8980083806,4044923.2599570635,4044939.2691807183,4044839.756638578,4044874.9364625053,4044901.5342260115,4044922.056136134,4044938.2177665206,4044838.21270996,4044873.4867324363,4044900.2222806104,4044920.890428585,4044937.1924378043,4044836.743629446,4044872.099328134,4044898.9596629622,4044919.7621032936,4044936.1939689657,4044835.3433033093,4044870.7699742075,4044897.7437928356,4044918.6700507184,4044935.222499853,4044834.0062787533,4044869.4947098317,4044896.5721171577,4044917.612946761,4044934.277754025,4044832.727671218,4044868.2698860243,4044895.442166786,4044916.589358694,4044933.3591853958
4,2021-07-05,4044779.277680481,4044822.2549614995,4044854.496438421,4044879.169579745,4044898.4444876295,4044776.0836061705,4044819.5063310517,4044852.283556092,4044877.4891397296,4044897.259096148,4044773.07843309,4044816.841513614,4044850.0545279495,4044875.703872903,4044895.8917159275,4044770.257931007,4044814.2844235483,4044847.8581767026,4044873.8839403447,4044894.430793068,4044767.6110055507,4044811.8430331815,4044845.7196024684,4044872.0691878265,4044892.928803503,4044765.124288076,4044809.517354482,4044843.651028494,4044870.282416443,4044891.417617783,4044762.7841954026,4044807.30346973,4044841.657503527,4044868.5364965983,4044889.916826768,4044760.5778290625,4044805.1956325313,4044839.74002823,4044866.8383593615,4044888.4384719436,4044758.4933276908,4044803.187382824,4044837.8973255367,4044865.191319778,4044886.989839517,4044756.519959844,4044801.2721402273,4044836.1268675793,4044863.5964701264,4044885.575164835,4044754.6480960553,4044799.4435142023,4044834.4254812696,4044862.0535356672,4044884.1967003364,4044752.8691284684,4044797.6954578315,4044832.7897085454,4044860.5614102497,4044882.855399829,4044751.1753718606,4044796.02233456,4044831.216020637,4044859.118496316,4044881.5513651064,4044749.5599625423,4044794.4189366475,4044829.700944004,4044857.7229228076,4044880.284141891,4044748.0167627987,4044792.88047735,4044828.241132174,4044856.372685467,4044879.0529183014
5,2021-07-06,4044693.9441501712,4044746.228571409,4044786.474985147,4044817.829773749,4044842.6463295147,4044690.2636750992,4044742.9434632333,4044783.762932591,4044815.73251403,4044841.1465565898,4044686.8066603094,4044739.763188052,4044781.034360993,4044813.506500519,4044839.417713468,4044683.56719161,4044736.7157852915,4044778.3489903277,4044811.23945696,4044837.5719984802,4044680.5315844584,4044733.810198344,4044775.7373068375,4044808.9810659257,4044835.675902625,4044677.6836840007,4044731.0458918638,4044773.21396333,4044806.7596373316,4044833.769730991,4044675.0072237155,4044728.4176958506,4044770.784818985,4044804.5910454215,4044831.878189485,4044672.486840418,4044725.9183215355,4044768.4507937287,4044802.483741338,4044830.0164018343,4044670.1084596924,4044723.5396899036,4044766.210046585,4044800.441668746,4044828.193463578,4044667.8593849824,4044721.273633611,4044764.059236019,4044798.4660103405,4044826.4146092474,4044665.728250652,4044719.1122598746,4044761.9942606855,4044796.5562589704,4044824.682569418,4044663.7049174807,4044717.0481269443,4044760.0106981583,4044794.710886766,4044822.9984394168,4044661.780349107,4044715.0743174166,4044758.104064324,4044792.927768893,4044821.3622456593,4044659.946487957,4044713.1844547754,4044756.2699645576,4044791.204454317,4044819.7733203657,4044658.1961391023,4044711.3726893985,4044754.5041788397,4044789.5383394854,4044818.230552406
6,2021-07-07,4044603.8438666975,4044664.626037594,4044712.593980817,4044750.6167865973,4044781.094061339,4044599.786648,4044660.8755946564,4044709.421585014,4044748.119815912,4044779.284489594,4044595.980954818,4044657.249426505,4044706.233263819,4044745.4717876213,4044777.1998399366,4044592.419316564,4044653.7789952275,4044703.098744051,4044742.7773111276,4044774.9758104743,4044589.08582827,4044650.473923908,4044700.0533917793,4044740.0954820197,4044772.6927314578,4044585.9620014457,4044647.333052482,4044697.114000049,4044737.459842658,4044770.399210222,4044583.029349466,4044644.349993599,4044694.287076699,4044734.8890856686,4044768.124963691,4044580.2704863753,4044641.516008941,4044691.573376325,4044732.3930554595,4044765.8881139797,4044577.669532502,4044638.821521302,4044688.97045705,4044729.9762366805,4044763.699497388,4044575.212196106,4044636.256908361,4044686.474156349,4044727.63984171,4044761.565291075,4044572.8857080364,4044633.8129089437,4044684.079455806,4044725.3830891224,4044759.488656826,4044570.678695607,4044631.480817042,4044681.780991219,4044723.204000934,4044757.470792409,4044568.581037684,4044629.25255897,4044679.573352548,4044721.099906374,4044755.511616219,4044566.5837210114,4044627.120706687,4044677.4512573434,4044719.067762883,4044753.610219654,4044564.678706689,4044625.0784571613,4044675.409647181,4044717.104361293,4044751.7651694375
7,2021-07-08,4044510.322520311,4044578.6244989224,4044633.8592874203,4044678.388922027,4044714.525344915,4044505.9930915786,4044574.4859353136,4044630.2748903628,4044675.518544117,4044712.4178126315,4044501.9364595045,4044570.488860057,4044626.675911756,4044672.476847804,4044709.9913100027,4044498.1438323883,4044566.667458469,4044623.140994895,4044669.384254765,4044707.404222507,4044494.5975346696,4044563.0317839673,4044619.7097954853,4044666.3086346206,4044704.7502159947,4044491.2772560013,4044559.5800300604,4044616.400933556,4044663.2883713897,4044702.085873129,4044488.162796504,4044556.304684865,4044613.2214108594,4044660.344733775,4044699.4457022795,4044485.2352214274,4044553.1957083526,4044610.1717546023,4044657.488809195,4044696.8506727517,4044482.4772770465,4044550.24219605,4044607.248914685,4044654.7255316935,4044694.3132556323,4044479.8734633382,4044547.4332474037,4044604.447932498,4044652.0560899097,4044691.8404955785,4044477.4099524496,4044544.7584062014,4044601.7629160266,4044649.479399936,4044689.435932027,4044475.074444656,4044542.207867394,4044599.187612937,4044646.993022278,4044687.100827012,4044472.8560062223,4044539.7725558993,4044596.715745851,4044644.5937400823,4044684.8349638926,4044470.744910146,4044537.4441359183,4044594.3412047755,4044642.2779266303,4044682.6371744233,4044468.7324889735,4044535.2149836696,4044592.0581528433,4044640.041779456,4044680.505690447
8,2021-07-09,4044414.001854718,4044488.8419539635,4044550.831087574,4044601.638415296,4044643.36905819,4044409.484811142,4044484.386454149,4044546.883501927,4044598.4237827817,4044640.9785145605,4044405.25574392,4044480.087178065,4044542.9231390134,4044595.019621174,4044638.2276140335,4044401.304841399,4044475.980440669,4044539.0364691196,4044591.5609589694,4044635.2963630417,4044397.613116502,4044472.076550448,4044535.2668675696,4044588.1237371485,4044632.2911142325,4044394.1589297308,4044468.373085433,4044531.6344955177,4044584.7507640636,4044629.276016112,4044390.920842022,4044464.8615397485,4044528.1467227107,4044581.4656359213,4044626.290103245,4044387.8788050497,4044461.5307465736,4044524.8038144824,4044578.28053757,4044623.3570173434,4044385.0145816864,4044458.3686644635,4044521.60213039,4044575.2007712056,4044620.4907481205,4044382.31181042,4044455.3633051123,4044518.535963108,4044572.227461344,4044617.6991305337,4044379.7559110182,4044452.5032001864,4044515.5986102624,4044569.3592073987,4044614.9860309255,4044377.3339268467,4044449.7776172822,4044512.7830022727,4044566.593110993,4044612.3527430976,4044375.0343498583,4044447.1766389487,4044510.082067994,4044563.925422555,4044609.798895619,4044372.8469498106,4044444.691167802,4044507.48894316,4044561.351951292,4044607.323049836,4044370.76261706,4044442.312893076,4044504.997083671,4044558.868325576,4044604.92309831
9,2021-07-10,4044315.415407411,4044395.813917492,4044464.0010659182,4044520.8023539134,4044568.0097611323,4044310.77709221,4044391.1058578757,4044459.738214629,4044517.2742245453,4044565.3533541774,4044306.436767563,4044386.566211462,4044455.4646230824,4044513.540364134,4044562.297970061,4044302.3839149526,4044382.23292527,4044451.2735287165,4044509.7491254224,4044559.0439866544,4044298.598660876,4044378.11644539,4044447.211487081,4044505.983784021,4044555.7096911366,4044295.0584762245,4044374.2138002245,4044443.2999431384,4044502.291144246,4044552.3663306795,4044291.7410972705,4044370.515641043,4044439.5465340065,4044498.696882391,4044549.057169937,4044288.6257376056,4044367.0098606087,4044435.951250491,4044495.2141425554,4044545.808333366,4044285.693510356,4044363.6834762953,4044432.5098982416,4044491.8485242007,4044542.635207805,4044282.927486307,4044360.523604097,4044429.2160842377,4044488.6010588068,4044539.546341671,4044280.3125905474,4044357.51794546,4044426.0623721103,4044485.4700264935,4044536.545881148,4044277.835435404,4044354.6550096064,4044423.040956911,4044482.4520837814,4044533.6351248617,4044275.484136669,4044351.92419195,4044420.1440564855,4044479.5429721964,4044530.813533362,4044273.2481350424,4044349.315775225,4044417.3641332383,4044476.737966597,4044528.079393744,4044271.1180321826,4044346.820890583,4044414.69401346,4044474.032159131,4044525.4302618667
