,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045024.405878727,4045031.4216580587,4045036.1280425168,4045039.464187045,4045041.930614996,4045023.7554352437,4045030.9437375907,4045035.7821454043,4045039.2207342987,4045041.7683199407,4045023.137336696,4045030.4767196444,4045035.431599889,4045038.9609178766,4045041.5805010735,4045022.5517458497,4045030.025150848,4045035.0840936415,4045038.69480271,4045041.379112568,4045021.9973061546,4045029.590848879,4045034.7437126357,4045038.428178621,4045041.1712840204,4045021.4720581253,4045029.174228365,4045034.4125673883,4045038.164424023,4045040.9613832016,4045020.973868873,4045028.7749790335,4045034.0916510248,4045037.9055038863,4045040.7521293443,4045020.5006334367,4045028.3924255413,4045033.781312712,4045037.6525303205,4045040.5452245143,4045020.0503653097,4045028.025723145,4045033.481528174,4045037.406089914,4045040.3417265257,4045019.6212320705,4045027.673965421,4045033.1920585097,4045037.1664410033,4045040.142276743,4045019.2115637735,4045027.336243479,4045032.9125453094,4045036.9336356563,4045039.947243206,4045018.8198481207,4045027.0116778137,4045032.6425683983,4045036.7075966797,4045039.756812696,4045018.4447196373,4045026.699434515,4045032.3816811093,4045036.4881670354,4045039.5710511385,4045018.0849466007,4045026.398732474,4045032.1294317935,4045036.275141936,4045039.389943891,4045017.7394176237,4045026.1088454286,4045031.8853767803,4045036.06828986,4045039.21342297
1,2021-07-02,4044964.7118821223,4044982.2932121404,4044994.509124525,4045003.3779438627,4045010.047889233,4044963.175230586,4044981.1086451043,4044993.623784349,4045002.740445387,4045009.6156757833,4044961.7202154226,4044979.9542619525,4044992.72838549,4045002.0611189166,4045009.116016733,4044960.3463835004,4044978.841017257,4044991.8425665176,4045001.3664115397,4045008.580884683,4044959.0497837886,4044977.7730597653,4044990.9766539163,4045000.6714744684,4045008.0293172384,4044957.825150943,4044976.7510724114,4044990.135883666,4044999.9850936118,4045007.472945367,4044956.6669140877,4044975.7739735385,4044989.322626322,4044999.3123309053,4045006.9189810464,4044955.5696589286,4044974.839814357,4044988.537612246,4044998.656007545,4045006.371912709,4044954.5283270604,4044973.9462631163,4044987.7806296963,4044998.017569253,4045005.8345067124,4044953.5382869113,4044973.0908687734,4044987.0509330854,4044997.397606939,4045005.3084188607,4044952.5953422803,4044972.271203646,4044986.3474862976,4044996.7961779744,4045004.7945782985,4044951.6957115848,4044971.484938296,4044985.669109439,4044996.2130084634,4045004.2934341617,4044950.8359946804,4044970.7298779883,4044985.0145677454,4044995.6476226025,4045003.805117137,4044950.013135806,4044970.003977289,4044984.3826251817,4044995.099426347,4045003.3295469983,4044949.2243868927,4044969.305342331,4044983.772076207,4044994.5677619097,4045002.8665051125
2,2021-07-03,4044886.534529048,4044916.2394444607,4044937.5429053856,4044953.351942369,4044965.431838628,4044884.081610872,4044914.2643635967,4044936.022294723,4044952.233430801,4044964.6613340625,4044881.7657247554,4044912.34403448,4044934.487136858,4044951.043111799,4044963.771437804,4044879.58502011,4044910.4962535803,4044932.971090416,4044949.8275220743,4044962.8193631447,4044877.5321968487,4044908.727417724,4044931.4916832387,4044948.6132224146,4044961.8391251937,4044875.5980109903,4044907.0381677793,4044930.0576518415,4044947.4155275333,4044960.8514529,4044873.7728737625,4044905.4262525993,4044928.6728058634,4044946.2431842363,4044959.8691520165,4044872.047569157,4044903.8880320457,4044927.3381521027,4044945.1009975397,4044958.9001501314,4044870.4135513892,4044902.419282129,4044926.0531015284,4044943.9913612613,4044957.9492953606,4044868.8630396966,4044901.015629151,4044924.8161727088,4044942.915177706,4044957.0194542273,4044867.3890164434,4044899.6727811955,4044923.625409144,4044941.8724240544,4044956.1122003347,4044865.9851812883,4044898.3866468137,4044922.4786295053,4044940.8625080627,4044955.2282563276,4044864.645887935,4044897.1533902558,4044921.3735780474,4044939.8844948276,4044954.367782953,4044863.3660767004,4044895.969450989,4044920.3080143426,4044938.9372528875,4044953.530571096,4044862.1412092964,4044894.8315433627,4044919.2797656143,4044938.019548924,4044952.716170965
3,2021-07-04,4044794.528006333,4044836.718234696,4044867.867166111,4044891.4572546207,4044909.7532166727,4044791.231257393,4044833.954586367,4044865.6795930327,4044889.815463317,4044908.6049884125,4044788.1260528103,4044831.2727993107,4044863.4745091414,4044888.0703297616,4044907.2799706673,4044785.20862679,4044828.6971926745,4044861.30023155,4044886.2903295374,4044905.863710487,4044782.468050792,4044826.2360794973,4044859.1817019386,4044884.5144121703,4044904.406996787,4044779.8909634287,4044823.889751886,4044857.1311572054,4044882.7649192126,4044902.9407084947,4044777.463704295,4044821.654519791,4044855.153742452,4044881.0545085734,4044901.483856599,4044775.1732539693,4044819.5248208405,4044853.250590876,4044879.3900401853,4044900.048152438,4044773.007609391,4044817.4943433963,4044851.420569765,4044877.774838745,4044898.6407061527,4044770.9558898327,4044815.5566267315,4044849.6612948016,4044876.2100515086,4044897.265673095,4044769.008316481,4044813.7053767936,4044847.969729366,4044874.6954829735,4044895.9252858087,4044767.1561363135,4044811.934624506,4044846.3425419475,4044873.2301178635,4044894.6205155947,4044765.391525406,4044810.2387961275,4044844.7763194474,4044871.8124535745,4044893.351504591,4044763.70748895,4044808.6127345953,4044843.26769315,4044870.4407135877,4044892.117852319,4044762.0977661093,4044807.05169401,4044841.813411105,4044869.112985181,4044890.9188080374
4,2021-07-05,4044692.1134766163,4044746.4243193762,4044787.621612027,4044819.4227758623,4044844.4366110303,4044688.092413825,4044742.923751047,4044784.777139913,4044817.2467471086,4044842.89254452,4044684.3123581503,4044739.532543857,4044781.913785402,4044814.9361802577,4044841.1121170237,4044680.767403718,4044736.2808484305,4044779.0942410138,4044812.5820224658,4044839.2107107355,4044677.4430813165,4044733.1784878206,4044776.35061371,4044810.2358451737,4044837.2567384373,4044674.3221428217,4044730.2251667096,4044773.698428056,4044807.9270898486,4044835.291704864,4044671.387145929,4044727.415619946,4044771.1439855425,4044805.6723138685,4044833.341082444,4044668.6215743525,4044724.742291136,4044768.6883964767,4044803.4803771493,4044831.420491705,4044666.0102698863,4044722.1967504253,4044766.329860701,4044801.3554600268,4044829.539351873,4044663.539539242,4044719.7704461142,4044764.0649887193,4044799.298871935,4044827.7031073407,4044661.1971106012,4044717.4550952776,4044761.8895793613,4044797.3101614085,4044825.9146222477,4044658.9720257665,4044715.2428754834,4044759.799081298,4044795.387810091,4044824.175073578,4044656.8545102286,4044713.126506142,4044757.788866654,4044793.529672716,4044822.4845337006,4044654.835841641,4044711.099268888,4044755.854391086,4044791.7332586143,4044820.8423560597,4044652.9082261412,4044709.1549949897,4044753.9912844594,4044789.995912596,4044819.2474335684
5,2021-07-06,4044582.213801657,4044647.773977884,4044698.798936427,4044738.9084656173,4044770.8845854434,4044577.610415696,4044643.619865641,4044695.337627725,4044736.2113826084,4044768.943826774,4044573.289903637,4044639.6013230146,4044691.8575142846,4044733.3502517496,4044766.707554263,4044569.2442401745,4044635.75344301,4044688.4347273065,4044730.4380011624,4044764.3211826314,4044565.4557688325,4044632.087146524,4044685.1079768427,4044727.538485336,4044761.870827508,4044561.903836201,4044628.60139389,4044681.895730036,4044724.687999662,4044759.4086298873,4044558.5677321116,4044625.2893272103,4044678.8052315586,4044721.906816737,4044756.9664965933,4044555.4279457484,4044622.1414544126,4044675.837438616,4044719.2056556363,4044754.56391131,4044552.46663489,4044619.1473261155,4044672.9898069967,4044716.589443249,4044752.212548123,4044549.6677263277,4044616.296418194,4044670.257900703,4044714.0595659255,4044749.919084209,4044547.0168481176,4044613.578585333,4044667.636336208,4044711.6152491993,4044747.68696041,4044544.501191619,4044610.9842792307,4044665.1193403252,4044709.254418737,4044745.5175076537,4044542.1093511763,4044608.504636964,4044662.7010789337,4044706.9742448064,4044743.4106807676,4044539.831164361,4044606.131498209,4044660.3758476214,4044704.7714895676,4044741.36554359,4044537.6575630666,4044603.857384454,4044658.1381782093,4044702.64272934,4044739.3805933567
6,2021-07-07,4044466.687989313,4044542.40711222,4044602.805470149,4044651.1154154977,4044690.12865308,4044461.638662351,4044537.6926951734,4044598.7817836427,4044647.924125505,4044687.8010390154,4044456.9057450676,4044533.1377278767,4044594.740490014,4044644.5415892783,4044685.120713853,4044452.4793010154,4044528.7813564846,4044590.7699186397,4044641.101635671,4044682.262497423,4044448.3389885644,4044524.635251406,4044586.914692544,4044637.679742829,4044679.3298039064,4044444.4613465634,4044520.697558554,4044583.195839446,4044634.3186433623,4044676.385133791,4044440.82300112,4044516.9599008076,4044579.621344181,4044631.0420557633,4044673.466630493,4044437.4020190183,4044513.410995928,4044576.19191449,4044627.8623821326,4044670.5974950856,4044434.17839921,4044510.038553516,4044572.9042303073,4044624.7851805906,4044667.791546712,4044431.1341630863,4044506.8302670396,4044569.752816592,4044621.811839757,4044665.0566113177,4044428.253263901,4044503.774318527,4044566.7311386187,4044618.941215252,4044662.396641447,4044425.521422393,4044500.859616927,4044563.832246453,4044616.170649031,4044659.81307129,4044422.925940571,4044498.075890293,4044561.0491525903,4044613.4966125637,4044657.3056984316,4044420.4555182494,4044495.413698453,4044558.3750492125,4044610.915115917,4044654.8732659263,4044418.100083206,4044492.8644036637,4044555.803428019,4044608.421968624,4044652.5138508547
7,2021-07-08,4044347.1855779816,4044431.813541272,4044500.94771563,4044557.181576246,4044603.1627661386,4044341.817154724,4044426.6364854923,4044496.4258037987,4044553.533174684,4044600.4666284453,4044336.790254364,4044421.639738565,4044491.888299923,4044549.6690632184,4044597.3637332018,4044332.0933512384,4044416.8656410687,4044487.4342916836,4044545.7424466703,4044594.057016557,4044327.7039950383,4044412.326324795,4044483.113547638,4044541.839529303,4044590.666401451,4044323.596562741,4044408.019119002,4044478.949258861,4044538.0089405086,4044587.2642439455,4044319.7456516405,4044403.9342668396,4044474.94996339,4044534.27751655,4044583.894592937,4044316.1274970644,4044400.058901748,4044471.1160542294,4044530.659144952,4044580.5841448167,4044312.72047492,4044396.379124363,4044467.443441047,4044527.1598997666,4044577.348712923,4044309.505180643,4044392.8810825665,4044463.925656256,4044523.78110945,4044574.19716892,4044306.464319016,4044389.551516041,4044460.5550833223,4044520.5212316476,4044571.133906841,4044303.582518309,4044386.378009163,4044457.3236768474,4044517.3770190272,4044568.1604168797,4044300.846123494,4044383.3490845216,4044454.2233823896,4044514.344253368,4044565.2763084034,4044298.24299424,4044380.454210314,4044451.246376191,4044511.418211252,4044562.4799843836,4044295.762318823,4044377.6837626817,4044448.385195816,4044508.593960035,4044559.7690908844
8,2021-07-09,4044224.402877154,4044316.7303550174,4044393.9234522167,4044457.740483112,4044510.5532457326,4044218.815441909,4044311.178088914,4044388.96579511,4044453.6741102734,4044507.509939214,4044213.5873149317,4044305.8237927966,4044383.9950094023,4044449.370204409,4044504.009323898,4044208.7057634783,4044300.7122937455,4044379.119553085,4044444.9997198773,4044500.280908178,4044204.1467931475,4044295.8559914166,4044374.3936238936,4044440.6586468485,4044496.460190408,4044199.883219214,4044291.251456283,4044369.842225602,4044436.400959738,4044492.628799005,4044195.8881846895,4044286.887729304,4044365.4743032693,4044432.25628955,4044488.8363155974,4044192.136619115,4044282.7505889777,4044361.2899048273,4044428.239824941,4044485.112690511,4044188.605745994,4044278.8247728352,4044357.28420484,4044424.3580575893,4044481.4755744077,4044185.2751517612,4044275.095127176,4044353.4498145347,4044420.61221154,4044477.9347834727,4044182.126660388,4044271.5471823066,4044349.778125769,4044417.0003364263,4044474.495089409,4044179.1441314057,4044268.1674157507,4044346.260096367,4044413.5186072034,4044471.1580000627,4044176.313237944,4044264.9433456147,4044342.886705921,4044410.162141018,4044467.922915748,4044173.6212511593,4044261.8635326643,4044339.6492143273,4044406.9255141933,4044464.7878906545,4044171.056842364,4044258.917535073,4044336.539301126,4044403.8030898017,4044461.7501395494
9,2021-07-10,4044098.928685323,4044197.7798203197,4044282.3272358375,4044353.337639313,4044412.7923751734,4044093.199320029,4044191.9296398195,4044276.99346822,4044348.8931139736,4044409.425160904,4044087.8409752296,4044186.2919229567,4044271.6492142826,4044344.191743545,4044405.5537747093,4044082.8400907777,4044180.9134020167,4044266.410989389,4044339.420565557,4044401.432586666,4044078.1716351453,4044175.8066197974,4044261.3367603268,4044334.6844053133,4044397.211645328,4044073.8073829785,4044170.967481748,4044256.45303584,4044330.0420349003,4044392.98121927,4044069.719512774,4044166.3840207234,4044251.769054923,4044325.525568613,4044388.796026072,4044065.882090919,4044162.040894614,4044247.2845157506,4044321.1513265,4044384.689019194,4044062.271581132,4044157.921721656,4044242.9939128878,4044316.926134862,4044380.679528834,4044058.8669060455,4044154.010284329,4044238.889023259,4044312.851083967,4044376.778218471,4044055.649311248,4044150.2911278424,4044234.9603494043,4044308.923819308,4044372.9901803136,4044052.602152317,4044146.74983056,4044231.197960448,4044305.13996241,4044369.3169095004,4044049.7106626052,4044143.3730964153,4044227.591978258,4044301.49400229,4044365.7575849965,4044046.96172857,4044140.148752094,4044224.132851574,4044297.9798584576,4044362.3099120925,4044044.3436840163,4044137.065695195,4044220.811502284,4044294.591236672,4044358.9706823267
