,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045031.1181538585,4045036.8392234603,4045040.6588166817,4045043.3576451517,4045045.348318751,4045030.5860670377,4045036.450541032,4045040.3785864753,4045043.160942051,4045045.2174480283,4045030.080172818,4045036.070579483,4045040.0945111318,4045042.9509756835,4045045.0659746802,4045029.600644728,4045035.703049825,4045039.8128199396,4045042.735874229,4045044.9035327313,4045029.146409578,4045035.34944589,4045039.536828348,4045042.5203158385,4045044.7358691706,4045028.7158959387,4045035.010120168,4045039.2682529585,4045042.307032426,4045044.566505959,4045028.30738565,4045034.6848343364,4045039.0079054516,4045042.09761486,4045044.3976368634,4045027.9191790745,4045034.3730516005,4045038.7560755443,4045041.892965276,4045044.2306360365,4045027.5496697957,4045034.0740958154,4045038.5127498917,4045041.6935612154,4045044.066358395,4045027.197374376,4045033.787239217,4045038.2777406583,4045041.499614846,4045043.905323121,4045026.860939746,4045033.511750738,4045038.0507625714,4045041.311171433,4045043.7478289646,4045026.539139698,4045033.246922082,4045037.831479735,4045041.128171531,4045043.5940284217,4045026.2308663973,4045032.9920810615,4045037.619534259,4045040.950490906,4045043.443976412,4045025.9351199875,4045032.746597603,4045037.4145637383,4045040.777966478,4045043.2976627527,4045025.6509978613,4045032.5098855253,4045037.21621181,4045040.610413323,4045043.1550341123
1,2021-07-02,4044982.418812023,4044996.9395021317,4045006.96365418,4045014.208111632,4045019.638205817,4044981.1447595526,4044995.964839863,4045006.2390492554,4045013.688355663,4045019.2868370977,4044979.9376137373,4044995.014536028,4045005.505932762,4045013.1343415896,4045018.8805578225,4044978.797124796,4044994.0976515673,4045004.780383512,4045012.5676178103,4045018.445339171,4044977.720129017,4044993.2176539786,4045004.070873085,4045012.000538553,4045017.9966499778,4044976.7023563934,4044992.3751573497,4045003.3817119994,4045011.440276154,4045017.5439457074,4044975.739267917,4044991.5693190284,4045002.71486644,4045010.8909702785,4045017.0930937985,4044974.826440757,4044990.7985771904,4045002.0709589887,4045010.3549348745,4045016.647749846,4044973.9597357013,4044990.0610493314,4045001.449839103,4045009.833362387,4045016.2101704692,4044973.1353579722,4044989.354749707,4045000.8509169747,4045009.3267476284,4045015.78170971,4044972.3498660023,4044988.67770733,4045000.2733626897,4045008.8351494237,4045015.3631306947,4044971.6001556427,4044988.028028194,4044999.716226488,4045008.3583554276,4045014.9548059255,4044970.883433797,4044987.4039258366,4044999.178511735,4045007.8959875912,4045014.5568485116,4044970.197188628,4044986.803733844,4044998.6592190117,4045007.447570432,4045014.169199547,4044969.539159894,4044986.225908137,4044998.1573723224,4045007.012575547,4045013.791687056
2,2021-07-03,4044918.128132908,4044942.911178561,4044960.551539871,4044973.5704057505,4044983.47716696,4044916.073582045,4044941.2709517055,4044959.2965709623,4044972.65158334,4044982.8464833004,4044914.132485579,4044939.6752974237,4044958.0290344027,4044971.673444734,4044982.117897154,4044912.3035181384,4044938.1390904034,4044956.776723381,4044970.674190181,4044981.338194148,4044910.580762918,4044936.6677489798,4044955.5541465427,4044969.6756429817,4044980.5352004804,4044908.9566440512,4044935.261906784,4044954.3685670127,4044968.690404407,4044979.7258844413,4044907.4232682874,4044933.9197855354,4044953.2231829185,4044967.7256875555,4044978.920738479,4044905.9730300596,4044932.638441879,4044952.118876296,4044966.7854696778,4044978.1262669456,4044904.598864778,4044931.4144364456,4044951.055207573,4044965.8717469117,4044977.3464555843,4044903.294331933,4044930.244195504,4044950.0309956376,4044964.9852884794,4044976.5836685556,4044902.053616613,4044929.124204498,4044949.044662375,4044964.1261013807,4044975.839211233,4044900.8714936604,4044928.051107866,4044948.094439555,4044963.2937224163,4044975.1136914813,4044899.7432767507,4044927.0217560437,4044947.1784934374,4044962.4874045,4044974.4072560365,4044898.6647635684,4044926.033222654,4044946.2949993047,4044961.706236816,4044973.7197476192,4044897.6321825096,4044925.082805071,4044945.442185114,4044960.9492228013,4044973.0508106877
3,2021-07-04,4044842.021923554,4044877.510234351,4044903.49990406,4044923.0623841905,4044938.1630235007,4044839.239060383,4044875.1978951795,4044901.681867465,4044921.705017655,4044937.217586468,4044836.6161258444,4044872.9527392024,4044899.848402668,4044920.261675636,4044936.126285188,4044834.1502514253,4044870.795261137,4044898.03969167,4044918.7889270885,4044934.959482429,4044831.832482578,4044868.7325770906,4044896.276533306,4044917.3189833905,4044933.758970883,4044829.651767133,4044866.765083632,4044894.5691826125,4044915.870351423,4044932.550178759,4044827.596760401,4044864.889829158,4044892.9220018745,4044914.4535433347,4044931.348778369,4044825.656624668,4044863.1022775113,4044891.3360140002,4044913.074280971,4044930.16443958,4044823.8213520492,4044861.39724854,4044889.810351098,4044911.7353624054,4044929.003046938,4044822.081859192,4044859.7694221097,4044888.3430968174,4044910.437782442,4044927.8680525743,4044820.4299744056,4044858.2136043604,4044886.9317846852,4044909.181421819,4044926.7613244103,4044818.8583769486,4044856.72486212,4044885.5736957965,4044907.9654793506,4044925.683690095,4044817.360518256,4044855.298583524,4044884.266036877,4044906.7887468725,4044924.6352924188,4044815.9305398203,4044853.930497379,4044883.0060457718,4044905.6497859526,4044923.6158251483,4044814.5631946996,4044852.6166698243,4044881.7910523526,4044904.547042075,4044922.6246914426
4,2021-07-05,4044756.947635054,4044802.9346635947,4044837.529556104,4044864.0607096823,4044884.8221597658,4044753.5334702306,4044799.9880335527,4044835.1517622336,4044862.2517266846,4044883.544227755,4044750.321904472,4044797.131804324,4044832.757007793,4044860.330145752,4044882.0702411095,4044747.308292884,4044794.39154913,4044830.3977407385,4044858.3715144196,4044880.49558629,4044744.4806698957,4044791.775745542,4044828.1008993746,4044856.418721336,4044878.876847973,4044741.82465676,4044789.2843413777,4044825.8795791706,4044854.4962946093,4044877.2483829902,4044739.3256614893,4044786.913078936,4044823.739166192,4044852.6180669204,4044875.6313022776,4044736.969837572,4044784.655747965,4044821.6806992446,4044850.791475923,4044874.0385742974,4044734.7444581967,4044782.5053805383,4044819.70277323,4044849.020067206,4044872.4780395217,4044732.6380133512,4044780.454886303,4044817.8026428353,4044847.3049950646,4044870.9542492,4044730.6401781975,4044778.4973840714,4044815.9768730938,4044845.645944093,4044869.469617401,4044728.741725757,4044776.626365819,4044814.2217261656,4044844.0417058603,4044868.0251590684,4044726.9344199784,4044774.835767471,4044812.5333911986,4044842.4905448644,4044866.620971669,4044725.2109067715,4044773.119988036,4044810.90811928,4044840.9904329735,4044865.256554283,4044723.564611145,4044771.4738806672,4044809.342300285,4044839.539200298,4044863.9310215367
5,2021-07-06,4044665.254392198,4044721.089147213,4044764.1866067317,4044797.8371478748,4044824.5183280963,4044661.3268278763,4044717.573843373,4044761.2778141024,4044795.5834991117,4044822.904236113,4044657.6384398015,4044714.171348261,4044758.351777184,4044793.191810733,4044821.043799535,4044654.18278435,4044710.9115902567,4044755.4725303194,4044790.7563717817,4044819.0578152747,4044650.9451442873,4044707.804058338,4044752.6727303173,4044788.330562047,4044817.017857806,4044647.9081857502,4044704.848103817,4044749.968044584,4044785.9447797188,4044814.9673014577,4044645.05447317,4044702.038127408,4044747.364709043,4044783.616053694,4044812.9327224544,4044642.3675496047,4044699.3662719806,4044744.8636654043,4044781.353434686,4044810.930379629,4044639.8323453455,4044696.8238435434,4044742.462898772,4044779.161130702,4044808.970042288,4044637.4352706745,4044694.402061305,4044740.158789653,4044777.040384947,4044807.057324279,4044635.16416387,4044692.0924448804,4044737.946908212,4044774.99062729,4044805.195145409,4044633.0081781563,4044689.8870020993,4044735.8224844043,4044773.010193387,4044803.3846668345,4044630.957648638,4044687.778306554,4044733.7806857075,4044771.0967799327,4044801.6259007654,4044629.003958931,4044685.7595145246,4044731.81677879,4044769.2477354356,4044799.9181137914,4044627.139416456,4044683.8243493605,4044729.9262203695,4044767.460246627,4044798.260096804
6,2021-07-07,4044568.546701053,4044633.3486906462,4044684.6251998614,4044725.3615524108,4044758.0741259777,4044564.2226017993,4044629.341526012,4044681.2280727723,4044722.6826264383,4044756.129612401,4044560.167284698,4044625.4678204274,4044677.8144313754,4044719.8420101004,4044753.8897369322,4044556.3726534448,4044621.761105555,4044674.4589197095,4044716.9519630484,4044751.50037321,4044552.8216417455,4044618.2315741354,4044671.199360883,4044714.075877111,4044749.0478598126,4044549.4944499363,4044614.877903898,4044668.0536812358,4044711.2497108476,4044746.5844243933,4044546.371298175,4044611.6931974287,4044665.0287937196,4044708.493483668,4044744.141983448,4044543.43359458,4044608.6680558743,4044662.125454595,4044705.8177203448,4044741.7399882213,4044540.664364733,4044605.792193749,4044659.3410026683,4044703.227196555,4044739.3900586856,4044538.0483363178,4044603.0552858436,4044656.670939881,4044700.7231798433,4044737.0988081605,4044535.571867537,4044600.4474000502,4044654.109857012,4044698.3048017775,4044734.8696107827,4044533.222811132,4044597.959203506,4044651.6519794054,4044695.9699133825,4044732.7037318205,4044530.990358708,4044595.5820440347,4044649.2914875895,4044693.7156254835,4044730.601063603,4044528.8648866257,4044593.307963524,4044647.0227024285,4044691.538652859,4044728.5606116722,4044526.837812928,4044591.1296751658,4044644.8401878756,4044689.4355340917,4044726.5808195877
7,2021-07-08,4044468.148331491,4044540.8885189644,4044599.8581274915,4044647.502467559,4044686.238130966,4044463.5365302633,4044536.4707113435,4044596.0239970954,4044644.426478964,4044683.9760705144,4044459.2159806583,4044532.204619893,4044592.1748448857,4044641.167318544,4044681.3719164366,4044455.1771905343,4044528.126649799,4044588.3947679214,4044637.8540633526,4044678.595731765,4044451.4012230523,4044524.247441642,4044584.726131735,4044634.5594322095,4044675.748070103,4044447.8663539574,4044520.564982689,4044581.1887923526,4044631.3245263244,4044672.8896570136,4044444.550993639,4044517.0711802887,4044577.7901788447,4044628.1720976415,4044670.057511404,4044441.4349142346,4044513.7552538975,4044574.5307993214,4044625.113985889,4044667.274113831,4044438.4996899734,4044510.6055101585,4044571.4073414057,4044622.1554382076,4044664.5528211826,4044435.7287723185,4044507.61026859,4044568.414457472,4044619.2976910924,4044661.901166077,4044433.1074012686,4044504.758330413,4044565.545807315,4044616.539549309,4044659.322920217,4044430.6224504425,4044502.039198137,4044562.7946705744,4044613.8783686133,4044656.819412865,4044428.2622532016,4044499.4431586377,4044560.154304726,4044611.310675223,4044654.3903883784,4044426.0164320813,4044496.961292234,4044557.6181502957,4044608.8325593467,4044652.034571966,4044423.8757412774,4044494.585442847,4044555.1799434046,4044606.439925751,4044649.7500470784
8,2021-07-09,4044364.795032304,4044444.427293397,4044510.5351804495,4044564.83209306,4044609.5108048664,4044359.98505235,4044439.674642864,4044506.3164766114,4044561.3906922946,4044606.9476652145,4044355.4823478837,4044435.089306312,4044502.084714719,4044557.7468443597,4044603.9984455025,4044351.276350701,4044430.7099335995,4044497.9322758536,4044554.0451336075,4044600.8562197178,4044347.3467398896,4044426.547429712,4044493.905458023,4044550.3668435756,4044597.6350406255,4044343.6703883847,4044422.5991272624,4044490.025742515,4044546.757766579,4044594.403680941,4044340.2243986544,4044418.85587979,4044486.3009418184,4044543.2431191364,4044591.203970901,4044336.98736746,4044415.305713327,4044482.7312811846,4044539.835899864,4044588.0612293356,4044333.939831029,4044411.935730926,4044479.312818315,4044536.541741072,4044584.990423718,4044331.06433149,4044408.7331010005,4044476.039408689,4044533.3618061254,4044581.9999225587,4044328.34531466,4044405.6855539624,4044472.903850576,4044530.2945591677,4044579.0938407867,4044325.768960742,4044402.781611381,4044469.8985553617,4044527.3368649557,4044576.2735373043,4044323.3229968557,4044400.0106692365,4044467.015937608,4044524.4846808584,4044573.5385880647,4044320.9965143115,4044397.3630024954,4044464.2486371514,4044521.733495422,4044570.887427281,4044318.779800518,4044394.8297287067,4044461.589639572,4044519.078606762,4044568.317774524
9,2021-07-10,4044259.0447021695,4044344.531589634,4044417.1812436664,4044477.820390465,4044528.30804935,4044254.1064325455,4044339.5123016625,4044412.629131862,4044474.0467137806,4044525.4625089504,4044249.4860182186,4044334.6732116025,4044408.066154844,4044470.0534623126,4044522.1899033147,4044245.172145732,4044330.054689405,4044403.59184726,4044465.9993448835,4044518.7049534637,4044241.1435586396,4044325.6677825865,4044399.255865704,4044461.9734166106,4044515.1343910364,4044237.3761906093,4044321.509241157,4044395.081044222,4044458.025700754,4044511.554527314,4044233.8462732225,4044317.56902692,4044391.0754734445,4044454.183613486,4044508.011682239,4044230.5316236652,4044313.8341715494,4044387.239084207,4044450.4611651283,4044504.5338075245,4044227.4120918093,4044310.2907832614,4044383.567344915,4044446.864298402,4044501.137350192,4044224.469620033,4044306.925083908,4044380.053382924,4044443.3940738705,4044497.8314322424,4044221.6881315038,4044303.7239266783,4044376.6892177835,4044440.0486135692,4044494.6204618043,4044219.053350975,4044300.6750319363,4044373.466481125,4044436.8243072806,4044491.5057992237,4044216.5526080765,4044297.7670697947,4044370.3768338696,4044433.71657022,4044488.486838684,4044214.174646375,4044294.989660458,4044367.412202359,4044430.720322202,4044485.561720163,4044211.909448169,4044292.3333320376,4044364.5649051634,4044427.8302909634,4044482.7278030077
