,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045013.118948691,4045022.2496316154,4045028.422870638,4045032.822001297,4045036.0866007353,4045012.2768099857,4045021.624908835,4045027.9678597786,4045032.500329787,4045035.871464284,4045011.477240966,4045021.0148221776,4045027.506945215,4045032.157149504,4045035.622550034,4045010.7203467195,4045020.4252793225,4045027.050236652,4045031.805769816,4045035.35571919,4045010.0042755343,4045019.858614979,4045026.603095054,4045031.4538403256,4045035.080428401,4045009.3264082866,4045019.3153306325,4045026.1682785843,4045031.1058187936,4045034.8024677793,4045008.683914166,4045018.794983598,4045025.74707466,4045030.764292797,4045034.5254390533,4045008.074009852,4045018.2966581774,4045025.339924305,4045030.4307221035,4045034.2515939856,4045007.4940750073,4045017.8192214346,4045024.9467787,4045030.105872081,4045033.9823295954,4045006.9416968143,4045017.361463687,4045024.5673083346,4045029.790074817,4045033.7184906476,4045006.414679452,4045016.9221754633,4045024.2010281496,4045029.4833905124,4045033.4605596773,4045005.9110366805,4045016.500188694,4045023.8473734003,4045029.185709315,4045033.2087791963,4045005.4289768725,4045016.0943974825,4045023.5057459217,4045028.8968166187,4045032.963231843,4045004.966885304,4045015.703767154,4045023.1755422726,4045028.6164354417,4045032.723893818,4045004.523306149,4045015.3273366014,4045022.856170635,4045028.3442541435,4045032.490670982
1,2021-07-02,4044935.3876723307,4044957.812958654,4044973.559728469,4044985.077293349,4044993.7867385796,4044933.4398849215,4044956.292684421,4044972.4136250196,4044984.2468374064,4044993.2210411746,4044931.5975122396,4044954.812359121,4044971.2552195615,4044983.362298299,4044992.5672800364,4044929.8596639573,4044953.385919665,4044970.10991955,4044982.4581643804,4044991.8673571707,4044928.2210511956,4044952.018552486,4044968.991041033,4044981.554168903,4044991.146210089,4044926.674761072,4044950.711000733,4044967.905296822,4044980.661732942,4044990.4190615225,4044925.2135329396,4044949.461755435,4044966.8556882353,4044979.7874173564,4044989.6953389132,4044923.830338924,4044948.2682094197,4044965.8430964868,4044978.934861048,4044988.980899096,4044922.518630991,4044947.127278363,4044964.86718862,4044978.1059113615,4044988.2793424157,4044921.2724258304,4044946.03573787,4044963.9269467085,4044977.301303968,4044987.5928150606,4044920.086311383,4044944.990404959,4044963.0209827772,4044976.521082125,4044986.922512623,4044918.955417005,4044943.9882325814,4044962.147728373,4044975.764860427,4044986.2690035147,4044917.875368518,4044943.0263549658,4044961.305549104,4044975.0319933,4044985.6324407095,4044916.8422389077,4044942.1021050857,4044960.4928134657,4044974.3216838483,4044985.0127025936,4044915.852499933,4044941.2130164797,4044959.7079333984,4044973.633054637,4044984.409487863
2,2021-07-03,4044834.8580883015,4044872.141171883,4044899.207783594,4044919.473843127,4044935.064072399,4044831.79884222,4044869.6435071137,4044897.265314821,4044918.0341694267,4044934.0665394883,4044828.9136963813,4044867.2172966814,4044895.3056757133,4044916.502907409,4044932.9148904667,4044826.199795186,4044864.8848068956,4044893.371824459,4044914.940027065,4044931.683312859,4044823.6475532693,4044862.6538627357,4044891.486042425,4044913.379703462,4044930.415885769,4044821.24503667,4044860.5250223526,4044889.6593558304,4044911.841595106,4044929.1394429505,4044818.9799513435,4044858.495212479,4044887.896494512,4044910.336888633,4044927.870535836,4044816.8405280593,4044856.5596323917,4044886.1986154234,4044908.8716915827,4044926.6193879466,4044814.815883163,4044854.7127709147,4044884.5648486596,4044907.44900909,4044925.392230789,4044812.8961277413,4044852.9489525915,4044882.9931971733,4044906.06993093,4044924.1927293977,4044811.072357653,4044851.2626271616,4044881.4810695844,4044904.734361971,4044923.022876258,4044809.3365901546,4044849.6485164897,4044880.0255988766,4044903.4414804433,4044921.8835647185,4044807.6816799967,4044848.1016815742,4044878.623833352,4044902.190029714,4044920.7749637924,4044806.1012312947,4044846.617544764,4044877.2728500203,4044900.978505964,4044919.6967669623,4044804.589512953,4044845.1918872446,4044875.9698203043,4044899.805279598,4044918.648359395
3,2021-07-04,4044717.6296382546,4044769.8931050054,4044808.988148008,4044838.8918664684,4044862.263282055,4044713.5688358746,4044766.439943187,4044806.2247771155,4044836.800355303,4044860.7907949435,4044709.7481392715,4044763.0922408192,4044803.4414461274,4044834.578536749,4044859.0923476396,4044706.162168533,4044759.880024126,4044800.6991208326,4044832.3137515928,4044857.2778363973,4044702.796817329,4044756.8132877615,4044798.0291317357,4044830.055593138,4044855.412458518,4044699.6350884484,4044753.892025749,4044795.4467244353,4044827.832431791,4044853.535804909,4044696.6597125228,4044751.111296773,4044792.958183976,4044825.6602737196,4044851.672206575,4044693.8542912663,4044748.463864271,4044790.5647407398,4044823.5477311127,4044849.8366133426,4044691.2037454164,4044745.9415973374,4044788.264782043,4044821.4989152527,4044848.0380663793,4044688.6944326507,4044743.5362160406,4044786.0551348673,4044819.5151713705,4044846.2818164495,4044686.314111971,4044741.239680878,4044783.93182217,4044817.5961441305,4044844.5706511466,4044684.051841448,4044739.044385742,4044781.8905127016,4044815.7404444423,4044842.905745252,4044681.8978523184,4044736.94324154,4044779.926788458,4044813.946072691,4044841.287215724,4044679.8434203896,4044734.929699174,4044778.036301801,4044812.210689934,4044839.7144894134,4044677.8807445075,4044732.997739526,4044776.2148650247,4044810.5317924684,4044838.1865496305
4,2021-07-05,4044588.0979588907,4044654.6430566013,4044705.804964169,4044745.71783882,4044777.375637673,4044583.193038288,4044650.3126423107,4044702.2463335036,4044742.970921707,4044775.412372066,4044578.5868773777,4044646.121475015,4044698.666943211,4044740.056031028,4044773.1496578124,4044574.2713980977,4044642.1063842075,4044695.1451223805,4044737.088117731,4044770.7344725486,4044570.2281957967,4044638.2790177865,4044691.7207950107,4044734.1322412193,4044768.253892414,4044566.4356036973,4044634.6385378316,4044688.413093887,4044731.2254348486,4044765.7606743313,4044562.871832833,4044631.1780123496,4044685.229612577,4044728.388430001,4044763.2871327214,4044559.5163203096,4044627.887732822,4044682.1714696162,4044725.6322315205,4044760.853027205,4044556.3502387735,4044624.756964424,4044679.236169461,4044722.961941802,4044758.470221582,4044553.356611562,4044621.7748695123,4044676.4192568697,4044720.379050931,4044756.1455246196,4044550.5202472145,4044618.930984058,4044673.715288545,4044717.882840729,4044753.8824686455,4044547.827597855,4044616.215448468,4044671.118408061,4044715.471261466,4044751.6824478563,4044545.2665926665,4044613.61910263,4044668.6226853356,4044713.141486759,4044749.5454601976,4044542.826471069,4044611.133506349,4044666.222314094,4044710.8902678797,4044747.4705980527,4044540.4976267754,4044608.7509197565,4044663.9117227206,4044708.71416081,4044745.4563765675
5,2021-07-06,4044450.172778333,4044529.7196763647,4044592.4698084216,4044642.3390801298,4044682.449463809,4044444.604050809,4044524.626730486,4044588.178076588,4044638.963712703,4044680.0020368495,4044439.382580962,4044519.704527372,4044583.866498376,4044635.385393933,4044677.1833598907,4044434.4977134587,4044514.995536241,4044579.629331843,4044631.74562589,4044674.1771596856,4044429.927275657,4044510.512555793,4044575.5142675336,4044628.1242609196,4044671.0921463775,4044425.6456102007,4044506.2537611476,4044571.5438438654,4044624.5665484313,4044667.9940475742,4044421.627116412,4044502.2102594688,4044567.726686145,4044621.0976392026,4044664.922999608,4044417.8477493343,4044498.369997304,4044564.063649446,4044617.7307171063,4044661.9034363455,4044414.285567892,4044494.719811519,4044560.551281894,4044614.4717245107,4044658.949929755,4044410.9208396766,4044491.246503538,4044557.18382198,4044611.322188764,4044656.070749712,4044407.7359453393,4044487.9373872117,4044553.9543675007,4044608.2809522827,4044653.2700911495,4044404.71520074,4044484.7805487625,4044550.855564028,4044605.345250634,4044650.549498028,4044401.844654308,4044481.7649484966,4044547.880008864,4044602.5113931345,4044647.908790177,4044399.11188688,4044478.8804362826,4044545.020483872,4044599.7751960154,4044645.3466753317,4044396.5058261068,4044476.1177213583,4044542.270084296,4044597.132258874,4044642.861157853
6,2021-07-07,4044305.8990513324,4044397.0382951433,4044470.6923172935,4044530.2576994174,4044578.8018379747,4044299.8281389624,4044391.300413919,4044465.741299926,4044526.29413677,4044575.888213401,4044294.142698922,4044385.7614457775,4044460.7725368286,4044522.0958172195,4044572.5347947283,4044288.829824678,4044380.468425219,4044455.8945456003,4044517.829152055,4044568.960835096,4044283.8642382096,4044375.4349127235,4044451.1618761523,4044513.587804921,4044565.295916081,4044279.217055256,4044370.6580550913,4044446.599988245,4044509.424637682,4044561.618236982,4044274.8596243053,4044366.1271329056,4044442.218297289,4044505.368843756,4044557.975417711,4044270.7651324756,4044361.8279670025,4044438.0172955813,4044501.4355504564,4044554.3963309363,4044266.9091763427,4044357.745221329,4044433.9925599666,4044497.631394877,4044550.8980898866,4044263.269853376,4044353.863601496,4044430.137057616,4044493.9578554593,4044547.490305744,4044259.8276391015,4044350.168459891,4044426.4424913195,4044490.4132882785,4044544.17774947,4044256.565178338,4044346.646077406,4044422.9000885678,4044486.9941935823,4044540.962052113,4044253.4670524774,4044343.2837683456,4044419.501061922,4044483.6960135093,4044537.8428102,4044250.5195519365,4044340.0698896786,4044416.2368721697,4044480.5136383153,4044534.818314603,4044247.7104664366,4044336.993800187,4044413.099371978,4044477.4417282473,4044531.8860363998
7,2021-07-08,4044157.4075756436,4044258.571551587,4044342.2455613855,4044411.0515785166,4044467.836155733,4044150.984109485,4044252.3097455343,4044336.719299935,4044406.551757888,4044464.4844395304,4044144.9741666154,4044246.270995672,4044331.17820641,4044401.7889921027,4044460.629045426,4044139.363017127,4044240.5058752727,4044325.743182797,4044396.952451492,4044456.522735237,4044134.122997757,4044235.028388622,4044320.4746565493,4044392.148360124,4044452.314737939,4044129.2227915754,4044229.834687314,4044315.400515702,4044387.436451546,4044448.0949554415,4044124.6314709075,4044224.912429472,4044310.530747865,4044382.849522423,4044443.917996059,4044120.320172354,4044220.2455918468,4044305.8654220146,4044378.4043877763,4044439.8168475293,4044116.2626781925,4044215.8169752783,4044301.399173331,4044374.1082382216,4044435.8109513344,4044112.4354939847,4044211.609501548,4044297.123778109,4044369.9624346336,4044431.9111202774,4044108.817703044,4044207.6068623546,4044293.0296519534,4044365.9648244437,4044428.122611183,4044105.390733132,4044203.793816363,4044289.1067253333,4044362.1111799404,4044424.4470859957,4044102.1381004057,4044200.15629469,4044285.3449518187,4044358.3961022673,4044420.883885319,4044099.0451608975,4044196.6814034046,4044281.7345964215,4044354.813593583,4044417.430867024,4044096.0988824903,4044193.3573726285,4044278.2663910515,4044351.3574196217,4044414.084964342
8,2021-07-09,4044005.224452267,4044115.002845366,4044207.8430915982,4044285.4087866615,4044350.1933498955,4043998.5590267093,4044108.318841207,4044201.8180742944,4044280.4232798615,4044346.432937967,4043992.3268449157,4044101.878064578,4044195.7814712566,4044275.149887219,4044342.109659113,4043986.5118237017,4044095.733837795,4044189.8648798307,4044269.7984251017,4044337.5076298346,4043981.0845785323,4044089.900418848,4044184.133748497,4044264.4864680325,4044332.7944327835,4043976.0120554743,4044084.3730635196,4044178.617987726,4044259.2799210097,4044328.070872137,4043971.2617114726,4044079.1380418767,4044173.3280014046,4044254.214782375,4044323.398040097,4043966.803234051,4044074.177777029,4044168.263419231,4044249.3093331964,4044318.8127187206,4043962.6091275606,4044069.473512442,4044163.417996595,4044244.571206445,4044314.3364743697,4043958.65477933,4044065.0066863024,4044158.7824226962,4044240.001602915,4044309.9811947346,4043954.9182970095,4044060.75961419,4044154.3459505583,4044235.59786167,4044305.7525466643,4043951.380257221,4044056.715797032,4044150.0973466034,4044231.355053795,4044301.652181359,4043948.023432558,4044052.8600258287,4044146.0254394216,4044227.2669822415,4044297.679165023,4043944.832527953,4044049.178377699,4044142.1194290486,4044223.3268131632,4044293.8309197766,4043941.7939395276,4044045.658156062,4044138.3690518676,4044219.52747476,4044290.1038488983
9,2021-07-10,4043849.989974182,4043967.039908019,4044068.1899679536,4044153.9993313565,4044226.4958105655,4043843.167054894,4043960.02199758,4044061.737343979,4044148.577887182,4044222.357292501,4043836.7903493117,4043953.263710561,4044055.2764340704,4044142.84662463,4044217.6014773734,4043830.842859077,4043946.8204778363,4044048.9479734707,4044137.0339159016,4044212.5415649167,4043825.2940518707,4043940.706692214,4044042.8216604874,4044131.267502729,4044207.3621367,4043820.109721916,4043934.9168419275,4044036.929079163,4044125.6187883914,4044202.1740701674,4043815.2562584896,4043929.4360487643,4044031.2809324358,4044120.1265967805,4044197.044426737,4043810.7023936124,4043924.245464941,4044025.876421222,4044114.810476302,4044192.013462293,4043806.4197905376,4043919.325067471,4044020.7085010204,4044109.678411321,4044187.1046706685,4043802.383101731,4043914.655092703,4044015.7668898245,4044104.7314175637,4044182.3308966015,4043798.5697945207,4043910.216744584,4044011.0398105816,4044099.9663410643,4044177.698151306,4043794.9598875875,4043905.9925103053,4044006.5150035084,4044095.377591337,4044173.2080441252,4043791.5356666176,4043901.966263645,4044002.180308896,4044090.9582269094,4044168.8593587093,4043788.2814105954,4043898.123255272,4043998.0239936817,4044086.7006393387,4044164.6490884996,4043785.18314193,4043894.4500453374,4043994.034923863,4044082.596984184,4044160.5731238965
