Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
2022-02-01,446055.2568263056,446124.3850803287,446183.12701086135,446233.2709401521,446276.2347753273,446049.69582652947,446119.0574242192,446178.37489801703,446229.3235672903,446273.2297325877,446044.52321668086,446113.9505975611,446173.6362375342,446225.16460208705,446269.78518063505,446039.7196131788,446109.10315013956,446169.01354334695,446220.9611854556,446266.1306210343,446035.25557925884,446104.52244842565,446164.5561056104,446216.8057841404,446262.40068245644,446031.09961041925,446100.20110386465,446160.2849129672,446212.7491899086,446258.675619377,446027.2214663737,446096.1250772851,446156.20565151033,446208.81822611525,446255.0034174522,446023.5934414995,446092.27776721376,446152.3157387426,446205.0256474094,446251.4123881503,446020.1907107166,446088.6420816011,446148.60823417694,446201.37586019613,446247.91860246874,446016.99126834597,446085.20146714157,446145.07405306684,446197.8683158902,446244.53040846006,446013.97570078727,446081.9403896532,446141.70323052007,446194.499564916,446241.2512435173,446011.12690564664,446078.84452328447,446138.4856416414,446191.2645184863,446238.08141998196,446008.4298089683,446075.90078638005,446135.4114045776,446188.1572308691,446235.0192769705,446005.87110280304,446073.0972989088,446132.4710965571,446185.17138587846,446232.061932495,446003.43901114643,446070.4233025031,446129.65585905657,446182.30059811496,446229.2057788287
2022-02-02,445090.5795367109,445211.3571007919,445316.1385364824,445407.3831679687,445487.14228572714,445081.2236678059,445202.15668711823,445307.74570658995,445400.25814349233,445481.6010134679,445072.53199386416,445193.34835835884,445299.38827418414,445392.76237760426,445475.2582812048,445064.4698552077,445184.99703083374,445291.2463489717,445385.1979512126,445468.53920464707,445056.98599676223,445177.11380416295,445283.4055674504,445377.73104916816,445461.6923806626,445050.02600119263,445169.6844885708,445275.90151729377,445370.45216698153,445454.8652735941,445043.5378516731,445162.6836337047,445268.7428666903,445363.4084064131,445448.1454225353,445037.47401997814,445156.0815751993,445261.92384731106,445356.6215090681,445441.5839249086,445031.79200396466,445149.84798389836,445255.4311704023,445350.09825539996,445435.2092873079,445026.4541878728,445143.9536129427,445249.2479245,445343.8366158188,445429.0358301433,445021.42743040156,445138.37109967566,445243.3557882976,445337.8294607496,445423.0689082721,445016.68256892625,445133.07526887825,445237.73628141877,445332.0668295898,445417.30821624835,445012.1939255421,445128.04317536764,445232.37145652383,445326.5373296105,445411.749912854,445007.93885126465,445123.25401482347,445227.2442634965,445321.2289998107,445406.3880023997,445003.8973210164,445118.688973127,445222.33872037847,445316.1298408911,445401.21523975197
2022-02-03,444097.1716023115,444256.72933325043,444397.18799147394,444520.9217204794,444630.21954057703,444085.23783655395,444244.7438556507,444386.086795567,444511.3763690002,444622.7084227908,444074.1606187018,444233.27718061407,444375.03974517365,444501.3410220809,444614.1164443442,444063.8939875189,444222.4127754657,444364.28455704066,444491.2206180107,444605.02099606977,444054.3710694786,444212.16398147726,444353.93367959425,444481.2373770823,444595.75923378207,444045.52122108126,444202.51130094205,444344.0333052029,444471.5118425262,444586.5307026854,444037.27709300333,444193.42070675077,444334.594071543,444462.10634536995,444577.45346814144,444029.5772541831,444184.85282009677,444325.6076128242,444453.0492611501,444568.59610606317,444022.36684072734,444176.7675192397,444317.05571629433,444444.3489846726,444559.9965642153,444015.59734670265,444169.1261974159,444308.91547264997,444436.00218599907,444551.6735988806,444009.22607352777,444161.89279016014,444301.16219267796,444427.9987822551,444543.63387146726,444003.2154775115,444155.03415508836,444293.77105007344,444420.3249723053,444535.8764354431,443997.53252391284,444148.5201145152,444286.71798579476,444412.9651031824,444528.39561566507,443992.1480930126,444142.323328636,444279.98017986235,444405.9028190658,444521.1828766909,443987.03645359335,444136.41909053817,444273.5362689037,444399.1217632625,444514.2280439442
2022-02-04,443011.1941690277,443204.87308312015,443378.13698196725,443532.4834668272,443669.99048367556,442997.2006658218,443190.494359779,443364.61195690033,443520.72115138907,443660.6502581545,442984.2243164143,443176.74850239337,443351.1608723845,443508.36096356495,443649.9701877426,442972.2088261099,443163.7343091736,443338.07293232885,443495.90220704564,443638.66920054576,442961.073725849,443151.46638894,443325.48435626784,443483.6184442788,443627.1667572388,442950.73448645044,443139.9200634114,443313.4505453295,443471.6576835959,443615.7107912744,442941.1107602392,443129.05338577327,443301.9836085746,443460.09611108754,443604.4477132598,442932.129404596,443118.81815541076,443291.07257798116,443448.9680683014,443593.46231116424,442923.7251927078,443109.16543266736,443280.69457981223,443438.2833140752,443582.8012711357,442915.8405256589,443100.0482276108,443270.8211092784,443428.0372150628,443572.48743415705,442908.4247521226,443091.42271224805,443261.42157686705,443418.2168767323,443562.52863760124,442901.43337560573,443083.24865778995,443252.4653003118,443408.8048810745,443552.9233013745,442894.82727509836,443075.48946995137,443243.9225965643,443399.781581893,443543.6640093803,442888.5719913138,443068.1120235006,443235.76534740883,443391.1265149575,443534.7398308446,442882.637095593,443061.0864052966,443227.9672563132,443382.81925722165,443526.1378355202
2022-02-05,441975.99651348824,442198.0973767432,442398.93441596284,442579.1860859002,442740.66500449576,441960.43601530464,442181.85244669724,442383.484711908,442565.6408886605,442729.8411354093,441946.0112955969,442166.3271278655,442368.123329939,442551.41017728194,442717.4667524226,441932.6589056069,442151.632467902,442353.18043834966,442537.06910576695,442704.3754608337,441920.28863111755,442137.78436840023,442338.81127249496,442522.93257556495,442691.05345825985,441908.8058669489,442124.7543897634,442325.07869991485,442509.17077015934,442677.78796215175,441898.12076867436,442112.49465131393,442311.9961457936,442495.8711174165,442664.74843779823,441888.1515970429,442100.95027810923,442299.5507091168,442483.0728550051,442652.03289712773,441878.82549129,442090.0656256621,442287.71593169356,442470.7869296699,442639.69518944377,441870.0781343308,442079.7873092794,442276.45896591287,442459.007741204,442627.7615404917,441861.8529842248,442070.06556502,442265.7446225497,442447.7202052441,442616.240807065,441854.10038295476,442060.854735881,442255.53764180094,442436.90405685233,442605.13095390814,441846.77668207686,442052.11330489867,442245.80393605237,442426.5364915755,442594.42320466187,441839.84344288905,442043.8037025073,442236.5112316624,442416.5937866462,442584.1047310163,441833.2667297802,442035.8920114682,442227.62935849454,442407.05228764337,442574.16040698165
2022-02-06,440934.93513759604,441180.83989205305,441405.60964739096,441608.9009709482,441792.06470210396,440918.2099955671,441163.1105178639,441388.56217984244,441593.83221798396,441779.94716799795,440902.7095821612,441146.171041583,441371.6163013402,441578.0040761551,441766.0960335471,440888.36498030147,441130.142075335,441355.1361148389,441562.0565854211,441751.44504857267,440875.0786048392,441115.0403662878,441339.2925081148,441546.33993943944,441736.53865207126,440862.74825710605,441100.83431722573,441324.1543971357,441531.04318910075,441721.69830532704,440851.2769500041,441087.471184562,441309.73615427833,441516.2632676241,441707.1135335521,440840.57648731483,441074.8906641245,441296.02314146573,441502.0434919171,441692.89382058283,440830.5682802253,441063.0316782504,441282.98580819694,441488.3957234754,441679.09919663926,440821.1829749264,441051.8356730975,441270.5876006866,441475.31344343384,441665.7587731957,440812.35961630044,441041.24809507054,441258.78942475945,441462.7796129389,441652.88223281526,440804.0446817754,441031.21891339996,441247.5521469126,441450.7714604037,441640.46708435233,440796.1911349988,441021.70264935616,441236.8379605676,441439.263417559,441628.5033111563,440788.7575609617,441012.6581602046,441226.6110894891,441428.2289202464,441616.9763811304,440781.70740234794,441004.0483123683,441216.83810302516,441417.64150313806,441605.86920933623
2022-02-07,439887.848120708,440149.6572763259,440391.90109952545,440612.99859601364,440813.6103680872,439870.5502124173,440131.0173141774,440373.7576125077,440596.80914308317,440800.4941503692,439854.52481178,440113.21463326615,440355.72870276065,440579.8090513263,440785.5051174216,439839.69949339476,440096.37509972823,440338.20150675025,440562.6862486268,440769.6548097337,439825.9723609542,440080.51536024496,440321.35723137733,440545.8167399326,440753.5327428243,439813.2369256113,440065.6013226874,440305.26848446263,440529.40316783404,440737.4867225186,439801.39224373427,440051.57678183535,440289.9498512372,440513.5491236551,440721.721563996,439790.3465909964,440038.3777022538,440275.3851089303,440498.30059022916,440706.3553664573,439780.0182816317,440025.93934173806,440261.54224287486,440483.66978839895,440691.45268008375,439770.33526226477,440014.1997026874,440248.3818628805,440469.6492402749,440677.04459993815,439761.2342300932,440003.1010695001,440235.86194634414,440456.2202186643,440663.1412185312,439752.65962033917,439992.59054482164,440223.94049158413,440443.35788913624,440649.7394857564,439744.5626170691,439982.62006908,440212.57696330507,440431.0344605507,440636.82824193675,439736.9002505181,439973.146184063,440201.733033265,440419.2211148753,440624.3914749923,439729.63460086536,439964.1296816751,440191.3729087315,440407.88917823497,440612.4104424648
2022-02-08,438842.67703250475,439116.74321844545,439373.3191706601,439609.5546914873,439825.36545618664,438825.0627479679,439097.4678722913,439354.33801813464,439592.4637614534,439811.41852153104,438808.74904576835,439079.0643488342,439335.4826918824,439574.5220530699,439795.48373986233,438793.66122386884,439061.66196870373,439317.1578463309,439556.45606750937,439778.6375316511,438779.69472030306,439045.2770948436,439299.5524307724,439538.66251677333,439761.5069476558,438766.7404458019,439029.8737018127,439282.74171778146,439521.35487336456,439744.4616727816,438754.6950867477,439015.3930039165,439266.74030598433,439504.641965352,439727.7191682086,438743.4648231342,439001.7682239154,439251.53062756464,439488.57180136954,439711.40461118415,438732.96614172583,438988.9319481726,439237.0786680638,439473.15678061737,439695.58621969185,438723.1254049527,438976.8196819603,439223.34276985045,439458.38855410327,439680.2966497824,438713.8779389404,438965.37142599595,439210.27858776494,439444.24694863876,439665.5462522262,438705.1669913906,438954.53221924487,439197.8418568893,439430.7053938816,439651.3314368493,438696.9427156505,438944.25214919355,439185.98989664076,439417.7342444425,439637.6400260045,438689.1612447535,438934.48609913635,439174.68237816443,439405.3028123497,439624.4547170334,438681.7838753233,438925.1933782114,439163.88166136836,439393.38059835316,439611.75533635146
2022-02-09,437743.6133554293,438033.85651531536,438308.41876019724,438563.1632795833,438797.2624804723,437725.38508525316,438013.66808587493,438288.3487378331,438544.95489192265,438782.31331607664,437708.50423353555,437994.39546540886,438268.41492789844,438525.84300736635,438765.23562549765,437692.8932758092,437976.17377900996,438249.04503992613,438506.60180287075,438747.1836866141,437678.44380391826,437959.01982199773,438230.4385570258,438487.65381422895,438728.82974614535,437665.0427497943,437942.89554254623,438212.67472417373,438469.22622386744,438710.56997974945,437652.5830479978,437927.7390879491,438195.76864032884,438451.434678824,438692.6372912549,437640.9674809443,437913.4802750835,438179.7014216492,438434.3300246389,438675.16562026506,437630.1095172938,437900.0482911556,438164.43682969623,438417.9251848981,438658.22783985286,437619.9328627243,437887.3754129435,438149.93058011204,438402.21100340877,438641.85871045326,437610.3705133982,437875.39865330723,438136.135579927,438387.1657546094,438626.06909887725,437601.36367513146,437864.06032535486,438123.0048504539,438372.76092515385,438610.8549481129,437592.8607100529,437853.30804939714,438110.49311384506,438358.96475138754,438596.2030168713,437584.816176709,437843.09448503493,438098.5576009047,438345.74438222405,438582.094590573,437577.189984151,437833.3769409657,438087.1584042347,438333.0671883233,438568.5078962603
2022-02-10,436479.6124461293,436757.94045211805,437026.5600176242,437279.49997168186,437514.65921231953,436462.5948746176,436738.61708895187,437006.9929035734,437261.493924989,437499.70635986805,436446.8565613269,436720.1918374759,436987.577346837,437242.60909081687,437482.63468663354,436432.3206440226,436702.790917481,436968.72916778584,437223.6117897588,437464.60104864097,436418.8821833619,436686.4272598923,436950.6408406345,437204.9191482414,437446.278386373,436406.43261917296,436671.06161057396,436933.3874225629,437186.75445830077,437428.0625098881,436394.8696157012,436656.63233810896,436916.9815278285,437169.23049486097,437410.1854173944,436384.10053307744,436643.0702332648,436901.40284896473,437152.3959491842,437392.77990849625,436374.04310568294,436630.30583589105,436886.61439976783,437136.2621136141,437375.917654286,436364.6249374161,436618.27294229466,436872.5715847012,437120.8185904317,437359.63224416925,436355.78255044407,436606.91013100167,436859.22728345206,437106.0427075385,437343.93345150165,436347.46032340074,436596.16125868965,436846.5346741792,437091.9052309433,437328.8162235171,436339.6094670379,436585.97542970197,436834.4487539616,437078.3738508522,437314.26642618835,436332.18709629134,436576.30670894554,436822.9271021961,437065.4153057773,437300.2645525449,436325.1554158291,436567.1137233654,436811.9302036424,437052.99666212365,437286.7881309065
