Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02,214001.26446542915,214018.6402716368,214033.88130172243,214047.23692605124,214058.91607081075,213999.89071684284,214017.28005599853,214032.63181242035,214046.1745046978,214058.09250516206,213998.61573931674,214015.97964466573,214031.3887251366,214045.0571310205,214057.1496923261,213997.4340638528,214014.74836586963,214030.17882795093,214043.929912019,214056.15081583103,213996.3378680888,214013.5875846031,214029.01478276058,214042.81765652218,214055.1328534213,213995.31893790778,214012.49495176502,214027.90177688684,214041.73386402783,214054.11776306064,213994.3694695433,214011.46648771895,214026.84098561195,214040.68554841148,214053.11859705328,213993.4823627685,214010.49762434536,214025.83143990577,214039.6759326122,214052.14298731112,213992.651288921,214009.58372649152,214024.8710602179,214038.70600317174,214051.19520202477,213991.8706619547,214008.72034594705,214023.95723820536,214037.77543011488,214050.27739450597,213991.13557156426,214007.9033357004,214023.08716624373,214036.88312195725,214049.39037957555,213990.44170559407,214007.12889090288,214022.25802303114,214036.02756520937,214048.5341255864,213989.78527392502,214006.39355184833,214021.46707572768,214035.2070337154,214047.70807103236,213989.1629388713,214005.69418801332,214020.7117331868,214034.41971791504,214046.91133065088,213988.57175370923,214005.02797349,214019.98957043144,214033.66380411875,214046.14283064695
2022-02-03,213735.63416929686,213766.0612216642,213792.71609684508,213816.2529466767,213837.11736047346,213733.28015462132,213763.73444522175,213790.56600585819,213814.40124278318,213835.65768958867,213731.09286317782,213761.5087642545,213788.42762854954,213812.4555591165,213833.9885932405,213729.06345704422,213759.40019471283,213786.34688130367,213810.49450271722,213832.22243157096,213727.1789842387,213757.41117290288,213784.34536822577,213808.5611257603,213830.42477288935,213725.42573784778,213755.53779719875,213782.43185655237,213806.6787065204,213828.63438055088,213723.79064052016,213753.77337790743,213780.6082421778,213804.8592134847,213826.87414956634,213722.26175949752,213752.11021256642,213778.8727619158,213803.10802766075,213825.15734093473,213720.82843500943,213750.54047462536,213777.22176774213,213801.42666167193,213823.4912574316,213719.481240705,213749.05664674606,213775.6507226552,213799.81436479944,213821.87947212261,213718.21187721466,213747.6517162604,213774.15476301548,213798.26908844995,213820.3232107667,213717.01304568458,213746.31924584327,213772.72901402914,213796.78807457373,213818.82222545205,213715.8783224736,213745.05337947595,213771.36876238766,213795.3682168553,213817.37535485748,213714.8020439055,213743.84881609876,213770.0695454329,213794.00628248655,213815.98088747772,213713.77920409312,213742.70076853174,213768.82719140296,213792.6990471796,213814.63679876892
2022-02-04,213451.72474542537,213493.61816746075,213530.31240385026,213562.71892187392,213591.5140086476,213448.5716908232,213490.48258104062,213527.40792608264,213560.20945587827,213589.52591705462,213445.64159119048,213487.4820349555,213524.51851607577,213557.57262368416,213587.25306387554,213442.92280044666,213484.6383097012,213521.70621161736,213554.91490138558,213584.8485491324,213440.3981086081,213481.95488519841,213519.00025194505,213552.29458368375,213582.4016505311,213438.04925192986,213479.42667928227,213516.41255374788,213549.7431780734,213579.96509392795,213435.85877806362,213477.0448261011,213513.94575620914,213547.27687700468,213577.56997761104,213433.81074464833,213474.79906923085,213511.59755338434,213544.9029564291,213575.23427863372,213431.89089792024,213472.67896220277,213509.3630876359,213542.62345868925,213572.96786642345,213430.08662458864,213470.67445589477,213507.23629355838,213540.4373655702,213570.77554078243,213428.38681279414,213468.77616524982,213505.2106573392,213538.3419048566,213568.6589151791,213426.78168524834,213466.975467429,213503.27964319984,213536.33334625792,213566.6176059808,213425.2626332076,213465.26451230654,213501.43692713886,213534.40748973016,213564.64999440295,213423.8220633963,213463.63618899163,213499.67651801297,213532.5599651466,213562.75371996668,213422.45326206562,213462.0840721243,213497.99281255368,213530.7864146227,213560.92600227735
2022-02-05,213152.6273991706,213204.98176264248,213251.08350975128,213291.87157446487,213328.1521008887,213148.80793243975,213201.13391088566,213247.49812052643,213288.76346680382,213325.68296823918,213145.2598354979,213197.45181443318,213243.93091913481,213285.49729911794,213322.8601212442,213141.96884862098,213193.96226602467,213240.45853588879,213282.2049249105,213319.87367579225,213138.9139737871,213190.6695826281,213237.1171304172,213278.95855537197,213316.83448924246,213136.072948652,213187.56755812615,213233.92147958878,213275.7972408801,213313.80803008433,213133.42450925818,213184.64533053045,213230.87490178426,213272.74107045986,213310.8329127953,213130.9492364446,213181.8903219433,213227.97460263345,213269.79909144354,213307.93146124907,213128.6297710596,213179.28971446597,213225.2146293365,213266.973868076,213305.11593416106,213126.450754061,213176.83117308648,213222.58753032968,213264.26417151702,213302.39229700735,213124.39865641636,213174.50317452918,213220.08529365994,213261.66659745402,213299.76256002983,213122.4615754113,213172.29512883315,213217.69987443983,213259.1765517288,213297.22625445435,213120.62903213452,213170.19739304588,213215.42348435541,213256.78885523038,213294.78137822327,213118.89178483342,213168.20123071977,213213.24874198443,213254.49811526088,213292.4250084274,213117.2416631999,213166.2987464163,213211.1687414355,213252.29895162082,213290.1537006396
2022-02-06,212820.66381530065,212880.3830832707,212933.81512549162,212981.58233096357,213024.38608476106,212816.4584043735,212876.042642289,212929.70717925628,212977.9826959118,213021.50332678924,212812.5563431684,212871.89284123798,212925.62267737812,212974.20175858345,213018.20873761264,212808.94105159826,212867.96343205773,212921.64929304985,212970.39233006485,213014.72453905686,212805.58866238262,212864.2587923781,212917.82820850736,212966.63797322405,213011.18022238385,212802.47405079557,212860.77146815998,212914.17607265175,212962.98376617243,213007.6521770102,212799.5733093384,212857.48881070796,212910.69641194752,212959.45279778278,213004.18538433657,212796.86465926378,212854.39629457754,212907.3857721875,212956.0553658118,213000.80578254443,212794.3286686717,212851.47917739025,212904.2371090229,212952.7942690805,212997.52755281673,212791.9481706791,212848.7233081958,212901.2416898351,212949.6679283772,212994.35753271644,212789.70806329363,212846.1154912619,212898.39016684814,212946.67226161007,212991.29795061346,212787.59507493986,212843.6436167231,212895.67317855745,212943.8018251102,212988.3481512067,212785.59753344132,212841.29667042452,212893.08167836553,212941.05051307724,212985.50570016447,212783.70515418952,212839.0646835222,212890.60710390346,212938.4119861963,212982.767098811,212781.9088527013,212836.93865469273,212888.24145306164,212935.87993190967,212980.12824961284
2022-02-07,212463.9060691627,212529.47695665678,212589.20290640445,212643.24811815796,212692.09788957026,212459.44758201975,212524.75480511627,212584.6552300303,212639.2141024101,212688.83798710047,212455.31585409198,212520.24467637518,212580.13703934156,212634.97933260453,212685.11388948341,212451.49227278618,212515.97831182453,212575.74520440435,212630.7152052777,212681.17724186316,212447.95066424776,212511.95982944276,212571.524964613,212626.51527081276,212677.17456842115,212444.6636846583,212508.18053185858,212567.49435683878,212622.42983973073,212673.192197365,212441.60542150654,212504.6261488886,212563.65690235846,212618.48453901603,212669.28086418658,212438.7523343573,212501.28044755443,212560.0084285963,212614.6906564982,212665.4697364425,212436.08346297595,212498.1270301432,212556.5408297085,212611.05108937138,212661.77467729241,212433.58032141603,212495.15020368862,212553.2441719673,212607.56384942465,212658.2032493785,212431.2266705189,212492.33536594076,212550.10787855956,212604.22416691552,212654.7578136652,212429.00825725685,212489.66913874372,212547.12139109912,212601.0257693414,212651.43748367004,212426.91256036566,212487.1393712708,212544.27452899422,212597.96166374558,212648.23937549235,212424.92855838162,212484.73507896118,212541.55767272765,212595.02461498245,212645.15941572867,212423.0465251387,212482.44635375575,212538.9618443074,212592.2074351944,212642.1928670002
2022-02-08,212077.9997964765,212148.1624986434,212213.28738104174,212272.99828740224,212327.48746604018,212073.38670054058,212143.14635257437,212208.36772540826,212268.5767681514,212323.87939789097,212069.1171616393,212138.36066059818,212203.48418819555,212263.93822117068,212319.75946617004,212065.1707951442,212133.83840449838,212198.74132017675,212259.27067822946,212315.40663198376,212061.51957840697,212129.58321008657,212194.18762608847,212254.67654718182,212310.9831815815,212058.13445917392,212125.5851606796,212189.84213541917,212250.21070582067,212306.58459073666,212054.98802087523,212121.82851390284,212185.70819210194,212245.90092835613,212302.26684584364,212052.05542702752,212118.29553551323,212181.7808606018,212241.7592685377,212298.0620201163,212049.31461080594,212114.96839958697,212178.05100196478,212237.78860139984,212293.98745013349,212046.74614427058,212111.83010002784,212174.5075507481,212233.986474544,212290.05129070143,212044.33298613245,212108.86484885437,212171.13879244647,212230.34741689448,212286.25595306215,212042.06019886353,212106.05820752957,212167.93307360247,212226.86433977174,212282.6002715486,212039.9146752321,212103.39708162632,212164.87918496446,212223.52939224156,212279.08088817794,212037.88489029932,212100.8696486918,212161.96655455983,212220.33448259332,212275.6931464697,212035.96068358846,212098.46525693446,212159.1853301211,212217.27159276506,212272.43167197885
2022-02-09,211662.3753550235,211736.39434858807,211806.35734573242,211871.33310755613,211931.19271719988,211657.6503899319,211731.13014907498,211801.1050496845,211866.55291052244,211927.25464608715,211653.2825532376,211726.1129635107,211795.8956210072,211861.5412529698,211922.7599594494,211649.24987356077,211721.37666577025,211790.8404201869,211856.50159194163,211918.01360408292,211645.5227386728,211716.92431315593,211785.9907780317,211851.54449859,211913.19282613634,211642.0706585438,211712.7448237875,211781.36651105862,211846.72901560634,211908.40175016058,211638.86496911687,211708.8210973276,211776.97070972988,211842.08483346066,211903.7012971485,211635.8797710591,211705.1340367779,211772.7976717635,211837.62464438484,211899.1262434973,211633.0920986914,211701.66453240247,211768.83726135845,211833.35123756944,211894.6952698104,211630.4817653652,211698.394405956,211765.07733900854,211829.26167245352,211890.41704165135,211628.0310887151,211695.30681681176,211761.5051206138,211825.34977746048,211886.29397119457,211625.72458809387,211692.38638935811,211758.10792973853,211821.6076639497,211882.32458593548,211623.54869451464,211689.61919859675,211754.87360077433,211818.02664856083,211878.5050409508,211621.49148889395,211686.9926871614,211751.79067962884,211814.59781397943,211874.8300939506,211619.54247291482,211684.49555304355,211748.84850692662,211811.31234574714,211871.29373760754
2022-02-10,211203.50933738754,211280.34335174214,211354.40486918503,211424.14302966357,211489.05182180495,211198.7335942912,211274.88647246844,211348.86236280637,211419.03229569772,211484.79937815567,211194.32511599353,211269.6918073124,211343.37022643053,211413.6778981058,211479.94837703943,211190.2603694502,211264.79358062704,211338.04565839216,211408.2975640484,211474.82867509764,211186.50832220016,211260.19406361866,211332.9422799389,211403.00933320847,211469.6318055897,211183.0372702483,211255.8809597278,211328.08040300218,211397.8759833795,211464.4701009833,211179.81753853222,211251.8358488601,211323.462714363,211392.92885147198,211459.40911809547,211176.82239472764,211248.03835410596,211319.08267867775,211388.18109858807,211454.48612916403,211174.02818914002,211244.4681857708,211314.9291473961,211383.63532302325,211449.7210126227,211171.41417319817,211241.10610518637,211310.9889213716,211379.28803348803,211445.12284075294,211168.96220179056,211237.93433138027,211307.24817932927,211375.13232372454,211440.6939523893,211166.65641186893,211234.93666056157,211303.6932645735,211371.15949010264,211436.43251533795,211164.4829171779,211232.09844059008,211300.3111032978,211367.36001478447,211432.33416053178,211162.42953430093,211229.40647620457,211297.0894098069,211363.7241615788,211428.39303423295,211160.48554376478,211226.848905487,211294.01676854125,211360.24233224307,211424.60247921792
