lineages_l,number_genomes_per_lineage
nan,124
AY.120,3
AY.121,2
AY.126,3
AY.127,2
AY.34,4
AY.36,2
AY.4,61
AY.4.2,11
AY.4.2.1,6
AY.4.2.2,15
AY.4.2.3,6
AY.43,5
AY.46.5,1
AY.5,3
AY.6,4
AY.73,1
AY.9.2,2
AY.98,4
AY.98.1,2
B,5
B.1,2
B.1.1.528,3
B.1.1.529,175
B.1.1.7,5
B.1.258.3,1
B.1.617.2,3
BA.1,37555
BA.1.1,107029
BA.1.1.1,4574
BA.1.1.10,231
BA.1.1.11,144
BA.1.1.12,2141
BA.1.1.13,3634
BA.1.1.14,5200
BA.1.1.15,5952
BA.1.1.16,25
BA.1.1.17,3
BA.1.1.18,275
BA.1.1.2,62
BA.1.1.3,1
BA.1.1.4,878
BA.1.1.5,1
BA.1.1.6,10
BA.1.1.7,72
BA.1.1.9,33
BA.1.10,569
BA.1.12,490
BA.1.13,71
BA.1.13.1,7
BA.1.14,293
BA.1.14.1,63
BA.1.14.2,5
BA.1.15,5415
BA.1.15.1,5935
BA.1.15.2,5
BA.1.15.3,1
BA.1.16,2130
BA.1.17,2074
BA.1.17.2,22767
BA.1.18,2234
BA.1.19,90
BA.1.20,231
BA.1.21,154
BA.1.21.1,16
BA.1.3,1
BA.1.4,5
BA.1.5,231
BA.1.6,7
BA.1.7,98
BA.1.8,164
BA.1.9,8
BA.2,354160
BA.2.1,12051
BA.2.10,15030
BA.2.10.1,1032
BA.2.10.2,11
BA.2.10.3,61
BA.2.10.4,14
BA.2.11,18
BA.2.12,1025
BA.2.12.1,5248
BA.2.12.2,12
BA.2.13,160
BA.2.13.1,13
BA.2.14,69
BA.2.15,77
BA.2.16,484
BA.2.17,7
BA.2.18,4010
BA.2.2,196
BA.2.2.1,37
BA.2.20,10
BA.2.21,15
BA.2.22,1710
BA.2.23,13380
BA.2.23.1,416
BA.2.24,27
BA.2.25,37
BA.2.26,60
BA.2.27,12
BA.2.28,3
BA.2.29,13
BA.2.3,18309
BA.2.3.1,1
BA.2.3.10,3
BA.2.3.11,2
BA.2.3.12,7
BA.2.3.13,13
BA.2.3.14,5
BA.2.3.15,119
BA.2.3.16,12
BA.2.3.17,1
BA.2.3.2,71
BA.2.3.20,84
BA.2.3.4,8
BA.2.3.5,90
BA.2.3.6,14
BA.2.3.7,1
BA.2.3.9,80
BA.2.30,5
BA.2.31,136
BA.2.31.1,12
BA.2.32,117
BA.2.33,7
BA.2.34,55
BA.2.35,27
BA.2.36,1556
BA.2.37,4634
BA.2.38,613
BA.2.38.1,6
BA.2.38.2,1
BA.2.39,652
BA.2.4,28
BA.2.40.1,123
BA.2.41,1083
BA.2.42,14
BA.2.43,9
BA.2.44,44
BA.2.45,16
BA.2.46,169
BA.2.47,267
BA.2.48,299
BA.2.49,267
BA.2.5,8517
BA.2.50,706
BA.2.51,81
BA.2.52,172
BA.2.53,56
BA.2.54,38
BA.2.55,152
BA.2.56,579
BA.2.57,7
BA.2.58,15
BA.2.6,186
BA.2.60,2
BA.2.61,4
BA.2.62,13
BA.2.63,26
BA.2.64,45
BA.2.65,179
BA.2.66,1
BA.2.67,11
BA.2.68,12
BA.2.69,2
BA.2.7,121
BA.2.70,11
BA.2.71,43
BA.2.72,18
BA.2.73,10
BA.2.74,29
BA.2.75,118
BA.2.75.1,146
BA.2.75.10,2
BA.2.75.2,475
BA.2.75.3,18
BA.2.75.4,31
BA.2.75.5,198
BA.2.75.6,18
BA.2.75.7,15
BA.2.76,158
BA.2.77,11
BA.2.78,25
BA.2.79,18
BA.2.8,6905
BA.2.81,5
BA.2.82,4
BA.2.86,13
BA.2.86.1,352
BA.2.86.2,53
BA.2.86.3,16
BA.2.86.4,9
BA.2.9,28544
BA.2.9.1,341
BA.2.9.2,88
BA.2.9.3,235
BA.2.9.4,8
BA.2.9.5,29
BA.2.9.6,22
BA.2.9.7,17
BA.3,13
BA.3.1,23
BA.4,8803
BA.4.1,5236
BA.4.1.1,339
BA.4.1.10,23
BA.4.1.11,5
BA.4.1.3,9
BA.4.1.4,36
BA.4.1.5,18
BA.4.1.6,35
BA.4.1.8,301
BA.4.1.9,21
BA.4.2,99
BA.4.3,6
BA.4.4,636
BA.4.5,40
BA.4.6,3408
BA.4.6.1,690
BA.4.6.2,2
BA.4.6.3,176
BA.4.6.4,11
BA.4.6.5,301
BA.4.7,425
BA.4.8,3
BA.5,2959
BA.5.1,23219
BA.5.1.1,242
BA.5.1.10,860
BA.5.1.11,4
BA.5.1.12,381
BA.5.1.15,64
BA.5.1.16,2
BA.5.1.17,63
BA.5.1.18,35
