,lineage,relative_advantage
0,Spike. AY.103,Done
1,Spike. AY.106,Done
2,Spike. AY.112,Done
3,Spike. AY.120.2.1,Done
4,Spike. AY.121.1,Done
5,Spike. AY.22,Done
6,Spike. AY.24,Done
7,Spike. AY.33,Done
8,Spike. AY.33.2,Done
9,Spike. AY.4.2.1,Done
10,Spike. AY.4.2,Done
11,Spike. AY.41,Done
12,Spike. AY.50,Done
13,Spike. AY.51,Done
14,Spike. AY.53,Done
15,Spike. AY.68,Done
16,Spike. AY.70,Done
17,Spike. AY.82,Done
18,Spike. AY.92,Done
19,Spike. AY.98.1,Done
20,Spike. AZ.2,Done
21,Spike. B.1.1,Done
22,Spike. B.1.1.318,Done
23,Spike. B.1.1.529,Done
24,Spike. B.1.1.7,Done
25,Spike. B.1.258,Done
26,Spike. B.1.619.1,Done
27,Spike. B.1.621,Done
28,Spike. BA.1.1.15,Done
29,Spike. BA.1.1,Done
30,Spike. BA.1.14,Done
31,Spike. BA.1,Done
32,Spike. BA.2.10,Done
33,Spike. BA.2.12.1,Done
34,Spike. BA.2.18,Done
35,Spike. BA.2.3.15,Done
36,Spike. BA.2.3.20,Done
37,Spike. BA.2.36,Done
38,Spike. BA.2.52,Done
39,Spike. BA.2.54,Done
40,Spike. BA.2.56,Done
41,Spike. BA.2.75.5,Done
42,Spike. BA.2,Done
43,Spike. BA.4.1,Done
44,Spike. BA.4.6,Done
45,Spike. BA.4,Done
46,Spike. BA.5.1.12,Done
47,Spike. BA.5.1.28,Done
48,Spike. BA.5.1.3,Done
49,Spike. BA.5.2.18,Done
50,Spike. BA.5.2.25,Done
51,Spike. BA.5.2.7,Done
52,Spike. BA.5.5,Done
53,Spike. BA.5.9,Done
54,Spike. BA.5,Done
55,Spike. BE.1.1.1,Done
56,Spike. BE.10,Done
57,Spike. BF.1,Done
58,Spike. BF.14,Done
59,Spike. BF.6,Done
60,Spike. BF.7.1,Done
61,Spike. BF.7.3,Done
62,Spike. BM.4.1.1,Done
63,Spike. BN.1.2,Done
64,Spike. BN.1.3,Done
65,Spike. BN.1.4.1,Done
66,Spike. BN.1.4.3,Done
67,Spike. BN.1,Done
68,Spike. BN.3.1,Done
69,Spike. BQ.1.1.1,Done
70,Spike. BQ.1.1.13,Done
71,Spike. BQ.1.1.2,Done
72,Spike. BQ.1.1.31,Done
73,Spike. BQ.1.1.32,Done
74,Spike. BQ.1.1.37,Done
75,Spike. BQ.1.1.45,Done
76,Spike. BQ.1.1.46,Done
77,Spike. BQ.1.1.47,Done
78,Spike. BQ.1.1.53,Done
79,Spike. BQ.1.1.59,Done
80,Spike. BQ.1.1,Done
81,Spike. BQ.1.13.1,Done
82,Spike. BQ.1.23,Done
83,Spike. BQ.1.25,Done
84,Spike. BR.1,Done
85,Spike. BR.2.1,Done
86,Spike. BU.3,Done
87,Spike. C.36.3,Done
88,Spike. CH.1.1.1,Done
89,Spike. CH.1.1.10,Done
90,Spike. CH.1.1.12,Done
91,Spike. CH.1.1.15,Done
92,Spike. CH.1.1.16,Done
93,Spike. CH.1.1.22,Done
94,Spike. CH.1.1.24,Done
95,Spike. CH.1.1,Done
96,Spike. CJ.1.2,Done
97,Spike. CJ.1,Done
98,Spike. CK.1,Done
99,Spike. CK.2.1,Done
100,Spike. CK.2.1.1,Done
101,Spike. CL.1,Done
102,Spike. CL.1.1,Done
103,Spike. CM.8.1,Done
104,Spike. CP.1.1,Done
105,Spike. CQ.2,Done
106,Spike. CR.1,Done
107,Spike. DM.1,Done
108,Spike. DN.1,Done
109,Spike. DQ.1,Done
110,Spike. DT.2,Done
111,Spike. DU.1,Done
112,Spike. DV.1.1,Done
113,Spike. EC.1.1,Done
114,Spike. EE.4,Done
115,Spike. EG.1.2,Done
116,Spike. EG.1.3,Done
117,Spike. EG.1.4,Done
118,Spike. EG.1,Done
119,Spike. EG.2,Done
120,Spike. EG.3,Done
121,Spike. EG.4,Done
122,Spike. EG.5.1,Done
123,Spike. EK.3,Done
124,Spike. EL.1,Done
125,Spike. EM.1,Done
126,Spike. ET.1,Done
127,Spike. EU.1,Done
128,Spike. EU.1.1,Done
129,Spike. EU.1.1.1,Done
130,Spike. EW.1,Done
131,Spike. EY.1,Done
132,Spike. FD.2,Done
133,Spike. FD.4,Done
134,Spike. FE.1.2,Done
135,Spike. FE.1,Done
136,Spike. FH.1,Done
137,Spike. FL.1,Done
138,Spike. FL.12,Done
139,Spike. FL.7,Done
140,Spike. FL.9,Done
141,Spike. FS.1,Done
142,Spike. FU.1,Done
143,Spike. FW.1,Done
144,Spike. FY.1,Done
145,Spike. FY.4,Done
146,Spike. GA.2,Done
147,Spike. GB.1,Done
148,Spike. P.1,Done
149,Spike. P.1.17.1,Done
150,Spike. XAS,Done
151,Spike. XAY.1.1.1,Done
152,Spike. XAY.1.1.2,Done
153,Spike. XAY.2,Done
154,Spike. XBB,Done
155,Spike. XBB.1,Done
156,Spike. XBB.1.1,Done
157,Spike. XBB.1.13,Done
158,Spike. XBB.1.14,Done
159,Spike. XBB.1.16,Done
160,Spike. XBB.1.16.1,Done
161,Spike. XBB.1.16.2,Done
162,Spike. XBB.1.16.4,Done
163,Spike. XBB.1.17.1,Done
164,Spike. XBB.1.19.1,Done
165,Spike. XBB.1.21,Done
166,Spike. XBB.1.22.1,Done
167,Spike. XBB.1.22.2,Done
168,Spike. XBB.1.28.1,Done
169,Spike. XBB.1.37.1,Done
170,Spike. XBB.1.38,Done
171,Spike. XBB.1.5.1,Done
172,Spike. XBB.1.5.12,Done
173,Spike. XBB.1.5.14,Done
174,Spike. XBB.1.5.19,Done
