,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,3397.8012000804856,2843.8099609719106,2438.3024906298224,2133.21596097015,1897.7951605450025,3446.2699610453406,2883.42135563287,2469.0803991034136,2155.9922314058617,1913.5507665330335,3491.890712805198,2921.8571942347417,2500.1112106758146,2180.2092033763856,1931.7372608219368,3534.721913202318,2958.767587356586,2530.7140526098365,2204.9170530145243,1951.181862944687,3574.927555200716,2994.0325123198627,2560.536736140292,2229.574857635781,1971.187844430127,3612.707288172084,3027.6472803734,2589.4058902055303,2253.8718105306257,1991.3311854295139,3648.2649016437786,3059.6645554810257,2617.2480852111776,2277.6313805001932,2011.350475559685,3681.794456376749,3090.1640334441495,2644.04652042766,2300.75751265746,2031.084376105495,3713.474762856522,3119.2362824398883,2669.816446949839,2323.203283249913,2050.43467404308,3743.467841986656,3146.974094278918,2694.590874081558,2344.9520775871256,2069.3437329793746,3771.9192526139595,3173.467925227438,2718.4121126263735,2366.0060096495195,2087.78035255618,3798.959240315238,3198.803603577761,2741.3267232371154,2386.3786588346,2105.730697989188,3824.7041876018384,3223.0613049059302,2763.3824954474453,2406.090447437833,2123.192371562488,3849.258110245231,3246.3152350552336,2784.6266587554355,2425.1656689316874,2140.170477546071,3872.714079595118,3268.6337018254967,2805.1048506628513,2443.6305671818727,2156.6749779692673
1,2021-07-02,8411.622656699985,7266.134389326498,6377.178177391649,5678.587936213257,5121.301741550506,8505.42585271043,7348.450778539733,6444.598409800707,5730.515737407478,5158.3560472734935,8593.278720341927,7427.979126757826,6512.332774899818,5785.576924094386,5201.0414278552225,8675.375815364883,7504.033511643025,6578.898514832983,5841.594293141756,5246.578225342524,8752.10458298097,7576.408676812072,6643.544629428849,5897.337976725932,5293.320684096421,8823.909442741144,7645.136240594897,6705.915629371591,5952.110087073006,5340.27281922052,8891.23207674979,7710.362241243063,6765.874986045362,6005.521942215357,5386.825650554811,8954.486327826287,7772.283796642071,6823.4085774057885,6057.3691258268655,5432.607793155957,9014.049177741512,7831.115855264134,6878.570214021641,6107.55884677495,5477.3971954010285,9070.259196950563,7887.073783958568,6931.450198634191,6156.066461254453,5521.067324457367,9123.418350231246,7940.364492882125,6982.156908827492,6202.908839449409,5563.553480915085,9173.795161046302,7991.182230998368,7030.805938525646,6248.1277542610505,5604.8312480275,9221.628266980855,8039.706948377402,7077.513718733179,6291.7793835054745,5644.902454049779,9267.129909606718,8086.104057054656,7122.39383455678,6333.927620318537,5683.785894399939,9310.489158430319,8130.524932305591,7165.554982566703,6374.639797436622,5721.511129665662
2,2021-07-03,14093.450237496205,12457.483358216192,11131.415931742098,10052.99459308361,9168.994337868098,14220.32302340423,12574.731527764827,11231.446367213703,10132.574184071762,9227.274375584451,14338.792963891283,12687.67756542858,11331.684546739698,10216.778399190458,9294.303740129419,14449.193664060806,12795.387762693692,11429.942483290184,10302.258460224268,9365.68441401822,14552.108715217573,12897.614881960613,11525.13018455875,10387.13508658253,9438.819897036832,14648.187795751439,12994.445470939781,11616.748050954464,10470.352658986476,9512.14616937168,14738.067335327636,13086.123751613408,11704.620891024384,10551.332739706751,9584.713511087702,14822.338256068755,13172.961270618323,11788.752936827994,10629.779924490671,9655.948551174028,14901.53531693942,13255.29001312973,11869.246422797896,10705.569172962229,9725.513727167025,14976.136310224296,13333.43825820907,11946.254877733918,10778.678557055813,9793.22167748394,15046.565544689323,13407.718600733677,12019.955981210853,10849.148215145944,9858.981742948336,15113.19894904459,13478.422563538596,12090.535728946026,10917.054870818145,9922.765818748429,15176.369527749874,13545.818782682109,12158.179265425877,10982.495823707432,9984.586176884763,15236.372588503744,13610.153102050821,12223.065704408926,11045.57882295711,10044.480862176071,15293.47050104853,13671.649648214625,12285.365356349414,11106.415655848117,10102.503973571607
3,2021-07-04,20358.336232788733,18295.173522867193,16568.786295419315,15127.893083254605,13921.4025039988,20511.45391915807,18442.073872148096,16697.999709964286,15233.294558004658,14000.203291654883,20654.169705693974,18583.314582420644,16827.251561088517,15344.651730038886,14090.725372932546,20786.93890693769,18717.76274542987,16953.727728359234,15457.518623938842,14186.9963614741,20910.5101058807,18845.146509294373,17076.043099038652,15569.41250893305,14285.498172070638,21025.70330304078,18965.608842658923,17193.578042630445,15678.949445311808,14384.119360018074,21133.315320859936,19079.48561286652,17306.13125601687,15785.38047562313,14481.584657133853,21234.082185560117,19187.192376057672,17413.73099799136,15888.331925580947,14577.130213995573,21328.66744950857,19289.166093599724,17516.52944008782,15987.654914027808,14670.311831960938,21417.662200853545,19385.8354719,17614.74233009139,16083.335718322987,14760.888246149036,21501.590050126873,19477.606535356714,17708.614133380845,16175.441221445382,14848.748283767014,21580.91390543912,19564.856393467267,17798.39785685996,16264.085166773686,14933.864455069717,21656.043038553875,19647.93140844025,17884.343496409725,16349.407052173388,15016.26288392448,21727.33976991438,19727.147681387705,17966.69161812211,16431.55885552282,15096.00356468959,21795.125506114706,19802.79270168235,18045.67001984496,16510.696692112793,15173.167270327433
4,2021-07-05,26847.672831023025,24446.82365770414,22384.428886254424,20625.064765137035,19124.835349827616,27018.885860839033,24616.23639655642,22537.322426596354,20752.48515706707,19221.82431861275,27178.267911334744,24778.89279642921,22690.05135891399,20886.941879835173,19333.130454896032,27326.36938639469,24933.518768148315,22839.297900928577,21023.050648605968,19451.377309181782,27464.06180500928,25079.833766945816,22983.444762871008,21157.816878802245,19572.227913005405,27592.289904654797,25218.032505921194,23121.78281933706,21289.581801839522,19693.08728910892,27711.966830530753,25348.528002833526,23254.09708638347,21417.457003793836,19812.39518255813,27823.933136800446,25471.82106691053,23380.442042038532,21541.008015220184,19929.223279547874,27928.944674982085,25588.43351870993,23501.016218380133,21660.071184931938,20043.037421876947,28027.67338219961,25698.874519867244,23616.090837204672,21774.644801019964,20153.55298638906,28120.713474988246,25803.62445252069,23725.968774479137,21884.822980683424,20260.644733766218,28208.58950898726,25903.128188310693,23830.96096026698,21990.754897387993,20364.289461986555,28291.764656779502,25997.793362304583,23931.37298788766,22092.619374917926,20464.528924933056,28370.648476033326,26087.991254487097,24027.49777788203,22190.608984414725,20561.445545818366,28445.603888933034,26174.058954790897,24119.611857496548,22284.920111833373,20655.146361331954
5,2021-07-06,33632.637157310666,30938.210644584007,28576.029082406334,26525.69288015343,24751.291327124665,33818.405346634216,31126.422555982692,28749.34133887781,26672.63987496112,24864.807128913948,33991.205048817756,31306.96123753076,28922.300284719244,26827.562763889502,24994.981816975076,34151.66050570963,31478.435342242425,29091.15529816458,26984.24464452094,25133.15953511564,34300.73990862949,31640.55753685367,29254.090836936542,27139.238361030802,25274.25863050227,34439.48654589081,31793.566062873604,29410.322552338068,27290.643531341346,25415.245804124712,34568.905715797904,31937.938562864034,29559.625413152637,27437.45037050973,25554.303683834914,34689.92094065078,32074.247150051167,29702.07800114675,27579.1727128044,25690.35665311676,34803.36144461357,32203.084559145154,29837.920068219268,27715.63582322713,25822.790979628717,34909.96351725456,32325.027147078137,29967.471688984348,27846.850412348766,25951.284699428626,35010.377637502264,32440.617372449058,30091.086931637103,27972.936276563774,26075.70167223734,35105.17753439389,32550.356658643428,30209.127337499514,28094.0753108641,26196.024273512423,35194.86941449794,32654.703763497906,30321.946973679034,28210.48231436739,26312.30994147245,35279.900581694776,32754.075995710882,30429.884330487843,28322.386782601887,26424.662773508833,35360.667159020246,32848.85181369732,30533.25829180185,28430.021589900196,26533.214793805935
6,2021-07-07,40615.40193991162,37675.18623289866,35051.85623325554,32740.773643648372,30715.08032170184,40811.94829546191,37878.43917198789,35242.28176316104,32904.64286156625,30843.299668645664,40994.66761428708,38073.26850068611,35432.17751507713,33077.284281998116,30990.246517486117,41164.241787839965,38258.19135434732,35617.431352690175,33251.75868984379,31146.123562083027,41321.71315699702,38432.917314038044,35796.06361850923,33424.22775295108,31305.186001701088,41468.200115244785,38597.72157641089,35967.22911666565,33592.583499770735,31464.011376390496,41604.77793853718,38753.13532684232,36130.696474115735,33755.712994549045,31620.55506553881,41732.4329977612,38899.78927635553,36286.56632953678,33913.08727152548,31773.612179707536,41852.049992598484,39038.334186724984,36435.114588733864,34064.523839268615,31922.50001187607,41964.413792646395,39169.40124510395,36576.7036399622,34210.04582492902,32066.86511641258,42070.21729257458,39293.58345952153,36711.73161271599,34349.79672420899,32206.563254954996,42170.07124826003,39411.42822925436,36840.6034378712,34483.9880391329,32341.58320412309,42264.514234572955,39523.435818215745,36963.71462321323,34612.866818774906,32471.99763171159,42354.02191739822,39630.06086178937,37081.44253307437,34736.695474986496,32597.931038385792,42439.01534241269,39731.715331241656,37194.14212102073,34855.73928493113,32719.538656942677
7,2021-07-08,47806.96917712779,44657.27960216752,41803.32055833295,39256.28625606745,36998.794305759286,48011.72964055,44872.81444566488,42008.30367327976,39434.976329020064,37140.188365342656,48202.00332734039,45079.3055221093,42212.59725053656,39623.12542373863,37302.15399278453,48378.517057910525,45275.19625551635,42411.782306327834,39813.16129424441,37473.86909857402,48542.37054222332,45460.19474708363,42603.740667446014,40000.90364445186,37648.994322105515,48694.74012636486,45634.60731351013,42787.57654620527,40184.063775812756,37823.75905220797,48836.75500087385,45799.009676124006,42963.05427674202,40361.43962737415,37995.91603666351,48969.44990833712,45954.081081512544,43130.29424192284,40532.46594091822,38164.145713235775,49093.75221119186,46100.52024617681,43289.60395058376,40696.95453009843,38327.70475125411,49210.48411405347,46239.00360326573,43441.38250718903,40854.940374572536,38486.21261881006,49320.37109030808,46370.16582901194,43586.06613077784,41006.58857995875,38639.51885001476,49424.05232064004,46494.5921882197,43724.097172255555,41152.13731505807,38787.61887898821,49522.09121655813,46612.8171043915,43855.906818189214,41291.86250464804,38930.5998343228,49614.98519678809,46725.325913694134,43981.905858109254,41426.05592681676,39068.605211933915,49703.17441389692,46832.558136064115,44102.48022642026,41555.01169458909,39201.81166101026
8,2021-07-09,55111.89484243086,51787.23768472817,48733.193631348215,45976.427937229826,43509.012493840295,55322.690214044276,52012.50352969408,48950.230375091596,46167.772439954766,43661.925146532536,55518.516985085036,52228.233817846274,49166.441437888745,46369.156175079166,43837.01509901555,55700.13432049263,52432.81360974776,49377.15409599637,46572.46621743117,44022.56294871834,55868.68354042369,52625.949874681886,49580.135965099136,46773.230724660156,44211.709313911786,56025.3831453007,52807.97362379396,49774.44986291797,46969.007370599385,44400.379620858854,56171.4016083799,52979.49589836949,49959.85702484969,47158.518742405504,44586.15017851055,56307.80895767433,53141.23442991832,50136.49457959389,47341.169313559476,44767.60199530155,56435.5637048748,53293.925956119834,50304.696540944475,47516.76668890305,44943.939570745904,56555.515334320335,53438.28278211808,50464.892696846466,47685.35654328882,45114.75947699889,56668.413139055294,53574.97261882082,50617.55103886482,47847.12293015149,45279.90651773502,56774.917093995995,53704.61075062172,50763.14509530605,48002.32721105545,45439.38258320718,56875.60878907526,53827.75868244068,50902.13575435973,48151.270324901045,45593.288002676585,56971.00157156516,53944.92608977958,51034.96161303244,48294.269426523075,45741.78336444967,57061.54959087512,54056.57433301942,51162.03436604491,48431.643504658925,45885.06446110582
9,2021-07-10,62571.94706249831,59095.530277150545,55861.99281769927,52913.53641612688,50251.63486919263,62787.61486232895,59328.99025637005,56089.47558064545,53116.07549365157,50414.904305377124,62987.92884902767,59552.50344384458,56316.0162833284,53329.16682265336,50601.793210839365,63173.67343045151,59764.4051864513,56536.722125460205,53544.21916902274,50799.77506304879,63346.02281902017,59964.40097418636,56749.261504868104,53756.50279545734,51001.522881246085,63506.228998860504,60152.84216742178,56952.66112538372,53963.43949570326,51202.6889089359,63655.49173260555,60330.36918807105,57146.67932016426,54163.68522264174,51400.69100129822,63794.9092077095,60497.73188785125,57331.46754446522,54356.617695630266,51594.02097633797,63925.46483097542,60655.69879604465,57507.38262718363,54542.0408154113,51781.8366326771,64048.02991533679,60805.01224950621,57674.88082068925,54720.0097342982,51963.714147677696,64163.37283308494,60946.367641190605,57834.457548974606,54890.72528107452,52139.494243562585,64272.17022972219,61080.405429716106,57986.61327733972,55054.469345698046,52309.18476640065,64375.01828007091,61207.709844486,58131.83456879714,55211.56500491625,52472.898045404065,64472.44312015547,61328.810995530075,58270.58406738774,55362.35187079211,52630.8101496282,64564.91014437822,61444.18858843512,58403.29575191186,55507.170944932885,52783.1341801878
