,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,5627.884433345338,5077.764272715314,4607.804175356982,4211.273440867076,3877.3429274393884,5671.488068308936,5120.453431230643,4645.67556144768,4242.24857644623,3900.4962923925223,5711.909404506327,5161.3563000851655,4683.478271345413,4274.933273128212,3927.075136709029,5749.319720494989,5200.160219045529,4720.389786736598,4308.017278948673,3955.319683019231,5783.967944972656,5236.804140478956,4756.0104770760045,4340.7713647088995,3984.1942858090238,5816.1171490670185,5271.346536351748,4790.1664946248875,4372.791277661364,4013.078426902342,5846.018275633743,5303.900058553596,4822.806750300375,4403.860311258595,4041.5983205669963,5873.900325680068,5334.598471441686,4853.946998812583,4433.872364562449,4069.5310054671686,5899.967891954034,5363.579828001313,4883.638632127762,4462.787383294095,4096.747702645933,5924.401898715018,5390.97806585353,4911.950927846908,4490.604847400359,4123.17934452475,5947.361625912525,5416.919051550505,4938.9608494977965,4517.347659763257,4148.79506920108,5968.987123463363,5441.518993544423,4964.747188377589,4543.052200837125,4173.588526546372,5989.401608988869,5464.884108750619,4989.387247041453,4567.762125520211,4197.569012961122,6008.713677065087,5487.110934839736,5012.955029602258,4591.5244761006115,4220.755657086924,6027.019260675935,5508.286953920942,5035.520331088708,4614.387251486577,4243.173569890187
1,2021-07-02,12461.067279742678,11554.366524473273,10737.259363526273,10015.335926168818,9382.981051733475,12529.238283023045,11625.191139232922,10803.39677808631,10071.860626126901,9426.850803178788,12592.212773664889,11692.79859705715,10869.179364215972,10131.31962625394,9477.085092380516,12650.307490919791,11756.708763664292,10933.186039950695,10191.312211268372,9530.320763651556,12703.951770272477,11816.85876878092,10994.744694281546,10250.516461235273,9584.588333272837,12753.588811054009,11873.379888928244,11053.579813795797,10308.211819826232,9638.717146741901,12799.635962910088,11926.488161868236,11109.628951327366,10364.022855300322,9692.01033648777,12842.470772693332,11976.429716784512,11162.943660255694,10417.776069335709,9744.05954810553,12882.428321435305,12023.453458314381,11213.63461756433,10469.417249252863,9794.635597288827,12919.80334020382,12067.797803060339,11261.840715012255,10518.962528756285,9843.622057328223,12954.854124470095,12109.684753266165,11307.711531855,10566.468835037065,9890.973954490837,12987.80688749107,12149.317815617062,11351.39744870115,10612.015791549711,9936.691577447727,13018.859954083933,12186.881908993342,11393.044197153793,10655.694544351178,9980.80361216936,13048.187556882795,12222.544260361883,11432.79001144479,10697.60085094415,10023.356153692413,13075.943166813691,12256.455746099828,11470.764311739913,10737.830832305966,10064.405488915316
2,2021-07-03,19463.206499327738,18334.918797183942,17289.72558302084,16341.097569072246,15489.228989189052,19545.28041226393,18422.625206093187,17374.004022337736,16415.09567410187,15548.090024368665,19621.02922333474,18506.215980584344,17457.677312158616,16492.796358675114,15615.386458638748,19690.85236339129,18585.119201839236,17538.94674269757,16571.051098257354,15686.583053541297,19755.280910983747,18659.278764415318,17616.974414073662,16648.137484029812,15759.032586107727,19814.859259520832,18728.876142747144,17691.42880457489,16723.126339497074,15831.169727643202,19870.09800507953,18794.194592592525,17762.248592028616,16795.542127636305,15902.06985568873,19921.45777537435,18855.551701174085,17829.515580216004,16865.173427022928,15971.197489832422,19969.346526758214,18913.265988160005,17893.384612163714,16931.963784274587,16038.257918504589,20014.12247720086,18967.64092070266,17954.04431943959,16995.94728264567,16103.107209961907,20056.099108907718,19018.95796714522,18011.69503338216,17057.2097894578,16165.696365790722,20095.55062593018,19067.47434959553,18066.53645746698,17115.865345310776,16226.036011353646,20132.717164489717,19113.423198688546,18118.76097833718,17172.04167965375,16284.173740809909,20167.809483854613,19157.014879134862,18168.550264064754,17225.871326078588,16340.17942217865,20201.013066204534,19198.438823070996,18216.073782139545,17277.48622206129,16394.135598144992
3,2021-07-04,26865.157184403284,25558.673787492487,24326.452316471936,23189.121076608182,22151.655385290676,26957.67216557386,25659.572593477358,24425.202384627402,23277.312677765083,22222.91954790002,27042.993340851823,25755.650470856912,24523.145208694117,23369.823920062816,22304.32279694689,27121.58480794566,25846.26342146733,24618.18103439922,23462.898903728095,22390.35841519561,27194.056578187123,25931.360472053566,24709.339964562085,23554.4906350434,22477.81844346139,27261.031351593116,26011.162310337793,24796.24604175873,23643.50142598495,22564.811912843194,27323.09179591057,26086.004800132465,24878.83904996054,23729.3753791232,22650.227047525474,27380.762709586863,26156.261510870365,24957.225096289687,23811.87113558417,22733.424567947084,27434.508309694105,26222.305540964146,25031.594395793123,23890.9311706409,22814.056877754276,27484.735806662673,26284.491389348343,25102.175372454607,23966.60477585686,22891.958500024375,27531.801252978392,26343.147200613686,25169.208937365605,24039.00184389213,22967.07817446851,27576.015856873095,26398.57237990968,25232.93421820504,24108.2647936744,23039.436001160364,27617.65197987952,26451.037935652945,25293.580885899453,24174.55141171579,23109.096004369443,27656.948520157144,26500.788137589418,25351.365314237548,24238.024378206657,23176.148384760367,27694.11560776645,26548.042732729748,25406.488968044505,24298.84494284065,23240.6979646907
4,2021-07-05,34137.506239553535,32714.566815819944,31356.770188559953,30087.980573150344,28916.484971733207,34236.10405898263,32823.38784289959,31464.675265257105,30185.614946800422,28996.372404792335,34327.04161641103,32926.97107315382,31571.633136930628,30287.960433074695,29087.565356553347,34410.81410869264,33024.62967491717,31675.35544158536,30390.856828705215,29183.878092030274,34488.07167396231,33116.315779911456,31774.79096558807,30492.042857769142,29281.71241642518,34559.477643937214,33202.27338134146,31869.537710263256,30590.31110712441,29378.95230125479,34625.65251162207,33282.86953928746,31959.5379458074,30685.05473441442,29474.35799381034,34687.15501809622,33358.51096740309,32044.914625412515,30776.014839461408,29567.22045940344,34744.47932011067,33429.60303514844,32125.881519684335,30863.13530536862,29657.15772918137,34798.058833280265,33496.5303818782,32202.693152541568,30946.477376447907,29743.991584723877,34848.27248349146,33559.64869416739,32275.61682441448,31026.168487016548,29827.67121171833,34895.451444503495,33619.28224798313,32344.917152256337,31102.371242491237,29908.22507971429,34939.88553302124,33675.72436921848,32410.84780737234,31175.264512965052,29985.730187943267,34981.82894587298,33729.239293249106,32473.64742554835,31245.031933477592,30060.29221230262,35021.505262077684,33780.06461048345,32533.537935777025,31311.85499417631,30132.032612901763
5,2021-07-06,41626.13840623786,40092.657642818405,38618.088925038464,37229.49702502035,35937.44316713482,41730.4469492067,40208.819858405564,38734.25358153402,37335.48415654528,36024.875148258114,41826.651237481135,40319.37534140865,38849.36740288711,37446.546579848415,36124.64374056382,41915.27518430046,40423.593810234575,38960.969815625285,37558.16718460332,36229.97153695772,41997.0065883273,40521.42684987018,39067.933275697054,37667.894080367885,36336.9195006469,42072.54719214395,40613.13719081124,39169.82922255345,37774.420949691244,36443.174237427644,42142.55341413909,40699.1185114246,39266.599342686786,37877.09380102082,36547.38303569518,42207.61634487988,40779.806445545815,39358.37931924748,37975.63616256876,36648.774610427216,42268.25875294261,40855.63488214944,39445.40208000735,38069.991262279225,36746.93564075224,42324.939151487015,40927.01533182702,39527.94394807747,38160.22921994901,36841.67551673124,42378.05841170598,40994.32820084149,39606.29458798861,38246.49150115499,36932.94265314763,42427.96689028015,41057.920209424876,39680.74042747302,38328.95728399127,37020.7717845232,42474.97119431416,41118.10491675247,39751.555822073125,38407.82298820054,37105.2503135711,42519.340250248824,41175.16473221318,39818.99870329697,38483.28984688388,37186.496613689545,42561.310595125644,41229.35354651215,39883.30882231179,38555.556457558414,37264.64595923076
6,2021-07-07,49317.82893591903,47682.55497084753,46099.575243578875,44600.100422384654,43197.00762005469,49427.15371959995,47805.3613088771,46223.23401507981,44713.633889790115,43291.22565949019,49527.97185380734,47922.22706090577,46345.75493852003,44832.57998441706,43398.71407399579,49620.83434985685,48032.381933208024,46464.52024623253,44952.0992918141,43512.16458415262,49706.46381118612,48135.77653154367,46578.33196890534,45069.56702692741,43627.33177407127,49785.59722360021,48232.690236114926,46686.73631649794,45183.58650601867,43741.72430923646,49858.923840943135,48323.540642625056,46789.67345513438,45293.4600588631,43853.88716431554,49927.06424431941,48408.78948291788,46887.2897897504,45398.89430893404,43962.99224195802,49990.567233499285,48488.89644878784,46979.83495602807,45499.830966471214,44068.597193581045,50049.91411714607,48564.297406952704,47067.60451745235,45596.34736354879,44170.49948098117,50105.525668939925,48635.395201473504,47150.90800502833,45688.596953515575,44268.64611228665,50157.769618562896,48702.5569485139,47230.05130402969,45776.7733059492,44363.0768213887,50206.967759192674,48766.11461167379,47305.32728070362,45861.08820968444,44453.88781000853,50253.40232241846,48826.36714513176,47377.011177826476,45941.75839255694,44541.20838646498,50297.321535563104,48883.58328897097,47445.35876905906,46018.997573273096,44625.1858304503
7,2021-07-08,57277.79488716479,55558.81636950017,53878.40736438647,52275.46341797488,50767.03324551946,57390.46944576843,55687.118544197445,54008.77257912454,52395.977967859406,50867.61925090909,57494.31072053107,55809.16446164826,54137.89990481448,52522.207462700244,50982.348998248664,57589.899151090496,55924.15570129366,54263.03162219932,52649.01333472729,51103.41510656794,57677.99020278442,56032.04731116863,54382.90857362681,52773.61084375425,51226.28415035168,57759.35227213573,56133.137318216,54497.05660460827,52894.52021341169,51348.29760316542,57834.702889088294,56227.86738328153,54605.41675847784,53011.00412050252,51467.90440776902,57904.687415510074,56316.72448652942,54708.14713607997,53122.75440226579,51584.223257110345,57969.8761049618,56400.19275054522,54805.514225000494,53229.71223165342,51696.78474302898,58030.76874825201,56478.7307745269,54897.832489949964,53331.96244889511,51805.375359188365,58087.80202489984,56552.762121057705,54985.430713561465,53429.67037998181,51909.941042968305,58141.357369105135,56622.67257716798,55068.633474113674,53523.043627667445,52010.526478456864,58191.768410157885,56688.81083097983,55147.75131165678,53612.30885273905,52107.23638319143,58239.32763363063,56751.490774401325,55223.07591854988,53697.69770719098,52200.210579540595,58284.29218083282,56810.994476481035,55294.87823356376,53779.438427958776,52289.60785575157
8,2021-07-09,65297.75962984445,63524.65922783735,61773.60964199318,60090.258004222764,58496.09494493315,65411.83847860628,63656.19948027623,61908.54868860203,60215.956669049665,58601.677931305974,65516.93003891588,63781.276974634355,62042.16047484252,60347.577207821254,58722.07788413259,65613.63132385454,63899.08029214829,62171.5935289037,60479.75816793623,58849.09309703081,65702.71495483074,64009.57052684173,62295.54954637146,60609.59704727507,58977.96356712353,65784.96511383621,64113.05967137112,62413.543207156385,60735.55414677295,59105.900173837224,65861.11318575234,64210.00604167513,62525.51869428708,60856.864715314376,59231.27769455013,65931.81644235579,64300.91350652168,62631.64432852389,60973.21160178877,59353.17450257751,65997.6552851357,64386.28219930537,62732.200013282534,61084.53742395308,59471.101438828686,66059.13812761224,64466.58540280549,62827.514724888635,61190.93424614039,59584.83781808201,66116.70897958378,64542.2599120778,62917.93172878963,61292.57765529471,59694.33005967021,66170.75552101304,64613.70332787656,63003.789474877136,61389.686924935035,59799.62792803109,66221.61672028029,64681.27483560349,63085.41148518366,61482.500832593454,59900.84388891099,66269.5896443006,64745.29763627997,63163.10143636014,61571.26302923193,59998.126955803375,66314.93538140778,64806.06205208794,63237.14124004603,61656.21331297729,60091.645772730306
9,2021-07-10,73338.36055067314,71527.60059148271,69723.82990486955,67977.74106278471,66314.45887809829,73453.07270893131,71661.11416539748,69861.89431055328,68107.23153598057,66423.87127065158,73558.73025298264,71788.03838082663,69998.5661165657,68242.78943874773,66548.61122890131,73655.93759482844,71907.55436503098,70130.93037370221,68378.89022547266,66680.17379374639,73745.47494513102,72019.62725419101,70257.66274544713,68512.5457648147,66813.6252099131,73828.13342643785,72124.57780459026,70378.27097070386,68642.1732543238,66946.07667063667,73904.65048663167,72222.87464957908,70492.70197881125,68766.98864817127,67075.84674821945,73975.68858914557,72315.03205331034,70601.13157394541,68886.66894452838,67201.98362916693,74041.83254466543,72401.55996291949,70703.84923157448,69001.15846377934,67323.98372656525,74103.59450290393,72482.94063308868,70801.1941661231,69110.55511289698,67441.6215158639,74161.42164244292,72559.6189236714,70893.51979243389,69215.04245822373,67554.84438347226,74215.70433791092,72631.99962028555,70981.1742358243,69314.84870722136,67663.70651521224,74266.78385741971,72700.44828096412,71064.49004053202,69410.22183053219,67768.32677467375,74314.95923857919,72765.29374911055,71143.77918750283,69501.41452864275,67868.8616159626,74360.49326572964,72826.83134229493,71219.33117278974,69588.67528041502,67965.48757643167
