,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,2581.542582672174,2124.4506726489244,1800.4904849706716,1562.08521413429,1381.026557754049,2622.403675171958,2156.5563895937116,1824.7879942204902,1579.7336425009441,1393.067908743283,2660.999483794054,2187.7907775658146,1849.3322211527436,1598.524401876693,1406.9804534438563,2697.356643594855,2217.8618142567852,1873.5845625099732,1617.723803234551,1421.8713484348416,2731.5933829410037,2246.6627630448047,1897.263506873918,1636.9124184613665,1437.2093822566364,2763.861051701049,2274.1807299482216,1920.2278464355168,1655.8478329961085,1452.6704557130204,2794.3173495471733,2300.450188425834,1942.4151489803821,1674.3911002802065,1468.0540171700898,2823.1142429430547,2325.5285391685497,1963.8079094123602,1692.4654456605392,1483.2356234038318,2850.3929013983184,2349.4829830959393,1984.4142915472007,1710.0321851885744,1498.1389154074127,2876.282032307874,2372.3834176557666,2004.2568874597007,1727.0762452339056,1512.7185084452528,2900.897846306123,2394.298629427419,2023.3660355813508,1743.59723619874,1526.9492544947598,2924.3447702239428,2415.294325920271,2041.7758044384302,1759.603839935439,1540.8193471615318,2946.716462290898,2435.432204972523,2059.52157078956,1775.110226496289,1554.3258084922104,2968.096906269652,2454.7696104392376,2076.638568726782,1790.133741388346,1567.4714878737266,2988.5614756259347,2473.3595155811327,2093.1610380346465,1804.6934032301178,1580.26304084406
1,2021-07-02,6589.573186417202,5580.91945761011,4828.2754381798595,4253.268016923103,3804.130448018501,6674.107345243015,5651.765736137785,4884.440467691108,4295.499357281248,3833.7188466042626,6753.588726159751,5720.423902776158,4941.001438118029,4340.3585756535995,3867.8469738431786,6828.137353009287,5786.279453577976,4996.71875260128,4386.081402026308,3904.3061470750786,6898.054321055064,5849.129472480939,5050.955758695008,4431.666078949733,3941.785944407696,6963.699993640493,5908.976374808575,5103.403059336064,4476.539602371928,3979.490563074297,7025.439456268767,5965.923768067467,5153.933547916091,4520.378778581491,4016.930911580934,7083.618795725375,6020.12218956808,5202.5229252446825,4563.009814730527,4053.8064719549493,7138.555886771583,6071.740328673194,5249.204692580487,4604.349866021426,4089.935510808862,7190.538050607665,6120.949729917641,5294.044047759664,4644.3719800635845,4125.2125033508055,7239.822899143133,6167.916812041082,5337.122495227195,4683.0835646152045,4159.581453674077,7286.640552583888,6212.798924830144,5378.528694543161,4720.512910914745,4193.018798950558,7331.196335387318,6255.742651556329,5418.353020778464,4756.70063924234,4225.52225051431,7373.673515672017,6296.88335562184,5456.684370643993,4791.69421726274,4257.103399396953,7414.235886895753,6336.345402972742,5493.608343566128,4825.544431372843,4287.782757491199
2,2021-07-03,11350.628044075693,9822.992578916885,8636.861322267749,7703.016111345009,6956.442414510978,11471.732898840239,9929.63211169273,8724.599916379106,7770.898490382233,7005.080974468939,11585.258888896775,10032.697109160405,8812.754382168898,7842.873298530413,7061.105593691821,11691.441698656332,10131.296894504258,8899.396249636313,7916.0948714446085,7120.866618545925,11790.767344828748,10225.162516457845,8983.548780217816,7988.9563216853385,7182.203789266437,11883.797242630562,10314.331613680532,9064.74954222519,8060.546263748643,7243.810281711017,11971.09112290912,10398.99011036063,9142.820777315057,8130.357452313454,7304.887499315712,12053.174442975722,10479.3903132505,9217.743840584993,8198.123400034166,7364.948786573478,12130.526507644694,10555.80789914257,9289.58837718807,8263.723406752762,7423.703485007254,12203.57824162105,10628.519371658476,9358.471454527613,8327.125730981381,7480.986251477455,12272.714319544475,10697.790554398425,9424.533627830013,8388.352789072725,7536.712824381804,12338.277079903924,10763.87112395826,9487.924832032348,8447.459457574416,7590.851732101358,12400.570972192083,10826.99246408498,9548.796095275637,8504.519366636554,7643.405870568594,12459.866944340341,10887.367330970003,9607.294755937728,8559.61616978855,7694.400332062493,12516.406507816082,10945.190478922405,9663.561810625097,8612.83796708526,7743.874272686119
3,2021-07-04,16666.38243734541,14665.272927468684,13061.528666359478,11767.492420649836,10712.702645365627,16817.493459614518,14803.671769488523,13178.897662046089,11860.486100994047,10780.613581237572,16958.86015157276,14937.169367387389,13296.619106608536,11958.945824668674,10858.751871327682,17090.83195818889,15064.64334747835,13412.122470430926,12058.963554344116,10942.001014299747,17214.06243232076,15185.779829375962,13524.120082120133,12158.342275478388,11027.338424225109,17329.290757964405,15300.660127113502,13632.015120454416,12255.844398534718,11112.941453265434,17437.246599111764,15409.553935884735,13735.591248199566,12350.788603882893,11197.701508785383,17538.61071066299,15512.81290661819,13834.843283640606,12442.823906241536,11280.947643153224,17634.001298744555,15610.815173183842,13929.881982630053,12531.798487484923,11362.283303456345,17723.972238662765,15703.93659510606,14020.879316858438,12617.681355025194,11441.486876553976,17809.0165406863,15792.536332982761,14108.03659536577,12700.51448541248,11518.449518647543,17889.571876248272,15876.950216803314,14191.565805487602,12780.383080718033,11593.135454097928,17966.02663404857,15957.488361829965,14271.67875901174,12857.39685340487,11665.556175721467,18038.72579385917,16034.435071830723,14348.580915725259,12931.678165150752,11735.753442307265,18107.97631360461,16108.049931575944,14422.468036928303,13003.354498083036,11803.787952677138
4,2021-07-05,22357.597402237687,19941.07839583112,17951.85761153341,16312.591995970835,14953.650822162881,22532.138125015223,20106.359414803246,18095.71961191001,16428.96553591583,15040.075019579062,22695.181914479086,20265.548702443375,18239.81631364957,16552.036811695347,15139.424503380207,22847.179571471086,20417.337320651477,18381.006675855857,16676.90596249222,15245.166388269374,22988.925962206227,20561.38305789448,18517.731357326033,16800.82854539449,15353.447787754789,23121.307579022676,20697.812966910948,18649.28039842826,16922.267419501957,15461.951672665755,23245.193563943692,20826.97519432477,18775.409729188257,17040.3841297396,15569.274376968673,23361.39132715229,20949.31181422732,18896.132326042913,17154.7540219165,15674.571338784039,23470.63181583554,21065.292937951766,19011.601069782133,17265.201030552937,15777.347903418784,23573.56831371417,21175.38285519438,19122.041647758073,17371.699159258802,15877.331952437084,23670.781135992576,21280.023292280606,19227.71363564317,17474.312424010375,15974.39436128597,23762.784560631266,21379.62592923835,19328.887850132945,17573.157625941698,16068.498273923236,23850.034254767772,21474.569927818902,19425.833281529565,17668.38100550541,16159.66619659485,23932.934398022135,21565.202130389906,19518.80974727732,17760.143508788442,16247.958358874836,24011.84417124809,21651.838624775166,19608.063991741456,17848.61148612724,16333.458337176624
5,2021-07-06,28436.259532814474,25649.243187178246,23301.021165571747,21329.950278951856,19671.445616570945,28629.558737003474,25837.676844756672,23468.806181277487,21468.17838470065,19775.644626370675,28809.919923066696,26018.952046213242,23636.679840229688,21614.222818484144,19895.336193344374,28977.88244673648,26191.605020976018,23800.988377157348,21762.25486412249,20022.62228196344,29134.360574719798,26355.275088898783,23959.931358587823,21909.019890209027,20152.85152070358,29280.363850054677,26510.13405628129,24112.70129814156,22052.70374168368,20283.233156886497,29416.877197851696,26656.602246302115,24259.03352360701,22192.324583361904,20412.082304785385,29544.812724460302,26795.203480246888,24398.96141036209,22327.392421380406,20538.390293220415,29664.994274264005,26926.490295133022,24532.679374380583,22457.711832574372,20661.57098584049,29778.156829823147,27051.00578817297,24660.464610724863,22583.264485198328,20781.30640791819,29884.952299415043,27169.264972830293,24782.63186323867,22704.13765100343,20897.450424214945,29985.95765896116,27281.74664498713,24899.50723109463,22820.479991576944,21009.96738535651,30081.683542886785,27388.890904832344,25011.413157810875,22932.47390937026,21118.892386880747,30172.582420591803,27491.099667882598,25118.660079030662,23040.318160664614,21224.305184408735,30259.05600867506,27588.738683696763,25221.542066929596,23144.216929972223,21326.31290278879
6,2021-07-07,34677.403941535624,31583.636308026253,28921.893418746422,26650.12626381143,24712.45543983845,34883.894013254525,31790.1992702612,29109.642463860284,26807.409199869107,24832.66575027515,35076.40369001476,31988.730575837373,29297.320036959783,26973.451515483666,24970.65809999203,35255.540818583286,32177.650846003562,29480.846991847462,27141.613007968197,25117.299529328026,35422.30877249357,32356.590574362937,29658.225885196236,27308.195805092982,25267.218163378286,35577.807743657846,32525.76165743389,29828.57239553519,27471.147246678505,25417.19752866048,35723.10733038783,32685.645241612696,29991.608993349877,27629.363991265975,25565.301561270535,35859.19581961841,32836.83274851435,30147.389967963656,27782.30258398494,25710.376388086126,35986.96439012386,32979.944213782546,30296.14778301439,27929.754005793908,25851.75620855237,36107.20705449366,33115.58686452684,30438.205514546982,28071.709569556962,25989.084399406704,36220.627309105425,33244.3350777032,30573.92639990409,28208.27944150301,26122.20197834556,36327.847200551994,33366.7218165864,30703.684741032535,28339.642347096607,26251.07663452118,36429.41679193546,33483.23621482106,30827.84932696304,28466.014197079767,26375.7568207473,36525.82312369955,33594.324386936394,30946.77429276922,28587.628419693217,26496.341670874786,36617.49830918851,33700.391847228115,31060.79442818169,28704.723652286204,26612.961099314
7,2021-07-08,41109.585553655765,37745.94162864598,34799.76673765288,32248.955439914993,30047.412465401096,41326.58438559173,37967.70888365006,35004.87669597393,32423.277106265883,30182.264856600195,41528.78755841944,38180.71573857233,35209.77012599576,32607.191226761337,30336.98301331101,41716.85440808996,38383.28561437447,35409.99865608619,32793.33169971105,30501.30255540704,41891.85670298717,38575.041260688056,35603.39440760142,32977.60504788085,30669.1923676939,42054.964741581636,38756.227830312164,35789.007111555125,33157.74649144919,30837.04727078824,42207.31388781914,38927.37712544108,35966.548828065075,33332.54529164727,31002.702575191775,42349.95177327596,39089.13693482447,36136.09268402171,33501.411395123214,31164.87287124913,42483.82215033809,39242.18360951629,36297.90476450838,33664.12471981525,31322.820771931507,42609.765208760786,39387.1779011306,36452.348476741856,33820.6861640258,31476.155510581346,42728.52486679089,39524.74374627493,36599.829574804935,33971.22719443741,31624.70745355113,42840.758537824324,39655.45933975766,36740.764553399764,34115.95412477082,31768.448323806693,42947.04726565491,39779.85476756144,36875.56272129753,34255.11342462464,31907.43965363723,43047.90528789294,39898.41306529818,37004.61638551612,34388.970026646995,32041.799052837407,43143.78865844015,40011.57296971675,37128.29587712005,34517.79379528055,32171.67793153385
8,2021-07-09,47678.31288470222,44085.47689701654,40885.82856137285,38079.106089652385,35630.55926321364,47902.94073333074,44319.499877040005,41105.7141029021,38268.44310062138,35778.64425406783,48112.17197557646,44544.16328787808,41325.24731042081,38468.0950487711,35948.468702713995,48306.70504394208,44757.713707845825,41539.66628700694,38670.05556185092,36128.74363255047,48487.66283773917,44959.76922018255,41746.6593710934,38869.88312005031,36312.841694715695,48656.26777524026,45150.60323731294,41945.22157301167,39065.12710874976,36496.80688089076,48813.703961523526,45330.78966345467,42135.057445297185,39254.48341033592,36678.26879832063,48961.06291696867,45501.02280519258,42316.257370675055,39437.32216838418,36855.82426372643,49099.32721136584,45662.02531783133,42489.11712155101,39613.41472913101,37028.67233213187,49229.37108259359,45814.501858194606,42654.035354855274,39782.7714987145,37196.39247467414,49351.96821802977,45959.11694558697,42811.45479923709,39945.54365087791,37358.806444538,49467.802049530816,46096.48576290669,42961.82852923732,40101.96262750299,37515.890526014635,49577.47639026009,46227.17184689719,43105.600907044034,40252.302534250055,37667.71888791492,49681.525448200795,46351.688361506414,43243.197207486686,40396.85667519301,37814.426557928906,49780.42284119884,46470.501129999815,43375.01841648676,40535.92295608043,37956.18500485866
9,2021-07-10,54422.40982798923,50628.3351638156,47197.18209807994,44151.420010235284,41468.427957324166,54653.19912233879,50872.772191859134,47430.07606736236,44354.311183471415,41628.687908558546,54868.11510130225,51107.34356685269,47662.49720826362,44568.16602295551,41812.4071027832,55067.88597225667,51330.230092653816,47889.407672991685,44784.400075504076,42007.35298437187,55253.67443120806,51541.04541444179,48108.369325303196,44998.257870650385,42206.34947740563,55426.74378388732,51740.08653831786,48318.32911447818,45207.121407420185,42405.118034724794,55588.31654249131,51927.96278912147,48518.98508889558,45409.602679257056,42601.09944266845,55739.51891661992,52105.407707934086,48710.44291524528,45605.03629148655,42792.78267099421,55881.364228716266,52273.1830569127,48893.024580715,45793.18621065825,42979.30881688499,56014.75374262343,52432.03060637422,49067.159841473476,45974.07174211617,43160.23046126179,56140.48481395592,52582.64920303654,49233.32403303305,46147.86212370979,43335.361883312624,56259.261590679904,52725.685332988476,49392.002480045085,46314.811715964126,43504.68396701754,56371.70603865342,52861.73085487831,49543.67044326145,46475.2197721277,43668.28286291711,56478.36830595021,52991.32445120214,49688.78225355238,46629.40537717922,43826.30993473833,56579.73604506116,53114.954895039875,49827.76591133713,46777.69189351377,43978.955376165206
