,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1120.921070237912,897.4275335140779,746.5891381861132,639.2288905508844,559.6256983169669,1141.5580504651214,912.7040249815414,757.6997374009211,647.075622372219,564.8697318470707,1161.1555810974858,927.624729355754,768.9556672630845,655.4476598175489,570.9374287768007,1179.710508391872,942.0449862066853,780.110047414407,664.0203984238855,577.4422496945346,1197.2676887179366,955.9074748119692,791.0318934508437,672.6072336882455,584.1537171543778,1213.8908574924758,969.1997077486383,801.6537539692155,681.0993899867731,590.9306959939056,1229.6490082669836,981.9323048953883,811.9440861206216,689.4336976876327,597.685376372082,1244.610033011348,994.1274763377712,821.8920186729664,697.5744933817318,604.3628452606082,1258.8378824339502,1005.8127677553022,831.4986495271537,705.5030524829607,610.9290202925064,1272.391465687831,1017.0176231190347,840.7719398467325,713.2112222114864,617.3632793322142,1285.324410524858,1027.7715003162139,849.7236583291748,720.6974858041013,623.6538302674072,1297.6852386306705,1038.1028614037962,858.367528253434,727.964478894599,629.7947331072776,1309.5177271740883,1048.0386623420588,866.7180969999952,735.0173966553609,635.7839467035928,1320.8613384798668,1057.604129662322,874.790047875888,741.8629598725895,641.622026450831,1331.7516577932217,1066.8227012745976,882.5977867261597,748.5087385102714,647.3112443908068
1,2021-07-02,3024.380102047769,2472.7519448042012,2086.308123398883,1804.126523015439,1591.0096584960672,3072.35968716841,2510.0984424122175,2114.408426543711,1824.458755035982,1604.8447700995778,3117.75297669367,2546.470181003544,2142.8143336004296,1846.1173830595235,1620.834825492689,3160.5801853206503,2581.5241113806915,2170.9028101154904,1868.2582211932595,1637.955347314528,3200.970073224168,2615.1320616214584,2198.3470783636176,1890.3981109634342,1655.5965585865515,3239.0916352254358,2647.275040635879,2224.9821865115327,1912.2572899024228,1673.3861575316187,3275.1226485886045,2677.9894530237625,2250.7341710750416,1933.674939016989,1691.093511344512,3309.23534354267,2707.338763375199,2275.581068168203,1954.5617619930777,1708.5752794054542,3341.590286517941,2735.398237533149,2299.5307139009547,1974.8723274455008,1725.7432932380677,3372.3342614765356,2762.246654435166,2322.607773067436,1994.5884322080963,1742.5449450264803,3401.6000856594005,2787.961838836962,2344.8460173580775,2013.7088405825568,1758.9508783446083,3429.5073253417304,2812.618330506933,2366.283675128094,2032.2428282620035,1774.947081816084,3456.1633871945846,2836.2862622586385,2386.960619864279,2050.2060568595034,1790.5297121043188,3481.6647201945907,2859.0309237672814,2406.916679640412,2067.6179081553214,1805.7016497754914,3506.097997353917,2880.912710891505,2426.1906394028856,2084.499749872254,1820.4701783680491
2,2021-07-03,5501.666625947531,4579.395341139441,3911.724359633044,3412.845772229383,3029.6769770918722,5577.468501887826,4641.083201824941,3959.5862435924137,3448.255368154857,3054.1777853014696,5648.974727345944,4701.01898776595,4007.8793791463595,3485.9225166512233,3082.4665681189413,5716.252909333925,4758.651367605253,4055.545054387099,3524.372629303575,3112.7218560942338,5779.537795895576,4813.785544278253,4102.033619377999,3562.7650726935744,3143.861244194379,5839.122768181465,4866.406272918595,4147.072606242173,3600.6160159788387,3175.2256364100103,5895.310533418562,4916.588150330982,4190.54467520554,3637.6498943103306,3206.408341230179,5948.391140014984,4964.448608315059,4232.420567064217,3673.7160353539984,3237.1580172655163,5998.632979115979,5010.122787947342,4272.721033237795,3708.740079819096,3267.321342821471,6046.280027124308,5053.750033120517,4311.494673246968,3742.6948044793166,3296.8080270665996,6091.552048833597,5095.466721789688,4348.804804372375,3775.5821644595385,3325.5688675937304,6134.646131900223,5135.402618547487,4384.721603206745,3807.4220242166452,3353.581673828359,6175.738736868851,5173.679203109472,4419.317393523109,3838.244980510777,3380.8420645638826,6214.987857730097,5210.409107192558,4452.663845037368,3868.087743987622,3407.3573580489956,6252.535098990506,5245.69616453958,4484.830347716534,3896.99015023904,3433.1424646555724
3,2021-07-04,8401.06875062204,7102.277154844635,6133.771280669351,5394.727835835245,4818.193967678126,8502.161528087987,7187.939071402053,6202.138154061536,5446.36544330755,4854.488993020656,8597.30242004034,7271.004047450446,6271.011877560736,5501.2283457003405,4896.358241766905,8686.620815739778,7350.725032070798,6338.883701774493,5557.1608200121655,4941.094056901962,8770.46394067083,7426.85170562162,6404.977421745382,5612.938287642012,4987.089795882124,8849.25163818307,7499.38196683078,6468.914564973712,5667.859749181575,5033.369534779231,8923.411116858957,7568.436391893516,6530.538336902012,5721.529299711256,5079.333242966077,8993.348399546956,7634.19276457387,6589.817079687587,5773.73353976828,5124.612003416172,9059.437083220653,7696.851309275432,6646.789592279032,5824.370211278032,5168.982492354816,9122.01532597827,7756.6161736659,6701.533403446128,5873.405396314354,5212.314808621746,9181.386669504405,7813.685736336601,6754.146055445649,5920.847223977614,5254.539782040503,9237.822532663868,7868.2477904183925,6804.733965036229,5966.729410664509,5295.628024944466,9291.565304191789,7920.477443057407,6853.405794290113,6011.100808951247,5335.576257632173,9342.831510726237,7970.536522928202,6900.268551059443,6054.018707778663,5374.39824600563,9391.814815809574,8018.573809708279,6945.425361664304,6095.5445171466945,5412.1187232729
4,2021-07-05,11640.269908168297,9975.028262184931,8699.438323924844,7707.119012694164,6921.778146267224,11763.316922972552,10083.201519660497,8788.046450700149,7775.344743546947,6970.443358851952,11878.904571019144,10187.92423996827,8877.1910970634,7847.755052549472,7026.538539810084,11987.229074730227,10288.27314287498,8964.92119288432,7921.495843300175,7086.422234326378,12088.746580362298,10383.953733724264,9050.240975083421,7994.950931550361,7147.936606852821,12183.996002755028,10474.983630268787,9132.672061456158,8067.199612851226,7209.773811665774,12273.520162730958,10561.533056978888,9212.023388467327,8137.725824692544,7271.132343620183,12357.831831928548,10643.842001047453,9288.265252195888,8206.255020948272,7331.521716155127,12437.400823788952,10722.176466454961,9361.458123949038,8272.659289654803,7390.647091153171,12512.650993859637,10796.80536123339,9431.711467422529,8336.900519185156,7448.338927786698,12583.961791134778,10867.988548713307,9499.15953633007,8398.995544578978,7504.508931179836,12651.671736883642,10935.971037166062,9563.947042114098,8458.9943764835,7559.121854340699,12716.082543267503,11000.980566421904,9626.220681674686,8516.966415445433,7612.177116371801,12777.463251298832,11063.227063927221,9686.124201307797,8572.99164459523,7663.69664113602,12836.054105601195,11122.903106063945,9743.795618856617,8627.15498151371,7713.716717228444
5,2021-07-06,15143.195696411696,13134.15655510717,11556.246080440682,10306.438291985221,9303.854476807845,15284.380203235238,13262.596932916958,11664.052601887792,10390.966364840624,9364.995463828456,15416.807440141087,13386.76951034396,11772.38543544304,10480.595152360613,9435.42169837739,15540.738943786691,13505.598626846007,11878.875766528212,10571.782422057428,9510.546025694277,15656.729440677598,13618.7565805868,11982.323188473816,10662.527990172342,9587.65353249458,15765.423271521318,13726.284792084569,12082.158682677918,10751.697343759944,9665.102030073425,15867.46447288406,13828.403469978115,12178.162734453246,10838.65893325579,9741.888075864323,15963.458589714717,13925.413103655072,12270.311217688395,10923.080808267405,9817.400228060145,16053.958603075514,14017.642700584518,12358.688469271612,11004.812421902032,9891.273310225148,16139.462123161169,14105.422630639203,12443.437129804455,11083.813914606364,9963.299578815251,16220.41368999803,14189.070741451427,12524.728765593032,11160.112814415284,10033.373137811222,16297.20918328223,14268.885739943045,12602.746548929534,11233.777043622442,10101.45439202838,16370.200880926946,14345.144572141568,12677.675082005384,11304.897868610225,10167.546903882832,16439.702471132085,14418.101985882658,12749.694520044482,11373.579040849932,10231.682105700247,16505.993707963436,14487.9912531207,12818.97730949952,11439.92986051627,10293.909086450883
6,2021-07-07,18845.864081422784,16523.73739965621,14656.275594707713,13151.711423046034,11929.187449430894,19001.331221631426,16669.781518049036,14781.719597169336,13251.782157256644,12002.54311702695,19146.98147343666,16810.809399032034,14907.648380815734,13357.803771128383,12086.985749840973,19283.135208976684,16945.61813380262,15031.310958494481,13465.57646745805,12176.998774625343,19410.431047512684,17073.85647062596,15151.32203052174,13572.734782866184,12269.320845239954,19529.60146543711,17195.591357360565,15267.032838966139,13677.942268894507,12361.98285076523,19641.374320129275,17311.090639676342,15378.201175879554,13780.459593598453,12453.784817552923,19746.43150615259,17420.710938772256,15484.811191504763,13879.902463795266,12543.998408185482,19845.394128406457,17524.83898417937,15586.971938255207,13976.101028869058,12632.191220804358,19938.819982023128,17623.861025388636,15684.858961847527,14069.0158513753,12718.119731244315,20027.206551978834,17718.14734455564,15778.680194564246,14158.68652804645,12801.662346415998,20110.996242221547,17808.045007005072,15868.655927895343,14245.199717225601,12882.776630414292,20190.582242145687,17893.875122322766,15955.007110044013,14328.668989044509,12961.471488014138,20266.314280135004,17975.932550644266,16037.948641476589,14409.22202854109,13037.788816175284,20338.50393580235,18054.486893814632,16117.685701515693,14486.992490995286,13111.791267283157
7,2021-07-08,22707.210634308696,20105.317474723528,17965.1229777057,16212.654803378082,14771.205399772249,22873.537748399467,20266.298999516766,18106.44821372639,16327.26394724688,14856.297512311055,23029.219921576816,20421.60155070722,18248.195733443845,16448.600013871554,14954.195129432266,23174.626823004794,20569.918024833118,18387.271777596565,16571.846958181435,15058.485674889127,23310.46468833031,20710.881068339346,18522.127069942027,16694.298382061676,15165.381940108799,23437.536112739675,20844.58282618327,18652.043864327945,16814.430576440638,15272.601099497202,23556.635168369423,20971.334626844015,18776.762247270006,16931.405346923395,15378.755393425921,23668.50377473132,21091.54330606534,18896.276305886753,17044.791435805113,15483.005506757188,23773.81640073584,21205.64672787043,19010.71953771031,17154.402831240604,15584.85587400645,23873.177847631792,21314.08034368317,19120.2990143039,17260.202222648877,15684.029998333484,23967.126847940748,21417.260404332646,19225.25703942866,17362.242044220493,15780.392530661175,24056.14197091592,21515.576227957783,19325.848714369953,17460.62784622881,15873.899524941022,24140.64814506708,21609.38740537709,19422.328892761343,17555.495257490897,15964.56612248191,24221.02300809934,21699.023665774177,19514.944760706625,17646.995391944376,16052.445263497228,24297.602743928353,21784.786126875857,19603.931819315803,17735.285590935622,16137.61351227774
8,2021-07-09,26699.535119538654,23851.4396307584,21457.31444831274,19466.277769642278,17809.374269712407,26873.884016054984,24024.878580326167,21612.74140958688,19594.31082152728,17905.600603182927,27036.966861150668,24192.067677325194,21768.516468817837,19729.772073510045,18016.252279814373,27189.191829257117,24351.615499963948,21921.242570990617,19867.275588531305,18134.064249397878,27331.316824904563,24503.14388449843,22069.226758439905,20003.800807065727,18254.749773184085,27464.197611963762,24646.768358620826,22211.692161648913,20137.652448822588,18375.728781372996,27588.678254278515,24782.83855327112,22348.36520515888,20267.902622223137,18495.436267325415,27705.545855543915,24911.80489449159,22479.25066701019,20394.078315180355,18612.92877180686,27815.514963508922,25034.149312117734,22604.50539087403,20515.9801154419,18727.652013624032,27919.225617463693,25150.349462518723,22724.365856999313,20633.57406206515,18839.299397638948,28017.247421786014,25260.860896899034,22839.106098566514,20746.92567764058,18947.72363551903,28110.085975814534,25366.108962977614,22949.013153617652,20856.159042574523,19052.880366536454,28198.189900117908,25466.48599461114,23054.372852348486,20961.431101555365,19154.791567006705,28281.957641733185,25562.35133584569,23155.46178487543,21062.915424830768,19253.521474252022,28361.743710287545,25654.03282800091,23252.542998609075,21160.791937084345,19349.160578861927
9,2021-07-10,30817.45608299927,27753.503230496524,25123.366798020346,22903.29840526568,21035.073686170694,30997.820748561415,27937.36354004478,25291.3184124942,23043.707829348117,21141.83365714666,31166.458943236223,28114.48918681195,25459.540988606117,23192.181384245712,21264.543518352744,31323.806901801356,28283.41936729926,25624.368812380388,23342.807143692156,21395.12991395508,31470.660536116215,28443.76801106084,25783.98253233724,23492.27539236724,21528.833063502945,31607.914842356295,28595.6712128396,25937.554099156805,23638.733634573542,21662.791999770794,31736.450832688362,28739.511495722945,26084.79907486707,23781.172414612603,21795.27473756128,31857.089041605992,28875.776453212064,26225.732876506227,23919.08136521001,21925.240170438432,31970.5736939578,29004.985451168825,26360.534080292833,24052.249791418748,22052.079393062068,32077.57093857505,29127.651916926832,26489.466141183482,24180.647791725165,22175.458236374176,32178.67326709567,29244.264653785547,26612.83199907362,24304.35381720731,22295.218959335452,32274.40632805448,29355.279452915594,26730.9476698102,24423.509786880823,22411.31757793925,32365.23632347329,29461.11628358552,26844.12701150706,24538.292953535958,22523.783226176136,32451.577149426554,29562.159460915303,26952.673163125997,24648.898158306172,22632.691444552034,32533.796926439252,29658.759340198656,27056.87400142407,24755.526635743652,22738.1464431343
