,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1115.0494925973599,892.2573522614715,742.0247297389764,635.160579294777,555.9600531559656,1135.6335260675253,907.4784408864856,753.0870706714134,642.9692244960975,561.1766481192443,1155.182626802689,922.3460891996989,764.2947007465268,651.3009433577186,567.2127573033507,1173.6933616783444,936.7160616637974,775.4018024713062,659.8327368196501,573.6839061046481,1191.2102135263976,950.5311302882415,786.2779205849934,668.3789044982155,580.3608391909323,1207.796532341493,963.7787404416266,796.8558453363929,676.8311811244049,587.1031603626392,1223.5209479222983,976.469370690764,807.1041172836779,685.1266787170931,593.8235108981927,1238.4510222535391,988.6250596187078,817.0118609332588,693.2298794198665,600.4672521761179,1252.6504123418147,1000.2731738149995,826.5801219572801,701.122121969381,607.0004651635297,1266.1777683527978,1011.4429820961833,835.816784167548,708.7952668517726,613.4026200682198,1279.0864905486214,1022.1637767290832,844.7335270858707,716.2477802724129,619.661971187723,1291.4249010161013,1032.4638660654339,853.3439807500017,723.4822627899065,625.7725950615447,1303.2366016567494,1042.370064950096,861.6625997574329,730.5038642261156,631.7324476144277,1314.5609006482193,1051.9074711750582,869.7039776542823,737.3192546413959,637.5420688035664,1325.4332473382772,1061.099405571422,877.4824348955246,743.9359510564656,643.2037073026072
1,2021-07-02,3016.8565538681305,2464.9425173269537,2078.724290608581,1796.9340757813297,1584.2415061165061,3064.8942012397483,2502.286328650055,2106.796531929774,1817.2319548500539,1598.0459150987572,3110.3471753926046,2538.6585649539843,2135.175979648615,1838.8550872059286,1614.001068324795,3153.234919596069,2573.715876885924,2163.240175612929,1860.9608092453948,1631.084912487351,3193.6856470469966,2607.329738508544,2190.6625260764113,1883.0667657194215,1648.689078598402,3231.867962341061,2639.480811382313,2217.278066938367,1904.8935991808673,1666.4420888922793,3267.959363807591,2670.2051829971965,2243.0127269359223,1926.2806704707994,1684.1137885000635,3302.131882801781,2699.5660381520474,2267.8443917368777,1947.1387345757348,1701.561104903954,3334.545945076225,2727.638400075438,2291.7807322785707,1967.4223383410713,1718.6960083846993,3365.348236596348,2754.50083917656,2314.8462481182582,1987.1132162193708,1735.4659494565112,3394.671508114283,2780.2310017608415,2337.0745531082007,2006.2100488247024,1751.8415799277884,3422.6352828279937,2804.9032751350856,2358.503728557216,2024.722018410229,1767.8088656824111,3449.3469417478086,2828.5876618590482,2379.173513062095,2042.6646902572056,1783.3639219636946,3474.9029212170763,2851.3493402401336,2399.123612012374,2060.0573510088657,1798.509577125883,3499.389891335612,2873.2486107858713,2418.3926993631526,2076.92127675353,1813.2530568075397
2,2021-07-03,5484.114802109186,4561.754078112422,3894.713036959815,3396.7071477608315,3014.450772757314,5559.953121943252,4623.402882570278,3942.5028575513757,3432.039117669124,3038.8844737461254,5631.499982504988,4683.305381215048,3990.7264029711987,3469.6256098229846,3067.096843036935,5698.821919718821,4740.91006931793,4038.326459799928,3507.99542570586,3097.2716715867514,5762.152832293669,4796.0217019205775,4084.753954630448,3546.3097410426803,3128.3296135029796,5821.785436670964,4848.624502530793,4129.736525787701,3584.085657781005,3159.6133678749384,5878.021922525707,4898.792537397234,4173.156702281972,3621.048046746428,3190.7172894565856,5931.151935900837,4946.642744610096,4214.984979507675,3657.046385879656,3221.3906288905364,5981.443555147819,4992.3098210881935,4255.241815475314,3692.0063023478533,3251.4803763371715,6029.140513461411,5035.932718130037,4293.975503888336,3725.9004669129367,3280.8963782913424,6074.462386565986,5077.647469869126,4331.249062633148,3758.730678761703,3309.589460657058,6117.606115323487,5117.583541182392,4367.132384800469,3790.516622058297,3337.5373935564176,6158.748046610625,5155.8621510229395,4401.697530857257,3821.2887043013566,3364.7357153372473,6198.046086803845,5192.595704272984,4435.015928765142,3851.0834471103744,3391.1916398100766,6235.6417733891085,5227.887837203119,4467.156748073658,3879.940502615966,3416.9199599991152
3,2021-07-04,8382.891302821827,7081.724991058325,6112.570956274813,5373.711257195872,4797.7432257552055,8484.217266491087,7167.4778037078695,6180.942430234993,5425.311249012038,4833.988472492346,8579.586601595593,7250.638021976654,6249.8257837524025,5480.137376297366,4875.802129934039,8669.127369997042,7330.456973120671,6317.711991574598,5536.035735740365,4920.4807139419745,8753.18618995389,7406.683176893057,6383.82437630032,5591.782572255347,4966.419939827382,8832.182700534262,7479.313688190687,6447.783939164539,5646.677173515367,5012.645197150776,8906.544135413302,7548.4684641179365,6509.433372169769,5700.323634191231,5058.557155493396,8976.67667293845,7614.324832255335,6568.740545424353,5752.508404357322,5103.7872329729225,9042.954137741828,7677.08268068737,6625.7438370643,5803.129002279837,5148.11222246918,9105.71495278171,7736.945909996055,6680.520407022904,5852.1512563097,5191.402209206706,9165.262940557559,7794.112718719457,6733.167477429768,5899.583035891204,5233.587933175483,9221.869803800688,7848.770770681629,6783.791188644424,5945.457804963658,5274.639874062281,9275.778210322176,7901.095082312978,6832.499964837491,5989.824177653126,5314.55459750516,9327.204956504063,7951.24742111807,6879.400609345924,6032.7392215798745,5353.345705715415,9376.343963719251,7999.376528233222,6924.596072724626,6074.264143529976,5391.037767120796
4,2021-07-05,11614.813942309313,9946.249231044792,8669.459943467737,7677.083394208399,6892.2712650153535,11738.128229323673,10054.54547433999,8758.089171234496,7745.273630228343,6940.880250184685,11853.975909671793,10159.395160498832,8847.261052182714,7817.650325406063,6996.913051640139,11962.551955124654,10259.872992308623,8935.023812387402,7891.361168341431,7056.733023018226,12064.312062497187,10355.683111141705,9020.380920849739,7964.7907109326015,7118.185015950882,12159.795126175382,10446.842195542935,9102.853259522528,8037.018427975482,7179.962651776789,12249.544176967738,10533.519817963122,9182.249100539644,8107.528145754664,7241.265178830865,12334.072316926879,10615.955513006953,9258.538158541816,8176.045062629827,7301.602442564928,12413.849747751667,10694.414973192954,9331.780404613055,8242.440947483405,7360.679687558367,12489.300735031815,10769.166896383203,9402.084876252544,8306.677350236576,7418.327309756881,12560.805138754191,10840.47100915188,9469.585466024862,8368.770772199623,7474.4568679912145,12628.701880310491,10908.572236611823,9534.426580241672,8428.770907377399,7529.032924477977,12693.293054614238,10973.698274752049,9596.754658395897,8486.746862577478,7582.054686784485,12754.84806486969,11036.059036043016,9656.713229766663,8542.778352144644,7633.543861054014,12813.607496044611,11095.847103069096,9714.440129245424,8596.950049812678,7683.536520733865
5,2021-07-06,15113.757908028381,13099.549041045564,11519.202556687591,10268.572903010432,9266.082056784506,15255.313644890699,13228.201868264356,11627.092740057913,10353.102205898265,9327.184116779217,15388.098988579186,13352.588951668635,11735.516872734635,10442.73736207491,9397.5686399509,15512.374290495132,13471.631709670402,11842.103992134453,10533.936447556895,9472.652156867818,15628.694131795652,13585.00069233295,11945.65210254294,10624.699104090969,9549.721722131382,15737.70322423867,13692.736269614827,12045.590981043406,10713.89041535276,9627.136125974315,15840.046223612693,13795.05803149242,12141.700187866403,10800.878338666824,9703.892334030405,15936.32940051725,13892.266123768133,12233.954880539639,10885.330414297956,9779.37898487263,16027.10649207102,13984.68938883441,12322.438838523081,10967.095606826104,9853.230797448914,16112.8758542904,14072.658148616432,12407.294267432631,11046.133605979321,9925.239823405867,16194.082741694372,14156.490279887714,12488.692393837584,11122.471533195603,9995.29991229859,16271.123707046258,14236.484569154853,12566.816124837942,11196.17694885938,10063.371195014724,16344.351655963967,14312.918074519175,12641.849856242718,11267.340799868638,10129.456958300538,16414.080858603822,14386.045676095106,12713.973583412702,11336.06655710376,10193.588367246311,16480.591606664104,14456.100789898244,12783.359629942503,11402.46327505508,10255.814257538907
6,2021-07-07,18814.581907915242,16485.143338238515,14613.644635468598,13107.147387354264,11883.980711626376,18970.528842927608,16631.50709408535,14739.2572969876,13207.277221806233,11957.3313909271,19116.63889335319,16772.853569199113,14865.363609894523,13313.367413093423,12041.772070107978,19253.231446868318,16907.97594997612,14989.208513340704,13421.216092015502,12131.78746864129,19380.945409353186,17036.520881304205,15109.404078157213,13528.456211229237,12224.116740981668,19500.514132189168,17158.554224469164,15225.299792237027,13633.750063896856,12316.790818456171,19612.666597064785,17274.343331961798,15336.652253626255,13736.357300993313,12408.609519951404,19718.08590009116,17384.244685127884,15443.44479159298,13835.892800618569,12498.844175567576,19817.394337511232,17488.64508551657,15545.785893440976,13932.18603401408,12587.061998534033,19911.15084250445,17587.930980760335,15643.850719217015,14025.197007378296,12673.019068690905,19999.85396530068,17682.47292411554,15737.84694347837,14114.964860222799,12756.593408595189,20083.9470955402,17772.618291577466,15827.9946923376,14201.575874685837,12837.74222133857,20163.824328716077,17858.688521733762,15914.514815884524,14285.143311126589,12916.474079340365,20239.836223165737,17940.97880862693,15997.622165720344,14365.794599435972,12992.830577460885,20312.295117395606,18019.759084389516,16077.52190846131,14443.663184794512,13066.874095718797
7,2021-07-08,22671.791083275803,20061.13351301476,17915.617103871424,16160.235690945561,14717.451452437448,22838.626876598504,20222.491946621638,18057.16808845831,16274.947650799058,14802.566096658387,22994.79478505816,20378.167959840473,18199.15061546392,16396.399058797793,14900.493897005394,23140.663740887238,20526.85009805391,18338.46556710947,16519.769976653686,15004.821601118087,23276.940551210213,20668.168802813656,18473.560370083236,16642.351357370222,15111.76129863503,23404.42896304778,20802.21519782622,18603.71519445517,16762.61759928762,15219.029444049358,23523.924425081856,20929.300261587367,18728.668793326367,16879.729112449477,15325.237574388475,23636.170281557686,21049.830865359574,18848.41440197843,16993.25358864833,15429.545713935066,23741.842387520843,21164.245129112267,18963.084983897777,17103.004214458022,15531.457693433473,23841.546851242365,21272.97888276466,19072.887290598574,17208.94306216321,15630.696474192748,23935.8236167956,21376.448819114004,19178.063452058686,17311.122088302964,15727.126226720226,24025.152365856826,21475.04472573308,19278.86849658906,17409.64647251113,15820.70258245068,24109.959042984377,21569.126668369052,19375.55727470534,17504.6515560467,15911.440313072435,24190.622211481023,21659.0248433444,19468.37701767441,17596.288230364033,15999.392036599816,24267.478897609002,21745.040819909114,19557.56330489051,17684.713665672636,16084.634037066815
8,2021-07-09,26662.04857450959,23803.46920167212,21402.46329387573,19407.265958710774,17748.090304983016,26836.958839221345,23977.360318910152,21558.19035598622,19535.461538030384,17844.379821997736,27000.576512585907,24144.995345988373,21714.275196418926,19671.101754311534,17955.10887090352,27153.309191274002,24304.977902795225,21867.31374783351,19808.7942815132,18073.00875383259,27295.915611200053,24456.9274574539,22015.608907432314,19945.514473924235,18193.790239911763,27429.25297228048,24600.958569959148,22158.381312079742,20079.564320379955,18314.871427032038,27554.166990857786,24737.42067777116,22295.355887653463,20210.01404778837,18434.685900104385,27671.446450121926,24866.76444338118,22426.53653322689,20336.3893209111,18552.28908791961,27781.807513556723,24989.47226736417,22552.079608946897,20458.48978502303,18667.125816819043,27885.891731925465,25106.022397469573,22672.22136811732,20576.280803666887,18778.88876780748,27984.27010222954,25216.871029920658,22787.235785013545,20689.82741524638,18887.43006135428,28077.44949625299,25322.444171500025,22897.409949013792,20799.25335549446,18992.704851564995,28165.879692085164,25423.134805938596,23003.029813566023,20904.715327497142,19094.734715299943,28249.96018756621,25519.302904676093,23104.372138067316,21006.38673684105,19193.583560327937,28330.04644570938,25611.276906753268,23201.7001676091,21104.44740141743,19289.34160496837
9,2021-07-10,30780.308246154564,27703.949695052772,25065.13119182803,22839.40041592529,20967.722218388186,30961.30524756346,27888.35244725095,25233.472740853285,22980.04718589862,21074.59892984098,31130.544905927636,28066.01108490045,25402.09532880829,23128.77921408236,21197.448119278553,31288.463001624452,28235.45911128918,25567.32424505242,23279.67504962185,21328.18882035192,31435.856548798267,28396.307881799126,25727.334986166108,23429.419102700114,21462.056390696634,31573.622296287882,28548.69257624535,25881.29653172791,23576.15511817394,21596.18657491094,31702.64322605959,28692.995700576255,26028.92276121534,23718.871174533284,21728.845070658394,31823.741850879716,28829.705314986943,26170.228193322277,23857.05526393547,21858.989089573148,31937.66428444296,28959.34150385961,26305.39099290963,23990.495594860826,21986.00847929196,32045.07843301092,29082.41853232682,26434.674509463814,24119.161537113232,22109.56813208735,32146.578400700102,29199.426084289567,26558.38177000514,24243.131066935082,22229.50959301655,32242.69130439922,29310.820830362634,26676.828997637884,24362.545806338687,22345.78833149074,32333.884678036204,29417.02359322507,26790.33033094879,24477.582837064307,22458.433061668788,32420.573623870307,29518.41950205426,26899.189231661963,24588.43691910635,22567.519001556855,32503.127354433662,29615.35968035457,27003.693921186292,24695.309270250375,22673.150114230764
