,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,33.263538559536556,26.510974336490687,21.988933984466787,18.787206605613385,16.4221377423324,33.89028700397613,26.970522756432,22.321071725022197,19.020745812154562,16.577711547878742,34.48598073467209,27.419649897405264,22.657707018225302,19.270000479281563,16.757761199727298,35.05044584089633,27.85397817717725,22.991457510139842,19.525317250539537,16.950829991305987,35.584974040999136,28.271753125128964,23.31839751499821,19.78114199973178,17.150084516569148,36.091440159659236,28.672569513674183,23.636497547114068,20.034232902068517,17.35133792894281,36.571888179436364,29.05671969635084,23.94480092205214,20.28270359725301,17.551983150543265,37.02833700165233,29.424847739765255,24.242969413205305,20.525485704221257,17.750387883594342,37.46269294571907,29.77776127854125,24.53102360504158,20.76201496055322,17.945537282360974,37.87671515477962,30.11632787930031,24.809190436590804,20.99204205740911,18.136815670111808,38.27200728649934,30.441418037740952,25.077811866494883,21.215515661194406,18.323869389872335,38.65002198041042,30.753874476728125,25.33728941534475,21.432508554548527,18.506518576584906,39.01207113001945,31.054496491304366,25.588050272871136,21.643170233671118,18.684699268062158,39.35933835458024,31.344032959685634,25.830526616437794,21.84769611556395,18.858424793450517,39.69289182077473,31.623180327346375,26.065143147182663,22.046307367993666,19.027759673312772
1,2021-07-02,90.79491778194675,73.78328624894776,61.990110494870414,53.44208411406329,47.02111436856587,92.28382298240257,74.92798198646241,62.84404309295821,54.05612093620345,47.4369876083269,93.69394370854526,76.04370696620893,63.707794613047106,54.71051230254295,47.91779102077646,95.02566754197335,77.11985543671153,64.56242066643426,55.37979035187424,48.432769709268165,96.28277701982742,78.1523958076671,65.39795264945248,56.04936084024334,48.963609113670444,97.4703349911288,79.14064642117623,66.20932969338088,56.71075727627542,49.499117933253565,98.59370678185418,80.08563286021732,66.99425436097377,57.35909861339549,50.03235491681014,99.6581115881877,80.98922104467222,67.7520117408649,57.99166159334393,50.55899842765995,100.66842845631302,81.85364930013577,68.48279648555946,58.60704784917866,51.07638338049356,101.62912671878306,82.68127335218233,69.18731914913364,59.20468267196846,51.58291315754767,102.5442570263856,83.47442821290156,69.86657149307474,59.784505682021916,52.07769040643577,103.41747087734873,84.23535556045829,70.52168487331313,60.34677604014606,52.56027981243123,104.2520522948033,84.96616827195962,71.15384440222344,60.891947850146735,53.03055269008345,105.05095335540958,85.66883610899525,71.76423715231924,61.42058954532978,53.488583531650725,105.81682942672978,86.34518335379198,72.35402143094052,61.93333136066036,53.934580241445836
2,2021-07-03,166.31555879397905,137.4753547602427,116.84486021555718,101.56424332612518,89.9049722719598,168.7002428389219,139.38996469611325,118.31577030338251,102.64444737858369,90.64815494296037,170.95221899940512,141.25185523168062,119.80097932193343,103.79413430442378,91.5065688057515,173.07319852005196,143.04373634977992,121.2679226010963,104.96837263639388,92.42504806767151,175.07020128800056,144.75936457094144,122.69962761954662,106.14150928827479,93.37079046071175,176.9521491804457,146.39807809450605,124.08762184290687,107.2987454293896,94.32380160020143,178.72831050405176,147.96202274101674,125.42819815560509,108.43162228389073,95.27172539132823,180.4076007823882,149.45469546786606,126.72036188911653,109.53548698318004,96.20690892974422,181.998291933257,150.88016369079978,127.96466392584135,110.60801545950036,97.12466875251363,183.50791864804668,152.24264397712923,129.16252044936553,111.64832478517187,98.02223256267148,184.9432790150171,153.54627711681962,130.31580919814058,112.65642641698774,98.89807534884241,186.31047807980593,154.79501256234428,131.4266272552229,113.63288274492346,99.75149329573225,187.6149885278842,155.99255443163113,132.49714535388082,114.57858807830034,100.58232506380924,188.86171559670439,157.14234219249255,133.52952088577402,115.49462748892846,101.39076659348028,190.05505995891158,158.2475506500826,134.52584708440847,116.38218527361967,102.1772464947444
3,2021-07-04,255.27031214155863,214.21679382744745,183.98750886852267,161.14077328158714,143.4497161057139,258.48170461981726,216.90120375798327,186.10762827345434,162.72915966081183,144.5590516461521,261.50716523848604,219.5065997002923,188.24505998263461,164.41773935346797,145.83930812135094,264.3502459528013,222.00930289015201,190.3529657828971,166.14028132787703,147.20786637405402,267.02149117114163,224.40117672462384,192.40714518313928,167.85909900172902,148.61566820756164,269.5338317837888,226.68187896369645,194.39570503027034,169.55256313759008,150.03287931533566,271.90050505513534,228.85494172315066,196.313624966407,171.2084087050489,151.44112492084216,274.1341366623942,230.9257227388143,198.1597749306652,172.81997881682136,152.8290794568159,276.24637276650935,232.90031413650357,199.93522395248027,174.38403725609263,154.18986142087613,278.24777480416583,234.7849587355262,201.6422573505254,175.89945566116694,155.51944382892754,280.1478377309134,236.58574253406027,203.28379579460798,177.36640633710587,156.81565779331265,281.95506284645995,238.30844018406344,204.86304864832084,178.78585637165116,158.07755368195438,283.67705091094,239.95844597137113,206.38330692715797,180.15924596244474,159.30498381093403,285.32059868829236,241.54075250143075,207.8478208959483,181.48828183329124,160.49832564455414,286.8917909434141,243.05995556610128,209.25972961845204,182.77480386995117,161.65829594096854
4,2021-07-05,354.27725512934245,301.35510781591034,261.31672625254294,230.47537323517548,206.25761985882752,358.19810526929103,304.759336149866,264.0768198278238,232.58306557546737,207.751010068585,361.8846814035335,308.05782216768034,266.85567888559297,234.8213601737034,209.47317250174623,365.3426089432139,311.2211727756862,269.59245450155527,237.1021882601785,211.31255391408635,368.58588143074735,314.2397576450805,272.2559542861849,239.37559138927625,213.20300083201568,371.63122155605697,317.1137911868377,274.8310693194063,241.61303210131967,215.1043682042811,374.4955588505002,319.84832919441465,277.3116400989593,243.79844655796202,216.99200813247515,377.1949346272524,322.45066457155417,279.6965473445186,245.92322516069467,218.85079688836967,379.7440780017062,324.92894800254277,281.9875001129035,247.983291691261,220.6716068183099,382.15629940236124,327.29145604420376,284.1877541014647,249.9773525092722,222.4491544825464,384.4435310277175,329.54621021211346,286.3013568519394,251.90582185059344,224.18065268806978,386.61643047122965,331.70078955877165,288.3326995451823,253.77014970933618,225.86494712818492,388.6845061919134,333.7622506984824,290.2862510636219,255.57239559492712,227.50195314616397,390.65624478842153,335.7371072526905,292.1664022261497,257.31495569794583,229.09228274719487,392.5392308198687,337.6313414765976,293.97737739955664,259.00038749227383,230.6369946527523
5,2021-07-06,460.6087160604379,396.64162734330375,346.9844639694836,308.03368828976676,277.03609479811377,465.1013798232097,400.68587272699165,350.34698869898307,310.6490513704811,278.9152030726487,469.3187396966296,404.5988264741341,353.7283147766261,313.42385485092905,281.08065653829584,473.26848445144736,408.3462388324786,357.05446242900075,316.24861906450786,283.3917137494738,476.96772264172563,411.9173874686056,360.28777916978464,319.06141485666905,285.7650120461415,480.43650900735264,415.313200431763,363.4102696230364,321.82701969995696,288.15006276047166,483.694972679073,418.5402801068021,366.4148408890378,324.5257412410509,290.51595708195117,486.76208817860464,421.6078039258384,369.3005120568538,327.14714952084915,292.8438091253047,489.65521450271916,424.52589109715876,372.0697090153429,329.6864324068133,295.1222924411813,492.38999459231815,427.304742189634,374.72670099444844,332.14221349032425,297.3449186566352,494.9804193783414,429.9541963234168,377.27668296804086,334.5152146919426,299.5083339015499,497.43896076745165,432.4835175755929,379.7252332054363,336.80742149123625,301.6112287130679,499.7767267808599,434.9013079384051,382.0779933702012,339.0215548312104,303.65362775203255,502.00361642959683,437.21548969434235,384.340482768242,341.1607341262832,305.6364201480583,504.12846420376314,439.4333249342104,386.5179943628812,343.22826146319636,307.5610453600428
6,2021-07-07,572.5469697831563,498.5673873161925,439.7035659308948,392.7222590540948,354.8507481537728,577.4797806703787,503.16265559440956,443.61739766586,395.82078652978475,357.1072011782694,582.1042706850582,507.603258767439,447.5489665298327,399.1054333138199,359.705850193356,586.4299974013896,511.8509451460918,451.41232845131873,402.4462913198726,362.4772856426213,590.4767050625247,515.8942391399985,455.164023066401,405.7700639423642,365.3212755163478,594.2672079332833,519.7348551178509,458.78353223999113,409.0352276771939,368.17722442681134,597.8242549467578,523.3808769574673,462.26302531524635,412.2187121690586,371.00813533191086,601.1692041990857,526.8432320612407,465.60175488722604,415.30843275917454,373.7914899956716,604.3215396699474,530.1338414249856,468.8028977192852,418.29895138288697,376.5138628614655,607.2987803719118,533.2646513067164,471.8717332475375,421.18888136950125,379.1676383459423,610.1165666666451,536.2471398719238,474.8145778158335,423.97929910190317,381.7489571487431,612.7888191136283,539.0920835508746,477.63815719019397,426.6727543910521,384.2564032785246,615.3279190138182,541.8094660499862,480.34923855504036,429.2726458237809,386.6901495178959,617.7448865523628,544.4084650465841,482.95441854289294,431.7828232807364,389.05139318310916,620.0495458623097,546.8974799888261,485.46000608183795,434.2073343189563,391.3419793652574
7,2021-07-08,688.6573855559303,605.8348319917864,538.3403057577874,483.5589924131862,438.84890945694264,693.9097964657236,610.8891834484374,542.7459868946826,487.1070949456638,441.46674335722184,698.8288840359785,615.7683125178061,547.1675424688926,490.86547647664844,444.47983941063893,703.4257681353768,620.4307781629973,551.5084007047866,494.6851783046058,447.691232460532,707.7222800895486,624.8646269903483,555.7200086528438,498.4823505175557,450.9845060126914,711.7433790701062,629.0723655751664,559.7796981094936,502.20966145243,454.2893978656815,715.513829615592,633.0634312053232,563.6790783656685,505.84096410656247,457.5631142739466,719.0568110275397,636.8503101719132,567.4177000706547,509.362702424267,460.7797022070973,722.3934223809669,640.4465090258968,570.9994892641568,512.7689210010798,463.92377287782745,725.5426024769669,643.8654985931481,574.4306956030321,516.0582832926726,466.9866776949297,728.5212353626538,647.1201807527082,577.7186951672995,519.2322490206002,469.9641173116556,731.3443303565911,650.222640104548,580.8712881662711,522.2939404545053,472.85461428081,734.0252229202728,653.184051420259,583.8962891337798,525.2474282851796,475.65852004644813,736.5757711677227,656.0146713811481,586.8012926176244,528.0972783815421,478.37736012757847,739.0065370269439,658.7238744714009,589.5935452207451,530.848263556588,481.0133975764039
8,2021-07-09,808.0793988378364,717.5976771877466,642.1212457222057,579.8556712038691,528.4230625274613,813.5520046169152,723.0254877789001,646.9583841498504,583.8160660840994,531.3823148882417,818.6734847172904,728.2605912592624,651.8090558026204,588.0083512265534,534.786604416678,823.456156179594,733.2590578899045,656.5674046558474,592.2660641322449,538.4128479091709,827.9233890521107,738.0086537733487,661.1804816156557,596.4956980635525,542.1293150382082,832.1017015824674,742.5126282472651,665.623812050774,600.6446412511588,545.8566224714306,836.0173116472289,746.7816044987458,669.8885911640016,604.6839808722574,549.5465299489823,839.6947044243054,750.8294085126005,673.9747013087843,608.5988682948224,553.1698776287525,843.1561321111749,754.6708962183845,677.8867876845226,612.3829275783626,556.7094626951646,846.4215436046153,758.3208279082015,681.6320045973326,616.0349173899276,560.1557007093916,849.5087050673087,761.7933042507788,685.2187036256421,619.5566930109361,563.5039143781113,852.433395963271,765.1015074940962,688.6556665828202,622.9519405217749,566.7526029260139,855.2096250424505,768.2576089073027,691.9516599452919,626.2253809517839,569.9023180128692,857.8498403664169,771.272765670334,695.1151817919484,629.3822663633923,572.9549233742289,860.3651222312878,774.1571642143119,698.1543251183957,632.4280603602555,575.9131019764391
9,2021-07-10,930.1876550397909,833.2106857735589,750.4394484481967,681.061649681943,623.0804560838952,935.8031433363321,838.9354171948655,755.6496420009671,685.3957848836351,626.3589007494854,941.0557443703393,844.4530485931433,760.8708160701269,689.9809637286238,630.1286154920698,945.958601640059,849.7177431467987,765.9891179544883,694.6348314494534,634.1420291283112,950.5361239541724,854.7171161774692,770.947852386445,699.2551458559992,638.2530757463636,954.8158729438759,859.4550726306715,775.7210436547256,703.7845471202257,642.3738553729323,958.8250341579252,863.9432343473424,780.2995875211442,708.1916607503802,646.4510617232096,962.5889591367537,868.1965391496602,784.6837062064685,712.4605125795158,650.4525695996614,966.1306629475145,872.2309544167642,788.8787132755217,716.5843890935844,654.3595148916824,969.4707611731016,876.0622973736355,792.8925853565125,720.5621749956991,658.1614721779623,972.6276010150215,879.7056477981477,796.7345517316934,724.3961195361815,661.8534427130553,975.6174683147021,883.1750819143157,800.4142720129986,728.0904510156935,665.4339331362675,978.4548137995772,886.4835806815437,803.9413603546303,731.6505071543191,668.9037086583085,981.1524722252929,889.643031486519,807.3251168344456,735.0821856263698,672.2649727717568,983.7218632001611,892.6642779793832,810.5743838045383,738.3915966463857,675.5208219308867
