,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1352.533876210449,1086.5760682737123,906.0002989313551,776.9556068957783,680.9996221819224,1376.9941595273754,1104.8162609135638,919.3305104820914,786.4016705166063,687.3280756258889,1400.2069463443945,1122.623052768312,932.8303775820964,796.4776027373549,694.6492647578546,1422.1708681207358,1139.8245152728475,946.2037689296204,806.7924001078928,702.4963856208781,1442.9412287822208,1156.35313206304,959.2938449556789,817.1214342783956,710.5911724495838,1462.5954116321607,1172.1948993649273,972.0200844386655,827.3338953749395,718.7632994132858,1481.2167442779692,1187.363327244606,984.3450675665624,837.3539332475057,726.9068622479336,1498.8869943938907,1201.8856703706626,996.2561598603396,847.138831088786,734.955692357451,1515.6830424214183,1215.7954600149844,1007.755055700293,856.6662640310888,742.8687757011467,1531.6756133992894,1229.1284072096535,1018.8516470879025,865.9266240202074,750.6213465952214,1546.9290238252001,1241.9201626236304,1029.5603571278907,874.9182769344475,758.1992933944427,1561.5014155645592,1254.2051209802717,1039.8979189730182,883.6445708931311,765.5955611494732,1575.445205851662,1266.0158211868288,1049.8820225913084,892.1119185876271,772.8077925821486,1588.8076141179847,1277.382688017883,1059.530492481902,900.3285533130229,779.8367557760172,1601.6311951509376,1288.333968630705,1068.8607950375524,908.3037157831753,786.6852822114338
1,2021-07-02,3638.452978791905,2988.5880016120464,2529.5993572105763,2192.5270055816936,1936.8889395345898,3694.7128813212726,3032.8029428309205,2563.088948993765,2216.8749813783143,1953.5160763306626,3747.8964046699666,3075.8366144767933,2596.9266166986663,2242.8022480203085,1972.7283068348363,3798.0344051912216,3117.2856336181694,2630.370183795206,2269.2970765836226,1993.2931761949944,3845.284217002941,3157.001368502639,2663.031369439162,2295.780971178437,2014.4773953416884,3889.8494010158115,3194.9643394175478,2694.715055055093,2321.9194568088615,2035.8335373865518,3931.9429208345537,3231.2203663295363,2725.3346073541898,2347.520697053049,2057.084692418782,3971.7704590084945,3265.8469744958743,2754.8652935265623,2372.478571038925,2078.058991364707,4009.523370888995,3298.935337343133,2783.3177740259553,2396.7394807744618,2098.650928892266,4045.3763146934857,3330.580493689222,2810.7226280107966,2420.282392030341,2118.79775048272,4079.487132629235,3360.8760950342134,2837.1211520527154,2443.1065304356484,2138.4646344154044,4111.99777039758,3389.9116818875677,2862.5598272200405,2465.2236446746083,2157.6351766268554,4143.035622218764,3417.7713881031254,2887.086980628631,2486.653066527783,2176.3051625896596,4172.714992995477,3444.5334530708237,2910.750783601615,2507.4185219744545,2194.478425822906,4201.138526700725,3470.270186257706,2933.598075013522,2527.5460591765277,2212.164058588443
2,2021-07-03,6567.794360772897,5497.037168646593,4714.208723403827,4125.09464729719,3670.192961956001,6655.343916511489,5569.0915123732875,4770.569138688601,4167.044087411955,3699.3531115736314,6737.857229185634,5639.047679328693,4827.404543822489,4211.648609982278,3733.011083879771,6815.425248504181,5706.267281711826,4883.469138791105,4257.159641344764,3768.996326869187,6888.33039137412,5770.528969255908,4938.1182238227375,4302.581579526507,3806.019636518219,6956.921009359926,5831.8208302624635,4991.034074693265,4347.3424821105855,3843.2966475869825,7021.554580177553,5890.2352867154905,5042.081700051613,4391.117556253698,3880.3439677055294,7082.572552731015,5945.914113375743,5091.229651843555,4433.730094476783,3916.8633842867666,7140.290195100858,5999.019117798103,5138.505099327976,4475.093769584952,3952.6734643441982,7194.993623244422,6049.716430932118,5183.967705035112,4515.177992905632,3987.6678151905567,7246.940214528652,6098.168210363621,5227.694170447968,4553.986606704109,4021.7889152334737,7296.360526135521,6144.528453963588,5269.769004647003,4591.5445239644105,4055.011332073544,7343.460780686063,6188.941113960208,5310.27900347966,4627.889228323682,4087.330756857915,7388.425456334818,6231.539496810297,5349.309979578107,4663.065311360186,4118.756728201399,7431.419761730219,6272.446370596212,5386.944875092693,4697.120942998398,4149.307744612066
3,2021-07-04,9988.209403786741,8494.017256574776,7368.024738982121,6501.970356381328,5822.226225468799,10104.000080784017,8593.265383876093,7447.927490913922,6562.726504240095,5865.154899479978,10212.87721517235,8689.431417847276,7528.372786836836,6627.246535775765,5914.659206365806,10315.006196567754,8781.658186687735,7607.598916958283,6692.991569470925,5967.532218646251,10410.79967421662,8869.66476127445,7684.702790269537,6758.521378863134,6021.872142388912,10500.751012818768,8953.457293157939,7759.246986686575,6823.013286764685,6076.5248809421255,10585.359780354547,9033.1831288026,7831.053212653891,6886.004230904779,6130.781865127016,10665.099387202426,9109.054868670315,7900.089116860961,6947.246060490846,6184.208342443227,10740.404547929476,9181.310142050483,7966.4042455411945,7006.621327788827,6236.541948967546,10811.668123406604,9250.190260289763,8030.092929415555,7064.092810730378,6287.630844327144,10879.24230592878,9315.92910570688,8091.272426760323,7119.672527064584,6337.394957230776,10943.441672266023,9378.747663575063,8150.069944016789,7173.402355270189,6385.801162837712,11004.54688383143,9438.85168807382,8206.614934446876,7225.341744469455,6432.8470886760315,11062.808441286646,9496.431101486414,8261.034587202474,7275.559847501789,6478.550390337728,11118.450220173068,9551.660332344798,8313.451267605871,7324.130463482564,6522.94156479132
4,2021-07-05,13755.84219015338,11861.562458898756,10394.26776942076,9242.881305163928,8325.430901499538,13895.247088599239,11985.567581677313,10496.794632706326,9322.407177230583,8382.490530853522,14026.08659452395,12105.522939211469,10599.874419510023,9406.766706135035,8448.236203572727,14148.603989273097,12220.381316352843,10701.252067919862,9492.629699889934,8518.391967117124,14263.334164459719,12329.817134963003,10799.781209290688,9578.11329895518,8590.425662153111,14370.90271529635,12433.861855601459,10894.915199141467,9662.147445675386,8662.804236409522,14471.936907919475,12532.72058942335,10986.43985045931,9744.134632904597,8734.589676557944,14567.027648089272,12626.677037241514,11074.327215289451,9823.759096150876,8805.209300385815,14656.71527871672,12716.043429917925,11158.653039091867,9900.87587453846,8874.320078201397,14741.486545995731,12801.134184468183,11239.549072722042,9975.444399975686,8941.725914055185,14821.77665701801,12882.25236891293,11317.175099213255,10047.487804198212,9007.325868662934,14897.973462696977,12959.683193301093,11391.70240910783,10117.067527367843,9071.081032805847,14970.422316618826,13033.691376662948,11463.30406504459,10184.267261520201,9132.99294705667,15039.430916288607,13104.5206374692,11532.149257192386,10249.182709845683,9193.089336160072,15105.27381475964,13172.39431822065,11598.400150826084,10311.915033458654,9251.414570207722
5,2021-07-06,17806.200993239923,15541.058799012766,13742.101904591544,12304.362123711511,11142.66087961703,17964.919940069023,15687.073126157356,13865.80810182908,12402.099447610022,11213.798103776797,18113.674043190527,15828.128363575011,13990.03611926895,12505.678922147883,11295.705253244967,18252.77983771136,15963.01488081237,14112.071104162847,12611.000685888364,11383.036958546685,18382.880266934895,16091.374166443227,14230.542910913118,12715.753454844666,11472.631790176189,18504.7156631625,16213.266370114612,14344.807136107644,12818.629565106638,11562.579697422987,18619.023032535988,16328.95333471171,14454.620373444606,12918.90400400951,11651.71557006988,18726.49361496004,16438.786527093696,14559.962805090963,13016.198426022209,11739.331238215975,18827.757529424,16543.148312058136,14660.938249245719,13110.344058243796,11825.005375659452,18923.381016111143,16642.421267679016,14757.71656907026,13201.29973134802,11908.499841024597,19013.869348061646,16736.972596393214,14850.500007263468,13289.10173420985,11989.694840531758,19099.67204924698,16827.146781528292,14939.503389736134,13373.832588511232,12068.54748772307,19181.188788346957,16913.26276637183,15024.942535600956,13455.601353670903,12145.064842600823,19258.77517715355,16995.61359092839,15107.027598237319,13534.531106020519,12219.286118112548,19332.748134201167,17074.46732501393,15185.959400071622,13610.750959386663,12291.270805865342
6,2021-07-07,22079.91862332234,19478.3009962936,17363.68277814332,15644.67835029583,14237.548641468651,22253.901824504122,19643.376595487436,17506.74054011404,15759.666639023393,14322.375498312487,22416.781459492027,19802.669089522344,17650.259434206997,15881.427973221722,14419.98276707344,22568.93847415183,19954.833136772017,17791.10621969365,16005.131922461123,14523.981371881102,22711.106702792906,20099.486794192333,17927.709500872796,16128.06231524017,14630.596909189702,22844.12163253169,20236.71970067454,18059.339160457315,16248.688479775044,14737.55323008469,22968.810591451922,20366.846854414103,18185.72859728914,16366.167108302456,14843.465709596578,23085.94698283031,20490.281810619308,18306.86861288028,16480.06311266535,14947.496115986747,23196.23416374452,20607.47051063054,18422.891489188234,16590.187573791503,15049.148789233259,23300.303025138383,20718.856916493824,18534.004349783318,16696.50095566214,15148.146478275112,23398.71567457846,20824.865720727907,18640.450322629673,16799.053980179036,15244.352730325847,23491.971548365047,20925.894349225993,18742.48579375309,16897.95087705882,15337.722332261013,23580.5141827281,21022.31003656629,18840.367163441122,16993.326256990185,15428.269106127795,23664.73781532713,21114.44963864235,18934.343298656873,17085.330451318812,15516.04468610347,23744.993458774497,21202.62087345018,19024.651433347855,17174.120203542858,15601.124380880763
7,2021-07-08,26533.854656516745,23632.035934870357,21221.361290104083,19230.149442500333,17580.16797262026,26719.537646707195,23813.286439632593,21381.790585586066,19361.202842849692,17678.082599495927,26893.224788265143,23988.02860910701,21542.601704805205,19499.876422075806,17790.686290099253,27055.35037406629,24154.80553622871,21700.287220033548,19640.65824637651,17910.589017072936,27206.721240493003,24313.219070588984,21853.097605482617,19780.455905303894,18033.42951528251,27348.24851277974,24463.387215015224,22000.228616649063,19917.53276789228,18156.58210525048,27480.830909165812,24605.672958737792,22141.395552547317,20050.93741008872,18278.453448742843,27605.30652596508,24740.54497460699,22276.601218262364,20180.183980536025,18398.08242321477,27722.4362181335,24868.505176868082,22406.005619377596,20305.066765222145,18514.903843201308,27832.901512507644,24990.051290462598,22529.851203837443,20425.549540561442,18628.604577296086,27937.3089407799,25105.658173788128,22648.41940634142,20541.69806647513,18739.03366510417,28036.196883390166,25215.76931730484,22762.005285487085,20653.63819404481,18846.14496982831,28130.04304962855,25320.793873611274,22870.9028277538,20761.52955594402,18949.95995218432,28219.271723053418,25421.106654891642,22975.396632336266,20865.548931136065,19050.543170464305,28304.260401346673,25517.04966402628,23075.757448160206,20965.879717002914,19147.98598627484
8,2021-07-09,31138.134036927746,27972.207549193106,25286.749585100308,23034.74107264352,21146.955230652355,31332.561167243213,28166.97386279652,25462.578975802593,23180.580056783212,21257.23634257949,31514.317629447578,28354.608809434885,25638.701554867715,23334.803334435946,21383.998938081866,31683.879337963233,28533.5646763721,25811.279248269508,23491.270878216066,21518.904656055784,31842.10913375691,28703.432224901717,25978.40652161259,23646.544684550823,21657.037057218255,31989.975825722224,28864.35537815722,26139.21552398141,23798.699950614948,21795.44061336864,32128.432395755906,29016.739135904663,26293.407537469124,23946.687380877946,21932.325746762086,32258.366001558537,29161.09983036387,26440.99784417371,24089.97605519387,22066.616430572132,32380.58102685946,29297.98747638561,26582.172636307172,24228.346358763712,22197.6830654303,32495.79727759921,29427.9458194045,26717.2070637824,24361.76653045462,22325.17986691007,32604.65482759085,29551.492537800812,26846.41770348033,24490.317427661874,22448.943337527635,32707.721430091235,29669.110354127584,26970.134901168196,24614.14590439302,22568.927538165746,32805.500543736554,29781.244056173597,27088.68681269147,24733.43558363175,22685.16211090831,32898.43907163406,29888.30067270497,27202.390431111424,24848.38841864155,22797.724684904122,32986.93443405371,29990.651266694716,27311.546821831642,24959.21305781901,22906.72255083063
9,2021-07-10,35863.611911638145,32470.04854075338,29532.703584841754,27033.41005427478,24915.049474219963,36064.32990631372,32675.87201960708,29721.98335221601,27192.687747561537,25036.881399655907,36251.890441606294,32874.04282041768,29911.464752093416,27361.03160007419,25176.85970818821,36426.79979282398,33062.9406225346,30097.02177193166,27531.73001524325,25325.758125736804,36589.96141332494,33242.148812534724,30276.614104814595,27701.031446127872,25478.141121792592,36742.38585085174,33411.83404804026,30449.31998358303,27866.84119717238,25630.745443530042,36885.06530178961,33572.4370094761,30614.83002066954,28028.022354924557,25781.59904772555,37018.92234719144,33724.514117958686,30773.171816516762,28184.004385174983,25929.519613677978,37144.79277761555,33868.65564862011,30924.555678793626,28334.556308160056,26073.818460981827,37263.42400221706,34005.44374402081,31069.286389869754,28479.651570170074,26214.120362296053,37375.48027025936,34135.43172686806,31207.712132058798,28619.38577331329,26350.25109782642,37481.55049625098,34259.13491806611,31340.194844013215,28753.925757796707,26482.16581467603,37582.15668247273,34377.02767037596,31467.09317826387,28883.477731437164,26609.902607034022,37677.76201603975,34489.543706547905,31588.75297169284,29008.267203777476,26733.552034154873,37768.77825512783,34597.07814051009,31705.502232655406,29128.526356857157,26853.23690314682
