,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1500.3971163174863,1208.9584370322555,1010.0569395866592,867.4154770332797,761.0812332039454,1527.1094756668429,1229.0039207862246,1024.768002269921,877.8708760341701,768.1011501905998,1552.4451225353562,1248.564955145784,1039.661757480476,889.0210064170301,776.2210408469845,1576.404794835449,1267.4533661616101,1054.411471558562,900.4328562859704,784.922772594607,1599.0508950448943,1285.5958446908774,1068.8443648419134,911.8578079678553,793.8975517408811,1620.4696539424392,1302.977869814044,1082.8719703399688,923.1512098503803,802.9564385824438,1640.7535207022247,1319.6150824333554,1096.4534047081477,934.2292989413841,811.982021514695,1659.9930006742873,1335.5381369617708,1109.5751210342544,945.0450057462137,820.9010014339167,1678.273058710324,1350.7844946521802,1122.2393544791591,955.5738318214148,829.6679980462961,1695.6717685101876,1365.3939286530817,1134.4573509036602,965.8053444840464,838.2556591480042,1712.2600657830214,1379.4060717987525,1146.2453203750445,975.7379224311367,846.6484485476622,1728.1020283575083,1392.8591125034993,1157.6219881556738,985.3754426565858,854.838652133851,1743.2553879000727,1405.7891446165925,1168.6071043533138,994.7251577345962,862.823759349524,1757.7721217782719,1418.2298915734477,1179.2205398115716,1003.7963196751948,870.6047183903405,1771.6990487611893,1430.2126436210524,1189.4817456643402,1012.5992809713304,878.1847581200202
1,2021-07-02,3997.8296462531875,3296.5637613866675,2797.9170399107506,2429.952351286494,2149.887081942026,4058.2926290659293,3344.459845846103,2834.397863432355,2456.5837876862547,2168.130037384648,4115.411480507584,3391.0518616371796,2871.2430087925004,2484.9341298807117,2189.204813678026,4169.225687977923,3435.9053836534085,2907.6443634099533,2513.896021024207,2211.758025671852,4219.909930757304,3478.862251093256,2943.1800707287593,2542.8368115985977,2234.9847008203424,4267.687712365425,3519.904095700888,2977.638959497647,2571.3911806548463,2258.3939479933524,4312.791842673551,3559.0830183134444,3010.9280701941098,2599.350010562807,2281.6822079770673,4355.446617337225,3596.4851576988217,3043.0218010444264,2626.597997725931,2304.6612946705195,4395.860359654198,3632.2111394941867,3073.93298818786,2653.0772794300187,2327.215888083539,4434.222976256492,3666.3655075290276,3103.696035605814,2678.7655690251104,2349.277585356442,4470.705916137975,3699.051067724115,3132.3568940751948,2703.662682923632,2370.8086194215975,4505.463230184216,3730.365970923153,3159.9670431999148,2727.7820733263065,2391.791406829525,4538.63307451921,3760.402339498778,3186.5798665789794,2751.14542556264,2412.2217085029383,4570.339328601546,3789.2457652332646,3212.2484834767706,2773.7791734984976,2432.104083720948,4600.693167927516,3816.975293395204,3237.024478812746,2795.7122378824815,2451.448829915292
2,2021-07-03,7194.119942396704,6047.075219397376,5202.219282351255,4562.905805249712,4067.157261123367,7287.564569518542,6124.625495089818,5263.254919428548,4608.548922872705,4099.000982177547,7375.575142764405,6199.875540142187,5324.777479885154,4657.0642990193555,4135.747308144369,7458.25899786393,6272.1429392928085,5385.438642657932,4706.548027940892,4175.023608152208,7535.926533469528,6341.194574309236,5444.542419366224,4755.917127575576,4215.4212222937595,7608.9570778006555,6407.022480348369,5501.74738991792,4804.550394680781,4256.083684198233,7677.738377800602,6469.730469896681,5556.9100626380905,4852.095889327322,4296.483690893946,7742.639946204952,6529.474902397054,5609.998919223533,4898.362897799714,4336.2964073417015,7804.0024220770665,6586.433155023305,5661.04568357799,4943.259015910358,4375.324625861028,7862.134571946026,6640.7867728613455,5710.1170106937825,4986.752392824042,4413.453101738613,7917.313875030065,6692.712604301602,5757.297758218424,5028.848519725224,4450.619929117659,7969.78868784582,6742.378357549789,5802.681009532313,5069.575685589664,4486.7981904147055,8019.780991323183,6789.940626394099,5846.362119400139,5108.97573145254,4521.983970478178,8067.489230712874,6835.544292200549,5888.435197554492,5147.098114715588,4556.188407562296,8113.0910175377785,6879.322680147666,5928.991088157433,5183.996078973513,4589.43235699051
3,2021-07-04,10895.429902850698,9307.9682642068,8102.121025998134,7168.950832651956,6433.019067499484,11018.036987000598,9413.971518161403,8188.034894613924,7234.620205009894,6479.612254800744,11133.246921478405,9516.623116546443,8274.49051303718,7304.33147843793,6533.327338933248,11241.248685151622,9615.014515691564,8359.595084113018,7375.338394916389,6590.679866560479,11342.49121974458,9708.853192395314,8442.381072368558,7446.084823872004,6649.604432697075,11437.50692944909,9798.1527966271,8522.382318117128,7515.683405338336,6708.848628200465,11526.832977637718,9883.07698912274,8599.411300867183,7583.636014935001,6767.644405816559,11610.977302969328,9963.858267192722,8673.437147743753,7649.676960897774,6825.521303712786,11690.40561810597,10040.755052952134,8744.516658187757,7713.681760504959,6882.196119015666,11765.538304467265,10114.028985810604,8812.754374439291,7775.612481570171,6937.505624522702,11836.751864153164,10183.93315516355,8878.279097298991,7835.484209912038,6991.364430606452,11904.382311866393,10250.70635427551,8941.229964915328,7893.344093520539,7043.738005118279,11968.72922012266,10314.570670482488,9001.748212343668,7949.258065262874,7094.625080106876,12030.059796255575,10375.730914659469,9059.972361302227,8003.30235425779,7144.046007739403,12088.612706918197,10434.37504232909,9116.035505071362,8055.5580371540855,7192.034962914994
4,2021-07-05,14966.381638796322,12965.144745073383,11402.574156850109,10168.592533741354,9180.3005404775,15113.309834553433,13096.922736642082,11512.261270180254,10254.135547440555,9241.948966909358,15251.125146496086,13224.324758946319,11622.486349957091,10344.842395859534,9312.96094199824,15380.099818455596,13346.246736389008,11730.83893939666,10437.128268242912,9388.711430446647,15500.811230875246,13462.352048545321,11836.097309644354,10528.96874079274,9466.462946546293,15613.930022296921,13572.682870752562,11937.682159674547,10619.215401358912,9544.559519400222,15720.126502229648,13677.464886778069,12035.369843732733,10707.228845961205,9621.989183318656,15820.030905974716,13777.006207310113,12129.135571344781,10792.6728973316,9698.135222702143,15914.21874937036,13871.644248030863,12219.064959531363,10875.394997519817,9772.629245811975,16003.207908938737,13961.717856522842,12305.302989862634,10955.354642088796,9845.261622738206,16087.461018295859,14047.553057714258,12388.02410935406,11032.57955659056,9915.925440630337,16167.39005968611,14129.456256590793,12467.414601021123,11107.138374227019,9984.580660955653,16243.361630519244,14207.711544944756,12543.662224066322,11179.123376062713,10051.230781897546,16315.702161326275,14282.580249079901,12616.950229474087,11248.639497265294,10115.907421053984,16384.702762405985,14354.30166826372,12687.454037416805,11315.797303650797,10178.660014632165
5,2021-07-06,19323.014601912964,16942.79167597721,15037.428843498197,13504.693798334923,12259.605774299442,19489.55708265752,17097.201331368098,15169.120685134812,13609.31931646901,12336.108332893615,19645.552620478997,17246.28440860658,15301.303817287597,13720.154354511094,12424.166010070723,19791.350539976942,17388.772016928033,15431.090864511563,13832.806940860637,12518.023643771487,19927.640195922275,17524.29590783632,15557.029055632807,13944.804161455011,12614.279281481146,20055.210556742833,17652.92978565568,15678.439149584307,14054.749570777261,12710.879382396823,20174.84481635975,17774.959419377727,15795.06872108701,14161.871289943947,12806.572953625042,20287.27624132394,17890.76407346724,15906.902862748098,14265.768721540711,12900.60108505585,20393.172417283367,18000.754503014345,16014.057623184934,14366.265453618886,12992.513590042916,20493.132660288655,18105.340652916246,16116.718675703967,14463.321355130956,13082.057283618122,20587.69132090522,18204.91532627788,16215.105518534567,14556.978835793778,13169.106123365344,20677.323458668336,18299.84655992137,16309.45046413162,14647.329411215864,13253.616578604368,20762.451184270685,18390.47476418858,16399.986371007668,14734.49263715516,13335.598609928877,20843.44986872423,18477.11244287002,16486.939622778547,14818.602735725906,13415.096529629513,20920.653870184327,18560.045266811496,16570.526288234545,14899.800087441457,13492.176239971457
6,2021-07-07,23902.751030940308,21181.894744819896,18953.36897084955,17129.90559573784,15629.077432592007,24084.63556010627,21355.70471981655,19104.96767371756,17252.436315671064,15719.895074892696,24254.820045690092,21523.337059604055,19256.982586929844,17382.132340859545,15824.362987429036,24413.720411661154,21683.38656790893,19406.09670210171,17513.842829777896,15935.632941044398,24562.118904519488,21835.462980184308,19550.65155870409,17644.67507200794,16049.661556037434,24700.90136226281,21979.671662548255,19689.881216616614,17773.002078886726,16164.01272124431,24830.942731159463,22116.353895875036,19823.51080742066,17897.93028415263,16277.20651831298,24953.059620969696,22245.95331679652,19951.53762904259,18019.001304796653,16388.34881437385,25067.993825036203,22368.946361536317,20074.108132779118,18136.01886627443,16496.912521614668,25176.41010717883,22485.806249710986,20191.44728720338,18248.94548609787,16602.604371445923,25278.90030918311,22596.98495060543,20303.81747169719,18357.83940334331,16705.281665628085,25375.989945814705,22702.90491926651,20411.494448231653,18462.815411130952,16804.899141364676,25468.145445946164,22803.956152444534,20514.75340924842,18564.020236112992,16901.474462937615,25555.781182048777,22900.49610550255,20613.861058613376,18661.616953442222,16995.065496809522,25639.26592074882,22992.851093815076,20709.071338886046,18755.775109210044,17085.7551869653
7,2021-07-08,28647.99601874778,25627.731679054377,23100.144947608176,20998.78866748423,19247.837289215735,28841.344267321372,25817.705198130585,23269.338838664666,21137.764254869267,19352.16781384449,29022.109117354696,26000.764552186458,23438.85643316714,21284.761998480415,19472.111938193557,29190.760656994385,26175.394785314285,23605.002471448617,21433.932879884578,19599.78628108127,29348.154240053747,26341.19117687538,23765.939371632372,21581.99952177211,19730.54110523691,29495.251088608857,26498.289001961588,23920.827542417363,21727.125040307834,19861.579695281893,29632.99710968723,26647.078838935005,24069.37515335175,21868.306294748658,19991.207287575136,29762.273100082883,26788.06052376522,24211.59289676253,22005.034046365923,20118.40367589094,29883.87782216765,26921.76735157095,24347.65638499464,22137.095871285423,20242.570842202225,29998.526153038278,27048.727026608594,24477.827293842263,22264.458623781924,20363.37930599613,30106.853857545433,27169.44227045274,24602.407591830866,22387.19677670261,20480.67217169074,30209.424922564012,27284.382078647326,24721.71287872802,22505.447992386813,20594.403937404037,30306.739510013744,27393.978752058778,24836.056979535406,22619.385251798845,20704.600797602754,30399.241630712826,27498.62801549741,24945.743263595516,22729.199257520486,20811.334536208695,30487.326160305354,27598.690723138083,25051.060017741165,22835.087318115064,20914.705179523884
8,2021-07-09,33545.25563216484,30261.82257701439,27457.73671197187,25091.521865946554,23097.07036067175,33747.23321984471,30465.288734747523,27642.466973377457,25245.552878630955,23214.094500186362,33935.96021232149,30661.213111373654,27827.423481989907,25408.376191898333,23348.56592748313,34111.948140872344,30847.991031898047,28008.577981004917,25573.502849153414,23491.62645335625,34276.10791156964,31025.207613599494,28183.936423908995,25737.30398169892,23638.056152623765,34429.45788403302,31193.024804890367,28352.596042590056,25897.751859264383,23784.72000613041,34572.99767178712,31351.87579224093,28514.25180316326,26053.74455962618,23929.722393843796,34707.65660193977,31502.30853885377,28668.927821208457,26204.727826781593,24071.925869468338,34834.27647577689,31644.904803737918,28816.826850421818,26350.475898151926,24210.667031878882,34953.610005352224,31780.238592015838,28958.24417289438,26490.960906626555,24345.583596262997,35066.32609854201,31908.855660435947,29093.517728248604,26626.273346180722,24476.506461995923,35173.01775803705,32031.264400776683,29222.999149413557,26756.5728299476,24603.39093366992,35274.21057635187,32147.93287332145,29347.03709510494,26882.057254904194,24726.27214418109,35370.3708993191,32259.2891124567,29465.967916673464,27002.943376909665,24845.235773684944,35461.91327097661,32365.72310101948,29580.110736458028,27119.45457597852,24960.39862159505
9,2021-07-10,38566.99431355109,35056.57473698131,31999.569221737693,29383.11337587002,27153.58587859921,38775.24689313938,35271.09684815388,32197.845492482338,29550.78309083982,27282.417463769412,38969.765009044066,35477.553977037554,32396.250924417807,29727.931336246515,27430.393267504507,39151.090198891,35674.269238157416,32590.467672925366,29907.48883619253,27587.746362146565,39320.17363000607,35860.82073594133,32778.36656230887,30085.50884564555,27748.72596052498,39478.07508312208,36037.39345646679,32958.99115688717,30259.791797063626,27909.882725805146,39625.83310959203,36204.456511058794,33132.02626596721,30429.14750831336,28069.13500369077,39764.41222319859,36362.598144412375,33297.50892987146,30592.982173427812,28225.23727733444,39894.68543117857,36512.44052582297,33455.66663333592,30751.0591010354,28377.466357082285,40017.432878774656,36654.5961733996,33606.82487549315,30903.356250404915,28525.4304440906,40133.347505383696,36789.6465770952,33751.35373790415,31049.97955426345,28668.95001732717,40243.04335294387,36918.13279475084,33889.63692943911,31191.109320258387,28807.981980490003,40347.064453922154,37040.55250280511,34022.054035745314,31326.966719254735,28942.570542192876,40445.89334977235,37157.36046791928,34148.97063286236,31457.792715573054,29072.814984784247,40539.958846875896,37268.97075212712,34270.73312216818,31583.834830032858,29198.848306524356
