,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1519.5507702601133,1224.501506932102,1023.0989296246348,878.6475844332485,770.9560994353633,1546.590513202013,1244.7974782760316,1037.9959085331043,889.2360750084858,778.0658188836238,1572.236083568654,1264.60265546496,1053.0777422465446,900.5280674748698,786.2895487333589,1596.4883140304537,1283.7265382324,1068.0135692120261,912.0850306469636,795.1025188502226,1619.4104500608655,1302.0949312090684,1082.628435162619,923.6551819944798,804.1919815750897,1641.0898471978192,1319.6931616396143,1096.832767064166,935.0920322001602,813.3665798544628,1661.620145404596,1336.5370932395988,1110.5851776371642,946.3107574036312,822.5074016759131,1681.093007884853,1352.657787922881,1123.8719611344488,957.2636949859693,831.5402128778517,1699.5944816322262,1368.0931965221205,1136.6953924700347,967.9260407820183,840.4190557319455,1717.203631469264,1382.8836078648017,1149.0668700792353,978.287235201889,849.1162313735255,1733.9922912861068,1397.069166214363,1161.0028182556093,988.345641807912,857.6160080887963,1750.0253485092637,1410.6885511868275,1172.522207236723,998.1051920038382,865.9105761684465,1765.3612628617418,1423.7783197641147,1183.6450441036377,1007.5732352930615,873.997395837559,1780.0526661243248,1436.3726272723823,1194.3914573489467,1016.7591456055765,881.8774301049756,1794.1469656446734,1448.503164039124,1204.781149685732,1025.6734109692625,889.5539516206437
1,2021-07-02,4060.5488768606856,3348.7563411536585,2842.4643916129558,2468.7851268656646,2184.333629675123,4121.9134626826835,3397.385338496653,2879.5119233429605,2495.834231585522,2202.864539209759,4179.881844494823,3444.6891376096355,2916.928823086815,2524.6288891091795,2224.271819325743,4234.49443792146,3490.2267730731824,2953.8944321159356,2554.044345050676,2247.180682589139,4285.928833107993,3533.837789233171,2989.9803798413095,2583.438028048488,2270.7734346072016,4334.412129862099,3575.5036600141225,3024.9722663052676,2612.4389037254386,2294.5514345208503,4380.180831825604,3615.2773966441177,3058.775742463374,2640.8345982343712,2318.2063385832944,4423.462764999099,3653.2465565101406,3091.3648615713,2668.5080258241796,2341.54700164139,4464.469513899615,3689.5133928324412,3122.7527080338423,2695.400442757268,2364.4562968490523,4503.39394596436,3724.1841252228523,3152.9742645273577,2721.48923823678,2386.864755705087,4540.410174437767,3757.3631983279365,3182.0762351849426,2746.774249473672,2408.7340289335048,4575.674637437963,3789.150321375421,3210.1109343770063,2771.269161365597,2430.046268867473,4609.327626804182,3819.639075019569,3237.132605956409,2794.9960190681927,2450.797182036811,4641.4949328454095,3848.9164026716644,3263.195221657145,2817.981688809705,2470.9914112843344,4672.289442541555,3877.0625953006775,3288.3511917752667,2840.2555609126257,2490.639427247138
2,2021-07-03,7286.835557816638,6126.893373688272,5271.97636800148,4624.762793045781,4122.731518904257,7381.280556471749,6205.337660011406,5333.749137157666,4670.974587147126,4154.98078953047,7470.2275693487345,6281.451444084089,5396.012454751395,4720.093157030246,4192.194445118386,7553.786066427041,6354.544842720838,5457.401772348055,4770.190765384819,4231.969467905517,7632.270634889469,6424.382493937205,5517.212866289175,4820.170952643864,4272.879195956848,7706.065393318663,6490.956765612087,5575.100403957615,4869.404854446964,4314.056257720733,7775.56284341139,6554.373048921523,5630.919376659824,4917.536252446945,4354.966672889894,7841.1369496809875,6614.789839381308,5684.638090098896,4964.3721720692,4395.281525877627,7903.132404430722,6672.3868459023715,5736.288837906551,5009.819171882728,4434.801161647835,7961.861613067631,6727.34795135277,5785.9392466463005,5053.845111940896,4473.408933690486,8017.60529927441,6779.852251162785,5833.675345735134,5096.455651026129,4511.042211997101,8070.614703958811,6830.069563872855,5879.591471453135,5137.679520477879,4547.673796909642,8121.1143708127875,6878.158438855414,5923.784242529379,5177.5591633825725,4583.299779806119,8169.305023891563,6924.265555568278,5966.349003162852,5216.144725410759,4617.931492525018,8215.366304296815,6968.525885069101,6007.377779877053,5253.490177671318,4651.590103100627
3,2021-07-04,11030.543173829717,9426.02230928212,8206.50634174169,7262.361738905841,6517.545115115642,11154.426514327939,9533.197985838839,8293.411642058312,7328.812240497107,6564.704990533469,11270.83032895354,9636.980823294705,8380.86219730178,7399.3510583189445,6619.072473555223,11379.946532466165,9736.452699722404,8466.943455137194,7471.19913255866,6677.120500526118,11482.229579961695,9831.318367761833,8550.676938618262,7542.781852782896,6736.758465827146,11578.218118113846,9921.592111017242,8631.59137835426,7613.201415603534,6796.718736677848,11668.45547601094,10007.43983012663,8709.497362374494,7681.953918114831,6856.223982110914,11753.455347054398,10089.096965870665,8784.363917270017,7748.77066466366,6914.798100367295,11833.688671476324,10166.825115954487,8856.248729216051,7813.525845183429,6972.154536105594,11909.580515397323,10240.889082398735,8925.257751850017,7876.181220091283,7028.128170457601,11981.511551625545,10311.544980756875,8991.521451912991,7936.752186194989,7082.632665800955,12049.82149800345,10379.034436761562,9055.18072952509,7995.286570869494,7135.633155126699,12114.813213619933,10443.582155463813,9116.37858517855,8051.851197120487,7187.128433680069,12176.756825365404,10505.39534923508,9175.255256522025,8106.523294825982,7237.139172942387,12235.893597885386,10564.664167574198,9231.94547431484,8159.384988263596,7285.700028526034
4,2021-07-05,15131.403153165931,13112.313508083864,11534.705565490536,10288.210221498368,9289.514080058392,15279.564416917,13245.302515400863,11645.466065813589,10374.628620417921,9351.81439141998,15418.529088355628,13373.869436173254,11756.765652123317,10466.261088568612,9423.575794148357,15548.573029448095,13496.9007497315,11866.170428326295,10559.48592823007,9500.123978477533,15670.279615499925,13614.05749495691,11972.44706238966,10652.258056407325,9578.69238825326,15784.32606658469,13725.38294034678,12075.01100279342,10743.417492805671,9657.607562132218,15891.38909547517,13831.10546835781,12173.636834573355,10832.318527217776,9735.846932199716,15992.104857053839,13931.536559205837,12268.29991591268,10918.621792893491,9812.787398617711,16087.05420719706,14027.017186330211,12359.087053783243,11002.173414890874,9888.056826313112,16176.759781691242,14117.889696644734,12446.144959226473,11082.932702154612,9961.443522489093,16261.688431879831,14204.483435163469,12529.650057460696,11160.927871515714,10032.839591895245,16342.255870087998,14287.10789474194,12609.790689489895,11236.22844484688,10102.204711289993,16418.8319926315,14366.050006454261,12686.756654977191,11308.92781335143,10169.542543443818,16491.746151273564,14441.573690272224,12760.733173360348,11379.132132731173,10234.885156387882,16561.29204828591,14513.920606297253,12831.897532453342,11446.953229660778,10298.28261397431
5,2021-07-06,19527.41274147114,17126.792032699723,15203.98178824835,13656.499926688024,12398.98202782094,19695.333776728807,17282.568890618797,15336.904032339551,13762.144091021513,12476.25335352332,19852.615361535,17432.966875089674,15470.318120531947,13874.055494154149,12565.19428834466,19999.610713404993,17576.706504391776,15601.30986837862,13987.799203677841,12659.991435877158,20137.015747216836,17713.416949575196,15728.413294218493,14100.878302000547,12757.208528661948,20265.626664063107,17843.173198471577,15850.943233453334,14211.882951969466,12854.771420095482,20386.2337087657,17966.264104383135,15968.645321578158,14320.034017387,12951.416662029087,20499.576674268134,18083.07276362727,16081.504900067204,14424.927270494232,13046.377875412825,20606.329038920318,18194.013967882052,16189.639448869797,14526.384842794512,13139.200522405616,20707.09537433191,18299.50162666795,16293.236680518736,14624.366454690098,13229.629047192744,20802.414691438535,18399.932300780674,16392.51840823956,14718.915148274758,13317.536306837485,20892.76617356364,18495.67751915062,16487.71934284778,14810.123526249885,13402.87848800823,20978.57558031149,18587.080901000423,16579.07471430731,14898.112482083718,13485.66579321258,21060.221515377056,18674.45787983051,16666.813189396125,14983.017697720734,13565.943108585952,21138.041206524314,18758.0967919409,16751.15299976202,15064.981054841488,13643.777114339791
6,2021-07-07,24151.91358184653,21407.844695622476,19159.208091328954,17318.53629767889,15803.044146761795,24335.338312168908,21583.197355485812,19312.21156138731,17442.243516755814,15894.758998690346,24506.959807621643,21752.313080007814,19465.63129690459,17573.182110294976,16000.257284738256,24667.198304317088,21913.774772485787,19616.11972188826,17706.15158810506,16112.622707307322,24816.843346794627,22067.189304475953,19762.00335888546,17838.23154536536,16227.771812135607,24956.788828497385,22212.66353177557,19902.50957538274,17967.77958191952,16343.244457465818,25087.91755328862,22350.542249829345,20037.361355646884,18093.893814017945,16457.546229436808,25211.053406813768,22481.273446886284,20166.556341255528,18216.111730357003,16569.77432902537,25326.944753751362,22605.338136308408,20290.242669175685,18334.235434672562,16679.39664358062,25436.262220138975,22723.2140291338,20408.64768003329,18448.227327627355,16786.117189547862,25539.60284714975,22835.35734894375,20522.03643320815,18558.146427073836,16889.792032979494,25637.496751123923,22942.194502483624,20630.687459874276,18664.108823992294,16990.375625649765,25730.414433283695,23044.119116306098,20734.878685863216,18766.262826696504,17087.885954143552,25818.7738744726,23141.491958707433,20834.879443326794,18864.773228016118,17182.38159023412,25902.94704484321,23234.642358347613,20930.946162152606,18959.81133502318,17273.94641731804
7,2021-07-08,28964.472934794987,25915.033684575734,23362.35690433877,21239.56764385281,19470.333703724787,29159.796071939192,26106.947567762956,23533.30250272717,21380.006039802924,19575.77975638035,29342.405994853,26291.87452655332,23704.57286614388,21528.549154529974,19697.005090208193,29512.777831639763,26468.284412275356,23872.43458695126,21679.286278548418,19826.041727299067,29671.77587863164,26635.768663303366,24035.03127694326,21828.905599109738,19958.1901216579,29820.37134688197,26794.46420590257,24191.514902020164,21975.55104766516,20090.623685724062,29959.519944602183,26944.765842935212,24341.59085531332,22118.209109157982,20221.629631843567,30090.11157833794,27087.178715606766,24485.270164815287,22256.36537554685,20350.176973298163,30212.95326069746,27222.241733856026,24622.730460794766,22389.805369976813,20475.661436452254,30328.76724476967,27350.488131708567,24754.236302361067,22518.49576638659,20597.750155828104,30438.195849311433,27472.425881693227,24880.092934546483,22642.511973290482,20716.2846895273,30541.80887068432,27588.528866079338,25000.619353320588,22761.99323686679,20831.21917076971,30640.111619309573,27699.233881258948,25116.13274275796,22877.11447760788,20942.58018496716,30733.55267365672,27804.940760412945,25226.939706847807,22988.06850944845,21050.440383576148,30822.530969232484,27906.0140986893,25333.331597056404,23095.05480868064,21154.900951975058
8,2021-07-09,33932.08966943639,30615.036078610592,27781.60018368735,25390.04296908384,23373.791408400895,34136.297563063476,30820.736875662034,27968.373388324693,25545.796170133206,23492.138925891162,34327.105278863644,31018.81021067895,28155.37283337838,25710.438037649998,23628.129751621484,34505.03055391886,31207.6341183756,28338.525814178356,25877.40692431972,23772.805208733305,34670.994844290704,31386.789519928698,28515.81645471621,26043.033442383694,23920.886243774123,34826.02816995426,31556.44048167776,28686.332263975506,26205.267337242578,24069.202412316743,34971.14152688101,31717.025249030918,28849.76509419204,26362.994551092994,24215.83675234652,35107.27478742701,31869.098063597754,29006.139568459428,26515.654823845965,24359.63908165539,35235.279280772236,32013.247295268506,29155.660898502112,26663.02005495102,24499.93863560825,35355.91622138934,32150.05344056437,29298.627821539245,26805.062238246774,24636.369171095415,35469.86206019047,32280.06840783674,29435.38217926571,26941.87303563832,24768.759807615897,35577.71647706876,32403.80630506305,29566.27963564277,27073.613984189145,24897.065467393637,35680.0109748745,32521.740444696803,29691.672827694725,27200.485316788254,25021.321793157076,35777.21713717415,32634.30365606766,29811.90193173612,27322.70632125274,25141.615535742014,35869.75415869076,32741.89028425875,29927.289689646725,27440.502970300488,25258.064906799784
9,2021-07-10,39024.13144366339,35477.16941792597,32387.530090494518,29742.43618114985,27487.968986167016,39234.73103074356,35694.11302348949,32588.065513772068,29912.039188831033,27618.303605585035,39431.43512159003,35902.89581279029,32788.727864325076,30091.227370039214,27768.004115913904,39614.79247009139,36101.82253428574,32985.15024134753,30272.849741999835,27927.18922900986,39785.76593287848,36290.46713751942,33175.17953189496,30452.914121075173,28090.040933245153,39945.42804563353,36469.017268119875,33357.848783058085,30629.19577419072,28253.06968177924,40094.82973103329,36637.94784007454,33532.839592777564,30800.491044536393,28414.169655132795,40234.9469171267,36797.854176151726,33700.18977701025,30966.199540100042,28572.080968858947,40366.66289305717,36949.36584139778,33860.12972999598,31126.0820929071,28726.072175323516,40490.76695726647,37093.10258287962,34012.9889392645,31280.116642657402,28875.7470844998,40607.96015313012,37229.65271948882,34159.14194661311,31428.41055632085,29020.92425309055,40718.86368374865,37359.56363943388,34298.977043619365,31571.146410860005,29161.56024235394,40824.027910353194,37483.33882435823,34432.87832263749,31708.54809601698,29297.699923537944,40923.940974994075,37601.43833207428,34561.215681475536,31840.8595032626,29429.44387035529,41019.03665042876,37714.28103143489,34684.33960293787,31968.331138141286,29556.92675240937
