,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1051.3828417965585,840.9534370520769,699.1663838721814,598.3605481966758,523.6762911231488,1070.8348550793673,855.3236417046897,709.6039557455405,605.7251166952822,528.5947448779864,1089.310494010009,869.3610324310853,720.1790719361496,613.5832511755391,534.2859933751128,1106.8062690792437,882.9293587907839,730.6597923264035,621.6303446687124,540.3875670050678,1123.3639943497517,895.9745005139224,740.9229998641335,629.6912570740102,546.6833251607044,1139.0433435006787,908.4845146967685,750.9052417906843,637.6638675470941,553.0408963574853,1153.9090091042867,920.4692113122243,760.5767945001918,645.4888463025127,559.3779088608545,1168.0247008257932,931.9493232446308,769.9273572093504,653.1326750857753,565.6428375809837,1181.4504604366896,942.950622791113,778.9578799568103,660.5777334509063,571.8036912893078,1194.2416169004932,953.5006866926046,787.6757681941871,667.8163252233635,577.841102280685,1206.4485535061685,963.6271214480795,796.0920122446,674.8469856121868,583.7439850741033,1218.1168674540813,973.3566112923459,804.2194461517703,681.6721506015199,589.506744162603,1229.2877059695982,982.714436182484,812.0716850114426,688.2966620116122,595.1274423956509,1239.9981674774147,991.7242599175943,819.6624777685654,694.7267969557091,600.6065797056245,1250.281711104186,1000.4080728748896,827.0053181447786,700.9696327206776,605.9462678480767
1,2021-07-02,2842.0280227184567,2320.658647834446,1956.235462216376,1690.5538165971236,1490.1306255076227,2887.4361119911264,2355.9094901371327,1982.7101979086374,1709.6844035687113,1503.1351110430821,2930.406254772525,2390.246275947759,2009.4763921374145,1730.0649731595195,1518.1661900419601,2970.955996766886,2423.3446014405404,2035.9469775394878,1750.901408654776,1534.2611595857816,3009.205787707982,2455.0828033713724,2061.8138255900103,1771.7390877437304,1550.846951259613,3045.314365777599,2485.442295952905,2086.921206250271,1792.3146645895029,1567.573613999475,3079.4489790377197,2514.4568426208366,2111.1991037999915,1812.476662887937,1584.2243041963545,3111.77179785548,2542.1858209263655,2134.626509526594,1832.140887326938,1600.6642008219887,3142.43409812659,2568.6998184063955,2157.210517330268,1851.2644162132324,1616.8103300664272,3171.5742308868216,2594.0728030614214,2178.97410620682,1869.8299559629213,1632.613140762495,3199.3174264246313,2618.377898855533,2199.9488649056652,1887.8361904021617,1648.0449395055198,3225.77645391553,2641.6851778635732,2220.170608697119,1905.2917074836857,1663.0924618434192,3251.052639828745,2664.060594116194,2239.6767278376687,1922.2111175778234,1677.7520074785696,3275.236993694768,2685.5655656031267,2258.50459200034,1938.612544542758,1692.0262034311204,3298.4113170385467,2706.2569210690517,2276.690607577598,1954.5159929744593,1705.92182242422
2,2021-07-03,5188.06685032391,4311.787771619928,3679.105008421396,3207.2880546026436,2845.4330613441466,5260.197940145689,4370.308878609814,3724.4092892775034,3240.750054730661,2868.556946168861,5328.257912032334,4427.1791911843675,3770.128945733423,3276.3496597659564,2895.258202878024,5392.308265998013,4481.874456938305,3815.261645873977,3312.693744422391,2923.818310664253,5452.569895481572,4534.208525073559,3859.286557084321,3348.987849990132,2953.2159026304676,5509.319880313595,4584.1656418337825,3901.9450908595727,3384.774486983825,2982.828908458562,5562.844536833864,4631.815415342288,3943.1254838067684,3419.7928857140782,3012.273354236294,5613.41844558602,4677.268238576422,3982.7993846810527,3453.90027202926,3041.311823469018,5661.2958356623585,4720.65144746788,4020.9858398477522,3487.02599320001,3069.7993847676116,5706.70791378693,4762.096493235388,4057.730320833996,3519.1439622624757,3097.6505903173247,5749.863018238034,4801.7321248859835,4093.0922940800315,3550.255695270668,3124.818778262854,5790.948046859763,4839.680912869226,4127.1377775279,3580.379664272976,3151.2827933559524,5830.130381836982,4876.057648811603,4159.934874228685,3609.544514512872,3177.0383045334534,5867.559924790322,4910.968798712331,4191.551114563968,3637.7846981569096,3202.092039303521,5903.371056520298,4944.512539650795,4222.051911518542,3665.1376472869174,3226.4579070501773
3,2021-07-04,7937.242785281343,6699.470026578052,5779.030080630891,5078.141502912224,4532.25860841914,8033.71144366856,6780.965497727599,5843.92095018925,5127.0659938443105,4566.598360253428,8124.5212073179655,6860.006082230286,5909.303564925693,5179.052918817242,4606.215739162007,8209.791849047124,6935.879271721324,5973.745541901247,5232.060351266204,4648.549888185663,8289.85149656705,7008.34497146395,6036.509268932812,5284.927928138546,4692.081038111715,8365.098102720454,7077.399339914364,6097.234466691651,5336.991033227117,4735.885798769109,8435.937128827989,7143.155447260673,6155.771253048326,5387.873977010772,4779.396225112785,8502.754226450596,7205.781008786379,6212.088585968952,5437.373948093656,4822.262936814666,8565.904439153017,7265.46529710271,6266.222393410972,5485.393450439268,4864.274263958861,8625.7092642942,7322.40150244297,6318.245466500248,5531.899776152784,4905.306920704931,8682.457385586004,7376.777486371774,6368.249691146405,5576.900104476834,4945.295093535475,8736.407010298668,7428.771175627855,6416.335467061735,5620.425909632286,4984.210630933442,8787.788786512689,7478.548542397986,6462.605405747555,5662.5230574558,5022.050109833214,8836.808799144514,7526.263022311544,6507.160619288883,5703.24545422302,5058.826262700874,8883.651410131362,7572.055717227546,6550.098597006736,5742.650953828208,5094.562226119947
4,2021-07-05,11007.727210501815,9417.913511936209,8203.470904610596,7260.770865719505,6515.978647531563,11125.30469834323,9520.98331043162,8287.704626532315,7325.509450713768,6562.088445505206,11235.777561846335,9620.784497308969,8372.462157896272,7394.227650577694,6615.24323071844,11339.32906290337,9716.43508577937,8455.888249366008,7464.217934054414,6671.9940517866835,11436.391410696422,9807.65204001223,8537.035121565388,7533.946521159237,6730.29681033671,11527.476522686435,9894.44986277968,8615.446615366474,7602.5391322826235,6788.912259103298,11613.10060474113,9976.98872456999,8690.939703742413,7669.505267236337,6847.080628501175,11693.751617217074,10055.495547100729,8763.484847291289,7734.5835518854665,6904.3367013383,11769.876854574562,10130.222303541514,8833.138360695764,7797.651774833352,6960.400583256521,11841.880005481662,10201.423965649858,8900.003270426327,7858.672991708844,7015.111092779909,11910.122574609359,10269.347085936206,8964.206301095628,7917.66246649404,7068.384048891081,11974.927158039854,10334.224230743244,9025.884238823404,7974.667016226667,7120.185566718891,12036.581339848473,10396.2716537075,9085.175863583476,8029.751927417001,7170.514646635179,12095.341615189442,10455.688754387069,9142.21724331278,8082.992593824784,7219.391652888419,12151.43706815752,10512.658498405473,9197.139080698047,8134.46915086758,7266.850599930313
5,2021-07-06,14331.719402660374,12410.440358721498,10905.638219883262,9716.408174520468,8764.142394007346,14466.808562393677,12533.000326239817,11008.273018318801,9796.729637681834,8822.150994652693,14593.543960541496,12651.510217998102,11111.425761443918,9881.909318711934,8888.97590584561,14712.171114629651,12764.940902630164,11212.840606694128,9968.582108919241,8960.266655834832,14823.21673491823,12872.976785092927,11311.373247904732,10054.847075601754,9033.447963129198,14927.29397611197,12975.65468711108,11406.480220520496,10139.625330486158,9106.961650689378,15025.016326137002,13073.182351421958,11497.950804865095,10222.315694501025,9179.855205651158,15116.960966162273,13165.844463155618,11585.760420484916,10302.601625336405,9251.547859901733,15203.655209170325,13253.95323343077,11669.987913678937,10380.338991391422,9321.692429215582,15285.57373121314,13337.822449041052,11750.76781201408,10455.488916285589,9390.09109319592,15363.140704751067,13417.754183528205,11828.26234678373,10528.0766503475,9456.642691023044,15436.733963503591,13494.032444638618,11902.644948509129,10598.165923671451,9521.309012578964,15506.68979915693,13566.920641675051,11974.090541473513,10665.842740681337,9584.092847857322,15573.307722595682,13636.661140616005,12042.7699315634,10731.205054528422,9645.023483919418,15636.854891134171,13703.475930248702,12108.846685153429,10794.356167685908,9704.147013144146
6,2021-07-07,17848.529895929452,15624.479578602526,13840.759328524393,12406.936764598515,11244.079279233012,17997.450870428118,15764.020166025131,13960.347893180206,12502.154697836417,11313.766419939942,18136.994665826285,15898.792515073155,14080.418150833315,12603.048557831404,11393.994428843149,18267.463187620084,16027.644210884848,14198.346696752667,12705.623186508572,11479.524666117088,18389.463900563696,16150.236393657162,14312.811125044012,12807.627446147491,11567.259530554466,18503.694919410602,16266.630012378253,14423.190904970319,12907.788662589459,11655.32821312288,18610.850595497195,16377.078333203734,14529.253098588819,13005.402059483145,11742.590138173484,18711.58180435769,16481.91982719634,14630.980712995468,13100.100625476714,11828.352569762377,18806.48163972752,16581.522086629182,14728.47602802358,13191.721440413878,11912.203831591405,18896.082911286772,16676.252554602925,14821.90492074645,13280.225769649407,11993.91167867999,18980.860945927252,16766.463681581154,14911.464339066628,13365.650195328486,12073.359739464177,19061.23853903247,16852.485956566037,14997.363189908265,13448.076197095555,12150.506901142662,19137.591528183384,16934.625253452945,15079.81116174935,13527.610974121502,12225.360892402447,19210.254268263205,17013.162519305017,15159.012312499843,13604.3752598193,12297.960853836597,19279.52469134676,17088.35469542082,15235.161548772736,13678.49556176937,12368.365710661303
7,2021-07-08,21521.258970287672,19025.605612791325,16978.201309960048,15305.543126412396,13932.38858233653,21680.754910124695,19179.61983057109,17113.11673402062,15414.745902492226,14013.334675718925,21830.06964423962,19328.22697917432,17248.4569894644,15530.373963947466,14106.47223960655,21969.55258953397,19470.173197223885,17381.267658929322,15647.839534462995,14205.703547725721,22099.87664488468,19605.10353198487,17510.06772075391,15764.56340201764,14307.42665584152,22221.80787662778,19733.102905114243,17634.16966261249,15879.092509759263,14409.46973510331,22336.104854504152,19854.466336651698,17753.323072675128,15990.62668331743,14510.511894771318,22443.476700302377,19969.58063623939,17867.520198451806,16098.753430681561,14609.753721984718,22544.568311497245,20078.86268117992,17976.88660519255,16203.293998053645,14706.722718974728,22639.958144675784,20182.727373930986,18081.618331507147,16304.21143457449,14801.15478604733,22730.161592902663,20281.571530438145,18181.945272060133,16401.55443749366,14892.920144974112,22815.63658980394,20375.76643679421,18278.109737855557,16495.42245360724,14981.976041221185,22896.789817591787,20465.65513577931,18370.353978248037,16585.943721639193,15068.336011890859,22973.9827594125,20551.552264767735,18458.913074032873,16673.261356231676,15152.049635585767,23047.537267553133,20633.745223850143,18544.011080793243,16757.524514542674,15233.189044875366
8,2021-07-09,25320.021222529587,22585.194068333247,20291.92103763523,18389.008409464048,16808.498241955618,25487.311683064818,22751.284849646876,20440.46430024442,18511.145586340783,16900.144626142108,25643.81772680847,22911.41690079253,20589.363165314528,18640.386098280767,17005.540948630125,25789.926082713715,23064.25433154791,20735.369943224956,18771.59317949169,17117.770635547797,25926.35977752687,23209.431427391148,20876.864481813067,18901.88479935375,17232.751781636794,26053.9364835243,23347.055529211662,21013.10183200638,19029.642367675697,17348.02682789935,26173.463305346453,23477.458579265694,21143.818094080507,19153.979028939248,17462.104385982544,26285.693240235134,23601.069472737523,21269.01559206037,19274.44180355548,17574.084760877824,26391.31010912422,23718.34766573453,21388.842231286937,19390.838786058437,17683.438820396106,26490.926594737655,23829.748862472636,21503.522281749436,19503.136036121305,17789.87333772971,26585.08807841592,23935.70788696005,21613.31614154171,19611.394669975143,17893.24687185041,26674.278752454957,24036.63088045191,21718.496851020765,19715.73182088155,17993.516097279626,26758.928316684698,24132.89256927669,21819.33648280975,19816.296120472503,18090.70096472242,26839.41847255058,24224.83625346862,21916.098439753612,19913.25219512921,18184.861771604465,26916.0888786169,24312.775202272653,22009.03331973926,20006.770853713657,18276.083911979284
9,2021-07-10,29234.217335792666,26290.532500218153,23769.136318760997,21645.329675331963,19861.477839739597,29407.25766100828,26466.66187452125,23929.74556711818,21779.371967453848,19963.238049521944,29569.071770770435,26636.365229879142,24090.637062554073,21921.13072961145,20080.213258427477,29720.073537217595,26798.23983619215,24248.30420107728,22064.96329197301,20204.711084783172,29861.02259219148,26951.912369960795,24401.00493368399,22207.709393441874,20332.195496839176,29992.774335974467,27097.50999878198,24547.944871248463,22347.599068510466,20459.939171654893,30116.171375467264,27235.396367939746,24688.849526371283,22483.66683825568,20586.29027328599,30231.998812335354,27366.0361955251,24823.731365822892,22615.4236277516,20710.25520132684,30340.968955014436,27489.925019412647,24952.75914171662,22742.66652824358,20831.25222107358,30443.719540413258,27607.553021028914,25076.18303636899,22865.36537012724,20948.961480783073,30540.817905394757,27719.387074122926,25194.29123484271,22983.5935884799,21063.23136419753,30632.767470098788,27825.86266289109,25307.384644273938,23097.48537450717,21174.018781503775,30720.01479143977,27927.38115027398,25415.76229841494,23207.20880772083,21281.35044330027,30802.956380051804,28024.30990504339,25519.71314413686,23312.948901308446,21385.2974002556,30881.94493892229,28116.983896990267,25619.51167322456,23414.896899573283,21485.958131769115
