,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,894.5515544598194,713.9320109620833,592.6939509907053,506.7187533011784,443.1384554938624,911.2903302232555,726.2401387039954,601.6063536426401,512.9937035318192,447.3226224206294,927.1956578905784,738.26690241835,610.6382091023625,519.6902563068962,452.16474096295735,942.2635108710971,749.8952640671794,619.5914408399871,526.5489737892891,457.3565955297146,956.5289457494805,761.0784745566727,628.3607902485379,533.4206248864845,462.71436776152177,970.0425151738332,771.8059171376369,636.8919047846539,540.218140658076,468.1254506814066,982.8592146259571,782.0856387112184,645.1592240173236,546.8908873273192,473.5197433356451,995.0333034744858,791.935081694233,653.1537787880503,553.4102148344189,478.8533709929731,1006.6159780444725,801.3760448657698,660.8762199618858,559.7610184335587,484.0990696085399,1017.654457012774,810.4319095594971,668.3327260512485,565.9366533607416,489.2403120583934,1028.191767613621,819.1261154884472,675.5325522921779,571.9357904204834,494.2676177566986,1038.2668717192537,827.48134105091,682.4865430635307,577.7604309918524,499.1761788099398,1047.914945809419,835.5190865048453,689.2062232022067,583.4146333524909,503.96430261595225,1057.1677185942522,843.2594889401794,695.7032439516262,588.9036854475603,508.6323732289021,1066.0538172245942,850.7212701382339,701.9890493417735,594.2335632588015,513.1821493438081
1,2021-07-02,2434.336381834553,1981.8278298678667,1667.168066659033,1438.59752064747,1266.6277771427501,2473.870360043587,2012.3314870401266,1689.9808273749784,1455.031634774234,1277.7736766995306,2511.3011257178514,2042.0560823565552,1713.051715946075,1472.5434454900485,1290.6585541888776,2546.640810089109,2070.7197053266113,1735.874722331239,1490.4511182760782,1304.4578219200178,2579.991484189991,2098.2157255765956,1758.1838370162545,1508.3640742106347,1318.6805093041476,2611.4889704465795,2124.526753966553,1779.8442385292483,1526.0558554478432,1333.0266776767244,2641.2768928526107,2149.6808228750483,1800.794942723055,1543.3960179798269,1347.3103618213881,2669.494795646404,2173.728272611945,1821.0172241995188,1560.3118864318612,1361.4158397633985,2696.273023935769,2196.7292839806114,1840.51662514361,1576.7662435651148,1375.2718020661903,2721.7309059328477,2218.7470904935367,1859.3124345985339,1592.7439057624895,1388.8355791529475,2745.976539819964,2239.8443072170976,1877.4314189263932,1608.2434397878787,1402.0832398237176,2769.1073328412235,2260.0810047892683,1894.904040983353,1623.271947996294,1415.0032298368042,2791.2108592827003,2279.5137727105,1911.762170109933,1637.8417336484729,1427.5922051242383,2812.3658173685894,2298.195345258273,1928.0377017265214,1651.9681442336,1439.8522585524136,2832.6429759425805,2316.174544794146,1943.7617397078009,1665.6681668261501,1451.7890501299908
2,2021-07-03,4461.138116030658,3694.88813668112,3144.949619807489,2736.6208617658967,2424.479508107928,4524.408675240923,3745.872078235758,3184.224775787966,2765.523210927566,2444.3962448516845,4584.14080728793,3795.4399797470087,3223.873932018391,2796.280035563793,2467.3985734970724,4640.382901694177,3843.132739878844,3263.0277807531807,2827.688738394456,2492.007446734685,4693.323832772311,3888.7855547159334,3301.233736116728,2859.063002523536,2517.3435580060495,4743.202524989251,3932.3821880578553,3338.266310190279,2890.0071606735146,2542.871088692729,4790.266712728968,3973.981025931757,3374.027272679425,2920.295282781085,2568.2590568206188,4834.754443504194,4013.676274067233,3408.4907775797715,2949.8033016069885,2593.3025912027847,4876.886417593499,4051.57717566812,3441.6721826428657,2978.469454057877,2617.8764282457646,4916.863553571852,4087.796808042224,3473.6098794716463,3006.270512429446,2641.9065278271214,4954.867046348529,4122.446110921436,3504.3545146641013,3033.2071471745353,2665.352268850462,4991.059556798738,4155.630826577114,3533.9625277572113,3059.2947350020972,2688.195023555572,5025.586849217241,4187.450077539985,3562.492267596152,3084.557499407905,2710.4306848507326,5058.579535496229,4217.995865764883,3590.0016762945606,3109.0247358511615,2732.0647021773234,5090.154761266597,4247.353083811284,3616.546938760004,3132.7283652550836,2753.1087422072433
3,2021-07-04,6853.175992721319,5762.800267411301,4957.250293696581,4346.857020745571,3873.247841502862,6938.407879653394,5834.288470482471,5013.864510746682,4389.363692422505,3902.9858529513085,7018.683893415086,5903.655929008502,5070.929622050368,4434.544486414358,3937.301715720703,7094.102090004115,5970.273941564145,5127.195258263621,4480.626423286001,3973.9796336884074,7164.94561253938,6033.927873677096,5182.016117863888,4526.601110355201,4011.7041501555955,7231.560400103406,6094.610548343535,5235.075736276277,4571.890213632852,4049.675539043741,7294.3000310106945,6152.417754641716,5286.24118622303,4616.166143194562,4087.401486936003,7353.501434919206,6207.493668159945,5335.48335417456,4659.251429801052,4124.578756522416,7409.475201939484,6260.001803034503,5382.831747670248,4701.060130109291,4161.023286090321,7462.5028549891895,6310.109491740176,5428.348243682016,4741.562667221362,4196.6275415222935,7512.837387600439,6357.979722363676,5472.111579501176,4780.764218036463,4231.333784740301,7560.705240078322,6403.767048764868,5514.208104719456,4818.691172292941,4265.116937705177,7606.308805689011,6447.615774974048,5554.726263065444,4855.382525766772,4297.973390892462,7649.82902070708,6489.659406869675,5593.753334462798,4890.884355531617,4329.913581749305,7691.427828238941,6530.020798099599,5631.373563695448,4925.246255581996,4360.9570130556785
4,2021-07-05,9539.889966518036,8130.318783367619,7060.825709304453,6235.00766537732,5585.256925000328,9644.400008719302,8221.282543909898,7134.746000461538,6291.565702035575,5625.39625443376,9742.64621139368,8309.403225585047,7209.155555499702,6351.619443098181,5671.679261777352,9834.782138348519,8393.897540477872,7282.425228942959,6412.804962841086,5721.106308019429,9921.18389625561,8474.510424823224,7353.720782223655,6473.781878559673,5771.898886154269,10002.299799766077,8551.249727122295,7422.638929862009,6533.785050966472,5822.978058282773,10078.583197719496,8624.25241506168,7489.016067432433,6592.3842384357185,5873.681698636362,10150.463362393113,8693.714971195543,7552.82348347789,6649.34927216316,5923.603808809478,10218.334262738059,8759.856553722157,7614.10808625058,6704.571608434027,5972.4996056180335,10282.551789684238,8822.89946842857,7672.958070694158,6758.017314378976,6020.227635452942,10343.434886782212,8883.05902134563,7729.482709938018,6809.69821587556,6066.7135174294335,10401.268354218833,8940.53853950174,7783.800363287627,6859.653858995228,6111.926724676422,10456.306226618273,8995.527259273129,7836.031367401065,6907.940074710756,6155.8654399497445,10508.775191893046,9048.199798680045,7886.293877851026,6954.621662788965,6198.546529115792,10558.877806089742,9098.716486180232,7934.701514145708,6999.767691327772,6239.9988241942
5,2021-07-06,12449.52133404149,10738.899765345459,9407.93549126705,8361.71720617898,7527.58263853069,12569.979163157806,10847.471951680283,9498.355413662208,8432.158861788468,7578.267318585288,12683.04104457611,10952.50330769118,9589.267191621637,8506.884995529565,7636.669373595182,12788.916008697453,11053.076429030018,9678.682060908824,8582.94619303956,7698.991112913357,12888.065213325763,11148.905637120572,9765.588777713963,8658.674740090908,7762.983537481656,12981.028365285074,11240.017858383506,9849.504888676687,8733.122705469363,7827.284950362884,13068.346776912444,11326.592104270883,9930.241098972334,8805.76063586396,7891.062100401043,13150.530481477155,11408.87625782562,10007.772360045934,8876.308591763313,7953.80618313715,13228.045937460181,11487.143247296537,10082.165091949815,8944.637909557647,8015.212350060914,13301.313385618321,11561.667977613857,10153.535136294206,9010.712393657392,8075.106250486199,13370.70860870247,11632.71547382232,10222.023089859045,9074.552281538454,8133.398051420411,13436.566530811362,11700.535175427749,10287.779731531416,9136.211758010291,8190.053019716349,13499.185403635958,11765.35862442292,10350.957434994185,9195.764735263363,8245.072357627263,13558.83097988515,11827.399013025277,10411.705188336398,9253.295782764968,8298.480533836577,13615.740403842714,11886.851725092363,10470.165811151664,9308.894322404662,8350.316811912142
6,2021-07-07,15538.758709070264,13550.723052460677,11966.517061772662,10699.93736917906,9677.289799990545,15671.954444502213,13674.78177744338,12072.269071894283,10783.755734473907,9738.400347814684,15796.817233987173,13794.652423763528,12178.487785855532,10872.5989275727,9808.771899480054,15913.606871306727,13909.30404332494,12282.851605087788,10962.952131798602,9883.814822089049,16022.857914288179,14018.42861592871,12384.187439440035,11052.832918603184,9960.814091823127,16125.18753286032,14122.074056391113,12481.942268574674,11141.118822873785,10038.128787089081,16221.210891388462,14220.460020487977,12575.90586087579,11227.186740307541,10114.757431977247,16311.505403761137,14313.882711703222,12666.059263107447,11310.710775395833,10190.09083527716,16396.59772476505,14402.664959225747,12752.489413269142,11391.544788951454,10263.76611535153,16476.96133033348,14487.130103120346,12835.339921428511,11469.65216070752,10335.577737008605,16553.018874723264,14567.588702286099,12914.782282208138,11545.062810344265,10405.421860747347,16625.146500381572,14644.332251098467,12990.998934102501,11617.846425945256,10473.260768679535,16693.67872904914,14717.630743818754,13064.173330942778,11688.095571074718,10539.099715507777,16758.913284332495,14787.73233280782,13134.484228746078,11755.914939619115,10602.971646809237,16821.115558455465,14854.864093421176,13202.102533107316,11821.414503227403,10664.926997655606
7,2021-07-08,18767.756071711876,16530.33520263933,14705.875251456879,13223.250502186553,12011.566486105203,18910.666334029225,16667.614944809728,14825.529981290694,13319.67190279069,12082.76607954282,19044.506626361395,16800.12779763273,14945.605668217915,13421.798631933221,12164.709481202171,19169.579979868144,16926.74940850523,15063.480085907726,13525.582097034669,12252.038101725095,19286.48073782874,17047.15632586778,15177.835632518736,13628.743980249961,12341.585207889204,19395.88824245872,17161.417711976246,15288.057836028398,13729.998789896737,12431.440002186207,19498.476460885307,17269.79081103467,15393.919951098602,13828.636898633196,12520.439107302747,19594.876170088235,17372.615524352103,15495.41080904697,13924.290867188678,12607.877333466244,19685.6615052194,17470.25932644048,15592.637948514737,14016.79976222976,12693.336867128744,19771.347793694484,17563.0886048721,15685.771891701152,14106.128094170997,12776.583206756033,19852.394435096172,17651.454197560095,15775.013639293154,14192.316276794603,12857.5001031906,19929.20980575403,17735.6846653629,15860.575609858015,14275.449818022207,12936.048004481501,20002.156728849583,17816.083793037204,15942.670523315022,14355.639918267052,13012.237042828407,20071.557824443178,17892.93037688775,16021.505049887828,14433.01116075707,13086.109224826667,20137.700441052053,17966.479209499583,16097.276346088007,14507.693686638364,13157.726561153626
8,2021-07-09,22114.584243037436,19656.30444486432,17606.516900091752,15914.399830135499,14515.26737848184,22264.709162231786,19804.688373160967,17738.611100391605,16022.54821076054,14596.11099218494,22405.207447639204,19947.80207522498,17871.068137697057,16137.02143655013,14689.10660116783,22536.41629447346,20084.445169924456,18000.997751918494,16253.273424025003,14788.158418654639,22658.976139501116,20214.283710962376,18126.954782316792,16368.751079359963,14889.667336270777,22773.613849299938,20337.40694116348,18248.27171877596,16482.018390180052,14991.464891584694,22881.048125216344,20454.10560128072,18364.70892329365,16592.286625356897,15092.233721259461,22981.950207484544,20564.757914170237,18476.263903618183,16699.151120439168,15191.177855535176,23076.93014368439,20669.770197355276,18583.064136699544,16802.4385325844,15287.828018986216,23166.534851264914,20769.54610462665,18685.30552622517,16902.115662133812,15381.923050335034,23251.25141699726,20864.471218527044,18783.216587709234,16998.233792928542,15473.335807048134,23331.512467618144,20954.905984014695,18877.037512678136,17090.89412740708,15562.02587377431,23407.702088722814,21041.183184990718,18967.008011442515,17180.22605928086,15648.008849416583,23480.16158108414,21123.607864623184,19053.36041202887,17266.37341979579,15731.336121838052,23549.19474867912,21202.45851436526,19136.31593595715,17349.485760567368,15812.08140682035
9,2021-07-10,25562.907632977072,22912.135432475836,20653.103957544914,18759.592102336966,17176.150222870663,25718.275804205165,23069.715196962552,20796.20965903575,18878.54844553576,17266.127970996127,25863.61325322698,23221.597836228855,20939.61430853821,19004.38980725551,17369.58380817158,25999.282130110434,23366.521506260877,21080.19111982735,19132.11098593407,17479.721953359236,26125.95643169212,23504.145073134285,21216.383319288907,19258.9061070468,17592.533315856705,26244.39758132065,23634.575757664716,21347.47788678396,19383.20138591665,17705.60566784734,26355.356781844286,23758.133192499256,21473.225156082266,19504.13631558795,17817.47646233509,26459.53465433885,23875.228297210666,21593.631567458597,19621.27306695895,17927.26458057559,26557.567310396124,23986.300348860117,21708.843344501067,19734.42793952983,18034.45288572577,26650.02458537199,24091.784511704187,21819.0798035198,19843.570825853916,18138.755827345078,26737.413645788554,24192.095671595875,21924.594621828142,19948.76390200492,18240.03675378883,26820.184700580252,24287.621110267613,22025.65325869862,20050.12360311991,18338.25517217173,26898.73724734674,24378.71797948683,22122.51989371762,20147.79676018968,18433.43252655438,26973.4261245817,24465.71334601719,22215.450054436096,20241.945525151485,18525.629685989556,27044.567059115376,24548.90556178987,22304.686675615078,20332.737841604754,18614.931981148246
