,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,821.320371737045,654.7104293575869,543.1028082122253,464.06525502998454,405.6725193071537,836.7816100344935,666.050969655057,551.3011493289625,469.8308470275925,409.513816567883,851.4763136288356,677.1340758699009,559.6103573151739,475.98433970845304,413.95940958132053,865.4002624470089,687.8517448987316,567.8482118867256,482.28740443308016,418.726408155808,878.585384752628,698.160709444387,575.9178232697852,488.60292196404015,423.6460834544285,891.0779844620353,708.0509975309748,583.7691095584989,494.85086298289406,428.61505728498037,902.928529827823,717.5298493598092,591.3784699500357,500.9846636167468,433.5689600326529,914.1868628085219,726.6131815716303,598.7375688359095,506.9779548374711,438.4674917096759,924.9000417083887,735.3209443237536,605.8469263118835,512.816813221294,443.28559846200216,935.1114888303078,743.6745640465732,612.7121548418755,518.4950905909977,448.00808252437787,944.860786451704,751.6955370598646,619.3417047954974,524.0115258544085,452.6262156340355,954.1837877871428,759.4046722359701,625.7454956154959,529.3679215313645,457.1355604558916,963.1128710515757,766.8217049875759,631.9340793246407,534.5679735207053,461.53454117482977,971.6772476185481,773.9651250388732,637.9181301560462,539.6165108667781,465.82349013806095,979.9032787679215,780.8521269036726,643.7081369847843,544.5189978679923,470.0040033803735
1,2021-07-02,2239.906507184803,1820.6036546828059,1529.8375448117056,1319.0328915416892,1160.655202444547,2276.5986113135773,1848.8226554791415,1550.8941759332222,1334.1771657669988,1170.9137329229893,2311.3482751920856,1876.3268266251382,1572.192512285627,1350.3164770389446,1182.7737917647678,2344.165206565868,1902.8547850093144,1593.2654261058635,1366.8226786715156,1195.476700005047,2375.1427580067398,1928.3072209293932,1613.86713914868,1383.3358294572613,1208.5706719312952,2404.405811860597,1952.6674035754866,1633.8728975267761,1399.6471319598077,1221.7796474666834,2432.0866845666797,1975.9606814999154,1653.2260900342412,1415.6362235616714,1234.9324116199543,2458.3140742469777,1998.2331107383761,1671.9091258886433,1431.2359618357586,1247.9223722524218,2483.2082822779394,2019.5399197552742,1689.9268393184116,1446.4118804566494,1260.6838016582687,2506.8795016013046,2039.9392238654264,1707.2967821337481,1461.149826094929,1273.1773288158352,2529.4275979166164,2059.4886214061316,1724.0434366220427,1475.4483288616937,1285.380831423791,2550.9425926874555,2078.2434044323336,1740.194723862098,1489.313798008702,1297.2835837297598,2571.5054452838913,2096.2556852099406,1755.7798874499251,1502.75744896494,1308.8824228400288,2591.188929639363,2113.5740440494906,1770.8282166402876,1515.7933152196965,1320.1791967884647,2610.0585035942922,2130.2434716215375,1785.368289040938,1528.4369529551786,1331.1790435863788
2,2021-07-03,4115.263721139303,3401.9700773629756,2891.698415585076,2513.718646300442,2225.291199208475,4174.261987438174,3449.335869887858,2928.088541634666,2540.444283828158,2243.6796536470392,4229.977227362152,3495.3972991380247,2964.8322147559165,2568.8888432597996,2264.91914106123,4282.4517620658235,3539.7266519173654,3001.1238010570164,2597.940650440093,2287.64467456709,4331.85924828988,3582.1694954520403,3036.543424123842,2626.965020591589,2311.0446237765746,4378.420398560382,3622.7094793686088,3070.8814986770167,2655.5958254663437,2334.624273054582,4422.364497012815,3661.399707588877,3104.0463345730573,2683.6238012318277,2358.0779058575145,4463.912101071778,3698.326706438875,3136.013345147193,2710.933847738782,2381.2161788764765,4503.267846532388,3733.591111867019,3166.796177950474,2737.468481663977,2403.9232223127633,4540.6181313550605,3767.2972472128363,3196.4298854255107,2763.2058740508,2426.1304540757533,4576.131131034262,3799.5475591098134,3224.960936495032,2788.146322608316,2447.8001529429225,4609.957876158448,3830.4397590535586,3252.4412245363005,2812.303754260245,2468.9149155923014,4642.233753652779,3860.0654878778596,3278.924463228304,2835.700306560538,2489.470760155997,4673.080112555113,3888.5098381668436,3304.4640346159745,2858.362835385862,2509.472543943972,4702.605819711086,3915.851354160844,3329.111732160227,2880.320650338928,2528.9308802418736
3,2021-07-04,6333.673144013744,5315.071455674089,4565.171493752672,3998.445259152685,3559.6115199703204,6413.416243158863,5381.7010927980855,4617.784842932891,4037.8596122084823,3587.137718673212,6488.544445778782,5446.370421491299,4670.82814247059,4079.7602504303404,3618.9050130841706,6559.14563677993,5508.49163633934,4723.139047752909,4122.503724080687,3652.863356445091,6625.481364626748,5567.862688371747,4774.11697932542,4165.154880169417,3687.795459417099,6687.872477233127,5624.4749925842425,4823.466771635066,4207.177009468174,3722.9610400403762,6746.647468648366,5678.416135860268,4871.063813250827,4248.265764279396,3757.904164274776,6802.119680230149,5729.8190274795115,4916.880035109096,4288.255956325797,3792.343811379761,6854.578159276373,5778.8348140165745,4960.941942426169,4327.0672772937405,3826.1092317676807,6904.285041743824,5825.618390843626,5003.306225856524,4364.6717229747355,3859.100505173078,6951.476001120857,5870.320768459454,5044.0453450058685,4401.073563899666,3891.263816248865,6996.362053252884,5913.085236119032,5083.238925704139,4436.296792451066,3922.575602893766,7039.131865728387,5954.045647799535,5120.9686219157265,4470.377140956401,3953.0322015706784,7079.954152843664,5993.325892357594,5157.315078032475,4503.356955554071,3982.642979075071,7118.979958122067,6031.040013620799,5192.356180415685,4535.281886935555,4011.4257209059815
4,2021-07-05,8826.03522186218,7506.21461384688,6508.351839532414,5739.979470895585,5136.750910922324,8923.995196998607,7591.166337464817,6577.183863286537,5792.52094921953,5173.969510311315,9016.108749603985,7673.483199457008,6646.485964208534,5848.319189323789,5216.890105095283,9102.515298354285,7752.431299185143,6714.74062874556,5905.178869950654,5262.732667930731,9183.563467340122,7827.769862546196,6781.1698203958495,5961.8545966345,5309.848555698852,9259.670220254397,7899.503806167491,6845.396558193602,6017.634914147695,5357.2372657404985,9331.257831309036,7967.758904479947,6907.267038464961,6072.119291466123,5404.284492359546,9398.72650597755,8032.7168070674115,6966.753161488493,6125.09301217747,5450.613279580656,9462.443767550749,8094.580616326646,7023.89737728901,6176.454370347655,5495.996100819322,9522.741778178206,8153.55661836624,7078.780724269273,6226.171030033834,5540.3012341650765,9579.918334190632,8209.84477202212,7131.504005717729,6274.253236555305,5583.459170606517,9634.239442364136,8263.634026513593,7182.176611073641,6320.737062334711,5625.441098529156,9685.942444482944,8315.10032095132,7230.909882348487,6365.673781329673,5666.2448672995715,9735.239188865227,8364.406067203052,7277.813227901842,6409.123067305794,5705.885691845141,9782.31901738866,8411.700436499877,7322.991916575131,6451.148620951097,5744.389923456612
5,2021-07-06,11532.13275504859,9926.486720267445,8681.632804169181,7705.922684483082,6929.814764722069,11645.277083756457,10028.109603499188,8766.014798495658,7771.500403042652,6976.905485264079,11751.501652635212,10126.442148650787,8850.87376947417,7841.078776843012,7031.173490781364,11850.99775807235,10220.62278136844,8934.353060969106,7911.912946939678,7089.092147486131,11944.194219452542,10310.381023985803,9015.507386762843,7982.4500558894015,7148.572505660633,12031.5943811661,10395.739198884321,9093.884663629238,8051.806749702611,7208.349302487451,12113.703761199262,10476.862316445202,9169.306396052098,8119.48901792959,7267.647871903257,12190.999055459351,10553.980208592677,9241.747496595477,8185.235077756165,7325.994805177928,12263.916485589323,10627.346482972962,9311.268414418922,8248.924012222978,7383.106117976648,12332.849228059733,10697.216890915368,9377.97590444082,8310.521067140167,7438.819065817646,12398.148994542196,10763.838187365827,9441.999999006932,8370.044121926723,7493.049459585631,12460.129354469198,10827.442751097775,9503.48039160554,8427.542759948965,7545.764351400327,12519.069620765375,10888.24638620673,9562.558404506652,8483.085026630239,7596.964236578792,12575.218733124053,10946.447869441077,9619.372322800307,8536.748978360345,7646.671284606402,12628.798883152585,11002.229432361792,9674.054780642604,8588.617269900626,7694.921466583504
6,2021-07-07,14407.981997064875,12538.319211994627,11053.569537177276,9869.953601215644,8916.590295860611,14533.267843000378,12654.638214750272,11152.43983057475,9948.12598731542,8973.46743606942,14650.743121766965,12767.056382479905,11251.767103880284,10030.999116823812,9038.972840621913,14760.646998834281,12874.603851684908,11349.379969831298,10115.295967619182,9108.836985299095,14863.477831434886,12976.988396764467,11444.179815096759,10199.167248997772,9180.533613727514,14959.812461457832,13074.251764236978,11535.647440904784,10281.565018832,9252.53530155956,15050.226535220336,13166.597111239373,11623.584149349956,10361.906780578858,9323.909309231793,15135.26076691915,13254.299769532954,11707.97023342918,10439.887165339253,9394.087784274272,15215.408594366418,13337.660407694779,11788.885197424244,10515.368501304716,9462.732039551178,15291.113810697218,13416.980499227073,11866.461748340762,10588.315359297307,9529.649832698422,15362.7727062697,13492.549811578207,11940.858869587866,10658.754488829018,9594.74361359189,15430.738062323526,13564.64047046553,12012.245962540139,10726.74985302539,9657.977435967774,15495.323703812717,13633.504637605995,12080.793541817635,10792.386868211985,9719.355420747961,15556.808997774417,13699.37415750456,12146.667872237791,10855.76237318176,9778.907534421449,15615.443024863911,13762.461247332838,12210.028001610597,10916.978227400237,9836.680091868668
7,2021-07-08,17417.52280186645,15309.797582634772,13596.717208837385,12208.605337223258,11076.932347384032,17552.09618308311,15438.70408578588,13708.768973429518,12298.682745619402,11143.309533235553,17678.15584696036,15563.161538055228,13821.237590872508,12394.10650688529,11219.713195193795,17795.981960628018,15682.110716308645,13931.666442534195,12491.095544959744,11301.150205044478,17906.129764817866,15795.244272008842,14038.819553744885,12587.520946816652,11384.669091454249,18009.235323789606,15902.62379510851,14142.119080553177,12682.180524332482,11468.48824043746,18105.93033228864,16004.487900882514,14241.350302004055,12774.409755272452,11551.522293549328,18196.806390169033,16101.1532508986,14336.50056136456,12863.86372922429,11633.112789996123,18282.402226293114,16192.962794263325,14427.668605825402,12950.390517558395,11712.869090296708,18363.20156630318,16280.258804894313,14515.012409966324,13033.955502535184,11790.571453682645,18439.63576908586,16363.369248935767,14598.71872118894,13114.595118062682,11866.110434957729,18512.088385023475,16442.601420179017,14678.98518683661,13192.388070129298,11939.448168335766,18580.900259301532,16518.23955219817,14756.009918613168,13267.437204679887,12010.593193590707,18646.37453220979,16590.54458416813,14829.985520566039,13339.857996467692,12079.583853801192,18708.781253259673,16659.755056553124,14901.095822921669,13409.771226127874,12146.477225600598
8,2021-07-09,20539.03746915939,18220.16356229906,16292.474691995782,14705.588559898712,13396.661728106286,20680.506429024546,18359.65799762638,16416.345599373584,14806.769538317862,13472.14187740497,20812.930045018937,18494.225226340863,16540.580629064356,14913.885840481147,13558.979486829214,20936.62102374987,18622.73324552955,16662.468326356615,15022.685470886596,13651.486003151926,21052.17857177592,18744.864418950478,16780.651239927432,15130.779233645022,13746.30194186644,21160.28410804744,18860.69923523096,16894.500830419882,15236.82220015544,13841.402408745073,21261.612032167937,18970.508039375407,17003.789839878453,15340.074690891204,13935.556537050916,21356.792579750174,19074.64386014167,17108.51359796512,15440.156289229184,14028.019978188055,21446.398775672027,19173.486543060422,17208.789572274454,15536.903072766143,14118.353306514971,21530.94451772102,19267.41378181938,17304.799662170186,15630.28237118807,14206.311410912953,21610.887612224604,19356.786579985386,17396.75659626695,15720.340715013535,14291.774370840216,21686.634776356317,19441.94255911684,17484.884274112956,15807.171499332313,14374.703329124955,21758.547169376132,19523.19354419274,17569.40633807531,15890.894647772602,14455.111826855886,21826.945780461177,19600.825453155765,17650.53967536883,15971.643731721515,14533.046920715087,21892.1163829372,19675.099385144687,17728.490901715828,16049.557800114057,14608.576610698387
9,2021-07-10,23757.183984054405,21254.05050722608,19126.692945064045,17348.29633838995,15864.681102249364,23903.662156854767,21402.324421884798,19261.046170625792,17459.73295495837,15948.802519093335,24040.709033487932,21545.26465131193,19395.70457653761,17577.638439904946,16045.537544292803,24168.661130353572,21681.680330461888,19527.73141308451,17697.32523886782,16148.535765655995,24288.149692529718,21811.246784050476,19655.662762717166,17816.164190256968,16254.049925616493,24399.8891359826,21934.061509648,19778.826530337574,17932.679442170967,16359.824448268795,24504.58489860077,22050.42230610689,19896.9856919618,18046.062986033936,16464.490967794718,24602.895276497635,22160.7133120913,20010.143884739467,18155.9027146292,16567.224397593283,24695.41818888447,22265.345754259408,20118.436252766616,18262.02467107517,16667.539841224127,24782.689424114447,22364.7273408083,20222.066839044095,18364.3989335359,16765.16892808418,24865.18596899783,22459.24699634357,20321.27220371472,18463.082204257065,16859.982567885596,24943.33133612602,22549.26791971596,20416.30019846706,18558.18218981743,16951.941671978813,25017.501407575248,22635.125165013935,20507.397674537246,18649.83523660166,17041.065169446767,25088.03010524678,22717.12564832721,20594.803533472124,18738.192194298346,17127.408960732846,25155.214592794277,22795.549407530514,20678.745002335036,18823.409472958116,17211.05192298672
