,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,876.6403454372356,699.3922715702506,580.4883765629017,496.20253571443476,433.8895605469959,893.0731742098013,711.4666071494519,589.2272678880062,502.35323742224796,437.9898578835196,908.688819015331,723.2654913999554,598.0835965454347,508.9173581519222,442.73500067287523,923.4831701451089,734.6740571801968,606.8631378866397,515.6406128081861,447.8229731114644,937.4905018497816,745.6463825778483,615.4626621509286,522.3767246005077,453.0736497896008,950.7603207593629,756.1719928280496,623.8288484162732,529.040339725262,458.3766812637291,963.3465141042958,766.2587272760965,631.9366060249275,535.5818142692364,463.66336757130017,975.3022632577006,775.9236484696728,639.7771136155569,541.9730513601617,468.89070691774765,986.6777568069696,785.1880987507168,647.350984591194,548.1992311871538,474.0319741573417,997.5192902979145,794.0749786619613,654.6642548017,554.2538270218894,479.07096554665634,1007.8690542983823,802.6072510724139,661.7259793357291,560.1355234246358,483.9983827520588,1017.7652564540446,810.8071364163261,668.5467737839098,565.8462706443682,488.8095068436454,1027.2423949149888,818.6957031464134,675.1379230417675,571.3900361914966,493.50267220631594,1036.3315886407986,826.292685684812,681.5108378173097,576.7719939392614,498.0782487929777,1045.0609163200922,833.6164328093294,687.6767273057783,581.9979931481814,502.5379541786961
1,2021-07-02,2386.6992909615346,1942.1233337018002,1633.2299606857066,1408.9763301593596,1240.325367682286,2425.5583777432794,1972.0777130633232,1655.6171005235492,1425.0960751532996,1251.2541019031473,2462.3531284329515,2001.2688941041586,1678.258632662278,1442.2735062366544,1263.8882463283812,2497.0949848282244,2029.4198588787206,1700.6579653694375,1459.839886203141,1277.4193613213872,2529.8838463511497,2056.42568891923,1722.5539746866639,1477.4121020135428,1291.3660727199742,2560.85285138816,2082.2691069231096,1743.8142568511678,1494.7679920091978,1305.434285522339,2590.142866880171,2106.977457974229,1764.3788645579518,1511.7795581156404,1319.4416403627397,2617.890801972732,2130.6000154397825,1784.2293254978065,1528.3754613173226,1333.2746436860073,2644.2245675824074,2153.1957375664592,1803.370990225316,1544.519142767335,1346.8633452849142,2669.261282013512,2174.8265999792634,1821.8227087840255,1560.1956585076318,1360.1658758639965,2693.107054921117,2195.553988231989,1839.61067807211,1575.4035558070273,1373.1587400922836,2715.8575118086746,2215.4368041436605,1856.7647309480824,1590.149758490295,1385.8305800341595,2737.598632956081,2234.5305437608595,1873.31608814484,1604.4462960481865,1398.1780899507644,2758.4076904208964,2252.886928115697,1889.2960027630656,1618.3081879832869,1410.2032972842746,2778.3541756736,2270.5538459101363,1904.7349570751835,1631.752065736663,1421.9117292567812
2,2021-07-03,4375.9004577856185,3622.2779074560303,3081.913902397353,2680.9723011701244,2374.6381890508087,4438.1576116322785,3672.391492728943,3120.488416507747,2709.3424207557955,2394.1793526230317,4496.938072347422,3721.1166686307397,3159.432439578641,2739.5341485065114,2416.748613876093,4552.288592295065,3768.001801415263,3197.8921142869526,2770.3671422469597,2440.894993651588,4604.394262568846,3812.8844902969017,3235.4227614607544,2801.1677055598107,2465.7558302048533,4653.489541544081,3855.748384176206,3271.8027099272526,2831.5473759743245,2490.8054049020975,4699.817666250575,3896.650519991224,3306.935271545625,2861.2842747205286,2515.718935673181,4743.6124362434975,3935.6831877919653,3340.794862569545,2890.256501526427,2540.2953542117434,4785.090659938465,3972.9535015770452,3373.396385798443,2918.4033145597487,2564.4116906716217,4824.449744929655,4008.5723828487794,3404.7773866290145,2945.7018043935577,2587.9952311533484,4861.867743147261,4042.648685827208,3434.9874660504206,2972.1525285710723,2611.006052553569,4897.504511663632,4075.286184951756,3464.0819324134477,2997.770489623025,2633.425814221746,4931.503316027224,4106.582172456192,3492.117985259922,3022.579383375195,2655.2504270564073,4963.992540156439,4136.626962296192,3519.152438733171,3046.6078930711406,2676.4851832931954,4995.087340362383,4165.50389788038,3545.240393413817,3069.887287202733,2697.1414801140895
3,2021-07-04,6724.818907415034,5651.4596965086475,4859.291365065482,4259.503514583503,3794.402243430962,6808.755154129506,5721.7830695123785,4914.935823427492,4301.254633769032,3823.5965733632515,6887.81760773609,5790.025313452573,4971.026856768184,4345.634440333609,3857.2862313564533,6962.101640404169,5855.567400783168,5026.335407456646,4390.90164011396,3893.296227999883,7031.885051587283,5918.19757192079,5080.226952126278,4436.065726466711,3930.3352589572887,7097.507651697498,5977.908177659505,5132.3901142897585,4480.558504429031,3967.6182071751327,7159.316928695229,6034.792920626684,5182.693907085279,4524.05802206002,4004.661685126016,7217.644106132435,6088.993171405543,5231.109399572447,4566.389767254759,4041.1678933107205,7272.794576469802,6140.669390301656,5277.66530776585,4607.469130932868,4076.9560163080523,7325.045194671397,6189.985852812682,5322.422195006966,4647.266880590193,4111.920365240955,7374.6447910341385,6237.102611894257,5365.457227452397,4685.787935247264,4146.004140845636,7421.816103649245,6282.171467140723,5406.85508185191,4723.058066095542,4179.182613852536,7466.758235549133,6325.334171965424,5446.702518835956,4759.115442281041,4211.452139448949,7509.649196622192,6366.721888370202,5485.08517762138,4794.00520332674,4242.822871848155,7550.648322991966,6406.455325550906,5522.0857338206815,4827.775956798518,4273.313873536202
4,2021-07-05,9361.220148620228,7973.187623687719,6921.104407625935,6109.381856782416,5471.128991486098,9464.155141584748,8062.688629980021,6993.775150262133,6164.946376472143,5510.541756756831,9560.928185134255,8149.398455103382,7066.931327527231,6223.948064065542,5555.988653408173,9651.68916247048,8232.545679657715,7138.971175285037,6284.06474242887,5604.52475477923,9736.807330777954,8311.87855823842,7209.074180921178,6343.979511525457,5654.403885916283,9816.723265941482,8387.404077633857,7276.843428920686,6402.940470459046,5704.5666155211675,9891.882681188477,8459.256350841086,7342.1176318711905,6460.524674598046,5754.362691174744,9962.707726860892,8527.628138420367,7404.868144874239,6516.505722408645,5803.393308187259,10029.585905485817,8592.734596127979,7465.140706108362,6570.776708116762,5851.417941946475,10092.86731524526,8654.794051174153,7523.021686745178,6623.304044067421,5898.29752523478,10152.865744079292,8714.018007547113,7578.618222115657,6674.099119894679,5943.958855947011,10209.861415704163,8770.606237022952,7632.04641867918,6723.200581832293,5988.3718029146185,10264.104303961218,8824.74469277823,7683.424361003904,6770.663097564977,6031.534437483598,10315.817490155252,8876.604982761697,7732.868019322101,6816.550167011259,6073.463188958965,10365.200321483127,8926.344686970337,7780.4889303477,6860.929502516032,6114.186248905865
5,2021-07-06,12219.531349925866,10533.92848330157,9223.786374799323,8194.80554020717,7374.976623458212,12338.241528188026,10640.817867273121,9312.728562294013,8264.04680827569,7424.768474972702,12449.671482128624,10744.22870625604,9402.160160141153,8337.503297373085,7482.143993613039,12554.025644333522,10843.256916839455,9490.124689069446,8412.276134384632,7543.372940569136,12651.75713525818,10937.620289920756,9575.62694229013,8486.72593062499,7606.246113945846,12743.396716087804,11027.34443974608,9658.191775508787,8559.92063385803,7669.425764977142,12829.476936832452,11112.60481333419,9737.632413730846,8631.339464035045,7732.093163515389,12910.499695421697,11193.644773191227,9813.923684495594,8700.706885168172,7793.7482534710925,12986.924088391459,11270.732442528797,9887.130444002192,8767.896070501987,7854.09132026829,13059.163778838403,11344.137981813838,9957.366219850117,8832.871110527336,7912.950847036545,13127.588708089452,11414.121902783314,10024.76894490452,8895.651597601,7970.238355466972,13192.528624758368,11480.929438998981,10089.48661730242,8956.29052442997,8025.919511749083,13254.277195858003,11544.788258965857,10151.668847696748,9014.860305238803,8079.9953020176845,13313.09610827851,11605.908011767051,10211.461954595354,9071.443857947568,8132.489587079366,13369.21889382374,11664.48085244111,10269.006221752246,9126.128895551417,8183.44077952141
6,2021-07-07,15254.932897263505,13294.960734251466,11734.689826980748,10488.312644566955,9482.692447624984,15386.243514308933,13417.15141167403,11838.762708096463,10570.741137667455,9542.753381164131,15509.34773302541,13535.225186498667,11943.301348671528,10658.11565599429,9611.919031200989,15624.500041761223,13648.165622141913,12046.020740235785,10746.97999031251,9685.679275984552,15732.22603764501,13755.668265780869,12145.765834882108,10835.384458579316,9761.36593921682,15833.133004648573,13857.779316338629,12241.991713877156,10922.22486633698,9837.366226753587,15927.826465990875,13954.714248032467,12334.490810568937,11006.888012271145,9912.695661245072,16016.874909279688,14046.764056187274,12423.243849850212,11089.052956493524,9986.755242384406,16100.796928090687,14134.24607741679,12508.335832718332,11168.575550323569,10059.188023416453,16180.058807558318,14217.478253506746,12589.907600998331,11245.41937977001,10129.791701130172,16255.076824612202,14296.766024414366,12668.127503068094,11319.613505517078,10198.46393446787,16326.221477956611,14372.396125661831,12743.174715823749,11391.226136238942,10265.167388177057,16393.822294986974,14444.634177305341,12815.229466803714,11460.348014101774,10329.906984105275,16458.17257425871,14513.724337058506,12884.46740492178,11527.081844817494,10392.714882405333,16519.533779640708,14579.890045131226,12951.056491741872,11591.53555529552,10453.64045458839
7,2021-07-08,18429.59228062368,16222.578050241696,14424.66042705753,12964.8553757625,11772.690661602051,18570.53654414617,16357.85599231222,14542.475579463176,13059.726525176486,11842.702273995315,18702.544369822543,16488.44519817585,14660.712419900217,13160.216491903322,11923.281730467232,18825.912948284782,16613.236609990665,14776.788714103088,13262.342138592776,12009.1606529914,18941.227017997684,16731.910336014505,14889.406450361752,13363.861619427513,12097.225392675007,19049.155399315638,16844.5334599428,14997.959834652025,13463.509704556303,12185.59695814226,19150.361834437943,16951.35853729822,15102.224849264185,13560.587671371564,12273.131134982905,19245.46765513625,17052.71971284275,15202.18979796651,13654.733464032344,12359.134169778308,19335.03848096172,17148.97842885619,15297.959943063113,13745.788232558532,12443.194861604454,19419.582053289734,17240.495166740904,15389.702640373907,13833.716592323815,12525.082263879447,19499.55105128734,17327.615178610507,15477.615329143386,13918.557887058256,12604.68172614722,19575.347909620898,17410.661842836536,15561.906757014987,14000.395875769,12681.954040041464,19647.33019793868,17489.93418827073,15642.78602632113,14079.339640784163,12756.908879984154,19715.815885164913,17565.70667390676,15720.456332858921,14155.511472363165,12829.587290987702,19781.08819363538,17638.230150005915,15795.11154805714,14229.039165508058,12900.05001527202
8,2021-07-09,21721.453749162563,19295.437591887076,17274.40426611837,15607.426780804006,14230.093609637099,21869.562643791793,19441.720853836203,17404.529797722073,15713.88880075699,14309.62731063394,22008.18287338361,19582.817384797352,17535.02047222021,15826.582827483422,14401.119867542391,22137.645435155224,19717.54264761515,17663.02874189803,15941.034053844362,14498.575170658696,22258.580741024794,19845.566221114907,17787.13025498869,16054.729007939022,14598.452699988296,22371.704725298732,19966.974975829937,17906.666614848367,16166.25360785105,14698.61903304434,22477.7254899612,20082.054567378418,18021.40093491346,16274.830853125815,14797.777860738272,22577.304498702844,20191.177038935304,18131.33000628039,16380.061801820395,14895.145727929903,22671.042994420182,20294.742262411994,18236.57873616395,16481.775250967235,14990.260549127855,22759.48005781303,20393.14759831611,18337.339524271574,16579.937999892125,15082.864983391022,22843.09583819661,20486.772688858553,18433.836976101975,16674.600065735503,15172.833557412905,22922.316832598204,20575.97247576958,18526.307270805857,16765.86065805542,15260.126148878348,22997.521709850454,20661.074698783123,18614.986176189894,16853.846787583985,15344.757774442038,23069.046977469203,20742.37980554413,18700.102241926408,16938.699722705347,15426.778692400163,23137.19218913003,20820.162114168146,18781.87312310326,17020.56640349221,15506.261158367795
9,2021-07-10,25115.993292006537,22498.639135500016,20270.016233104685,18403.53317020571,16843.845027559324,25269.343929455037,22654.06761619374,20411.06638092415,18520.700173293513,16932.414185324953,25412.80295487317,22803.885889801484,20552.419347633928,18644.65493101711,17034.254630217907,25546.72611213464,22946.84814452416,20690.99286180475,18770.467942466643,17142.677973043053,25671.777193414247,23082.61665814451,20825.251727611925,18895.375322307762,17253.738179414093,25788.706540813288,23211.296041510042,20954.492274140266,19017.826446539326,17365.06066908528,25898.254636555663,23333.200563501203,21078.467547260585,19136.97312571845,17475.205458684057,26001.112227132893,23448.734683417973,21197.18309309285,19252.383471361325,17583.30479034084,26097.906540324657,23558.330967682352,21310.782323886302,19363.875929381356,17688.849156634515,26189.199510797065,23662.418044767266,21419.48078663798,19471.42027827909,17791.557015244864,26275.491315826726,23761.404642019043,21523.527981468877,19575.077249401565,17891.293415596774,26357.225992582975,23855.672343405397,21623.185097759222,19674.96107480167,17988.01809390975,26434.797587611523,23945.57308387421,21718.71213044142,19771.215979734552,18081.751790566148,26508.556118134933,24031.429181681844,21810.360604286583,19864.00132973284,18172.5540907162,26578.813037718945,24113.53467993721,21898.36968144942,19953.482239360892,18260.508693419335
