,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,992.2335868323655,792.4406945924064,658.166691405949,562.8696225137237,492.35545534790384,1010.7337124586005,806.0649108360287,668.0417878454258,569.8270637042107,496.9969677804989,1028.310192482966,819.3763522289092,678.0485355998185,577.2515959737184,502.3681678270353,1044.9589489668697,832.245584723117,687.9674710657545,584.8555283727937,508.12710269908195,1060.7190652608303,844.6209997501669,697.6820109842313,592.4733994937699,514.0698432310727,1075.6467057624689,856.490982677462,707.1319911160384,600.0086896751401,520.0714729434517,1089.8029005027015,867.8645671518339,716.289152552989,607.4052859142057,526.0542374310638,1103.247826194268,878.7611730501276,725.143617705052,614.6314531244064,531.9694803805605,1116.0382402918149,889.2050283831746,733.6961636575709,621.6704749846165,537.7869741810861,1128.2264756576637,899.2220998803803,741.9536869145609,628.5150139771652,543.4884024491042,1139.8602091177756,908.838407275483,749.9264876494107,635.163624238018,549.0632653246026,1150.9826048708505,918.0791174562347,757.6266217021624,641.618550377825,554.5062456198978,1161.6326272682768,926.9680844439995,765.0668941906706,647.8843152378041,559.8154809158158,1171.8454167377135,935.5276458351849,772.2602460827072,653.9668027807637,564.9914112913992,1181.652674666075,943.7785661781875,779.2193850333167,659.8726577053985,570.0360005636201
1,2021-07-02,2699.448197680779,2199.8352277514655,1851.793233794727,1598.6637863676801,1408.0498720636729,2743.0519363130616,2233.551785297162,1877.0451196319382,1616.8734365094322,1420.4091453095741,2784.3281828559034,2266.4026468836655,1902.5801290955906,1636.2757975502986,1434.695983534123,2823.291552138432,2298.0766537798545,1927.83819726384,1656.1152389675824,1449.9958424987412,2860.055726814047,2328.4564532003833,1952.5250537337029,1675.9589936134169,1465.764231576865,2894.771455215877,2357.523318999619,1976.491692626553,1695.5562182440474,1481.6685589749131,2927.597937757736,2385.3086863378558,1999.6708490896192,1714.7624891599569,1497.502653450171,2958.6897417047007,2411.8685949082787,2022.0420250637494,1733.4974037101215,1513.1382543991308,2988.1911758203487,2437.269909018376,2043.6115662413872,1751.719848013453,1528.4963577367087,3016.2343047867903,2461.582819310806,2064.4010136931447,1769.4131162702927,1543.5297194635752,3042.938730663513,2484.8767906060298,2084.4401640641045,1786.5757299094005,1558.2118724926988,3068.4122012251682,2507.218438776367,2103.7628857847076,1803.2156584353856,1572.530070633979,3092.75156747986,2528.6705006243283,2122.404586084084,1819.3466244242125,1586.480667201585,3116.043848234191,2549.2914250250856,2140.4006849519983,1834.9857143201239,1600.0660394843198,3138.367281632537,2569.135314260446,2157.785712026468,1850.1518227145195,1613.2925153742462
2,2021-07-03,4927.997165956448,4086.8520064720983,3481.7023095554114,3031.619812385226,2687.1369401921665,4997.348177254394,4142.8949349360655,3524.9597714295064,3063.4979405241456,2709.1275760784415,5062.805641884215,4197.371507172564,3568.6232030812153,3097.4180845684778,2734.523314934229,5124.425124418419,4249.778088729987,3611.7352954382486,3132.0535307423365,2761.6906364705187,5182.415879523734,4299.934665891779,3653.7980158681153,3166.6473388996083,2789.658504800815,5237.04167905399,4347.824488999772,3694.5635645416974,3200.7633124840545,2817.8353135879793,5288.575632073668,4393.5127275137065,3733.9243171892017,3234.152543195416,2845.855719610258,5337.279954629001,4437.103801375714,3771.852344509344,3266.678497212997,2873.4936716945585,5383.397619071882,4478.718540515317,3808.3650520261167,3298.2733565999006,2900.6110368757204,5427.149726750129,4518.481881330412,3843.505162495667,3328.9117897866695,2927.126244206086,5468.735606330949,4556.516316116097,3877.328845009311,3358.5948012316144,2952.9946171141983,5508.334146230231,4592.938542964234,3909.8986013446925,3387.3395911650514,2978.195753038171,5546.10561253187,4627.857914441157,3941.2789933119643,3415.1730930603044,3002.7252702928336,5582.193579405108,4661.3758976497575,3971.5340968142455,3442.1278115076934,3026.5893262175455,5616.726792290848,4693.586095539391,4000.7260191514843,3468.239125697045,3049.800930222889
3,2021-07-04,7560.107178530305,6366.110190896727,5481.715438417301,4810.311358799098,4288.627505772409,7653.321143260135,6444.519505945057,5543.942319804046,4857.105946327684,4321.404883455134,7741.095784348432,6520.588734823102,5606.655656092212,4906.838931566475,4359.225001090225,7823.541721874569,6593.62985709705,5668.481382695375,4957.5580262965495,4399.644834638009,7900.971569687195,6663.409159512661,5728.710945395613,5008.1532027863805,4441.214212395654,7973.766142616546,6729.9203865115505,5786.997385190574,5057.988144545179,4483.051695908139,8042.314174645318,6793.270047252262,5843.195490051413,5106.70269039044,4524.614839699157,8106.985820889389,6853.617532896896,5897.274102097374,5154.101978012811,4565.569679911519,8168.1221237249165,6911.143265103637,5949.266418220194,5200.091895166917,4605.7136420728175,8226.032086520236,6966.031692226348,5999.241128934629,5244.640352162092,4644.928506815333,8280.993309205167,7018.462357811204,6047.285374186526,5287.7534797709095,4683.150930970918,8333.254188052693,7068.605435402406,6093.49458498503,5329.460719663002,4720.353552153049,8383.036687583866,7116.619755574513,6137.966426213337,5369.805350184073,4756.532649748377,8430.539198042386,7162.652220442055,6180.797223837522,5408.838406859525,4791.699963707183,8475.939249853898,7206.837977203398,6222.079915711041,5446.614761758333,4825.877204030617
4,2021-07-05,10498.327221186464,8960.80237137694,7790.855945211782,6885.518539875189,6172.030575112152,10612.164785271321,9060.197621987852,7871.821320876998,6947.580084841679,6216.138129146413,10719.155052710648,9156.467126218198,7953.309407411584,7013.46926636894,6266.992110398575,10819.469682839937,9248.757195424603,8033.536226849069,7080.591473831089,6321.295165388292,10913.522158430373,9336.791512336524,8111.5891199733205,7147.476056851573,6377.092562597636,11001.803982584383,9420.580905185878,8187.0276706569675,7213.283985387803,6433.19875222078,11084.811569913498,9500.277040749266,8259.673997145777,7277.543885834396,6488.886450749209,11163.014626013968,9576.09634636377,8329.49788378609,7340.003972733766,6543.7099458469465,11236.844005284094,9648.279771326866,8396.551822252066,7400.545903168855,6597.400727389684,11306.68876385713,9717.071477392159,8460.933397961444,7459.133156413463,6649.803836920999,11372.897453453828,9782.707782197012,8522.763160395016,7515.77936118127,6700.838003082727,11435.781225995113,9845.411748135235,8582.171498660815,7570.5284984661785,6750.470115430175,11495.617553209464,9905.390901197034,8639.290867542762,7623.442355300968,6798.698577506277,11552.653982763599,9962.836676888051,8694.251245161642,7674.592501021474,6845.5422875896065,11607.111665658831,10017.92479850875,8747.17756510614,7724.05513476127,6891.033258413448
5,2021-07-06,13678.596695709348,11817.369815893351,10365.010964098925,9220.781287072487,8306.890350809552,13809.51667939943,11935.72627818301,10463.817587846344,9297.903798082492,8362.466320808531,13932.372953062035,12050.200858842605,10563.145524939982,9379.70656843774,8426.498278128516,14047.39739865365,12159.796109288729,10660.822147589643,9462.959645436053,8494.820505039948,14155.095273349538,12264.203423351351,10755.743806960507,9545.837389539887,8564.966455933076,14256.056514230499,12363.454790672897,10847.384945312182,9627.302721653114,8635.44311740679,14350.872184605652,12457.747686609922,10935.540354773824,9706.776943056366,8705.337245989624,14440.098832746626,12547.354339253876,11020.184195537317,9783.954586858563,8774.09151522409,14524.245223670687,12632.573974983756,11101.390425378215,9858.695780983202,8841.372298899847,14603.769548767807,12713.707707003876,11179.286844218363,9930.961823532883,8906.989067917631,14679.081405755596,12791.045648597474,11254.028147429433,10000.775714269483,8970.843942292227,14750.545764855735,12864.86072904478,11325.780015261766,10068.19753285151,9032.899418803207,14818.487561772414,12935.406204640864,11394.70974528534,10133.308873235623,9093.157350411613,14883.196267896497,13002.915192483299,11460.980826037669,10196.20291947777,9151.645053113025,14944.930145958651,13067.601283104874,11524.749910826798,10256.978097649566,9208.406018120293
6,2021-07-07,17053.124527258857,14894.039340355082,13168.666372972491,11786.056185120166,10667.671511753693,17197.688143202,15029.051661603251,13284.024705060227,11877.664440924233,10734.566243307081,17333.1827535153,15159.482700233246,13399.873776613369,11974.75195624833,10811.590983294667,17459.895008965897,15284.213375695974,13513.681844419809,12073.476331805026,10893.719818339669,17578.409106903273,15402.911541596775,13624.170891459908,12171.671226515922,10977.98014378253,17689.398207837836,15515.632199882095,13730.739572335087,12268.110788960897,11062.575861946969,17793.532673929625,15622.616915104476,13833.160456525055,12362.115184358645,11146.41124430143,17891.441375865525,15724.190198446528,13931.414629083958,12453.329465332592,11228.820169895791,17983.697671096084,15820.705204324948,14025.598500896207,12541.595106928367,11309.406212665655,18070.81686046792,15912.515350816315,14115.870110924903,12626.873195840184,11387.945189300932,18153.25881433779,15999.959896915985,14202.417733902535,12709.197439123738,11464.324203928254,18231.432704526927,16083.357144016574,14285.441418169996,12788.64490140441,11538.502688315668,18305.702355906298,16163.001819802774,14365.142174739314,12865.317546330745,11610.487054046916,18376.3915146575,16239.16473562022,14441.71576409827,12939.330500677004,11680.313962863447,18443.788723242906,16312.093643422173,14515.349274631428,13010.804574136046,11748.039161682142
7,2021-07-08,20579.84791896423,18153.131232035073,16169.037358069272,14553.032069306046,13229.874328601594,20734.83738245629,18302.36240886024,16299.393123836811,14658.274237726311,13307.709842314003,20879.96673190072,18446.38790582888,16430.18772042263,14769.729523992948,13397.281708107232,21015.569094674738,18583.98849537278,16558.56526999801,14882.977962841023,13492.729755845228,21142.29288227618,18714.815736737324,16683.09214469021,14995.533222521046,13590.591434156137,21260.878013900227,18838.947749650513,16803.10101449134,15105.993296481918,13688.77804325771,21372.05798176854,18956.666749067925,16918.34692711009,15213.584993761846,13786.018425857295,21476.518939924936,19068.344427542816,17028.81962807035,15317.908672170837,13881.542536167484,21574.885209633805,19174.38210543742,17134.6379803503,15418.79003565886,13974.894567912039,21667.717010402095,19275.179619504426,17235.98925068938,15516.191606053959,14065.819111740866,21755.513648409953,19371.11964629265,17333.09370998862,15610.158631502365,14154.189989207656,21838.71888768343,19462.560430497117,17426.183887999927,15700.78545612241,14239.96480351574,21917.72692374472,19549.83310429029,17515.49248452085,15788.194349123276,14323.155400330468,21992.88821841079,19633.2414869021,17601.2454714478,15872.522078554683,14403.808396879538,22064.514873933986,19713.063180395777,17683.658338234378,15953.91138142786,14481.992207949761
8,2021-07-09,24234.955749169072,21571.29291694755,19344.791018103613,17502.75222363152,15976.811566989138,24397.70964674915,21732.469231770043,19488.55776212765,17620.668820030107,16065.094234657965,24550.00496893023,21887.897469220025,19632.698832427588,17745.466198372007,16166.637246397562,24692.211516176376,22036.27678695015,19774.069516625295,17872.186611554298,16274.781505524148,24825.02721982066,22177.24761805688,19911.098878730296,17998.046845055414,16385.595992984625,24949.2430702094,22310.909824781447,20043.06263727145,18121.482389207977,16496.71294406562,25065.640639301408,22437.58177217303,20169.702156706386,18241.63476612471,16606.69452318372,25174.94957463087,22557.67647092265,20291.01672959943,18358.064309435747,16714.672508212065,25277.832802097273,22671.637101442753,20407.146881384047,18470.583506446357,16820.135517660903,25374.88450138771,22779.903648724106,20518.307384635205,18579.157530622244,16922.799430415504,25466.633744735173,22882.896212365013,20624.748293636858,18683.84353479445,17022.526424915948,25553.55036858324,22981.007372866254,20726.732180362265,18784.752962267914,17119.273312917627,25636.051429389547,23074.599486717598,20824.5209265284,18882.02786391623,17213.057991466674,25714.507474919086,23164.00463035819,20918.368235299207,18975.825913088764,17303.93735558526,25789.248301443797,23249.525917025232,21008.51559845492,19066.310913329784,17391.992601955866
9,2021-07-10,28001.28105635229,25131.000041462914,22679.500992852158,20620.357804827156,18895.239249272727,28169.71042604014,25302.08233000621,22835.13997222017,20749.949974750823,18993.409608321894,28327.244887601806,25466.956542245276,22991.083237980638,20887.026593956423,19106.27455421964,28474.281055217736,25624.255679537026,23143.9311591688,21026.133874355502,19226.41696434577,28611.553016410464,25773.612476110397,23291.992606959993,21164.215609036157,19349.46194751419,28739.889025969467,25915.14619410729,23434.494384091937,21299.55860157043,19472.777918585183,28860.105721799166,26049.20634617104,23571.167184082922,21431.227002722393,19594.76999819466,28972.96446139273,26176.241181967016,23702.020054577748,21558.745484396728,19714.47793440155,29079.15630819717,26296.72939841776,23827.213839405416,21681.915498511327,19831.338686011353,29179.300188359342,26411.14493181163,23946.98864333967,21800.70569706396,19945.041876380954,29273.946859966654,26519.93945234507,24061.621723834105,21915.185120993712,20055.439526117047,29363.585151117175,26623.534451819804,24171.402957419257,22025.481774684988,20162.48848652249,29448.64876820587,26722.318536827832,24276.620658652406,22131.756637054812,20266.21309265542,29529.522886137132,26816.64750743229,24377.553585484853,22234.187250867293,20366.68060105767,29606.550185154643,26906.845869524306,24474.46667448121,22332.957354769493,20463.984868012598
