,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,943.7379770407642,753.546794822746,625.7774641274857,535.1202872988556,468.05121485556214,961.3539588094595,766.5132570709648,635.1728408627447,541.7383480118494,472.4656569704771,978.0912441897992,779.1824559306193,644.6936857761186,548.8008234846943,477.57414155632847,993.945832122371,791.4311703964282,654.1311943757822,556.0340668465659,483.05145872618044,1008.9548305446392,803.2102410431436,663.3744336821593,563.2806878096972,488.7036613873839,1023.1716262971586,814.5085719434211,672.3661446108886,570.4488693894691,494.4119446090105,1036.654253354901,825.3347218341346,681.0794224561163,577.4852276697229,500.10235538093184,1049.4599457017746,835.7071384340405,689.504851454989,584.3595665436223,505.7286137302305,1061.642692218701,845.6488497082759,697.6431542208071,591.0559759778225,511.2619661127631,1073.252277681229,855.184542371648,705.500877058777,597.5674676062242,516.6849872757898,1084.3340608473798,864.3389571269654,713.0878061931137,603.892657917041,521.9876861376647,1094.9291097432485,873.1360260984458,720.4153997433247,610.0336745188803,527.1650009622902,1105.074498432423,881.5984346150342,727.4958300916132,615.9948128168037,532.2151560609375,1114.8036640966027,889.7474270842827,734.3414001284868,621.7816636017495,537.1385659197282,1124.1467728048694,897.6027527943667,740.96419187133,627.4005419183964,541.937094552379
1,2021-07-02,2569.5128780313817,2093.2384306027434,1761.6721303544723,1520.6292063497876,1339.1711871020066,2611.0971693798515,2125.3676151725517,1785.7227456355895,1537.966481927447,1350.935385736238,2650.46455316595,2156.6734404624226,1810.043886461755,1556.4397917772167,1364.534571818872,2687.628530544097,2186.859247154781,1834.1021170485024,1575.3297490894984,1379.0982955679856,2722.6971270984136,2215.8130346484286,1857.617107114508,1594.2243171297441,1394.108305852697,2755.8137733446947,2243.5167897643682,1880.4468634191392,1612.8846442711747,1409.2480253221295,2787.1300140323133,2270.0003137012,1902.5272418588524,1631.1731894584907,1424.3211975583363,2816.7930224143615,2295.316871596322,1923.8386434864371,1649.0133618385908,1439.205718938841,2844.940228117025,2319.5300612547862,1944.387042046425,1666.3659770655659,1453.826367754684,2871.697416772915,2342.706666462763,1964.1928907299778,1683.2150913893456,1468.138152374253,2897.1785158086177,2364.912793715616,1983.2845125097301,1699.5592615584628,1482.1158580735635,2921.486169751636,2386.2118471479525,2001.694114996816,1715.4060428240996,1495.7473314524875,2944.7126494549543,2406.663545127467,2019.4553773474945,1730.7684710332016,1509.0290818659514,2966.9408641030127,2426.3235291025617,2036.601996205376,1745.6627876960335,1521.963354111748,2988.2453614267065,2445.2433063369317,2053.166824905183,1760.106958609703,1534.5561548870592
2,2021-07-03,4692.927034520832,3890.2452593015073,3313.2550966512495,2884.3624670401828,2556.2314904193718,4759.13739692186,3943.6971271837742,3354.4850871207204,2914.732238153153,2577.17445029418,4821.63568012549,3995.658292651816,3396.103925744726,2947.0484645084975,2601.360833373431,4880.474082109478,4045.6480765238516,3437.1991313531153,2980.04730274689,2627.235085646093,4935.851627814188,4093.494416400046,3477.2958760392166,3013.007618376052,2653.872486071942,4988.019504570128,4139.180978943954,3516.157800824738,3045.5137911212437,2680.7096130583695,5037.237920970961,4182.769596601346,3553.6821467690975,3077.3286033787826,2707.3984986906066,5083.756778383913,4224.359577247416,3589.8421230901104,3108.3218870058263,2733.7238156360445,5127.807683272243,4264.065918691163,3624.6541633785255,3138.428938950152,2759.5539594851107,5169.601425167747,4302.007570423006,3658.1588480872565,3167.6255370830927,2784.811191474452,5209.328058921331,4338.3011815661675,3690.409589831331,3195.912556004055,2809.452910699195,5247.158167240951,4373.057901364943,3721.465852091882,3223.3063072329146,2833.459636544467,5283.244588512947,4406.381895702815,3751.3890753660644,3249.8323824553545,2856.827149479944,5317.724253510687,4438.369828694435,3780.240249026647,3275.5216879347945,2879.561270655184,5350.719959138525,4469.110880105996,3808.0784966631786,3300.407875032501,2901.6743505955405
3,2021-07-04,7204.088401806614,6063.2763388425665,5219.128711849727,4578.733656277638,4081.399974865114,7293.194571429408,6138.144520703152,5278.4973931634195,4623.3528803733325,4112.640092862498,7377.108622506616,6210.783507810297,5338.333458718063,4670.775806874089,4148.687458254121,7455.935006179742,6280.535790199995,5397.325870543848,4719.141067717158,4187.213885293622,7529.971425122519,6347.177587690768,5454.798368250992,4767.390211577991,4226.837309119474,7599.580957454361,6410.702333743207,5510.419619878479,4814.916382490778,4266.71762551764,7665.134417135412,6471.211194498051,5564.050767300987,4861.376000583756,4306.337769585679,7726.984999733677,6528.855898153149,5615.661784973291,4906.583087734252,4345.379352432965,7785.458188451189,6583.808319210999,5665.284073035743,4950.447734566644,4383.649200608879,7840.848935288376,6636.244235915153,5712.982924534705,4992.939180767354,4421.0345370941195,7893.422250589064,6686.334794471413,5758.841263410696,5034.063122834551,4457.474890131767,7943.415291172646,6734.242238042089,5802.9499505696,5073.847498625593,4492.944086800691,7991.039998215819,6780.118016231646,5845.402002156069,5112.333453392971,4527.438493994265,8036.485819271588,6824.102220238375,5886.289178045979,5149.569542074266,4560.9692213425005,8079.922295471677,6866.323743642758,5925.700024120623,5185.607989842856,4593.556888140852
4,2021-07-05,10008.823052150592,8538.32775823634,7420.621515222027,6556.406739768613,5875.735340297519,10117.74503347897,8633.318005953188,7497.9301345199165,6615.626097355703,5917.801784360898,10220.124420894652,8725.327962497518,7575.742511368455,6678.500635651063,5966.304018943974,10316.12384832826,8813.540987876395,7652.355095484619,6742.554799888361,6018.097674477762,10406.13754178853,8897.692154949737,7726.896071181317,6806.385240144127,6071.318614440796,10490.634609441535,8977.79100271983,7798.944458686824,6869.19116180469,6124.836136983602,10570.089068396024,9053.981754744473,7868.329950027935,6930.5225294915335,6177.9565159919,10644.949557619393,9126.470621335313,7935.023261907693,6990.138822489956,6230.254524621527,10715.627688530069,9195.487339234567,7999.074123884292,7047.926856592435,6281.473920917092,10782.495197701934,9261.264796514874,8060.575366857556,7103.85153868359,6331.466757051075,10845.885162002598,9324.028454967369,8119.64179138112,7157.925649178995,6380.155367436787,10906.094950698438,9383.99116825149,8176.397632465364,7210.190952763605,6427.508027947438,10963.389769603149,9441.350992493288,8230.969132519158,7260.706226246145,6473.523081206503,11018.006243199978,9496.29064871164,8283.480199873258,7309.539600867275,6518.2184278425275,11070.155780259958,9548.977877523543,8334.049952892305,7356.763644016246,6561.6244875469065
5,2021-07-06,13044.009382267184,11262.837186694413,9874.504618797113,8781.65470134563,7909.372016100435,13169.328604100534,11376.004138083797,9968.894545922267,8855.278516157145,7962.397946199446,13286.938518847453,11485.467438965934,10063.788263789194,8933.373965635405,8023.493976575236,13397.059354238765,11590.272427247644,10157.110058214228,9012.857915387118,8088.68605812064,13500.173255487185,11690.123007944076,10247.805125730014,9091.987468466748,8155.620999039536,13596.843678942987,11785.048810632865,10335.370820037608,9169.772335066236,8222.874264166127,13687.635386859678,11875.237803496946,10419.610522779096,9245.659735263087,8289.574373588532,13773.080294654563,11960.949546840187,10500.499004288204,9319.357705609471,8355.189378010758,13853.664735352584,12042.469525222072,10578.106425499385,9390.73237397454,8419.400742178328,13929.826758401907,12120.085124322168,10652.554440106862,9459.746471482935,8482.026459402741,14001.95800010456,12194.073295535074,10723.99044996026,9526.421660289036,8542.972928867412,14070.407460131944,12264.694630213266,10792.572400859983,9590.8150301401,8602.204169513881,14135.485882063245,12332.190968511266,10858.45982809434,9653.004238054793,8659.721766360475,14197.470115386024,12396.784943926818,10921.808667065692,9713.078032268395,8715.551615455475,14256.60717903108,12458.68056097264,10982.768357150908,9771.130189702564,8769.735061847012
6,2021-07-07,16266.76565635192,14199.161022664835,12548.763248983983,11227.42696868583,10159.362806270241,16405.2159569046,14328.327720359546,12659.027466544008,11314.92597741284,10223.21956020999,16534.990609368157,14453.120509847879,12769.767639252248,11407.663062847389,10296.748981064895,16656.36230374941,14572.467665643086,12878.563557231168,11501.96853029803,10375.154077024006,16769.888952196092,14686.050252012737,12984.193037760722,11595.773102122173,10455.597463675716,16876.213940575228,14793.919797298962,13086.080582301087,11687.905580993807,10536.364568520203,16975.978217883916,14896.306443324922,13184.00809735285,11777.716201796893,10616.40923773937,17069.783199846377,14993.519823355471,13277.956846750796,11864.86549096549,10695.095344736063,17158.17730234185,15085.897100407983,13368.01839486762,11949.201599652348,10772.04418299129,17241.65347327939,15173.775801153683,13454.343283427814,12030.686955381654,10847.041464288443,17320.651681131316,15257.480001522426,13537.111021938288,12109.353385498425,10919.979145050975,17395.56342552551,15337.31380753445,13616.512434594097,12185.27416836762,10990.818242697065,17466.736845622807,15413.558839394474,13692.739319633254,12258.546401421276,11059.564641877123,17534.48175217291,15486.473892515756,13765.978503561151,12329.279788955053,11126.253125224996,17599.074285701055,15556.295748050243,13836.408564278796,12397.589494212596,11190.93671483305
7,2021-07-08,19634.00979075936,17309.143330693067,15410.38328605649,13865.287749247174,12601.12110655097,19782.468847462682,17451.95752045427,15535.027478964354,13965.84561287807,12675.447587364431,19921.492686897545,17589.79921931972,15660.098867082124,14072.345359222127,12760.984547172544,20051.39861116484,17721.500458819213,15782.866386169933,14180.564140370896,12852.136804500333,20172.806178888324,17846.72654615948,15901.958538993631,14288.126146468823,12945.598163790302,20286.422868913563,17965.55109503494,16016.736438256923,14393.691375389344,13039.374027763572,20392.950241764505,18078.24317718683,16126.965074507947,14496.520548772878,13132.250314074205,20493.04471280134,18185.157639859364,16232.633911394669,14596.231287281462,13223.491378319417,20587.30363106604,18286.67781853395,16333.855950160623,14692.656545254971,13312.661618432105,20676.263074126942,18383.185746561216,16430.80967902759,14785.760042015689,13399.51679374788,20760.400876265398,18475.047135236284,16523.705220206575,14875.584585401959,13483.936083174338,20840.14175256597,18562.60439879106,16612.764486171473,14962.219939506613,13565.87869285421,20915.86300441821,18646.174075054914,16698.209612315128,15045.782594233977,13645.355651939415,20987.900095460293,18726.04662182047,16780.25635331361,15126.40293318386,13722.411220094018,21056.551788974233,18802.48745564947,16859.11048579623,15204.217079520491,13797.110497533504
8,2021-07-09,23125.919207879833,20572.82979121234,18440.971934232162,16678.849363966234,15220.224833505381,23281.860276257525,20727.13670727981,18578.49949159497,16791.56676789546,15304.56288955859,23427.79005621849,20875.950253392602,18716.393401619036,16910.867578351066,15401.572570904375,23564.061063972866,21018.02379416876,18851.645060205316,17032.013068541968,15504.893242061715,23691.34047166569,21153.011787870844,18982.750944364743,17152.342564201175,15610.769815701433,23810.384886294112,21281.008637592826,19109.017324182336,17270.360074416207,15716.940240786013,23921.942130982283,21402.31808502631,19230.195918811824,17385.24439516625,15822.030646726196,24026.710478167024,21517.334637912496,19346.28524912102,17496.57464401324,15925.211230866707,24125.324434063852,21626.481829814016,19457.41902662157,17604.170996497127,16025.993053119917,24218.352766724518,21730.180258918997,19563.802077311597,17707.99962570123,16124.104279645802,24306.301966266994,21828.831590825423,19665.673061900256,17808.11468023665,16219.412857807409,24389.621849835894,21922.81123314862,19763.282691266108,17904.622258182793,16311.877167482486,24468.711730569652,22012.46573114157,19856.881082451066,17997.65776595768,16401.513975635753,24543.92641326673,22098.11270156527,19946.710586435227,18087.371589835,16488.377336408277,24615.581700194332,22180.042083033593,20033.00192222774,18173.920017555523,16572.544550320286
9,2021-07-10,26726.876362293144,23974.276985042186,21625.620814383998,19654.66829844146,18004.73187266093,26888.32069892198,24138.147139916007,21774.582599390833,19778.610762797485,18098.56292025709,27039.331726381854,24296.08101955448,21923.84450360442,19909.718064820565,18206.443339399902,27180.28775311185,24446.767955923417,22070.152336013372,20042.774636214923,18321.28490331256,27311.890833856956,24589.85480639424,22211.88668650191,20174.85729766865,18438.90641738016,27434.93356478081,24725.454550105704,22348.306572019163,20304.327014296465,18556.79251385053,27550.19765428714,24853.90086712467,22479.1532979433,20430.288084528936,18673.418481536126,27658.41202901487,24975.622174298627,22604.434656905458,20552.285227291533,18787.86607892377,27760.238403965508,25091.076200960375,22724.303821091427,20670.12790199893,18899.596680815906,27856.269482594165,25200.71624605496,22838.989921066546,20783.78552919929,19008.313160160145,27947.032734487697,25304.97439100518,22948.75773782077,20893.32360075539,19113.873631426544,28032.996353185903,25404.25390304073,23053.88421225583,20998.86406115708,19216.236438680884,28114.57576503723,25498.926627020497,23154.64486233817,21100.56044862455,19315.424463359755,28192.1399326053,25589.33304771349,23251.30612165197,21198.58219507155,19411.501648104826,28266.017130464406,25675.783727553448,23344.121248758533,21293.10470478747,19504.557394967476
