,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,699.2421388459168,556.3025565635368,460.87066863466123,393.4407288848038,343.70385534897326,712.5361886479951,566.0137079004985,467.8721815966357,398.355340161286,346.973656403878,725.1758217349014,575.5069677976009,474.96976323290903,403.60133213322786,350.7582128722161,737.1567029238029,584.6896176655945,482.00777567600016,408.97562276960787,354.816818827935,748.5056459140827,593.5243346622926,488.9033830269845,414.36132886452776,359.0058858452274,759.2619126929947,602.002312200531,495.6136963769511,419.69019384398325,363.2374178574249,769.4684312543284,610.1295049014187,502.1184361676087,424.9224700538362,367.4566036853864,779.1676667265546,617.9193246901114,508.41036399611426,430.0356178225002,371.6291102368019,788.3997551178013,625.3886650653684,514.4898134193525,435.0177058721123,375.7335774795998,797.2017598311896,632.5557091965329,520.3614776172006,439.8634333341938,379.757033712132,805.6074869969907,639.4387227726111,526.0324841632361,444.57166931659634,383.6920147523813,813.6475731499933,646.055402543179,531.5112254571734,449.1438991290815,387.53471054178726,821.3496972769328,652.4225430208301,536.8066434561416,453.58322682406344,391.283748946161,828.7388405451188,658.5558865588048,541.9277928234554,457.8937269791585,394.9393844328007,835.8375543951498,664.4700788250148,546.8835773236876,462.08001997045784,398.5029495254664
1,2021-07-02,1917.5992781508241,1554.466256680843,1303.7927478447282,1122.6354758022349,986.8510178782095,1949.4627837683997,1578.8407023339762,1321.9130927921035,1135.6328197904857,995.6374237545051,1979.6531312130624,1602.6060679407285,1340.2463290142296,1149.4868642280078,1005.7969455042131,2008.1765446975485,1625.5357494335972,1358.390369726309,1163.6587583208636,1016.6801445577931,2035.1121268168154,1647.5430229506233,1376.133361713503,1177.8395644134707,1027.900204776785,2060.5666509820117,1668.6125231262195,1393.367507469759,1191.8499254293004,1039.2206806976137,2084.6536210034265,1688.7653155969108,1410.0436345601279,1205.586320689888,1050.4948493025656,2107.483637548327,1708.0404519361903,1426.1461704142143,1218.990884391821,1061.6312971897705,2129.160210189336,1726.4850042250846,1441.6788764490002,1232.0337956971648,1072.5735938579335,2149.778236055344,1744.1486270942846,1456.656499177833,1244.7026793418927,1083.287878900235,2169.423780021761,1761.0806068782622,1471.0997898348937,1256.9960627112548,1093.7550684294602,2188.1744695075613,1777.3283053287732,1485.0324969393016,1268.91925439991,1103.9658466788667,2206.100153570351,1792.9363952792892,1498.4795415118192,1280.4817068229456,1113.9173843836636,2223.2636478986246,1807.9465478122852,1511.465914429714,1291.6953090137742,1123.6111537621994,2239.721476547723,1822.397375018384,1524.0160210548604,1302.5732734921992,1133.0514545526146
2,2021-07-03,3535.9269241920992,2913.9993631813254,2471.420130793941,2144.8390013869657,1896.3515781934602,3587.508670011302,2955.1645266965497,2502.909424152247,2167.8903666445335,1912.1724474134658,3636.2432809282495,2995.2117804968957,2534.714480226871,2192.4300815119686,1930.4493429188867,3682.163826267233,3033.767736028694,2566.137911476603,2217.4998004157296,1950.008664673824,3725.418671480187,3070.6963235873413,2596.815640870217,2242.552019115882,1970.1523959959336,3766.1978619382776,3105.981559436729,2626.565386002222,2267.2705837990698,1990.4548824032117,3804.69943700134,3139.667999909399,2655.306861073052,2291.47451383844,2010.6529113469987,3841.1142357523113,3171.8294505518375,2683.0178968641935,2315.064007687224,2030.5833095392372,3875.6195340610084,3202.5521742316596,2709.7094887388716,2337.9889660546596,2050.146082294812,3908.376954959741,3231.9258139132694,2735.4112421534664,2360.230071565554,2069.281912453578,3939.532427727316,3260.0385344085935,2760.1627275946535,2381.787130904915,2087.958043106552,3969.217085500695,3286.974516185128,2784.008289164729,2402.671748742497,2106.159215174571,3997.548541807048,3312.8127748895085,2806.9939176866624,2422.9026535058247,2123.8817378449726,4024.6322654924074,3337.626729065907,2829.1653802310943,2442.502682793732,2141.129547441841,4050.5629175884023,3361.484185425025,2850.56712450117,2461.4968268341663,2157.911554561001
3,2021-07-04,5459.918732738204,4566.45597868311,3912.409447165268,3420.2423678340174,3040.401866508312,5530.040568222231,4624.683840473246,3958.1714192256127,3454.3993120165646,3064.1882450810194,5596.135453864856,4681.221729233989,4004.3227958587822,3490.720349682896,3091.6447522609838,5658.275185766684,4735.553370384237,4049.852124285331,3527.782023062025,3121.0012010305627,5716.684971752966,4787.4993599379195,4094.2357941403793,3564.7737524164004,3151.2061516126723,5771.642941012435,4837.0495103157355,4137.215575334424,3601.229790406465,3181.619850224033,5823.434654939928,4884.277965773749,4178.681562695769,3636.8855572974535,3211.8479762262605,5872.3329530006995,4929.298794785389,4218.607912358853,3671.5970133028727,3241.64721694988,5918.589808642712,4972.242304630611,4257.016382656368,3705.293693609631,3270.869491573407,5962.433935156524,5013.242347438682,4293.955132242849,3737.9505141866334,3299.4279161138215,6004.071103262614,5052.429612884223,4329.4861762905675,3769.5704296738554,3327.275464822172,6043.6856655303645,5089.928241003363,4363.677892521148,3800.1735591983934,3354.391286082277,6081.442536798717,5125.854293473783,4396.600538319563,3829.7902674565016,3380.7717608260737,6117.489259893253,5160.31526399442,4428.323594539142,3858.4567177750237,3406.424569341076,6151.957980564023,5193.410160769511,4458.914231574576,3886.2119983770413,3431.3647055502147
4,2021-07-05,7629.695010155435,6466.194002686109,5591.642347429148,4921.297197826241,4396.92422257458,7716.2283790622205,6540.779059897803,5651.779932270596,4967.023695112151,4429.214473022374,7797.633613017468,6613.080261430262,5712.349117624291,5015.597895191305,4466.459349053361,7874.027276696181,6682.44982417308,5772.023348730218,5065.110273477871,4506.248868662214,7945.711622624016,6748.672641388776,5830.121112247369,5114.476688851191,4547.153344889755,8013.050227269116,6811.749536542843,5886.310953270992,5163.0770338884,4588.304656526203,8076.412220043766,6871.787834846164,5940.456393987689,5210.561522402297,4629.169331267135,8136.147962875435,6928.9443421421975,5992.530919500985,5256.742008989519,4669.419615949064,8192.579543545071,6983.395097771562,6042.56984696747,5301.5287322666045,4708.857320607787,8245.998295507294,7035.319289296088,6090.642413776026,5344.892385168817,4747.367364535315,8296.665583238504,7084.890852784598,6136.83532321476,5386.840821732256,4784.888671040847,8344.815002217505,7132.274315405035,6181.242960490674,5427.404481007276,4821.3955206554365,8390.655078472866,7177.622998042326,6223.961576834657,5466.627136382132,4856.885381993222,8434.372021922934,7221.078526128645,6265.085874111841,5504.559968792322,4891.370849423442,8476.132326595494,7262.77105172901,6304.7070589346695,5541.257752107284,4924.874237364388
5,2021-07-06,9991.618967593753,8570.378770508514,7474.862964785964,6620.237581227445,5943.026002544674,10091.90320755852,8659.93395791989,7548.864027831956,6677.518254479082,5984.024101746893,10186.092916553775,8746.623610379318,7623.309011618004,6738.310512845978,6031.281018245356,10274.35045940873,8829.684346823045,7696.568688922447,6800.218070825522,6081.728911774686,10357.049728454362,8908.87340985417,7767.811833707143,6861.884124324888,6133.54992499657,10434.631731953865,8984.206361004464,7836.639351362592,6922.535840635787,6185.642326847681,10507.540353238028,9055.824985795638,7902.89208337108,6981.740129084669,6237.330972272858,10576.194724752846,9123.928704051885,7966.545590067237,7039.266661900203,6288.202735661874,10640.978753527163,9188.738363468226,8027.650695278413,7095.0082040223215,6338.009308788391,10702.238716510468,9250.477119442605,8086.2990941034095,7148.932894160774,6386.6079300983465,10760.28455792852,9309.360557593249,8142.603144828126,7201.0549830345135,6433.924272925776,10815.392751219528,9365.591896731641,8196.683904627791,7251.416556833441,6479.928690578134,10867.80967700039,9419.360002280404,8248.66405911109,7300.075965368928,6524.620731722665,10917.755012559734,9470.838945499825,8298.663804617605,7347.100430025313,6568.018896371613,10965.424903341247,9520.188393309956,8346.79853229059,7392.561303817527,6610.153779558473
6,2021-07-07,12507.945014359037,10847.280941223642,9535.890321812936,8495.414242985074,7660.625978736431,12619.286933395088,10950.111529912352,9622.884999596938,8563.921765091589,7710.303606826994,12723.72685144821,11049.530706387697,9710.311215397944,8636.569328605176,7767.529848913306,12821.469904163148,11144.676465184908,9796.257170438972,8710.486550292237,7828.578694225585,12912.952631188708,11235.285587639222,9879.753563316186,8784.05221742777,7891.2446380918545,12998.682430226858,11321.39044412151,9960.340475292282,8856.346410868202,7954.193351096621,13079.166620672777,11403.166644947454,10037.840017148597,8926.856714074465,8016.609254442595,13154.882299137338,11480.854179035818,10112.232017723798,8995.313486992598,8077.995152647452,13226.265215121344,11554.715964571846,10183.58390000684,9061.594122196775,8138.053891609317,13293.707534960859,11625.016096014808,10252.010210095856,9125.665756737097,8196.616222088656,13357.559638068673,11692.00871535917,10317.648908008661,9187.550190147951,8253.595659201625,13418.133580257543,11755.932701620843,10380.647385538377,9247.30201058315,8308.959612771074,13475.707071727145,11817.00956281116,10441.154247494938,9304.994775382973,8362.710589219676,13530.527420856688,11875.443077036396,10499.314562076728,9360.71220727475,8414.873772289267,13582.815198799562,11931.419863422137,10555.26722193923,9414.542568767247,8465.488724539231
7,2021-07-08,15147.416611956583,13269.68738314541,11751.671200040397,10527.369774344617,9533.205684724164,15267.271718306358,13383.958388566369,11850.558160961325,10606.550623408917,9591.355410804425,15379.583036759197,13494.324191648042,11949.84531728903,10690.454443026269,9658.303543660557,15484.59269551499,13599.840911331856,12047.363243552834,10775.759183103668,9729.679438362753,15582.788886588613,13700.23092107857,12142.018198431946,10860.592764622348,9802.898567738166,15674.732901391631,13795.544030458408,12233.296787235571,10943.896618493847,9876.399818865922,15760.983126033654,13885.987566752308,12321.006120114225,11025.08435810671,9949.231263651198,15842.063057806901,13971.838656399881,12405.13189412544,11103.850455638434,10020.814592321203,15918.449770999629,14053.398293696206,12485.758461715302,11180.059108377087,10090.805990129702,15990.571885862728,14130.967367256635,12563.022793965483,11253.677804286439,10159.011360914668,16058.811809201217,14204.834501199204,12637.087583086824,11324.736689734684,10225.333306821096,16123.509708241758,14275.270345442728,12708.125436274187,11393.303275226644,10289.737245846482,16184.967987806338,14342.525400186214,12776.309630047315,11459.466486866757,10352.22937208013,16243.455690009436,14406.829758681353,12841.808805055896,11523.32653168329,10412.842113085942,16299.212561293596,14468.393859908543,12904.784051990444,11584.988442279935,10471.624427529123
8,2021-07-09,17888.692912526687,15817.924899568996,14104.99553653786,12701.292063824174,11548.038201600668,18014.872462188032,15941.846307037786,14214.584950796961,12790.467562474403,11614.33909260583,18133.02163757443,16061.429544205095,14324.530566371195,12884.899702683722,11690.632832074552,18243.41217021873,16175.66394854533,14432.431951023656,12980.842733135856,11771.926667746973,18346.572382037895,16284.262075587221,14537.084949019792,13076.190121774322,11855.270875375729,18443.105010483418,16387.29056833624,14637.929808492712,13169.754490926043,11938.886397587343,18533.60749202345,16484.985342282667,14734.76185692177,13260.881423548977,12021.690778979333,18618.638669509073,16577.656396130278,14827.573637041529,13349.233050021187,12103.028511108378,18698.707003569034,16665.638128885956,14916.466116899928,13434.662413087675,12182.511787048294,18774.268734666166,16749.26353007995,15001.597644435522,13517.138428785407,12259.923493099,18845.730486010783,16828.851188019045,15083.15419482584,13596.700043617438,12335.15657034533,18913.453641830274,16904.699275359773,15161.33194208412,13673.427737926964,12408.175292173799,18977.759214835758,16977.083343914066,15236.327109134618,13747.425590864468,12478.990099802262,19038.93259967359,17046.2561758221,15308.330181342633,13818.809909440504,12547.641017211763,19097.22795065335,17112.44870820512,15377.522761493026,13887.70200700574,12614.1866018008
9,2021-07-10,20716.218705836563,18476.970613787536,16582.36572001188,15005.366686512774,13694.861083924658,20846.962453355936,18608.88934466766,16701.46027815289,15103.794515460086,13768.92045381625,20969.32372623681,18736.100895369113,16820.860113002203,15207.963102582711,13854.102742976307,21083.596010121782,18857.54076044738,16937.960311805935,15313.733880775619,13944.82146494066,21190.33687557005,18972.914868976153,17051.45988098563,15418.783683765074,14037.778858676435,21290.179175871745,19082.305171870987,17160.75925678353,15521.806751779994,14130.988653853345,21383.74867189366,19185.972438791956,17265.644613194698,15622.086715660706,14223.244733616244,21471.62981128914,19284.254882182624,17366.11576125514,15719.2568086842,14313.818842679682,21554.35376896375,19377.515386738858,17462.289469309755,15813.160734530007,14402.282079924786,21632.396757884373,19466.114203278576,17554.343970951664,15903.769631094188,14488.396187544411,21706.182900321957,19550.395290982717,17642.486688578716,15991.131394214977,14572.04563050754,21776.088902911793,19630.680071662835,17726.935379623763,16075.33921771619,14653.194253091191,21842.44920937491,19707.265217877313,17807.907199281235,16156.511825878477,14731.857135706823,21905.561011869107,19780.422608707282,17885.612501199586,16234.780966720991,14808.082066551806,21965.688854765158,19850.400408975325,17960.251500304832,16310.283490362379,14881.93721370388
