,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4186.77271365521,3573.2738479634,3106.4691130211813,2745.6092996898656,2461.570725368101,4239.088757516363,3618.077187652592,3142.4161125299092,2772.8324387300404,2480.7306508405904,4288.12804507386,3661.414261939998,3178.5730921625473,2801.727662096846,2502.819933433636,4333.989281960277,3702.904420702911,3214.147288611718,2831.1555260268287,2526.4055493705273,4376.8805764877425,3742.4285044560397,3248.7341008152034,2860.4702879743136,2550.6378106596803,4417.043501634197,3779.996982938604,3282.139258350582,2889.3037104410305,2575.001283149252,4454.7195047249725,3815.6835394450086,3314.285353002811,2917.449117742973,2599.17972378342,4490.135618725172,3849.5905880806863,3345.1606371233697,2944.7963406527238,2622.9793114968215,4523.4991845858,3881.8310801079933,3374.7900710760414,2971.2938571594614,2646.283292112094,4554.996789802025,3912.518906537867,3403.2185634263333,2996.9261006787665,2669.0243108986574,4584.795122271091,3941.763950822797,3430.5011158255193,3021.6995340196177,2691.167079349063,4613.042617310832,3969.6696969415766,3456.696983672028,3045.633943382318,2712.6972728749283,4639.871350394674,3996.3322502110645,3481.866222368139,3068.756920470967,2733.614288083972,4665.398914425025,4021.840134205153,3506.067674046836,3091.1003335528753,2753.9264469296995,4689.7301647978065,4046.2745037671316,3529.357833941745,3112.6980615658367,2773.6477835652668
1,2021-07-02,9975.829903609447,8799.79350131737,7847.062813690573,7074.07982972148,6442.201763104143,10069.741982651429,8886.403050614374,7920.630143015383,7132.328370543208,6484.669485135434,10157.332376951132,8969.79498224739,7994.340992208594,7193.964227269838,6533.517448423148,10238.864368179336,9049.282422198796,8066.5853286269785,7256.535734079328,6585.54172427011,10314.784620603288,9124.686453312957,8136.561280731277,7318.666591471147,6638.850242922277,10385.586622211213,9196.074867423451,8203.901580646589,7379.583368035971,6692.302828725374,10451.752033870534,9263.63174767849,8268.477787614107,7438.861992108874,6745.206738345974,10513.727052111188,9327.590594173304,8330.293555297041,7496.285677826793,6797.143416523765,10571.914794734359,9388.19964929988,8389.424682844445,7551.762458262404,6847.8661638089125,10626.674960527786,9445.704066791053,8445.984719745362,7605.275948904927,6897.237792410631,10678.326627711722,9500.3370882593,8500.104975261927,7656.855287928965,6945.191656876603,10727.152215630023,9552.31609552651,8551.922855715076,7706.556468668033,6991.7067729536675,10773.401674506507,9601.841303894158,8601.575112213925,7754.450606659632,7036.791652971093,10817.296478280128,9649.095864236177,8649.194025969031,7800.616514601917,7080.473657176219,10859.033247474552,9694.246686405451,8694.905366787374,7845.135998774185,7122.791903980829
2,2021-07-03,16534.52301059023,14919.423109195892,13550.820914294129,12399.34115592219,11429.90237659478,16657.05765072006,15038.463523888664,13656.285943704423,12485.751785803826,11494.690707893791,16771.001763107215,15152.7386973849,13761.672044704486,12576.98182812362,11569.08284487018,16876.769207264093,15261.351831973368,13864.686142410203,12669.381316320776,11648.16000328795,16975.00167370325,15364.105497787647,13964.206991302617,12760.91611149526,11729.026782178587,17066.39070828661,15461.137007558937,14059.739942052121,12850.45599168856,11809.947549833829,17151.602775825686,15552.737545461841,14151.13184756562,12937.39263134742,11889.875953946685,17231.2502052387,15639.260242745726,14238.416208044953,13021.425735290608,11968.187015280153,17305.882852699382,15721.073110956773,14321.72663567447,13102.439164604186,12044.51892836191,17375.988976966062,15798.535292195878,14401.247539585536,13180.427208609695,12118.676792623857,17441.99994263237,15871.985675909285,14477.185717328684,13255.449758309609,12190.57255316373,17504.29621506955,15941.738136572274,14549.753978231802,13327.604614653645,12260.18675548777,17563.213471484967,16008.080303309856,14619.161820905909,13397.010198786793,12327.543782765999,17619.04831294337,16071.274171429352,14685.610300851222,13463.794702303583,12392.695611478672,17672.063383523335,16131.557622002585,14749.289404745328,13528.089289006775,12455.711051674438
3,2021-07-04,23500.821423104204,21553.047528326635,19847.180138493004,18371.436816974165,17099.647660309576,23642.655800440778,21696.075822081122,19977.977054666357,18481.505088369653,17184.053391725363,23774.312327321237,21833.109684875013,20108.42938128879,18597.520000900287,17280.842024487407,23896.3197868636,21963.110694534444,20235.708089809392,18714.82145612727,17383.57550096227,24009.46219016048,22085.881066443002,20358.448626350615,18830.826765264243,17488.47385105335,24114.573110798592,22201.621282437973,20476.066221044977,18944.113382364187,17593.280608523826,24212.450189582087,22310.711626472887,20588.3985072316,19053.926678709227,17696.64379646137,24303.822835487812,22413.601841995358,20695.51193999783,19159.904632908583,17797.76328525052,24389.343743377132,22510.75513389319,20797.594031218625,19261.918640690787,17896.182625180638,24469.590858813237,22602.620293645377,20894.892244352846,19359.979000332536,17991.662496420788,24545.07357362502,22689.618653588805,20987.679027579143,19454.177633656338,18084.101883760584,24616.24025042749,22772.138918893255,21076.231838331838,19544.65284704138,18173.48798980694,24683.48574986334,22850.536156086495,21160.821919656733,19631.567443506057,18259.863894309416,24747.158393686106,22925.132913197383,21241.70824729981,19715.095078441645,18343.307410831727,24807.566163001808,22996.221360256808,21319.13454925061,19795.411784598185,18423.91714033669
4,2021-07-05,30693.692773676357,28498.253927007576,26525.712163956276,24780.97476582166,23248.386825455163,30848.11976956744,28658.483910341438,26675.942849395775,24910.160561497436,23349.31673406796,30991.304558136508,28811.792064339144,26825.572213874442,25046.155211115274,23464.933406120686,31123.857583932466,28957.046036101623,26971.36425418028,25183.480415638704,23587.51101357951,31246.661105736668,29094.05517069828,27111.774158039734,25319.113132981558,23712.522895232087,31360.645586659204,29223.071707411662,27246.154760642105,25451.39959644987,23837.275860288184,31466.697522212056,29344.545225512873,27374.342912890803,25579.472578674835,23960.164254506853,31565.625229325535,29458.99916823718,27496.43590309184,25702.925706079975,24080.244881071063,31658.150439812078,29566.968578263793,27612.66735164437,25821.62539958835,24196.986152164485,31744.911110538218,29668.96940955961,27723.337108125346,25935.59943817424,24310.115720804923,31826.46869614132,29765.484419862772,27828.771338095085,26044.96959726824,24419.525699075974,31903.31675042866,29856.957821985205,27929.299879922197,26149.91034132696,24525.21253915813,31975.889437529982,29943.794519662606,28025.24365092846,26250.623272006753,24627.238302226506,32044.569356875552,30026.3616653152,28116.90796676264,26347.3212839342,24725.70540747969,32109.694480313152,30104.99130417219,28204.57935612954,26440.218791981417,24820.740032921418
5,2021-07-06,37974.376084171075,35593.80974487408,33413.339389308945,31450.637464916035,29699.553338644295,38137.06172049524,35766.14264657686,33578.057672506446,31594.76155613147,29813.90251637524,38287.821163017215,35930.89267430778,33741.9602343404,31746.340920761188,29944.785750165833,38427.31636678478,36086.86366632131,33901.5100717207,31899.257213133307,30083.42648689198,38556.49210818434,36233.87195363533,34055.03124081773,32050.14530172464,30224.690921976224,38676.34070175175,36372.20776360689,34201.833329420115,32197.1738483344,30365.532723431294,38787.80546439991,36502.370635742285,34341.75555742878,32339.391017950875,30504.142839314627,38891.74523391128,36624.93676806101,34474.92073439684,32476.359028809133,30639.464904760443,38988.92598500293,36740.492407791324,34601.59897261588,32607.943360979854,30770.909355583906,39080.02416534964,36849.6012392212,34722.13091698849,32734.18804005477,30898.179899981264,39165.63464831301,36952.789573748756,34836.884197159816,32855.24039753651,31021.165690336264,39246.280017473844,37050.540908832045,34946.228848086976,32971.30504832926,31139.87302742749,39322.41970347148,37143.29536447864,35050.52374205141,33082.615512832264,31254.381441337235,39394.45835783654,37231.451569095254,35150.109480658255,33189.41669244973,31364.81512215006,39462.753261064645,37315.36967320786,35245.305090832735,33291.95411957035,31471.324190826665
6,2021-07-07,45477.72733110838,42929.11201258645,40562.66236882043,38405.32744517014,36457.96128124552,45647.96426993926,43112.04825864034,40739.89868399737,38562.38353156601,36584.03430428666,45805.679137628125,43286.858068981994,40916.1579996737,38727.464834829625,36728.25662172271,45951.573354876266,43452.28375266445,41087.64192203016,38893.899867101725,36880.934364581524,46086.64280086338,43608.142193172156,41252.55875878228,39058.027242779746,37036.40379241657,46211.931675570086,43754.75195179861,41410.177980572495,39217.86125056554,37191.310393287604,46328.43170402369,43892.652146829096,41560.338180419305,39372.37591092852,37343.66762369024,46437.045241673375,44022.46172732577,41703.18178085316,39521.105265454054,37492.320345704284,46538.57670498687,44144.80896798309,41839.00827364467,39663.91299532672,37636.628354411085,46633.73622766579,44260.29707068787,41968.19169016085,39800.85625515913,37776.27438510775,46723.148112725445,44369.48864530547,42091.13389174368,39932.10363547736,37911.14490541576,46807.360649245005,44472.90010650746,42208.238287767934,40057.8850666595,38041.25469040269,46886.85575168024,44571.00121832436,42319.895394937346,40178.460995089285,38166.6983822508,46962.05778310266,44664.217212037,42426.475330734895,40294.103400541804,38287.61903036578,47033.341354273725,44752.93207879686,42528.32438054861,40405.08419460073,38404.18750773287
7,2021-07-08,53046.134429084406,50364.32922359794,47844.42176943048,45522.201862722555,43405.12921492608,53221.54592585273,50555.203698541576,48031.508598173445,45689.78161404725,43540.990393260356,53384.02333354508,50737.53879809173,48217.485200857045,45865.84365699108,43696.342968460674,53534.29604415993,50910.031541123615,48398.347853414685,46043.266101435205,43860.72587137113,53673.39571294147,51072.50004104563,48572.2144247859,46218.14686995153,44028.032713935485,53802.40269228136,51225.2848286545,48738.32353178005,46388.37530019312,44194.65209376037,53922.342342428536,51368.95531778768,48896.513962968165,46552.86583315493,44358.44997973463,54034.14719527768,51504.16303124403,49046.9441988945,46711.13032436894,44518.18957426582,54138.64828116943,51631.568186256525,49189.93739884074,46863.0316764028,44673.1892035943,54236.57902343696,51751.80396986344,49325.894340051906,47008.638338765224,44823.114857938,54328.58404755553,51865.46050024778,49455.244226448376,47148.13673614262,44967.85145978033,54415.22937411773,51973.07911286851,49578.417075027675,47281.777861688926,45107.421479562756,54497.012411396776,52075.15199524249,49695.8285966326,47409.84446979371,45241.93272142772,54574.371093364214,52172.12448643839,49807.8723833614,47532.63091475175,45371.544454957126,54647.69195197755,52264.398585112176,49914.91638100933,47650.43086382821,45496.44528987761
8,2021-07-09,60772.518460181505,57967.63025310708,55306.837602162166,52833.67357503232,50561.04606626123,60952.82291063672,58165.7122877864,55502.73014236034,53010.62495360041,50705.64398823499,61119.816521910034,58354.898326522685,55697.409515719584,53196.476282396536,50870.93645744289,61274.25192871104,58533.841251301004,55886.68727653143,53383.705122517094,51045.77886090244,61417.19205492866,58702.35735515272,56068.59857698868,53568.19453701131,51223.67007016422,61549.74945360508,58860.80453545101,56242.35244841307,53747.72159607658,51400.769232292856,61672.979772283485,59009.77754670817,56407.785963241506,53921.14652362862,51574.810244184104,61787.842923470445,59149.95570952848,56565.07027274168,54087.96025363743,51744.48286640966,61895.194228360786,59282.026801888955,56714.548238047115,54248.02390350521,51909.06781513531,61995.788470256666,59406.650074099176,56856.64330882129,54401.41499402239,52068.2155441814,62090.28899051418,59524.439687296566,56991.8080908891,54548.33495789357,52221.80903779472,62179.2781987733,59635.95885545283,57120.49551620018,54689.052781757026,52369.87711915615,62263.26787040573,59741.71952611636,57243.14309174314,54823.87042417959,52512.53887210015,62342.70856017866,59842.18481569339,57360.16479059262,54953.10159402143,52649.96762332267,62417.99791619056,59937.77268963699,57471.94741988953,55077.0588422724,52782.36743890634
9,2021-07-10,68557.22887105437,65654.6883504483,62875.723605111154,60272.07126420695,57862.28239137499,68740.82131285864,65858.1930580647,63078.66372452253,60456.80540707974,58014.319145637164,68910.8464835584,66052.52551760181,63280.301203995085,60650.781058413806,58188.07106693921,69068.07370833638,66236.30658330167,63476.300113850506,60846.14280084081,58371.81067100553,69213.58774671768,66409.3523716065,63664.63009797411,61038.59545473906,58558.700505900466,69348.52340267872,66572.03492228854,63844.47729760332,61225.82329318871,58744.704497388586,69473.957123334,66724.96897889911,64015.67818335535,61406.64204588295,58927.44442176868,69590.86754192272,66868.85554903094,64178.41475480734,61580.525817809896,59105.547921672776,69700.12653039435,67004.40378467634,64333.0462683213,61747.33476447461,59278.264126291906,69802.5033839495,67132.2930686,64480.01486468511,61907.15441785759,59445.230686589646,69898.67412795045,67253.15607851004,64619.79234862071,62060.19910316904,59606.329335101196,69989.23225485755,67367.57283746431,64752.85039324232,62206.753129798,59761.59466843378,70074.6992366062,67476.0704434776,64879.64429187431,62347.13473828062,59911.15570262148,70155.53413091163,67579.125618782,65000.60462010649,62481.67400224632,60055.19802592205,70232.14206307664,67677.1685292394,65116.133527571335,62610.699408852844,60193.939124109005
