,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,964.9098000772251,771.1025234101958,640.7195666172327,548.1180259851105,479.5624592229579,982.8441088703346,784.3259425408869,650.3121820792917,554.8805524732664,484.0759974331548,999.8812357857753,797.2447335020088,660.0320820671934,562.0967561330581,489.2989371703475,1016.0175092907091,809.7333712088019,669.6660911523898,569.4869752395381,494.8987098400966,1031.2910697817972,821.741881609349,679.1010021496352,576.890385812572,500.67699221495343,1045.7565800239227,833.2591050373683,688.2784246517435,584.2131906959114,506.5123116074231,1059.4733849061195,844.2939126901997,697.1709631219538,591.4008749264017,512.3290662518126,1072.4999717010467,854.8652444037151,705.7690752699249,598.4226211269337,518.0799549653561,1084.8914873429835,864.9966947562639,714.073564503195,605.2622099077308,523.7355992891978,1096.6987682269546,874.7135349606906,722.0911737582613,611.9125365787745,529.278204159268,1107.968119586361,884.041078011131,729.8319474180445,618.3722210529955,534.6975752199535,1118.741457658754,893.0038007676391,737.3076307487606,624.643468107003,539.9885571046132,1129.056615454285,901.6248986807556,744.530692714457,630.730694702069,545.1493529526632,1138.9477092748498,909.9260892599104,751.5137305506823,636.6396386518934,550.1804038042385,1148.4455135106216,917.927558041596,758.2691115835795,642.3767752226508,555.0836313045573
1,2021-07-02,2621.0090334221704,2137.5413739257892,1800.3550909661515,1554.9048073926303,1369.9477685827753,2663.1761155448876,2170.189864044491,1824.8313991829157,1572.5686894593696,1381.9438081630155,2703.0882019965497,2201.997191558854,1849.5803066047147,1591.3884590962357,1395.810182508283,2740.7601420368414,2232.6623629559735,1874.0589971056868,1610.631040422479,1410.6590761652515,2776.3025020094615,2262.0720854309443,1897.9823777046447,1629.8766512167424,1425.9619470480538,2809.861593918651,2290.208553557351,1921.2061910043913,1648.8820339879858,1441.3959810332124,2841.5918120352003,2317.1025012003583,1943.6654139697453,1667.50718474059,1456.7611005537992,2871.642991816828,2342.808449911399,1965.340344602674,1685.674209036208,1471.9328648880467,2900.154983200057,2367.391366916077,1986.2372853436116,1703.3433224348435,1486.8346489495334,2927.255742266499,2390.919407967072,2006.3772509329417,1720.4984115463726,1501.4206557385066,2953.0611298292333,2413.4599977437306,2025.7892420702708,1737.1381264541826,1515.6652529511393,2977.675507857633,2435.077778035585,2044.506191338276,1753.2702741720086,1529.55612276186,3001.192672016285,2455.833613921372,2062.562509507162,1768.9082345283348,1543.0897755064816,3023.696886424254,2475.7842010410395,2079.99260794435,1784.0686429692867,1556.268564290049,3045.263904778551,2494.9820115159023,2096.830024696353,1798.7698821133636,1569.0986725674254
2,2021-07-03,4783.071375803954,3969.7913295718736,3384.029214089124,2947.967849587136,2613.9694741029966,4850.092828961334,4024.016700154006,3425.9251336153256,2978.8674395781927,2635.2990646869625,4913.345799960891,4076.72199186124,3468.2110978710066,3011.744379214471,2659.9302740559046,4972.885021597812,4127.420425332313,3509.960033157065,3045.3125207571125,2686.278401717525,5028.913616230447,4175.938390280215,3550.6898421618657,3078.838197832823,2713.401503917034,5081.687242582994,4222.260213229027,3590.1608362431552,3111.8987390140105,2740.7257708844973,5131.470447831757,4266.449424124484,3628.2690927730364,3144.253053395175,2767.896914785084,5178.517137911924,4308.607466297893,3664.9878558848854,3175.7689864682898,2794.6957826429502,5223.062527877845,4348.851600339067,3700.3342491104654,3206.38098611488,2820.988508850569,5265.320620637631,4387.303006400183,3734.349885843586,3236.064670683277,2846.6960912590916,5305.484316689397,4424.080453494511,3767.089373180018,3264.8211712192583,2871.775309056098,5343.72671370173,4459.297065049757,3798.6134247093773,3292.6673016447785,2896.206478822601,5380.202872870693,4493.058824134969,3828.984725283379,3319.6292950542984,2919.9854481953357,5415.05169208405,4525.46405635838,3858.2654681773533,3345.738770352315,2943.118278413683,5448.397712544174,4556.603455002908,3886.5159218185804,3371.0301197962945,2965.617668366335
3,2021-07-04,7334.254597535201,6180.799469120485,5325.527494539746,4675.640996457579,4170.288904165801,7424.272751687037,6256.602274575761,5385.743026415547,4720.959829825138,4202.054365344371,7509.031387175318,6330.136932450362,5446.424885146164,4769.121447136651,4238.705136049059,7588.638584149617,6400.739006640096,5506.243590474459,4818.234907545406,4277.87317977871,7663.3973139834325,6468.183312828616,5564.513875975618,4867.225262304599,4318.152952773559,7733.676224345405,6532.464512287925,5620.900450522607,4915.4764767125835,4358.690257566667,7799.851444563195,6593.68619891099,5675.263247616726,4962.64002105775,4398.959516925237,7862.2810232818565,6652.003002197957,5727.5725365226135,5008.527465750546,4438.637244049207,7921.294781596818,6707.5898007377355,5777.860817940687,5053.047945372454,4477.527302405604,7977.191509230101,6760.625293615158,5826.194893670668,5096.170641654388,4515.515307613175,8030.239596378955,6811.283376294151,5872.659375540042,5137.901727671012,4552.540049923176,8080.679172610716,6859.728833587687,5917.346859416575,5178.269927599225,4588.575177787141,8128.724795242348,6906.115440797541,5960.352068342083,5217.317342224885,4623.617237919115,8174.5682179728965,6950.585404928513,6001.768399678805,5255.093562912854,4657.6777462525115,8218.38101950119,6993.269538537362,6041.685946241411,5291.65187673038,4690.777867309948
4,2021-07-05,10182.383168793636,8697.675779635409,7566.863024229133,6691.061513277467,6000.332659037954,10292.294827804526,8793.728802453687,7645.172521177814,6751.133351415873,6043.054880094752,10395.588613053771,8886.754703009692,7723.9823180902995,6814.906378903765,6092.309318638282,10492.43156128048,8975.929324932538,7801.567187356478,6879.868904790846,6144.901617749583,10583.224000839191,9060.986510781077,7877.0448912382,6944.597536610345,6198.938262694874,10668.441392188963,9141.937527919225,7949.990019934804,7008.280430263798,6253.270988758661,10748.563764052104,9218.929646895376,8020.231079378752,7070.461682310697,6307.195525919054,10824.045213029005,9292.172617917837,8087.739355257589,7130.897952395464,6360.280389786273,10895.302207782559,9361.899793637664,8152.566072389637,7189.475050927866,6412.265753568067,10962.710766960052,9428.347548345353,8214.806013310545,7246.157960394837,6463.001775706294,11026.607727372211,9491.744605671767,8274.57611786533,7300.960172976553,6512.409976113579,11087.293756660205,9552.306820791093,8332.002794637623,7353.924527377971,6560.4585061462385,11145.036956535485,9610.23498586983,8387.214407887885,7405.111066359701,6607.146022296793,11200.076498781376,9665.71430295365,8440.336889845146,7454.589272717595,6652.491012689539,11252.626038417777,9718.914756474405,8491.49126221676,7502.433084872598,6696.524649297626
5,2021-07-06,13261.289916669903,11465.15859975845,10062.39978386092,8956.3529754731,8072.310138861283,13387.622548940359,11579.459456408065,10157.896221348306,9030.946734637684,8126.099609115059,13506.166889977147,11690.004331940414,10253.890452134252,9110.062814804847,8188.070366216037,13617.148083788477,11795.830885960824,10348.282922240995,9190.576867666496,8254.189904129511,13721.054862490322,11896.642056385144,10440.007531363532,9270.723259684313,8322.07075502059,13818.4574583473,11992.469628844154,10528.556985850772,9349.499273176732,8390.267970698933,13909.927003945528,12083.505090474067,10613.733597583516,9426.345623863495,8457.897885999782,13996.001171948888,12170.012003087262,10695.512984967512,9500.967315490805,8524.42138213563,14077.171401619695,12252.279895184054,10773.967154369988,9573.229498181598,8589.515873889228,14153.880231303086,12330.600025017804,10849.22008307001,9643.095140678397,8652.997271604716,14226.52322934377,12405.25294965495,10921.421679736504,9710.586850299793,8714.771141059511,14295.452837439414,12476.502565671388,10990.732413500304,9775.76305802379,8774.801461856205,14360.982815434409,12544.59371660662,11057.314267289818,9838.702965409997,8833.090280004875,14423.392661395814,12609.751752032907,11121.32550005172,9899.496949035423,8889.664261147747,14482.931726059482,12672.183126987595,11182.917728013517,9958.24042423911,8944.565702343038
6,2021-07-07,16526.994238427094,14444.40030593822,12778.904607564506,11443.285049808896,10362.15800536012,16666.440603245417,14574.722559685388,12890.334359193168,11531.83413477099,10426.86000202255,16797.131976971967,14700.615403617532,13002.231660786392,11625.67451091247,10501.356629605145,16919.34624232724,14820.999603307722,13112.151316836136,11721.091771251968,10580.785924164184,17033.648085714594,14935.555556472904,13218.85946578995,11815.992095490883,10662.272489107349,17140.68779448425,15044.337276101398,13321.775957269754,11909.190979618184,10744.079195444798,17241.112770599466,15147.578736620842,13420.681804856144,12000.031791851641,10825.14649761995,17335.530239763826,15245.593855498708,13515.559377095946,12088.171952446224,10904.83045491744,17424.49375594876,15338.72408743892,13606.502367344516,12173.458721228499,10982.748007179474,17508.500773194384,15427.31104574138,13693.663924121565,12255.854934986453,11058.682687344211,17587.99519905241,15511.682595605456,13777.226333129869,12335.393579573041,11132.525648520746,17663.37197511237,15592.14630530382,13857.38319138024,12412.1495041795,11204.237973816633,17734.98225182444,15668.986932587923,13934.3289722855,12486.221581887941,11273.826156720199,17803.1384802161,15742.4661036711,14008.253031560578,12557.721369575633,11341.325919773793,17868.11912210693,15812.823148469955,14079.336308861963,12626.765881783625,11406.791416961098
7,2021-07-08,19935.703060107753,17596.39941917286,15682.456717317566,14122.505878194379,12844.394554232713,20085.111869492688,17740.350959583247,15808.284107244943,14224.158216674596,12919.62137250625,20225.00822010951,17879.273389564572,15934.528182320095,14331.806278121425,13006.187455747457,20355.71469307792,18011.991640211836,16058.432636694055,14441.18052399116,13098.428156103197,20477.857580429114,18138.17065545309,16178.614329071559,14549.879638467883,13192.996722401871,20592.15116320501,18257.886758112672,16294.42988236737,14656.549897915254,13287.874574800515,20699.303331463387,18371.413018116757,16405.643603486034,14760.445040567041,13381.833467025448,20799.976180363,18479.10868847167,16512.2462784401,14861.17962453593,13474.129556646134,20894.772068923387,18581.361484988654,16614.3532452792,14958.58583973801,13564.322736265054,20984.231459134364,18678.55759159666,16712.145789298997,15052.627981290701,13652.16657322942,21068.836010875304,18771.066554276815,16805.836979174866,15143.350196985295,13737.53951141737,21149.013776586165,18859.23428095874,16895.651650590324,15230.844004229859,13820.400937162623,21225.14497311482,18943.380467935654,16981.814745990345,15315.227844544734,13900.762627286147,21297.5676168688,19023.798416758527,17064.544664407807,15396.634119711776,13978.669930939684,21366.582712654854,19100.756099709935,17144.04964458822,15475.200957720499,14054.18923215078
8,2021-07-09,23468.714385401814,20901.889502677463,18755.063064802966,16977.841288710213,15504.692749478028,23625.566447683144,21057.305778193855,18893.772023896865,17091.67627318961,15589.96821870801,23772.332322715218,21207.172102498957,19032.835284843724,17212.14824992618,15688.048381505383,23909.369763998733,21350.23512067836,19169.219144554492,17334.47074622754,15792.50004420856,24037.352546203303,21486.149142066806,19301.4086268337,17455.95711275403,15899.525838612299,24157.04391629467,21615.011395614554,19428.705706644527,17575.097478760374,16006.838787693827,24269.19785981009,21737.1296788853,19550.861599175587,17691.063661710774,16113.050368391805,24374.51816891102,21852.902926687955,19667.876305765683,17803.43180438086,16217.322358812304,24473.64421165016,21962.759051647015,19779.886010352686,17912.021444339796,16319.161249642026,24567.14900581483,22067.12278733305,19887.09845066934,18016.799471299346,16418.293042840512,24655.542745844803,22166.39961041953,19989.755330029097,18117.821515844294,16514.58503052205,24739.27847749932,22260.968393735613,20088.110362717754,18215.195565618014,16607.995880309994,24818.758332069498,22351.17880998489,20182.416539530615,18309.059105779772,16698.543227389317,24894.33958006153,22437.35128764903,20272.918911183486,18399.56465740656,16786.28233991694,24966.34018732063,22519.77828898125,20359.850704710538,18486.87061894723,16871.291925340498
9,2021-07-10,27108.33943502064,24343.162875828464,21980.235542033195,19994.40051290371,18329.770211838757,27270.62742240116,24508.0830677765,22130.343725565803,20119.452894666738,18424.55105236323,27422.411198452708,24667.011783699098,22280.73867123178,20251.721893725877,18533.515038422796,27564.074221817053,24818.632228638522,22428.141937459994,20385.944449617364,18649.500188850645,27696.324916368485,24962.591356006964,22570.923179553673,20519.171655995982,18768.282413005374,27819.962235919615,25099.00503411394,22708.337442909866,20649.750827537264,18887.321133490874,27935.77376391546,25228.210966528775,22840.12573160209,20776.779488191103,19005.076890664463,28044.493673495905,25350.641915399694,22966.297443909047,20899.799559057898,19120.62303232933,28146.788290049895,25466.759883495586,23087.008298707395,21018.62001264628,19233.41642885126,28243.254339150233,25577.022189982803,23202.490378578277,21133.2111137621,19343.15788181857,28334.422790360546,25681.864610683482,23313.011524461115,21243.639943346843,19449.704954957415,28420.76488311981,25781.693764309293,23418.851682465436,21350.03042496511,19553.01638683515,28502.69869877151,25876.88451471593,23520.28923560461,21452.53825012647,19653.11603084114,28580.5955198535,25967.780056354113,23617.593301458735,21551.335047508146,19750.069141554057,28654.785654178184,26054.693380083052,23711.019626249647,21646.598383500936,19843.96661874995
