,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,664.8074378751213,528.7340438794017,437.93738885660474,373.8067323250143,326.5160530502659,677.4676515399627,537.9757856859777,444.5974625617627,378.48020860511923,329.624710127964,689.505409020336,547.0105773036021,451.349139831108,383.4689217843738,333.2228113495865,700.9164681641865,555.7501450282381,458.04436990891304,388.57976516454914,337.08152856136064,711.7262611893611,564.1589269093703,464.6043423467158,393.7015901298427,341.0643556454114,721.9720890688181,572.2284995126772,470.98824118815816,398.76948299794435,345.08763353733593,731.6947576633434,579.9644905551561,477.17675627329555,403.7456375125018,349.0992494617591,740.9346441872195,587.3796289184296,483.16298330859814,408.60861010463753,353.0665578630591,749.7299181319737,594.489961134585,488.9472221056187,413.3470450364584,356.96924615132843,758.115831534155,601.3127651128672,494.5339211590637,417.9558920861844,360.7949764424884,766.1245416452988,607.8654009008172,499.9298463453008,422.4340670678237,364.536647018644,773.785193171703,614.1646902327522,505.1429682814973,426.7829743646449,368.1906304522718,781.1241191966135,620.2265989329147,510.1817818117808,431.00555844144344,371.75561741562245,788.1650876864269,626.0660938394903,515.0548903168522,435.1056873870129,375.2318453869863,794.9295560904126,631.6971000947478,519.7707547886165,439.0877489934524,378.6205771448191
1,2021-07-02,1824.0175273213104,1477.93505131482,1239.2189747714106,1066.7970396299747,937.6111824745506,1854.3987814524423,1501.1540437685587,1256.469385108786,1079.1647693201367,945.9691263805167,1883.1869988006745,1523.7942018434183,1273.9232576561901,1092.3481357599042,955.6334513976718,1910.3877488571034,1545.6395291235522,1291.197794398899,1105.8344310018972,965.9864469811421,1936.076128268935,1566.607259535595,1308.091257541382,1119.3296796081281,976.6601818270904,1960.3536648334969,1586.6826072792494,1324.500954318456,1132.6631877352447,987.4297406972084,1983.3283488825978,1605.8855040462388,1340.3799998536724,1145.736414376131,998.1555432861055,2005.1054421340157,1624.2530308996231,1355.713499239837,1158.4942584111154,1008.7506154265366,2025.7834783115118,1641.8299250026712,1370.504969054802,1170.9083052637031,1019.1612571472666,2045.4528068328916,1658.663398090517,1384.7683901108696,1182.9667427245643,1029.3552372279566,2064.195378331921,1674.8003237741937,1398.5234661539525,1194.668135809207,1039.3143808477623,2082.0851170095048,1690.2857533090992,1411.792760413247,1206.0175052465609,1049.0298060598686,2099.1885457641515,1705.1621858915682,1424.5999578409312,1217.0238178736734,1058.4988024987695,2115.5654937935115,1719.469269279195,1436.9688148177286,1227.698361959567,1067.722753039924,2131.2698016768954,1733.2437440415174,1448.92253462367,1238.0536878071523,1076.70573172174
2,2021-07-03,3366.731987685521,2773.0233137846612,2350.9340811472553,2039.6886264449674,1802.9916345571903,3415.9997898983615,2812.297924848303,2380.953332930917,2061.6510177480754,1818.05842218407,3462.5523580512086,2850.5087266633236,2411.275302048879,2085.0324247310523,1835.464691516399,3506.42057759406,2887.299190772078,2441.2351167402812,2108.9198605185475,1854.0929146791825,3547.745540013476,2922.5391745295137,2470.4855698287624,2132.7916738813246,1873.2783937966806,3586.7082421045357,2956.2131191425183,2498.852731146386,2156.346586202778,1892.6157606700278,3623.497404648643,2988.3632559167204,2526.2599014380835,2179.4120847818317,1911.8543182475091,3658.2949475094724,3019.059756894729,2552.6857931861746,2201.8929941802157,1930.8386261396827,3691.269899403378,3048.384713038463,2578.140748595371,2223.741494153702,1949.4734051086689,3722.57639059791,3076.423470636747,2602.652866064147,2244.9390970195504,1967.7021132503971,3752.3536042154183,3103.25999229483,2626.2597584651244,2265.4855422756723,1985.4935043001824,3780.7266256693056,3128.974462083474,2649.0036030201127,2285.3918171663354,2002.8329985614073,3807.8076555299244,3153.6421558562556,2670.928159032725,2304.6757032109754,2019.7170366704565,3833.6973176048173,3177.33302584161,2692.076983325657,2323.3589036129697,2036.1493265389565,3858.4859316642746,3200.111684040145,2712.4923844126965,2341.465178654164,2052.1383169209903
3,2021-07-04,5202.005889650878,4348.102634118767,3723.676648607745,3254.168316421328,2892.0316032294313,5269.056293954709,4403.714836041985,3767.3447240139026,3286.740737163389,2914.70288482601,5332.261765251909,4457.717081680505,3811.387076374958,3321.378483671266,2940.8731318840123,5391.689972091749,4509.615835820165,3854.838455263034,3356.7242669387465,2968.855370443957,5447.555398772428,4559.239256519045,3897.198996374399,3392.0050834275385,2997.6475319054275,5500.1232710074355,4606.577141496096,3938.222026453857,3426.7766854835813,3026.639846765319,5549.666047649372,4651.699881627926,3977.8024062449026,3460.786626338671,3055.4564247958965,5596.444130672069,4694.716053765013,4015.91522664882,3493.8973971665496,3083.8652803980863,5640.698059081628,4735.749796757249,4052.5810256071995,3526.0416535916493,3111.7251854453616,5682.646203143877,4774.928682196629,4087.8455583655837,3557.1953357152106,3138.9532379847547,5722.485054310533,4812.377302135399,4121.767826925138,3587.361133239945,3165.504528538465,5760.390671653667,4848.214028040074,4154.412927042254,3616.5581164860937,3191.359099886591,5796.5205665419935,4882.549545364787,4185.847768103437,3644.8151382397336,3216.513425758625,5831.015670636315,4915.486381287525,4216.138536071355,3672.1665922942852,3240.974756109466,5864.002218549105,4947.118979538819,4245.349227494229,3698.6496720977657,3264.7573182045876
4,2021-07-05,7274.902153799625,6161.500303203127,5325.555438712074,4685.358963795051,4184.90671270421,7357.749779663851,6232.821412301193,5383.006838173124,4729.010759749356,4215.713965340585,7435.694598333506,6301.964063032719,5440.874344852562,4775.383432376269,4251.249638741426,7508.846969824216,6368.308193378891,5497.890532605596,4822.654286131861,4289.21477409989,7577.495196713574,6431.647430079066,5553.404017208775,4869.788322687287,4328.245461932913,7641.986471864236,6491.9819193112835,5607.097774285407,4916.193407128466,4367.513435626034,7702.67346600209,6549.413719083245,5658.841044513252,4961.5354113872445,4406.50963588963,7759.891018295056,6604.092279725299,5708.608143577305,5005.634500708732,4444.921238759983,7813.94701020311,6656.185516089657,5756.432491633536,5048.404765580488,4482.55901875342,7865.119969697469,6705.864418071765,5802.379950626425,5089.818022031747,4519.313040716102,7913.659805584899,6753.295009540685,5846.533103580537,5129.88157906944,4555.124898104048,7959.789899556583,6798.6343644637445,5888.981904595599,5168.62432487837,4589.969926082222,8003.709679378192,6842.028880688822,5929.818119202018,5206.087895367469,4623.845592833689,8045.5972458679735,6883.613805790605,5969.13205794802,5242.3210150378345,4656.763807940658,8085.611855114917,6923.513444015952,6007.010714115829,5277.375853904343,4688.745764754249
5,2021-07-06,9531.983171048661,8170.745919965191,7122.673562664903,6305.797738612269,5658.963369827966,9628.067941592291,8256.451641741762,7193.426430705443,6360.522203434715,5698.107697358367,9718.320698963684,8339.421318824321,7264.608402227611,6418.604613785611,5743.229637929867,9802.895661997549,8418.923629196284,7334.661590866784,6477.7558559592735,5791.400514593106,9882.149904776643,8494.725441485878,7402.790855530803,6536.6796038878365,5840.884814796972,9956.505004575154,8566.840890960128,7468.614145130965,6594.637294036399,5890.630596236614,10026.385470572108,8635.40499848826,7531.97881272693,6651.214881674549,5939.993118666197,10092.192246383018,8700.6080351659,7592.861049234864,6706.192020868298,5988.577767137673,10154.29264688248,8762.660866082506,7651.309050093972,6759.465973474109,6036.147273695375,10213.018030731719,8821.776641775696,7707.410135096952,6811.006031109989,6082.565142987537,10268.665024116423,8878.161334327124,7761.271425182966,6860.82556386599,6127.76022745417,10321.49824728335,8932.009136324605,7813.008399195561,6908.964560364825,6171.704051069578,10371.753538692868,8983.500550641946,7862.738129119799,6955.478571469085,6214.39602682615,10419.641192719364,9032.801960951241,7910.575338498168,7000.431646314473,6255.8536763641205,10465.348990547314,9080.065998343487,7956.630183905607,7043.891801794995,6296.106083315584
6,2021-07-07,11937.630467171666,10345.943483817493,9090.414758944673,8095.17181012685,7297.269419146695,12044.368959023534,10444.41806566653,9173.647162679648,8160.665906307151,7344.731564946712,12144.498149764679,10539.632610333949,9257.297819546431,8230.121626296486,7399.407905935383,12238.213316161258,10630.760783150616,9339.537394210658,8300.7951177516,7457.739151257151,12325.931766940159,10717.549618470937,9419.438027580974,8371.13638380945,7517.6183328973375,12408.13894446372,10800.029279968998,9496.559132730941,8440.265696316641,7577.770588122633,12485.320398588616,10878.367203048543,9570.729958468643,8507.692832520986,7637.416552310102,12557.93285855046,10952.792579518045,9641.93069098763,8573.159650396274,7696.080988314618,12626.39354011526,11023.556656477329,9710.22537619993,8636.548584687687,7753.479757873029,12691.077977635916,11090.911892898193,9775.723201232377,8697.827892106556,7809.4509223760215,12752.321726149816,11155.10128981237,9838.555807664652,8757.01811777982,7863.911626440727,12810.423665548495,11216.35329319613,9898.86390899813,8814.171184476936,7916.830521272895,12865.649801451817,11274.879765176353,9956.789421671063,8869.357179803364,7968.20980717441,12918.237035901906,11330.875631754861,10012.470915319343,8922.655937330765,8018.073368574999,12968.396672496481,11384.519422393943,10066.041082870093,8974.151655765276,8066.458845059762
7,2021-07-08,14460.33826697538,12659.855538767051,11205.784253559263,10034.101705377117,9083.377363215368,14575.256374644889,12769.322591264214,11300.433647200167,10109.833010618286,9138.958508743977,14682.9482241574,12875.055519228366,11395.47184718586,10190.085665897872,9202.952004534603,14783.644673924822,12976.149249352338,11488.822143557674,10271.68264098123,9271.18089751642,14877.812698819329,13072.33690682814,11579.437137846411,10352.833295205864,9341.175021932035,14965.989557516792,13163.6653552653,11666.824825543355,10432.524859748923,9411.442167259223,15048.709895925867,13250.332458563335,11750.799979434038,10510.196098273684,9481.072263332502,15126.475052128546,13332.603054339917,11831.348352313325,10585.554380780643,9549.512290163688,15199.741970083955,13410.764944996237,11908.550184697435,10658.469423174498,9616.433341367356,15268.921229110685,13485.105919335128,11982.536142737425,10728.909761811277,9681.649615784921,15334.379173345511,13555.902091780443,12053.461569750725,10796.90389700505,9745.067751768533,15396.441706868132,13623.41242069439,12121.491351600824,10862.516101508802,9806.65444758441,15455.398574543637,13687.876613893332,12186.791060885515,10925.831165138909,9866.415397668767,15511.507571062331,13749.514873412181,12249.521872935473,10986.94469881365,9924.381392768093,15564.998433021388,13808.528609192512,12309.83777101042,11045.956957304774,9980.59904536889
8,2021-07-09,17080.498520282235,15094.296138884034,13452.857702509591,12108.892677218348,11005.537633374252,17201.487888995718,15213.035777618656,13557.784808625784,12194.21415103829,11068.933754341197,17314.783543959522,15327.625445147678,13663.058947945749,12284.569567393555,11141.887812104553,17420.64481992608,15437.095863425924,13766.381535525525,12376.375367866274,11219.626498431402,17519.577266682507,15541.170689609664,13866.5990839094,12467.615921018225,11299.329536342635,17612.15797348532,15639.912932862715,13963.175010933424,12557.154813072302,11379.29574347019,17698.959109723473,15733.547902929902,14055.912717693549,12644.365473312097,11458.489868986755,17780.51597413341,15822.372004614224,14144.804480688344,12728.924181622699,11536.2848324241,17857.315665301234,15906.705123246991,14229.946453260909,12810.689897249606,11612.309501427419,17929.795297431876,15986.865881110509,14311.489793306173,12889.632478493879,11686.355959626602,17998.344478443156,16063.15917564891,14389.612172267214,12965.788826939417,11758.321538782164,18063.30949394364,16135.870404414169,14464.50108183186,13039.235622998462,11828.171799570959,18124.997963285183,16205.26334162436,14536.344108982395,13110.0721639886,11895.91647225544,18183.683388635258,16271.57998672316,14605.323389133822,13178.409481434783,11961.593598513888,18239.60934563441,16335.041443025177,14671.612588940441,13244.363428095783,12025.258965217123
9,2021-07-10,19783.403397516955,17635.063300820075,15818.897608862,14308.419134251686,13054.106339462278,19908.771377228655,17761.488504517878,15932.956448260438,14402.62304104284,13124.945001282933,20026.107632559895,17883.409195600525,16047.313757038504,14502.326093700953,13206.42602343045,20135.692410862568,17999.804331220956,16159.474473968045,14603.567642889744,13293.20662532866,20238.059358159244,18110.391181893378,16268.192033973746,14704.12406016423,13382.132685869974,20333.814485425304,18215.247452821608,16372.89156050967,14802.745239358232,13471.304231643266,20423.55715945733,18314.622327172325,16473.367617312702,14898.745084951359,13559.567351522002,20507.84726260437,18408.839314561075,16569.619425227673,14991.772085767758,13646.22513811228,20587.193700194097,18498.24566872872,16661.75828422435,15081.676189486829,13730.866993918278,20662.052759776874,18583.18620547498,16749.95442882869,15168.429346190664,13813.26467639463,20732.83084724464,18663.990200400942,16834.40611191204,15252.077012680737,13893.307346182395,20799.88895604654,18740.965391279726,16915.321541384423,15332.708042966797,13970.960115754053,20863.547597285713,18814.395847900334,16992.90839821501,15410.43576675053,14046.237132881783,20924.091596511207,18884.54192098112,17067.3678924088,15485.386015833708,14119.18385818759,20981.774501510008,18951.641269209827,17138.891560753025,15557.689538578432,14189.865272205288
