,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,30.958440355645507,24.654943146974286,20.439178073157944,17.456935312879807,15.255378293784952,31.544019954688974,25.08361329955194,20.74867135979074,17.674391931764994,15.400160521447644,32.10066627469169,25.50260673359148,21.06237952755976,17.906494399443723,15.567727071795893,32.628204536047335,25.90783597949003,21.373423216818125,18.144255346024664,15.74741761234869,33.12783048058273,26.297659746695754,21.67814282962902,18.382503092382212,15.932873390881781,33.60128617522461,26.67169540655254,21.97464520970786,18.618218386101354,16.120198020162466,34.05047321624033,27.030211419847614,22.26203675685492,18.849643800404234,16.3069649529121,34.47727108106421,27.37380480146898,22.540000239172745,19.07578345086788,16.49165462336014,34.88345518029114,27.70322562079126,22.80855292847431,19.296110849934703,16.673322005081573,35.27066435069482,28.019280293303144,23.067904565334427,19.51039282237187,16.851393527131467,35.64039293171815,28.32277835916585,23.31837225421204,19.718580606748198,17.025539472118346,35.99399480522275,28.614503793154118,23.56032877647816,19.920741091613507,17.19559188631739,36.33269288117539,28.895200354926924,23.79417099348078,20.117012680284915,17.361490715329463,36.657590659058435,29.165565026904083,24.020300558093,20.307576613426168,17.523247875292228,36.96968413391709,29.426246096900375,24.239112283993794,20.492638183567646,17.680922963139267
1,2021-07-02,84.60750802981072,68.68288044063304,57.663259181681035,49.68603355552187,43.69936268144416,86.00275170231617,69.75327124180254,58.46058521355469,50.25875814525155,44.08694845324666,87.3244083092067,70.79671829359988,59.2671644197724,50.86916945630969,44.535072246521324,88.57280224226805,71.80328980858852,60.06530654778365,51.49351739118552,45.01507746082965,89.75144348871183,72.7691994281937,60.8456977850697,52.1181892152294,45.509897662613284,90.86504689455342,73.69379378231736,61.60360511262562,52.73528530978617,46.00910277627487,91.91861557697818,74.57801738596322,62.336875482454275,53.34024920433538,46.506222357499745,92.9170199173353,75.42360227487615,63.04483382198983,53.93053668220741,46.99722670410421,93.86481507503761,76.23263041901943,63.72765495055688,54.50483929713106,47.47962968595186,94.766175187779,77.00729511995794,64.38599609860766,55.062617055072586,47.95194088737757,95.62488444522225,77.74977167543761,65.02077776770567,55.6038099843634,48.41332164530494,96.44435495506308,78.46214928646256,65.63305145925678,56.12865648312924,48.86336402651178,97.22765607591637,79.14639772148526,66.22391946479198,56.63757710541572,49.30194602352771,97.97754742201431,79.8043537803961,66.79448643662472,57.13109935363663,49.72913515211544,98.69651165398673,80.43771895376743,67.34583063581776,57.60980866248459,50.14512343228689
2,2021-07-03,155.22101389839125,128.14403278149126,108.81679351039207,94.52390720254898,83.63105442728538,157.46243756673488,129.93916987388837,110.19346312008943,95.53356808625986,84.32500330747598,159.57954722027242,131.6851598936994,111.58369118514126,96.6082763597929,85.12660419072273,161.5738801021153,133.36576188519902,112.95699502021223,97.70604365234011,85.98435992132237,163.45197164257021,134.97508872234212,114.29747624847396,98.80289084784035,86.86764636770742,165.2221547381354,136.51248805798733,115.59718873586549,99.88497918083742,87.75779345912352,166.8930969411278,137.97994314369518,116.85264605705672,100.94439366653486,88.64326043896794,168.4731419863301,139.3807076703731,118.06290133156449,101.97677598227658,89.51689666433616,169.97003513280478,140.7185736794827,119.22845561746686,102.9799446336598,90.37432357985004,171.39083400086759,141.9974762024734,120.35062139578565,103.95306566795992,91.21294705181079,172.74190817589204,143.2212819642477,121.43114466204263,104.89614180354927,92.03133775009911,174.02897934591078,144.39368064290693,122.47197812107908,105.80969146433921,92.82883343474165,175.25717768841184,145.51813388710522,123.47514468524795,106.69454405998324,93.60527877059938,176.4311023561211,146.5978568979759,124.44265590635386,107.55170800407315,94.36085242440987,177.5548801619371,147.6358181541595,125.3764642744767,108.38228509832948,95.09595070632174
3,2021-07-04,238.6243478342389,199.97106074994153,171.57736687234842,150.15641795655696,133.59212736103882,241.65134409977964,202.49464046785192,173.56649951319787,151.64440616490208,134.63011587717557,244.5036597741251,204.9443636868748,175.57215532226684,153.22642528872663,135.8281267639282,247.184541832281,207.29792312728023,177.55038147122403,154.8404446696591,137.10887849015484,249.70384105512971,209.5476179947869,179.4784502508137,156.45115689908513,138.426476416714,252.07367194703284,211.69307752910044,181.3451761219544,158.03828858746704,139.75300418772767,254.3064508315799,213.73757841391722,183.1458213432163,159.59033504554296,141.0712628841748,256.4140286555247,215.68611934189346,184.87929974523422,161.10104420407885,142.37064688679382,258.4073422467007,217.54439488571862,186.54659081141887,162.5673687468655,143.64470778310647,260.29631344302413,219.31824618505524,188.14981780093336,163.9882369344328,144.88966791568706,262.089864870486,221.01337119784256,189.69170262135862,165.36379672039968,146.10348852550374,263.79598743225694,222.63517880488848,191.1752403824994,166.69494192050055,147.2852722483854,265.4218271525689,224.18872336359107,192.60350489618006,167.9830108449788,148.43487276032124,266.973775433751,225.6786841861118,193.97953358150755,169.22959268845779,149.55263581473457,268.457555178185,227.10936970372887,195.3062611312915,170.43640249300492,150.63922533043248
4,2021-07-05,331.7061417905298,281.7439177731608,244.04046279113732,215.05447768780272,192.32838592647616,335.41151508603656,284.9523847182774,246.63632334550073,217.0334569982975,193.72872468885325,338.8961721919158,288.06173865347614,249.250218593824,219.1353079788582,195.3437209631163,342.16530572010316,291.0442129439929,251.82490707798627,221.2773593881482,197.06880740389573,345.2320330818663,293.89066209990546,254.33102020822412,223.41269856815956,198.84196438004477,348.11206875337064,296.6012233077132,256.7543095808269,225.51451377442797,200.62554644419745,350.82133883868715,299.1806039878,259.08894348376265,227.56770010100237,202.39643222148496,353.37494367107956,301.6356278819562,261.3338330259299,229.56415031986626,204.1404273804568,355.786754678529,303.9739345791991,263.49055291454357,231.50001430453133,205.8489586008811,358.0693116154272,306.2032888557563,265.56213625550214,233.37405607191198,207.5170570681104,360.2338590382241,308.33122075219296,267.5523645188287,235.1866450944413,209.1420951993839,362.29044281347586,310.3648480684774,269.4653456838269,236.93912532020812,210.72297743854003,364.24802755868757,312.31080022869537,271.3052637580122,238.63341490156736,212.25961227271338,366.1146160148638,314.1751982549138,273.0762319098675,240.2717498889627,213.75256252707248,367.89736156407884,315.963665177354,274.782208997774,241.8565193841151,215.20281096837388
5,2021-07-06,431.8027243906161,371.2873156478005,324.42870594446384,287.74778456905887,258.6040219305164,436.05629285639174,375.1064808885902,327.59732111868885,290.208059339268,260.36921755223005,440.04992882576306,378.80229277209634,330.7841256298612,292.81863343012293,262.40358489568234,443.79077820342576,382.34233148938097,333.9193879563863,295.4765428904124,264.5749603085612,447.29492399619267,385.7163900256759,336.96758591046824,298.12352332003144,266.8050497029109,450.58125834579823,388.9252686827767,339.9117135087911,300.7264181360733,269.0464220436786,453.66876146544683,391.9751351744641,342.7450386118563,303.26667374213633,271.2700294022941,456.5753351941195,394.8745983890044,345.46659196835185,305.7344481551747,273.4581131642006,459.31736388214773,397.6331653766764,348.0786192547094,308.12518498184613,275.6000140743041,461.9096168662909,400.2604277687373,350.5851080084207,310.43756187089417,277.68961752814914,464.36530718597294,402.7656424956827,352.9909227139106,312.67223288779195,279.723754187339,466.69621594688914,405.15752904488716,355.3012932114794,314.83104334010267,281.70117642828353,468.9128379757083,407.44418635287855,357.52151276203796,316.9165329017703,283.62189131372224,471.02452747748356,409.6330753862325,359.65676253341775,318.9316184167341,285.48671945213914,473.03963406244844,411.7310369243407,361.7120131771309,320.8793906767934,287.29699985983353
6,2021-07-07,537.2627415153871,467.16249780077163,411.5221927220821,367.2045469138216,331.54017065992537,541.93887184086,471.50846825508745,415.2160624318485,370.1238526696838,333.66303630449187,546.3234344786399,475.7088387907808,418.92720803964164,373.218884052494,336.1080656646192,550.4253554498623,479.72734898975324,422.57449337960327,376.36727393597505,338.7159343517802,554.2632366334184,483.55305698619424,426.116852486495,379.49995513544576,341.3923620673404,557.8586102914204,487.18750159680593,429.5348643011466,382.57777798899536,344.0803363879407,561.2329645938291,490.6382555578604,432.8210826448458,385.5789714161516,346.745034226688,564.4064841271964,493.91559131087575,435.97475062001877,388.4921129994057,349.36524839126815,567.3975889693475,497.0307306481956,438.9988204006424,391.31204371310145,351.92832395149776,570.2228461826456,499.9949277142023,441.8982343121886,394.0374241743803,354.4270719280112,572.8970496945582,502.81900116605226,444.6789186539261,396.66923869334335,356.85783829311544,575.4333693254429,505.513112056448,447.3471909599902,399.20986297383587,359.21926927944247,577.8435207038857,508.08667677861206,449.90941210225213,401.6624754554294,361.51150766149743,580.137933162362,510.54835363302897,452.37178567301385,404.03068258221305,363.73566195932545,582.3259054416666,512.9060684102419,454.7402469059601,406.31827957843774,365.89345192288033
7,2021-07-08,646.5814398564848,568.0295372976207,504.16006275612085,452.4237779205888,410.26970331511683,651.5622830464055,572.8132868185239,508.32204318660985,455.77004168055765,412.73509461444684,656.2276839453639,577.4318629176909,512.4995850903788,459.31503323425284,415.5729903234087,660.588063142902,581.8459578767856,516.6014332868134,462.9182962429243,418.59795817437447,664.6640171238503,586.0441686322525,520.5816682151197,466.50073834272564,421.7003803915289,668.479127350542,590.0287847001849,524.4188152252216,470.0176885140718,424.81408045669286,672.0568073410196,593.8086655486346,528.1048882270975,473.4444475098947,427.8987371916344,675.4189811507447,597.3955670773137,531.6394078511257,476.768189210282,430.92988302483354,678.5856113446291,600.8022206234242,535.0260340727461,479.983257336763,433.89299716384056,681.5746208592143,604.0413322543227,538.2706280963473,483.0883547362024,436.7799065685294,684.4019912541714,607.1250768027239,541.3801210096813,486.08482500993244,439.5865354821689,687.0819319836786,610.0648616542626,544.3618497537841,488.9755833566584,442.3114676410947,689.6270697406188,612.8712381318202,547.2231693504725,491.764442894071,444.9550113340091,692.0486339021026,615.5538928148529,549.9712309406078,494.4556869157824,447.51858274828203,694.3566276134362,618.1216807945046,552.6128603481998,497.0537967325553,450.00429476556116
8,2021-07-09,759.0436337656068,673.1649131916635,601.6754786916946,542.8110975377618,494.26847527245997,764.2342445411813,678.3050205831184,606.2485264815126,546.5493869621308,497.05787910565175,769.09242605366,683.263287946808,610.8349500325626,550.5070024002403,500.2670640190855,773.6297441024435,687.9980291657195,615.3346452245603,554.5268465171303,503.6858201655029,777.8682652000042,692.4975701467893,619.6974987356169,558.5206422677836,507.189998834311,781.8330595782564,696.7649063155895,623.9003091493391,562.4386933363413,510.7047657363428,785.5489281916093,700.8100264406197,627.9346904997351,566.253665141985,514.1846272465302,789.0390415340327,704.645962956384,631.8004746940866,569.9514970651082,517.6020680199107,792.3244626574977,708.2867333771969,635.5020027919077,573.5261278626485,520.9408410540706,795.4240783767448,711.7462731011103,639.0459944325969,576.976346316558,524.1918806349609,798.3547119216546,715.0379000230827,642.4403072011655,580.3038680883193,527.3507480909636,801.1313075146198,718.1740682814777,645.6932108365852,583.5121409382899,530.4160011578928,803.7671341548107,721.1662795895598,648.8129653110476,586.6055933004816,533.3881346661514,806.2739839760234,724.0250794374824,651.8075809369093,589.5891583042882,536.2688826960111,808.6623545624931,726.7600974254066,654.6846885596915,592.4679718430579,539.0607539145362
9,2021-07-10,874.0622672925299,781.9654787576346,703.5039172798442,637.856734782763,583.0821996045852,879.3887636766043,787.3890684529374,708.4327647117346,641.9508316545144,586.1749155198478,884.3716246006617,792.6170851129946,713.3725865951643,646.2825299854522,589.7313802558257,889.0232058065885,797.6060198644446,718.2156493105167,650.6796045605608,593.5181221546744,893.366565075159,802.3440528733864,722.9082625337584,655.0454597642474,597.3973719511646,897.4277677041284,806.834804029231,727.4257888780237,659.3258749768415,601.2862008392605,901.2325371804885,811.0892143911242,731.7595527562411,663.4911674164719,605.1342978953315,904.8048697434376,815.1213770096314,735.9097066657393,667.5262003224726,608.9113259035947,908.1665554086615,818.9463698604588,739.8812260695264,671.4245867888711,612.5994550029174,911.3371161967547,822.5791369236052,743.6816123258269,675.1852317386066,616.1888162557764,914.3339288628507,826.0339305073473,747.319557983254,678.8102225164406,619.6746617337501,917.1724199683114,829.324057985685,750.8041682009853,682.3035201492977,623.0555527689224,919.8662794592319,832.4617939159817,754.1445099526616,685.6701376422135,626.3321840318863,922.427667725018,835.4583808059109,757.3493572444911,688.9156205913129,629.5066097213327,924.8674054499104,838.3240756356333,760.4270546241501,692.0457186238586,632.5817290123254
