,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,715.9385568678603,569.5866462437192,471.87546010579973,402.8347848366955,351.909798230486,729.5498215992295,579.5297018344547,479.04421469706807,407.8667966133129,355.25770733737164,742.491025859411,589.2496542185432,486.3113306143423,413.23810494349635,359.1326684330918,754.7577342923227,598.6515710155766,493.5174521985952,418.74077647153,363.28822570768233,766.3774035728314,607.6972386691835,500.5777648638468,424.25513579703465,367.57736072853,777.3902354143914,616.3776409250629,507.4483552827853,429.7112957729543,371.9099753685704,787.840184670788,624.6988752431841,514.1084595698976,435.06855920223785,376.22994908612714,797.7707319586463,632.6746744297594,520.5506665277538,440.30384795033564,380.50212859736405,807.2229729058859,640.322335969367,526.7753178038396,445.40494570701605,384.70464358341246,816.2348569486687,647.6604777621496,532.7872187890227,450.36642495979845,388.82421243776616,824.8409983107853,654.7078021516778,538.5936674317121,455.18712780362426,392.85319263808174,833.072765790762,661.4824289038766,544.2032567065538,459.86857502754003,396.7876830726698,840.9584999065918,668.0015539637282,549.6251422705408,464.4139448389015,400.62627880620886,848.5237788449989,674.2812959591907,554.8685951758159,468.8274091598333,404.3692403625367,855.7916929567971,680.3366505877225,559.9427319577463,473.11369875002345,408.0179320770699
1,2021-07-02,1966.5663809617026,1594.1563019873688,1337.0754254004842,1151.2874319720142,1012.0325121836823,1999.2456077027668,1619.1550349160093,1355.659832064241,1164.6175433165834,1021.043798972525,2030.2087557839313,1643.5290670787874,1374.46258317297,1178.8262948413392,1031.4633505075574,2059.462218327183,1667.045990316308,1393.0712933732411,1193.3610397227262,1042.6251074677405,2087.0871324938034,1689.6168601297047,1411.2686828265182,1207.9049300704503,1054.1323536910181,2113.1930139075575,1711.2259186269887,1428.944192453233,1222.2740159541167,1065.742591791856,2137.896279957258,1731.8947722047951,1446.0473898268501,1236.3621254166057,1077.3053429612046,2161.3103696075514,1751.663473940743,1462.5623030571169,1250.1099102968237,1088.7268535012045,2183.5414483176064,1770.580302847548,1478.4927895462497,1263.4867855280522,1099.9492479585592,2204.6868478178035,1788.6961865993583,1493.8539732372285,1276.48005835278,1110.9377986681643,2224.8348407929316,1806.0616750690913,1508.667136673279,1289.0882179045832,1121.6729327149908,2244.0650458643713,1822.725344184225,1522.956636521994,1301.3167082302978,1132.1450953717508,2262.4491036528366,1838.7330120009965,1536.7480320347195,1313.1752233742563,1142.3513844864617,2280.051440901327,1854.1274178681924,1550.066954160418,1324.6759564404815,1152.2933095432143,2296.9300312773403,1868.948163705168,1562.9384333518815,1335.8324579644598,1161.9752799736227
2,2021-07-03,3616.832223119194,2980.9898884739455,2528.4008817960475,2194.383881406254,1940.2136134216444,3669.5493803798654,3023.075555109355,2560.6010323906735,2217.958840450832,1956.3953678087482,3719.355397243085,3064.017554741023,2593.1236589615955,2243.055738345393,1975.0890654946597,3766.284285615008,3103.4342238785366,2625.2556383890446,2268.6944413666797,1995.094307785002,3810.4878680431293,3141.186535006051,2656.6247036001296,2294.3150105981654,2015.697145128347,3852.1605362437786,3177.2582293124133,2687.0444940224365,2319.5941233915555,2036.46221336621,3891.5048251937037,3211.6949343000215,2716.4329496224536,2344.3467055941687,2057.120301522518,3928.71588787056,3244.572171830766,2744.7674372572806,2368.470707760106,2077.5045228835024,3963.9749959790215,3275.978190902766,2772.0592340864523,2391.914911611425,2097.512611835778,3997.447407710311,3306.0046881972075,2798.338644073376,2414.65957904223,2117.0839085348293,4029.2823288332033,3334.741842160979,2823.6461577849013,2436.704529082477,2136.184919047312,4059.6138324514686,3362.275751725419,2848.0271439900625,2458.0616452258937,2154.8000458982083,4088.562165592498,3388.6872303094656,2871.5286524848198,2478.7500950696985,2172.925523111692,4116.235155986671,3414.051364662987,2894.197501687934,2498.793247289021,2190.5653851267934,4142.7295796245135,3438.437500443786,2916.07915861205,2518.2166707940537,2207.7287534022903
3,2021-07-04,5586.202369947861,4672.342726883775,4003.2764687958343,3499.7626622223984,3111.1416570348792,5657.91695454109,4731.902144159665,4050.0898318173017,3534.7069151003266,3135.477563530085,5725.512485620125,4789.732478021333,4097.30125907168,3571.8649825483376,3163.568306579443,5789.062501562722,4845.305697340076,4143.876066288431,3609.7805821422144,3193.6027818692314,5848.797423024319,4898.438350603474,4189.278634417104,3647.624452113444,3224.5052506556895,5905.001778392959,4949.120069941128,4233.244827085178,3684.920119408878,3255.621179187404,5957.967682719557,4997.42674250702,4275.662241340645,3721.396919037532,3286.547141487713,6007.974227906147,5043.475086638706,4316.504465487714,3756.9075055309777,3317.0342105176646,6055.279155780818,5087.398425032189,4355.7937814524485,3791.379804189498,3346.9308922122873,6100.116411427953,5129.333701086795,4393.579475511569,3824.7881663483276,3376.1483034006615,6142.696469565356,5169.414618883518,4429.92500635177,3857.13562726531,3404.6383398029025,6183.207894854151,5207.768179192757,4464.900339091042,3888.4427811636674,3432.3796755547714,6221.819368340618,5244.513116388837,4498.5773596233075,3918.7407028757516,3459.3686149504315,6258.681800897339,5279.759398152825,4531.027157646667,3948.0663984275416,3485.613022112864,6293.930353681963,5313.60831026188,4562.318457708464,3976.4598651681877,3511.128243227709
4,2021-07-05,7801.034221377179,6611.998576710765,5718.058874078567,5032.75395356196,4496.625851545647,7889.442646649666,6688.22150576037,5779.528594713204,5079.499347957409,4529.6385962815175,7972.610268866857,6762.109364067796,5841.438822302972,5129.155528317542,4567.716635059147,8050.656444920294,6833.000257834466,5902.433634055796,5179.770389199678,4608.396013129398,8123.890210267102,6900.674483259297,5961.816470101631,5230.23563697001,4650.215036327503,8192.683216053298,6965.133002705187,6019.248594923624,5279.917369840821,4692.286159973838,8257.412752586035,7026.485606657914,6074.59057045032,5328.458038761034,4734.063986438789,8318.436906877938,7084.892638910609,6127.81535397118,5375.665339751008,4775.2134454956085,8376.08485499649,7140.534085758829,6178.9590991729765,5421.447544674974,4815.531931344917,8430.654332561811,7193.593138878548,6228.092625466277,5465.774724910057,4854.901807508537,8482.412440825578,7244.247612696439,6275.304599326797,5508.654938464851,4893.260649374226,8531.5978973525,7292.665697225865,6320.691533981734,5550.119328875346,4930.582179641341,8578.423796488694,7339.004122549319,6364.351845268908,5590.2126684526065,4966.863826662492,8623.080424329914,7383.407660109203,6406.382361112042,5628.987299581761,5002.118481632637,8665.737916837372,7426.009350648646,6446.876333087072,5666.499235308056,5036.368971932065
5,2021-07-06,10208.88693881991,8757.756401496184,7638.878641713468,6765.858749456445,6073.977552006987,10311.23665730428,8849.191941436071,7714.453203748394,6824.367967985261,6115.8603894108965,10407.364110693876,8937.70015091219,7790.4800671024195,6886.463462660403,6164.136776142822,10497.435398958345,9022.501803946072,7865.295394369101,6949.697501361651,6215.672583110142,10581.832455501244,9103.349246168307,7938.050369978491,7012.684190111979,6268.6106938263565,10661.005656256162,9180.258555208053,8008.337516188335,7074.634161884225,6321.825604627606,10735.408260794024,9253.374662486536,8075.994394416615,7135.105091640067,6374.627621523169,10805.468225069473,9322.90132137965,8140.9961432305045,7193.861769873414,6426.594733333361,10871.57751876335,9389.064141747782,8203.394755790065,7250.794718782833,6477.473306706762,10934.089677715257,9452.091070627523,8263.283955581399,7305.87144744657,6527.117533317806,10993.321133532578,9512.20230994101,8320.778558995402,7359.106561429448,6575.451515491459,11049.554138918458,9569.605421207252,8376.002257398297,7410.5430939619955,6622.444997786935,11103.040218814434,9624.493299416614,8429.080397312344,7460.240686017817,6668.097547811792,11154.003632534408,9677.043724901661,8480.135776106667,7508.268036008183,6712.428091027933,11202.644612888438,9727.419762906598,8529.286277734993,7554.698058567371,6755.467906493366
6,2021-07-07,12775.785769513219,11080.7641347225,9741.881403608044,8679.389600363602,7826.820576011302,12889.388300441353,11185.71819995267,9830.694245737743,8749.341296134353,7877.552053117264,12995.946989363727,11287.188894613673,9919.946553688482,8823.519618639997,7935.991894102881,13095.671453262099,11384.296592819608,10007.686611738116,8898.9936215716,7998.334948804756,13189.007367238666,11476.77283354611,10092.924952970376,8974.10793088442,8062.32889270932,13276.472656362896,11564.65083650591,10175.192156448396,9047.923283200607,8126.611095071614,13358.58512407039,11648.109998441401,10254.306725336142,9119.916522188492,8190.348700950318,13435.831702423446,11727.395401861319,10330.248169738825,9189.812389548937,8253.034002956776,13508.657108380583,11802.775511221827,10403.08541433449,9257.485757477902,8314.363582730724,13577.461567879584,11874.519973174842,10472.935480877102,9322.903130252198,8374.164640621642,13642.602653100848,11942.888260660575,10539.939283997912,9386.086821645646,8432.34889564109,13704.398819758382,12008.124255150822,10604.247357746468,9447.092619683413,8488.883102403284,13763.133468756132,12070.454097257989,10666.011466154314,9505.995676073504,8543.769853801878,13819.058972350987,12130.085822248022,10725.379755396136,9562.881517194533,8597.034898153459,13872.400414971327,12187.209944286271,10782.494060685609,9617.840300355276,8648.718664713066
7,2021-07-08,15464.205453096156,13548.868403273986,11999.954068237625,10750.45021165275,9735.654992531841,15586.39847947923,13665.41818955052,12100.843273001852,10831.251778682874,9795.004440059629,15700.898350213185,13777.982950136367,12202.139343380262,10916.872062605145,9863.33329134601,15807.95232186559,13885.60021434389,12301.628981644755,11003.920945155507,9936.180596332151,15908.058458889085,13987.987068575772,12398.196424294652,11090.48805019416,10010.908461213432,16001.789291621628,14085.194548869296,12491.318027465979,11175.493207609563,10085.923572735624,16089.71433521248,14177.434323059832,12580.797141460473,11258.338113226266,10160.254398988838,16172.367490736659,14264.989221225911,12666.619309375541,11338.711075035071,10233.310748420286,16250.235294223423,14348.166390371873,12748.870713436656,11416.47359764042,10304.741767799955,16323.75485303764,14427.27284603095,12827.69120538844,11491.592584546988,10374.349411909285,16393.316135973953,14502.603074379083,12903.246865069868,11564.098872853252,10442.034326728686,16459.266029300987,14574.433211841002,12975.713875514672,11634.061420947723,10507.76126662206,16521.912904980432,14643.018828951428,13045.269091527127,11701.571033813998,10571.536599275252,16581.53110913136,14708.594670383807,13112.08462850543,11766.730021428722,10633.393462931992,16638.365110734594,14771.375424602691,13176.324890650745,11829.645611946402,10693.381863927367
8,2021-07-09,18257.43982625512,16145.873108723767,14398.657892221874,12966.535551340392,11789.736952584812,18386.043385905345,16272.224060148912,14510.428080255933,13057.50518703428,11857.382771520071,18506.460639513305,16394.15004778543,14622.560145612853,13153.83625250346,11935.22356790532,18618.968852271442,16510.6208111551,14732.605947238284,13251.707564181605,12018.165167767593,18724.10676392873,16621.343499325638,14839.337493931289,13348.970234295333,12103.197965200976,18822.488912342236,16726.386274531877,14942.184042524295,13444.413068542775,12188.506824915059,18914.72439091253,16825.989864394356,15040.936993857242,13537.368574867824,12272.987374790222,19001.382923296624,16920.47050523099,15135.588877648444,13627.492181566164,12355.970865068794,19082.982854881015,17010.169287155117,15226.242792214947,13714.634067109304,12437.061683357377,19159.98928508186,17095.425841380576,15313.060342717474,13798.762607834724,12516.038373268473,19232.816724813474,17176.56509701206,15396.231297300415,13879.91761146775,12592.79176309484,19301.833562470285,17253.89115165567,15475.955813215445,13958.181246900891,12667.285456391213,19367.367027794986,17327.685025574116,15552.4340864519,14033.659748707967,12739.530156479343,19429.70803891121,17398.20451215469,15625.860451587945,14106.471818014847,12809.566744829774,19489.115665928595,17465.685122469302,15696.420175519497,14176.741256441655,12877.455007721619
9,2021-07-10,21140.96275313181,18857.63776220287,16925.259354248712,15316.505678529786,13979.410371293288,21274.23891897655,18992.14536291531,17046.717955696164,15416.90529783673,14054.964083438706,21398.969680918723,19121.85233450546,17168.486823886262,15523.159858257577,14141.864626018494,21515.454327546562,19245.67342319559,17287.909388518063,15631.04782889933,14234.412663162588,21624.26132814506,19363.308934620847,17403.658932171358,15738.199529249092,14329.243853463624,21726.035873917037,19474.84256339175,17515.12410534531,15843.283105713404,14424.331860075643,21821.415909994776,19580.540314575806,17622.086951154546,15945.567917824841,14518.446268635842,21910.99725481867,19680.747137946688,17724.5473812908,16044.679934067333,14610.844181398872,21995.32141168169,19775.833123464006,17822.624574747922,16140.459806400251,14701.088099653492,22074.873849014934,19866.1656614591,17916.50038399346,16232.878167750187,14788.935014624032,22150.08692903833,19952.095519025508,18006.38641863821,16321.983939492557,14874.267113938136,22221.344674770036,20033.950473715115,18092.50481854959,16407.87224113221,14957.047562346566,22288.98802363006,20112.033059917783,18175.077100727467,16490.66422718006,15037.29179022353,22353.319936713502,20186.620525220776,18254.317838126597,16570.494330411468,15115.048591273067,22414.610092391886,20257.965931963095,18330.43125729671,16647.502182234406,15190.387546071803
