,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,834.793108655494,665.540388864882,552.1354809883754,471.81247209665634,412.4634507155806,850.4970841701438,677.062359372988,560.466563283771,477.67218404083735,416.36782621902387,865.4220884075138,688.3225619341863,568.9101923177435,483.9260686718747,420.88639088821907,879.5638952057469,699.2112849515876,577.2811988850897,490.3319009542524,425.7316012605437,892.9549886540574,709.6845916293759,585.4811318606311,496.75032338916776,430.73195470447996,905.6424467966709,719.7323728363524,593.4591081767315,503.1000034120436,435.7823752709457,917.6775701590645,729.3620051636522,601.1911551487206,509.33362161967017,440.81743779366076,929.1110167165161,738.5896781760532,608.6688120952869,515.4243836410988,445.7961828455677,939.9906115997101,747.435677197442,615.8926166858063,521.3581439107995,450.6931478844321,950.3604822797014,755.9217853087401,622.8682805449713,527.128658807603,455.49288842564727,960.2608521025255,764.0698547070948,629.6043982577729,532.7346512423069,460.1865356820057,969.7281536685011,771.9010374924811,636.1110564287861,538.1779573619773,464.76958212545264,978.7952874204847,779.4353937091499,642.3989837231069,543.4623372034671,469.2404285793027,987.4919350832306,786.691716564063,648.4790323010267,548.5927020717261,473.5994151577472,995.8448817533834,793.687482286574,654.3618653498154,553.5746085436369,477.8481662275707
1,2021-07-02,2277.960299123934,1851.8831436559567,1556.3203727551954,1341.9888666850056,1180.93476445434,2315.238923073686,1880.5645545087486,1577.7277485538375,1357.3883121996107,1191.3676016058037,2350.542834108719,1908.518697024897,1599.3804411533754,1373.7993334711266,1203.429063315464,2383.8820895786816,1935.4799754647618,1620.8035493042048,1390.5831790238228,1216.3475491819167,2415.3517081383297,1961.3475334355437,1641.747229575429,1407.3738444402782,1229.6635855395352,2445.0787170061303,1986.1044443541764,1662.0846867669509,1423.9590271566208,1243.096421516055,2473.1976722874892,2009.7765434957264,1681.7584048797025,1440.2163546637623,1256.4719391436904,2499.839432932521,2032.4107045323121,1700.7505366720359,1456.0775731543463,1269.6817446423547,2525.126309217493,2054.0631155704727,1719.0660305021615,1471.507655453839,1282.659004457752,2549.170326752515,2074.792891271438,1736.722760763339,1486.4922286762705,1295.3636899531207,2572.0730067709655,2094.6586141610996,1753.7456443797164,1501.0298156827766,1307.773314063228,2593.925859018393,2113.7165168961783,1770.1630911755726,1515.1269496875766,1319.8769793628178,2614.811178174783,2132.019595282633,1786.0048526431729,1528.7950494996667,1331.6714790829242,2634.8029359565826,2149.6172510732954,1801.3007241288815,1542.0483979944422,1343.15870173721,2653.967665527493,2166.555233972341,1816.0797752132155,1554.9028250141862,1354.3438809374063
2,2021-07-03,4180.649389309737,3456.9262530195283,2938.948443601243,2555.1319342571096,2262.178597976225,4240.4917251576535,3504.996635592257,2975.8943685644795,2582.273488413889,2280.857215405036,4297.001529904767,3551.7415901295403,3013.198226012287,2611.160133615342,2302.431546873929,4350.222156107976,3596.727214877238,3050.0421019513196,2640.662844597085,2325.5149871785775,4400.330120765743,3639.7969740276376,3085.999782925413,2670.1370663465677,2349.2830698550515,4447.549611886092,3680.934460340005,3120.858576836553,2699.2110086539446,2373.233274034308,4492.113457775767,3720.193735656308,3154.5254898019225,2727.6721997127647,2397.055076955308,4534.245588731517,3757.6627603731617,3186.975651349848,2755.40380088099,2420.556173930174,4574.1537469448,3793.443794060243,3218.223001162534,2782.34748643839,2443.618896775728,4612.027144125378,3827.64282015857,3248.30320182276,2808.4811370299217,2466.1736120059263,4648.036482930115,3860.363901455334,3277.26349797745,2833.8051003973355,2488.182033178727,4682.335054763659,3891.7062814014002,3305.1566334503436,2858.333561378344,2509.6265107161307,4715.06026639268,3921.763030791512,3332.037192846723,2882.0890390132445,2530.503026255967,4746.335271834425,3950.6205648643404,3357.959417592534,2905.098840141295,2550.816537901114,4776.270552834854,3978.3586447442212,3382.9759305900607,2927.3927598737178,2570.5778483902823
3,2021-07-04,6431.750706721202,5398.867925834976,4638.076726697873,4062.9089147594023,3617.4153445750203,6512.590148813553,5466.451136340236,4691.465057208854,4102.916271940982,3645.362381349792,6588.7480901883855,5532.0436649392195,4745.288145081226,4145.446399284437,3677.614848174055,6660.314178440143,5595.0495514322065,4798.366569843744,4188.831044313538,3712.0912269208784,6727.55404178078,5655.264137632826,4850.09102699882,4232.120999630089,3747.5555723106586,6790.79334483561,5712.6789837031665,4900.16215076274,4274.771541675592,3783.2562887736713,6850.365431949826,5767.383169651926,4948.453643849266,4316.473823995879,3818.7305032214676,6906.588225577929,5819.511715041148,4994.9371646234285,4357.06025898916,3853.6929437295275,6959.754969869758,5869.218107749826,5039.639736451911,4396.449414531977,3887.97030103223,7010.131586772043,5916.659611312184,5082.6189984997445,4434.612944431967,3921.4611790488584,7057.95713883561,5961.989525597188,5123.948577320358,4471.55525617736,3954.1109898825534,7103.44566519331,6005.353298956887,5163.709358523411,4507.300768734528,3985.895858463819,7146.7885277840605,6046.88679273645,5201.984274355729,4541.885810732086,4016.812108934103,7188.156843307403,6086.715746488847,5238.855222620904,4575.3534175982695,4046.869291216475,7227.703800402481,6124.955902022146,5274.401293748506,4607.74997310647,4076.08549894197
4,2021-07-05,8959.15767125209,7621.642260660511,6609.872235617085,5830.480549162367,5218.412895766619,9058.405972565488,7707.7599452162685,6679.679525097791,5883.784562251675,5256.181711602233,9151.727203001212,7791.2036072920055,6749.9614602706615,5940.391283560054,5299.736070023167,9239.263293128975,7871.229620432016,6819.179096749285,5998.073426418175,5346.254657271992,9321.368039943665,7947.5942814295295,6886.543547967894,6055.567548611439,5394.064393679285,9398.46438084274,8020.302928102588,6951.672699589429,6112.151960519913,5442.149994887218,9470.980545077886,8089.483375498609,7014.410778080194,6167.420436412537,5489.888122777582,9539.32232816578,8155.320038007344,7074.729481528199,6221.15526926578,5536.896317562978,9603.862352280237,8218.019037057402,7132.672038237907,6273.253399716381,5582.943765763575,9664.93736374243,8277.789685801492,7188.320791236022,6323.682137210973,5627.896875916096,9722.849251050158,8334.834852560703,7241.778108843157,6372.4519804339725,5671.685186437101,9777.867662825858,8389.346218878522,7293.155049264652,6419.599619450847,5714.27953010861,9830.233179697168,8441.502255719366,7342.56463499717,6465.1771562519425,5755.677789310346,9880.160532496166,8491.467702761225,7390.117913540146,6509.245205009764,5795.895462934538,9927.841632531805,8539.393861949155,7435.921722105912,6551.868456584744,5834.959345234813
5,2021-07-06,11702.821301761365,10076.35481799504,8814.69893986949,7825.410743334789,7038.245483608602,11817.410384465948,10179.330696950316,8900.24188788825,7891.914058797038,7086.014333996052,11924.987375845858,10278.968979502964,8986.265815822799,7962.472810942811,7141.062838676579,12025.746748966158,10374.397034374024,9070.88861888169,8034.3032701098555,7199.813332677199,12120.123431275992,10465.34122596764,9153.152226183725,8105.830700690183,7260.146703167891,12208.627718835825,10551.824588501535,9232.598595494288,8176.159401755691,7320.779482322226,12291.772012380843,10634.01469589005,9309.04703624114,8244.788545154897,7380.925916329568,12370.039441393643,10712.144755381718,9382.472358625973,8311.452816582376,7440.105872569754,12443.872078030034,10786.472018670192,9452.936061627035,8376.029751205531,7498.031380445431,12513.668346227787,10857.255867506596,9520.546561125253,8438.48425220793,7554.5374559706215,12579.784632771985,10924.746531366238,9585.435845957762,8498.834585879145,7609.538797701198,12642.538660761666,10989.179641658093,9647.745676554536,8557.131155989005,7663.00207679093,12702.213431700666,11050.77400887139,9707.619444652337,8613.443075506277,7714.927881575187,12759.061163714194,11109.73116811981,9765.197445684487,8667.849597206663,7765.338778818303,12813.306967236547,11166.235871226452,9820.614231404119,8720.434625839562,7814.271328013398
6,2021-07-07,14619.03034430321,12725.590496894562,11221.211960891931,10021.456366453773,9054.771189004594,14745.89842342765,12843.433678856403,11321.419081197999,10100.713042274756,9112.45365202213,14864.853493212111,12957.321296688737,11422.086501382146,10184.733690503619,9178.88535134967,14976.138456544844,13066.271225839571,11521.01359175108,10270.195690775095,9249.736015865414,15080.258579079253,13169.987886004963,11617.087139905276,10355.224154274403,9322.443525454997,15177.79849514709,13268.514012031874,11709.781225035895,10438.756750478251,9395.458851469908,15269.341533241426,13362.055811457783,11798.894758636763,10520.203088959914,9467.836133234734,15355.435569103747,13450.892556534565,11884.40804158167,10599.253759616497,9538.999594005702,15436.580540445259,13535.329136793402,11966.401898630196,10675.76936908514,9608.605878391289,15513.226061450656,13615.671212046478,12045.011046652184,10749.714171235952,9676.460149733193,15585.773602093645,13692.212544139753,12120.396805814038,10821.115444737454,9742.463598929526,15654.580540536635,13765.228989597896,12192.731029477189,10890.038181208962,9806.579884637265,15719.964780056995,13834.976152284822,12262.186676695968,10956.569106918796,9868.8132904637,15782.20930943729,13901.68903009712,12328.932379631447,11020.80651415019,9929.194301725556,15841.566431320358,13965.58271766425,12393.129438919792,11082.853772077111,9987.769974131765
7,2021-07-08,17673.37733280631,15538.732381633277,13803.034751014946,12396.064525152875,11248.650133323357,17809.687075993224,15669.344102111547,13916.607100433488,12487.392288543917,11315.966517391298,17937.370195826683,15795.444614630913,14030.599113521363,12584.13853518994,11393.449930794173,18056.711065684165,15915.961107821888,14142.520961440998,12682.46955850639,11476.036274568523,18168.27259429575,16030.582611888693,14251.120160201546,12780.22695629054,11560.73221611873,18272.699466782047,16139.37194224006,14355.811328106958,12876.192014022117,11645.730961693976,18370.631863122213,16242.571230219331,14456.377130095927,12969.691185860493,11729.931893597883,18462.669285318992,16340.501632944339,14552.805014124655,13060.374982364401,11812.667364904546,18549.357629008296,16433.510894185354,14645.195313777112,13148.089566827848,11893.541351213677,18631.187034384995,16521.946031223302,14733.70836285379,13232.800026621044,11972.331144796935,18708.59456530458,16606.1395283317,14818.533629388276,13314.54346906188,12048.925887583062,18781.968833242485,16686.402893841347,14899.871603165882,13393.39984200067,12123.287304043244,18851.655171896604,16763.02424575695,14977.923221711597,13469.473550875167,12195.424169927219,18917.960706287566,16836.268078753383,15052.883820324727,13542.881789211537,12265.375474895543,18981.159029796105,16906.37617526001,15124.939824376972,13613.747115652566,12333.199196563444
8,2021-07-09,20842.202331008557,18493.52905688233,16540.361051056512,14931.941299891578,13604.845817914951,20985.53512120058,18634.889835701586,16665.923276703976,15034.531474709614,13681.395983701197,21119.70067557949,18771.254391988845,16791.851766136413,15143.137466639457,13769.463192404002,21245.01634834829,18901.475980876014,16915.398176242223,15253.447913676284,13863.277905183779,21362.089690021803,19025.233137620166,17035.186789194908,15363.040414363895,13959.43290901488,21471.61146621438,19142.607815771702,17150.58079044727,15470.551481095828,14055.874639570904,21574.26525994336,19253.874316193138,17261.35012046837,15575.231345190732,14151.354890296443,21670.6898496739,19359.39067919321,17367.490322188463,15676.694511978294,14245.118904547257,21761.466001918106,19459.5420744046,17469.12071328479,15774.774987242672,14336.721183291305,21847.114539164035,19554.71145063496,17566.425891504678,15869.439840326331,14425.91329591273,21928.099423194195,19645.264809255412,17659.6216753598,15960.736425186025,14512.573769529366,22004.8328294577,19731.544428344405,17748.93518048547,16048.759593517163,14596.663332935608,22077.680756045633,19813.866420663133,17834.593238773254,16133.631076495256,14678.195843881851,22146.968486324302,19892.520625754692,17916.815814813453,16215.486426180802,14757.219138574932,22212.98561147513,19967.771716132193,17995.812444396674,16294.466733274978,14833.802281693956
9,2021-07-10,24110.50994216957,21574.850800251897,19419.22167570797,17616.628776427697,16112.392887258495,24258.96836903365,21725.141311936106,19555.42914223539,17729.62908823106,16197.713560762782,24397.865485223643,21870.022729518125,19691.943246565377,17849.18683320462,16295.826168523427,24527.542842347404,22008.28836998806,19825.786843678317,17970.548535608337,16400.289405940992,24648.640633566272,22139.609536108226,19955.476077740626,18091.04821669873,16507.30248751983,24761.883273492633,22264.085413452154,20080.32988017369,18209.189494519775,16614.57772160589,24867.986012216206,22382.018166642134,20200.10825167002,18324.15324180971,16720.727352456728,24967.616266697773,22493.797426889207,20314.815150878527,18435.52179479306,16824.914684779687,25061.380217009904,22599.840238474655,20424.58782761486,18543.11897192459,16926.64807537006,25149.82103742849,22700.56004179316,20529.63335031528,18646.914630400734,17025.655492405567,25233.422277838563,22796.351206412855,20630.19172431029,18746.96644692207,17121.806161580862,25312.613268743353,22887.581999738824,20726.514376365023,18843.38379797034,17215.06058151514,25387.775048447067,22974.592139653225,20818.8516963451,18936.30508259654,17305.43808260687,25459.246113576657,23057.69280515372,20907.445995187307,19025.88338919672,17392.995480550624,25527.327694135234,23137.167916434555,20992.527731520215,19112.277428958616,17477.812882775834
