,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,705.3799988194753,561.1676452362981,464.89069498316013,396.8660761730733,346.69190472761386,718.7928248813831,570.9650071013382,471.95407286830283,401.823960451195,349.9904188424327,731.5454480879388,580.5425809489524,479.11439039198,407.11615550839406,353.80821492439065,743.6334847066291,589.806821368101,486.2146340659127,412.53779231100907,357.9024749964783,755.0839792512777,598.7200699590277,493.17123451639503,417.9709584098046,362.1283503725443,765.9365370324153,607.2734378461572,499.940921905418,423.3467955310239,366.3970722760993,776.2344633423199,615.4729287856653,506.5032354382898,428.62520506098934,370.65334787597595,786.0205975345297,623.3320704739216,512.8508708070461,433.7834477874846,374.86254206694434,795.3354299358615,630.867903526484,518.9841627163236,438.80948629780806,379.0031066507339,804.2163515456166,638.0987700823329,524.9078441964408,443.6979720271682,383.06195540120893,812.6974675963083,645.0430958801037,530.6291043736501,448.4477631760633,387.03155797832153,820.8096859067923,651.7187329734087,536.1564085361672,453.06035726985135,390.9080702912447,828.5809307264129,658.1426234230458,541.4987765413654,457.53888490752286,394.6901076152268,836.0364047185816,664.3306480241891,546.6653420910931,461.88745584468154,398.37792615554173,843.1988593863068,670.2975813190066,551.6650867704824,466.11073051760775,401.9728696853195
1,2021-07-02,1934.9444323453022,1568.4665627259628,1315.4972962746351,1132.6886369516799,995.6710375916824,1967.1025687786794,1593.0649648702852,1333.783266558787,1145.8042801110576,1004.5371428195936,1997.572205645903,1617.0487895892009,1352.2841399893703,1159.784461307256,1014.7888411665573,2026.3596014510522,1640.1893397003093,1370.5941526855981,1174.085428597883,1025.7708088001793,2053.544570004784,1662.3990824098792,1388.4995098208,1188.3954318145582,1037.0927228718094,2079.234855114607,1683.6624996980786,1405.8914222354265,1202.533478808437,1048.51599301504,2103.5449962532575,1704.0008404927337,1422.7202615834585,1216.395103222685,1059.8925639856413,2126.5866054616217,1723.45350626867,1438.9703068763686,1229.9219088460297,1071.1301912373426,2148.464140237779,1742.0679939817212,1454.645348384202,1243.083799763369,1082.1719302025456,2169.273367701705,1759.8944080234141,1469.7602624988913,1255.8682846291767,1092.9836110949552,2189.1011424433923,1776.9824820974868,1484.335985808469,1268.2738742686429,1103.5459747364944,2208.025804685054,1793.3800084833103,1498.3964801366292,1280.305922734563,1113.8496188087233,2226.1178452748586,1809.1320665613086,1511.966891011896,1291.9739659334975,1123.8916864810053,2243.4406573757383,1824.2807069749422,1525.0724348967371,1303.2899988249515,1133.673661579781,2260.0512849432134,1838.864893778148,1537.7377377464422,1314.2673521799545,1143.1998812781035
2,2021-07-03,3568.0748053026446,2940.3952471796474,2493.7383433173286,2164.15947778512,1913.3987462402104,3620.1344259837906,2981.9404191323524,2525.517218018559,2187.422081454959,1929.3641456459338,3669.3206273138103,3022.3574698989273,2557.614848103769,2212.18673491308,1947.808044837841,3715.666764810725,3061.269549872252,2589.327429009857,2237.4863150491306,1967.546131579878,3759.3225616576833,3098.53931840846,2620.287527557951,2262.768298844047,1987.8740155151331,3800.479810388687,3134.150630544396,2650.311175696224,2287.7136308062204,2008.362153038583,3839.3383743924473,3168.148441967476,2679.317340014499,2312.1396661062877,2028.744924497412,3876.090852356254,3200.6072293741036,2707.2836388269957,2335.9456826314595,2048.8576624490247,3910.9161559164227,3231.614043404423,2734.221160926773,2359.0811161511224,2068.5994548539447,3943.9774002726444,3261.2593474252267,2760.1597772801942,2381.526466856512,2087.9104387776915,3975.42186259534,3289.6321141999547,2785.1394164205203,2403.2815347369533,2106.7575543281064,4005.381887714571,3316.8172963834686,2809.2048251988244,2424.3580264073653,2125.1253995320503,4033.97617628112,3342.894634959236,2832.4024130415837,2444.7748380133276,2143.010246657372,4061.3111722988747,3367.938222843109,2854.778364185677,2464.55501297762,2160.416065078275,4087.4824122429036,3392.0164898710427,2876.3775318945923,2483.723767520188,2177.35184416737
3,2021-07-04,5510.357552443776,4608.492134494562,3948.31381653142,3451.5481043295786,3068.169870143477,5581.140798425923,4667.26744460717,3994.504505113671,3486.0239414777134,3092.177620512834,5647.8592144322565,4724.337025636214,4041.0883662164183,3522.684165077011,3119.8897122784006,5710.585250693875,4779.179730521995,4087.044465445389,3560.092033852343,3149.5194975624977,5769.546220268156,4831.614449537312,4131.844275443924,3597.4293975934725,3180.005755423277,5825.022860599514,4881.630882020865,4175.227133720812,3634.226153659586,3210.7027768246535,5877.303414693618,4929.3038543635075,4217.082092540021,3670.215243496823,3241.212567111254,5926.663286230627,4974.748494888431,4257.383054072052,3705.2512735365285,3271.2895435686664,5973.356818126894,5018.096325504184,4296.151969983992,3739.2631124549057,3300.784241126265,6017.614875329348,5059.482448128113,4333.437440953629,3772.2254340591744,3329.6089611079037,6059.645165067123,5099.038774026521,4369.302055262592,3804.141213388095,3357.7162342959914,6099.63377536352,5136.89060449492,4403.814824482967,3835.030751001389,3385.0850096114805,6137.747173921815,5173.155087572479,4437.04665845121,3864.9246894662915,3411.711629382496,6174.134293167412,5207.940723627568,4469.0676840517435,3893.8595247785715,3437.603840911609,6208.928523678784,5241.347448443969,4499.945696794406,3921.8747057840674,3462.776773679757
4,2021-07-05,7698.937531600159,6524.779235644056,5642.205585958442,4965.714252667893,4436.539559586183,7786.259496648197,6600.046458644447,5702.893607517809,5011.8590220712285,4469.124812827176,7868.406374396666,6673.008873357182,5764.017195587181,5060.877583146137,4506.709993720185,7945.495823734548,6743.012773587389,5824.2376492638505,5110.842945490869,4546.863110952125,8017.832880987224,6809.841088907441,5882.867212811257,5160.66104808995,4588.14141782241,8085.784461549622,6873.4946549126425,5939.571393468334,5209.706106559906,4629.668860227583,8149.7230805883855,6934.0817832753455,5994.212460858508,5257.625129987586,4670.907088481901,8210.00231134587,6991.76071877308,6046.7636547250095,5304.22824697498,4711.525350715482,8266.94719232213,7046.709115339402,6097.260613438571,5349.424870506743,4751.323641770259,8320.851724927814,7099.107803603855,6145.773206591822,5393.18542141767,4790.185825172666,8371.979666409545,7149.13231430644,6192.388929989692,5435.51782210188,4828.050262152564,8420.566750236674,7196.948682884728,6237.203031994183,5476.4527870608,4864.8909945557725,8466.823410517683,7242.711635652622,6280.312644357941,5516.0344875672745,4900.705464557426,8510.93756069344,7286.564096206959,6321.8133354856145,5554.314570600287,4935.506378650939,8553.077217643893,7328.6374095340525,6361.797146701429,5591.3483092810675,4969.316252538003
5,2021-07-06,10081.839997307414,8647.665443392785,7542.157949191021,6679.73541513806,5996.349480438576,10183.032106225308,8738.034445932728,7616.8324306823615,6737.537357385124,6037.7203998259465,10278.074336054215,8825.511796437173,7691.954872014941,6798.882874047705,6085.407087872008,10367.130549493375,8909.327181265124,7765.881216138943,6861.353872980257,6136.313814368778,10450.578048807985,8989.235643411717,7837.7726696363925,6923.581199646127,6188.606192520673,10528.861856174492,9065.252892736038,7907.226503708251,6984.7849839009605,6241.17247042336,10602.429891407983,9137.52200995453,7974.082109803957,7044.528189137438,6293.3313596442995,10671.705096328966,9206.244233368516,8038.314824786674,7102.578387102231,6344.665973200086,10737.074865891307,9271.642423292467,8099.97593439544,7158.827362909647,6394.925740169111,10798.8886221618,9333.941768125178,8159.1579679311835,7213.242961892467,6443.9665963199,10857.459123823814,9393.359817123734,8215.974306205157,7265.839561552982,6491.713534972806,10913.065354316263,9450.101639827913,8270.547108260467,7316.659628632952,6538.13663614419,10965.955930649057,9504.357821488938,8323.000176539008,7365.762041942604,6583.235441129836,11016.352523776866,9556.304018323848,8373.454801646822,7413.214632931831,6627.028615294096,11064.453058982861,9606.101350949908,8422.027425327109,7459.089402605419,6669.5470293934095
6,2021-07-07,12620.288389543659,10944.621654404133,9621.346779280562,8571.430440117989,7729.068130706896,12732.630015150999,11048.379759334268,9709.127941842129,8640.557797524749,7779.195167984989,12838.007486394383,11148.695569176309,9797.344511251611,8713.862668674996,7836.939136676553,12936.627811326027,11244.699312698973,9884.06740239581,8788.448698428472,7898.54032423663,13028.931476193022,11336.125408495156,9968.31855041499,8862.680002761579,7961.773274290341,13115.430457384164,11423.006530421895,10049.633879508938,8935.628335995589,8025.291584011846,13196.636648423502,11505.519883509824,10127.833893833607,9006.776642203258,8088.272292775042,13273.03144534618,11583.90763099569,10202.89824186095,9075.852838937471,8150.213703084396,13345.054523060913,11658.435071058206,10274.894958287168,9142.733207157531,8210.815968545321,13413.101579688051,11729.368687691762,10343.939626979842,9207.38458473386,8269.908304998324,13477.52614937204,11796.964921672703,10410.17145736673,9269.828967004185,8327.403441727325,13538.643097028717,11861.464812270215,10473.73917582609,9330.121434933042,8383.268490699566,13596.732632341274,11923.091870301632,10534.792732612397,9388.33621057826,8437.505978381032,13652.044289184152,11982.051716122569,10593.478509264705,9444.557773604884,8490.141314074172,13704.800623307985,12038.53265575773,10649.93665582026,9498.875184715718,8541.21441630669
7,2021-07-08,15282.422437313906,13387.922501832103,11856.284838505684,10620.971077846098,9617.856333403444,15403.338393827631,13503.211762218383,11956.056419118126,10700.861683905705,9676.527713161859,15516.643519175956,13614.560822527035,12056.231675442908,10785.517568337116,9744.076436261248,15622.582131407435,13721.017410896095,12154.62177486704,10871.58689807751,9816.092649281129,15721.646784611068,13822.3014496007,12250.123197163846,10957.180811012897,9889.96863793881,15814.403772794907,13918.463214054696,12342.217962694902,11041.231248786873,9964.129282433503,15901.416452984,14009.711898966876,12430.711464531742,11123.146569136527,10037.614112605532,15983.212979455222,14096.327117775932,12515.58928016397,11202.618506787001,10109.83962846623,16060.274668361504,14178.612562100581,12596.936524539355,11279.510043357379,10180.45892897985,16133.033949470444,14256.87181479194,12674.89140130618,11353.788377216635,10249.276175148589,16201.87662725104,14331.396083031743,12749.618064652475,11425.483926882522,10316.193094064207,16267.145890441883,14402.458437989626,12821.290671758967,11494.664809941707,10381.1747924834,16329.146829279169,14470.31162018277,12890.08405448703,11561.420751522388,10444.227519306367,16388.150874479532,14535.18778014478,12956.168366769762,11625.852858706292,10505.38399246769,16444.39990055645,14597.299237994644,13019.70614451423,11688.067107335928,10564.693609473523
8,2021-07-09,18047.83178664615,15958.59752078722,14230.328392693076,12814.023343517958,11650.404371733952,18175.129159833275,16083.62213490765,14340.896700023826,12903.99693413495,11717.299161778874,18294.32490620036,16204.26983187322,14451.82431409308,12999.274189002108,11794.276320720484,18405.69318397213,16319.520964821431,14560.689361196519,13096.075829250876,11876.298373274214,18509.76701247488,16429.085545036975,14666.276933876487,13192.276467975356,11960.389171075401,18607.15448311783,16533.03082301722,14768.022286372727,13286.678100251289,12044.753718260494,18698.45833686983,16631.594827326666,14865.718924511972,13378.62045254366,12128.29986068852,18784.242377047554,16725.09032770629,14959.359330910494,13467.762632345626,12210.366215773405,18865.019576656272,16813.854709877516,15049.045381612852,13553.95636847045,12290.561500713953,18941.25022446915,16898.22393614004,15134.936844590016,13637.170300259191,12368.666655294286,19013.344551279242,16978.519438141793,15217.221361295524,13717.443724370272,12444.573660237778,19081.66714717814,17055.042049074927,15296.096862581935,13794.85784304566,12518.246467839486,19146.541872316622,17128.06977899762,15371.7613281544,13869.517668511746,12589.695612044532,19208.25665262266,17197.857664843104,15444.406948462287,13941.54055022936,12658.961474771957,19267.067896404318,17264.63870338077,15514.216951610806,14011.048888767898,12726.103137564947
9,2021-07-10,20900.42445075482,18641.20547171891,16729.641437869876,15138.492157213324,13816.21239820794,21032.329721968992,18774.29980085398,16849.800132219945,15237.800983592033,13890.935238707347,21155.77804560294,18902.644941112176,16970.266782315623,15342.901937981915,13976.880655174342,21271.065513956615,19025.166906304006,17088.41319945378,15449.619406794507,14068.412114680434,21378.754650801417,19141.56901150177,17202.92676766382,15555.609427737976,14162.202311385645,21479.48393171,19251.93394447095,17313.20256948657,15659.554552554458,14256.247178301033,21573.884676986978,19356.524804743527,17419.024872325765,15760.73199979193,14349.329790778156,21662.546526777467,19455.68282411056,17520.393489564947,15858.771720136654,14440.715366811788,21746.00537526836,19549.774125800035,17617.426236766496,15953.51601889196,14529.971160647627,21824.74166641218,19639.16217506896,17710.30294367408,16044.935776437498,14616.856778102936,21899.18329071142,19724.19399979198,17799.232889336537,16133.07931826794,14701.255647531749,21969.710301763498,19805.193889135513,17884.435779867505,16218.04067338868,14783.131288035867,22036.660114774506,19882.46116203507,17966.130713456587,16299.939629832888,14862.498914161568,22100.332562415784,19956.270122642924,18044.529925692597,16378.90911591,14939.406741464987,22160.994539515126,20026.871149199593,18119.8354225942,16455.087207707686,15013.923548186665
