,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,670.0058458451804,532.3832715439736,440.6904011017257,375.9935343292222,328.3209171574302,682.8226851751398,541.7224255963041,447.41245269264476,380.7063980481922,331.45375094554277,695.0113311748167,550.8535508320623,454.2275691804169,385.73748105663765,335.07999894139294,706.5671888308506,559.6873410120675,460.98631318090906,390.8920801009752,338.9690966077198,717.5157339979756,568.1877407640359,467.60910055726174,396.0581085444868,342.98349285198276,727.8944957666579,576.3461216231593,474.0546831836793,401.17008791349383,347.038878667775,737.7445879619542,584.1680641486714,480.3035163576315,406.18986804443995,351.082727681578,747.106722685994,591.6663369816166,486.3485787393015,411.09579665403834,355.08212742599346,756.0194043616775,598.8570734457415,492.19012417925177,415.87639422682446,359.01659218853024,764.5182066649764,605.7576623559098,497.83259856744763,420.5265411576482,362.8736723672045,772.6355890531621,612.3855853893665,503.2827915214347,425.04511921361825,366.64619550930547,780.4009767196427,618.7577888344651,508.5487131408585,429.43352183891136,370.33049119371435,787.8409612770951,624.8903614214009,513.6389067446066,433.6946976979394,373.9252260942132,794.9795480838692,630.7983886768071,518.5620288949993,437.83252894324625,377.43062678071743,801.8384121968696,636.4959088366529,523.3265956922017,441.85142372653803,380.8479541607957
1,2021-07-02,1847.1242321822067,1494.8426599804116,1252.3250266845012,1077.404931652187,946.4860817494296,1878.0879709370997,1518.4528148203085,1269.8373431344392,1089.9451933504781,954.9527621888027,1907.433636461102,1541.4778815156624,1287.558309240808,1103.3136603205842,964.7434441878988,1935.1660025195354,1563.6978700342747,1305.099269510446,1116.9905784573546,975.2325430998211,1961.3608045314156,1585.0282197318031,1322.2552709901977,1130.6778594359496,986.0474007628471,1986.1208361323468,1605.4535095969538,1338.9218705604183,1144.202356968361,996.9601746654467,2009.5555904876605,1624.9936575837298,1355.051274321367,1157.4640575540998,1007.8294333724056,2031.7718778744947,1643.686062592769,1370.6281734438048,1170.4069848481363,1018.5670185421219,2052.8697336381874,1661.575950222972,1385.6559660351113,1183.0022221057366,1029.1184713413454,2072.9409195073413,1678.7111001200005,1400.1486912104144,1195.2376920995764,1039.4510792041067,2092.0686927196016,1695.1389812245113,1414.1262156399764,1207.111847326681,1049.5463702799193,2110.328175396008,1710.9052379409256,1427.6113253936646,1218.6296945080705,1059.3952896853293,2127.786983395945,1726.0529439346105,1440.6279602195957,1229.8002499273935,1068.995038437272,2144.50594084715,1740.622294021915,1453.2001456000378,1240.634891664321,1078.3469683824253,2160.5397933406284,1754.6505443395222,1465.3513571303204,1251.146284777865,1087.4551618583623
2,2021-07-03,3403.3045977958036,2799.703274917408,2371.386739569878,2056.0065100493366,1816.4362773572811,3453.426037454654,2839.5782337691253,2401.8171320684423,2078.242367553734,1831.6758088935926,3500.792650204137,2878.3785462621654,2432.557950736269,2101.917064257813,1849.2828299084742,3545.4345629565332,2915.7416411546665,2462.9351176984765,2126.106426383052,1868.1273029338565,3587.494179177165,2951.534732962659,2492.5963918361326,2150.2822742648978,1887.5370166390378,3627.154679927242,2985.7414029073157,2521.3651200971563,2174.139438557188,1907.101946674022,3664.6072701770495,3018.4039702723476,2549.163205947406,2197.5030728594297,1926.5684491383456,3700.0363779717027,3049.5931944512445,2575.9687430929926,2220.2766171350027,1945.7791966869404,3733.6134342096675,3079.392005064762,2601.7919181336742,2242.4114593410513,1964.6376994735685,3765.4948089343075,3107.88669877646,2626.660949812533,2263.8886967966596,1983.0866466173097,3795.8217437271105,3135.162221197877,2650.613733559141,2284.7078962111236,2001.0943164515616,3824.7212011316633,3161.299727568441,2673.69282107814,2304.8800284006647,2018.6458517256358,3852.3070866592284,3186.3754287379443,2695.9423941700275,2324.422959087614,2035.7375500939518,3878.681570022736,3210.460163322278,2717.406452585705,2343.358539569162,2052.373068518094,3903.9363722808785,3233.619375658224,2738.1277509063316,2361.7107175923747,2068.560867738455
3,2021-07-04,5266.465446119055,4395.979490270682,3760.755200863497,3283.914785040532,2916.605471821696,5334.871734076562,4452.589891240791,3805.1280716076303,3316.9658940164263,2939.583575924544,5399.366250278346,4507.569869511718,3849.887074464956,3352.116334047898,2966.1100694401875,5460.016088914683,4560.4160708940335,3894.0511921854845,3387.9891630705956,2994.4756707764036,5517.038381883379,4610.952524314602,3937.1120167166487,3423.799947479198,3023.6649293208434,5570.702306147862,4659.167857419878,3978.81832080672,3459.0976624124933,3053.0598001079443,5621.284670188962,4705.13284533346,4019.062690241149,3493.6258264654602,3082.279171654374,5669.05019552858,4748.957252448627,4057.8192718028417,3527.2445642117996,3111.0877295425025,5714.243514898057,4790.766795993322,4095.1084449430987,3559.8852033604503,3139.342122985213,5757.0867867592315,4830.690786770448,4130.97626938062,3591.523013654821,3166.9581135692565,5797.779963627796,4868.855588168074,4165.4823193327165,3622.1604349072745,3193.889976837299,5836.502245542016,4905.381304069878,4198.692410513834,3651.8165571334457,3220.117290997288,5873.413984989536,4940.380275684853,4230.674245535802,3680.5204246749518,3245.6363026944437,5908.65868046731,4973.956590969061,4261.494830487963,3708.3067305365653,3270.4541964720106,5942.364885846849,5006.206152478121,4291.218980209949,3735.213032389585,3294.585244083896
4,2021-07-05,7363.983952335028,6228.657759139954,5377.897872771593,4727.406351372011,4219.583598438745,7448.484467707481,6301.265235568575,5436.289732539,4771.711510982694,4250.815931796177,7527.995433087382,6371.664615496008,5495.111721963276,4818.783065538987,4286.844761613823,7602.627358707875,6439.223495631518,5553.075398553509,4866.771403753889,4325.340113767158,7672.672531967364,6503.730540795714,5609.518093393557,4914.625923613256,4364.919492754651,7738.483607736137,6565.1847396407575,5664.116857696666,4961.745283228729,4404.743159543512,7800.419098480774,6623.688964996626,5716.738057014574,5007.789912856798,4444.2948363239175,7858.819556312946,6679.394480090874,5767.354902356498,5052.576821368976,4483.2571147583785,7913.998222997371,6732.471479498897,5816.0007460656925,5096.018361811385,4521.437862143617,7966.238550486112,6783.093406274118,5862.741986404104,5138.085507665459,4558.725327662508,8015.7949204252345,6831.428748968169,5907.6620860880785,5178.785294718783,4595.060011726677,8062.894754247947,6877.636970175316,5950.852062885603,5218.14670055142,4630.4166407643,8107.741118819977,6921.866735354093,5992.404831673765,5256.211679493296,4664.792401444935,8150.515390868798,6964.255418340418,6032.411877426432,5293.0294159982095,4698.199143628807,8191.379776826362,7004.929302139975,6070.961355789866,5328.652623701009,4730.658150965672
5,2021-07-06,9648.656207454625,8260.043953998358,7192.822294699955,6362.3329452474545,5705.60173769897,9746.657723704251,8347.318066552034,7264.760388079714,6417.899580647731,5745.302618126848,9838.722236835121,8431.81675597277,7337.14325620149,6476.881741314601,5791.0697150584065,9925.004896195853,8512.79399192957,7408.3865673179525,6536.955516615246,5839.933602051592,10005.868060153096,8590.01097195087,7477.681101630126,6596.804472793653,5890.13437586713,10081.740198206848,8663.480783510016,7544.637522509837,6655.678239111384,5940.60506882128,10153.053055372438,8733.339768777889,7609.099746697621,6713.155842499873,5990.691514273821,10220.214578983607,8799.780696088195,7671.042751514424,6769.012963441968,6039.99313539586,10283.59861013361,8863.017457305072,7730.514810731109,6823.144719434959,6088.268905529994,10343.542471721703,8923.266405387269,7787.6040669904905,6875.519406906622,6135.380002183315,10400.348185512841,8980.736697593795,7842.418880130062,6926.15012815394,6181.253896289694,10454.285228189894,9035.625592107644,7895.076184088433,6975.077064117908,6225.86136235805,10505.593800083978,9088.116487022071,7945.694599792115,7022.356245835456,6269.201489439984,10554.488111842247,9138.378469559711,7994.390418732394,7068.052378001516,6311.291762392974,10601.159463422244,9186.566678183546,8041.275339187757,7112.234234375348,6352.161421134515
6,2021-07-07,12087.644410129418,10462.64451513833,9183.044068261182,8170.299159874411,7359.467589598684,12196.574255025997,10562.992859001304,9267.736938089904,8236.854305415738,7407.642445084144,12298.771198871284,10660.03093713912,9352.865156976382,8307.44228824072,7463.144257378244,12394.432224969476,10752.915198556566,9436.566863373513,8379.275298812941,7522.361369168041,12483.98124061071,10841.386291619283,9517.897021803412,8450.778022346482,7583.155509607067,12567.912032280798,10925.473497278792,9596.40627868326,8521.055936859699,7644.232574902344,12646.71880300977,11005.34615918792,9671.919863400895,8589.610202104564,7704.801167849248,12720.866599033712,11081.236738781467,9744.416669748465,8656.177790711821,7764.378475192429,12790.780349132687,11153.400344049429,9813.96102476813,8720.638555511798,7822.675612690386,12856.842611125816,11222.09346775506,9880.663293943673,8782.959612638046,7879.527731228066,12919.395275461166,11287.563092165732,9944.65679013979,8843.161274163465,7934.850274408978,12978.742910517842,11350.041474421992,10006.084146368261,8901.295799805985,7988.610998375397,13035.156620303593,11409.74406127049,10065.089297872932,8957.4339671719,8040.811748840463,13088.877875863538,11466.869115032317,10121.812842123323,9011.656511731297,8091.476418554951,13140.12207914483,11521.598250871308,10176.389454987022,9064.048653349693,8140.642897872193
7,2021-07-08,14646.198854223752,12806.890007253625,11323.821653801473,10130.565811780263,9163.637454177599,14763.51465679347,12918.500365210019,11420.195131922015,10207.578728436069,9220.094279881116,14873.465510976248,13026.315771488516,11516.975099941825,10289.197432413426,9285.101130969897,14976.28476850491,13129.411847099282,11612.046527900324,10372.191666488014,9354.41648926917,15072.447165692385,13227.514832622204,11704.341942097748,10454.740234019397,9425.531647436686,15162.499541612411,13320.670978040778,11793.3592327157,10535.812599857172,9496.93075851462,15246.986378825484,13409.080682382464,11878.908674277485,10614.83725549619,9567.689020017511,15326.41841524565,13493.012828021925,11960.97472567212,10691.515816798477,9637.244179216017,15401.26127730808,13572.759893530341,12039.638169128482,10765.715025414183,9705.261584446731,15471.933426644513,13648.614501785181,12115.031247992645,10837.402175825366,9771.551946622369,15538.808300084816,13720.857506803135,12187.311441771542,10906.605611410196,9836.019899873452,15602.218156966883,13789.752382842076,12256.646044506037,10973.390124446823,9898.631123720204,15662.458427919233,13855.543069947407,12323.20313544306,11037.841438918575,9959.390952040521,15719.791994879468,13918.45369776058,12387.146390747654,11100.05634476945,10018.330254671228,15774.453151072874,13978.689299920756,12448.632227173426,11160.136409712453,10075.49601482356
8,2021-07-09,17306.6333391316,15276.169348794705,13600.615550299677,12230.695123292591,11107.51970384306,17430.21011849577,15397.314125096093,13707.535228978712,12317.530912061327,11171.968132064543,17545.94105843234,15514.237608216908,13814.819847203391,12409.498693876396,11246.138940605837,17654.08865005786,15625.94922461712,13920.126622987362,12502.951882452367,11325.18097940127,17755.16721752041,15732.165299883289,14022.279082087045,12595.838777065177,11406.227568092569,17849.764517489,15832.948523028152,14120.729218468286,12687.002090349446,11487.549130525696,17938.463601405332,15928.52737416316,14215.275490235419,12775.803268409589,11568.09277603554,18021.81012704003,16019.203076880613,14305.908917198878,12861.911955953643,11647.220420011556,18100.300735992652,16105.301001295109,14392.726493686188,12945.183757833684,11724.554127754735,18174.381188362568,16187.145394194233,14475.88139005985,13025.58721456065,11799.881894906548,18244.448858969452,16265.046639419828,14555.553912156662,13103.159178797563,11873.098744817564,18310.85698302897,16339.295342825424,14631.93447842442,13177.977067558964,11944.169107984797,18373.9193898026,16410.16014592598,14705.213696921432,13250.141391369249,12013.1023682018,18433.915131650956,16477.887554691537,14775.576700386493,13319.764671823985,12079.93674140797,18491.09275063798,16542.702822142797,14843.2000602314,13386.964398679253,12144.728531765371
9,2021-07-10,20054.603113655794,17856.682625509566,16001.133245913281,14460.03552890576,13181.958461486938,20182.740158878096,17985.768707918087,16117.457060596475,14555.997348337321,13254.038947518531,20302.681099127753,18110.268691201436,16234.097213661247,14657.570329693373,13336.954746060279,20414.709869299768,18229.138307615678,16348.508503600893,14760.72052016265,13425.270938836566,20519.369768447017,18342.087070536123,16459.418455556995,14863.182463259709,13515.778551934029,20617.27843883806,18449.192659565135,16566.23946453969,14963.681952174731,13606.544120567254,20709.04706652579,18550.70805404808,16668.760731415867,15061.51914744059,13696.392991939678,20795.246758922276,18646.962341770282,16766.980286035414,15156.335011099207,13784.615376679541,20876.39674532219,18738.309052938497,16861.01059709802,15247.975767482592,13870.79276508704,20952.962654994502,18825.09940069673,16951.024373732565,15336.411995729975,13954.692206777101,21025.359277242274,18907.668876503903,17037.223025912237,15421.68924020264,14036.200250236232,21093.955100263393,18986.33110220357,17119.818228854027,15503.897339338977,14115.280778998442,21159.07732714681,19061.375634307304,17199.021218528032,15583.151146033886,14191.947628333579,21221.016760485465,19133.067894397936,17275.036715953673,15659.578323291045,14266.246552140512,21280.032293205757,19201.65020336157,17348.05964906968,15733.311609087166,14338.2432205172
