,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1005.9667823475303,804.523279673107,668.8265128486129,572.3659984424521,500.90853675852577,1024.591658999694,818.2777442339508,678.814864293113,579.4127089294168,505.6142993963449,1042.2822654612144,831.713937424059,688.9349791841133,586.9317509371177,511.0594703585835,1059.0351770471846,844.7014234292935,698.9648989112223,594.6316713902522,516.8972631180606,1074.890353145029,857.1883726820664,708.7867970420676,602.3448895326711,522.920887231401,1089.9048631183832,869.1633258159535,718.3399406347362,609.9736888511339,529.0036957964724,1104.1405916168953,880.6356462930128,727.595873478945,617.4612953505361,535.0668777185903,1117.6584910064657,891.6251551799741,736.5447265460052,624.7756318849971,541.0611336855183,1130.5160093450506,902.1564998201773,745.1873981819609,631.8998328780721,546.9558530784775,1142.766088690702,912.2560573117814,753.5309652831285,638.8265288859355,552.732502769765,1154.4569410920444,921.9502356068623,761.5859363284883,645.5543132420337,558.3804737185716,1165.6322004880553,931.2645619864937,769.3645851191471,652.085512096315,563.8944095690659,1176.3312437779357,940.2232214289327,776.8799337849124,658.4247540231697,569.2724542897836,1186.5895743154042,948.8488535604586,784.145133340857,664.5780413383596,574.5150837292873,1196.4392134948434,957.1624976275882,791.173091279425,670.5521423786776,579.6243160546152
1,2021-07-02,2722.350380160747,2222.4673045958466,1873.219035580558,1618.672083958203,1426.684607098744,2765.9007598310636,2256.25697241453,1898.5876360516531,1636.9992445593655,1439.1410001611412,2807.115002983722,2289.1715929852417,1924.236110549586,1656.524196248632,1453.5387198573198,2846.0096185909206,2320.9001061011795,1949.6019120510862,1676.4862022350085,1468.955676882907,2882.6998412523294,2351.32577143764,1974.389747411204,1696.4497323687299,1484.842970951298,2917.3376677649094,2380.430655717771,1998.450342754592,1716.1624845525482,1500.865401198951,2950.08329548875,2408.2470147766303,2021.7165547173909,1735.4793208732838,1516.8152560923709,2981.092086090908,2434.831669014424,2044.168201249314,1754.3195561924006,1532.5633854443008,3010.5089815194942,2460.252196349187,2065.812032581133,1772.6420454437234,1548.030299139761,3038.4665518364086,2484.579426309194,2086.670024885479,1790.430196469816,1563.168520458454,3065.08480313143,2507.8833893718556,2106.7724089555772,1807.6827252283072,1577.951509390491,3090.471806663918,2530.2311993460635,2126.1534698645933,1824.4078377996905,1592.3665473570804,3114.7246727016754,2551.68603017184,2144.849005847081,1840.619511739203,1606.4100776797052,3137.930627877859,2572.30671419107,2162.894798979989,1856.3350924320098,1620.084605229335,3160.1680768246983,2592.147690202368,2180.3257114541007,1871.5737287872341,1633.3966068017185
2,2021-07-03,4973.544859729071,4132.334062811223,3525.348746958943,3072.877654376509,2725.9547579487657,5042.817158798656,4188.4933984527015,3568.803659284245,3104.963286221716,2748.1224590899833,5108.183799856741,4243.071034227998,3612.6583882496957,3139.099346281142,2773.7199780429837,5169.703175726986,4295.563630108332,3655.9514920742104,3173.950080944057,2801.099953599408,5227.586829625705,4345.792269166487,3698.1833014419603,3208.753704565032,2829.283290183388,5282.100353042603,4393.741563374262,3739.105659343553,3243.0715028391205,2857.673641351608,5333.518291583141,4439.478066384199,3778.611235549147,3276.653372573814,2885.902891220545,5382.103992866662,4483.107500069655,3816.6727125878083,3309.3623467698303,2913.7434104701906,5428.101320596848,4524.751874300881,3853.30824580163,3341.1306133971366,2941.056225824323,5471.732078827882,4564.53717443056,3888.5613484886767,3371.933096249485,2967.759386588222,5513.196150713116,4602.586815771091,3922.4889690196355,3401.7711913197795,2993.8081248594326,5552.672862401372,4639.018304384447,3955.1543505795826,3430.6625582411525,3019.1821263503207,5590.322825432481,4673.94169850027,3986.6227460921104,3458.6346165018876,3043.8772075217826,5626.289886202005,4707.459081226098,4016.958867860521,3485.7203585303705,3067.8997885760145,5660.703004040383,4739.664593589007,4046.2254048737454,3511.955638600551,3091.2631771070346
3,2021-07-04,7616.346158951743,6426.404237633466,5542.215540852338,4869.282094177247,4345.362498581719,7709.131840439048,6504.717658221195,5604.534571623411,4916.2475610081,4378.317167756115,7796.480703932888,6580.676122562223,5667.328342885286,4966.154237133884,4416.33731529679,7878.506915080641,6653.594509302717,5729.221180830642,5017.042081496587,4456.965563123543,7955.525165839624,6723.241616408789,5789.504520744232,5067.797178085139,4498.743510413182,8027.917450638806,6789.613291081992,5847.832130852665,5117.781437458952,4540.78500994863,8096.073117848033,6852.817773582681,5904.0598319546825,5166.634096685729,4582.54498348095,8160.362575572471,6913.0158681644225,5958.15758715254,5214.160338669188,4623.688081566992,8221.126886384058,6970.389145322898,6010.159695019254,5260.266445825329,4664.011101946025,8278.674924162562,7025.122985841336,6060.135878230617,5304.9209012743895,4703.395659450381,8333.2840643159,7077.397689656633,6108.174219004198,5348.130487422261,4741.778524819954,8385.202420013702,7127.3840438626385,6154.370995918311,5389.925318964632,4779.132615438497,8434.651638583386,7175.241376689146,6198.824629675011,5430.349335997809,4815.454584426522,8481.829775531613,7221.116993749489,6241.632116901937,5469.454206584381,4850.7565938441785,8526.91402016349,7265.146369094076,6282.886988973934,5507.295397083014,4885.060795258626
4,2021-07-05,10571.195937967772,9041.01719115793,7873.126540137571,6967.107662046428,6251.605024791268,10684.417508280314,9140.174370592347,7954.107285427886,7029.315405805956,6295.89615189385,10790.80479064347,9236.192414082936,8035.595156241208,7095.349293345006,6346.955524179267,10890.53298714148,9328.222209853477,8115.806445122209,7162.607815725111,6401.470513173776,10984.017189664391,9415.990803995956,8193.829692467532,7229.617120129052,6457.477746882646,11071.749426854523,9499.511521183887,8269.226012463956,7295.536968366961,6513.786848997733,11154.226021745964,9578.937891372283,8341.819098390053,7359.89585336162,6569.6679482569,11231.91623808486,9654.487735988449,8411.580224041962,7422.442423415272,6624.674077241619,11305.2502953255,9726.403047405349,8478.563232248785,7483.059052450862,6678.536268988997,11374.616516012047,9794.92876562529,8542.866906857322,7541.710059480197,6731.099584669351,11440.362676960716,9860.301785383435,8604.612846825657,7598.409945861242,6782.283052164705,11502.799148764343,9922.745592472656,8663.932353648097,7653.203548522238,6832.054018084301,11562.2026363596,9982.468018289755,8720.958672122808,7706.1534675601,6880.411425007758,11618.819947434653,10039.6607128094,8775.822463011578,7757.332029950018,6927.374744991453,11672.871526605366,10094.499543509794,8828.649249278895,7806.816132461718,6972.976570059792
5,2021-07-06,13764.09054231907,11914.645853664284,10467.267538276705,9324.102954741173,8409.129891105076,13894.153792851397,12032.554154469324,10565.945645084637,9401.291344634259,8464.855688729001,14016.180576608498,12146.57168800262,10665.12572020636,9483.15095597703,8529.052246430554,14130.406084981707,12255.707727432353,10762.638751553968,9566.448142972287,8597.540649646613,14237.336402871819,12359.657948881124,10857.384215161559,9649.356073470946,8667.847083833378,14337.561017596381,12458.457111894224,10948.839200118367,9730.837771960978,8738.474676245694,14431.669893733344,12552.304484659342,11036.800710060319,9810.315286014496,8808.50830865192,14520.2181715401,12641.473438266938,11121.244737551651,9887.484182786277,8877.38994097541,14603.713086118729,12726.263900981601,11202.246751219685,9962.205720169932,8944.785909682261,14682.611280977217,12806.977384180858,11279.935793423807,10034.44232040627,9010.50603484935,14757.320844956803,12883.904188372888,11354.46757975124,10104.21804988435,9074.45299705246,14828.205308401191,12957.317282916592,11426.008627559373,10171.593973653176,9136.589958699453,14895.58825044107,13027.469861676387,11494.726920879315,10236.652581570232,9196.919478958716,14959.757874369403,13094.594908337254,11560.786510807015,10299.487864182729,9255.469581882293,15020.971263224945,13158.90583161788,11624.344511185238,10360.198969132829,9312.28444591523
6,2021-07-07,17145.14231323143,15003.267677546986,13286.86514179746,11908.03437162126,10790.318437908203,17288.570982689645,15137.561257794658,13401.884158852996,11999.56816031187,10857.28318724942,17422.97535392135,15267.272302853267,13517.371275674372,12096.561408424386,10934.378820900256,17548.64489456816,15391.290962135608,13630.803152771161,12195.173781434925,11016.571804374686,17666.16354253362,15509.290294239157,13740.90750158838,12293.241172591368,11100.885699937951,17776.20273426417,15621.328185703125,13847.087013507233,12389.539927552936,11185.522759578522,17879.43045328321,15727.647697846482,13949.117162038998,12483.392252752006,11269.386844993338,17976.472954876284,15828.573988163394,14046.981147468417,12574.445034302333,11351.81211478087,18067.90096124255,15924.460329201533,14140.776931217197,12662.541360747284,11432.402788592823,18154.227228751744,16015.659928317895,14230.663690336882,12747.64372087458,11510.93550550937,18235.909227182863,16102.511631141113,14316.830531761801,12829.787030639549,11587.298258158406,18313.353893352978,16185.333204360464,14399.478106610717,12909.049391983881,11661.451369348199,18386.92298728409,16264.418772671861,14478.807855007846,12985.533656055744,11733.402108869699,18456.93835584538,16340.038510956183,14555.0158342377,13059.355707627443,11803.187945335223,18523.6867984882,16412.43952414165,14628.28932815236,13130.637003164005,11870.865372823315
7,2021-07-08,20671.34690944703,18267.933066488244,16297.69039346806,14689.077323130085,13369.152488664302,20824.90992816086,18416.134104968536,16427.44130614559,14794.050245916224,13446.933425577687,20968.676752140633,18559.13846069065,16557.60587795355,14905.203080513738,13536.43120971134,21102.982619011196,18695.73882139153,16685.342582624377,15018.126015518392,13631.787067682062,21228.474382474473,18825.59280636771,16809.226641074813,15130.339654666952,13729.540069342416,21345.888773827974,18948.781363334943,16928.59633084722,15240.446967446986,13827.603275048423,21455.955463183975,19065.587699971657,17043.21030042903,15347.678447400265,13924.70729892747,21559.356643028048,19176.383445603078,17153.060606383468,15451.637237193898,14020.083788057129,21656.71277715027,19281.56925193743,17258.26757029556,15552.151174441855,14113.27850085149,21748.580445676038,19381.543949016705,17359.019342323314,15649.18443036241,14204.037443340156,21835.455579734502,19476.68903017861,17455.536682886584,15742.783535194649,14292.235699473818,21917.778843393076,19567.361479046263,17548.052338899703,15833.043832411402,14377.83198804415,21995.94159988381,19653.891149182302,17636.799038129237,15920.088370498135,14460.8391345841,22070.29173019262,19736.5806002404,17722.002649096645,16004.054523848128,14541.304613533233,22141.138987313287,19815.706215393664,17803.87846728468,16085.08549900212,14619.297587654795
8,2021-07-09,24322.207719889822,21687.604050995156,19480.03171668697,17649.422327021002,16129.767947352542,24483.307985330335,21847.464400932822,19622.92377635688,17766.855490164093,16217.848813924522,24634.02983357932,22001.5965122587,19766.163723148195,17891.1225414694,16319.147206048774,24774.74438058947,22148.71373779023,19906.62717953748,18017.284854152942,16427.016264915597,24906.14678008106,22288.463161942986,20042.75510626606,18142.57128478977,16537.533093178907,25029.02352285593,22420.947244457388,20173.83028472295,18265.42527183822,16648.33569649512,25144.151095672125,22546.48472436398,20299.59824968718,18384.99372562476,16757.990528398735,25252.25402436297,22665.487764916877,20420.060676360663,18500.840703859492,16865.632651271597,25353.99033571117,22778.39804396968,20535.359342111817,18612.781296946356,16970.753249445417,25449.94964514604,22885.653715877037,20645.70954533226,18720.782505155967,17073.07023360267,25540.656832799195,22987.672912742215,20751.361396241507,18824.902758745906,17172.447406340732,25626.577914576104,23084.84622267273,20852.5772188929,18925.2543830062,17268.842886206534,25708.126478970204,23177.534049675993,20949.618452690163,19021.980022419775,17362.275626377927,25785.669931324213,23266.066593942334,21042.73823726036,19115.237731514575,17452.80337776141,25859.535221444636,23350.745187631463,21132.177429010964,19205.19153743144,17540.508031570804
9,2021-07-10,28080.970650611023,25245.051732511347,22817.586004421577,20774.183633705532,19058.781426257712,28247.56861832621,25414.562561093637,22972.086883384083,20903.06895352219,19156.58749366556,28403.364760391163,25577.895601566725,23126.86525030613,21039.378324377478,19269.02017417156,28548.756323371497,25733.699975901152,23278.54760005251,21177.686478459513,19388.686684718825,28684.473614587776,25881.615485030597,23425.45758552723,21314.954606710802,19511.22746885301,28811.33932630683,26021.763680853448,23566.830392286804,21449.480495001844,19634.02112005069,28930.163995394138,26154.493809887732,23702.40134277181,21580.335380078435,19755.479779446596,29041.70292941735,26280.25250068089,23832.181848770746,21707.048556563164,19874.648175389633,29146.64146255702,26399.516142202356,23956.33372656895,21829.424492140526,19990.96687224755,29245.593221946623,26512.7560544709,24075.097190550397,21947.43378026459,20104.128141212692,29339.104126209728,26620.421198963373,24188.749073489336,22061.146671466406,20213.985965511158,29427.658613304502,26722.930388601664,24297.578501232176,22170.69187411423,20320.498658302775,29511.68642020462,26820.669648424115,24401.872845655897,22276.230718439005,20423.691644202918,29591.569137181094,26913.992329211436,24501.909817074204,22377.94085115618,20523.632988663394,29667.64620714115,27003.22063549283,24597.95325631052,22476.005941222913,20620.41714293855
