,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,670.2015292923594,532.985643879252,441.4372542819067,376.7808864183299,329.10537088298184,682.9689884814611,542.3043824796428,448.1521747082111,381.4925249598502,332.2392508197357,695.1088661138717,551.4145318718435,454.9595009141273,386.522000423677,335.8665592382491,706.6168611950981,560.2270748858168,461.70996217085946,391.67463169158094,339.75661478837816,717.5186007949045,568.7061440213434,468.32409579508345,396.838362411299,343.77180510437944,727.8516841815037,576.8432366072971,474.7607455498432,401.947747407055,347.82779237163464,737.6572480042156,584.6440189662122,481.00043790689415,406.96466967741605,351.87204030934777,746.9759990886035,592.1213186997171,487.03620754426265,411.86750830508834,355.87163743150103,755.846419932745,599.2913096481058,492.8683528932937,416.64481259084266,359.8061051124922,764.3040525954518,606.1714081617401,498.5013556159443,421.29148892434284,363.66300409525496,772.3813195619352,612.7791141766385,503.9420342174417,425.80644228341345,367.4351737892202,780.1076064401196,619.1313855096876,509.19842222771626,430.1910867057631,371.1189561492869,787.5094643524084,625.244317503167,514.2790820442128,434.44838905900355,374.7130301099667,794.6108583922862,631.132998688218,519.192685787661,438.58224754360435,378.21763405497876,801.4334242150048,636.8114676346919,523.9477622739603,442.59708445483125,381.6340400726595
1,2021-07-02,1840.7711099483856,1491.3633853983201,1250.390604927313,1076.3584191621057,945.9773272939439,1871.448034649374,1514.804089443776,1267.803414106678,1088.8413274141153,954.4124528446533,1900.5168328998109,1537.6607054113583,1285.4217691747642,1102.147565405128,964.1660749040091,1927.98305910329,1559.715145911848,1302.8592643556785,1115.7596589231623,974.6147919970642,1953.922479573099,1580.8838226999242,1319.9122501285717,1129.3808936401822,985.3872800062114,1978.43755840783,1601.1517781956281,1336.4770513662913,1142.8389801056896,996.256546517065,2001.6372938992786,1620.539106821069,1352.5063258104767,1156.0344515023323,1007.08171928223,2023.6279367213672,1639.0832195649884,1367.9850231419448,1168.9116847769867,1017.775016546143,2044.5089503773193,1656.829259954984,1382.9166791774246,1181.4419920266466,1028.2822374103125,2064.371539572508,1673.8248727346536,1397.3153939545737,1193.6134428116682,1038.570847853033,2083.2984327115373,1690.1173639282083,1411.20104577861,1205.4245812055403,1048.6225001801001,2101.3642570833,1705.7522020509764,1424.5964006928498,1216.8804678275126,1058.4282256634435,2118.6361694333295,1720.7722811277733,1437.5253582455487,1227.9901468436824,1067.9852844906982,2135.1745699711278,1735.217618130973,1450.011891152415,1238.7650061372103,1077.2950682507594,2151.03381385433,1749.1252964636158,1462.079414763107,1249.2177079765802,1086.3616849126443
2,2021-07-03,3398.4720046126736,2798.904596016681,2372.7074932640826,2058.466725151175,1819.5124254643733,3448.230412802435,2838.5644227500397,2403.0175480620856,2080.639734786623,1834.7225188021266,3495.2470421308303,2877.150391412471,2433.6335172098757,2104.245533215724,1852.2944381150896,3539.552996997916,2914.302432736662,2463.884079808846,2128.362391452898,1871.1000497864081,3581.290696957309,2949.889079854321,2493.4186437001526,2152.463652642889,1890.468341886528,3620.642876996201,2983.89457625054,2522.0615678633926,2176.245137831529,1909.990089674764,3657.800084531905,3016.3615272481306,2549.735383819677,2199.5326653854167,1929.4122057182317,3692.9460081084967,3047.3607583503267,2576.4185732203355,2222.2301316092057,1948.577762789639,3726.25132477175,3076.9751359755837,2602.1215561909858,2244.2892424592555,1967.3905660188232,3757.8716712602018,3105.290818333722,2626.8726835898246,2265.691318694643,1985.7935261698606,3787.947593569432,3132.392570300551,2650.709915361597,2286.4360842763076,2003.7550905337755,3816.605403834329,3158.361344478654,2673.6758222506214,2306.534620065326,2021.2605320721648,3843.9584044353333,3183.2731399129357,2695.814574413035,2326.0048676126594,2038.3062495497018,3870.1082084958607,3207.198582166674,2717.1701393014087,2344.868728942285,2054.8959788375532,3895.1460247226346,3230.202906165942,2737.785225500806,2363.150183943208,2071.038242420899
3,2021-07-04,5252.300251578123,4389.738162245845,3759.0596781310173,3284.900140585871,2919.2079622050187,5320.036367679464,4445.911426857839,3803.163204963026,3317.7941867261466,2942.101260378338,5383.888807483988,4500.458989335439,3847.645108389157,3352.774194204892,2968.5279309852,5443.925824248514,4552.882275593669,3891.5304989627684,3388.469490453992,2996.7845152336768,5500.364003426206,4603.007646151052,3934.314496158244,3424.099433555609,3025.8591431638342,5553.471206670574,4650.824736078111,3975.7479295049034,3459.215371939552,3055.1360717347548,5603.522616920476,4696.40459362408,4015.724573909962,3493.5623439162005,3084.235719969838,5650.78124879545,4739.856845654222,4054.219237044573,3527.0014594296326,3112.9238170660938,5695.490060505504,4781.306844932711,4091.2526303369127,3559.464686339614,3141.057737036352,5737.869622588277,4820.8834176703185,4126.870937704711,3590.9277059397355,3168.5537511192333,5778.1184092734875,4858.712385688178,4161.133725472816,3621.393215164839,3195.366495656394,5816.4142584708625,4894.913291851457,4194.106717697412,3650.880455321921,3221.475804534429,5852.916274713675,4929.597919150447,4225.857473014425,3679.418548696933,3246.8781045881756,5887.766816530387,4962.8698130719495,4256.452821905757,3707.0422150886156,3271.580705539085,5921.093397707044,4994.824356650208,4285.957385757641,3733.789003201264,3295.5979638322406
4,2021-07-05,7343.2377997260755,6218.978498542107,5374.9310336475955,4728.570994364043,4223.331723061794,7426.888677685944,6290.989167343659,5432.934976608402,4772.640179201749,4254.431895308592,7505.589327804537,6360.800573049306,5491.359292866947,4819.456464580006,4290.305582751629,7579.451148662676,6427.786621243339,5548.924353113501,4867.17974062742,4328.632000733479,7648.765213107038,6491.738905400769,5604.972482356228,4914.7651057320645,4368.03428158563,7713.882060994912,6552.657538781536,5659.183577743819,4961.614746449656,4407.676280158683,7775.157767809623,6610.645536595716,5711.425593607395,5007.391319355771,4447.044086592151,7832.930408219254,6665.85376935279,5761.67257230488,5051.913248962019,4485.821888831828,7887.510840596857,6718.451754852498,5809.958232137821,5095.093784004754,4523.81864731871,7939.1802873382585,6768.612119316408,5856.34904826294,5136.904452313346,4560.923366780043,7988.191075794553,6816.502477966052,5900.928380574262,5177.352615939196,4597.077071205506,8034.768750233162,6862.281412101846,5943.787033462988,5216.467424337084,4632.254848137262,8079.114669645105,6906.096725747793,5985.017642383336,5254.290898364235,4666.454129728527,8121.408660018337,6948.084966537813,6024.711375709484,5290.872216881496,4699.686928022665,8161.81152041328,6988.371634354852,6062.956054268063,5326.264038670108,4731.974628209146
5,2021-07-06,9621.651256069015,8247.07157884112,7188.793081680649,6364.016890406047,5710.967721374018,9718.67412730875,8333.610181814034,7260.229511179614,6419.266861634652,5750.485763368268,9809.808412540307,8417.386547905118,7332.09954804461,6477.907298654801,5796.038667839172,9895.209764830346,8497.662195739484,7402.830237403142,6537.627124304093,5844.669841100579,9975.23868377079,8574.20167390666,7471.618721788903,6597.11755511791,5894.62721462238,10050.32081287225,8647.01920499551,7538.079219875323,6655.632913282191,5944.8487985523525,10120.884765785375,8716.251078414938,7602.057571610471,6712.755151009172,5994.683683301177,10187.335368467267,8782.089377292348,7663.529702691418,6768.261778448591,6043.733468137479,10250.043496221175,8844.746984890511,7722.5442429569375,6822.0490440749345,6091.758600005601,10309.343722192314,8904.439097318167,7779.18932862036,6874.085919929979,6138.621260658816,10365.535552026562,8961.37366687631,7833.57309211364,6924.385882273105,6184.24960448973,10418.886176182179,9015.74675553725,7885.8121078648555,6972.98928400483,6228.614866207387,10469.633724897385,9067.740605577617,7936.0245617835835,7019.9521920615025,6271.716437345075,10517.990537008318,9117.523205369467,7984.326271174575,7065.339255418408,6313.571992539408,10564.146219994944,9165.248659115392,8030.82844442013,7109.2191308367055,6354.210880291143
6,2021-07-07,12049.497445782781,10442.275287384264,9174.553798988454,8169.702362064039,7364.142432688919,12157.270735324735,10541.702081045047,9258.587459328513,8235.823721732813,7412.056778972738,12258.370974690371,10637.83769542805,9343.043766868796,8305.944944257611,7467.254257861485,12352.995267983299,10729.847753321032,9426.075756453984,8377.295917148094,7526.141715502242,12441.564914121822,10817.476789273094,9506.746600272481,8448.311787743773,7586.592123548843,12524.57001651825,10900.755209616525,9584.611428860933,8518.104377677822,7647.318467000605,12602.50079608142,10979.852026321794,9659.497807224794,8586.178739150553,7707.533939401717,12675.818381040974,11054.998611505185,9731.38569426919,8652.274227040165,7766.758754524929,12744.944008981876,11126.448611807127,9800.339720177995,8716.27212079789,7824.706044169298,12810.256836669287,11194.45690257942,9866.470095186569,8778.140346219072,7881.212304291918,12872.095657665148,11259.26881409519,9929.909704118878,8837.89962108306,7936.193868747083,12930.762237768347,11321.114984411031,9990.800594571723,8895.602344117282,7989.619070366071,12986.52515210739,11380.20931032612,10049.286031725722,8951.319255459779,8041.490112515635,13039.623591953832,11436.748591191714,10105.505904375623,9005.130936946132,8091.831091118511,13090.270903421726,11490.913073268088,10159.594170279574,9057.12237946665,8140.679990027783
7,2021-07-08,14597.009957052447,12778.701834385098,11310.328458913955,10127.19713304323,9167.242282895853,14713.064650960612,12889.244513602041,11405.90204267512,10203.663359649261,9223.359640094064,14821.82227988461,12996.016971790066,11501.868736738672,10284.69520325,9287.970767424327,14923.515860802447,13098.105165572533,11596.131528559108,10367.08482785772,9356.858477885096,15018.616880288779,13195.239517519149,11687.632743732205,10449.02420205778,9427.528793235451,15107.667822518102,13287.467277683034,11775.875518137487,10529.490696757706,9498.475099466032,15191.208549603401,13374.988189484659,11860.672761628835,10607.917590180416,9568.778525527534,15269.74530020712,13458.069637754255,11942.010038094226,10684.009372430584,9637.8806888879,15343.739491021166,13537.002206560906,12019.968327405822,10757.634456792071,9705.449480693762,15413.605724519895,13612.076473886791,12094.679533172213,10828.761039129617,9771.29727822508,15479.713937709254,13683.571235100326,12166.300482451892,10897.41786477257,9835.32979161528,15542.393233327311,13751.74796634129,12234.99764278156,10963.669802248214,9897.5133724599,15601.936201877767,13816.848708557554,12300.938179288521,11027.6024396516,9957.85374707519,15658.603171419303,13879.09580897251,12364.284820481023,11089.312294291782,10016.381982543522,15712.62613738726,13938.692641146245,12425.193035618744,11148.900575152918,10073.145122543532
8,2021-07-09,17244.069572887067,15237.813033248465,13579.939535177598,12222.61912806437,11108.375967679376,17366.288424923976,15357.746086599334,13685.912169248812,12308.784391238183,11172.394803153149,17480.73632714792,15473.488273702764,13792.235958497851,12400.033877850938,11246.065790681736,17587.67507214652,15584.060470698285,13896.589382296324,12492.748621997878,11324.568814677506,17687.615194917893,15689.183448290329,13997.80739627436,12584.893041156185,11405.05591842462,17781.139523439186,15788.920748215107,14095.347999481039,12675.319442261292,11485.8091998712,17868.82593935129,15883.499856580635,14189.012563364417,12763.395008515956,11565.783212633236,17951.215098615798,15973.22008208738,14278.793222600743,12848.79276734255,11644.34468213135,18028.798983189223,16058.404461871214,14364.787031077636,12931.37023445141,11721.118793460933,18102.019095531436,16139.374767700117,14447.14660273231,13011.096925327838,11795.895551313743,18171.26895931229,16216.438917355716,14526.051336153247,13088.01006634358,11868.57124428793,18236.898343861736,16289.88514011976,14601.690554197578,13162.187060671236,11939.111062792073,18299.21796589162,16359.97983071844,14674.253681376635,13233.728156388632,12007.52480362389,18358.504083538926,16426.967395353277,14743.924640958146,13302.745455757642,12073.850856057556,18415.0027285625,16491.071138276973,14810.878807048393,13369.355933467981,12138.145531664055
9,2021-07-10,19975.0035032384,17804.647373121017,15970.035596450321,14444.334485324207,13177.469783301607,20101.669797718216,17932.365350523793,16085.249661762185,14539.48485229679,13249.015092257652,20220.22214560275,18055.53363177382,16200.765952846325,14640.190172600134,13331.309300456436,20330.94351399174,18173.120619255988,16314.064101236196,14742.450039807389,13418.956419831484,20434.37291972099,18284.84057347742,16423.884845384026,14844.01846443238,13508.770890642629,20531.12252167635,18390.77188474792,16529.647405763888,14943.632734240684,13598.83377476886,20621.797790135428,18491.166188726456,16631.14418678769,15040.599804392532,13687.979619414204,20706.964322264135,18586.350221831282,16728.374329439033,15134.564574510472,13775.504525528933,20787.13622667139,18676.6747204493,16821.45019722079,15225.375429846457,13860.993757279335,20862.774462367543,18762.487969412283,16910.5436934215,15313.003988382034,13944.216753439066,20934.289600581254,18844.122564031815,16995.855031171846,15397.496118549912,14025.0615294348,21002.04633814563,18921.889349541143,17077.594486356607,15478.941527218029,14103.492813317562,21066.368476954787,18996.075267822056,17155.971808589653,15557.454647731327,14179.52486100159,21127.543769144027,19066.94330463233,17231.190216140898,15633.162545609339,14253.203557019298,21185.82836945594,19134.73352620052,17303.44316051193,15706.19725627012,14324.594503752242
