,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,772.1581315339395,614.8085911376515,509.6101962628191,435.21039941865973,380.2963344167894,786.7788416216462,625.5070902482291,517.3321570475723,440.63492003059133,383.90743065536765,800.6776694285658,635.9643769429758,525.159442751026,446.4248725684684,388.0868473476942,813.8501710751084,646.0784112943074,532.9204086602875,452.35607262599285,392.5687105907335,826.3261296341195,655.808199309812,540.5237358069934,458.29951075990687,397.19442755177084,838.1489788156839,665.1441605896424,547.9221753441344,464.1798660770623,401.8668163880731,849.3661451881067,674.0929668501896,555.0934170143755,469.95329227871724,406.52535296980426,860.0245116338966,682.6694928964121,562.0295316969934,475.5949392630178,411.1321334627003,870.168369990329,690.8924365949199,568.730937330326,481.0916661386947,415.6635833695445,879.8386081982063,698.7819050328615,575.2028552773933,486.4376491274182,420.1053927294206,889.072511416637,706.3580859182981,581.4531869522605,491.6316652081919,424.4493337247816,897.9038620016244,713.6405311937391,587.4912241286311,496.6753768657156,428.6912133776832,906.3631756361343,720.6477911061023,593.3268604794562,501.57223111081174,432.82953014891194,914.4779893783757,727.3972501479452,598.9701102214739,506.32674410348704,436.8645778438804,922.2731584646235,733.9050789473562,604.4308177982185,510.94403249200536,440.79783978556543
1,2021-07-02,2117.5443837279054,1718.4471365678967,1442.420512174817,1242.6758705222373,1092.8147188535754,2152.526287205318,1745.2674211183264,1462.3899075722175,1257.0153647409663,1102.5164428659916,2185.6648748298244,1771.4136453497372,1482.591683841826,1272.2987905951165,1113.7336909839885,2216.9680046343847,1796.6368455922684,1502.582766576499,1287.9315407764095,1125.7492035511764,2246.523435762403,1820.8420277036143,1522.12984112546,1303.572785074049,1138.1358056714562,2274.4491726237034,1844.012703725813,1541.1143092368834,1319.0247166694828,1150.6324199651124,2300.870481742751,1866.1724342857663,1559.4821874716747,1334.173224301675,1163.077073061371,2325.90933154911,1887.364525476977,1577.216511817884,1348.9545755872168,1175.3688810176627,2349.679812162637,1907.6410641496352,1594.321609017701,1363.3359787737168,1187.4455950368774,2372.2864812238654,1927.056938160771,1610.8138934198273,1377.3038837932163,1199.269889698396,2393.824136357978,1945.666594273988,1626.71637846376,1390.8567613752987,1210.8207541494605,2414.3782600117784,1963.522330592602,1642.0553635177578,1404.0005551940378,1222.0879601695062,2434.0257523966147,1980.6734599914869,1656.8584244940173,1416.7457721271694,1233.0684378093904,2452.835756958106,1997.16596985082,1671.1532004244289,1429.1055991726303,1243.7638624086765,2470.8704808594007,2013.0424624543573,1684.9666728426068,1441.0946759828057,1254.1790270888146
2,2021-07-03,3887.917328089688,3208.6275683036415,2724.02366025812,2365.795201485265,2092.8681895161158,3944.170202987408,3253.651369850361,2758.535677473665,2391.097579138912,2110.2539173792406,3997.305761933669,3297.444309080499,2793.38874365435,2418.030746616443,2130.3370587808536,4047.3621425010283,3339.5988527941586,2827.818650342366,2445.542521577694,2151.827534009053,4094.5029755096757,3379.967131594268,2861.4267485303435,2473.0319704870712,2173.9581405080885,4138.937063945279,3418.532579452891,2894.013725543495,2500.152246005346,2196.2611282526814,4180.881666153304,3455.3447547557867,2925.4920680242944,2526.704937639066,2218.447340112424,4220.545962051588,3490.4851033752016,2955.837933225434,2552.5807614066416,2240.3375957905755,4258.124151774074,3524.048596176908,2985.063786661191,2577.7249862047015,2261.8221607671676,4293.793210626369,3556.1338106701223,3013.202446070166,2602.116654361495,2282.8360054559103,4327.712872995388,3586.837628825174,3040.297607296938,2625.7557802356123,2303.343283571403,4360.0266346682265,3616.252507186372,3066.398157657991,2648.655307062197,2323.3273691281765,4390.863163910582,3644.465195878184,3091.5547529767173,2670.8359765529435,2342.784338366956,4420.337816220555,3671.5562746537644,3115.8177717281123,2692.3230210709426,2361.718638125854,4448.554104530945,3697.6001443140995,3139.2361182613286,2713.1440176633546,2380.140170631902
3,2021-07-04,5996.468299081544,5022.678741481156,4307.988499504851,3769.1500586421876,3352.6786511667756,6072.802618085044,5086.245356740056,4358.053045553545,3806.579368766569,3378.7768660127645,6144.737844908769,5147.955683056126,4408.536079901492,3846.37552664184,3408.8993918292563,6212.354833737046,5207.247371879531,4458.331274857143,3886.978322834033,3441.1033516188086,6275.901099646126,5263.925953931222,4506.866388148021,3927.499597043093,3474.234889095231,6335.681387065961,5317.98162112878,4553.8596381083835,3967.4292825231228,3507.592093277879,6392.008183223238,5369.496490345516,4599.19152431651,4006.4778500342645,3540.7424763252084,6445.1798301688905,5418.596109042732,4642.834467963836,4044.4878868583082,3573.419303201255,6495.471710886461,5465.4236055056,4684.812903255124,4081.3825963882837,3605.460354442482,6543.13368845145,5510.12584665444,4725.180076556213,4117.1348851002895,3636.7705600754593,6588.390489622838,5552.846133305772,4764.004325317102,4151.74835136714,3667.2985742089454,6631.443395095777,5593.720519245343,4801.360884987239,4185.2453673338005,3697.0217542401324,6672.472420125061,5632.876157338554,4837.326991304196,4217.659497872639,3725.9363471603115,6711.638583082758,5670.43077802056,4871.978981151046,4249.030629772936,3754.0509787293613,6749.086071202954,5706.492790281967,4905.390620744272,4279.401825494391,3781.3822806918806
4,2021-07-05,8363.087302725991,7099.008460612049,6146.224914691342,5414.361421670478,4840.919995014704,8456.988625388543,7180.184717645435,6211.828619118784,5464.334421095606,4876.259412927511,8545.306236411661,7258.860198563907,6277.892601616507,5517.412910869398,4917.017529486051,8628.170035366367,7334.33161707754,6342.970085557481,5571.509503428383,4960.555833026568,8705.910967715672,7406.366744606955,6406.318487131362,5625.43951030918,5005.309306091115,8778.926032784699,7474.968256102879,6467.577272099002,5678.525695653301,5050.327896700533,8847.617811138729,7540.254542772728,6526.59861271183,5730.386386844133,5095.028005530674,8912.368142179948,7602.397634819131,6583.354571813346,5780.816600597239,5139.051278805492,8973.527875368356,7661.590293586367,6637.884568238232,5829.718859560277,5182.181200499161,9031.4142373779,7718.02852754685,6690.264921368197,5877.061714907791,5224.292217084143,9086.311732713997,7771.902475128861,6740.5909052126035,5922.854279367409,5265.317864802801,9138.474570160768,7823.391903363118,6788.966083598772,5967.130294856262,5305.230352225686,9188.12962348132,7872.664272426844,6835.495975666408,6009.938024230217,5344.027237638099,9235.47944417116,7919.874221076998,6880.284340022298,6051.333777647822,5381.722604196744,9280.705102976019,7965.163823340876,6923.431061281888,6091.377748029504,5418.341144394426
5,2021-07-06,10933.840138871876,9393.811793101395,8203.383206385457,7272.636106599743,6533.794048757824,11042.394583106798,9491.034789266634,8283.911277257728,7335.0881213489465,6578.562320605461,11144.331312418708,9585.129111033662,8364.909247337842,7401.360063747154,6630.1598743856675,11239.829876666701,9675.268144070556,8444.604679255008,7468.838647000158,6685.235482754332,11329.298273952341,9761.190625968571,8522.094166123661,7536.044776702464,6741.803699179585,11413.216595630618,9842.91558508916,8596.944753784428,7602.136471284735,6798.661556652461,11492.067545769556,9920.598834666736,8668.98458668988,7666.642338084815,6855.072173546545,11566.306616941487,9994.458493681972,8738.18831863502,7729.3120965661155,6910.584915045665,11636.350828824114,10064.73569771266,8804.612378754542,7790.029648120396,6964.929171078974,11702.576191420361,10131.673870749195,8868.357539063923,7848.7610167902985,7017.949588741609,11765.319163862212,10195.508032969079,8929.546930194118,7905.522432700863,7069.565522381446,11824.87979607097,10256.459621889371,8988.313033398288,7960.360402729981,7119.745081372699,11881.525420229034,10314.734361081632,9044.789999746692,8013.339096476116,7168.4882160368625,11935.494347450329,10370.521803316546,9099.109182290473,8064.532291893506,7215.815530292244,11986.999322834803,10423.995771934993,9151.396627938004,8114.018213474786,7261.760795941483
6,2021-07-07,13672.014548833828,11875.727010429266,10453.379741816814,9322.332109220955,8413.214692056375,13792.377180487658,11987.180503464586,10547.88501852899,9396.896332645827,8467.369648966578,13905.258492222436,12094.917542537529,10642.844132827531,9475.956303156565,8529.747305315837,14010.884028891965,12198.00618209411,10736.180841351052,9556.387113105746,8596.28429138414,14109.728947638248,12296.163617824574,10826.843491936417,9636.424492353333,8664.57583058432,14202.344438738943,12389.427248353168,10914.334016442586,9715.06795995293,8733.16745046146,14289.281105103993,12477.9894467169,10998.460714759824,9791.760766366478,8801.170512902663,14371.056458363139,12562.112071687503,11079.20310841657,9866.2104483834,8868.043617304504,14448.142971766843,12642.081564037368,11156.63572503815,9938.284541255514,8933.463492792494,14520.965730027063,12718.18540268576,11230.88412713196,10007.948188314962,8997.246303540147,14589.904425861852,12790.700077512312,11302.099164349893,10075.225942761004,9059.298409135514,14655.297147796478,12859.885365578852,11370.441798421658,10140.177957389922,9119.584877676276,14717.444715275302,12925.982074332469,11436.074190712363,10202.884947013394,9178.108987079835,14776.61496953908,12989.21167636896,11499.154558018832,10263.43861284959,9234.898685280305,14833.04675695764,13049.776948054927,11559.834319950061,10321.9355271426,9289.997545440583
7,2021-07-08,16539.556243949944,14511.840490764129,12868.29049120002,11539.774999537962,10458.969401942364,16668.953118644746,14635.501993229675,12975.538491668458,11625.813702297195,10522.25691734298,16790.18578700951,14754.917560275431,13083.20409405633,11716.972648051918,10595.112852266226,16903.519425654104,14869.068245790502,13188.935158695163,11809.641230005489,10672.778595402375,17009.484318885672,14977.656244037407,13291.546969776531,11901.78557050945,10752.440702548369,17108.689102492328,15080.737899797987,13390.484464552223,11992.256321280383,10832.400287533274,17201.738773339137,15178.539720482917,13485.54016425673,12080.41743731852,10911.621859441066,17289.200243498322,15271.363436694286,13576.700145408411,12165.938104799943,10989.476740594628,17371.58996680102,15359.536320861584,13664.057310245844,12248.671892075576,11065.591533215867,17449.371813276026,15443.385280023884,13747.761452177001,12328.584519389387,11139.755786144551,17522.959542866203,15523.223735331434,13827.990094358633,12405.709691515283,11211.864254221988,17592.721139406483,15599.345477524446,13904.931363699377,12480.121610565122,11281.880004591763,17658.983678904173,15672.022342524926,13978.773981598693,12551.917650918498,11349.810422559402,17722.03810689583,15741.503958314166,14049.701527730254,12621.207354673896,11415.691383042482,17782.1436509236,15808.018580524114,14117.889295544757,12688.105426313123,11479.576693207131
8,2021-07-09,19517.680852486857,17284.04761153934,15431.941744929976,13910.896175907174,12658.910216583217,19653.82078439686,17418.01836920954,15550.6561708856,14007.67272056981,12730.97640098165,19781.27789920127,17547.27957586077,15669.739340427433,14110.14117307475,12813.896122388469,19900.348933209927,17670.741129526174,15786.591736127119,14214.235630862991,12902.240476200755,20011.6069471164,17788.09491540618,15899.910541033949,14317.67040997029,12992.802631905632,20115.704753111986,17899.415417777986,16009.091236859767,14419.157931975833,13083.649030171735,20213.288969021713,18004.959815204984,16113.91392105,14517.989245710902,13173.60371788511,20304.964177824848,18105.06506204047,16214.372183394755,14613.79897454844,13261.955017445294,20391.280283557164,18200.094202654524,16310.576883077807,14706.428875497351,13348.282301688032,20472.730591966854,18290.408506069954,16402.70084874256,14795.846359343903,13432.350475940106,20549.754670652528,18376.353458876114,16490.94666040414,14882.09472388328,13514.044027039152,20622.743114244975,18458.252297851905,16575.52778797039,14965.262226661542,13593.324914453782,20692.042828776877,18536.403656063838,16656.65761582748,15045.46262702952,13670.205210159167,20757.962186149016,18611.08142735986,16734.543193337002,15122.822855065144,13744.729070628071,20820.775767777493,18682.5357870779,16809.38184496408,15197.475184783729,13816.960729541812
9,2021-07-10,22590.74687184518,20177.060851319617,18130.48409661224,16423.50502774238,15002.409319826147,22731.80083286243,20319.602066240815,18259.394189899762,16530.225010591334,15082.830228728772,22863.79431090924,20457.038395351115,18388.617563642332,16643.15602482748,15175.320588012339,22987.047208551536,20588.222056239254,18515.33544187101,16757.80996062731,15273.811904193626,23102.163855583876,20712.83784310192,18638.141245755454,16871.66838382048,15374.722510963147,23209.82930375314,20830.976647784824,18756.38786754557,16983.316607363402,15475.89575727009,23310.720514943343,20942.922281623054,18869.845691887887,17091.979232494385,15576.022620375037,23405.469516232737,21049.04192877911,18978.516197158784,17197.25995772932,15674.313201488618,23494.65056676328,21149.72915291036,19082.52726898118,17298.990624729067,15770.302742321785,23578.77839412913,21245.37442915539,19182.07313163621,17397.141140784013,15863.733496487544,23658.311339820448,21336.35042388952,19277.379424404586,17491.764516890333,15954.480932498136,23733.656441005787,21423.005279918027,19368.68281287896,17582.962756419663,16042.50664692535,23805.175019681054,21505.66025560237,19456.21917054606,17670.8654288979,16127.827796230855,23873.188112935313,21584.609701654423,19540.216887848368,17755.616119618313,16210.496976429571,23937.98145850267,21660.12224756023,19620.89327737155,17837.36385176012,16290.588839727146
