,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,775.6071692571685,617.5906090815637,511.9358372491552,437.20829601585524,382.0497026164973,790.2888977901416,628.3350554201436,519.6915792385777,442.6568510926639,385.67694688347365,804.2455788111043,638.8371699150906,527.5530615680133,448.472433244243,389.87504106606764,817.4727729432975,648.9944820258859,535.3478892475495,454.42986247580416,394.3769191635278,830.0004084040087,658.7658305846052,542.9843467723945,460.3995578079282,399.0232779245348,841.8721181696859,668.1416027756364,550.4149824630343,466.30586590772674,403.71650087315066,853.1355419390907,677.128506984626,557.617392512512,472.1047480579386,408.3957938215022,863.837771006678,685.7414890161349,564.583617028125,477.77124609495405,413.0230843815018,874.0232926988007,693.9993332514376,571.3140793878307,483.2921629641102,417.5746937389419,883.7331744886868,701.9222385192185,577.8140270710848,488.66165105096445,422.0362490807968,893.0048645834449,709.5304838666,584.091398967261,493.8784837442675,426.3994869320583,901.8722925641111,716.843709207101,590.1555300834509,498.94433256888846,430.6601966378961,910.3661067162265,723.8805478987052,596.0163596533947,503.8626613245935,434.81687095391436,918.513963456674,730.6584620611326,601.6839477097402,508.6380075440204,438.8698059243134,926.3408254959187,737.1936943309374,607.1681835157901,513.2755117788887,442.82049236237555
1,2021-07-02,2126.624274604607,1725.9530748136508,1448.8003641275009,1248.2217554684362,1097.7244077914336,2161.74126467521,1752.88123333122,1468.8523000121202,1262.6216755163637,1107.467601374168,2195.0073715035555,1779.1323451945138,1489.1374162005347,1277.9694150958937,1118.7327506048377,2226.4305559468817,1804.4564727244544,1509.2108101379026,1293.6678531231473,1130.7995177962707,2256.098980613724,1828.758270750634,1528.8382142480618,1309.3747239188226,1143.2388975880938,2284.1311606435065,1852.021215060643,1547.9005545618804,1324.8913923747414,1155.788696662466,2310.6528923108817,1874.2689883336075,1566.3436394908722,1340.1032736584032,1168.286251857192,2335.7866532177004,1895.5450948593407,1584.1504492261668,1354.9463747833947,1180.6302518739074,2359.647005634359,1915.90185178186,1601.325341514057,1369.3877737425082,1192.7581862821871,2382.3389370913587,1935.3943855940788,1617.8848103353782,1383.413870887492,1204.6325746988975,2403.957632947412,1954.0773773515834,1633.8519746883985,1397.0231374587772,1216.232320952003,2424.5889237579195,1972.0033485828835,1649.25325183642,1410.2215485048177,1227.5471573538873,2444.310021703052,1989.2218216888245,1664.1163397327264,1423.0196608798599,1238.5740047949607,2463.190349782066,2005.7789785844593,1678.4689986977583,1435.4307222534187,1249.3145494266796,2481.2923658948266,2021.7176011005952,1692.3383279579655,1447.4694385360428,1259.7736081800315
2,2021-07-03,3903.684393095663,3221.9472393251435,2735.5181583972158,2375.8978901570144,2101.8861210664268,3960.1344824351067,3267.137375577353,2770.1623789732225,2401.2997615294694,2119.3415649239137,4013.4555356842816,3311.091567105571,2805.1486201310854,2428.3386396267574,2139.5051338617614,4063.6859582478787,3353.400831941538,2839.7097545811416,2455.958187895484,2161.081548010929,4110.990072680375,3393.9168175689997,2873.445631692509,2483.555112427875,2183.300518654254,4155.57751367764,3432.622957203672,2906.1562067274094,2510.7812143157153,2205.692420652139,4197.6663838786435,3469.5690466997726,2937.753663236291,2537.437319445356,2227.9669436135523,4237.466664529725,3504.8368803184862,2968.214097587291,2563.413731992366,2249.944197848664,4275.17329239984,3538.5218206324994,2997.5500507660154,2588.655523310461,2271.514019156927,4310.963909071217,3570.7228442126025,3025.794490966742,2613.141669980084,2292.611127763213,4344.998846643867,3601.5372206183033,3052.991303212481,2636.8722017266778,2313.1995439565007,4377.422135087247,3631.057773168345,3079.1895811853824,2659.8601265706134,2333.2625847936915,4408.362919492532,3659.3715938947234,3104.4401914074365,2682.1262802196943,2352.796319807321,4437.936981128256,3686.5595784683605,3128.79371983633,2703.6960053550906,2371.8052219182096,4466.2482135859,3712.6964180612345,3152.2992707684007,2724.596997338482,2390.2992405827467
3,2021-07-04,6019.654143618882,5042.622563725215,4325.426119091359,3784.6261602696673,3366.5959477003807,6096.235068838733,5106.407159085651,4375.669847612129,3822.1937330604187,3392.7929131245282,6168.401629943803,5168.328312076928,4426.333036439543,3862.1365748718354,3423.0292380762853,6236.23512907706,5227.821833977176,4476.305414355301,3902.8886865360378,3455.354648734784,6299.984043794778,5284.692685096525,4525.012733236204,3943.5586325719974,3488.6109070722346,6359.954239429639,5338.931115135172,4572.1722540566825,3983.634483490697,3522.093447911734,6416.459324998857,5390.6196041919175,4617.664100485365,4022.8256687720955,3555.368158273131,6469.798698134166,5439.884201091572,4661.460643698495,4060.974224388169,3588.1673099508175,6520.248706309741,5486.868585513554,4703.58644945257,4098.0030996329115,3620.3280877329216,6568.060080892871,5531.720179436755,4744.094993817565,4133.885128662245,3651.755080284291,6613.4583245913045,5574.582818598354,4783.054893158723,4168.623948554878,3682.3967652217066,6656.645409306648,5615.593060105255,4820.541682110345,4202.2420370044365,3712.230430972804,6697.801965520213,5654.878523945277,4856.632898834811,4234.773103347283,3741.2523257610264,6737.089559537401,5692.55737056994,4891.405175941896,4266.2571998970625,3769.4711220869863,6774.652867335594,5728.7384030004405,4924.932563174765,4296.737564304074,3796.9035273983436
4,2021-07-05,8393.287733659927,7125.4399986951385,6169.632066228689,5435.336580685116,4859.922905865213,8487.457779022756,7206.866032968773,6235.448573001813,5485.478196842355,4895.385218525329,8576.026817901376,7285.782540652814,6301.726107020277,5538.7353079771865,4936.284802566365,8659.125359998612,7361.484194608159,6367.013224458645,5593.013446200962,4979.973902729205,8737.085504233883,7433.738184636968,6430.564995156906,5647.123935770459,5024.88203621397,8810.305557863057,7502.547318941445,6492.019789819098,5700.387288807838,5070.055850789863,8879.189394184936,7568.030463991903,6551.229375947381,5752.420587656002,5114.909735708991,8944.120059707035,7630.360275133042,6608.165795652464,5803.0182027172705,5159.084116192253,9005.449500755305,7689.730188367314,6662.868658619205,5852.0823719531645,5202.361751260168,9063.495927230633,7746.336884193495,6715.414587444559,5899.581581713663,5244.616679078572,9118.54471918421,7800.371144129725,6765.89921380918,5945.525013114796,5285.7822320441,9170.850862944037,7852.013337194857,6814.426479678076,5989.946555749661,5325.830547633075,9220.641922494704,7901.431479944029,6861.102282995228,6032.894665432126,5364.759199156509,9268.121062580592,7948.7807215783105,6906.030750466892,6074.425868981247,5402.58234016245,9313.469899739028,7994.20360249314,6949.312117920321,6114.600585958692,5439.324768347853
5,2021-07-06,10972.54472095924,9428.046266056766,8233.958610948266,7300.220232128598,6558.919653057472,11081.407227276679,9525.561804635014,8314.740787462171,7362.876886418322,6603.839084230866,11183.632108785452,9619.938205724651,8395.993536317088,7429.365436748195,6655.610528151234,11279.399638007539,9710.346496482272,8475.938859334074,7497.0639924666275,6710.871360875617,11369.119153594982,9796.52476522541,8553.670570352835,7564.488626477902,6767.629405692876,11453.27226017528,9878.492225084814,8628.75443277461,7630.794638578632,6824.677639554906,11532.343154204655,9956.405270488718,8701.018132096275,7695.5091426271365,6881.276715875352,11606.788719801974,10030.48277309553,8770.436319513608,7758.381091709667,6936.974509799725,11677.027239805684,10100.966675574164,8837.06567156416,7819.294058831238,6991.499532223402,11743.435855579526,10168.10120286661,8901.007339199226,7878.21400506769,7044.695940558848,11806.352033018295,10232.122139681089,8962.384894578958,7935.1572576169965,7096.4828502949085,11866.076715635678,10293.251637835005,9021.331282783427,7990.170515011665,7146.828294305932,11922.878028421303,10351.696080074415,9077.981117626647,8043.318191946552,7195.732251344419,11976.994986588386,10407.645623169503,9132.46620053094,8094.674338841405,7243.215420842443,12028.64096165524,10461.274641696047,9184.913005257431,8144.3174635243295,7289.311711998446
6,2021-07-07,13718.99407207851,11917.747422933126,10491.236966090068,9356.72050303929,8444.709545927124,13839.682748501078,12029.5208255813,10586.027006926233,9431.518446696584,8499.039755356049,13952.868657372239,12137.565964049654,10681.271331035203,9510.825581390329,8561.61887488046,14058.778178126213,12240.948360681543,10774.887477906777,9591.507158011262,8628.370287307793,14157.887946476674,12339.38455041956,10865.82070994469,9671.793394488777,8696.88140298829,14250.750803711759,12432.912179373654,10953.57155515456,9750.680722974848,8765.693050741615,14337.918972420817,12521.724295887958,11037.947831788522,9827.61071039758,8833.913745815282,14419.91146948577,12606.083615677842,11118.929088476258,9902.290041110598,8901.000374717083,14497.202131292417,12686.277490585571,11196.590156733768,9974.585897202778,8966.628663230516,14570.217261159472,12762.594299205342,11271.057046954704,10044.463370219422,9030.614223461393,14639.337634542586,12835.311387298721,11342.481123630754,10111.947142323272,9092.863152930346,14704.902299680612,12904.68932956088,11411.02388546491,10177.09760125927,9153.340444781616,14767.212926506198,12970.969668045202,11476.84802708295,10239.99575588989,9212.049422398793,14826.538110783571,13034.374547317897,11540.112280294135,10300.733630987952,9269.018155691689,14883.117369487652,13095.107356135184,11600.968553765593,10359.408133183957,9324.29038717395
7,2021-07-08,16596.12063104559,14562.814089659281,12914.502243596138,11581.969559661768,10497.777876476093,16725.87615600294,14686.832222149236,13022.072022213217,11668.275577700475,10561.26793299779,16847.44392573655,14806.591154529167,13130.059757404752,11759.717076696375,10634.356600242334,16961.090031007152,14921.069134344123,13236.106293809402,11852.67218605865,10712.269933231122,17067.346378294103,15029.967635249519,13339.023445355198,11945.10073002283,10792.185451906367,17166.82341529974,15133.343291960193,13438.25458068002,12035.849842079115,10872.398843336658,17260.12791664778,15231.423376480338,13533.591693688282,12124.281566323878,10951.871335408017,17347.82844668345,15324.510584388076,13625.020906721787,12210.064128758733,11029.972281784694,17430.442955556435,15412.933211592284,13712.63547867805,12293.05070774376,11106.327136719225,17508.436651010936,15497.01917437149,13796.585720423991,12373.206976946605,11180.724822394357,17582.22448158158,15577.082853072498,13877.049746514565,12450.566799903785,11253.059801457464,17652.175484679556,15653.418931674067,13954.21629875623,12525.204657332622,11323.295064214688,17718.617670005442,15726.300068266237,14028.274707959605,12597.218268524046,11391.438057346659,17781.842811448932,15795.97664252809,14099.409141492562,12666.717553096016,11457.524804630832,17842.11087281779,15862.6775948275,14167.795450240126,12733.817604429585,11521.609315952603
8,2021-07-09,19584.706233290242,17344.836240638546,15487.348865520466,13961.713801177475,12705.823922092803,19721.237834177842,17479.201061730135,15606.422972390985,14058.79225969665,12778.12093297421,19849.060901649922,17608.84158810558,15725.866092579028,14161.579714379895,12861.305796442359,19968.473170510933,17732.664629592622,15843.07087429601,14265.99753421608,12949.932111579947,20080.049473003754,17850.36128788241,15956.730634976917,14369.752927340282,13040.782744599226,20184.4446000196,17962.006379055252,16066.239117692367,14471.554352627518,13131.917954932442,20282.30711074308,18067.857936287284,16171.375844587503,14570.690713519878,13222.15805806451,20374.24339244417,18168.253988351673,16272.134469431434,14666.79556192223,13310.78914285233,20460.80498314916,18263.558717245014,16368.626261218806,14759.710226603405,13397.389284486382,20542.48664938183,18354.134512696142,16461.02463660337,14849.402076864753,13481.722684496419,20619.729256681298,18440.327925673817,16549.532844800808,14935.914599667829,13563.673506468793,20692.924550177653,18522.463183646487,16634.365049958076,15019.336375897223,13643.20363122731,20762.420455481686,18600.83983116654,16715.73532347972,15099.781561996986,13720.325208723596,20828.52624905859,18675.73259515099,16793.85137654753,15177.37752095799,13795.082572245206,20891.517316320256,18747.392409569184,16868.911160855754,15252.256971671044,13867.54019286777
9,2021-07-10,22668.019439027885,20247.656487029384,18195.207157450874,16483.14920255704,15057.685901055862,22809.478727854577,20390.614948867926,18324.504750397107,16590.198909879327,15138.36168661,22941.850626266543,20528.45263809617,18454.115675002726,16703.478124446407,15231.144686417809,23065.45612237127,20660.018536158324,18581.212726140755,16818.48482354146,15329.947057644586,23180.901424681622,20784.99664341617,18704.385182811504,16932.692816952007,15431.17574870415,23288.87367054356,20903.478236311443,18822.984089825066,17044.683105185828,15532.667287187414,23390.051862020977,21015.74806035472,18936.77923723028,17153.677965036924,15633.108540546235,23485.069918800942,21122.174462432013,19045.77219548145,17259.27994392992,15731.707157077562,23574.50381166208,21223.152231985205,19150.091312287364,17361.32043401676,15827.996959878537,23658.86979677323,21319.07304861681,19249.931463345958,17459.769313951372,15921.71943950408,23738.62757258595,21410.310720643494,19345.51902439848,17554.679816296106,16012.749720800646,23814.18537815774,21497.214452343593,19437.09142226224,17646.154310778566,16101.049325706847,23885.90559989179,21580.10647767341,19524.885281958326,17734.322812223883,16186.635507853169,23954.110218602367,21659.282038205605,19609.12971665416,17819.329388881608,16269.56106842536,24019.08581036431,21735.010574069758,19690.04272299236,17901.323558637065,16349.90093057866
