,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,665.6815730361999,529.4851076537896,438.59054197607065,374.3830483849723,327.03161104723864,678.3518043350088,538.7361039233145,445.2582299307957,379.0623398783546,330.1443691936463,690.3988618166234,547.7798161237761,452.0175561500021,384.05722303593427,333.7471983346384,701.8185344324431,556.5278938952817,458.7203016482579,389.1743473151251,337.61096345425904,712.6363056098784,564.944753310138,465.28757051594005,394.30242595121143,341.5989764323451,722.8895326017808,573.0219758557945,471.6785061579298,399.37646652924946,345.6274677542702,732.6190761376707,580.7652071205479,477.87378264839697,404.35861866900666,349.6442568605969,741.8653642515497,588.1871995721806,483.8664938742949,409.2274153359977,353.6166566270434,750.6666123796624,595.3040252783642,489.65694559914084,413.97148990241254,357.52432941705604,759.0581135770086,602.1329876272413,495.24959646585506,418.58578894684166,361.35492287926826,767.072061499572,608.6914710907041,500.6512245935953,423.06922980259236,365.10132772044807,774.7376330932632,614.9963203132946,505.86981370698766,427.42322122955926,368.7599134274045,782.0811899835145,621.0635223132866,510.913871877451,431.65071372157075,372.32937053814726,789.126525435233,626.9080634071614,515.7920154086273,435.75558231904336,375.8099383196561,795.8951193614332,632.5438865427515,520.5127176838402,439.7422221831127,379.2028825562408
1,2021-07-02,1824.0358581774758,1478.1595965224758,1239.531072532713,1067.1437608278388,937.9677919403141,1854.39376244406,1501.3670575674646,1256.7762795761594,1079.509549434094,946.3253479555535,1883.1592264159722,1523.9955695233273,1274.224644892957,1092.6907086809206,955.9891518085507,1910.3379188052468,1545.829284359255,1291.49349136916,1106.1745988514724,966.3415027779977,1936.0049702644892,1566.785523362858,1308.3811597998904,1119.667292101741,977.0144797127765,1960.26190841684,1586.8495526424354,1324.7850106092308,1132.998129718356,987.7831779845002,1983.2167054455535,1606.0413342805916,1340.6581959383418,1146.0685975647089,998.5080279054275,2004.9745957627902,1624.3979662671068,1355.9858471293264,1158.8236155773996,1009.102065501138,2025.6340815544695,1641.9641940747842,1370.7714995995455,1171.2347859405713,1019.5116003203685,2045.2854792478292,1658.7872321423538,1385.0291477558999,1183.29030994568,1029.7044098743734,2064.0107066118803,1674.9139531340281,1398.7785051538824,1194.988763578543,1039.662327245951,2081.883655987472,1690.3894049683445,1412.0421420462094,1206.335176536065,1049.3764775825998,2098.970819873887,1705.256081974868,1424.8437483476507,1217.338523019989,1058.8441568560684,2115.33199876862,1719.5536260797794,1437.2070838400034,1228.0100973722258,1068.066753582394,2131.021006303473,1733.3187714545572,1449.1553540295133,1238.3624549156407,1077.048346803226
2,2021-07-03,3367.8298908947318,2774.2813057147328,2352.2251927358384,2040.957690966956,1804.2160942775909,3417.0812918960874,2813.5507070796293,2382.245254470186,2062.9234580486523,1819.2867262434863,3463.6176480113113,2851.755905276833,2412.567683944861,2086.3082399142254,1836.6973153015176,3507.469959588525,2888.5404783030885,2442.5276018810605,2110.198891116565,1855.3300174346919,3548.7793804939147,2923.7743657457972,2471.7778200356897,2134.073683797136,1874.5199542532564,3587.726938995762,2957.442072600977,2500.144438014957,2157.63130735737,1893.8616551050193,3624.5013686466878,2989.585879798477,2527.550789505032,2180.699241592473,1913.1043665115294,3659.2845905978215,3020.275998072594,2553.9756193990916,2203.1823168189735,1932.0926192455172,3692.245627799998,3049.5945486131045,2579.4293001041897,2225.0327254794715,1950.7311219464564,3723.5386004724414,3077.6269013333963,2603.939957380002,2246.231995879218,1968.9633307107583,3753.302679171287,3104.4570373121155,2627.5452284752714,2266.7798847405643,1986.7580033485244,3781.6629353855233,3130.165155037761,2650.2873121444018,2286.68739658683,2004.1005677861567,3808.7315551297697,3154.8265415806786,2672.20998660329,2305.972329614033,2020.9874742411937,3834.6091475264852,3178.5111578582796,2693.3568252426626,2324.656402772018,2037.4224411674045,3859.3860178384652,3201.283622530256,2713.770151062468,2342.7633909903666,2053.413928166729
3,2021-07-04,5202.6262279782795,4349.237999496372,3725.0539954788405,3255.647335136755,2893.539575222104,5269.6303373127885,4404.824610451704,3768.710031180033,3288.2155954435743,2916.21067525454,5332.791076899064,4458.8011561854055,3812.739650525871,3322.848544785853,2942.380500320722,5392.176263258147,4510.674425780221,3856.177888570835,3358.1890377039954,2970.362036402834,5448.000401830149,4560.272761948208,3898.5250673860814,3393.464176707376,2999.1532046240973,5500.528676571477,4607.586066769202,3939.5346400364765,3428.2297964044787,3028.1442428450737,5550.033474299783,4652.684787454712,3979.101555052913,3462.2335155373157,3056.9592777105663,5596.775111848467,4695.677527689189,4017.200965308833,3495.3378782285627,3085.3663449726737,5640.994039185554,4736.688434707708,4053.853452853779,3527.47558329451,3113.2242393750394,5682.90853854726,4775.845076885706,4089.104804385164,3558.622606282397,3140.4500816790332,5722.715016913358,4813.272035777373,4123.014044209233,3588.781666117525,3166.998984053725,5760.589453687404,4849.087667876336,4155.646283676977,3617.971857288682,3192.8510094026165,5796.68928583723,4883.402641011918,4187.068442792486,3646.222052621457,3218.0026498888114,5831.155375979921,4916.31946330729,4217.34671442112,3673.566662556276,3242.461172196739,5864.113894865756,4947.932558793055,4246.54509920028,3700.042894378922,3266.2408186407747
4,2021-07-05,7274.951957220653,6162.412076251223,5326.940971761978,4686.997274939936,4186.671822376277,7357.730353113438,6233.688569707923,5384.366722894454,4730.636108171163,4217.473755285202,7435.608865225158,6302.786953685294,5442.207640224521,4776.9945081747655,4253.002995619441,7508.697978402275,6369.087675661742,5499.196891751108,4824.250282510335,4290.960907661445,7577.28594129216,6432.384621658603,5554.683449281611,4871.36875208373,4329.983793098602,7641.719811666438,6492.678059584371,5608.350507004477,4917.757993961792,4369.243533048205,7702.352091982419,6550.070091306247,5660.067440954187,4963.084025507066,4408.231176590663,7759.5174440348865,6604.710166319222,5709.808649960103,5007.167114079605,4446.633981935803,7813.523574852238,6656.766173042056,5757.607603651396,5049.921422995558,4484.262787371086,7864.648846709188,6706.409060618843,5803.5301913028115,5091.318820715784,4521.007708064842,7913.143013946685,6753.804804667337,5847.659008495131,5131.366654135461,4556.810377674747,7959.229315795712,6799.110427539504,5890.084011962922,5170.093838769837,4591.646163751485,8003.107049387551,6842.47227463586,5930.896963189786,5207.542030055005,4625.512560757695,8044.954196142643,6884.025541795126,5970.188164205339,5243.759966198052,4658.4214996926585,8084.929903160916,6923.894483128231,6008.044596825627,5278.79982653929,4690.3941914085635
5,2021-07-06,9532.082629222237,8171.904918364535,7124.459496133125,6307.942497761753,5661.304259905375,9628.093069856453,8257.55810089031,7195.179840653145,6362.649261173786,5700.440539869663,9718.2749597889,8340.475892616663,7266.328264102848,6420.712301390399,5745.552844346098,9802.782598992973,8419.927548080957,7336.347631040642,6479.843203104846,5793.713010130592,9881.972956622201,8495.680214312235,7404.443240605183,6538.746075649761,5843.185853439165,9956.267424891497,8567.748143652336,7470.233304230804,6596.682638348334,5892.919655378717,10026.090298911959,8636.266384658673,7533.56533127969,6653.239035642359,5942.269834340833,10091.842304205047,8701.425186260254,7594.41560331416,6708.195050601513,5990.841891671903,10153.890545525524,8763.435364010298,7652.832364853661,6761.448034068123,6038.398646688807,10212.56618476225,8822.51000458716,7708.9029580114275,6812.967339253025,6084.80367066664,10268.165666654686,8878.855009632172,7762.734508656213,6862.766378706121,6129.985867566612,10320.953445540186,8932.66449927599,7814.442489245452,6910.885169867566,6173.916801542372,10371.165208858378,8984.118904626317,7864.143958067162,6957.379282587072,6216.595917121954,10419.011113807655,9033.38453985221,7911.953620336269,7002.312777806949,6258.040760801461,10464.678817041004,9080.613969637328,7957.981611481716,7045.753678961992,6298.280435790337
6,2021-07-07,11936.64769647943,10346.439793847465,9091.853667668494,8097.19872286971,7299.656814066382,12043.287427364417,10444.839164942245,9175.035319452503,8162.661948286293,7347.102345413162,12143.322756679157,10539.979809508335,9258.633994598764,8232.084226114497,7401.7591017517825,12236.949011348901,10631.036173149063,9340.821516154296,8302.722948017956,7460.068929801018,12324.583311456905,10717.755640491947,9420.670680445859,8373.028868682752,7519.925565560654,12406.710812964038,10800.168497640345,9497.741272791907,8442.122729050872,7580.054602530563,12483.816748497686,10878.442179694432,9571.862748415584,8509.51460521472,7639.676982152465,12556.357531121253,10952.805812373763,9643.015399992757,8574.9465473327,7698.3176779189935,12624.750076222272,11023.510542720496,9711.26331855508,8638.301113425585,7755.692699252067,12689.369639685565,11090.80871374875,9776.715698302642,8699.54663789152,7811.640212350145,12750.55152174926,11154.943205037871,9839.50416429857,8758.703712822866,7866.077436736525,12808.594370816361,11216.142341569037,9899.769399093924,8815.82428697803,7918.973077201845,12863.763982911792,11274.617868240757,9957.65327962826,8870.9784594833,7970.329372185557,12916.297070580513,11330.56459939757,10013.294331304445,8924.246065430283,8020.170232915031,12966.404766094956,11384.16095922933,10066.825200592419,8975.711298112556,8068.533317331069
7,2021-07-08,14456.41146246959,12658.123974127335,11205.54094970349,10034.856211388857,9084.799998565462,14571.18270650996,12767.473217931209,11300.105191849609,10110.531048152701,9140.347122181824,14678.735358485163,12873.090896411635,11395.056691866612,10190.72299197108,9204.30089013798,14779.30027660282,12974.073094590885,11488.32066185361,10272.25732156839,9272.48677127006,14873.344091667892,13070.153418932065,11578.850756628666,10353.344758481055,9342.436070813545,14961.40358441732,13161.37886233076,11666.155542231145,10432.973357328536,9412.657505025043,15044.012887046316,13247.947233352314,11750.050084200695,10510.58238484778,9482.241603189543,15121.672833842807,13330.123219220124,11830.52026438727,10585.879516990564,9550.635739870437,15194.839895184628,13408.194426060732,11907.646354655064,10658.734651110883,9617.511270794184,15263.924214751734,13482.44842793701,11981.558994117375,10729.116424810676,9682.68256907255,15329.291740523733,13553.161121394482,12052.413464618408,10797.053387324657,9746.056387823575,15391.268018469153,13620.591252211647,12120.374570982762,10862.609825887164,9807.599499103566,15450.142470617835,13684.97832536778,12185.607794516953,10925.87052214207,9867.3176425527,15506.172600866601,13746.54235194455,12248.274214888133,10986.93106402097,9925.241634006514,15559.587883778953,13805.484563586055,12308.527718999352,11045.89167378789,9981.418096765883
8,2021-07-09,17072.835397795992,15089.547178689929,13450.189889807316,12107.692809255434,11005.373954273902,17193.635587503617,15208.126828085524,13554.995100897992,12192.92893687831,11068.715552170255,17306.752457653078,15322.560519539897,13660.14560838278,12283.1929782182,11141.606219273957,17412.445248388816,15431.880483421322,13763.345560019692,12374.904892985847,11219.276596869076,17511.218984718846,15535.810961354116,13863.44293407505,12466.051098653114,11298.9087872067,17603.65007239682,15634.41507344355,13959.901915715267,12555.496397615749,11378.803087957098,17690.30996358105,15727.917997189279,14052.526275878761,12642.614943579549,11457.925189145613,17771.733262956852,15816.615884045132,14141.308430066101,12727.083441152618,11535.64861575233,17848.406422488068,15900.828311152141,14226.344535486367,12808.76108732861,11611.602626042239,17920.765965524482,15980.87357410267,14307.785675247931,12887.617859554324,11685.579553371586,17989.200965519074,16057.05624501487,14385.809401414643,12963.690702596152,11757.4768851313,18054.05722708404,16129.661408055932,14460.603062539078,13037.056291276484,11827.260273895554,18115.64193760581,16198.952541269755,14532.354091553061,13107.813886190326,11894.939498229107,18174.228211452813,16265.171367393094,14601.244466820503,13176.074462637309,11960.55261813708,18230.059275883035,16328.53873298716,14667.447699782535,13241.953805361358,12024.155418149454
9,2021-07-10,19772.478452347415,17627.524445617022,15813.900457221593,14305.289719510438,13052.344477536393,19897.64104296035,17753.765033462852,15927.811555642367,14399.385721380648,13123.11148693242,20014.783731917123,17875.506258949656,16042.019445372418,14498.973560750792,13204.509410377832,20124.186567147546,17991.728758600733,16154.032361554988,14600.097060153124,13291.20070906581,20226.38254111738,18102.150411518098,16262.60547898255,14700.5351741379,13380.034405436023,20321.97685288841,18206.848989170147,16367.164807800687,14799.03931154568,13469.112467641542,20411.568033329393,18306.07346739263,16467.505316659164,14894.924263820727,13557.282206565947,20495.71516468006,18400.147016299823,16563.626354500175,14987.83902630842,13643.847490721248,20574.92641237954,18489.416493919198,16655.639189671045,15077.633817686405,13728.398214148228,20649.65739170456,18574.2263052479,16743.713934063457,15164.280711117317,13810.706440553537,20720.313903198457,18654.905322028215,16828.048667966865,15247.825192966317,13890.661514041938,20787.256397594312,18731.7608964906,16908.851401646934,15328.356087735134,13968.228648203338,20850.804900217412,18805.076736555584,16986.329608499782,15405.986658768416,14043.422036240981,20911.24380179665,18875.11285671954,17060.684290207053,15480.84264917883,14116.287146483792,20968.82626050336,18942.106605138255,17132.106779950765,15553.054705829205,14186.888941629348
