,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1017.6799923186585,813.7767738227907,676.4527494907279,578.8508725873616,506.55644237167144,1036.5348093357745,827.697547859653,686.560029066416,585.9805180623648,511.3170948295137,1054.4442024175114,841.296439993691,696.8007808913666,593.5881321262718,516.8258207374199,1071.4046426407326,854.4414136506598,706.9504008329623,601.3788386254764,522.731799082975,1087.456527597025,867.079985742902,716.88964965514,609.1830838821279,528.8258313061544,1102.657584271041,879.2005323385231,726.5570587514912,616.9019967983589,534.9797932650109,1117.0704221184833,890.8125065160535,735.9238200905006,624.4781288955443,541.1139523928879,1130.7567135300665,901.9359482208672,744.9799347191872,631.8790186012174,547.1784309942269,1143.7745889596881,912.5957848093723,753.726300279781,639.0875949735403,553.1422575580694,1156.1776218963585,922.8186968468308,762.1700676936345,646.0963953020251,558.9866788078906,1168.0146012339037,932.631398344767,770.3218614838165,652.9039903250565,564.7009580693821,1179.3296843643047,942.0597139162775,778.1940935909804,659.5127280687811,570.2796728173524,1190.1627216328195,951.1281112890294,785.7999341858125,665.9272866222828,575.7209419271564,1200.549644126793,959.8594955467817,793.1526847252485,672.1537344959896,581.0252436339049,1210.5228597029843,968.2751532314423,800.2654010172016,678.1989157174452,586.1946167544379
1,2021-07-02,2756.80896482174,2250.2473827078816,1896.408322713305,1638.5602311117268,1444.1102375410294,2800.947147002866,2284.4851755606605,1922.1083986708213,1657.1239452845814,1456.7258005645472,2842.718362309873,2317.8368725100318,1948.0923852820536,1676.9011448795004,1471.307627030376,2882.139214013219,2349.9872243939717,1973.790373309653,1697.121293343989,1486.9218781551108,2919.3263808831425,2380.817873449689,1998.9031805159402,1717.3432349770264,1503.0126513154294,2954.433818779435,2410.310583176878,2023.2795454394745,1737.3113956094157,1519.240461246051,2987.623811672973,2438.4979789423082,2046.8514098284004,1756.8787434755682,1535.3949340863858,3019.0537567893048,2465.437584269349,2069.598292615944,1775.9635300605175,1551.3452576679595,3048.870502643301,2491.1978302584857,2091.5270002683887,1794.5240576935219,1567.0109130191747,3077.208368296869,2515.850449329594,2112.6597677455306,1812.5434998297849,1582.3438033904615,3104.1889468394425,2539.466369934963,2133.027195980114,1830.0205373354859,1597.3170366898441,3129.921741536754,2562.113569999768,2152.663996358219,1846.9634655091572,1611.9177196422997,3154.5051516292665,2583.856039400429,2171.606416068601,1863.3864273838492,1626.1422388519343,3178.027563288588,2604.753372254303,2189.8906884322478,1879.306978954536,1639.9931209180263,3200.5684248254797,2624.860713722662,2207.5521170619963,1894.7445045409352,1653.4769160623873
2,2021-07-03,5039.065060601372,4186.179604458405,3570.8678470092386,3112.2585724277665,2760.6757656831287,5109.305706292801,4243.114953334689,3614.916257986105,3144.7777878583074,2783.140243950874,5175.586721587098,4298.447420337979,3659.370490718579,3179.3755139758146,2809.080682499213,5237.9671847602685,4351.666622493379,3703.255949147263,3214.6979742456283,2836.827721217149,5296.661486564038,4402.591078750913,3746.066090141982,3249.973078935896,2865.3891746638888,5351.938842476256,4451.205103710277,3787.549309941004,3284.7561574027236,2894.160708699155,5404.077565277591,4497.5760965977215,3827.5967554586846,3318.793691513913,2922.769263341319,5453.344627943885,4541.811177087854,3866.1806834213053,3351.9468264583543,2950.9841402067605,5499.987258906782,4584.033988003576,3903.319450033851,3384.146798101845,2978.664481683263,5544.230327856355,4624.372211368703,3939.0571215946325,3415.3681581797696,3005.7272160069556,5586.276484450058,4662.950931103476,3973.451388464197,3445.612291452006,3032.126952984492,5626.307539737626,4699.889246438896,4006.566326733669,3474.89706928765,3057.8430849563524,5664.486333075844,4735.298711050183,4038.468054047197,3503.2502578561903,3082.871352725031,5700.958707929048,4769.282797570754,4069.2221438250795,3530.705274404326,3107.21824463042,5735.855415433936,4801.936930362107,4098.892121803899,3557.298439258476,3130.8972303721266
3,2021-07-04,7720.497080538303,6513.478127381834,5616.693523338943,4934.25454706583,4402.995705286324,7814.623237536132,6592.915065937492,5679.898909088155,4981.882153069543,4436.411164249556,7903.234380097912,6669.963880271209,5743.586396426613,5032.4929055385865,4474.963235508903,7986.446230874848,6743.9295275681925,5806.360712302317,5084.099160442397,4516.160254302038,8064.57795466231,6814.577395911759,5867.503152548726,5135.571280720106,4558.523449698797,8138.017007848677,6881.903189371037,5926.66249182519,5186.262142178682,4601.154275999099,8207.15832063011,6946.01662959914,5983.692433141112,5235.805848480534,4643.50000957825,8272.377619922227,7007.080768144426,6038.562451202601,5284.004787301825,4685.2205806949905,8334.020871283363,7065.27973121556,6091.307278459306,5330.763873352691,4726.109912000139,8392.401392731323,7120.801518890219,6141.997582533247,5376.051102746165,4766.047929403852,8447.800553440531,7173.828984925627,6190.722658404346,5419.873315188242,4804.970487605351,8500.470041141374,7224.535339853502,6237.580119924966,5462.2610159922,4842.850095749766,8550.634698079602,7273.082175931542,6282.6697586993005,5503.258734908447,4879.683333238208,8598.495435888892,7319.618894395404,6326.089926422143,5542.918842368994,4915.482507943945,8644.232000122951,7364.282898481924,6367.935464028431,5581.297564010522,4950.270059465491
4,2021-07-05,10718.284800364037,9165.96984192671,7981.214799565141,7062.173113751682,6336.444461561867,10833.150215008285,9266.56554320785,8063.365525401554,7125.274556289736,6381.3680281214865,10941.081837931184,9363.976789449865,8146.03113518379,7192.257533469186,6433.156797626087,11042.257432838878,9457.342096053217,8227.402116395984,7260.483183641945,6488.45091263812,11137.098141288872,9546.384500334754,8306.553787769344,7328.456459151813,6545.258984795252,11226.103159977074,9631.117479838262,8383.04086632211,7395.3250106219675,6602.373628532809,11309.776041769594,9711.696759820325,8456.68444538994,7460.610510557428,6659.054523088157,11388.59288584687,9788.343296991727,8527.455337090778,7524.057949520532,6714.848284127057,11462.990178304,9861.302575628766,8595.408122084038,7585.547967772451,6769.482067466106,11533.36189801124,9930.823075142345,8660.642977578147,7645.044332113776,6822.798686045521,11600.060887472313,9997.145116670215,8723.2832310886,7702.561717186418,6874.715977889171,11663.402038041191,10060.495420737183,8783.462057634712,7758.145573442956,6925.20079253998,11723.66608495095,10121.084828596813,8841.314607705252,7811.859373791747,6974.2520296971825,11781.103430630892,10179.10776702037,8896.97341382196,7863.776461417013,7021.889414674422,11835.937730329157,10234.742652618597,8950.565799338196,7913.974818176718,7068.1459829098285
5,2021-07-06,13955.126288351703,12079.358210096976,10611.287235967715,9451.778412566027,8523.753920587385,14087.035578676994,12198.951339097102,10711.377596212616,9530.069896382169,8580.273679331456,14210.793270370857,12314.597670448824,10811.977125111833,9613.09956534791,8645.385108348222,14326.63806112225,12425.292342783348,10910.885744571247,9697.587562807777,8714.849800517433,14435.083370544686,12530.726717636471,11006.987159063816,9781.680929434684,8786.15870329546,14536.727183232355,12630.936088881403,11099.75095716817,9864.327842284622,8857.793603418315,14632.16794721637,12726.122609454333,11188.971225027402,9944.942059923382,8928.826320181997,14721.968773725579,12816.563591901753,11274.623603271735,10023.214771072266,8998.690834434348,14806.644173416924,12902.563282488,11356.784635441622,10099.005226081808,9067.048699890553,14886.657334393009,12984.427530052846,11435.585207998736,10172.275288751498,9133.706999547381,14962.422190273754,13062.45080926814,11511.183264247979,10243.049351269572,9198.567002206199,15034.307474961406,13136.910013111277,11583.747705214731,10311.389336217699,9261.591322839866,15102.64139687778,13208.061973846621,11653.448920580395,10377.37889978575,9322.782537098274,15167.716280532404,13276.143022407263,11720.453311493964,10441.113365465199,9382.169050849841,15229.792883552143,13341.369632933964,11784.92024303249,10502.693289450675,9439.795656791815
6,2021-07-07,17384.49028892399,15212.128280302191,13471.143447288188,12072.523083614007,10938.772975711674,17529.959842149343,15348.345089590814,13587.814494313185,12165.371803334407,11006.698187193186,17666.275751039484,15479.913163646379,13704.960208662758,12263.758503605502,11084.899756394498,17793.73176103162,15605.706804528154,13820.020992411824,12363.787672769362,11168.271986163447,17912.920259597835,15725.394446630104,13931.706278450578,12463.264097345353,11253.795750190277,18024.522356282097,15839.034864162903,14039.410181275858,12560.946524068442,11339.647501304002,18129.215638442445,15946.874654312724,14142.904956017532,12656.147403146191,11424.715357613399,18227.63535402751,16049.243680775748,14242.173570618972,12748.508531146032,11508.323903394474,18320.3604131541,16146.500319203316,14337.315403749048,12837.870728496451,11590.07165774274,18407.910923350715,16239.00287364462,14428.49192946287,12924.195933862298,11669.732033851324,18490.750909100625,16327.09507573746,14515.894981604804,13007.51955599567,11747.191397861372,18569.293134929187,16411.099271861553,14599.728103722424,13087.920812110257,11822.409485942495,18643.90453924707,16491.31382395183,14680.195639241201,13165.504025902168,11895.393656953147,18714.911574080696,16568.012797769334,14757.496470865382,13240.386743348898,11966.181903887777,18782.605140999658,16641.44685582602,14831.820581234413,13312.692163299622,12034.831520032882
7,2021-07-08,20960.6814974545,18523.194608668375,16524.79924787169,14893.105039289936,13554.215493075162,21116.423705601497,18673.513155753724,16656.412279079723,14999.587276079874,13633.114712786326,21262.22972057922,18818.559993863433,16788.444524410563,15112.338208165873,13723.89931310708,21398.439710124214,18957.11063789917,16918.013673365047,15226.884598295075,13820.626295815815,21525.709858580234,19088.817903708044,17043.674516680458,15340.711387184148,13919.784965269693,21644.787479095943,19213.763981714113,17164.75586261595,15452.401449441626,14019.258363420353,21756.412701162157,19332.236204520876,17281.01292698988,15561.174210783156,14117.758837797242,21861.277483876976,19444.611580491055,17392.437683834884,15666.627107348122,14214.506972561303,21960.011165918382,19551.296545856836,17499.15221170971,15768.585503294931,14309.041980718186,22053.178282899968,19652.695680746783,17601.347389099945,15867.013058249102,14401.106203828376,22141.281850361316,19749.195973431662,17699.247170353836,15961.956976117093,14490.572919188126,22224.768824066417,19841.159545826238,17793.087665890667,16053.513976569177,14577.40024329528,22304.036152486227,19928.92099663683,17883.104964353468,16141.808883001919,14661.601179000721,22379.436679237082,20012.787235981334,17969.52819449646,16226.981050863644,14743.223877725048,22451.284574349615,20093.03861948834,18052.575758297917,16309.175751604356,14822.338492291043
8,2021-07-09,24664.638753025112,21992.56979255186,19753.36879504661,17896.40221823964,16354.814657100707,24828.044395424567,22154.7268064182,19898.321703511258,18015.532868071114,16444.169548865248,24980.92240193786,22311.07257896064,20043.62707177593,18141.596030074987,16546.93316280081,25123.649324034875,22460.30205349584,20186.115463825,18269.58166403566,16656.362491682656,25256.93037223856,22602.057328557134,20324.205382044634,18396.678559792246,16768.47788495769,25381.563383603017,22736.442416918806,20457.16930063451,18521.307655532557,16880.883171238595,25498.336031837774,22863.780709946586,20584.749124048787,18642.603535892722,16992.124057193112,25607.983272399375,22984.49035627944,20706.94659058123,18760.123966158728,17101.32308462335,25711.172598698904,23099.019434296235,20823.905558835773,18873.681374843458,17207.964070340164,25808.502104552095,23207.812440215548,20935.84446560995,18983.2422970119,17311.76083889584,25900.50421458737,23311.293553314277,21043.017058253994,19088.866019527315,17412.575218700997,25987.65164078567,23409.859007098177,21145.689470848505,19190.666503126893,17510.364719809408,26070.363912539982,23503.874412197005,21244.126937038116,19288.788465556547,17605.148568025958,26149.013711221112,23593.674737125257,21338.586268230858,19383.39225675532,17696.985349045226,26223.932680476617,23679.56566395975,21429.31181299874,19474.64428495726,17785.95813879911
9,2021-07-10,28474.18187696373,25598.621961011355,23136.856587850092,21064.356396410672,19324.40899835401,28643.109362022955,25770.524933793433,23293.55425148076,21195.08374200878,19423.617103189026,28801.082536878024,25936.161645515032,23450.532436301124,21333.340749071744,19537.661302264907,28948.504460574855,26094.162301939243,23604.369694289064,21473.624562787587,19659.042781383145,29086.11587653952,26244.16178151625,23753.365913110112,21612.85294359744,19783.339463278702,29214.75116813627,26386.283503437622,23896.74549041989,21749.299375145496,19907.892355621683,29335.232359884576,26520.881778280156,24034.240074125762,21882.02185832342,20031.09084113777,29448.325446351275,26648.40965480188,24165.86132245579,22010.543003157843,20151.965964738247,29554.725446917455,26769.35034499615,24291.773429247445,22134.66452608113,20269.950285499825,29655.054652266437,26884.1819050846,24412.22009288852,22254.35664192273,20384.731679486787,29749.8666824818,26993.359704005816,24527.48214270732,22369.690644180562,20496.16205367014,29839.65280491648,27097.308525447526,24637.85286835644,22480.79711649371,20604.19914051624,29924.84881107037,27196.419893033122,24743.623773808096,22587.839727323433,20708.868745490196,30005.841664394015,27291.052187075536,24845.076558096192,22690.998691634304,20810.23992543525,30082.97558504103,27381.532195416705,24942.478848312418,22790.46032971992,20908.408500319365
