,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,638.1967398437625,507.36806222640547,420.13001667799233,358.5409192214659,313.13916444808626,650.3744427322955,516.250223344129,426.52747231561875,363.02840147649187,316.12327035334346,661.9542807281606,524.9339589548476,433.0131752184604,367.81870981502675,319.57727746800504,672.9320427123779,533.3343870568085,439.4449091530208,372.726435713738,323.28154364579115,683.3320733276342,541.4172792246677,445.7469547033995,377.6448536551825,327.1050389242519,693.1901497571819,549.1744904580625,451.880083640405,382.5116261875263,330.96745647355743,702.5454362490332,556.6113842375236,457.8257244006983,387.2904413061008,334.81876812981284,711.4366987041656,563.7401539546069,463.5772229152808,391.9606973439007,338.627631029163,719.9005913481361,570.576186649971,469.13484679562936,396.5114789424381,342.374540264584,727.9709720821056,577.1360575230306,474.5028507095613,400.93792580716496,346.0476458513472,735.6787302109274,583.4364248911638,479.68771730126537,405.2389866151139,349.6401242789938,743.0518641170796,589.4934333539246,484.69708833315093,409.4160004455911,353.14848741215076,750.1156733472371,595.3224080191942,489.5391108361792,413.4717860495712,356.5714727338489,756.8929947544125,600.9377165842279,494.2220376295682,417.4100498946382,359.9093029818662,763.4044466098212,606.3527278606483,498.7539861213311,421.2349982577214,363.16318555108904
1,2021-07-02,1751.5786426340148,1418.4680510883666,1188.9114278367686,1023.2125837289213,899.122809676969,1780.8364676850133,1440.8042032295377,1205.4934853645998,1035.094683325322,907.1493031939711,1808.5627233673354,1462.5850856027325,1222.2720277675317,1047.7608956603954,916.4306303084713,1834.762362444193,1483.6027610826782,1238.879070633395,1060.7186905304584,926.3736448249717,1859.5073381799996,1503.7774359338648,1255.120628488667,1073.6856316846975,936.6250318779879,1882.8951113614983,1523.094717228482,1270.8979062918174,1086.4976985375156,946.9687957195621,1905.0294173248315,1541.5736249677382,1286.1657516977023,1099.060178796778,957.2708772163334,1926.011408144048,1559.249694809134,1300.9097666446164,1111.3200905135564,967.4477298432488,1945.9357940599123,1576.1658454438386,1315.1332578030058,1123.2500905834777,977.4477584941068,1964.889434550069,1592.3673924997836,1328.84959816244,1134.838788570503,987.239984610165,1982.9511262503495,1607.8993408196234,1342.0776693990663,1146.0847669555185,996.8069291326162,2000.191956957752,1622.804954682286,1354.8391088720082,1156.9928139216747,1006.1400386158615,2016.675903892015,1637.1250540361395,1367.1566385576782,1167.571512300721,1015.2366880820474,2032.4605121196307,1650.897724906404,1379.053054716277,1177.8316785133,1024.098185227629,2047.5975710707366,1664.1582643840193,1390.5506269095542,1187.7853445168846,1032.7284239509247
2,2021-07-03,3236.2050463287287,2663.766422857912,2257.2516130730264,1957.7329477044539,1730.0920275719013,3283.7358524436627,2701.608190470012,2286.1491143645567,1978.8601985288785,1744.5783032692989,3328.6517265233647,2738.4280247585502,2315.3399262640783,2001.3536134197088,1761.314514134617,3370.9816946011356,2773.8820818152317,2344.183974410595,2024.3350187173935,1779.2263424043083,3410.8611944433196,2807.844607254347,2372.3468824743695,2047.3025854833966,1797.6747557456797,3448.464267363797,2840.3002651612287,2399.661041865563,2069.9664225647102,1816.270001831432,3483.972504044842,2871.2894355926037,2426.0524372427058,2092.160484003374,1834.7710079883868,3517.5610180935682,2900.879459035967,2451.5004038926736,2113.7931126519925,1853.0282717155583,3549.3925564401907,2929.149197783974,2476.0147401038466,2134.8182069934414,1870.950126761853,3579.615550205093,2956.1806847084154,2499.622353726412,2155.217888226326,1888.482150213285,3608.3640570993816,2982.054649177838,2522.359328111821,2174.991819135165,1905.5942417412898,3635.7585722082363,3006.848205314769,2544.2661557476886,2194.1504906693194,1922.272328639222,3661.9071910408284,3030.6337597075276,2565.3848658984803,2212.7109377252355,1938.5129378871256,3686.906865824233,3053.478607847024,2585.757305105429,2230.6939753374368,1954.3195879691414,3710.844628772896,3075.4449152482016,2605.424128930443,2248.122404341755,1969.700359737801
3,2021-07-04,5003.207027588864,4178.967765930846,3576.954614485674,3124.7067934683073,2776.125063842924,5067.961610500957,4232.605609659001,3619.030555663715,3156.0676635330615,2797.9400322581228,5129.008981389117,4284.695142925197,3661.470108275669,3189.4188547516037,2823.122812172155,5186.413427476238,4334.75985352508,3703.343126304632,3223.453713497229,2850.0504038153986,5240.381159740215,4382.63345361726,3744.167733212747,3257.4279580613875,2877.7586771177653,5291.1675433004,4428.305584244608,3783.70596115836,3290.9137450645744,2905.6608853202915,5339.035065994425,4471.8436733375465,3821.856211816361,3323.6678592883477,2933.395273002608,5384.2346884493845,4513.352040039675,3858.594209005073,3355.5577370484675,2960.738526867156,5426.998284891315,4552.950071033916,3893.9394922843885,3386.5183723743385,2987.554651993357,5467.536398403364,4590.760515731665,3927.93592698937,3416.526443887715,3013.763774702068,5506.038505977733,4626.903294691467,3960.6401692838913,3445.584397970996,3039.322582017682,5542.67440329901,4661.4923670018015,3992.114771780922,3473.7104663244663,3064.2117766338074,5577.596015099648,4694.634310939437,4022.4240568240275,3500.9323129289537,3088.427878716957,5610.9392879766965,4726.4278633664235,4051.6316692529813,3527.2829494899815,3111.9777851150275,5642.826002310814,4756.963987531702,4079.7991613351833,3552.798094934632,3134.8751138176394
4,2021-07-05,6999.626721475117,5924.005014468672,5117.412242796334,4500.285425926482,4018.230565084898,7079.69319982356,5992.8445799253695,5172.808352763863,4542.34160174499,4047.892509964109,7155.02847382434,6059.587167728067,5228.609701772921,4587.021758085588,4082.1085542369738,7225.737929883717,6123.633631038413,5283.5940688128785,4632.570027769368,4118.6655750744785,7292.099092876019,6184.784063960852,5337.133037954407,4677.989192750599,4156.250493564595,7354.446584482047,6243.037936048891,5388.920525993472,4722.70858545698,4194.065816929649,7413.1204860130765,6298.493157588703,5438.83004880347,4766.406061318135,4231.621314348169,7468.443785716732,6351.293463368462,5486.836464150273,4808.908114943824,4268.61565627681,7520.713533832713,6401.60048666654,5532.971656694587,4850.131738707058,4304.866501351564,7570.198505401753,6449.5788965816155,5577.298831629169,4890.0495559466035,4340.267848842337,7617.139891900225,6495.38862732474,5619.89735480434,4928.66840511747,4374.763316402874,7661.753308492982,6539.181024067531,5660.853733945586,4966.015935591211,4408.329018183616,7704.231269155343,6581.097168929778,5700.256254080067,5002.132098400831,4440.962389415556,7744.745716210286,6621.267416610316,5738.191824139466,5037.063692612403,4472.674781166101,7783.450411801511,6659.81158840567,5774.744177745305,5070.86085371931,4503.486494209344
5,2021-07-06,9176.123733905619,7859.791265292788,6847.5542892793555,6059.40221134794,5435.817466982064,9269.065355550516,7942.590276775105,6915.836404829098,6112.170668582007,5473.536419039786,9356.373556520339,8022.752830900106,6984.537704531326,6168.180407671318,5517.017299216759,9438.196068537965,8099.571594111039,7052.154515195084,6225.224389939949,5563.438566439377,9514.877041810918,8172.820469640358,7117.919025563415,6282.052544448925,5611.128066544339,9586.823231687054,8242.512297261768,7181.462009656088,6337.952464407552,5659.072130776502,9654.444419377427,8308.77679694973,7242.635634936835,6392.524595157151,5706.649359723389,9718.12775084523,8371.797165851347,7301.416443109857,6445.556140738406,5753.4793200779495,9778.22797356622,8431.776590769,7357.850514722027,6496.947718625292,5799.333176324436,9835.065160022537,8488.920549400265,7412.021739786148,6546.669423213396,5844.0791944237835,9888.925870718222,8543.427655541122,7464.0331669465295,6594.733878644567,5887.648616786921,9940.065774885281,8595.485203020085,7513.995955363659,6641.1794039646,5930.013816687405,9988.712755911289,8645.267310556133,7562.022841078376,6686.0593510341,5971.174056181828,10035.070032608568,8692.934498548599,7608.224328016923,6729.435291083552,6011.146062356431,10079.319082584607,8738.63403629918,7652.7065423120575,6771.372643773477,6049.957718614934
6,2021-07-07,11496.28379067405,9956.035499537598,8742.5458767672,7781.601547626029,7011.841279444125,11599.58299066993,10051.229633369436,8822.924584066706,7844.796031814763,7057.604174972758,11696.493694683955,10143.279706327896,8903.713032580803,7911.817073378819,7110.3254362394355,11787.203411514947,10231.385999743388,8983.144369557105,7980.017456514458,7166.573807989717,11872.114737642663,10315.303007996883,9060.322028401999,8047.901500190118,7224.317950204176,11951.696428009082,10395.058990255791,9134.819920806714,8114.620064346413,7282.3285967219335,12026.417537348721,10470.815012244066,9206.472546727151,8179.6997592588295,7339.854110088469,12096.71939195489,10542.791952128675,9275.260212557827,8242.891109220865,7396.436029499354,12163.005210828851,10611.232113655149,9341.244267894112,8304.080292467783,7451.800128152301,12225.637981485961,10676.379064136501,9404.529716914734,8363.23632353998,7505.790002981358,12284.942085869827,10738.46730657622,9465.243306184368,8420.378702875378,7558.325513950748,12341.206480970344,10797.717339884466,9523.520595400421,8475.557241240267,7609.376200735664,12394.688363654384,10854.333686756489,9579.498352016179,8528.839309404248,7658.943970619087,12445.616809128085,10908.504543938589,9633.310151442696,8580.301712333847,7707.051658790686,12494.196154610712,10960.402296079603,9685.08392837062,8630.025494302074,7753.735382590281
7,2021-07-08,13929.791415029518,12186.5738510293,10780.346030566356,9648.344733943337,8730.59496135779,14041.040514627368,12292.442657475307,10871.798075611916,9721.456661015276,8784.215143060066,14145.301636581722,12394.707687648466,10963.632143244424,9798.938136487921,8845.953756794777,14242.796825744224,12492.492655468539,11053.841398912396,9877.722339693286,8911.781919957499,14333.976914357238,12585.53844434452,11141.413243641033,9956.080430047821,8979.316836001084,14419.36099199908,12673.889438261209,11225.871619285437,10033.034315798533,9047.118878663647,14499.465811267128,12757.736173554482,11307.036889838308,10108.041732826574,9114.309872621001,14574.776040492998,12837.334078989068,11384.894674530282,10180.819714695152,9180.35602377994,14645.73350111504,12912.960903919056,11459.521954812544,10251.242042518652,9244.939718915282,14712.735234330015,12984.89448117584,11531.044502760276,10319.27793299827,9307.881401351371,14776.135541588934,13053.401435104292,11599.611998359816,10384.954532073914,9369.090706731273,14836.249641810453,13118.731866823762,11665.38339972861,10448.333560942283,9428.535232669105,14893.357802276818,13181.117317068492,11728.518379402854,10509.496586476269,9486.22022091228,14947.70940282195,13240.77050962884,11789.17240529107,10568.535657523555,9542.175148275335,14999.526695344353,13297.886033460369,11847.49403406659,10625.547337756574,9596.44477837626
8,2021-07-09,16457.664376290864,14533.853532003552,12945.631853178387,11646.489986848166,10580.829491814722,16574.810380006784,14648.728657234467,13047.057140347519,11728.898178102003,10642.01767353489,16684.514289809056,14759.59647545821,13148.824543504286,11816.173431914123,10712.434153028902,16787.025815876288,14865.518274804637,13248.711881970303,11904.854890768273,10787.472650144053,16882.83326553563,14966.225680067493,13345.603538896046,11992.995588077016,10864.411349818192,16972.49442316613,15061.778702668826,13438.980121732666,12079.497517632031,10941.608239135894,17056.562494910235,15152.394491209134,13528.65088638423,12163.75501463995,11018.063874997375,17135.555141487508,15238.359098103967,13614.607717023906,12245.454906481531,11093.172689524623,17209.943479292833,15319.981404509383,13696.942979754955,12324.460482658047,11166.576121293996,17280.150327977826,15397.569167448482,13775.802282950746,12400.742182861686,11238.073141967052,17346.552589623592,15471.416948747283,13851.356932446197,12474.335245057431,11307.564322867707,17409.48528369359,15541.80051437802,13923.787788251226,12545.313372590079,11375.016112602441,17469.246042436505,15608.974768413531,13993.275856512864,12613.7721559683,11440.437618569576,17526.09950539168,15673.17359666232,14059.996920414145,12679.818558172397,11503.865301383279,17580.281368987926,15734.610708483811,14124.118617040062,12743.564233696883,11565.352775499843
9,2021-07-10,19066.58397261221,16984.904170445934,15226.763489927294,13765.892840047645,12553.781257697421,19187.9947272156,17107.256802648335,15337.062486231438,13856.92228662703,12622.185402318439,19301.634429509468,17225.257629615815,15447.65701579871,13953.270927021551,12700.869728551603,19407.773107837977,17337.9175089342,15556.133932539442,14051.111931833128,12784.675929040595,19506.92639220353,17444.961784715204,15661.287104302357,14148.296423871865,12870.558534858572,19599.680201458978,17546.464706758154,15762.559852758617,14243.615990843218,12956.682774589688,19686.614203535515,17642.666599854485,15859.752776322195,14336.407127390663,13041.934114247792,19768.26998072678,17733.879845083156,15952.864444680688,14426.329620793398,13125.639231504749,19845.139870851122,17820.43991626657,16042.001888150404,14513.237951904697,13207.401245267252,19917.66535366018,17902.680026392587,16127.329206202849,14597.104534601498,13286.999365309985,19986.23968059409,17980.918432293212,16209.03766519564,14677.972860869784,13364.326189635905,20051.212186969526,18055.452616508806,16287.328222898219,14755.92840632132,13439.347685807854,20112.893053833628,18126.5572138903,16362.401383900442,14831.080343638918,13512.077202488394,20171.557943392185,18194.483952225262,16434.451443766724,14903.549968462661,13582.55835622677,20227.452259806098,18259.462637891316,16503.663385354394,14973.463365009593,13650.853642417973
10,2021-07-11,21738.654696171136,19523.239422581726,17609.149509063856,15993.804923694193,14638.325303558537,21862.987516356992,19651.614992033505,17727.18883561666,16092.707362073344,14713.519082821074,21979.32672890879,19775.3547697947,17845.47402347631,16197.33386079872,14799.977084862056,22087.955841665273,19893.42997782256,17961.425890076112,16303.522921326032,14892.02026378381,22189.408806132466,20005.561884538893,18073.760297166733,16408.941619447338,14986.298265323856,22284.290474268695,20111.837087584445,18181.889090504053,16512.281424110777,15080.79514929917,22373.198354960707,20212.51532875695,18285.60632421661,16612.826846494856,15174.28857919135,22456.6901787351,20307.930819673686,18384.91731074721,16710.213829318905,15266.042097847647,22535.272622197812,20398.44096646704,18479.942670019558,16804.289611190583,15355.623421992397,22609.399782815333,20484.399905061284,18570.863318299766,16895.02913871075,15442.793807587474,22679.475974508085,20566.145319204352,18657.88851911734,16982.484091702558,15527.438952264256,22745.86022487473,20643.992461126152,18741.23725786514,17066.751268090688,15609.524922635388,22808.871215548275,20718.232084033396,18821.127467018952,17147.9527426983,15689.06955591436,22868.792079379997,20789.13047049297,18897.769944274438,17226.223332875303,15766.123646669514,22925.87480322676,20856.93054178448,18971.365101401843,17301.702674948232,15840.758441450966
