,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1076.3033841869405,861.8125768629229,717.027119574714,613.9614122950561,537.5342704660176,1096.1073733426908,876.4749101082199,727.6926008070702,621.4946831867452,542.5693002337528,1114.9136438212588,890.7955730092979,738.4974656526872,629.5322001375113,548.3951254374614,1132.719212444391,904.6357419515224,749.2047278070584,637.762319550252,554.6406019665865,1149.5671622324126,917.940423726288,759.6886601322774,646.0058923934309,561.0844344076925,1165.5186868171772,930.6976548274889,769.8845254050319,654.1584931199501,567.5911127936794,1180.6400199726681,942.9176477534152,779.7620566074535,662.1594819406087,574.0763293711312,1194.9963335363898,954.6217366659628,789.3108295223942,669.9746269846605,580.4873631986313,1208.6490132263482,965.836374370424,798.5319085064748,677.5859584406628,586.791494252593,1221.6546035309923,976.5898334473198,807.4329450810661,684.9856556070354,592.9689263777805,1234.0645781657972,986.9103979371262,816.0252446520924,692.1722681848153,599.0083414147445,1245.9255088353652,996.8253944544251,824.3219878679174,699.1483318413726,604.9040398663163,1257.2794125979271,1006.3607027058699,832.3371455396526,705.918838986844,610.6540654108179,1268.1641645139189,1015.5405413435012,840.0848181470108,712.4902461875912,616.2589545039064,1278.6139179907116,1024.3874113247903,847.5788391065254,718.8698247794858,621.7208915346778
1,2021-07-02,2904.1254731240933,2374.6870227164354,2003.762447524838,1732.8863690725327,1528.2878221691517,2950.1749355759885,2410.5324577277424,2030.7357769513292,1752.4051269816766,1541.5706586811186,2993.7422015476122,2445.442096509342,2058.0022202152,1773.1970377020884,1556.9223083968327,3034.846692108805,2479.0867150778977,2084.963742414529,1794.4516782341436,1573.3591626059044,3073.611998887139,2511.3433295350783,2111.3066949687336,1815.7052261731237,1590.2957770668074,3110.200323656956,2542.1937443294933,2136.8727681499477,1836.6891258322903,1607.3747137827113,3144.782293283484,2571.6729280601244,2161.5909907833047,1857.2490095439234,1624.3745542911872,3177.5232080726137,2599.84181689176,2185.440303606577,1877.2991714477612,1641.1576905418071,3208.5771720454773,2626.7726697079015,2208.428249464198,1896.7960149680905,1657.6394852750843,3238.085060174856,2652.5411137423625,2230.5785221854867,1915.7220810764345,1673.7694424127947,3266.1743419971667,2677.2218574814383,2251.923554700804,1934.0761978304624,1689.519388624661,3292.95976888226,2700.8864540764635,2272.500055547548,1951.8672825668673,1704.875882302204,3318.544421701472,2723.6022249266607,2292.3463104248444,1969.1103815570457,1719.8352431141427,3343.020864517922,2745.431841390539,2311.500559708219,1985.824111022879,1734.4002453307717,3366.4722788657145,2766.4332764508795,2330.000041010321,2002.0289924446129,1748.5778895532849
2,2021-07-03,5296.689250132642,4408.932429532104,3766.3271412702093,3286.1871195185045,2917.401489868364,5369.678027616234,4468.317316740964,3812.3985978408646,3320.271827755852,2940.986131521524,5438.531822873419,4526.015955958988,3858.88521212904,3356.529537452159,2968.2170132498486,5503.3155578169935,4581.497579359619,3904.767890341825,3393.5408339239,2997.3407568058396,5564.255105741554,4634.574632070344,3949.517553943154,3430.496545909086,3027.3154280124,5621.6328170200195,4685.232404719129,3992.8719342384093,3466.9309578346356,3057.5065816102388,5675.740042397399,4733.542675633922,4034.718084825708,3502.578828167133,3087.5227430351456,5726.855962188964,4779.618460749502,4075.0278427973394,3537.29513413398,3117.1219806164763,5775.238919344714,4823.589826630137,4113.821183452524,3571.008309374449,3146.1567174429856,5821.123761862136,4865.590888455391,4151.1448872708725,3603.692158482859,3174.5400501077906,5864.722036173864,4905.752908857937,4187.059901110071,3635.348571239853,3202.22462637086,5906.223462794588,4944.200786516846,4221.633773969925,3665.9966753702674,3229.189094763703,5945.797908666039,4981.051446832413,4254.936121349005,3695.6659281893985,3255.429246220794,5983.597466226027,5016.413299606615,4287.035928935945,3724.3916711624997,3280.9521326688796,6019.758452295349,5050.386286967435,4317.999987837414,3752.2122529231015,3305.7721133461405
3,2021-07-04,8098.020491994935,6846.408312195739,5913.2084447984535,5201.124915095835,4645.608221581932,8195.474955758762,6928.969163564385,5979.094933805908,5250.888626618953,4680.587077516677,8287.192833394874,7009.027460678717,6045.469841827322,5303.760405590834,4720.937841832781,8373.298699203444,7085.863185342125,6110.879179425311,5357.662755463378,4764.051006462054,8454.12713637604,7159.235056831282,6174.5749240575815,5411.41555214158,4808.378182429684,8530.082750798076,7229.141022322807,6236.19235257098,5464.343258012641,4852.978844913782,8601.57726708075,7295.697264290455,6295.580373394517,5516.064360128424,4897.27474008186,8669.002003418318,7359.075102529255,6352.70848807642,5566.3732270076025,4940.910350461329,8732.717033710544,7419.4674867469785,6407.614095689898,5615.171333083811,4983.670472946977,8793.048280748746,7477.071149917937,6460.371917482803,5662.426010262043,5025.429938461029,8850.288307066843,7532.077266929477,6511.075960126818,5708.145108959641,5066.122105082508,8904.69871708431,7584.666812522537,6559.828781259286,5752.361135861089,5105.718668874814,8956.513137045575,7635.008536679516,6606.735101211856,5795.121182347203,5144.216485166967,9005.940267837987,7683.258393451981,6651.898045218106,5836.480468076972,5181.628834896524,9053.16677508076,7729.559761945889,6695.416997139988,5876.498182554963,5217.979566839913
4,2021-07-05,11229.99063536335,9623.945471336236,8393.90341201866,7437.0623423268,6679.787166214489,11348.709408895407,9728.288419498966,8479.365048247415,7502.863862053855,6726.724228698696,11460.232314509863,9829.303450703188,8565.344092924453,7572.701012571852,6780.8271522893765,11564.748509177722,9926.099963632036,8649.958788701844,7643.821106490553,6838.583737090949,11662.697944040317,10018.393864025933,8732.248761359291,7714.665409234385,6897.912763599532,11754.600446496925,10106.202112806539,8811.752640834848,7784.345964644102,6957.5528437849025,11840.979631798844,10189.688872624858,8888.286167727798,7852.365082977088,7016.7309622885205,11922.330140445974,10269.085599491978,8961.820707406117,7918.458007581332,7074.974082918931,11999.105180870789,10344.648846963788,9032.414594120954,7982.501402327525,7131.9978711388985,12071.713632921714,10416.6379722755,9100.173411361573,8044.458536668278,7187.638838889748,12140.521542546707,10485.303610804542,9165.226649660985,8104.345670434695,7241.811856460117,12205.855476474537,10550.882071414208,9227.71388383528,8162.211056668916,7294.482955304619,12268.006494454783,10613.593008392254,9287.7766020868,8218.121646130978,7345.651598941616,12327.23414045444,10673.638896573722,9345.553445621796,8272.15459338547,7395.338953627958,12383.770180066715,10731.20547611724,9401.177529735845,8324.391809725788,7443.580037573422
5,2021-07-06,14602.601761783224,12666.649685435686,11146.230061710872,9941.936179393642,8975.800390951636,14738.65234080125,12790.417899674141,11250.117718729782,10023.39681352934,9034.727749472151,14866.263559003979,12910.072883791952,11354.511734061525,10109.772281725478,9102.603585644605,14985.687582589742,13024.578229144417,11457.12946689804,10197.648858983344,9175.006688781259,15097.459077258549,13133.61827219884,11556.814246879558,10285.098987966674,9249.320407104726,15202.199038609497,13237.233028620383,11653.017846116029,10371.029402551525,9323.962033182777,15300.528148488922,13335.634780970988,11745.528829102628,10454.831559454593,9397.96450944852,15393.029980796218,13429.11315610493,11834.324034924157,10536.185642073568,9470.73859944802,15480.237444731823,13517.985247813847,11919.484810501861,10614.946648448054,9541.932419247472,15562.630082857633,13602.569451421177,12001.148675298082,10691.076239027747,9611.345815941473,15640.636290387132,13683.172086379353,12079.481012516466,10764.601007686873,9678.876792159106,15714.63756637227,13760.081020375032,12154.658380374509,10835.58646825968,9744.487245176671,15784.973389596209,13833.5631459581,12226.85870735073,10904.120623806366,9808.180661299662,15851.946049358434,13903.863960345101,12296.25563014797,10970.30350250523,9869.987381811774,15915.825132469154,13971.208262393488,12363.015351546688,11034.24047383558,9929.954759851795
6,2021-07-07,18171.771881603298,15934.073661118407,14134.771151502295,12685.18305824482,11507.300869445426,18321.59016201854,16074.79549573896,14255.63864719819,12781.604873239497,11577.985901693764,18461.94908247335,16210.68409206531,14376.97287401,12883.759975022445,11659.35369422748,18593.157281487984,16340.580415411616,14496.123270344657,12987.601693228884,11746.088392740703,18715.83007979031,16464.146033329773,14611.755148958579,13090.850866016614,11835.04736409032,18830.67325114493,16581.445459533865,14723.243489174183,13192.219849657255,11924.333219477065,18938.38812708566,16692.736775382175,14830.35497871102,13290.996349839445,12012.789732741938,19039.63175586086,16798.363596794563,14933.074394718416,13386.810161803185,12099.715153920832,19135.00261386335,16898.698547322976,15031.50684985538,13479.497696793765,12184.692896078104,19225.038176237773,16994.11378607439,15125.821515676611,13569.02101538296,12267.488370257957,19310.217806531105,17084.966085869313,15216.218761655677,13655.418321943042,12347.98447387136,19390.96779488271,17171.589848644893,15302.910859795114,13738.77315857767,12426.140373170078,19467.66701047787,17254.294466818967,15386.110710235112,13819.19499086491,12501.964699367962,19540.65244528146,17333.364040556655,15466.025382345544,13896.80687855369,12575.49786847083,19610.224332587597,17409.058332968172,15542.852576117948,13971.737628713438,12646.800290529092
7,2021-07-08,21886.48301389063,19380.3377131484,17319.17222307877,15631.506729579234,14243.345561572385,22046.654113407996,19535.359397123648,17455.264299804985,15741.875228030887,14325.294235678428,22196.57460597814,19684.91240586576,17591.762639475317,15858.721115683198,14419.574741044034,22336.600462589417,19827.73807615025,17725.688108540948,15977.406537165096,14520.011263185095,22467.411753949218,19963.482687196032,17855.548876130255,16095.325288445294,14622.95647919793,22589.781339996516,20092.234991816233,17980.653845668377,16211.010118831964,14726.211934814346,22704.47387252755,20214.29480169752,18100.75278970946,16323.653932762702,14828.441205531237,22812.203782202992,20330.05389279491,18215.840064650933,16432.841510010716,14928.836061815136,22913.620547643623,20439.933915762776,18326.044264601038,16538.393793611558,15026.91932605392,23009.306560781664,20544.354194827833,18431.564824337245,16640.274916290313,15122.424792266584,23099.780592640098,20643.715562517173,18532.635098820614,16738.535425616774,15215.222181387118,23185.50348013533,20738.39291467313,18629.500760657826,16833.27701138536,15305.269233291294,23266.88440701834,20828.732519882455,18722.40723922029,16924.63032150004,15392.580584936795,23344.28701858444,20915.051890523682,18811.592576503677,17012.74090955272,15477.20726877398,23418.035042446296,20997.640986927145,18897.28355925405,17097.760320616042,15559.223062167714
8,2021-07-09,25729.916491187796,22986.687939884967,20681.153734618998,18764.009325436866,17168.662535044765,25897.80205293422,23153.687359645828,20830.801156068203,18887.27932182541,17261.311203052446,26054.84063679772,23314.669916552888,20980.784021008054,19017.70096826328,17367.848480898283,26201.425069420133,23468.295789762025,21127.83163519435,19150.08872101584,17481.279358652268,26338.284960543366,23614.20077251566,21270.31401237224,19281.53443861419,17597.476479396493,26466.244177142224,23752.496013919255,21407.483174034394,19410.405959885848,17713.95574055032,26586.11534575634,23883.51807719968,21539.075710278,19535.80996005446,17829.210379866792,26698.65626775127,24007.7005847531,21665.096207456307,19657.291064426958,17942.33207806837,26804.554898462222,24125.50750086861,21785.695658998207,19774.657312085004,18052.78722237685,26904.42746389413,24237.39868298206,21901.101731496554,19887.876031187883,18160.280672020566,26998.822380444333,24343.81271163016,22011.57824721834,19997.01032622086,18264.670663707057,27088.226443995965,24445.15909217555,22117.401549671693,20102.179675824384,18365.91452836639,27173.071593706245,24541.815548051727,22218.846819959123,20203.535196039407,18464.03346137739,27253.74146330433,24634.128043216253,22316.180343561064,20301.24400655096,18559.089342246443,27330.57738465378,24722.412213325988,22409.65536787185,20395.479342352657,18651.169322657086
9,2021-07-10,29683.186813831548,26733.952199129853,24202.560236173496,22066.03311037137,20268.18334779313,29856.68296636247,26910.839300433985,24364.14908047388,22201.127031520853,20370.90613591868,30018.899572277027,27081.247422046472,24525.998611968458,22343.97948344192,20488.975213584643,30170.25622750395,27243.77117695505,24684.582038436514,22488.902366899532,20614.622441677668,30311.518500857735,27398.039134535094,24838.14897383771,22632.711312578573,20743.2680337348,30443.54727054838,27544.18221596046,24985.902768922584,22773.624013356355,20872.159254807004,30567.189964485267,27682.568419327836,25127.569781608956,22910.669284977164,20999.62967776347,30683.235838494584,27813.66682569094,25263.164856922787,23043.356130989305,21124.677633483607,30792.400747777112,27937.977082691403,25392.85981163703,23171.48187464237,21246.717308052896,30895.325447901487,28055.99312495579,25516.9081210573,23295.01778053709,21365.427229084413,30992.579845193537,28168.185197880714,25635.60124626652,23414.03935698737,21480.655673726706,31084.6695511189,28274.99178800794,25749.243226607705,23528.683171547378,21592.36036733472,31172.042996916294,28376.81691994543,25858.13602392886,23639.119782914622,21700.569381596255,31255.098301963717,28474.030317821936,25962.571286058177,23745.536668185145,21805.35543378334,31334.189555217014,28566.969035292164,26062.825976273143,23848.127452507688,21906.818821188015
