,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,705.7051949944578,561.4289692041409,465.1086106150487,397.0529577355393,346.85570514276867,719.1238906122419,571.2307142386717,472.17519376165444,402.01311398118685,350.1557415838679,731.88208314445,580.8125667841434,479.3387572217565,407.30773245800134,353.9752987843346,743.9753886418611,590.0809401394445,486.44221630106404,412.73185008445597,358.07144647326265,755.4308649913072,598.9981597077743,493.4019639179978,418.16750038392087,362.29926902057724,766.2881361696217,607.5553332718504,500.1747108789977,423.5457936182031,366.5699566812513,776.5905275433124,615.7584678641587,506.7399874005391,428.82661293593094,370.8281911466007,786.3808981610399,623.6210977538407,513.0904861444285,433.98720884664823,375.0393213925062,795.6997568524507,631.1602716419163,519.226542231328,439.0155385786995,379.1817893600513,804.5845116400222,638.3943402612203,525.1528910821518,443.90625125045085,383.2425028641092,813.0692832397447,645.3417379401612,530.876725290043,448.6582046825682,387.2139281696753,821.1849934518611,652.0203250102444,536.4065141803769,453.27289719746454,391.09221949018996,828.9595791395017,658.4470513710514,541.7512818662834,457.7534609486834,394.87599153240285,836.4182543270688,664.6378051325016,546.9201663457701,462.1040076682244,398.56550069382087,843.5837807475477,670.6073676420365,551.9221534019928,466.3292000161946,402.16209142907206
1,2021-07-02,1935.411081746966,1568.8577421252935,1315.8327482976183,1132.9819953362817,995.9318546796211,1967.5753007363573,1593.461250089675,1334.122744037045,1146.1006439862654,1004.8000511683175,1998.0506571253727,1617.4500263550317,1352.6276746370984,1160.0840201151968,1015.0541631156351,2026.8434177048375,1640.5953289613656,1370.9416872249687,1174.3882463988527,1026.0387109513895,2054.0334176879787,1662.8096099829695,1388.8509410303568,1188.7015013130915,1037.3632793292982,2079.7284266360048,1684.0773511084296,1406.2466243619715,1202.8427517573282,1048.7892216214407,2104.043010164074,1704.4198083305528,1423.0790994066442,1216.7075081387056,1060.168447904779,2127.0888051388383,1723.8763936443502,1439.3326431063938,1230.2373616418538,1071.408692255599,2148.970291878185,1742.4946158790187,1455.0110478368197,1243.4022102230983,1082.4529971059642,2169.783258149537,1760.324591557549,1470.1291944079453,1256.189560399754,1093.267185051611,2189.614577071924,1777.4160661871722,1484.7080250270183,1268.5979233329765,1103.8319928120823,2208.5426054255813,1793.816843238263,1498.771507680804,1280.6326549119076,1114.1380162548512,2226.6378488417954,1809.5720125190937,1512.3447942046682,1292.3032937747198,1124.1823982562864,2243.9637136855526,1824.7236343335692,1525.453107299609,1303.6218381279389,1133.9666233548967,2260.5772557153605,1839.310681607621,1538.121078937107,1314.6016222258327,1143.4950300561118
2,2021-07-03,3568.5926801621267,2940.845879778565,2494.134819440874,2164.512635279348,1913.717039686005,3620.656905423685,2982.395473344664,2525.9174838621825,2187.778233648956,1929.6846097409223,3669.847397498387,3022.81678445482,2558.018915597067,2212.546059822941,1948.1310082852538,3716.197525127486,3061.7329278678867,2589.7352268789878,2237.8488648941807,1967.8717599525667,3759.857033738787,3099.006553258588,2620.698942742495,2263.134054950778,1988.2023778653645,3801.0177404051933,3134.621518643729,2650.7260756780165,2288.082534418759,2008.693260083779,3839.8795324444586,3168.622788716787,2679.735585145349,2312.511636282723,2029.0787513438095,3876.6350307138277,3201.0848517659047,2707.7050891749177,2336.3206268683857,2049.194162548433,3911.46316687432,3232.094770844223,2734.645680050279,2359.4589368414086,2068.9385687595395,3944.5270739925686,3261.7430216304456,2760.587234230441,2381.9070651889147,2088.252099745971,3975.9740450973068,3290.1185886326693,2785.569686700744,2403.664813085981,2107.101691940228,4005.9364390390906,3317.3064354769194,2809.6377911407626,2424.7438897324673,2125.471942039434,4034.5329688915517,3343.3863132660927,2832.8379637944026,2445.1631946897214,2143.3591225120335,4061.870089659672,3368.4323241918073,2855.2163955337483,2464.9457752110234,2160.767203928682,4088.043347589655,3392.5129065580045,2876.817945939563,2484.1168515314157,2177.7051774734705
3,2021-07-04,5510.86567671223,4608.950630844122,3948.727631297432,3451.923612402899,3068.513054021112,5581.651510554473,4667.729031321825,3994.921295042865,3486.4019797356214,3092.5227338557756,5648.372303825189,4724.801565107769,4041.508123889267,3523.0648734809533,3120.2370413799317,5711.100520521317,4779.6470632549,4087.467118776532,3560.475445305477,3149.8691822543547,5770.063491644641,4832.084412488193,4132.269721012441,3597.815485360485,3180.3578492651336,5825.541972944459,4882.103317230158,4175.655254560029,3634.6148579090946,3211.057281630727,5877.824224547061,4929.778612810421,4217.512767799979,3670.606486611263,3241.569453453081,5927.185665572555,4975.225437930988,4257.8161642826335,3705.6449691639846,3271.648763331607,5973.880652591411,5018.575325104035,4296.587399840939,3739.6591709112517,3301.14573535751,6018.140062542259,5059.963386471005,4333.875080728893,3772.623765562304,3329.972664981584,6060.171613140432,5099.521542857827,4369.74180139121,3804.5417299866867,3358.0820803267325,6100.161401574312,5137.375104377863,4404.256579704363,3835.4333676845185,3385.4529296880446,6138.275903574467,5173.641227090876,4437.490331668473,3865.3293247563406,3412.0815560822116,6174.6640586021,5208.428418648412,4469.513190083795,3894.2661010264387,3437.9757083456734,6209.459263430778,5241.836621428749,4500.39295602613,3922.283149241951,3463.1505179771884
4,2021-07-05,7701.463557348116,6526.878038588778,5644.000042761095,4967.28274580841,4437.934814023568,7788.822542594715,6602.174296488418,5704.710185090406,5013.4437353718085,4470.531244004783,7871.004454450822,6675.164977685355,5765.856119063799,5062.479561502509,4508.129333554458,7948.126966458583,6745.196111031785,5826.098654140816,5112.462559451394,4548.296261555827,8020.495213309806,6812.0505281665255,5884.749778891742,5162.2982831971585,4589.58878801833,8088.476239854733,6875.729051434919,5941.474872437657,5211.360726226165,4631.130558286916,8152.442697572939,6936.340022088731,5996.136147872517,5259.296770637003,4672.383037026968,8212.748291841697,6994.0417352978075,6048.706829189207,5305.9164751346225,4713.015357463641,8269.718184374884,7049.011904365933,6099.2225622853175,5351.129217758149,4752.827444189788,8323.646489258044,7101.431421855652,6147.753237356504,5394.905406000686,4791.703119197574,8374.797065709665,7151.475879570528,6194.386377794023,5437.252962348953,4829.580720927549,8423.405739003461,7199.311371341099,6239.217262928798,5478.202609652213,4866.434280771216,8469.683025740387,7245.092678366018,6282.343056627312,5517.798532511159,4902.261238571991,8513.816913440722,7288.9627752812985,6323.859359272208,5556.092394103431,4937.074303865706,8555.975485565303,7331.053054255944,6363.858243250684,5593.139485233887,4970.895998872835
5,2021-07-06,10085.306150408502,8650.640864709983,7544.7559954117605,6682.039356441109,5998.420392474036,10186.535943000505,8741.04295562875,7619.457496705834,6739.86204476961,6039.806077644527,10281.613520081322,8828.552321885756,7694.6071166359825,6801.229579019294,6087.509785869665,10370.702811403231,8912.39836821488,7768.560202815574,6863.72299885767,6138.434681987046,10454.181265470108,8992.336048788145,7840.477658104242,6925.972658076193,6190.74572436311,10532.494075328672,9068.381080251322,7909.956607938406,6987.198406421196,6243.330764155793,10606.089332076659,9140.676596795225,7976.8363857145105,7046.9630502698055,6295.508269637575,10675.390138885738,9209.423911464997,8041.0923195101905,7105.034077843586,6346.861204911297,10740.784038252925,9274.845967165013,8102.775713799709,7161.303235360225,6397.138909528023,10802.620585168395,9337.168035664356,8161.979131572718,7215.738356586792,6446.197267756217,10861.212657168677,9396.607746704018,8218.815994875573,7268.353824183085,6493.961246097614,10916.839343607817,9453.37024567044,8273.408507179514,7319.192120158022,6540.400913841096,10969.749355815724,9507.64618826765,8325.880515926956,7368.312144478649,6585.515812088355,11020.164448772177,9559.611295637422,8376.353355829084,7415.781752995839,6629.324612864017,11068.282622741468,9609.426747932564,8424.943510956096,7461.6729725992245,6671.8581979266155
6,2021-07-07,12625.15743862561,10948.860113764158,9625.086352622024,8574.772741520605,7732.090467380383,12737.545451716429,11052.660355151498,9712.902867821867,8643.9278144393,7782.237551507125,12842.966377743607,11153.016868342276,9801.154944420547,8717.262064211409,7840.004606955675,12941.627320063115,11249.059532405177,9887.912720690621,8791.877973270975,7901.630415893953,13033.968955494101,11340.52266210542,9972.197739261099,8866.1390017202,7964.888631251462,13120.503479173945,11427.438948494026,10053.545739263209,8939.116532323287,8028.432311682308,13201.743002091482,11509.985672139806,10131.777154489328,9010.29330276084,8091.438167728059,13278.169124079308,11588.405097777118,10206.871627075936,9079.397122511826,8153.404301731338,13350.221705704393,11662.96263406641,10278.897220841474,9146.304223966821,8214.030747960094,13418.296611846403,11733.924875569204,10347.969567763876,9210.981432697468,8273.146654549237,13482.747525399267,11801.548369221207,10414.227934724127,9273.45075378912,8330.664716487141,13543.889443562002,11866.074253895356,10477.821109233413,9333.767291142029,8386.552033173004,13602.002693594428,11927.726132651014,10538.899103014342,9392.005297354313,8440.811132616029,13657.336913955465,11986.709710591153,10597.60835751637,9448.249286657716,8493.467434795984,13710.114753560585,12043.213371287917,10654.089080049416,9502.588356096061,8544.56087467559
7,2021-07-08,15288.063645463479,13392.950063156575,11860.795701361512,10625.052935960159,9621.582242839972,15409.019852798427,13508.279499639326,11960.60308001069,10704.972797435594,9680.275433276522,15522.362472201992,13619.667206783211,12060.81417807121,10789.659621397604,9747.849233635288,15628.335943048543,13726.160598743123,12159.239380830973,10875.760342420044,9819.892142665076,15727.433018126476,13827.479519615881,12254.774780391404,10961.385407835409,9893.795473744134,15820.220208955225,13923.674280676127,12346.902221232725,11045.466372290844,9967.983521877904,15907.261083882158,14014.9541658707,12435.42703667299,11127.411382268907,10041.495462003313,15989.08399238971,14101.598900228484,12520.334808479589,11206.91206537081,10113.747580265179,16066.170426614064,14183.91229326072,12601.710690675302,11283.831358686755,10184.392850085871,16138.952973111605,14262.198043836528,12679.692944077418,11358.136453862031,10253.235363127558,16207.817575233841,14336.747469240114,12754.445788393954,11429.857785393957,10320.176813314674,16273.107544516162,14407.833743085188,12826.143449074882,11499.06350017031,10385.182297580826,16335.128079759927,14475.709700088624,12894.960825702949,11565.843360070803,10448.258070061056,16394.150707797555,14540.607576867164,12961.06813760476,11630.29851265457,10509.436863516772,16450.41738839632,14602.739771902361,13024.627982745973,11692.534975626988,10568.768096217658
8,2021-07-09,18053.654926837047,15963.929465424018,14235.206727537696,12818.502383758536,11654.538490623412,18180.978491725164,16088.984965148036,14345.80527648607,12908.502245975225,11721.453723566627,18300.198399435045,16209.662185996838,14456.76303664683,13003.807198862842,11798.454336997069,18411.588931440772,16324.941262849778,14565.657479234313,13100.636850779803,11880.501298899577,18515.68327434782,16434.532171344286,14671.2733812741,13196.865197157002,11964.617545717052,18613.089692460868,16538.502212245054,14773.045862335666,13291.293892092628,12049.007534173665,18704.41108974939,16637.089502682295,14870.76839153828,13383.26248054299,12132.578781184078,18790.211417140737,16730.606915240784,14964.433467831659,13472.429982327081,12214.66970865518,18871.003778763665,16819.391940693833,15054.143011643824,13558.648094500735,12294.888921517524,18947.248578806277,16903.780642621252,15140.056849192642,13641.885457980457,12373.017299955673,19019.356149298408,16984.094547428263,15222.362685919476,13722.1813906564,12448.94679875207,19087.6911690225,17060.63457549774,15301.258517783745,13799.617127213854,12522.64136577497,19152.57757593347,17133.678816375683,15376.942388092613,13874.297718306436,12594.111544243407,19214.303364338335,17203.482379066674,15449.60654801172,13946.340554514878,12663.397733921074,19273.12500279422,17270.27832554016,15519.43428276534,14015.868078177315,12730.559039361053
9,2021-07-10,20906.333607658864,18646.729254061698,16734.776734577616,15143.26605375705,13820.661912410707,21038.254994231498,18779.846476808714,16854.960131707445,15242.5976979452,13895.403281438606,21161.71805748229,18908.213387183405,16975.451315456703,15347.722644713896,13981.36991603504,21277.018991056888,19030.755852824914,17093.62156680938,15454.464309951301,14072.923862819875,21384.720443105045,19147.177178425463,17208.15802111218,15560.47819728189,14166.736983749668,21485.46101302899,19257.560103639116,17318.45566107326,15664.446567674931,14260.804716878385,21579.872135393,19362.167806301168,17424.298734007556,15765.646488519318,14353.909842652534,21668.543552290543,19461.34160514235,17525.68707567209,15863.707841027404,14445.31740605509,21752.011247424132,19555.44771017699,17622.73854585638,15958.472909259477,14534.594564059033,21830.75574282218,19644.849669129242,17715.633028794357,16049.912580771748,14621.500872887209,21905.2049968763,19729.894586203787,17804.5798617379,16138.075204705952,14705.91974157831,21975.73912225905,19810.906820252923,17889.79880904065,16223.054842855983,14787.814689087747,22042.695585644935,19888.185753284757,17971.50902515167,16304.97132065624,14867.200941854444,22106.374264667942,19962.00574631347,18049.92279891122,16383.957605659092,14944.1267347703,22167.042093545137,20032.61722874726,18125.24218609953,16460.151813286924,15018.660869723959
