,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,471.7513250819706,374.09571348818116,309.25591258208124,263.61159103752163,230.03299755456425,480.86703009756815,380.7097845075161,314.0033619849482,266.93365453341977,232.2382158349946,489.5393105517373,387.1783259738827,318.81749983541005,270.48053115854805,234.79099934290923,497.7643972976582,393.4379294880805,323.592774222975,274.11502467618914,237.52911853750877,505.5599546853171,399.46287132017017,328.2729173150287,277.7581250522885,240.35577625926365,512.9522809744874,405.2468544015383,332.82871669085984,281.3636505630663,243.21162849141228,519.970284106787,410.7936595851066,337.24628362662,284.90467117160557,246.05968946932728,526.6426397779464,416.1121772623802,341.5205769047138,288.3658817444881,248.87677254859693,532.9964991467602,421.21369979792684,345.6516995098518,291.73914758330443,251.64843504445642,539.0569671364531,426.1104263945246,349.64272229472556,295.0208188606813,254.36588993344992,544.8469654485256,430.81463778332994,353.49837874324794,298.21006910803777,257.0240651308354,550.3872839626399,435.3382492743108,357.22427128913,301.30784554280194,259.62035470034533,555.6967189451509,439.6925807023827,360.826385356218,304.31619490412794,262.15379921984055,560.7922452439147,443.88825159851206,364.3107920754675,307.23782508554706,264.6245388568091,565.6891952999827,447.9351484857292,367.6834684650595,310.075817679614,267.0334434550421
1,2021-07-02,1304.2780014490459,1052.550425138017,880.0957280362558,756.1275134054353,663.5697241415343,1326.4662044178147,1069.3720128941102,892.5239062994532,765.0021590756783,669.5490274234082,1347.5052864351874,1085.7828967840953,905.1036823196903,774.4648503058874,676.4643490486185,1367.3970236026983,1101.6257426254704,917.5591703557499,784.1479391452824,683.8741502885426,1386.1942156022085,1116.8396198772737,929.7446746971738,793.8404575224649,691.5153518643637,1403.9692646882977,1131.4128770286782,941.5857620502287,803.419760960911,699.2270490929874,1420.7995770089747,1145.3591001144223,953.0481897539302,812.8149164214545,706.9093080365265,1436.7608138133958,1158.70440107005,964.1207830300325,821.9861405021232,714.4997890069244,1451.9239312109353,1171.480538459099,974.805668111063,830.9128000012321,721.9599390245436,1466.3540805519956,1183.7211548585376,985.1125517161314,839.5861871407728,729.2665593645755,1480.1104209846928,1195.4597282129043,995.0553049815804,848.0050578307784,736.4065102236959,1493.2463658511847,1206.7284855938183,1004.6498978377084,856.1728195505656,743.3733069091829,1505.8100183509562,1217.557864514003,1013.9131433988297,864.0957305417013,750.1648888347692,1517.8446713962726,1227.9762871754062,1022.8619374004478,871.7817330763419,756.7821334083213,1529.3893088039115,1238.0101124823184,1031.5128045144386,879.2396918722764,763.2278530120144
2,2021-07-03,2423.6859894638865,1986.7873697601294,1678.6623594528562,1452.7750602723747,1281.7416096389425,2460.0970152485047,2015.5483831790245,1700.5004354251482,1468.6733336095238,1292.6071020039344,2494.526490647593,2043.5471130592243,1722.5690954018924,1485.6048211546422,1305.1629259807655,2526.9930182068097,2070.5207149560597,1744.38441133409,1502.9091466411392,1318.6039967799811,2557.597144890557,2096.371923789956,1765.6930227866928,1520.2086196390346,1332.451263727564,2586.4694845565946,2121.0874651934205,1786.3674357232276,1537.2847762427734,1346.4123799143886,2613.7468943669446,2144.696570666763,1806.3508642942527,1554.0122324791175,1360.306366454641,2639.5616659228954,2167.249145371893,1825.626884123808,1570.3215461316465,1374.0208508449987,2664.036947272732,2188.8040282195593,1844.2021628604755,1586.1775608186824,1387.4868084772877,2687.285190506497,2209.422627471588,1862.0963767253838,1601.566383504244,1400.663142227426,2709.4080576314286,2229.1654999721513,1879.336213279623,1616.487356111552,1413.5270054724483,2730.4970006574367,2248.0905743519306,1895.9517638421887,1630.9480065854268,1426.0675879732037,2750.634119307411,2266.252302907721,1911.9743456245728,1644.9608245996176,1438.2820482189559,2769.8930966146654,2283.701339257736,1927.4351948271276,1658.5411796839394,1450.1728083287667,2788.3401144549566,2300.484510668881,1942.36469757534,1671.7059681052128,1461.745731946876
3,2021-07-04,3765.665739484886,3131.2077929022835,2671.280159331418,2327.7208915786046,2064.0617724776216,3815.684762737228,3172.2983966696956,2703.312161510465,2351.481094751556,2080.5276418511603,3862.8696685521177,3212.2244669859333,2735.6352086820752,2376.757867334836,2099.5402764094424,3907.2649650673475,3250.6185745293687,2767.5407741187123,2402.5619550307883,2119.875852151135,3949.025437082385,3287.3507108598164,2798.6608834578433,2428.329320223657,2140.8070723258224,3988.3445621842625,3322.4104515570393,2828.8130026893423,2453.7352468443873,2161.8910230068095,4025.4219828209502,3355.8472247748196,2857.918393412421,2478.5947164199843,2182.854356900312,4060.4490023888297,3387.7390113038346,2885.95726265716,2502.806490431332,2203.5280939201693,4093.602647960812,3418.1756125217466,2912.943295725718,2526.320528714832,2223.8091087438115,4125.043849882923,3447.249654305553,2938.908829319688,2549.11842044223,2243.6366269120876,4154.9175743863325,3475.051810703907,2963.8960662612403,2571.2013393892726,2262.9774848505426,4183.353834533886,3501.6683723829333,2987.9518166059042,2592.582484961763,2281.8166735832983,4210.46904137366,3527.180130939148,3011.124343496864,2613.2822675357943,2300.1511565723904,4236.3674281758485,3551.66200152202,3033.4614873878736,2633.325209804316,2317.985764819526,4261.142419735062,3575.183054003688,3055.009576777209,2652.737940982803,2335.330437185273
4,2021-07-05,5289.13581768237,4455.501661783573,3835.1989219293637,3363.463069275827,2996.7230858462767,5351.368227919834,4508.572827899145,3877.629628079019,3395.5108824681083,3019.233623406484,5409.957867653189,4560.05506907492,3920.3901582287026,3429.5705367459655,3045.207283595774,5464.980415104627,4609.483280118267,3962.543701840931,3464.3049986216615,3072.9662854686026,5516.646172261294,4656.699879637801,4003.6073137590097,3498.95411793682,3101.51473087,5565.210719021683,4701.701192083604,4043.3446208060604,3533.082186017516,3130.247316150312,5610.934691663781,4744.559795712881,4081.6568001946634,3566.4426199643863,3158.791544906389,5654.066127728865,4785.383990155242,4118.52277560719,3598.9020343256043,3186.9180930162856,5694.833468068117,4824.296244685236,4153.965327466308,3630.3960321191867,3214.487863035872,5733.443633236468,4861.421698302537,4188.031415316912,3660.902682178318,3241.419682850536,5770.082472545937,4896.882123369827,4220.7805588567235,3690.426219302001,3267.6700613539324,5804.916252666767,4930.792911259047,4252.277914360533,3718.9868347958595,3293.2202127627884,5838.093524172712,4963.2617436633545,4282.590147299954,3746.614189453427,3318.0675836141722,5869.747041981969,4994.38820187315,4311.782998630652,3773.343251261292,3342.220235093216,5899.99558775902,5024.263888809669,4339.919889566713,3799.211611442858,3365.693073110193
5,2021-07-06,6955.169723410041,5929.477304223163,5146.782888981488,4541.140011735567,4064.351630560835,7027.730441453643,5993.625077970673,5199.343537183854,4581.544782860426,4093.1085850742297,7095.9299740984825,6055.762469248338,5252.2508171013715,4624.447247280298,4126.26775164437,7159.876845210548,6115.33762594936,5304.346375252304,4668.158687563264,4161.680307224956,7219.833865518299,6172.171254633378,5355.037120918726,4711.72155618867,4198.072168485721,7276.113723737355,6226.269439335529,5404.036401046769,4754.589228072415,4234.670370313145,7329.032367746073,6277.729262130836,5451.227981839412,4796.4543097786145,4271.000519020678,7378.8888268942665,6326.689712555369,5496.591534376445,4837.152328960617,4306.771691840048,7425.957451536512,6373.305712124327,5540.160487681523,4876.605696867657,4341.808451196496,7470.4860168120695,6417.734349817464,5581.997617190278,4914.790125018811,4376.0093814443635,7512.696532913996,6460.127733393678,5622.180676955121,4951.714015588587,4409.321118263622,7552.787212521012,6500.629484793182,5660.79387420473,4987.405576089387,4441.721717067094,7590.93483262039,6539.373256919001,5697.922815947344,5021.904650821794,4473.209804910385,7627.297121594623,6576.482366557025,5733.6515532281655,5055.257494643387,4503.797398174744,7662.0150020369665,6612.070030479937,5768.060907536594,5087.513415123147,4533.505090828283
6,2021-07-07,8736.552172109965,7530.979237408935,6588.2176590968675,5846.321798187072,5255.093822113482,8817.473776203173,7605.0317109387715,6650.3557147616075,5894.916910517671,5290.128686849204,8893.42815686098,7676.673493051031,6712.838183733467,5946.473627464759,5330.502259635146,8964.55518717306,7745.278148974384,6774.298053830171,5998.957702790388,5373.59051701772,9031.164229412136,7810.650104359048,6834.039761180853,6051.218491844863,5417.839236952422,9093.617518064166,7872.80706632988,6891.7310363674815,6102.601609659949,5462.307112144344,9152.278452503411,7931.870563894855,6947.241079354481,6152.741240653706,5506.417884563281,9207.489487737614,7988.009192314422,7000.55201555786,6201.44366782794,5549.819449795583,9259.563858891996,8041.408712488983,7051.7088993413145,6248.619549647797,5592.300638354538,9308.78379323515,8092.256305595736,7100.790821694199,6294.243373823532,5633.740478586445,9355.401682508033,8140.732474882059,7147.893955455074,6338.328607821936,5674.076435745627,9399.642493316822,8187.007143809227,7193.121533978331,6380.91218914166,5713.284088904035,9441.706573545,8231.238070273435,7236.5779424506445,6422.04471398566,5751.363889085341,9481.772451544026,8273.570530674315,7278.365288045881,6461.7841767453265,5788.332403599884,9519.99944634354,8314.137682992017,7318.581480805073,6500.191961259391,5824.216459657114
7,2021-07-08,10608.453882849302,9239.129952475663,8142.262485499416,7264.72594575089,6556.988519937485,10695.803593798983,9321.748518395725,8213.212604374006,7321.153668063489,6598.188425608179,10777.702823219777,9401.591146908924,8284.489378685908,7380.975555445249,6645.639867519435,10854.319010154795,9477.969402217004,8354.534558468356,7441.82618096236,6696.250519647017,10926.000230263193,9550.676230758061,8422.559784563802,7502.370598595233,6748.19056495862,10993.149192021261,9619.741781649518,8488.192517532816,7561.852252866961,6800.353554429344,11056.1676886954,9685.310809306535,8551.290223562806,7619.850543496651,6852.063724546792,11115.433087952655,9747.579282294044,8611.838818285303,7676.144908087571,6902.909581869902,11171.289736729615,9806.761115988278,8669.895412661204,7730.6358403751865,6952.645616132404,11224.047320193471,9863.070752263493,8725.55529514149,7783.297647246953,7001.132395065653,11273.982363633662,9916.714278484893,8778.932608313155,7834.149530898844,7048.299084937472,11321.341023901045,9967.885216780265,8830.148968419206,7883.237568396177,7094.119486814592,11366.342269379345,10016.762879382173,8879.326788094684,7930.6233346890385,7138.596438129474,11409.181020916014,10063.512121981217,8926.585427812974,7976.376661138969,7181.751511587728,11450.031064020151,10108.28383736218,8972.039066632955,8020.571013379782,7223.618135497141
8,2021-07-09,12557.128488639823,11041.385937789473,9798.185515411986,8787.33705104736,7962.469829775838,12649.268628074393,11131.271866535286,9877.1191864448,8851.150716000324,8009.64278412738,12735.590298066583,11218.058930062964,9956.351133999577,8918.757156532289,8063.945704704509,12816.283195776905,11301.007900679222,10034.150491826487,8987.478061592115,8121.831125370561,12891.725665356576,11379.903838625778,10109.646043572808,9055.805030158463,8181.201807191568,12962.351712296491,11454.789133933851,10182.43013361953,9122.885930480274,8240.791475192198,13028.592637137335,11525.82970197325,10252.350928636833,9188.249433325653,8299.82843855053,13090.852527526042,11593.24596290361,10319.398993089115,9251.650617552856,8357.844284559977,13149.499465617122,11657.276740837566,10383.643434239026,9312.981302686689,8414.560897307156,13204.86402967968,11718.160451591259,10445.195146228241,9372.216460181007,8469.821616953242,13257.241067723418,11776.125586019663,10504.185351456383,9429.381448721655,8523.54819203307,13306.892793230014,11831.38626257846,10560.753003353975,9484.531626252268,8575.713275357135,13354.05225927064,11884.140554324684,10615.037428062207,9537.739501790451,8626.322537759046,13398.926766277687,11934.570319023875,10667.174110899816,9589.086576304499,8675.402869784026,13441.701008744072,11982.841818335928,10717.292389612012,9638.65815016499,8722.994513194153
9,2021-07-10,14568.860374744067,12925.223950679425,11545.153960024385,10404.931585195365,9463.6892844221,14664.421918600117,13021.130144949162,11631.197657665529,10475.610587161045,9516.574121790407,14753.900224497602,13113.661061216128,11717.504600447503,10550.444990285772,9577.423661619145,14837.501429155805,13202.036683950648,11802.190737638612,10626.4651742995,9642.253952008017,14915.62592102184,13286.036843283951,11884.31205520521,10702.00181721597,9708.711677316207,14988.730383063745,13365.71524491318,11963.430732271727,10776.114619237518,9775.377892551576,15057.267434085086,13441.25634292979,12039.387726101737,10848.285904297567,9841.389610938126,15121.660426942863,13512.901658630422,12112.178715931426,10918.24893233604,9906.224548474676,15182.294530027712,13580.911350232644,12181.884350210485,10985.888241202056,9969.57400616044,15239.515342414223,13645.544269050522,12248.630162422449,11051.180133856187,10031.265437772608,15293.630870424753,13707.047936922005,12312.563220157921,11114.15632964153,10091.214053122769,15344.914847320786,13765.65392089411,12373.838456613275,11174.88137622219,10149.391917166706,15393.610422478712,13821.576152117883,12432.61071840993,11233.438438716312,10205.807872194699,15439.933763481553,13875.010832262944,12489.030238842348,11289.920294251606,10260.494308100582,15484.077373093169,13926.137167123445,12543.240183569624,11344.423616294605,10313.498350834256
