,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,23.635092758075082,18.77991412032259,15.545397501961881,13.26326585761819,11.581674169082541,24.08729595179645,19.109369264387404,15.782515868435343,13.429506950937686,11.692180664811628,24.517342470101198,19.43148824747968,16.02291784219837,13.606973086076284,11.82009171171507,24.925069323706502,19.743120506247465,16.261332092276927,13.788796355374544,11.957274469851535,25.311374519674178,20.04299393907295,16.4949512971469,13.97102304223515,12.09887702073313,25.677581409587052,20.330803962578155,16.722320404890336,14.151343470071664,12.241925486240078,26.025139914207237,20.606747246538376,16.94274993538589,14.328411931124382,12.384567075446117,26.35548586888281,20.87127404531628,17.155992162797137,14.501464657706382,12.525640849866782,26.66997729667538,21.1249533250982,17.36205599165048,14.670096713022449,12.664424206395344,26.96986888706415,21.368398357754916,17.561098200924715,14.834127497712998,12.80047800361152,27.256305512339118,21.602225707246703,17.753358246854095,14.993517555287204,12.933549243409665,27.530325040371284,21.827033065013246,17.939118640710678,15.148316026200284,13.063508456593858,27.792865406985207,22.043387883691462,18.118680706592254,15.298626909670054,13.190308610856455,28.04477333629192,22.251822238236016,18.292349765701868,15.44458713258809,13.313957696944586,28.286813365297455,22.452831268541043,18.460426188226585,15.586352176776966,13.434500190241893
1,2021-07-02,64.9331041467773,52.54587157855915,44.02017419408753,37.87152038702685,33.2697966144393,66.02190027976035,53.37585142626096,44.63571320259197,38.312271116626306,33.56736662783168,67.05383148174091,54.18527671424071,45.25859115400808,38.782132422624464,33.91147049776584,68.02906121687589,54.96641311778455,45.87514732904209,39.262836837889914,34.280121588965464,68.95024851937372,55.716286854643045,46.47817767101308,39.743907579586406,34.660222553349115,69.82100437061295,56.43435459884632,47.064010802504484,40.21925908586475,35.043765688012684,70.64517583319477,57.1213153708254,47.630966451944474,40.6853761268553,35.425780263227566,71.42651609041167,57.77848280574285,48.17850615266503,41.14029121098199,35.803167864565765,72.16854049737476,58.407445785019945,48.70674897699775,41.582987891829646,36.17401446728011,72.87447382214752,59.00988308177452,49.21618803913217,42.01304157438911,36.53717033197862,73.54724207349288,59.587462647477444,49.707521311262404,42.43039775040487,36.89198621806768,74.18948544319011,60.14178838475878,50.18154940675597,42.83523227571664,37.23814385035016,74.80358037905096,60.674373906072766,50.63911351607406,43.22786193551046,37.57554482210616,75.39166467781347,61.186631692332476,51.08105786825884,43.6086865305252,37.904236610764926,75.95566253595682,61.67987098082032,51.508207387623784,43.97815110143258,38.22436266019283
2,2021-07-03,119.67995754908266,98.4351437127358,83.3675535778372,72.27621569237621,63.85249120052892,121.44451511859371,99.83807255440414,84.43780099189067,73.0580882815376,64.38828222847174,123.11218318496084,101.20324297468532,85.51899157801752,73.89056621712886,65.00731453653795,124.68400753540462,102.51789401485323,86.58741761249404,74.74115432101934,65.66985972928616,126.16498819045076,103.7773484971797,87.63068914734423,75.59128046332066,66.35228483147266,127.5615626417402,104.98102345801098,88.64259118710486,76.43021354183556,67.04017432812739,128.8804526775661,106.1304029424327,89.62037486081535,77.25180466080144,67.72461043163938,130.1281430976437,107.22797213971778,90.56326758074769,78.0526575620443,68.40006148779379,131.31066248385042,108.27664496686187,91.47162561955653,78.83106194294947,69.0631346853632,132.43351032032646,109.27945430579017,92.34643962415777,79.5863521907852,69.71181463319986,133.50165441708387,110.2393859528295,93.18904075770313,80.31851218031262,70.3449856019686,134.51956065069788,111.159292738909,94.00092412347041,81.02792685208536,70.96212479415126,135.49123585039098,112.04185387449084,94.78364231953577,81.71522366008065,71.56310161816668,136.42027420309537,112.88955984876813,95.53874168877573,82.38117026988223,72.14804424766646,137.30990247786113,113.70471161175699,96.26772491364616,83.02660812929271,72.71724977589987
3,2021-07-04,184.73627065056687,154.1799369990483,131.89101056266298,115.16375595644848,102.28080452179698,187.136737963732,156.16580119021228,133.44723524906644,116.32274630662444,103.08650109561368,189.40000899073894,158.09451883269773,135.01702811448317,117.55536546864626,104.01662241103207,191.5284260392402,159.94842801766157,136.56598319046216,118.81333011427083,105.01123628037257,193.5295977823347,161.72135053733192,138.07626826533289,120.06913295544774,106.0347379582658,195.41296083189602,163.4128823214785,139.53907029391144,121.30695756770862,107.06545669002521,197.18822111983414,165.02550141972338,140.95061982684086,122.5178091819179,108.09002917407142,198.86466175171955,166.56305413671072,142.31000793833562,123.6967818682971,109.10020411567815,200.45086199999554,168.02994692799686,143.6179472998798,124.84146651423337,110.09095471033359,201.95461339974742,169.43071280334482,144.87605141292534,125.95099492859086,111.05932680806413,203.38292900019962,170.7697818176343,146.08640794459885,127.02545173369775,112.00371668825613,204.74209423139598,172.05136482711302,147.25132364490287,128.0655054839793,112.92340784083905,206.0377336392569,173.27940070641105,148.373171610775,129.07217386870374,113.8182682305049,207.2748807520695,174.4575390914573,149.45430066541186,130.04667272683463,114.68854936674813,208.4580450085429,175.58914271873397,150.49698291906523,130.99031841831368,115.53475128936878
4,2021-07-05,257.71505245142737,217.96040793079447,188.17909196287755,165.4131935860329,147.64293763321754,260.67124528937006,220.50045400819874,190.22164817124488,166.96288871134217,148.73533025592604,263.45291657675375,222.96329005307265,192.27927365024286,168.60935789902726,149.99549161039522,266.06392591751904,225.32678887579598,194.30689830333176,170.28790724736675,151.34192919045284,268.5144931117908,227.58355309231007,196.28134044353988,171.96178924052793,152.72628907391004,270.81695081089526,229.73354324344066,198.19130133547142,173.6099698419023,154.119200493649,272.98383744635305,231.7803544398699,200.03210435131828,175.2205708951363,155.50260587737134,275.02706384760006,233.72927508308464,201.80281038152322,176.78719086815744,156.86540320277626,276.9575860118828,235.58625629003154,203.5045842030738,178.30676311107544,158.20087203070693,278.78531824965194,237.35736321879605,205.1397467120452,179.778271398365,159.50510333464425,280.5191582615066,239.0484880558331,206.71121589760008,181.2019609270967,160.77601562370205,282.16706088276743,240.66520753610595,208.2221741946564,182.57884442752038,162.01272450600123,283.73612917780605,242.21272093792183,209.67587055737667,183.91038859227825,163.21513117621376,285.2327076043641,243.69583274580214,211.07550406302695,185.19831307300387,164.38364971050427,286.66247012919865,245.11895964044487,212.42415745674455,186.44446102762387,165.51902416505052
5,2021-07-06,336.5406785076582,288.11535504455463,250.89483786040677,221.93108717252917,199.02781139606094,339.95106666918196,291.15475649603974,253.40096302680305,223.86721234365245,200.41128107222704,343.15473770523914,294.0974581502067,255.92256517745037,225.9223364301016,202.00613651112099,346.1571086487755,296.91748324715724,258.4044513503887,228.01548629347556,203.70889993385393,348.97080527361,299.6065201704415,260.8184321581653,230.10079353217128,205.45824321344276,351.61075160784173,302.16502936950843,263.15094600803826,232.15211364487627,207.21698572423725,354.09198343989294,304.5977632699588,265.3965571682886,234.15477955418555,208.9623321181669,356.4287064856614,306.9114388535408,267.5543955442888,236.10097622871265,210.68032407329912,358.6339379729279,309.11350823783823,269.62614429990055,237.98705014035147,212.36256317363708,360.71942298990393,311.21150879339365,271.6148753329321,239.8118974576196,214.00421250683434,362.69567707875586,313.21272689975467,273.524364679072,241.57597542950123,215.60274524959004,364.57208234254296,315.12403420273904,275.3586869189216,243.28068471669513,217.15714352536367,366.3570013554348,316.9518193739228,277.12197527010596,244.92797816052135,218.66737607708683,368.05789166768847,318.70197245528055,278.8182816849271,246.52011074358842,220.13405262898564,369.6814130567593,320.3798975082611,280.4514980043905,248.0594791597319,221.55819248108574
6,2021-07-07,419.8132504949206,363.4608104044492,319.05431617887757,283.896800743344,255.74334595120663,423.5758287340686,366.9339361814071,321.98854518929954,286.2039889304849,257.41401028472353,427.10549569460386,370.292297700623,324.9377520338718,288.6509213637445,259.3387368960104,430.40911432485206,373.5067200446091,327.83743491280904,291.1409520471783,261.39226903723517,433.5013786132765,376.56824991749386,330.654861084023,293.61947278195635,263.5004509164106,436.3993881180265,379.47792264842195,333.374472662462,296.05547833729463,265.61840473140506,439.1202492847969,382.24161893276676,335.99022490397545,298.43168122968234,267.7186877145227,441.6800550311931,384.86740146252697,338.50139619054784,300.7389688842003,269.7845592835397,444.09350725147243,387.36411431209774,340.91022384652337,302.973181612052,271.8060044181732,446.3738399499874,389.7406473113441,343.220539223306,305.1331844014956,273.7773095259618,448.5328788990626,392.00555924481444,345.4369677382537,307.21968586451925,275.69554534718907,450.58115785344586,394.1668976475814,347.5644568359243,309.23450163341676,277.5595965549283,452.52805233601225,396.2321268806594,349.60799830150563,311.18008882699127,279.36952976991523,454.3819124089749,398.2081153994347,351.57246760203714,313.05924934482834,281.126175933274,456.15018611916554,400.10115452965704,353.46253445907826,314.8749401659092,282.8308511684572
7,2021-07-08,506.28917559477054,442.91278451394743,391.7341456284491,350.52437849360433,317.1153837885383,510.3065787827092,446.7481845809154,395.05206576612164,353.1786825649781,319.0626228700513,514.071180877794,450.4527943505571,398.38375669395515,355.99160183623206,321.3046912869057,517.5910763605706,453.9948908701349,401.6564101849469,358.8517935477459,323.69527917179533,520.8826124743285,457.365112988275,404.8332939476292,361.6964917515788,326.14785392279583,523.9645909139502,460.5650938714615,407.8971434851442,364.49018727231146,328.6101340343996,526.8557193312691,463.6017591260303,410.8414491016644,367.213194122424,331.0502271167441,529.5735384834403,466.48438251861745,413.66569643824533,369.8552403581146,333.4487470978532,532.1340349804691,469.2230437504838,416.3726852976521,372.41174486351736,335.79415866769125,534.5515727155965,471.8278230981226,418.9669850116222,374.881591339334,338.0799402037032,536.8389675980113,474.3083926295462,421.45403166482157,377.26576658706006,340.30280926161976,539.0076204775203,476.6738239587146,423.839597346743,379.5665126160815,342.461588432079,541.0676670090695,478.9325147155572,426.12947950395784,381.78679187150243,344.5564674821344,543.028124973859,481.09217948785533,428.3293225299311,383.9299472777281,346.5885163879031,544.897030488667,483.15987473698385,430.4445196235202,385.9994855991885,348.559360363111
8,2021-07-09,595.3684638996801,525.8827147523856,468.4047710224358,421.3506769895488,382.7416414842002,599.5613311168473,530.0140327140759,472.06115260254006,424.3252563193945,384.95180156959594,603.4871995530991,534.000823595457,475.72965537375245,427.475423292915,387.4952619026836,607.1551171765968,537.809372425376,479.3301748294836,430.6762473941585,390.2056316459045,610.5826576014017,541.4300763989128,482.82250872023087,433.8574521208317,392.9845933503366,613.789865517935,544.8651402715868,486.18795246638683,436.9794093661158,395.77283591440823,616.7966075219139,548.1224151539578,489.4196497435686,440.0202645028834,398.53426009955825,619.621465892424,551.2122247739558,492.5173269330878,442.9687213196058,401.2469946744336,622.2813470488203,554.1457087018515,495.4843311206171,445.8198531070322,403.8980909096114,624.7914206905908,556.9339614624846,498.32592692793827,448.5726004268812,406.4802904389894,627.1652064967672,559.587599031411,501.04830355882456,451.2282422204718,408.99000473376833,629.4147197984856,562.1165580045259,503.657992968131,453.7894452438287,411.42602468822474,631.5506334832846,564.5300218211966,506.16153087151304,456.2596656664162,413.7886819011084,633.5824360870514,566.8364155950318,508.56526336563553,458.64276956486407,416.07929580575257,635.5185773790365,569.0434367745095,510.8752417153228,460.9427918145357,418.2998052543854
9,2021-07-10,686.5596524574445,611.8777773641791,548.6150490901099,495.97587897347637,452.27131871062306,690.8658387320589,616.2449965947292,552.5654431485864,499.24236315772197,454.7286850101309,694.8956608225592,620.4563133459367,556.5260812139737,502.6995456805167,457.5552813187453,698.6588284990488,624.4764863074373,560.4105461193789,506.2100906733442,460.5657794209145,702.1737448278016,628.2957823376952,564.1756671054823,509.6968909003491,463.6507659402126,705.4612867611634,631.9169180224684,567.8015394841303,513.1165951392979,466.74432843300923,708.5420923069111,635.3485304629154,571.2810549105025,516.4454092055321,469.8064326109056,711.4354341110256,638.6018207612107,574.6141934131055,519.6711409743577,472.8128964904578,714.1588262981069,641.6888067854659,577.8048165994653,522.7885843945223,475.74946992028754,716.7279695107593,644.6214190513145,580.8588268288507,525.7967643587982,478.60822886435307,719.1568460543766,647.4110485011494,583.7830963652962,528.6972550828076,481.38532246385995,721.4578743540711,650.0683397021436,586.5848417461771,531.4931360035578,484.0795351894239,723.6420790554206,652.603117609534,589.271260758929,534.1883356150366,486.69135312852234,725.7192563963749,655.0243861055089,591.8493266030675,536.7872162267163,489.2223491743694,727.6981260951303,657.3403637377405,594.3256770189528,539.2943108818841,491.67477388798613
