,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,751.382079815596,598.2024878500772,495.81176392205765,423.40669566100473,369.9695506077338,765.6172086895635,608.6163185064731,503.3271141505987,428.68553371991027,373.48340799719244,779.149799119406,618.7955129350294,510.94505352548106,434.3200317952471,377.5503027978762,791.9754795463664,628.6407324927259,518.4985290247638,440.09203039713145,381.91152599684165,804.1232066936309,638.1120576165105,525.898659892124,445.8759847719957,386.4127574856874,815.6352333545932,647.2001466401495,533.0994546490541,451.59859470897766,390.95943247069357,826.5577052096801,655.9114788381327,540.0791927584953,457.21718828899367,395.4926556265986,836.936243378128,664.2605199138312,546.8301502498008,462.70757925182096,399.9755421981168,846.8139503435514,672.2654585465078,553.3527273858737,468.056976045132,404.3851506476196,856.2306178939428,679.9458566731793,559.6519999416329,473.25970786892145,408.70755439323955,865.2225329093039,687.3213560646991,565.7356526412963,478.3145813484202,412.934745260766,873.822574201426,694.4109808416337,571.6127239739299,483.2232113866338,417.06264133615184,882.0604420249156,701.2327811117613,577.2928387564588,487.98894975769076,421.0897797939208,889.96293819325,707.8036731294533,582.785739610787,492.6161889296643,425.01644492431416,897.5542547760035,714.1393923516833,588.1010043562613,497.1099059776084,428.84407864305626
1,2021-07-02,2057.6916321594,1669.6313067327244,1401.3110364930624,1207.1781042795333,1061.5457025235182,2091.7096119900584,1695.704238044765,1420.7199543335105,1221.113141404274,1070.9728075555463,2123.9360067674465,1721.1224229117433,1440.355023660333,1235.965641667855,1081.872615818886,2154.3783123729827,1745.643785344598,1459.785601360339,1251.1577839491913,1093.5481911649858,2183.121738743981,1769.1759206403722,1478.7849016905036,1266.3583508169602,1105.5844583565677,2210.2809261514144,1791.7027439236902,1497.2376297965084,1281.3751062673325,1117.7277304753404,2235.977594665862,1813.247107745351,1515.0912909138494,1296.097145525932,1129.8206150591873,2260.330272810223,1833.85106580193,1532.3293716904393,1310.4625204147044,1141.7650776199082,2283.449841151512,1853.56521373642,1548.9560539231782,1324.4393506494253,1153.5006241834078,2305.4379214798837,1872.442875563678,1564.9872700519486,1338.0144554921071,1164.9909783670516,2326.386653613376,1890.5369512936957,1580.4453687073665,1351.1863368688523,1176.2157166727948,2346.379126372216,1907.898256302027,1595.355894403772,1363.96075988685,1187.1648933626648,2365.4900890009612,1924.5747075089173,1609.7456343603258,1376.3479251912718,1197.8355188001135,2383.7867528176575,1940.610992055446,1623.6414389350534,1388.3606389374875,1208.2292148246415,2401.3295882024095,1956.048508918516,1637.0695210015297,1400.0131198922227,1218.3506333100133
2,2021-07-03,3787.3174427064273,3124.7464563188378,2652.320066349966,2303.219192068616,2037.3145499297152,3842.2117813462532,3168.653598079344,2685.961173103721,2327.8753731924617,2054.252400293248,3894.0668504347627,3211.3621217270384,2719.935730737881,2354.121256557175,2073.818465095498,3942.91941086505,3252.4744263054095,2753.4987933442694,2380.9315814517618,2094.7559738792093,3988.928737989923,3291.8461125875147,2786.2616984089595,2407.7207558854757,2116.3175159281714,4032.298249533746,3329.460835365187,2818.030070847359,2434.15075701073,2138.047390486987,4073.239671636271,3365.3667520350796,2848.71851083357,2460.0281953740064,2159.663873148398,4111.956896651132,3399.6431377063295,2878.303687004237,2485.246527752553,2180.9923751070946,4148.639240316585,3432.3824775725952,2906.7976677012434,2509.7523709599036,2201.9259608382345,4183.459243594793,3463.680792650041,2934.232368545524,2533.525255321283,2222.4012472408212,4216.572650759681,3493.632466759578,2960.650317276482,2556.5651512342965,2242.3832834191085,4248.11938237358,3522.3275820936537,2986.0991100601254,2578.884631792623,2261.8558450993846,4278.224908142618,3549.850667905918,3010.62807409849,2600.5038733484657,2280.815084885504,4307.001721712984,3576.2802462432046,3034.286272619593,2621.4474319886426,2299.2653123527803,4334.550772667745,3601.6888220345604,3057.1213375010416,2641.7421520633643,2317.216153920854
3,2021-07-04,5840.753994055271,4891.033056212734,4194.331882220528,3669.2334440630907,3263.4833023007554,5915.219338069689,4953.01147930973,4243.127136752291,3705.7035500366715,3288.9072671207455,5985.395938477548,5013.181925359089,4292.331524192362,3744.4805945290377,3318.251977987186,6051.362207413775,5070.995883719622,4340.8667305327235,3784.0444147425674,3349.624855718209,6113.3591957412755,5126.263510298663,4388.174923602777,3823.52960016647,3381.9018908534076,6171.683847563606,5178.975019868991,4433.98134587732,3862.439107565754,3414.3993036933825,6226.640719763368,5229.210278615124,4478.169404580848,3900.490763416209,3446.695755284323,6278.520621140433,5277.091524088782,4520.712104942895,3937.531120095688,3478.531366227537,6327.592005486757,5322.758160139173,4561.633157054501,3973.4852811997243,3509.748067919192,6374.098465663997,5366.353257978883,4600.984364198729,4008.326783616793,3540.253205551218,6418.259101336322,5408.016431037596,4638.832249377272,4042.0590748521163,3569.9967199641565,6460.270162549394,5447.880243158786,4675.25006903807,4074.7039006771056,3598.9565159997483,6500.307172732629,5486.068593546387,4710.313038481145,4106.293918293313,3627.1289028633564,6538.527138299749,5522.696206065846,4744.095505107662,4136.867949999766,3654.522251663755,6575.070658660696,5557.868725870988,4776.66931793462,4166.467917137436,3681.1527355723565
4,2021-07-05,8154.492494240725,6919.8286289823745,5989.773023975081,5275.6786573056315,4716.3415819118645,8246.250005656695,6999.096023197733,6053.801481666876,5324.433322673241,4750.8095432515765,8332.555505127333,7075.924612159169,6118.281277442373,5376.219053379374,4790.563289383694,8413.535178852328,7149.627290174185,6181.800308219147,5428.999456988573,4833.029553254835,8489.511765705949,7219.976899953457,6243.633650044545,5481.618704496982,4876.681972611351,8560.87265685997,7286.975684926563,6303.429219382514,5533.415984867111,4920.593916483773,8628.010794144846,7350.738923541821,6361.042529424268,5584.018817445974,4964.196131870073,8691.298933940727,7411.434315695708,6416.4461178596985,5633.227095582714,5007.139037832013,8751.079617866064,7469.249846423585,6469.678279655125,5680.945599991414,5049.211385802744,8807.662587355071,7524.376708507082,6520.813344353778,5727.143537491517,5090.290645380152,8861.325653168167,7577.000394644505,6569.944160390177,5771.829697028211,5130.311921183302,8912.317057897159,7627.296297201111,6617.171684746146,5815.036906306467,5169.248040755458,8960.858362215242,7675.427813983285,6662.598798639587,5856.812169737819,5207.096561319943,9007.147383363541,7721.545842119822,6706.3266789464005,5897.210351972501,5243.871162816872,9051.360967415609,7765.789025634906,6748.452733685423,5936.290114119079,5279.595878143497
5,2021-07-06,10669.311042040039,9163.594292719443,8000.426029566056,7091.4258309350835,6370.108474469646,10775.499461003414,9258.629103706675,8079.0984075690685,7152.4131481101,6413.812622800852,10875.21900521074,9350.609462712486,8158.232566522361,7217.132530958678,6464.18470826328,10968.644470586523,9438.726911594289,8236.096817258847,7283.032117309857,6517.953407658571,11056.174236502713,9522.725585653954,8311.808341971699,7348.667464896374,6573.1805507377885,11138.277326913914,9602.623632091017,8384.943891037194,7413.216218085586,6628.69175124569,11215.425431758515,9678.572955825872,8455.335295813344,7476.217883411394,6683.767577136028,11288.063715342025,9750.786420534521,8522.957538951228,7537.427884560273,6737.968013392105,11356.599783491007,9819.499440336307,8587.865519386312,7596.732684383965,6791.028780497857,11421.401187513737,9884.949712112835,8650.157484002322,7654.09895305357,6842.798115328079,11482.796839171182,9947.366757460637,8709.953548837144,7709.542402733893,6893.197190049615,11541.080074225974,10006.966854341303,8767.382988541658,7763.108326238652,6942.19477924841,11596.512255706106,10063.950948417885,8822.576729924345,7814.859278420949,6989.790749009378,11649.3263838917,10118.504201914702,8875.66298445672,7864.867209740471,7036.0051357753855,11699.730471176757,10170.796421210716,8926.764795497062,7913.208424343742,7080.87083836703
6,2021-07-07,13346.997555033933,11589.828980246028,10199.289248566054,9094.055494278435,8206.01479527725,13464.78472688324,11698.828351977172,10291.665796854053,9166.91015942795,8258.910787733128,13575.254727309533,11804.196919603206,10384.488906721926,9244.159480888107,8319.839499510439,13678.627510341597,11905.022790092458,10475.728985489148,9322.750344676517,8384.832315476766,13775.367410084473,12001.02888858282,10564.357809689378,9400.95888063666,8451.540458898413,13866.013281013169,12092.251326589592,10649.888225616332,9477.807400655833,8518.543249899107,13951.103504211465,12178.877832747057,10732.1325480701,9552.751735193693,8584.972626468927,14031.144162270995,12261.164149538696,10811.070478426227,9625.505932345599,8650.299661527903,14106.597331981638,12339.390114141725,10886.774613350231,9695.940376330109,8714.208475355354,14177.878770932315,12413.836626387156,10959.367465339332,9764.020834814219,8776.51938103461,14245.359860303597,12484.773879479568,11028.996293382192,9829.771139373299,8837.140795351157,14309.371302747664,12552.455755866746,11095.818266974988,9893.249921657287,8896.038486766889,14370.20735771986,12617.117614546112,11159.991751358482,9954.535919948203,8953.215554525152,14428.130034983398,12678.975929109967,11221.671276175437,10013.718621870392,9008.699203849048,14483.372988303576,12738.228908352112,11281.004744359778,10070.892287787548,9062.531911164824
7,2021-07-08,16154.034348997378,14169.226473515468,12561.421538426443,11262.428455357349,10206.048803076084,16280.742647349292,14290.2422266766,12666.319902764835,11346.546339257182,10267.90211879478,16399.460570335686,14407.106987851801,12771.630029110333,11435.672467255703,10339.108427309022,16510.446995322163,14518.823100268495,12875.051170548732,11526.27700629907,10415.017301624988,16614.22051179796,14625.098589279844,12975.42426811205,11616.371421403162,10492.879164798407,16711.376550755293,14725.988092265565,13072.206072500327,11704.831849324359,10571.033602324454,16802.507084612902,14821.712829392438,13165.193306515337,11791.036225888267,10648.468487172286,16888.16687974032,14912.567698227362,13254.372033435133,11874.660893951977,10724.569250907729,16968.86136372421,14998.87265048992,13339.832835711215,11955.56247009496,10798.970806902826,17045.044529980954,15080.947331767084,13421.721975585739,12033.70723516539,10871.467322198023,17117.121348681154,15159.098234123874,13500.212870640631,12109.127956174972,10941.955792299712,17185.452001535356,15233.612676014935,13575.489339708563,12181.897013269037,11010.399986927938,17250.356641677492,15304.75652152581,13647.735809355003,12252.109460549,11076.807001042962,17312.120066031,15372.773927488539,13717.131699861324,12319.872265723025,11141.211785235519,17370.99603156165,15437.888156878591,13783.84834643057,12385.29745941143,11203.666827200075
8,2021-07-09,19068.405407936854,16881.285768273763,15068.757099642231,13580.91042756072,12356.720575704876,19201.74704751054,17012.4324822838,15184.91319330042,13675.562796811006,12427.181074907656,19326.587938215092,17138.972789317326,15301.43342801977,13775.784593704833,12508.254838058705,19443.21803064304,17259.839072444032,15415.774156630516,13877.599329921088,12594.634298032437,19552.198020113643,17374.729193325395,15526.660328373717,13978.771416389434,12683.184191394865,19654.16681786512,17483.715586895443,15633.500095379193,14078.041345502164,12772.014004796587,19749.75735964551,17587.04959083631,15736.077941978596,14174.71549017947,12859.973870019447,19839.561486511906,17685.060698669844,15834.387271574435,14268.436247419495,12946.367811516306,19924.11754620137,17778.104000626874,15928.536265218914,14359.04861083855,13030.784405770704,20003.90850094477,17866.532898404614,16018.69377434015,14446.520487871843,13112.993628276894,20079.364718870173,17950.685385857993,16105.057794720757,14530.894028568124,13192.88237952957,20150.868633253725,18030.877711164303,16187.837008031529,14612.255377570551,13270.413317990526,20218.759911973135,18107.402066646755,16267.24003914481,14690.715642175237,13345.598111026173,20283.340501059138,18180.526451122256,16343.469337722096,14766.398830227496,13418.479808748385,20344.879266895492,18250.495664987167,16416.717858072327,14839.434193192295,13489.121103754671
9,2021-07-10,22074.882733230945,19711.035004007525,17707.70451132002,16037.52663887695,14647.584372817562,22213.03938165499,19850.59088874634,17833.86236662036,16141.929125806839,14726.233573187772,22342.324567717216,19985.15224863598,17960.330018255885,16252.410245114557,14816.687957028023,22463.051060995625,20113.594891195175,18084.348718996418,16364.57951563789,14913.013115481923,22575.810299071552,20235.609743776095,18204.54161639223,16475.973111670104,15011.706406083653,22681.27286888712,20351.285363285762,18320.27507077925,16585.206869273716,15110.658648698349,22780.101508927135,20460.899240441293,18431.324027865794,16691.521984607272,15208.58953326648,22872.915008301636,20564.8105488861,18537.689621019188,16794.530510511675,15304.726397492153,22960.275625270155,20663.40434066906,18639.496727100086,16894.06769918445,15398.614542997237,23042.687349741413,20757.0626886411,18736.935180976794,16990.10388929617,15490.001723765425,23120.598975922934,20846.150267647907,18830.22559514476,17082.690740719645,15578.765982686382,23194.40907318279,20931.00777413858,18919.599402819258,17171.927864184134,15664.86960579143,23264.471455224168,21011.949609409174,19005.28728810876,17257.941859139115,15748.32922895971,23331.100494743452,21089.26385232545,19087.512634352464,17340.87305582452,15829.1961609412,23394.57600336282,21163.213417186696,19166.488002816022,17420.867121630567,15907.543294240018
