,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,944.0944696761389,754.1528542984842,626.4613627765863,535.8152010644189,468.73050349592665,961.6793117976443,767.1073648078473,635.8534932208422,542.4337055736007,473.14659773619917,978.3857580423412,779.7641673929473,645.3706462634179,549.4964374831483,478.25688436374986,994.2100089718309,792.0002224098915,654.8040959775146,556.7297111799842,483.7360028137356,1009.189281849747,803.7664940193599,664.0429748182781,563.9761269159914,489.38992233569974,1023.3770193607859,815.0519729972186,673.0300784690832,571.1438735805305,495.099793189259,1036.8312793076987,825.8652800816075,681.738548060165,578.1795807285216,500.7916403817399,1049.6092999876907,836.2249078348799,690.1590061859672,585.0530690466506,506.41917546093447,1061.7650626122802,846.1539168482005,698.2922075671147,591.7484462655696,511.9536443696672,1073.3483369868795,855.6770175773659,706.1447254186075,598.2587415233664,517.3776259775424,1084.4044625699762,864.8189679028534,713.726368540083,604.5825878799527,522.6811359336156,1094.9744856678462,873.6037122303328,721.0486140245673,610.7221283144988,527.8591205626446,1105.095457440872,882.0539444605731,728.1236502438767,616.6816722820615,532.9098128097814,1114.8007918021524,890.1909147702559,734.9637935595891,622.4668233127112,537.8336359000921,1124.1206317062786,898.0343760590897,741.5811373793425,628.0839079447375,542.6324623970136
1,2021-07-02,2562.8902075869405,2088.9996300355847,1758.7989654271942,1518.5919793370915,1337.6740253876387,2604.2421017740785,2120.982431741052,1782.758092448954,1535.8730806411559,1349.4052130641385,2643.386193867392,2152.1434666874416,1806.9853905493726,1554.2857711060356,1362.9658332263077,2680.336458976206,2182.1876520280816,1830.9494848499457,1573.1129279540933,1377.4877737021602,2715.2008042197517,2211.003749015308,1854.3712101945166,1591.9438585242724,1392.4541994042283,2748.122269255766,2238.57406809606,1877.109236337203,1610.5405321130922,1407.5494228023535,2779.25189316116,2264.9284925830325,1899.099789280752,1628.7659171741332,1422.5777617516096,2808.7363080578125,2290.1202356494678,1920.32346432746,1646.543740256992,1437.4174900544303,2836.7124069794872,2314.212769741112,1940.7863217676113,1663.8350124974208,1451.9936366912955,2863.305463066581,2337.2727149776474,1960.5088346375394,1680.6239065878472,1466.2613769486913,2888.628924080481,2359.3659964928793,1979.5193043918603,1696.9090436045333,1480.1956064976464,2912.7849907182635,2380.55583153963,1997.8498917430627,1712.6980084362347,1493.784243516836,2935.865525763774,2400.901753228588,2015.534213795042,1728.0038432944543,1507.0238419448526,2957.953064500898,2420.4592234750116,2032.6058966198862,1742.8427804747744,1519.9166721968106,2979.121812601738,2439.279577996461,2049.0977187818526,1757.2327662034133,1532.4687531819259
2,2021-07-03,4701.253341001382,3898.931133965152,3321.8198937355824,2892.6092561453247,2564.0943763033024,4767.441406776064,3952.3980323914425,3363.0830675617876,2923.0165626377984,2585.0706239588485,4829.9153640340155,4004.371264048949,3404.7336507816703,2955.3716339452812,2609.294831446928,4888.727973208464,4054.370300649211,3445.858481583011,2988.4089747785533,2635.2088150989816,4944.07869786708,4102.223344096669,3485.9824909430163,3021.4065786109795,2661.8863293406653,4996.219064130597,4147.914352716172,3524.869300448458,3053.948384574261,2688.763062864084,5045.409541298749,4191.50544084857,3562.4162414218563,3085.7969781523434,2715.4905338089666,5091.900231138853,4233.0961737739335,3598.59666412922,3116.8221332554504,2741.8531283728153,5135.92289409264,4272.801777835874,3633.4271626670243,3146.959167819158,2767.7190955394803,5177.688437911885,4310.741402471629,3666.9484808438874,3176.1839245407104,2793.0106366724867,5217.387008061718,4347.031870423088,3699.214188901013,3204.4973658334347,2817.685144820384,5255.189256460729,4381.784481144494,3730.283898072236,3231.9159016024805,2841.7231663743996,5291.2480740462925,4415.103530305467,3760.219185040448,3258.465225047768,2865.12052866115,5325.700431147938,4447.085794187784,3789.0811634318597,3284.176342731787,2887.883110989963,5358.669154019428,4477.820549583037,3816.9290695286686,3309.083002595642,2910.023327844655
3,2021-07-04,7218.207708654488,6078.710444424102,5234.774779673326,4594.082805714202,4096.23375889038,7307.202488123958,6153.555040812726,5294.169068476758,4638.748039193296,4127.521298177269,7391.005007466828,6226.166119127051,5354.027482835737,4686.217682312342,4163.622136410831,7469.720762949815,6295.886949518831,5413.038532863278,4734.628273428019,4202.204239881751,7543.648108758792,6362.494445449539,5470.525951349693,4782.920313084951,4241.883338880291,7613.1505254200165,6425.982631056467,5526.158605535802,4830.486469455457,4281.81806893757,7678.59906731914,6486.453164911538,5579.797922342025,4876.983003576814,4321.490661953665,7740.34706319594,6544.058181370742,5631.4141865384,4922.223953119023,4360.5823604087855,7798.720057612667,6598.969888206435,5681.039103819441,4966.119518812542,4398.899825449373,7854.01301560922,6651.364336532351,5728.738253915591,5008.639098435889,4436.3302384200415,7906.490928070399,6701.412895795657,5774.594822806782,5049.788567638499,4472.813160800257,7956.390910713392,6749.277991843319,5818.699907359351,5089.596048998626,4508.322497201837,8003.9248494701105,6795.111223798546,5861.146734340206,5128.102869193453,4542.854717054676,8049.282127710812,6839.052805276451,5902.027250699843,5165.357756467335,4576.421045315433,8092.632217113695,6881.2317300644345,5941.4301680121525,5201.413098754394,4609.042221648517
4,2021-07-05,10041.766779092039,8571.320815241445,7452.737256088807,6587.242343915967,5905.165976692699,10150.719159812998,8666.405880709084,7530.17376970428,6646.593270392908,5947.3461682678535,10253.120538178124,8758.501995032115,7608.110608588571,6709.604639091557,5995.977847720132,10349.134813186887,8846.792387865711,7684.841566568666,6773.79517942642,6047.907719532838,10439.157371742123,8931.012600170889,7759.493756377121,6837.758492990617,6101.26646781934,10523.658324234872,9011.172865563403,7831.6459388432695,6900.692213497792,6154.920361484575,10603.112530604403,9087.418157057351,7901.127960605075,6962.1455703486945,6208.173917208997,10677.969330612077,9159.955411483399,7967.9108959480645,7021.877787070725,6260.600920984682,10748.640915976908,9229.015036439594,8032.0449212776,7079.775698411247,6311.944617388731,10815.49950360583,9294.830524260495,8093.623342085966,7135.80438498343,6362.056839198053,10878.878568604148,9357.627873855228,8152.761428378942,7189.976884289849,6410.859884275889,10939.075811291737,9417.620412991137,8209.583862579215,7242.335258659006,6458.322104680766,10996.356713559839,9475.006614896753,8264.217304519374,7292.938597353518,6504.441987238842,11050.958130917026,9529.969567108215,8316.786047061796,7341.855343585317,6549.237615961177,11103.091666113318,9582.677332391377,8367.409560102398,7389.158367316841,6592.739614475801
5,2021-07-06,13092.577778336297,11311.604085414503,9922.223642543853,8827.725941894378,7953.569127900525,13217.93248579607,11424.887810817167,10016.776962072552,8901.522578768117,8006.747736806718,13335.56748228256,11534.456774089818,10111.829302161126,8979.797457620849,8068.017307564241,13445.704596292244,11639.356225058635,10205.301585598861,9059.459923276358,8133.391764035374,13548.827431344103,11739.29071629419,10296.13768645178,9138.76309216297,8200.51095251734,13645.500696708903,11834.290795571427,10383.834676400245,9216.714640977396,8267.946282258054,13736.290204326926,11924.545406955525,10468.19618092078,9292.760859185264,8334.82393537633,13821.728739604,12010.315049033003,10549.197468209495,9366.609482116244,8400.61066240501,13902.303353877647,12091.886067977654,10626.909305370964,9438.126694725875,8464.987264616224,13978.452689569709,12169.546622262758,10701.453982263798,9507.27548513774,8527.771465624928,14050.568873345479,12243.574347816626,10772.979525469465,9574.077878457994,8588.869638516586,14119.001311486723,12314.230438397079,10841.644473175415,9638.591377268365,8648.2459252866,14184.061085839016,12381.757262696581,10907.60891117734,9700.89406778644,8705.90212303186,14246.025328256248,12446.377917505437,10971.02928038007,9761.075124077086,8761.864390307644,14305.141294175311,12508.296813603882,11032.055480995503,9819.228734160157,8816.174360246565
6,2021-07-07,16326.34123041424,14260.241898033833,12609.524823505804,11286.85760327882,10216.968666592062,16464.741342373156,14389.466919476734,12719.92289332734,11374.522165496346,10280.983957245768,16594.4591287441,14514.307110740157,12830.79037264486,11467.429680318113,10354.692788592312,16715.76903845963,14633.691385177353,12939.704421891945,11561.903154570546,10433.285493196301,16829.230372811842,14747.301848589517,13045.442025360428,11655.869542820315,10513.91740429996,16935.48759751616,14855.191152407822,13147.427739752902,11748.155818926456,10594.869761884831,17035.182495366305,14957.59050821932,13245.44395226624,11838.111471554083,10675.094048602125,17128.917124207182,15054.810515015288,13339.472592674956,11925.39688799495,10753.952870526977,17217.24039392992,15147.189184795716,13429.605951140984,12009.860416750404,10831.066920839097,17300.645632201282,15235.064780443821,13515.995290360199,12091.464862539035,10906.221718823943,17379.573099030018,15318.762011864643,13598.820804008124,12170.242518012017,10979.309276602107,17454.414517243273,15398.585529320935,13678.27394936817,12246.267161189136,11050.29081565071,17525.518196106565,15474.817419793273,13754.54710198613,12319.636392176208,11119.172510032544,17593.194075066538,15547.716879212623,13827.827610266437,12390.460403172969,11185.989477079787,17657.718390933333,15617.521032823159,13898.294521544209,12458.854820908933,11250.795093403514
7,2021-07-08,19696.803952126367,17376.07370280269,15478.827941539252,13933.611624153062,12668.383409978858,19845.030665345657,17518.795385902922,15603.496716300106,14034.264865357522,12742.829198327,19983.825700074165,17656.537269171353,15728.584153309754,14140.859388034212,12828.499491572195,20113.5080076342,17788.133486094357,15851.359042471211,14249.167912551871,12919.789166550618,20234.698009698506,17913.250973198945,15970.450419890689,14356.812571939126,13013.38642967954,20348.103586292476,18031.964602151053,16085.220196782991,14462.452584442579,13107.293579116913,20454.426421977078,18144.544413705404,16195.434227750146,14565.34857818995,13200.294887490954,20554.322888606363,18251.34600041808,16301.08281281364,14665.118441033848,13291.653930554414,20648.39019118733,18352.753270189794,16402.279721807427,14761.595573590375,13380.934841674412,20737.164204539826,18449.148695038388,16499.204130098886,14854.744218572792,13467.89342077136,20821.122527946467,18540.898321230146,16592.06676481059,14944.607727261806,13552.409064445594,20900.689626159074,18628.344817368652,16681.090066247343,15031.276396012401,13634.441294752485,20976.24254568871,18711.804912787724,16766.49662809972,15114.867219414506,13714.001506166205,21048.11649758232,18791.569207621396,16848.50260190551,15195.511050476478,13791.134342910038,21116.609999082957,18867.903222223416,16927.314107562222,15273.344443753766,13865.905290507395
8,2021-07-09,23189.67394436578,20643.18959721955,18514.822605738314,16754.039206553538,15295.385158736062,23345.244272920598,20797.264258572875,18652.258296651475,16866.76752336161,15379.788826867609,23490.816146768706,20945.842900333537,18790.050729212027,16986.07285538798,15476.869378154755,23626.74337161159,21087.682191502674,18925.19376234554,17107.215554291684,15580.260125831543,23753.693343315066,21222.438598927627,19056.185773466543,17227.53492735503,15686.20273669544,23872.42235470664,21350.20775318048,19182.334517822113,17345.535407940857,15792.433524977629,23983.67765001105,21471.294133626543,19303.392881634292,17460.39640934668,15897.577914246609,24088.156804048675,21586.092670006736,19419.360305415055,17571.69772688189,16000.805929826878,24186.49358601949,21695.027110691488,19530.371226437535,17679.260205901366,16101.628761629752,24279.25603067592,21798.5181312171,19636.631043804307,17783.0506481502,16199.774870411546,24366.949921466512,21896.967382996092,19738.378870681434,17883.123775591317,16295.112580860423,24450.024406927027,21990.750198756537,19835.86577470324,17979.58620041353,16387.600684081557,24528.87817452343,22080.213009149946,19929.34215349917,18072.573785247514,16477.256363445904,24603.86544746627,22165.67329107326,20019.050577819915,18162.23731862091,16564.134078104453,24675.30148955307,22247.4208280203,20105.221937718277,18248.73344155113,16648.311513085417
9,2021-07-10,26782.440881220842,24040.090795421773,21697.894494715354,19730.583450611575,18082.35990401209,26943.281416228667,24203.507697576886,21846.57757966923,19854.394567333136,18176.159407131567,27093.715844661583,24360.9929249767,21995.54989259036,19985.355014085108,18283.998278289117,27234.12334629006,24511.240990443865,22141.56384586618,20118.254241638937,18398.78941621552,27365.20529545876,24653.901345884347,22283.004059806903,20250.172450715254,18516.352669968186,27487.752920110182,24789.088144210986,22419.13207353708,20379.47299514217,18634.173671234053,27602.54629450116,24917.135437653094,22549.690786517007,20505.261915534476,18750.728646884858,27710.312654525933,25038.47155796448,22674.68899330583,20627.085228166998,18865.10021463035,27811.712070686597,25153.553890396604,22794.280479851688,20744.753371878644,18976.75052133263,27907.33569617629,25262.835247920677,22908.694730996776,20858.236513128664,19085.383124225657,27997.70956381109,25366.747154414352,23018.196706180373,20967.60071462856,19190.856738587918,28083.300548173473,25465.692290620842,23123.063404657874,21072.968358514816,19293.130232646312,28164.522871114747,25560.04191175325,23223.5703205397,21174.49331803248,19392.22694319306,28241.74439807997,25650.135925218696,23319.98380749273,21272.345280338646,19488.211207338045,28315.292405353488,25736.2843373131,23412.557006361556,21366.699842500646,19581.172768253335
