,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,739.3414784248989,588.634104607172,487.8933547156643,416.653043237552,364.07416209801204,753.3467502700742,598.8799759647725,495.2877015710999,421.8470301390921,367.53162240985534,766.6608227824978,608.8949742680128,502.7829673026643,427.39094775501906,371.53323669674114,779.2793982806213,618.5813661370117,510.2147893420101,433.07014227301374,375.82444637293673,791.2309683726029,627.8998790050385,517.4957196501838,438.7610871941303,380.25340751833426,802.5571053257976,636.8413247587328,524.580509208336,444.3916614045472,384.7270731798198,813.3032109033475,645.412080661848,531.4477891366939,449.9198800281225,389.1874937636839,823.5141703629438,653.6263812091935,538.0899616388411,455.3219467744315,393.59837717840026,833.2323907061673,661.5021234774529,544.5074221467866,460.58527688297227,397.9371508331773,842.4970214704766,669.0585553399745,550.7051661350741,465.7042918048126,402.1901124261066,851.3437637294761,676.3150029599334,556.690755838924,470.67781835183104,406.3493830392873,859.804965402072,683.2901846022461,562.4730852861101,475.5074463706195,410.4109469594119,867.9098470931661,690.0018600478408,568.0616252430157,480.19647456742035,414.3733654670225,875.6847777205888,696.4666733697505,573.4659622579363,484.74922551629044,418.2369188700768,883.153558556802,702.7001067620918,578.6955206165517,489.1705969215316,422.00302646489007
1,2021-07-02,2020.7747595722221,1639.625059752185,1376.1112305502843,1185.465944363632,1042.4537118098476,2054.1876123496318,1665.230581551718,1395.170911757034,1199.149788791504,1051.7107412719772,2085.8412406347798,1690.1933096705704,1414.4527641921113,1213.7345922163695,1062.4139160866418,2115.7429376789,1714.2754919108286,1433.5338945753385,1228.6529537154822,1073.8788771601562,2143.976333754231,1737.3863600340076,1452.1915940034887,1243.5796274791383,1085.6980395277856,2170.653973866759,1759.510097006308,1470.3126361668267,1258.3258419997364,1097.622293818262,2195.8953649531904,1780.6691263522425,1487.8454640541536,1272.782689934817,1109.4970871721287,2219.8168865004614,1800.9047303001803,1504.7738545682244,1286.8893375640212,1121.226153381196,2242.5274124115717,1820.2665818208066,1521.101907666277,1300.6144768471668,1132.7500892307005,2264.1267278887026,1838.8070351990161,1536.8452629738772,1313.9451621962553,1144.0332720440151,2284.7053093351537,1856.578030018106,1552.0258613600056,1326.8799201542265,1155.0556459451107,2304.3447469118832,1873.6294601209122,1566.6687826070254,1339.424409628516,1165.8074437628777,2323.1184426883947,1890.008374186425,1580.8003273393358,1351.5886452594013,1176.2857289331498,2341.0923975158457,1905.758650180369,1594.4468586403898,1363.385200377477,1186.4920932002992,2358.3259934030098,1920.9209378582477,1607.6341140167717,1374.8280356123053,1196.4311036974802
2,2021-07-03,3729.078249461572,3076.440958968026,2611.188336609347,2267.4317000695764,2005.6194373562014,3783.163784479421,3119.690136589329,2644.319790804211,2291.7116389597113,2022.2975426432445,3834.2557187887173,3161.7592308105686,2677.7799728674995,2317.5571961529436,2041.5636428625717,3882.3901202726915,3202.2565398704496,2710.83521587887,2343.958772018524,2062.180262696399,3927.723784353198,3241.039762142384,2743.102721966601,2370.3397092411215,2083.411461663344,3970.4570192425304,3278.0927335738556,2774.391031101379,2396.3671331067685,2104.808527542806,4010.798338431652,3313.462832267048,2804.61600655688,2421.8505912821265,2126.0940518493912,4048.9485535895997,3347.228094834209,2833.754641151569,2446.6851510524702,2147.0961163282354,4085.0941282935664,3379.479576934006,2861.8187935490932,2470.8182285690673,2167.709417428331,4119.405009759265,3410.3118233103223,2888.839871766678,2494.2296519979204,2187.8715358456557,4152.034605157328,3439.81777153952,2914.8597379212397,2516.9193787366953,2207.548048596522,4183.120738537874,3468.0861267419564,2939.925248326269,2538.8997777523127,2226.722972529661,4212.787002070417,3495.2001283133404,2964.0849664312004,2560.1907064522175,2245.392512076922,4241.1442080009165,3521.237101881232,2987.3871977649646,2580.816336269039,2263.5609041022763,4268.291798643204,3546.268448991042,3009.8788400038093,2600.803093053294,2281.237621352587
3,2021-07-04,5750.3004909986275,4815.184307013652,4129.259142734877,3612.3101484980607,3212.86933278092,5823.625870152013,4876.2081456171245,4177.299954746298,3648.2150618662354,3237.898759992554,5892.728530192172,4935.452088487143,4225.743695203231,3686.3912138141955,3266.788106613947,5957.68562493387,4992.376052020731,4273.528722125785,3725.3420064203124,3297.6741684611948,6018.734463042492,5046.7930912660595,4320.1058215191615,3764.2154420160546,3329.4503816404685,6076.167398145777,5098.693547190698,4365.2044745979165,3802.52217869837,3361.4435787536986,6130.2842872253905,5148.156033312016,4408.709881078348,3839.9844129011494,3393.238959470245,6181.371455882775,5195.3008843684565,4450.595453519085,3876.4510713655663,3424.5806767699332,6229.6932222081305,5240.265339511329,4490.884525968626,3911.8484144612585,3455.3131141126664,6275.489428350333,5283.190251092231,4529.628092109888,3946.150385284111,3485.3450534039603,6318.975801829831,5324.213069015079,4566.8916385678,3979.3603741500838,3514.627211067719,6360.345573329356,5363.464303998486,4602.747282141525,4011.499786275134,3543.137833528774,6399.77156665968,5401.065937130103,4637.269068945215,4042.600769467223,3570.8732859555143,6437.408374112787,5437.130916833264,4670.530191300409,4072.7015413329236,3597.841808284965,6473.394433813086,5471.7632537935615,4702.601382415673,4101.843370755305,3624.059321470957
4,2021-07-05,8014.452208955272,6801.328844949992,5887.453868003044,5185.754656815692,4636.105814466112,8104.572032805916,6879.194576264112,5950.356765637468,5233.656027576308,4669.972692127264,8189.336480578732,6954.664137572965,6013.702710299712,5284.535167730181,4709.033021744183,8268.869616191792,7027.062638575574,6076.104441160368,5336.391310097973,4750.758374663322,8343.488528362575,7096.167006352944,6136.8498131477445,5388.0888641350575,4793.648996416477,8413.573784136122,7161.979506468716,6195.592971852043,5438.978604998118,4836.794420246496,8479.511384662417,7224.613432561774,6252.192009126689,5488.694596224237,4879.635333002491,8541.667491503384,7284.233564508932,6306.619980717435,5537.040259059156,4921.828266371961,8600.378579137872,7341.024601161561,6358.914539547645,5583.92206513306,4963.165673177762,8655.94889804904,7395.174385954704,6409.14873550668,5629.309782535504,5003.527177029023,8708.651330628956,7446.865157621374,6457.41380798832,5673.212066374608,5042.849030502446,8758.7297130129,7496.2692286603005,6503.80895898166,5715.661187448793,5081.104549960033,8806.40167100196,7543.54712539415,6548.435277923651,5756.703342965037,5118.2913487868045,8851.861507050462,7588.84709145175,6591.392177334193,5796.392450808302,5154.42288051993,8895.282923760267,7632.305331505389,6632.775364964108,5834.7861571004905,5189.522769777528
5,2021-07-06,10472.563638757892,8994.988870366515,7853.530550963109,6961.475931259194,6253.586791484209,10576.702871671587,9088.206395996614,7930.707102869207,7021.308689501118,6296.466566375859,10674.49802903864,9178.427710453758,8008.336436119919,7084.802655102668,6345.888349293319,10766.120561584965,9264.859853988537,8084.719808667452,7149.45426840102,6398.642488815218,10851.96117933967,9347.25188944299,8158.991218504226,7213.8464455633675,6452.827366694762,10932.479866622438,9425.621645694586,8230.735494436325,7277.172421331973,6507.290756764119,11008.139217387323,9500.118145560096,8299.787693544738,7338.980444660635,6561.3268129496355,11079.375808512797,9570.950199750256,8366.123298611881,7399.030593510589,6614.503838712216,11146.589380997148,9638.348733993389,8429.79618532213,7457.2115022942,6666.5625587469485,11210.140392847217,9702.546909794546,8490.902749562643,7513.490491845317,6717.354091039559,11270.35140730189,9763.769867114437,8549.56083745615,7567.882993978606,6766.8011116887865,11327.51009760565,9822.229753535228,8605.89727699755,7620.4334587581925,6814.872999659547,11381.872780987316,9878.123675997887,8660.040514749347,7671.203269313468,6861.569637232459,11433.66795914561,9931.633258649517,8712.116331772784,7720.263024593367,6906.9106949631905,11483.099628076961,9982.925062544085,8762.245437809379,7767.687593163732,6950.928461643057
6,2021-07-07,13099.894865827982,11374.798306388486,10009.87007635947,8925.117232617675,8053.5967285101415,13215.49427199878,11481.76021230264,10100.512266327412,8996.600371346192,8105.495476587443,13323.914799054248,11585.160758257553,10191.593540665668,9072.395890131791,8165.275698162673,13425.371902932993,11684.104932759492,10281.12239700801,9149.50819843419,8229.043653478951,13520.320930848902,11778.320655799273,10368.089854343698,9226.245880553839,8294.494871738461,13609.29042344549,11867.843186294009,10452.017824758394,9301.649631814988,8360.235462495142,13692.808509622331,11952.85658323315,10532.722062649817,9375.185493407154,8425.413723298023,13771.371664997921,12033.611667917263,10610.182569565857,9446.572858476833,8489.510686459273,13845.433214349372,12110.382925247874,10684.470504512776,9515.68451240134,8552.216411695152,13915.401054316339,12183.445900424356,10755.706012516639,9582.486829633212,8613.354582395796,13981.639554349782,12253.065647500784,10824.03352790585,9647.003157739005,8672.835324285503,14044.47318120696,12319.49122786721,10889.607216446422,9709.29099197411,8730.62503387426,14104.190651798968,12382.953536949415,10952.582423605332,9769.427558585057,8786.726735383281,14161.049045769894,12443.664947331275,11013.110736972963,9827.500633597576,8841.167105504146,14215.277624387836,12501.819916274424,11071.337246908457,9883.602678582562,8893.98780526958
7,2021-07-08,15843.756137730605,13896.668772110295,12319.550061053835,11045.460624209285,10009.405152217803,15967.970204530975,14015.315152334992,12422.395905967704,11127.93177780361,10070.046971817794,16084.352115766676,14129.89278683722,12525.646189519442,11215.313574828764,10139.85881158892,16193.155468068293,14239.423435779125,12627.04516244895,11304.145325103056,10214.281390953754,16294.888484832725,14343.620715439405,12725.456386861837,11392.477419019306,10290.619012604082,16390.13474643745,14442.538075148346,12820.347171846648,11479.207968793346,10367.243786843455,16479.47446765091,14536.39229870058,12911.518144888722,11563.727051779366,10443.16340105009,16563.451410321086,14625.472419134912,12998.955573096273,11645.71730689761,10517.775307452206,16642.560985540174,14710.092046672611,13082.74820381938,11725.038117609516,10590.721550209384,16717.248196181532,14790.564503442707,13163.039381576606,11801.656386674387,10661.800306677338,16787.9099976313,14867.190225969216,13239.999081561316,11875.604204210464,10730.910568624948,16854.89944703476,14940.250861389532,13313.807482930377,11946.952501070295,10798.016794913618,16918.53036774426,15010.00702992491,13384.64536626007,12015.794441343116,10863.125922183224,16979.081928354717,15076.698075767345,13452.688608734274,12082.234872493678,10926.272198445084,17036.80287290581,15140.54286352374,13518.105164971454,12146.383608584782,10987.507066707472
8,2021-07-09,18711.730301750496,16563.670375082576,14784.044048922135,13323.553189676042,12122.088913566737,18842.675909355083,16692.420904266794,14898.05053910178,13416.436948595958,12191.223387922942,18965.27738514048,16816.652370041345,15012.416712921306,13514.787510042264,12270.772189371977,19079.818750911145,16935.316278141305,15124.64591269943,13614.702801246698,12355.527838497781,19186.850008446243,17048.11560017841,15233.48648822116,13713.988975578064,12442.414145643022,19286.998076183067,17155.121063863055,15338.357312407792,13811.409959043414,12529.576167451067,19380.88409933321,17256.579075557474,15439.046625589008,13906.284954721308,12615.885624124387,19469.0889463825,17352.812817034956,15535.547736548733,13998.262903052502,12700.659565046119,19552.141018565526,17444.170643473914,15627.96662938843,14087.191558836788,12783.494227784595,19630.51437907011,17530.9992914549,15716.468858837052,14173.039302816214,12864.163833727329,19704.631483943267,17613.630404715084,15801.248606619085,14255.847382206239,12942.557331513897,19774.86774931486,17692.374306899666,15882.51056262002,14335.700228407855,13018.638006862055,19841.556621346477,17767.517728972176,15960.459378734815,14412.706780375089,13092.417237871432,19904.994523920235,17839.323670213147,16035.293661408257,14486.988647098133,13163.937200873383,19965.44541325362,17908.032371809415,16107.202710876552,14558.672592804443,13233.259351023224
9,2021-07-10,21660.286600515745,19338.970548445184,17372.066689819687,15732.583289887647,14368.418046052619,21795.909354782147,19475.955486202223,17495.882953411878,15835.033482761888,14445.587078647799,21922.825204859844,19608.040019537624,17620.005122568757,15943.44998393593,14534.339942883127,22041.340811398746,19734.1203866252,17741.725569512193,16053.524508830675,14628.854117451652,22152.036450296,19853.89291780353,17859.692823097277,16162.839266030562,14725.692944491431,22255.57015348158,19967.44427127276,17973.28480407164,16270.035872143128,14822.786923247286,22352.592299050084,20075.04659279995,18082.280437836536,16374.36958383381,14918.879780325862,22443.710163405864,20177.052241411657,18186.68065475738,16475.459573912627,15013.213315143392,22529.475562301053,20273.83900984764,18286.607851876022,16573.144045513323,15105.34129911088,22610.383138341836,20365.78179431729,18382.24819903033,16667.393771759445,15195.016145442834,22686.873371744372,20453.238437036478,18473.818091627512,16758.25933775141,15282.118107884256,22759.337455653917,20536.543263165557,18561.544562226296,16845.838394507915,15366.610103574421,22828.122661593297,20616.004803368036,18645.653923300713,16930.255088333026,15448.508383184344,22893.5375539441,20691.905764256335,18726.365335158505,17011.647049886356,15527.863224460762,22955.856778276313,20764.50416254932,18803.88734814951,17090.15715648699,15604.74608921678
