,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1165.8049658496434,933.8806402402195,777.1992641652,665.607472401989,582.8285392897054,1187.2064240046368,949.7421124528053,788.7443574975198,673.7654955593757,588.2827716193414,1207.5276965207572,965.2329553906719,800.4398044581222,682.4693153272001,594.5935091066675,1226.765851556922,980.2030809086154,812.029079328924,691.3814164213139,601.3586725483141,1244.9677132658283,994.5931034857939,823.3761187017637,700.307792641732,608.3385284101068,1262.1996420241053,1008.3901853265498,834.410889850819,709.135371864851,615.3862835221979,1278.5334101116684,1021.6054701664306,845.1006756326958,717.7985053568767,622.4106170524369,1294.0396111310245,1034.2621225941475,855.4342367732006,726.2601447414498,629.3544286096858,1308.784720570701,1046.3888338890301,865.4127668490248,734.5008525793978,636.1822856987679,1322.8299598672186,1058.0162541089967,875.0445859984421,742.5121813036192,642.8727562467134,1336.2310520966062,1069.1750369152003,884.3419656504648,750.292580613982,649.4135918892382,1349.0384075336713,1079.894792567462,893.3192033565941,757.8448150691722,655.7986301947649,1361.2975016533064,1090.2035594430815,901.991448558712,765.1743079945207,662.0257628332189,1373.049323233883,1100.1275733131877,910.3739879520251,772.2880666531886,668.0955809881009,1384.3308303828544,1109.6912068945392,918.4818164003602,779.1939791182284,674.0104601588752
1,2021-07-02,3147.4490175104524,2575.3526102441547,2174.0190897186308,1880.686199459941,1658.9944560208514,3197.1711904506337,2614.1184586724135,2203.219619036908,1901.8312249262447,1673.3910969157637,3244.2065141537787,2651.8684763369306,2232.735372964251,1924.3543677776963,1690.029472389101,3288.577008652608,2688.2469778302907,2261.918970623405,1947.3775775374704,1707.8433489074555,3330.4170643736165,2723.1213753613088,2290.4310069205367,1970.398392534172,1726.198134947532,3369.9026265566404,2756.4723967117593,2318.1002828570895,1993.1259431118942,1744.7064183935843,3407.2186084093587,2788.338229816961,2344.85015759703,2015.3930872810379,1763.1282428070224,3442.544058544063,2818.785102926901,2370.65801587924,2037.1070746980795,1781.314505818096,3476.0458407095316,2847.891446895522,2395.532191898943,2058.2207728950098,1799.1735247580561,3507.8764551591,2875.7392962529884,2419.498487750613,2078.7153602221465,1816.6506230105217,3538.173862170772,2902.4096573419497,2442.5921494932495,2098.589652506042,1833.7153176007353,3567.0622357813736,2927.980094142608,2464.8530360610057,2117.853388060544,1850.3530900780502,3594.6531045621164,2952.5235683867504,2486.322699439965,2136.5229373031657,1866.5599984593737,3621.0466050825517,2976.1079909823666,2507.042629747399,2154.618530901577,1882.339092976233,3646.33271298732,2998.7961729870663,2527.053220237615,2172.162456891542,1897.6980009250108
2,2021-07-03,5721.208105230756,4766.797524304026,4074.627051091365,3556.7842800133667,3158.6751733453916,5799.579501360576,4830.707961703824,4124.2855612711965,3593.5622564677888,3184.143322583303,5873.497101518388,4892.794839838552,4174.386328472682,3632.682017386974,3213.5473964173316,5943.0329299713,4952.487851437082,4223.831032487016,3672.6117311131466,3244.9935967931015,6008.431563286179,5009.586168441534,4272.049785194687,3712.478318800024,3277.356634428647,6069.997906999329,5064.074941507514,4318.760377850494,3751.779441653295,3309.95139934553,6128.046238558162,5116.032305010324,4363.841564012948,3790.2291407936086,3342.3552386034917,6182.877515310998,5165.580663938453,4407.263457609132,3827.6711965737422,3374.307027079689,6234.770110233876,5212.860666822464,4449.048018473197,3864.028647973552,3405.6475479921187,6283.976995906663,5258.017222982981,4489.246053512527,3899.273476177784,3436.2831078637532,6330.725983911102,5301.192087491094,4527.923594455491,3933.40794764714,3466.1627194537778,6375.221335387661,5342.520094052892,4565.153747760587,3966.4529079915496,3495.263465015088,6417.645899996683,5382.127433800965,4601.011809919229,3998.4403278812624,3523.5809284462557,6458.163365403853,5420.1310810570485,4635.572365460587,4029.4085074382265,3551.1228434606737,6496.9204173344315,5456.6388529695305,4668.907604422795,4059.3989734846627,3577.9048241679257
3,2021-07-04,8734.621208243801,7392.294351248642,6389.3444539286975,5622.893514720606,5024.311680395218,8839.022055149033,7480.951457351422,6460.216399786666,5676.488980261471,5062.0186851681965,8937.259474863396,7566.9084244172345,6531.6055294772295,5733.427002951548,5105.5139832571485,9029.470056637323,7649.393474498095,6601.948065086533,5791.469714178999,5151.983875942467,9116.014972778677,7728.149057919437,6670.440024597852,5849.346194629272,5199.75897255673,9197.329968613178,7803.174441814382,6736.68987128093,5906.3292023479835,5247.825410173513,9273.858011962446,7874.595705279889,6800.5358787026,5962.0082635611,5295.559992103221,9346.019865640841,7942.597964583729,6861.945993325582,6016.162359877034,5342.579700895307,9414.202536877767,8007.389399223348,6920.9611277447475,6068.685818949104,5388.652806678971,9478.756215937774,8069.182104635943,6977.662265384756,6119.54387107196,5433.644641424545,9539.995167267383,8128.182080505389,7032.151060965271,6168.745350889206,5477.483621392643,9598.20033860505,8184.584264632291,7084.538299531482,6216.325611347438,5520.139476345375,9653.622582101994,8238.570375529474,7134.93703187334,6262.335677246813,5561.609039686437,9706.485947780731,8290.308313546844,7183.458539612227,6306.835293874269,5601.9068326058705,9756.99079809703,8339.952410443695,7230.210033356425,6349.888451211678,5641.058749622821
4,2021-07-05,12085.009869517547,10368.66153836075,9051.01135810073,8024.234519377666,7210.555131761713,12211.721703125959,10480.322693787864,9142.64570205751,8094.891849270325,7261.011934103153,12330.730788006013,10588.405053151324,9234.822918718968,8169.875279168186,7319.167880267664,12442.243054539822,10691.957562455707,9325.525725509126,8246.228397305367,7381.246365359592,12546.731576095961,10790.678382576565,9413.725361974697,8322.277583016565,7445.009747685401,12644.754097673298,10884.587720144804,9498.928310872232,8397.069852797882,7509.102093701087,12736.871880560175,10973.863080634197,9580.938190609233,8470.07144223678,7572.692683436958,12823.61481550177,11058.753735430528,9659.725410365592,8540.998751647432,7635.273379725841,12905.468206461586,11139.535580453863,9735.353522370513,8609.720022887492,7696.538941226251,12982.869748448178,11216.487304809563,9807.936625680728,8676.19645133362,7756.314041616288,13056.211180163325,11289.878085510967,9877.614342280911,8740.446078242865,7814.507574699787,13125.841910906358,11359.961616760276,9944.537005353473,8802.521241054554,7871.083407100187,13192.073297349665,11426.973642573586,10008.856909347784,8862.494298272573,7926.041314893618,13255.182933009932,11491.131415643498,10070.723216932796,8920.448512523535,7979.4043733467915,13315.418660872887,11552.634190670547,10130.279097008945,8976.472206225642,8031.21051800151
5,2021-07-06,15701.929110182664,13635.64003644504,12009.136218287113,10718.540699834675,9681.76531521385,15847.032090535704,13767.947734125188,12120.398225206334,10805.91099213052,9745.039941750618,15983.112674507414,13895.83959153183,12232.188684444365,10898.543662446305,9817.918004545716,16110.44379742105,14018.209951377276,12342.06343825224,10992.776641425378,9895.65082606438,16229.599135478027,14134.723788862178,12448.784902870786,11086.5427411836,9975.42828273138,16341.243849984718,14245.426142978915,12551.767344338323,11178.67002604811,10055.55098183061,16446.04224118602,14350.545943080764,12650.785728080667,11268.506630018528,10134.98087590786,16544.61859085414,14450.394519633246,12745.816562252214,11355.710405890532,10213.085747373885,16637.54278489701,14545.312304101095,12836.948148437823,11440.126679359324,10289.488294064062,16725.327501548985,14635.640889192391,12924.328808107299,11521.715119062492,10363.974143760099,16808.43063568246,14721.708761425702,13008.13657079681,11600.504966653536,10436.434300312412,16887.25987895053,14803.824516031224,13088.561312909153,11676.567133193032,10506.82834199221,16962.177956798143,14882.274186431747,13165.794270878429,11749.996578932405,10575.160464616984,17033.50780976707,14957.32081804801,13240.021990939726,11820.901095265714,10641.463659121635,17101.53740217809,15029.205232641269,13311.422976617747,11889.394142237354,10705.789143320653
6,2021-07-07,19523.93507708268,17138.988995103773,15216.931453260151,13665.632796234404,12403.298947817377,19683.549263181638,17289.231936315467,15346.212916687642,13768.920476192654,12479.107860853577,19833.06365796268,17434.29409426025,15475.977623894489,13878.338850684602,12566.36745511074,19972.811199781514,17572.940544295074,15603.391141477661,13989.55229800941,12659.374937273045,20103.450977087377,17704.812641841447,15727.027287594457,14100.119644467255,12754.75935042269,20225.737831777955,17829.98176616287,15846.219190473304,14208.662358203024,12850.485880663908,20340.421327026517,17948.725662429282,15960.71894551885,14314.418438969358,12945.314944491289,20448.203390890234,18061.41308327812,16070.511800256045,14416.992384992127,13038.494544489597,20549.723178609856,18168.443460121292,16175.7115550169,14516.20998924218,13129.578579560466,20645.5545571542,18270.21547277849,16276.500361923854,14612.03156781404,13218.316142906859,20736.20924331106,18367.111155457686,16373.093585042921,14704.498913683023,13304.582302200364,20822.142218983696,18459.48847417812,16465.719176800198,14793.702294164119,13388.33387824093,20903.757791098826,18547.678539807046,16554.60563558703,14879.7596578923,13469.580691402432,20981.415527801986,18631.98533183646,16639.975113629986,14962.80343430858,13548.366598495832,21055.43573545577,18712.686739665904,16722.039647134316,15042.972135959182,13624.75684889492
7,2021-07-08,23506.42698138335,20837.298665642542,18637.409455001747,16832.92622751287,15346.515073686001,23677.04632159297,21002.727114493875,18782.88199172895,16951.07231875316,15434.34358563651,23836.72576170896,21162.299048910125,18928.771680054786,17076.140112809564,15535.381254083853,23985.84840950238,21314.673921877013,19071.894779701553,17203.16406116269,15643.007312954527,24125.1420494686,21459.477021070503,19210.658192032057,17329.354647772285,15753.31216447936,24255.432719909564,21596.80561037027,19344.32499392342,17453.142150838925,15863.939768772612,24377.537194363842,21726.98186876869,19472.629499908853,17573.663757822753,15973.458360047527,24492.2183148202,21850.425787558463,19595.567331159804,17690.47619678323,16081.002453895002,24600.16938171098,21967.588937965902,19713.277421834904,17803.388958393272,16186.061439368454,24702.0119496716,22078.920146234752,19825.974246425656,17912.364727106473,16288.35081521747,24798.299576205904,22184.84828228798,19933.90836502264,18017.45858878086,16387.731724194902,24889.523924882433,22285.774350862896,20037.343348845792,18118.780269980358,16484.159589631683,24976.121491980753,22382.068651518133,20136.542372399035,18216.470395289198,16577.65075322859,25058.480148549006,22474.070667419066,20231.760595063944,18310.685452686714,16668.260501306973,25136.945150351166,22562.090372341136,20323.241043224643,18401.588260410652,16756.06843696394
8,2021-07-09,27623.81685194648,24704.524669968414,22246.069335543372,20198.12542441849,18491.39830324303,27802.59074042695,24882.626736740596,22405.916614432168,20329.983285811126,18590.621007596357,27969.793611357552,25054.29066880476,22566.103888212405,20469.477554108147,18704.709255211583,28125.847679483726,25218.090284836853,22723.138361871166,20611.060490118627,18826.169612960155,28271.533219076307,25373.64001574823,22875.28065291075,20751.621762645027,18950.58122003537,28407.730286211125,25521.061036324125,23021.733761853826,20889.41655413292,19075.28390664824,28535.30644654137,25660.7145943215,23162.21825734547,21023.49060984709,19198.664639305363,28655.070450857907,25793.06511025604,23296.740819126586,21153.35818618941,19319.751502813506,28767.75632195569,25918.60905204063,23425.464318168437,21278.815252335757,19437.97395122863,28874.02141887692,26037.83823598018,23548.63332476529,21399.828064015834,19553.016829553886,28974.450667633926,26151.22155619343,23666.530841688436,21516.46520831928,19664.729199908124,29069.56319708665,26259.196705335107,23779.453077941846,21628.855454464658,19773.066186350807,29159.819577358645,26362.167320313016,23887.694853185913,21737.16129953146,19878.051237366,29245.62882444571,26460.503033636658,23991.541357341634,21841.562254962522,19979.751299771327,29327.354815619903,26554.541022525813,24091.263743879204,21942.244279977986,20078.260316001575
9,2021-07-10,31865.03332501647,28727.252388311335,26029.22804257939,23748.213698147778,21825.963312512285,32049.863194148907,28915.900433670835,26201.791519980616,23892.67045664293,21935.932838609442,32222.65768238382,29097.618384844718,26374.614962482075,24045.40930953129,22062.321997240815,32383.867427786783,29270.910049960516,26543.93292180759,24200.34698741209,22196.81239341428,32534.311113425527,29435.382059831678,26707.87787873927,24354.078887935313,22334.500479672603,32674.908409625183,29591.176582508346,26865.601077524792,24504.700309712363,22472.439560250466,32806.56417312243,29738.68830510832,27016.812254278866,24651.174150894938,22608.846365092762,32930.1208851906,29878.419388379065,27161.529066215116,24792.976824645262,22742.64950482198,33046.34250467859,30010.904289626695,27299.936602008765,24929.89298631911,22873.222859909252,33155.91272290709,30136.671110443527,27432.306949749684,25061.893179025894,23000.2232949137,33259.43954455815,30256.22246536721,27558.952571494978,25189.059287742348,23123.48934899602,33357.46231241502,30370.026912232952,27680.199190188687,25311.53836052661,23242.97665916586,33450.45932016202,30478.516100877685,27796.37016003868,25429.51367115304,23358.716091739374,33538.85515581766,30582.084971886427,27907.7776911084,25543.186473518126,23470.786227846864,33623.02741437303,30681.093517026053,28014.7182005586,25652.764496391115,23579.295097360846
