,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,2224.41858779067,1818.4067504668933,1534.1315013568712,1326.6684405304097,1170.0536400974752,2261.0079983176474,1846.7328338501964,1555.3568081793542,1341.977334845134,1180.4445826855704,2295.614888881633,1874.3173073585147,1576.8131578219034,1358.285641660493,1192.454607709407,2328.2556418461886,1900.8998086274162,1598.0297287861579,1374.9576999757383,1205.3143824656365,2359.0294818032435,1926.383086664983,1618.7594933097284,1391.6296059732622,1218.5659268193085,2388.0662797524283,1950.7527868020766,1638.8776955343683,1408.0905782511913,1231.9295596751372,2415.5025249237824,1974.0366229688805,1658.3283471632017,1424.2193956826513,1245.2319757176888,2441.470382999518,1996.2828632886726,1677.0947732004702,1439.9487034940253,1258.3654239457783,2466.093031052996,2017.548741718501,1695.1828373239123,1455.2441923206034,1271.263593543757,2489.4830476880506,2037.8941619265881,1712.6111378706873,1470.0920718591121,1283.8868893144547,2511.742280822161,2057.37830275787,1729.4051698226513,1484.4913436237998,1296.2131886239624,2532.962402460863,2076.05784654789,1745.5938077989206,1498.4489378040782,1308.2319036243682,2553.225749585852,2093.9861259020495,1761.2071788529254,1511.9766048774777,1319.9400925676593,2572.6062486571896,2111.2127916760496,1776.2753827663646,1525.0889064218393,1331.339872255921,2591.1703238680216,2127.7837740448163,1790.8277362990955,1537.8019075644004,1342.4366739149243
1,2021-07-02,5766.293944834665,4842.249721260265,4163.449773147884,3650.7078033342887,3253.603000635485,5844.463100164483,4906.574930166671,4213.782692300014,3688.1880532834493,3279.6679834879715,5918.072503577485,4968.989945844615,4264.518834048537,3728.0291542300665,3309.747614046551,5987.213435249041,5028.92831575976,4314.54586415981,3768.66767249408,3341.900163737353,6052.147107955536,5086.196473903716,4363.289370926813,3809.2140555727733,3374.9726306133257,6113.192317406855,5140.787762569973,4410.467390626548,3849.1578637628754,3408.2638321165177,6170.674766144822,5192.788341482594,4455.961256850047,3888.2097578613557,3441.3419385727184,6224.904751775699,5242.3280211473875,4499.744717002132,3926.2128171776103,3473.94082101692,6276.168270129469,5289.5540840432595,4541.843736877021,3963.0908878231794,3505.898819870309,6324.724518372046,5334.617290061704,4582.313142449145,3998.8175813958296,3537.121381209476,6370.806399247957,5377.664511431469,4621.222813883359,4033.397212532292,3567.557633068846,6414.622346823156,5418.835038999549,4658.649448602235,4066.852851487766,3597.185366538939,6456.358638626559,5458.258939585807,4694.671643251392,4099.218727141467,3626.001224313771,6496.181783972911,5496.056556918506,4729.366987634333,4130.535348168235,3654.0141923821475,6534.240795379712,5532.338639471562,4762.810393522723,4160.846353686642,3681.241229861293
2,2021-07-03,10102.389779941414,8665.187785674914,7567.367652417671,6713.718564031624,6037.8153818401925,10217.301602438754,8764.54504973275,7647.990932458821,6775.430320363602,6081.659148041307,10325.177206702481,8860.69032256211,7729.07797658611,6840.913994008308,6132.190230918327,10426.211749071346,8952.779619494439,7808.853662252175,6907.586506853397,6186.12606489843,10520.841825411528,9040.54720549838,7886.413425856623,6973.985816622143,6241.521748896554,10609.57974815189,9124.013961621637,7961.324024123009,7039.279672369817,6297.198810805235,10692.939974494335,9203.340563656924,8033.413804568632,7103.0021940154365,6352.435346264256,10771.407586530366,9278.751284828177,8102.657895849251,7164.906119029754,6406.789881700841,10845.426444246654,9350.493806209035,8169.1133418785175,7224.8768636637715,6459.99732936502,10915.396575942583,9418.818020371791,8232.881589884239,7282.881050781123,6511.905540585198,10981.67579156355,9483.965104625402,8294.086458394397,7338.9349492702695,6562.435578280869,11044.583068282436,9546.16223546834,8352.861101078175,7393.084764677663,6611.556288026024,11104.402508659654,9605.620420608655,8409.340309935315,7445.394163165835,6659.267723032809,11161.387295843071,9662.534043238826,8463.656039091009,7495.936304572601,6705.590179801214,11215.76338563476,9717.08132418548,8515.934893014433,7544.788736350845,6750.55686072633
3,2021-07-04,15010.43059031243,13093.758768408385,11582.083774483712,10377.632950136705,9405.705796016284,15156.151488182275,13224.962062274362,11691.847703356556,10463.65776401053,9467.974534096193,15292.65326330057,13351.666906487011,11802.050223825518,10554.811399221939,9539.663929137589,15420.239346325227,13472.790828039442,11910.282746003213,10647.48384908716,9616.093093757843,15539.511246752878,13588.016753355418,12015.331166367889,10739.640682953395,9694.493862628899,15651.158079700414,13697.403652226203,12116.625872482611,10830.131543009325,9773.194107136129,15755.864238916123,13801.19127772796,12213.953194228121,10918.31926503564,9851.17417179979,15854.270672006294,13899.699375929307,12307.297788709677,11003.871966954865,9927.81460894656,15946.961028147574,13993.274922304152,12396.753858954391,11086.642265210681,10002.74717995333,16034.459343944187,14082.264594162147,12482.474016374295,11166.595062702478,10075.764051556836,16117.232899670924,14167.000820552292,12564.639402067976,11243.763377617954,10146.760999626355,16195.697159724068,14247.795242143591,12643.442129100998,11318.220843109171,10215.70110950324,16270.221304558194,14324.936230590387,12719.075013248717,11390.064366232187,10282.591161132164,16341.133651270791,14398.688610133782,12791.725681752896,11459.403107521566,10347.466045465737,16408.726655717466,14469.294537525897,12861.573338728036,11526.351461196324,10410.378366469851
4,2021-07-05,20266.69774460068,17928.214375792948,16032.177170431241,14488.869812154748,13222.322158891184,20436.312702806037,18086.392366457203,16168.108669205907,14597.67033744358,13302.415245502538,20594.940433103642,18238.9052235725,16304.390106799434,14712.821709403079,13394.541519640778,20742.983435109676,18384.479092073077,16438.047675459627,14829.748958155433,13492.659891451958,20881.183808124108,18522.764288053582,16567.595976783312,14945.883386846068,13593.203701172637,21010.378094647433,18653.861930726645,16692.350395745376,15059.780835771353,13694.024282025079,21131.390735555327,18778.087296761736,16812.06675165073,15170.648715725596,13793.81657515546,21244.990132308292,18895.84820153443,16926.744824306938,15278.081004126034,13891.792333524187,21351.873576889917,19007.581720451497,17036.517966311632,15381.904457637836,13987.487126904767,21452.665446487867,19113.721470185854,17141.58973395844,15482.086812565245,14080.642792799748,21547.92124731454,19214.681265287774,17242.19702434593,15578.680748988712,14171.133982306306,21638.13393697557,19310.847664392128,17338.588539861037,15671.789095964303,14258.92127684525,21723.740814671495,19402.577351531574,17431.01229384441,15761.542963460888,14344.020740505071,21805.130185835587,19490.197113332502,17519.708528072093,15848.087903107651,14426.4838701409,21882.647464479338,19574.005159461052,17604.90589978425,15931.575140081759,14506.3842520115
5,2021-07-06,25795.280863716667,23085.97883971247,20836.505410967296,18971.19055079715,17417.46119032507,25983.470194082864,23266.839073480634,20995.59919957414,19100.917353385365,17514.406773307375,26159.266998569954,23441.01262071463,21154.923994224737,19238.084481367383,17625.832456991735,26323.157212686812,23607.07063359848,21311.00821932605,19377.228573156386,17744.405794796236,26475.997564551886,23764.64196774863,21462.130684027863,19515.291586601023,17865.80382707102,26618.74349714456,23913.868535259917,21607.50973589697,19650.562453567058,17987.428244487437,26752.3317288393,24055.133693408236,21746.878736999126,19782.109339579692,18107.706216356997,26877.63243308066,24188.92313281835,21880.25494863198,19909.46168421977,18225.69247507506,26995.433370866107,24315.752843666643,22007.80995099431,20032.425850435946,18340.834352692367,27106.438602705814,24436.132133421816,22129.795460478064,20150.975227251598,18452.828743008406,27211.273551866147,24550.54536734928,22246.50033138161,20265.18326468419,18561.532795495965,27310.492476023628,24659.443830545042,22358.22555660569,20375.181985256968,18666.90698057008,27404.58647156038,24763.24306375663,22465.269860862023,20481.135982107764,18768.978169111273,27493.991150449354,24862.323113654053,22567.921615980184,20583.22602176365,18867.815364807884,27579.093632978445,24957.030271054497,22666.454561969542,20681.638702834563,18963.513590050952
6,2021-07-07,31570.55638026832,28531.96723049657,25956.299168445963,23785.48521464208,21953.40168696967,31773.44152966027,28732.077599076827,26135.947382720195,23934.391700006472,22066.182752884848,31962.81216855551,28924.61524014566,26315.698236261,24091.71593062912,22195.727213451533,32139.222290153557,29108.02261868796,26491.639983901958,24251.179286517036,22333.485615538964,32303.621022878408,29281.913216912013,26661.844738830518,24409.27631116191,22474.423514333,32457.059262810708,29446.466100856327,26825.44748746943,24564.053323286586,22615.520814793214,32600.563662700843,29602.124562480847,26982.16426978888,24714.453189828684,22754.954577565488,32735.08579242802,29749.442176449495,27132.0301902141,24859.948515504082,22891.63382347939,32861.48568700095,29889.003380246664,27275.252772948363,25000.32913159039,23024.924879441627,32980.531005820514,30021.38292371382,27412.128195276775,25135.575551803428,23154.48425316902,33092.90293261107,30147.126030187996,27542.99287453037,25265.781976162612,23280.154364078884,33199.204579992234,30266.739718393233,27668.195429918396,25391.108676083186,23401.89713538903,33299.96989353552,30380.690133443622,27788.080612665977,25511.75222230552,23519.750985123585,33395.672143844844,30489.403056481453,27902.980362857976,25627.92676551005,23633.802600694435,33486.73163484847,30593.266019881423,28013.209143868575,25739.852275573918,23744.168232528555
7,2021-07-08,37542.72091330542,34216.21422649737,31342.799617412857,28885.206788629246,26786.336797365042,37756.84084779028,34432.36551933279,31540.43699054423,29051.467853682276,26913.806475682446,37956.57625689373,34640.18897612778,31738.046357693955,29227.014334979704,27060.14465252502,38142.535485427914,34838.022139555454,31931.331886045027,29404.829103930326,27215.670136676086,38315.74028587611,35025.46804019196,32118.186747648608,29581.002700730893,27374.687868736208,38477.316162977884,35202.73884478196,32297.675112127905,29753.363491963613,27533.78710007864,38628.35985063296,35370.329635802445,32469.499903561733,29920.742790005097,27690.914107389704,38769.88621603611,35528.85211146112,32633.713681414913,30082.563591283706,27844.84422638805,38902.81140940041,35678.949041286614,32790.557031766046,30238.60246679518,27994.870177125184,39027.95240638796,35821.25077988033,32940.36641929163,30388.847907533804,28140.61248645447,39146.03358121533,35956.354148447565,33083.52105667796,30533.414240295417,28281.901285585573,39257.69585118054,36084.81333884759,33220.41223276686,30672.48847556823,28418.70109272362,39363.50628981331,36207.137267921054,33351.42581292503,30806.297138413716,28551.06215171069,39463.96725887136,36323.79032599922,33476.9325680761,30935.085465089935,28679.08854007421,39559.52467697281,36435.19482485237,33597.28319136337,31059.10437539437,28802.917067315393
8,2021-07-09,43679.89395845726,40103.945256354156,36960.38121402718,34235.19768118393,31882.35100310044,43902.46056964984,40333.331142989875,37173.63898498255,34417.04177839958,32023.335827370192,44109.98456254144,40553.755862841026,37386.74263716365,34608.93810643574,32185.116254528657,44303.11597746623,40763.471833221054,37595.06362380757,34803.205817765396,32356.96758374596,44482.93186695826,40962.074929314724,37796.34109778165,34995.57331371489,32532.586430321207,44650.61439577321,41149.80595807686,37989.579221902924,35183.67442078546,32708.203064951056,44807.31343980232,41327.20387890767,38174.47094928736,35366.24162619416,32881.55235791931,44954.09181451129,41494.92931025892,38351.08527111363,35542.6547199095,33051.28777789309,45091.90814393013,41653.67395119706,38519.69259379606,35712.67961421626,33216.635497761104,45221.61670670023,41804.114696502475,38680.665317977975,35876.3130866552,33377.18407525446,45343.97452775534,41946.891485241315,38834.42062641527,36033.688527326805,33532.75338948334,45459.651088997394,42082.59788023267,38981.38754324423,36185.01781975072,33683.31130127729,45569.23848326311,42211.77845872228,39121.98821070406,36330.555132177244,33828.91978781102,45673.26103347379,42334.92977210864,39256.62760250764,36470.57425580616,33969.6996808845,45772.1839872228,42452.503080086346,39385.68827889312,36605.354452444015,34105.807368581816
9,2021-07-10,49937.577924351164,46151.13488824748,42766.183122327166,39794.265801442176,37202.2177320464,50166.13364494712,46391.111038491836,42992.735209994506,39989.884997118184,37355.46965605546,50379.17731133183,46621.60972236963,43219.01453144847,40196.223561325285,37531.25781608961,50577.38917494289,46840.81656178611,43440.11005216127,40405.0133896855,37717.908462282925,50761.88603090598,47048.32305661115,43653.63102990753,40611.66328234617,37908.56562870538,50933.89064212989,47244.39415827519,43858.531865054705,40813.63609271621,38099.134147817116,51094.590896688416,47429.60499562616,44054.498280044965,41009.57810494658,38287.15781237337,51245.0838661544,47604.656225484905,44241.61438428882,41198.8320724501,38471.18045717719,51386.35849122678,47770.279442957755,44420.17695569672,41381.15556781641,38650.368869985454,51519.29565576541,47927.18939849937,44590.58983262573,41556.55367059197,38824.28357336402,51644.67565621851,48076.06104073876,44753.303240411056,41725.17748605786,38992.73605231127,51763.18832149514,48217.51985471273,44908.77893498239,41887.26163902972,39155.6980277567,51875.44355640744,48352.13929733215,45057.47045360476,42043.085387183375,39313.24286471916,51981.98131087478,48480.44193922829,45199.81231847487,42192.94832722973,39465.50725519295,52083.280580155406,48602.90243862745,45336.214581652755,42337.155259402345,39612.66593223848
