,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,755.9899259340854,602.1250031836914,499.2034312412156,426.38785148529035,372.62909679092144,770.282109355535,612.5895611988436,506.7597247839069,431.6976012406022,376.1645881155495,783.8678916951188,622.8177573294184,514.418846428627,437.36492323882254,380.256436389414,796.7430434359507,632.7098227553231,522.0128376356354,443.1703642660137,384.6443171988521,808.9367814487509,642.2257059404577,529.4523545114967,448.9876450385133,389.1729516004517,820.4916520179037,651.3560810094225,536.69118245366,454.7430453430215,393.74719221197495,831.4540905676326,660.1075149592979,543.7075113516246,460.39365658914977,398.3077854206016,841.8699887490756,668.4945937908855,550.4936028626113,465.91516550998267,402.8176261658221,851.7826949575688,676.5356382590779,557.0498850133725,471.29472032934524,407.2536395530043,861.2322214948377,684.2503432054144,563.3814843382996,476.5266310604429,411.60182147792045,870.2550516876739,691.6584784883339,569.4961480298546,481.60971037339294,415.85412254963586,878.8842388566374,698.7791887874334,575.4029820439652,486.54559454155145,420.00644343257636,887.1496382018989,705.630636127795,581.1116796959084,491.33766575472754,424.05731949759223,895.0781892174351,712.229839831571,586.632050819428,495.9903519039363,428.0070434495709,902.6942065125535,718.5926298226781,591.9737378336895,500.508667915055,431.8570721794972
1,2021-07-02,2065.357586466342,1676.8012052639021,1407.8859261271048,1213.1919461590296,1067.0659298069604,2099.398571908699,1702.9205717684688,1427.3445874364395,1227.170707505425,1076.5267258881413,2131.643817822851,1728.3821743500423,1447.0288764869863,1242.06918785188,1087.4651627683368,2162.101305992547,1752.943692930055,1466.5070700917872,1257.307697297637,1099.1817288589511,2190.8567310706267,1776.512769498643,1485.5518810126707,1272.5539851928365,1111.259834174398,2218.0251740118356,1799.0734944879837,1504.047819187846,1287.6152494808612,1123.4448856684273,2243.728740194662,1820.6489458657659,1521.9423588009272,1302.3802884715246,1135.578946659904,2268.0862890849526,1841.2814144666415,1539.219042776905,1316.78701527657,1147.5636596831275,2291.2089832992806,1861.0217263459783,1555.8821539024452,1330.8035048555737,1159.3383459203128,2313.1986843770014,1879.923420842775,1571.947746351958,1344.4165875251754,1170.8666316456581,2334.1477359677824,1898.039595049198,1587.4382976395646,1357.6248088791874,1182.1280519244665,2354.1394004822437,1915.4212426560698,1602.379480694253,1370.4339960823324,1193.112655377349,2373.2485753975643,1932.1164408816276,1616.7982065170795,1382.8544213585799,1203.8174694914755,2391.5425989744676,1948.1700205109898,1630.7214424551114,1394.8989664590838,1214.2441474624184,2409.0820506867954,1963.6235090658965,1644.175510651694,1406.5819263461915,1224.3973810930445
2,2021-07-03,3802.3622005669445,3139.0250783604747,2665.5996951637894,2315.5086876339697,2048.702354256578,3857.29742033257,3183.01112223619,2699.3280373005214,2340.2438834945324,2065.7025915309473,3909.1868034594077,3225.7933498813627,2733.3887304993855,2366.5727021368966,2085.340083451656,3958.0678782447694,3266.97377516293,2767.0349507137994,2393.466497793273,2106.3532664766767,4004.1006879599367,3306.4081034505275,2799.877179779936,2420.3378191197494,2127.9919185449594,4047.489348413759,3344.0803074148853,2831.7207253037145,2446.84763525887,2149.7986646484974,4088.446195369367,3380.038942610118,2862.480156359609,2472.8020376050736,2171.490781560367,4127.175643961572,3414.3636981652703,2892.1322608912355,2498.094249764796,2192.8930937358223,4163.867454707417,3447.1474586104896,2920.6893020227,2522.6708241308793,2213.898335388671,4198.694545992039,3478.4866161487403,2948.1834237249154,2546.511325891596,2234.4429549925,4231.812982435923,3508.4758928797096,2974.6573921522354,2569.615817577006,2254.4919360697772,4263.362956999341,3537.2056759033953,3000.159038902888,2591.996995976,2274.0290541244776,4293.470171648336,3564.7607676878647,3024.737916654831,2613.6751768255676,2293.050502729181,4322.247318692385,3591.2199343924062,3048.4433006898207,2634.6750614687103,2311.560657787033,4349.795518221058,3616.6558987966614,3071.32302009654,2655.0236393818373,2329.569227022854
3,2021-07-04,5860.4115143577565,4910.680258072463,4213.244799458709,3687.167756464721,3280.4032833617134,5934.8471514912635,4972.703402092765,4262.1181303959975,3723.7214677727857,3305.8995704890945,6004.989787162738,5032.9126998970605,4311.398131100166,3762.58546259868,3335.326662049064,6070.918862192339,5090.759762492067,4360.004861290132,3802.2359360772107,3366.7863181641255,6132.8762538062765,5146.055172519114,4407.379850056728,3841.805530097111,3399.151236521956,6191.159559057266,5198.7896707303335,4453.248206241409,3880.7961933876686,3431.735704014346,6246.0738473465135,5249.043656134522,4497.493459659048,3918.9252776357152,3464.1172535820447,6297.910328895692,5296.939866224457,4540.088862477537,3956.0391669103205,3496.0353662145735,6346.937771875556,5342.618157067878,4581.058425121969,3992.0629726879492,3527.331635089734,6393.400015492069,5386.222001221705,4620.454266333988,4026.9703394985177,3557.9132550062723,6437.516352536591,5427.891364740379,4658.34321930779,4060.764876590743,3587.7301337861422,6479.483184432525,5467.759119727397,4694.798835082431,4093.4685181543405,3616.760216135088,6519.476153130922,5505.949434258791,4729.896603155296,4125.11411994139,3644.9998955235915,6557.652357590684,5542.577266627622,4763.711123090827,4155.740703021725,3672.4576533269287,6594.152469168319,5577.748466519232,4796.314474158648,4185.390381957416,3699.1497869996183
4,2021-07-05,8177.920204537151,6944.316971112696,6014.086995607406,5299.255894547098,4738.960892327153,8269.570110415056,7023.576578310021,6078.166053264668,5348.084419597124,4773.501474168391,8355.767626249099,7100.391943514043,6142.692672582741,5399.9459029471045,4813.337403068916,8436.640031357696,7174.076700922831,6206.253784106574,5452.800658958757,4855.889596989905,8512.510757820337,7244.404438207638,6268.124243310064,5505.4911684141525,4899.628346775808,8583.767632767902,7311.378076344675,6327.952106392274,5557.355810802687,4943.625092207917,8650.80386454841,7375.113482823623,6385.593191074527,5608.021787513443,4987.309487797082,8713.992362648589,7435.7788583892825,6441.020403911363,5657.288949035715,5030.33136400768,8773.675745129922,7493.5626091341355,6494.272421553921,5705.062185129135,5072.479191038135,8830.163777799411,7548.656279857718,6545.423942307312,5751.3108921934145,5113.630345764418,8883.734260460053,7601.245656851743,6594.568158440287,5796.044087532801,5153.719955233186,8934.635400928228,7651.506377181934,6641.806341155118,5839.294841526175,5192.720938609589,8983.088709314641,7699.602042674634,6687.2416554958845,5881.110401384064,5230.630984858109,9029.291942135495,7745.683720702711,6730.975532944838,5921.545866633905,5267.463927197999,9073.421878529325,7789.890197491311,6773.1056090212305,5960.660121041094,5303.243961510626
5,2021-07-06,10697.230677659989,9193.536437289193,8030.779796324084,7121.342827382747,6399.179028020198,10803.263528486003,9288.521750578568,8109.477111353582,7182.392956275772,6442.9543772123625,10902.830172318032,9380.447952641038,8188.631496044294,7247.175667495381,6493.406514711624,10996.106428485886,9468.507774702726,8266.510907442536,7313.136225391903,6547.258290957485,11083.491190628914,9552.446301724141,8342.232678659428,7378.828786665921,6602.568218071045,11165.453702777146,9632.282431817745,8415.373930054511,7443.430395172766,6658.160033368677,11242.465701423367,9708.168660640898,8485.766940994732,7506.480395004454,6713.313275840075,11314.972294517413,9780.318315400898,8553.387151293038,7567.734284930959,6767.587408020631,11383.380971249388,9848.967173443394,8618.289893847128,7627.078727351759,6820.717933403123,11448.05913225422,9914.35321595019,8680.573812656849,7684.48065201146,6872.553056086949,11509.335521014327,9976.706186704963,8740.359379833259,7739.956053758718,6923.014025281447,11567.50329772075,10036.242536887936,8797.776185629336,7793.550510347114,6972.069756228251,11622.823649038903,10093.163346671501,8852.9554347078,7845.326852250849,7019.720290316737,11675.52940210074,10147.653882107503,8906.025582251312,7895.357290217678,7065.9858557570715,11725.828401823725,10199.88402901164,8957.109884985975,7943.718370592901,7110.899548188163
6,2021-07-07,13377.02985200489,11623.324551863845,10234.197054964592,9129.165842417106,8240.659944112425,13494.582447971616,11732.202295847701,10326.545551017547,9202.05026665308,8293.609888187813,13604.825325894164,11837.446430531401,10419.334895672755,9279.327178357671,8354.598275909853,13707.97935283942,11938.146942375095,10510.536352649055,9357.941934809352,8419.65184052894,13804.509094321962,12034.027975225836,10599.122518982795,9436.170075685957,8486.419220616155,13894.953284801095,12125.126443713167,10684.606978166823,9513.033816481893,8553.478339734598,13979.850006464758,12211.630607417052,10766.802684894254,9587.989144276136,8619.960432473526,14059.704957475236,12293.79655643509,10845.68988538319,9660.750385343861,8685.336276034586,14134.979796227755,12371.904349543684,10921.34163511409,9731.188251708381,8749.28993455044,14206.089856593606,12446.235020350128,10993.880830570477,9799.268849429876,8811.641803862758,14273.4061064408,12517.058834057114,11063.455050978642,9865.01633842368,8872.30046136852,14337.258853813713,12584.62970142719,11130.22173240162,9928.489658368237,8931.231876720582,14397.941986262636,12649.182978844998,11194.339461751366,9989.767830833007,8988.439368129128,14455.717165801569,12710.935115502132,11255.962952904067,10048.940600814005,9043.950363736065,14510.817722615606,12770.084280554927,11315.240261834995,10106.10246074315,9097.807558551009
7,2021-07-08,16183.060065380101,14203.607362284833,12598.641628903562,11300.860885111088,10244.70608672051,16309.428039045435,14324.400336667064,12703.430953839477,11384.951663657757,10306.578185410532,16427.81956644595,14441.042526360137,12808.6253591872,11474.044491229795,10377.803190793617,16538.49426459007,14552.539059692675,12911.926772668316,11564.610356774838,10453.72855387953,16641.970556506254,14658.599495650426,13012.17792174173,11654.66150798925,10531.60364606641,16738.843283948736,14759.279292018624,13108.836791361247,11743.074802683084,10609.76761810166,16829.70364809647,14854.800068321836,13201.700975310247,11829.228821884382,10687.20825768818,16915.1055848093,14945.456867357552,13290.757159153194,11912.800474208136,10763.31110385923,16995.55369462429,15031.569631082872,13376.096372361448,11993.6468657774,10837.711278377632,17071.50117860581,15113.45790097635,13457.865198064117,12071.734697505517,10910.20320388782,17143.35226364369,15191.428008634803,13536.237282439562,12147.097094924984,10980.684147501364,17211.46644250675,15265.767079851985,13611.396604617868,12219.80674319498,11049.118148790903,17276.163234136562,15336.740769367232,13683.527700405204,12289.958955412785,11115.512561008758,17337.726853858698,15404.593018035459,13752.81006093101,12357.660918960042,11179.90257651596,17396.410526287447,15469.54687266534,13819.415063215833,12423.024850668284,11242.340906109304
8,2021-07-09,19094.623402050758,16914.784902747393,15106.683983749796,13621.258225112282,12398.178182873738,19227.530336453194,17045.606906816865,15222.641809243962,13715.815861298377,12468.612395621434,19351.95668844684,17171.826232824817,15338.956462417078,13815.932292059255,12549.652596412983,19468.19290980533,17292.378900907668,15453.088954926421,13917.63467115059,12635.99240011808,19576.7991021515,17406.964559724758,15563.767046755815,14018.689814321586,12724.497475278495,19678.41310887122,17515.65642263759,15670.400625760873,14117.83987997916,12813.278100335185,19773.666624063753,17618.706041922218,15772.775256270394,14214.392433489362,12901.18509450886,19863.150220542328,17716.442807787564,15870.885007221475,14307.990744456425,12987.52308065556,19947.40102219373,17809.221529894232,15964.838456171385,14398.480454605688,13071.881154677567,20026.90084388598,17897.395234555985,16054.80467306255,14485.82995731573,13154.029741290222,20102.07899483661,17981.301494529616,16140.981752899255,14570.081768861006,13233.856128314097,20173.316939468383,18061.25612061688,16223.57839608846,14651.322310210558,13311.323307412069,20240.953463301474,18137.55086906097,16302.80319190037,14729.662896609983,13386.443232187676,20305.289710531742,18210.45331427177,16378.858517939001,14805.22769128722,13459.259198408934,20366.593819390448,18280.20784970732,16451.93723243264,14878.1460603485,13529.834109409127
9,2021-07-10,22097.089524066094,19742.325581174715,17745.04701161304,16078.605873860573,14690.78889529602,22234.736001712972,19881.464080763537,17870.91805731581,16182.841919068442,14769.361244605963,22363.53641870519,20015.61533562734,17997.09129208261,16293.14152300986,14859.723620186218,22483.803805344534,20143.659518410186,18120.81458032671,16405.12085466935,14955.946546723359,22596.128621923457,20265.289525556356,18240.714864895934,16516.32020448201,15054.530552680744,22701.17997066642,20380.59460999979,18356.160703121575,16625.358055315417,15153.368621138945,22799.618944886883,20489.852270597217,18466.928292509943,16731.477349956305,15251.181982116319,22892.062693592252,20593.421319071134,18573.0194422002,16834.291312256424,15347.199103689114,22979.071916520268,20691.68625338559,18674.55934643787,16933.63598478677,15440.966135498047,23061.149158499207,20785.02850165621,18771.737931776886,17029.48223823186,15532.231477729572,23138.7418913872,20873.812061840537,18864.775759776512,17121.88208540879,15620.873671145247,23212.247483026717,20958.376954924985,18953.904123284014,17210.93536392697,15706.85538823647,23282.018659242553,21039.036927076522,19039.353511136505,17296.76881029715,15790.193566211336,23348.36880909694,21116.079432528462,19121.347079248124,17379.522827287547,15870.939749213101,23411.576854919433,21189.76679631381,19200.097144393563,17459.343108220717,15949.167013477154
