,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,671.8174018702485,534.4299323149583,442.7220002933351,377.9310457883871,330.1446089847528,684.5967343015544,543.7628809567361,449.4498562427528,382.6531071305902,333.28608551611524,696.7472584541224,552.8865608673459,456.2700962575403,387.6936016216521,336.922132904992,708.2647677361992,561.7118526118273,463.0331649792469,392.8574073388549,340.82149642200267,719.1750018196949,570.2028728837091,469.6594598738333,398.03222046879586,344.84622465283456,729.5156713764808,578.3511441579278,476.1077625965075,403.15245687702475,348.9117751244569,739.3280157863762,586.162376301841,482.35858010426335,408.179923546105,352.96548693542564,748.6528336593698,593.6494474269944,488.4049509734858,413.0929609187342,356.9743730997028,757.5286882385902,600.8285830313517,494.24719020846976,417.88010217996913,360.9179103303245,765.9911921265616,607.7172493686381,499.88980253857716,422.5362512589248,364.78363438655106,774.0728292809778,614.3329931619581,505.3396324669279,427.06031888425036,368.56437242105784,781.8030388548813,620.6928153854035,510.60474038099943,431.45372970167995,372.25646236768154,789.2084186927117,626.8128507968426,515.6937152024585,435.719463905326,375.85858450348746,796.3129747105405,632.7082237375135,520.6152545738275,439.8614344029734,379.37098197733167,803.1383783707583,638.3930052230439,525.377911489804,443.88407873040467,382.7949337949449
1,2021-07-02,1841.4742900596518,1492.526492088965,1251.7160623587927,1077.7202205964427,947.3210016249122,1872.0978385687374,1515.944085674095,1269.1211070753013,1090.20255972186,955.7583207848662,1901.1142664129836,1538.7770262951162,1286.7309205965223,1103.5078017692972,965.5142748968912,1928.529412422407,1560.8075574977759,1304.1592844613097,1117.1184614530719,975.9652472653581,1954.4191720159467,1581.9523041308723,1321.2026897898027,1130.7378419168544,986.7397976245381,1978.8860527039137,1602.1964494023705,1337.7575702248039,1144.1936849143635,997.6108749403414,2002.0390479452158,1621.5601819731457,1353.7766690801968,1157.3865602046199,1008.4375818820273,2023.9843764109755,1640.0809760634347,1369.2450041240804,1170.2608821488493,1019.1321311277728,2044.821454675026,1657.8040172134133,1384.1661657591947,1182.7879987745553,1029.6403274208596,2064.6414328685,1674.7769773721388,1398.5542980356752,1194.9560129792935,1039.9296485932243,2083.526981542838,1691.0471792892401,1412.4293148956156,1206.763499164773,1049.9817620239608,2101.5526695171543,1706.660100719707,1425.814011334541,1218.215545211867,1059.7877154452597,2118.785596036899,1721.658639519661,1438.7323104660575,1229.3212196076522,1069.3447857995593,2135.286105692961,1736.0828126053332,1451.2082042200457,1240.091931843642,1078.6543810911498,2151.1085004584593,1749.969700509211,1463.2651236109205,1250.540363333217,1087.7206249857402
2,2021-07-03,3399.0399306681534,2800.535536878484,2374.818229765619,2060.7760876877137,1821.8812655469624,3448.6944642201843,2840.140861827521,2405.1032050426593,2082.940158343016,1837.0903170382026,3495.610352660926,2878.671943983546,2435.692627654619,2106.5357088589108,1854.6606313983145,3539.819083403596,2915.7694117745077,2465.915766183699,2130.6413203504153,1873.464049666478,3581.4631711260226,2951.302202713473,2495.4224133802068,2154.730559502338,1892.829569516681,3620.7252992918643,2985.25479500474,2524.0371895487965,2178.4994172746055,1912.3479971519898,3657.795890053721,3017.669926394154,2551.68280837258,2201.7738452503863,1931.7662870566462,3692.8584719268406,3048.618491319799,2578.3378807112467,2224.457846178115,1950.9275582542848,3726.083548465672,3078.1833849360573,2604.01291926988,2246.5032121050435,1969.7356624978638,3757.626581160326,3106.4507684622167,2628.736341503838,2267.8913340169656,1988.133555326328,3787.6279453430648,3133.5053932806836,2652.5461551399762,2288.621993508068,2006.0897258676662,3816.213790390127,3159.4281880308067,2675.48496488396,2308.706318956967,2023.5894854614876,3843.4972653793725,3184.295121283497,2697.5969645612176,2328.162291222202,2040.629267703926,3869.5798401072975,3208.176784300425,2718.926137569848,2347.0118449466577,2057.212839850798,3894.5525899221375,3231.138375662061,2739.515202581362,2365.2789871119608,2073.3487525290107
3,2021-07-04,5250.304891088998,4390.005592246444,3760.55410203698,3287.063474112233,2921.7316005607345,5317.842893878386,4446.055512804658,3804.586417898735,3319.919673495202,2944.6071202886033,5381.505135196654,4500.480615163828,3848.9946380181837,3354.8582609686846,2971.0126019855447,5441.360284070615,4552.78372719549,3892.8055078831044,3390.5100470339935,2999.2457415365634,5497.624827202041,4602.79192441501,3935.5151151589016,3426.095310789758,3028.2953972211717,5550.5662893403705,4650.495179676416,3976.874875520431,3461.165997007378,3057.546311848374,5600.459415114379,4695.9646656806235,4016.7789207562564,3495.4675418788247,3086.619242598104,5647.566748696334,4739.310011309839,4055.2022729649093,3528.8613263783254,3115.2801616694887,5692.130780819346,4780.656501154685,4092.16576710941,3561.2795054005824,3143.386621994392,5734.371634857893,4820.132853934592,4127.715651524304,3592.697890027042,3170.8550289646737,5774.487366030095,4857.864763234821,4161.911518020771,3623.11926707574,3197.640120909258,5812.655424177671,4893.971634267147,4194.819090356028,3652.562939407591,3223.721810006951,5849.034556796508,4928.56510985165,4226.505909782295,3681.05807043374,3249.096583617169,5883.766795088556,4961.748596985166,4257.038778222291,3708.6394062095665,3273.7717984215824,5916.979353288597,4993.617344388425,4286.482281317299,3735.344510757968,3297.7618473497564
4,2021-07-05,7339.542366385861,6218.514642299998,5376.360713221103,4731.1124246005065,4226.524625066449,7422.939952244353,6290.3524758120375,5434.256755032021,4775.1195408565545,4257.592686528161,7501.398747749192,6359.993234229963,5492.570080039796,4821.868353632004,4293.428426862396,7575.03047155515,6426.812696599227,5550.023525763397,4869.521227896517,4331.713231584478,7644.1258814150815,6490.60335351968,5605.960839888847,4917.0347699058575,4371.07158007226,7709.034925201448,6551.365689384848,5660.062750395254,4963.812118605286,4410.668204770955,7770.112983011811,6609.202800534214,5712.197692474858,5009.51654693098,4449.989788916134,7827.697415935641,6664.265477855609,5762.339975812472,5053.966884030523,4488.720932532661,7882.098391843734,6716.723071940967,5810.523452787559,5097.076645484971,4526.6708883397105,7933.596484535113,6766.7479965673965,5856.814648285326,5138.817533956785,4563.728871459908,7982.443421861884,6814.507634182272,5901.296918207783,5179.197023645112,4599.836058822298,8028.864198886238,6860.160327672813,5944.061028830271,5218.2443327571045,4634.967649705152,8073.059673871879,6903.853645624487,5985.1995561409585,5256.001520515191,4669.121157926146,8115.2092173058445,6945.723908123093,6024.803596134311,5292.517782711195,4702.308654892963,8155.4732142252105,6985.896398065168,6062.960889955529,5327.845779873153,4734.551568452602
5,2021-07-06,9615.19280201615,8244.995456685025,7189.455828904808,6366.38815586922,5714.406918595938,9711.900742171003,8331.302134431076,7260.737487757917,6421.543017042842,5753.871938927081,9802.735464904363,8414.850500691815,7332.449074117151,6480.0806069582,5799.362563236653,9887.852822761417,8494.90448291526,7403.021153082352,6539.693688108466,5847.925878644097,9967.612749603399,8571.229716520387,7471.652851333718,6599.075780891863,5897.812075925839,10042.44000659433,8643.840810079731,7537.959509069251,6657.4826331181885,5947.9606123094745,10112.762221912026,8712.874061038645,7601.787583951424,6714.497095714954,5997.72153497446,10178.983235169993,8778.521357616159,7663.11331678775,6769.897249309215,6046.697090624658,10241.472982031864,8840.995282918931,7721.98546737073,6823.579702237148,6094.648171425416,10300.56516281546,8900.510683299519,7778.49218753267,6875.513648115559,6141.4372682123985,10356.55848332193,8957.275143674568,7832.741554787823,6925.712692380862,6186.992750642658,10409.719406371405,9011.48435937084,7884.850045797274,6974.217254602201,6231.286002728194,10460.285402705775,9063.320217020111,7934.935723527841,7021.083425770257,6274.316518203385,10508.468214284492,9112.950365889383,7983.1142686649855,7066.375849799393,6316.102039838321,10554.456908513617,9160.528590269354,8029.4967467289825,7110.163158538914,6356.671959380448
6,2021-07-07,12039.293377171252,10437.685059656154,9173.673609902851,8171.2554107330825,7367.2941104718875,12146.69299523523,10536.817521771702,9257.499250681523,8237.24183294528,7415.1288679173995,12247.438863782925,10632.664797263255,9341.743395529045,8307.217724750935,7470.233255325825,12341.728134159599,10724.39545319133,9424.563787029814,8378.41846994684,7529.0197446263455,12429.98126922871,10811.755279897887,9505.02620068724,8449.282475152642,7589.364734189481,12512.687187722897,10894.775056395403,9582.687197038082,8518.923546475688,7649.983377846737,12590.334828073223,10973.623700147748,9657.375092695334,8586.847960527619,7710.090280650429,12663.384055845065,11048.532244989085,9729.070195970555,8652.79582718811,7769.20659288008,12732.254918512836,11119.753878828084,9797.837244454366,8716.648882996338,7827.046074872228,12797.325475924412,11187.542967066633,9863.786409580844,8778.37531782579,7883.445646011234,12858.933522564235,11252.144317801367,9927.050449836795,8837.99598661591,7938.321923987959,12917.379919917184,11313.78805649067,9987.771235553217,8895.56334103291,7991.643428758578,12972.932426975576,11372.687588603389,10046.091826818012,8951.14811808065,8043.412482920204,13025.829499137371,11429.039249304831,10102.151894180859,9004.83085923906,8093.653253409699,13076.283818875252,11483.022850173542,10156.085173381261,9056.696490654926,8142.403760637611
7,2021-07-08,14580.148657016227,12769.08991031175,11305.745362214242,10126.064349805303,9168.480859529607,14695.741624625642,12879.249669714447,11401.03467300196,10202.337000142365,9224.47809007111,14804.062287604698,12985.648084457118,11496.712394599328,10283.161105762776,9288.949233075393,14905.34354833183,13087.374811613488,11590.687912813235,10365.336773323757,9357.685723360471,15000.055712146555,13184.16176841266,11681.907028519701,10447.060630327713,9428.198798283134,15088.73967712614,13276.056559654284,11769.874734184259,10527.312841489073,9498.985109706347,15171.933621462038,13363.25869079219,11854.404869026892,10605.528373248628,9569.12788155135,15250.142143552555,13446.03500764894,11935.48338327101,10681.412726620802,9638.070095654297,15323.825125071224,13524.675413605693,12013.191321551227,10754.834900338403,9705.48053740181,15393.39576115564,13599.469752552142,12087.660462116348,10825.763403525587,9771.172168203377,15459.22271237854,13670.696081223308,12159.04739629085,10894.227118576628,9835.05107368978,15521.633930141345,13738.615159143317,12227.518294695708,10960.290936385823,9897.083838411758,15580.920968980045,13803.468346345691,12293.239994961228,11024.040392877218,9957.276323118862,15637.343225323686,13865.477351148538,12356.374886660999,11085.571905320068,10015.659660705674,15691.131856369373,13924.844952184125,12417.078100569608,11144.986552641549,10072.28091267379
8,2021-07-09,17218.736876527782,15221.417689644955,13570.02346689188,12217.324190933015,11106.375006255163,17340.410830079985,15340.87681230874,13675.62868398444,12303.228946670095,11170.225665914824,17454.34404153055,15456.157196063721,13781.57999497919,12394.19964507764,11243.701206775633,17560.797984789,15566.284159193983,13885.564110617828,12486.628068125949,11321.993715403334,17660.281643056493,15670.980175104234,13986.420390438772,12578.484884520518,11402.262580147686,17753.37584183926,15770.309087030986,14083.609129504383,12668.62610484104,11482.794462556765,17840.656369089018,15864.497965073373,14176.932797012987,12756.421112488724,11562.546812490413,17922.66185887499,15953.845346391645,14266.383930702092,12841.544219740585,11640.888215079902,17999.88241201717,16038.673337148228,14352.059581719026,12923.8536567602,11717.445051710005,18072.75781382562,16119.302726040789,14434.112125849,13003.31929226108,11792.008088794462,18141.68003599019,16196.040454153866,14512.720590700557,13079.978474931682,11864.474086799606,18206.997452053856,16269.17381141529,14588.073857993011,13153.908582364485,11934.808511972093,18269.01952597085,16338.968305881224,14660.360879469174,13225.209742987703,12003.021303149482,18328.021391794882,16405.667516121066,14729.765097724065,13293.993880749837,12069.150899806189,18384.24807189417,16469.493979092163,14796.461412716126,13360.377756854963,12133.253600655114
9,2021-07-10,19941.234084526193,17781.156161172734,15954.323917495127,14434.366938803729,13171.721620671507,20067.309524973167,17908.33360384727,16069.101071600566,14529.196316021715,13243.053005976455,20185.304773603097,18030.976316192504,16184.175420300808,14629.558859465806,13325.099086971331,20295.502269028704,18148.057630783638,16297.036345985725,14731.467461832013,13412.479517826061,20398.439187565586,18259.29360443347,16406.429738393726,14832.683818544823,13502.01812160908,20494.725385693266,18364.76283511172,16511.777447371453,14931.94972757847,13591.801757382213,20584.96395637842,18464.716363642165,16612.873081953407,15028.574787028252,13680.66862283813,20669.718217527487,18559.479942972863,16709.716168660365,15122.20540795138,13767.917138347417,20749.50016760195,18649.40315990571,16802.41898356219,15212.69078629168,13853.134038814822,20824.7688465981,18734.833104126108,16891.15307261289,15300.002910438867,13936.089680586208,20895.93309653495,18816.101194916668,16976.118143248925,15384.187740614863,14016.672629984738,20963.356062990166,18893.517154102232,17057.52389089992,15465.334899377358,14094.84791986111,21027.36015861123,18967.366868590245,17135.579454809795,15543.558625763893,14170.629944492654,21088.23189139954,19037.912343533193,17210.487440172983,15618.98572416525,14244.064613843584,21146.226300854207,19105.392739188253,17282.440698955255,15691.747930499148,14315.217479291367
