,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,752.0154323646544,598.6503355316262,496.15143382891125,423.6776138407948,370.193876969992,766.269226075781,609.0758826773905,503.6742890569152,428.96124620073755,373.71068939596364,779.8197833458173,619.2666564411152,511.29990645253895,434.60089953445015,377.7810234531314,792.6626924886323,629.1231945678661,518.8610650992063,440.3782198029789,382.145957615778,804.8269172300501,638.6055188567502,526.2687907690068,446.16754806413843,386.6510439336726,816.3547391235879,647.7042637001866,533.4770399572524,451.89551544940844,391.2016381626165,827.2923419120323,656.425903369533,540.4640640475745,457.51940832641793,395.73879446418124,837.6853877783509,664.7849089573341,547.2221252246644,463.01501518991574,400.2255955359836,847.5770201091884,672.7994801204868,553.7516184824592,468.36952959525075,404.6390787659918,857.0070698526221,680.4891926063156,560.0576195555624,473.5772724563217,408.9653040152606,866.0118606142626,687.8737032270807,566.1478162949485,478.63704641017205,413.1962545516758,874.6243052302755,694.9720514377868,572.031252192582,483.5504651659988,417.3278433021097,882.8741352783162,701.8023024446575,577.7175581332825,488.32088114053806,421.3586045889385,890.7881813011479,708.3813870550304,583.2164833524605,492.95268862794865,425.28882145305295,898.3906616782906,714.725054555396,588.5376125027648,497.45086729399543,429.11993565070406
1,2021-07-02,2058.7857842248363,1670.322899293158,1401.7742575611505,1207.5025952386975,1061.7811325579776,2092.841994870937,1696.4196232515674,1421.1979006018094,1221.4465977868235,1071.2134664001387,2125.1051780145344,1721.8613719746857,1440.8480904880066,1236.308781774994,1082.11938792922,2155.5827438416923,1746.4058109061116,1460.2938524028777,1251.5109656973007,1093.8015919899744,2184.359914615349,1769.9604086208487,1479.308212195358,1266.7217176956683,1105.844779575921,2211.551388602847,1792.5090247015046,1497.775767059436,1281.7486703731192,1117.9951229154358,2237.278963652972,1814.0744955988714,1515.6439612917125,1296.4808370348148,1130.0951384091875,2261.6612527123666,1834.6988809617633,1532.8962489397002,1310.8562181489767,1142.0467314696168,2284.8092207370337,1854.432794601483,1549.5367966012554,1324.842901510863,1153.789368031039,2306.8245705420286,1873.329585193553,1565.5815323553784,1338.4276871050208,1165.2867448594104,2327.7995180742137,1891.4421805234044,1581.0528072471316,1351.6090659220743,1176.5184205568776,2347.8172228167373,1908.8214248710804,1595.976172390883,1364.3927977278886,1187.4744376449337,2366.9524991511585,1925.5152639783082,1610.3784241569213,1376.7890815897717,1198.1517990456016,2385.272618199365,1941.5684130454479,1624.28642350182,1388.8107246149975,1208.5521221891202,2402.838105166551,1957.0222979504504,1637.7263946757307,1400.4719482353523,1218.6800566794366
2,2021-07-03,3792.0681419704906,3128.1877591802117,2654.943619505772,2305.3028280914496,2039.024659696724,3847.0801414725233,3172.176497096674,2688.6401006837427,2329.9955960837815,2055.9854991305406,3899.047493852483,3214.965186973895,2722.671095289293,2356.2807322783246,2075.5782877975103,3948.006842797397,3256.155402154521,2756.290416838442,2383.131480396439,2096.544592313639,3994.1176332526265,3295.6023792986607,2789.108722961254,2409.9613747818125,2118.13600269786,4037.5835744375604,3333.2896516060723,2820.931269573118,2436.4318711337783,2139.896198461531,4078.6167269016664,3369.265384190779,2851.6724663377695,2462.349266584715,2161.5430625468052,4117.421322078768,3403.6089282772887,2881.3088963763685,2487.606831394767,2182.901754344253,4154.187001319529,3436.4128798494576,2909.852605097502,2512.151075192518,2203.865176467195,4189.086609753265,3467.7733863509534,2937.3355225609384,2535.961471620012,2224.3698427146983,4222.276171599619,3497.7849628810645,2963.8002130188643,2559.0379668873643,2244.3807381862634,4253.8958629969175,3526.5378216312934,2989.294321722818,2581.393130928886,2263.8816009797297,4284.071386018527,3554.1166172378175,3013.867231602355,2603.047150501076,2282.868564041106,4312.915445176457,3580.5999907710557,3037.568064512021,2624.024600744275,2301.345929579628,4340.529181337191,3606.0605590396467,3060.444511515138,2644.352350416842,2319.3233250952017
3,2021-07-04,5849.3277735662305,4897.477839863197,4199.374268976214,3673.3146030876196,3266.8809534203006,5923.969393464156,4959.587562736774,4248.263117074574,3709.848787620543,3292.346273801142,5994.313356548683,5019.886474016517,4297.562584808106,3748.694411332785,3321.7389739133073,6060.43803587048,5077.824785233685,4346.192265879052,3788.3286757884166,3353.1634604190044,6122.584858400483,5133.212124950005,4393.593199534692,3827.8846406900434,3385.493917312943,6181.051309224489,5186.038569419569,4439.490031211222,3866.864358465079,3418.0454493903467,6236.142533629429,5236.3840494206315,4483.765874071959,3904.985119573364,3450.3960154040874,6288.149921046934,5284.370971119351,4526.393615700481,3942.093164080869,3482.285289536269,6337.342473286329,5330.138956774601,4567.396952255145,3978.1134223125405,3513.554919713477,6383.964288819597,5373.831315671754,4606.827733868183,4013.0193457209325,3544.112073717763,6428.234928162798,5415.58790222074,4644.7525652299655,4046.8143523351105,3573.906585230337,6470.35105877495,5455.541514991827,4681.244803433984,4079.520194193584,3602.91629903162,6510.488581026278,5493.81627684836,4716.379773550609,4111.169557431237,3631.137496109818,6548.804841369835,5530.527121988069,4750.231935768478,4141.801307344913,3658.5785409641608,6585.440746055345,5565.779891764995,4782.873251186318,4171.4574166789125,3685.2556147814803
4,2021-07-05,8167.283971314669,6929.689677343202,5997.620676920658,5282.105143044138,4721.735867788127,8259.266534677423,7009.134652274757,6061.78085327379,5330.952598012409,4756.264990641184,8345.784974927143,7086.136477547,6126.394145417577,5382.837458537256,4796.089618642328,8426.96555251201,7160.006372100699,6190.045512284172,5435.7194993345365,4838.632003187076,8503.131595723002,7230.516524703813,6252.008464252528,5488.440677431293,4882.363101147512,8574.671278604459,7297.669048453518,6311.9301060857215,5540.3388824048225,4926.354631495847,8641.978370585624,7361.579360616922,6369.665566623203,5591.040871621934,4970.036307259354,8705.426432176557,7422.41543422654,6425.187246108106,5640.346101772458,5013.057894557624,8765.35875622369,7480.365588599182,6478.5334456798855,5688.159118238536,5055.207734030071,8822.085772004879,7535.621371788158,6529.778583909313,5734.449018912192,5096.363041679356,8875.885913491918,7588.368630805062,6579.015644674727,5779.224563773568,5136.458772272513,8927.007984920263,7638.783099634622,6626.3457445926,5822.518602101918,5175.467672747838,8975.674051963402,7687.0284991694125,6671.871935126875,5864.378191471814,5213.387266286407,9022.082385706417,7733.256028562107,6715.695565679904,5904.8582689253535,5250.231230134364,9066.410240362571,7777.604612187432,6757.9142140446465,5944.017579037657,5286.023615532984
5,2021-07-06,10687.911947723735,9178.254334829277,8012.284029181692,7101.255367718033,6378.436274803955,10794.387180532049,9273.525501840648,8091.137464036984,7162.373382396858,6422.228213533776,10894.377521842574,9365.735947442447,8170.45478574729,7227.232185776323,6472.701928262137,10988.057966691229,9454.075038318642,8248.500276367953,7293.274499298549,6526.5796337183865,11075.827736257706,9538.286099159244,8324.388992570448,7359.052765198299,6581.919300934008,11158.15692781905,9618.387160303138,8397.696601450949,7423.742810832667,6637.544175686309,11235.518348022126,9694.530361972405,8468.254439031969,7486.8830871697,6692.733348454966,11308.358236462256,9766.928975226358,8536.037330144167,7548.228421960729,6747.045876813686,11377.085197396487,9835.818896579889,8601.100210430783,7607.664965410236,6800.216902753747,11442.067692129473,9901.438327582984,8663.541474271322,7665.1592520244885,6852.094310601168,11503.635453871493,9964.017288303028,8723.481445929976,7720.726969468253,6902.5990685706665,11562.082556400079,10023.772534131942,8781.049638749328,7774.413455708791,6951.699846088795,11617.67102456255,10080.905459955851,8836.377230316293,7826.281353711012,6999.396470146039,11670.634451997379,10135.601646214065,8889.592683790414,7876.402727683608,7045.708982293938,11721.181383581832,10188.031286192418,8940.819288516623,7924.854009809358,7090.670315850925
6,2021-07-07,13370.974863561369,11609.111091252798,10215.106277878547,9107.29787672084,8217.314581170891,13489.079654306683,11718.386314813068,10307.701915280668,9180.314869141524,8270.321749476641,13599.848791054334,11824.022820334754,10400.746254727328,9257.737103308076,8331.379027126271,13703.502579644351,11925.106242904563,10492.204840504215,9336.504717131742,8396.509580802154,13800.506400768218,12021.358634572594,10581.046909507353,9414.889974786487,8463.359734690683,13891.400393190528,12112.816039587244,10666.784036534835,9491.912947475315,8530.505810921852,13976.724253346702,12199.666522915755,10749.227976932745,9567.028176054144,8597.077884529232,14056.985318904704,12282.1663560352,10828.35827869028,9639.948991464507,8662.54586577854,14132.646824751131,12360.595984905904,10904.247616974324,9710.545412270296,8726.593155724802,14204.125578997526,12435.236937219088,10977.01871302979,9778.783058936482,8789.039634666995,14271.793907494875,12506.360020829545,11046.81910439778,9844.68575217786,8849.793474417329,14335.983358867687,12574.21970317783,11113.806272608417,9908.312197386027,8908.820322830079,14396.988949057744,12639.051891037836,11178.138906505896,9969.74125810689,8966.12324127613,14455.073364394568,12701.073565997753,11239.971857786959,10029.062577328223,9021.729452113932,14510.4708643957,12760.483405255225,11299.453342213723,10086.370586939824,9075.681485144807
7,2021-07-08,16182.986788599177,14192.92787752574,12581.104213138891,11279.049046961358,10220.31664140227,16310.023594229695,14314.244285897588,12686.250104596864,11363.355112290641,10282.30132209148,16429.05030006337,14431.400524580773,12791.809773591116,11452.681437506577,10353.659400861508,16540.326258022706,14543.39630710164,12895.476992475638,11543.490346028782,10429.730703863912,16644.371235655486,14649.938776695166,12996.089866376271,11633.788826330256,10507.759852761714,16741.782071706475,14751.082562729416,13093.103749424867,11722.450434923361,10586.08289193344,16833.152163982897,14847.049309873946,13186.314772579204,11808.85163527169,10663.685502068098,16919.037629694332,14938.134542250358,13275.708863460295,11892.667963001339,10739.951753781772,16999.945136978833,15024.658917639186,13361.376727179482,11973.755634401787,10814.515725002992,17076.32980049961,15106.942801885018,13443.464891877367,12052.080781812025,10887.171086061899,17148.59759570084,15185.29338723651,13522.147116112148,12127.676179870961,10957.81455719623,17217.109602290795,15259.998655224705,13597.60759408626,12200.614312416572,11026.409778964404,17282.18677465039,15331.32508840745,13670.03113774777,12270.990395019759,11092.963813913635,17344.114624891088,15399.517415352711,13739.597548331754,12338.9115899117,11157.51164414192,17403.147549188954,15464.799424796927,13806.47852924144,12404.49013931605,11220.10583062602
8,2021-07-09,19102.035474189164,16909.254005277246,15092.239155879519,13600.891339384732,12373.9643980455,19235.704990968447,17040.715952962593,15208.663877099363,13695.753067521502,12444.573767221418,19360.853675461938,17167.561420986593,15325.454564235833,13796.197347366764,12525.819383128486,19477.772027034804,17288.720090123574,15440.06163596922,13898.238945616145,12612.382597417372,19587.021981022393,17403.88895554161,15551.206995330425,13999.637298426116,12701.121560199063,19689.24390664509,17513.140498189267,15658.297315867476,14099.13004491141,12790.141746997828,19785.072205209883,17616.726548786075,15761.116476577195,14196.021942209301,12878.290814604963,19875.100100634154,17714.977298918337,15859.657768015644,14289.954512758886,12964.871258305482,19959.867206687333,17808.248613929285,15954.029535212407,14380.772327723058,13049.470722426602,20039.857627143225,17896.89467994971,16044.40094530852,14468.443150634821,13131.858634337828,20115.502751613723,17981.254249507052,16130.970387794972,14553.009159440357,13211.921596836177,20187.18592433019,18061.644286524985,16213.946972170259,14634.556631557427,13289.622135356722,20255.24762480434,18138.357648985635,16293.539759193996,14713.196869386735,13364.971892815796,20319.990522587028,18211.662949584876,16369.951627144439,14789.05411089025,13438.013966206858,20381.684129957277,18281.80555207545,16443.375942997955,14862.25785500435,13508.81114129501
9,2021-07-10,22111.984884169065,19742.36735053217,17734.28385806058,16060.300000387573,14667.32800810472,22250.444890404004,19882.23276277967,17860.716148476888,16164.9223668395,14746.136725481536,22380.014485880965,20017.093322122266,17987.459736725115,16275.636900484733,14836.77510663452,22501.007015919386,20145.822236052994,18111.749827294974,16388.043916932584,14933.296832464188,22614.01512376838,20268.10963782344,18232.206487422263,16499.67437168131,15032.192190853188,22719.710793583545,20384.04418232865,18348.194604148543,16609.141122099856,15131.34770581665,22818.758159113153,20493.90389094674,18459.48854186763,16715.68369028435,15229.480425228177,22911.777320701083,20598.048662660553,18566.089353109193,16818.913234694992,15325.816061977586,22999.331733642262,20696.86434438183,18668.12211314407,16918.66458725073,15419.898934067285,23081.926464799577,20790.733807594668,18765.777006549288,17014.907957288044,15511.47622349237,23160.011270321214,20880.022495874975,18859.27507165285,17107.695053761687,15600.42566890529,23233.985576100247,20965.07182840397,18948.848199172855,17197.125644581287,15686.709427586975,23304.203957947306,21046.196876781105,19034.72753612266,17283.3265498562,15770.34412190035,23370.981467102032,21123.686336647188,19117.136918867593,17366.438355401093,15851.381122373346,23434.598520269796,21197.80368721468,19196.289343284905,17446.60700075589,15929.893431728115
