,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,1279.7272164659303,1026.960208344269,855.6721703185774,733.4232726502242,642.6040922587583,1303.0044384548435,1044.2769181751585,868.3078333082057,742.3674850976785,648.5915995657913,1325.0992859391747,1061.184804226361,881.105748020237,751.9088633047389,655.518738438836,1346.0097240776881,1077.5203983869842,893.785191521069,761.6772493017595,662.9439544406454,1365.7877211731554,1093.2193190791966,906.1974010103739,771.4599457842105,670.6040120642103,1384.5063488707945,1108.26799368857,918.2659271981643,781.1330511397183,678.3377633985082,1402.2444246252344,1122.6789938170768,929.9551705745848,790.624685878984,686.0449904728631,1419.079360006204,1136.4779686511888,941.2530304202571,799.8943372201253,693.6630592956259,1435.0839824360248,1149.6965550441569,952.1609978518073,808.9208007523243,701.1531302859502,1450.3253172553211,1162.3684858629106,962.6883456742504,817.6949162030116,708.4917354187128,1464.8643371839353,1174.5274602602483,972.8486530076187,826.2150780360387,715.6654873157856,1478.7561768700584,1186.2060055526047,982.6576993353317,834.4844032668022,722.667676800872,1492.0505544717191,1197.4349048357406,992.1321808228262,842.5089157258143,729.4960415136504,1504.7922675888738,1208.2429491930166,1001.2889298669205,850.29636796117,736.1512785489007,1517.0216962185384,1218.6568752185967,1010.1444470937812,857.8554709241622,742.6360397175359
1,2021-07-02,3437.9396218224892,2819.669276521093,2384.1655274682557,2064.9364828220637,1823.1596008715026,3491.5433684288955,2861.66339291783,2415.9041371865264,2087.975579856614,1838.8746789621698,3542.22987789864,2902.5441083068254,2447.977631056199,2112.5118649926662,1857.0344986310713,3590.026281575191,2941.92743981019,2479.6825302883713,2137.5882475634917,1876.4745868778275,3635.0804699857144,2979.6712480019432,2510.650493772971,2162.6573032513265,1896.5020179080684,3677.584679112727,3015.756091759231,2540.6961498862806,2187.4023711724503,1916.6939057970649,3717.740387378575,3050.2246382071767,2569.7369254863966,2211.6416985179844,1936.7884490048414,3755.742382114524,3083.1497706831515,2597.74893357416,2235.2746195075365,1956.6230843247058,3791.772006165038,3114.61743623872,2624.7418675446384,2258.2501693778654,1976.097954319477,3825.9948636399163,3144.7173450038435,2650.744340572086,2280.548209487989,1995.153603055604,3858.5606758623894,3173.537970066732,2675.795164989624,2302.1677899524493,2013.7569784623129,3889.6041320476784,3201.163949420387,2699.938105834266,2323.1198305111916,2031.8924431831038,3919.246150093919,3227.674845190845,2723.218713172164,2343.4224460418804,2049.5558900539577,3947.595252985243,3253.144671391935,2745.682420922038,2363.097928043056,2066.7508285047743,3974.7489161695503,3277.6418525820754,2767.373427870949,2382.1707826042284,2083.485748269808
2,2021-07-03,6213.585024684953,5190.995036999304,4445.887903763237,3886.515361752643,3455.3568955636047,6297.335662292329,5259.658255933661,4499.448440812333,3926.300024515715,3482.9696072664783,6376.2934851727305,5326.338944795651,4553.470981827486,3968.6089744865767,3514.844799593554,6450.541226681017,5390.426937019881,4606.771328243254,4011.7843997523855,3548.927961856994,6520.345300603914,5451.709282308287,4658.735987392246,4054.881985186881,3583.99860953099,6586.0357857928875,5510.172704459065,4709.06201180036,4097.358905276305,3619.313979557632,6647.952036811333,5565.903547609774,4757.62008908638,4138.906595663786,3654.4161292017766,6706.418542161214,5619.035407696544,4804.379363010864,4179.356894678119,3689.0223772829336,6761.73513300347,5669.72118342174,4849.364770529176,4218.627365299068,3722.9605869311927,6814.174070039434,5718.118084542826,4892.632224154416,4256.688465441386,3756.1296719963257,6863.980379769983,5764.379700634288,4934.253923006026,4293.543350622451,3788.474833739319,6911.373641187183,5808.651987655156,4974.30957291232,4329.215206443881,3819.9716785312794,6956.550324406042,5851.07144911755,5012.881130816089,4363.7391863781795,3850.6158383179654,6999.686236946633,5891.764545391536,5050.049688039175,4397.157228206874,3880.4160820423044,7040.938866043666,5930.847780077586,5085.893668037902,4429.514702973365,3909.3896871768866
3,2021-07-04,9452.715629724875,8022.414704011085,6948.531122045893,6124.82847646779,5479.68467663555,9563.708136611807,8117.168841809053,7024.585737300132,6182.525312596968,5520.378561348934,9668.106703869178,8209.005171560815,7101.173362801432,6243.806713997308,5567.311454051228,9766.063971147283,8297.102520946617,7176.616599648657,6306.262464526204,5617.444812580554,9857.97035958637,8381.18961959016,7250.054493462141,6368.524665082543,5668.976341383987,9944.294503391944,8461.269447209921,7321.069057371587,6429.811370544078,5720.811961469418,10025.51174821274,8537.480100438037,7389.488935780366,6489.681929520989,5772.279622732884,10102.073014762953,8610.022320445023,7455.281788863975,6547.899721202744,5822.966685734293,10174.3926652045,8679.121070679972,7518.493378547395,6604.352267177691,5872.623864417354,10242.845375709485,8745.005120683812,7579.212253875136,6659.0033347692115,5921.106633798513,10307.767189158225,8807.896398340434,7637.548941025399,6711.863527921971,5968.3385217329915,10369.458374186786,8868.00473171899,7693.623576087027,6762.971888214284,6014.287593401839,10428.186917829675,8925.525587194252,7747.558559247382,6812.3842215476525,6058.951106942598,10484.19208135632,8980.639467027402,7799.474245658032,6860.165622086364,6102.345349304221,10537.687754830185,9033.512207852857,7849.486494568737,6906.385663015572,6144.49882288102
4,2021-07-05,13050.459201261094,11228.290857316686,9822.635227962399,8723.097567495479,7849.116840778304,13184.76446501813,11347.235155531607,9920.641204936961,8798.913170920661,7903.398973199984,13310.859465086298,11462.328690537675,10019.199652140482,8879.352252056577,7965.953157042586,13428.970925935664,11572.562985958884,10116.1540726657,8961.2411680192,8032.71378246808,13539.607560270275,11677.62145429438,10210.40660251925,9042.784554828417,8101.27267975943,13643.36658573953,11777.53024344915,10301.432278199632,9122.961186315966,8170.171289498291,13740.847835068216,11872.482525791673,10389.023930832403,9201.200029904378,8238.516657248585,13832.616956391734,11962.747350146785,10473.15258230147,9277.198572224175,8305.763146803716,13919.191576172801,12048.621593686772,10553.888602895931,9350.817175067878,8371.583506868443,14001.038243263847,12130.404639139808,10631.356138967794,9422.015820053946,8435.790259094614,14078.57430175231,12208.385334061468,10705.706362415243,9490.815337482854,8498.2864853493,14152.171832667638,12282.835693303836,10777.101654005699,9557.273204678924,8559.034335942002,14222.162264699313,12354.008325703193,10845.706273441368,9621.468234279057,8618.034509453897,14288.840982442889,12422.135904571353,10911.680940197502,9683.49080252097,8675.31268383814,14352.471628483843,12487.43173257863,10975.179798344587,9743.436591191552,8730.910440112706
5,2021-07-06,16930.875656936914,14743.441704391249,13013.390674364267,11635.3118241102,10524.777204538814,17084.341794367396,14884.027297541612,13132.081504886371,11728.82078417387,10592.680218021549,17228.21661218148,15019.87700035384,13251.302433395593,11827.938937898341,10670.875306363112,17362.797929298973,15149.821363723138,13368.447476809528,11928.745243449126,10754.263032412335,17488.700346022102,15273.510120524434,13482.199416000563,12029.027883870582,10839.826631171341,17606.63385985002,15390.996452252077,13591.936909130296,12127.534293854527,10925.742668849804,17717.306345934096,15502.528301024928,13697.423374146378,12223.568965365113,11010.898161563326,17821.382341057582,15608.440496531446,13798.636974699064,12316.76797149073,11094.615991375174,17919.468026153216,15709.098169742769,13895.67479397014,12406.967955290726,11176.492731691862,18012.10841379073,15804.867141148168,13988.69759054133,12494.127778720853,11256.299808055584,18099.790044249654,15896.098840376175,14077.89748143542,12578.280574752796,11333.921666606828,18182.945935487332,15983.123170168039,14163.47892038906,12659.503877738422,11409.316246739574,18261.9612060773,16066.245733100417,14245.647546475215,12737.900773403164,11482.489257950472,18337.178621820516,16145.74743326072,14324.603764722398,12813.587907175173,11553.477197530943,18408.903734348973,16221.88533409241,14400.539201577087,12886.687835408882,11622.336013019554
6,2021-07-07,21023.262557738082,18505.177218192075,16466.42336262121,14814.516701865452,13465.966730332573,21191.74286482855,18664.446685121402,16603.99812305049,14924.790501185862,13547.12648618583,21349.512085418595,18818.176447459347,16742.048737273413,15041.582531091262,13640.528308808935,21496.931193850876,18965.06338927231,16877.560614870134,15160.26200737527,13740.062774301377,21634.70405428831,19104.733648422705,17009.01959808145,15278.22343701696,13842.119715792538,21763.634169286666,19237.268759723112,17135.720102123953,15393.997134295487,13944.521066044093,21884.51819942131,19362.968304207305,17257.4023385178,15506.772162329635,14045.941000044479,21998.101465846503,19482.22758962196,17374.054320070143,15616.128978863495,14145.576113553696,22105.062171221198,19595.47375563454,17485.800458904934,15721.88420422697,14242.95063954318,22206.0089143096,19703.132542268424,17592.837491250477,15823.997884399558,14337.797780648541,22301.484140803932,19805.611530979295,17695.397107571713,15922.516820401683,14429.985522041228,22391.969970085967,19903.292358639286,17793.72404479305,16017.539328723902,14519.469248800027,22477.89467942648,19996.52783483459,17888.063313765728,16109.193053036472,14606.260946909855,22559.639039258276,20085.64170971575,17978.65290607026,16197.620889228798,14690.408899436854,22637.542149237415,20170.929828356646,18065.71981960954,16282.972040680877,14771.984155554324
7,2021-07-08,25282.10020081278,22470.175850403433,20142.400750724923,18225.65852667189,16641.608540939375,25461.940088092837,22645.206093241024,20296.87475175545,18351.518455502395,16735.430768547692,25630.19933960173,22813.990418423797,20451.74996912887,18484.721409707345,16843.344042966237,25787.29127208848,22975.116831810057,20603.64758473965,18619.975553148037,16958.271047121816,25933.99111096511,23128.195537800144,20750.879835085027,18754.310211761516,17076.033948904507,26071.176204698553,23273.335599925624,20892.668690329105,18886.055593113506,17194.11640537339,26199.71286578342,23410.88328108524,21028.73644479482,19014.295537643644,17310.990440553578,26320.4095050317,23541.287538147477,21159.082516416078,19138.56092574136,17425.733482982447,26434.00037899505,23665.030011236162,21283.858054854103,19258.651778693016,17537.802217552857,26541.143436993014,23782.588800958543,21403.29396520678,19374.531082377725,17646.894858982338,26642.42441086003,23894.42035455054,21517.659040996456,19486.259986631325,17752.865101354484,26738.36335840476,24000.951185773592,21627.23550628244,19593.957575438293,17855.667204175068,26829.421840937775,24102.57494613008,21732.30482600532,19697.775588130717,17955.320336062974,26916.00988780523,24199.65237125671,21833.139662096193,19797.88242509073,18051.88509982693,26998.492385566864,24292.51271705551,21929.99954232258,19894.45301682544,18145.4479133732
8,2021-07-09,29681.44134389229,26611.369636956973,24015.40727126867,21844.84257304859,20030.033020439427,29869.70507841937,26799.527923264704,24184.84168955603,21985.03983358879,20135.8194892666,30045.735727029554,26980.834885214525,24354.592762914417,22133.32325743821,20257.433061092717,30209.98716200937,27153.790304462218,24520.960323390744,22283.792046590497,20386.87936297241,30363.288951389255,27317.993608873578,24682.104847422157,22433.140282230303,20519.44354227771,30506.57433334821,27473.5790436594,24837.186303108203,22579.51548112179,20652.290043274414,30640.762153672178,27620.93368894992,24985.9131735012,22721.90632637956,20783.700845594536,30766.708293742955,27760.55280956984,25128.29682779867,22859.799746444027,20912.64198341238,30885.18910957635,27892.96478408527,25264.51371106854,22992.98205243324,21038.507586892327,30996.89955978276,28018.692431759486,25394.826377125606,23121.42035111215,21160.964051995863,31102.45779592118,28138.233809577432,25519.537659714893,23245.19025142508,21279.85273211324,31202.412258191023,28252.053555430233,25638.96398181302,23364.431047311402,21395.127886428345,31297.24938302541,28360.579950265692,25753.419936298455,23479.317607040462,21506.816427762864,31387.401046512536,28464.205037529617,25863.20960059445,23590.04262766742,21614.991453413495,31473.251373169274,28563.28631384725,25968.621910083868,23696.80542784464,21719.754659380505
9,2021-07-10,34216.65345040004,30920.30318601488,28075.624006965456,25662.139460888513,23621.796187949032,34411.28204484292,31119.45299584245,28258.325071111198,25815.5204782547,23738.866008827754,34593.19118988124,31311.23839559786,28441.257089478222,25977.660461031603,23873.392111384157,34762.864315008104,31494.08631107451,28620.435627145907,26142.098099012837,24016.513418282128,34921.17108462186,31667.588135604557,28793.88775697216,26305.219705596774,24163.00816835871,35069.08614706282,31831.900068989617,28960.71974243259,26465.005779962612,24309.740094227567,35207.567358439126,31987.444099218457,29120.629036001552,26620.358639586917,24454.812681311032,35337.50590325429,32134.754866253315,29273.63869740212,26770.725936539424,24597.087815861694,35459.70948121073,32274.40037156901,29419.948554046932,26915.882442837355,24735.90158348178,35574.900629978285,32406.94127212845,29559.850038954446,27055.80002013432,24870.89129583769,35683.72167901662,32532.910782585044,29693.676861802396,27190.568428067116,25001.88752999609,35786.742250306976,32652.80571757151,29821.776353838566,27320.34629192285,25128.845330273136,35884.46735650562,32767.08355830361,29944.492973668348,27445.33039644252,25251.79961783867,35977.34519817537,32876.16272667615,30062.159067191697,27565.736340314514,25370.83589986934,36065.77428311127,32980.42449693356,30175.089991412333,27681.786350026887,25486.070834215316
